"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"11","3","  Private industries","A736RC1",217.5,225.3,228.9,229.9,222,217.8,217.6,213.6,223.8,235.6,251.4,260.6,269.7,274.7,276.8,282.9,282.7,283.5,289.1,299.9,305.9,308,306.6,298.2,299.2,299.8,302,309.5,321.1,329.2,335.9,341.9,345.1,350.5,354.8,363,368.4,369.2,371.9,365.9,359.1,360.3,371.8,383,393.6,407,403.3,407.3,419.2,418.3,418.1,415.3,416.3,425.2,433.2,445.2,452.1,457.3,462.3,467.9,473.1,481.1,488.3,495.9,506.2,515.1,524.7,531.7,548.7,558.2,567.5,584.3,602,609.4,617.6,627.2,632,636.8,649.1,661.6,679.1,697.2,712,726.8,741.3,755.4,769,775.5
"12","4","    Agriculture, forestry, and fishing","J424RC1",19.5,23.2,22.8,21.3,17.9,17.3,16.6,16.2,16.9,17.1,18.4,19.4,20.4,21,20.6,21.2,19.4,20.2,21.5,18.5,18.7,17.9,17.2,16.9,18.1,17.2,17.3,16.1,16.4,16.8,16.2,15.4,15.7,15.8,16.2,16.3,15.4,15.7,16.2,16,18.6,18.6,17.9,16.9,16.9,15.8,15.6,16.4,15.9,16.9,17.6,18.1,18,16.6,17,17.8,18.1,17.6,17.2,17.6,18.2,17.4,17.3,17.5,16.2,16.2,16.2,17.4,18.3,19,19.2,19.7,21.9,19.4,19.2,19.1,19.1,18.5,19.5,19.2,19.3,19,19.9,20.3,19.8,21.1,21.9,23.1
"13","5","    Mining","J734RC1",5.5,5.6,6.1,6,5.7,5.3,4.7,4.4,4.8,5.8,6.3,6.4,6.3,6.4,6.4,6.5,6.6,5.9,6.1,6.4,6.3,6.3,6.4,6.2,6.1,6.1,6,6.3,6.5,6.7,6.8,7.2,7.5,7.7,7.5,7.7,7.6,7.7,7.7,7.3,7,6.7,6.8,6.9,6.8,6.8,6.4,6.5,6.7,6.9,6.9,7,6.8,6.9,7,7.1,7,6.9,6.8,6.9,7,7.3,7.4,7.4,7.5,7.6,7.4,7.5,7.6,7.5,7.6,7.6,7.7,7.7,8,8,8,8,8.2,8.2,8.6,9.1,9.2,8.9,9,9.1,9.3,9.5
"14","6","    Construction","J735RC1",10.2,11,11.6,11.6,11.3,10.9,10.8,10.9,11.4,12.1,13,13.7,14.3,14.9,15,15.3,15.8,15.8,16.2,16.5,16.7,16.5,16.5,16.8,16.7,16.8,16.5,16.8,17.3,17.9,18.2,18.1,18.9,19.8,20.4,20.6,20.7,20.9,20.8,20.8,20.1,20,20.4,21,21.5,22.2,22.4,22.4,22.3,22.6,23,22.7,23.1,23.4,23.7,24.4,24.5,25.3,25.9,25.8,26.3,26.9,27.5,27.9,28.6,29.4,30,30.8,31.5,32.2,32.7,34.1,34.8,35.6,35.9,36,36.5,36.6,37.6,38.2,39,40.3,41,42.5,44.1,45.7,46.5,46.1
"15","7","    Manufacturing","J426RC1",73.6,74.5,75.8,77.1,73.9,70.5,72.1,68.8,73.4,79.9,87.9,93.7,96.2,98.4,98.3,99.7,100.2,98.7,99.8,108.5,112.9,113.4,112,103.9,103.9,103.6,102.6,107.2,113.2,117.3,120.1,123.7,123.4,124.1,123.4,128.7,131.2,129.7,128.9,124.1,116.5,115.3,121.2,127.1,133.6,140.5,134.9,134.2,142.8,138.2,136.1,131.8,129.6,135.6,138.9,144,146.8,148.2,149.3,152.3,152.8,156.8,159.1,161.5,165.1,167.5,171.1,172.2,182.1,184.3,187.3,193.4,201.6,204.8,206.5,209.5,207.9,207.3,209.6,215.4,220.9,227.7,230.5,236.7,239.3,240,242.9,241.6
"16","8","      Durable goods","J428RC1",36.7,36.6,37.8,39.1,37.8,35.5,36.6,33.7,37.5,42.3,48.2,52,53.1,54.4,53.8,55.4,56.4,54.8,55.1,62.2,65.7,65.8,64.7,58.4,58,57.8,56.9,59.9,64.5,67.1,68.9,70.6,69.9,70.5,69.8,74.3,76.8,75.4,74.6,70.6,64.1,62.9,66.4,71.2,76.2,82.2,76.1,75.8,83.2,78.9,76.7,73.5,71.3,75.7,78.1,82.1,84.6,85.2,86.4,88.4,88.8,91.9,92.6,94.5,96.9,98.2,100.7,100.6,108.4,109.8,111.9,115.6,121.4,122.7,124.1,125.9,124.2,124.4,125.1,128.3,132.1,136.3,137,142.3,144.6,143.5,144.9,143.7
"17","9","      Nondurable goods","J427RC1",36.8,37.9,38.1,38,36.1,35,35.5,35.1,35.9,37.6,39.7,41.7,43.1,44,44.6,44.3,43.9,43.9,44.7,46.3,47.2,47.6,47.2,45.5,45.9,45.8,45.7,47.3,48.7,50.2,51.2,53.1,53.4,53.6,53.6,54.3,54.4,54.2,54.3,53.5,52.4,52.3,54.8,56,57.4,58.3,58.7,58.4,59.6,59.2,59.4,58.2,58.3,60,60.8,61.8,62.2,62.9,62.9,64,64,65,66.4,66.9,68.2,69.3,70.3,71.6,73.6,74.5,75.5,77.7,80.2,82.2,82.4,83.6,83.7,82.9,84.4,87,88.8,91.4,93.5,94.3,94.7,96.5,98,97.8
"18","10","    Transportation and public utilities","J737RC1",20.8,21.1,21.6,21.7,21.2,22,21.5,21,22,23.2,25.1,25.7,26.3,27.3,27,28,28.7,28.1,29,29.9,30.2,31,31,30.5,29.9,29.9,30.1,30.4,31.2,32.2,32.9,33.5,34.5,34.9,34.8,35.6,36.4,36.6,37,36.5,35.6,35.8,36.9,38,39,39.9,39.1,39.9,41.2,41.6,41.4,41.6,41.3,42.2,43.1,44.3,44.6,44.8,45.2,45.3,46,47.1,47.7,48.4,49.5,49.9,50.5,51.1,52,53.2,54,55.6,56.5,57.8,58.4,59.3,59.3,59.7,60.7,61.7,63,64.3,65.7,66.9,68,70.4,70.8,72
"19","11","      Transportation","J429RC1",13.6,13.7,14.1,13.9,13.2,13.7,13,12.5,13.3,14.1,15.6,16,16,16.9,16.2,16.8,17.3,16.6,17.2,17.6,17.5,18,17.8,17.2,16.5,16.3,16.3,16.5,17.1,17.7,18.2,18.4,18.9,19.1,18.6,19.3,19.6,19.6,19.9,19.2,18.1,17.9,18.7,19.4,19.6,20.1,18.8,19.2,20.1,20,19.6,19.5,19.1,19.6,20.2,20.9,20.9,20.9,20.8,21,20.9,21.9,21.9,22.4,22.8,22.8,23.2,23.3,23.8,24.8,25.3,25.9,26.3,26.9,26.9,27.5,27.1,27,27.6,27.9,28.7,29.4,29.6,30,30,31.6,31.5,32.3
"20","12","      Communications","J430RC1",3.7,3.8,3.8,3.9,3.9,4.1,4.2,4.2,4.3,4.5,4.8,4.8,5.2,5.2,5.4,5.6,5.8,5.8,6,6.3,6.5,6.7,6.7,6.8,6.7,6.7,6.8,6.9,7.1,7.3,7.5,7.7,7.9,8,8.3,8.4,8.6,8.7,8.8,8.8,8.9,9.1,9.3,9.4,9.9,10.1,10.2,10.4,10.5,10.8,11,11,11.2,11.3,11.4,11.6,11.9,12,12.2,12.3,12.6,12.8,13.1,13.2,13.5,13.7,13.7,14.1,14.5,14.5,14.9,15.4,15.7,16.1,16.5,16.7,16.9,17.2,17.6,17.8,18.1,18.1,18.9,19.5,20.3,20.8,21,21.4
"21","13","      Electric, gas, and sanitary services","J431RC1",3.5,3.6,3.7,3.9,4.1,4.2,4.4,4.3,4.4,4.6,4.7,4.8,5.1,5.2,5.4,5.6,5.7,5.7,5.8,6.1,6.2,6.2,6.4,6.5,6.7,6.9,7,7,7.1,7.3,7.2,7.5,7.6,7.8,7.9,7.9,8.2,8.3,8.4,8.5,8.6,8.8,9,9.2,9.5,9.7,10.1,10.3,10.6,10.8,10.9,11.1,11.1,11.3,11.4,11.8,11.8,11.9,12.2,12,12.5,12.5,12.7,12.8,13.2,13.4,13.6,13.7,13.8,13.9,13.9,14.2,14.5,14.8,15.1,15.1,15.2,15.5,15.5,16,16.2,16.7,17.2,17.4,17.7,17.9,18.3,18.3
"22","14","    Wholesale trade","J433RC1",16.7,17.1,17.2,17.3,17,16.6,16.5,16.2,17,17.6,19,19.3,20.3,20.7,20.9,21.3,21,21.1,21.4,21.7,21.8,22.2,22,21.7,21.7,21.7,22.1,23.1,23.8,24.4,25.3,25.7,25.9,26.6,27.7,27.9,28.3,28.4,28.6,28.3,27.7,28.1,29.8,31.2,32.1,33.6,34.4,34.5,35.3,35.1,35.6,35.6,35.4,35.5,37,38.3,38.2,38.7,39.5,39.2,39.7,40.3,41.1,41.7,42.6,43.3,44,44.3,45.7,46.7,46.7,48.2,49.9,50.6,51,52,52.7,53.2,54.2,55.2,56.3,58.5,60.4,61.3,62.2,63.6,64.8,66.4
"23","15","    Retail trade","J434RC1",28.1,28.8,29,29.8,29.4,29.2,28.7,28.2,29.5,30.1,30.4,30.1,32.2,31.8,32.9,33.5,32.6,34.3,34.2,36.2,35.4,35.6,35.1,34.8,34.8,35.3,36.9,37.1,38.5,37.8,38.6,38.8,38.8,39.6,41,40.8,41.6,41.8,42.8,42,41.2,41.8,43.2,44.9,45.8,46.7,46.6,47.2,47.5,48.2,47.7,47.4,48.2,49,48.9,49.8,51.4,52.3,52.9,53,54,54.4,55,56.1,58,59.6,61.3,62.1,63.1,63.6,64.9,66.6,67.6,68.5,69.5,70.9,72.2,73.6,75.5,76.7,79.7,81.8,84.1,85,86.8,89.3,91.2,91.6
"24","16","    Finance, insurance, and real estate","J435RC1",22,22.7,23.2,23.6,24.1,24.5,24.9,25.4,26.1,26.8,27.7,28.3,29.1,29.6,30.3,31.5,31.9,32.8,33.7,34.7,35.6,36.3,37.2,37.9,38.7,39.6,40.3,41.4,42.3,43,43.4,44.2,45.1,45.7,46.6,47.6,48.3,48.9,49.8,50.6,51.6,52.5,53.4,54.3,53.9,56.1,57.3,58.5,59.7,60.4,60.8,61.3,62.5,64.1,64.7,65.7,66.6,67.8,69,69.9,70.4,71.3,72.6,74,75.5,76.4,77.9,78.8,80.3,81.7,83.2,85.2,86.5,87.7,89.1,90.4,92.4,94.2,96.3,97.8,100.6,102.6,104.7,106.1,110.5,112.3,114.3,115.7
"25","17","    Services","J437RC1",20.9,21.4,21.5,21.6,21.6,21.6,21.8,22.4,22.7,23,23.5,24.1,24.7,24.7,25.4,26,26.3,26.6,27.2,27.7,28.4,29,29.3,29.5,29.3,29.5,30.1,31.2,32.1,33.1,34.4,35.2,35.5,36.2,37.1,37.9,38.8,39.5,40,40.2,40.8,41.7,42.2,42.7,44.1,45.3,46.6,47.7,47.9,48.4,48.9,49.8,51.2,51.8,52.8,54,54.8,55.8,56.5,57.9,58.8,59.5,60.6,61.6,63.2,65,66.3,67.4,68.1,70,72,74,75.5,77.3,80,82,83.9,85.8,87.6,89.3,91.8,94,96.6,98.9,101.6,103.9,107.1,109.7
"26","18","  Government","B436RC1",21.7,22.1,23.3,24.1,24.6,25.1,25.5,25.6,25.7,25.9,27,28.4,31.4,33.6,36.8,36.9,38.7,39.7,40.5,41,40.9,41.3,41,41.7,42,41.5,42.3,42.9,43.1,44,44.6,45,45.5,46.2,46.8,47.3,48.1,49.1,50.5,50.8,52,52.8,53.7,54.2,54.9,55.3,55.8,56.4,57.6,58.7,60,60.8,61.7,62.5,63.6,65.3,66.4,67,67.7,69,70.7,71.7,72.8,74.8,76.2,77.5,78.9,80.3,81.2,82.7,84.9,88,90.3,92.7,95.9,98.6,100.2,102.2,104.8,108.4,111.9,115,119,120.7,122.4,124.9,130.5,132.7
"27","19","Rest of the world","A192RC1",1.4,1.5,1.5,1.5,1.4,1.3,1.3,1.1,1.2,1.3,1.6,1.6,1.5,1.9,2,2.2,2,2,2,1.9,1.9,2.1,1.8,1.8,2,2,2,2.3,2.4,2.4,2.4,2.5,2.9,2.8,2.9,2.6,3.1,3.4,3.2,2.5,2.6,2.7,2.6,2.6,2.6,2.6,2.8,3,2.9,3,3.2,3.4,3.6,3.4,3.5,3.6,3.6,4,4.1,4.7,4.5,4.3,4.4,4.6,5.1,4.9,5,4.7,5.4,5.6,5.3,4.8,5,5.1,5,5.3,5.2,5.1,5.7,5.6,5.8,6,6.3,6.3,6.3,6.2,5.9,6
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
