"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89"
"13","5","A     Nonmetallic mineral product manufacturing","KP3270",7309,7470,7535,7650,7576,7596,7687,7659,7738,7635,7661,7683,7827,7899,7936,7975,8127,8057,8019,7953,7957,7976,8123,8297,8105,8189,8153,7992,7986,8046,7993,8168,8147,8183,8371,8309,8354,7935,8284,8288,8068,8040,8180,8020,8158,8109,7920,7884,7702,7906,7855,7839,8026,7944,7944,7913,7614,7813,7699,7695,7786,7693,7128,7299,7208,7111,7114,7198,7133,7059,7044,7088,7195,6836,7049,6941,7010,7087,7191,7142,7329,7463,6962,7114,6946,6786
"14","6","A     Primary metal manufacturing","KP3310",12951,13282,13033,13250,13068,13337,13334,13231,13431,13401,13738,13723,13887,14255,14044,13976,13791,13564,13476,13717,13505,13502,13325,13290,13395,13493,13431,13278,13558,13458,13476,13603,13648,13466,13663,13928,13966,13244,13448,13429,12923,13237,13107,12674,12828,12597,12486,12366,11973,12232,12122,11800,12145,11994,12058,12030,11656,11763,11687,11448,11628,11361,11648,12016,11973,11732,11858,11896,11691,11790,11409,11273,11582,10917,11201,10963,10972,10658,11012,10720,10903,10983,10950,11295,11276,10969
"15","7","A     Fabricated metal product manufacturing","KP3320",19800,20283,20257,21059,20419,20877,20814,20862,21163,21135,21174,21108,21035,21680,21545,21297,21473,21467,21535,21422,21506,21441,21491,21731,21567,21671,21324,21501,21584,21514,21588,21569,21608,21738,22108,22081,22644,21835,22675,22758,22375,22745,22488,22200,22425,21899,21768,22053,21235,21537,21456,20826,21280,20857,20815,20976,20444,20703,20596,20468,20699,20318,20300,21077,20854,20773,21066,20981,20944,20975,20628,20601,20462,20167,20127,19782,19895,19846,20516,19623,20055,20133,20028,20600,20336,19846
"16","8","A     Machinery manufacturing","KP3330",21971,22637,22833,23216,22711,23250,23607,23248,23892,23812,23770,24073,24091,24336,24773,23922,24087,24443,23966,23081,23294,23396,23037,22892,22611,22867,22843,22748,23003,23320,23083,23337,23623,23576,23689,24034,25051,23646,24701,24740,24201,24361,24611,24514,24467,24019,23761,23691,24580,24072,23387,22399,22737,21831,21958,22297,20487,21147,20656,20015,21547,22079,20770,20956,21840,21008,21314,21211,20924,20929,20787,20458,20670,20205,20349,20195,20411,20368,20767,20519,20825,20906,20700,22157,21977,21233
"17","9","A     Computer and electronic product manufacturing","KP3340",28454,29409,30623,29909,30297,31875,31796,32371,32791,32122,31638,32814,31729,33439,33354,33235,32280,33915,33062,33567,34360,34434,35126,35389,35558,36136,35897,37070,37353,37724,39217,38489,38257,38314,38389,37587,40711,39731,40598,42527,42643,42442,43140,43416,43822,43423,42915,44040,42062,42160,41187,38111,37100,37148,35515,34116,34331,34096,33982,35615,35159,34687,34605,35060,34847,34496,35411,35282,35648,35939,36171,35218,36822,36252,36645,37912,37329,39348,39796,40335,40735,42033,42029,43562,44198,43677
"18","10","A     Electrical equipment, appliance, and component manufacturing","KP3350",9025,9104,9037,9452,9264,9337,9376,9281,9731,9845,9777,9471,9642,9917,9780,9630,9641,9647,9753,9669,9859,9699,9781,10011,9648,9875,9850,9993,10024,9836,10098,10356,9906,9940,10151,9978,10646,10388,10493,10388,10421,10604,10468,10330,10358,10284,10593,10467,10178,10457,10255,9904,10067,9780,9306,9354,8727,8888,8570,8837,8564,8543,8691,8924,8954,8601,8737,8598,8569,8708,8804,8626,8690,8287,8399,8380,8384,8348,8618,8361,8531,8616,8667,8654,8529,8376
"19","11","A     Transportation equipment manufacturing","KP3360",45140,46525,45969,48825,47261,47916,52988,48289,48298,48517,51139,50693,47586,51968,51945,51778,51819,45561,45527,50942,53134,56263,56564,56095,56748,57971,57010,57457,57682,56178,55704,58450,55979,56551,56282,56806,58381,54618,53887,55384,54371,55687,51969,50629,53431,50858,49912,49706,44944,49546,50524,47844,51964,51535,51426,50431,48651,49251,51508,52518,52077,51303,50425,54080,52763,51668,54798,52757,52674,53367,51328,48531,51298,51363,50788,49431,49468,51031,53141,49637,52901,51734,52591,52581,50825,54861
"20","12","D       Motor vehicle and parts manufacturing","KP3MV0",33612,34261,33307,35111,33867,34206,38325,35458,35000,35879,37125,36590,33746,37414,37568,37062,37921,31341,31174,36437,37781,39480,40182,40714,40757,42294,41825,41398,42083,41930,40429,42122,41948,41620,41710,42116,43306,40970,41257,41034,39121,40684,38682,36297,39232,37754,35842,36115,31612,35381,36777,34817,37522,36257,37041,36027,34035,35221,36978,37510,37368,36859,35737,39938,38994,37814,40462,39607,38683,39577,37269,35106,38286,37180,36886,35875,35791,36864,38887,36234,38748,38020,37796,38845,37162,39292
"21","13","D       Other transportation equipment manufacturing","KP3OT0",11486,12240,12665,13729,13415,13738,14674,12825,13308,12624,14022,14118,13871,14571,14389,14741,13901,14270,14406,14527,15382,16826,16412,15388,16009,15681,15184,16075,15603,14231,15284,16346,14014,14930,14568,14686,15072,13643,12622,14349,15255,15007,13291,14332,14203,13111,14067,13588,13315,14152,13745,13027,14437,15251,14379,14390,14581,14018,14521,14991,14700,14437,14662,14175,13802,13872,14370,13218,14010,13831,14057,13414,13068,14173,13898,13550,13664,14151,14271,13413,14172,13738,14767,13776,13677,15525
"22","14","A     Furniture and related product manufacturing","KP3370",5415,5741,5624,5533,5510,5520,5505,5471,5614,5628,5726,5686,5960,5962,6027,5901,5753,5927,6077,5957,5993,6002,6062,6157,6171,6277,6161,6075,6229,6202,6104,6162,6193,6056,6072,6207,5955,6025,6239,6422,6264,6300,6301,6346,6270,6362,6254,6214,6156,6292,6159,6105,6008,5722,5984,5985,5705,5768,5730,5729,5850,5728,5681,5868,5754,5729,5752,5692,5572,5604,5517,5779,5609,5477,5422,5349,5683,5580,5824,5702,5664,5720,5811,5730,5984,5778
"23","15","A     Miscellaneous durable goods manufacturing","KP3390",8273,8391,8364,8416,8429,8710,8535,8304,8606,8662,8605,8634,8718,8823,9078,8720,8644,9288,8825,8951,8915,8854,8933,9025,9118,9156,9269,9139,9064,8949,8910,8997,9041,9165,9248,9250,9275,8937,9253,9572,9581,9690,9783,9697,9834,9868,9812,9823,9618,9835,9645,9611,9605,9515,9580,9746,9466,9436,9323,9217,9538,9467,9553,9763,10059,9678,10086,10039,9809,10078,10255,10260,10135,10003,10333,10098,10149,10238,10507,10518,10558,10740,10882,11386,10776,10645
"24","16","A   Nondurable goods manufacturing industries","KP30N0",146427,148362,147334,148981,149848,149570,150453,150306,150971,151283,152879,151678,153168,153342,152652,151628,151595,151970,150297,151713,151560,150733,150326,151344,150753,153813,152416,150372,151387,152879,151495,152371,151919,153056,155191,152549,154187,151365,152447,153713,153757,153839,152719,152857,152515,151934,151373,151129,149126,152652,150038,147455,149672,146250,148871,149850,145057,149027,147659,149022,149973,147604,146581,146422,148518,148388,147364,147539,146478,147017,147161,147752,146883,142629,144763,143055,146156,146787,149252,147302,148823,148251,148865,149790,149615,146800
"25","17","A     Food manufacturing","KP3110",33548,33808,33718,33758,34175,34165,34444,34118,34013,34006,34549,34971,36037,35775,35963,35982,35225,35381,35087,35646,35334,35638,35561,35449,35328,36054,36140,35548,36248,36024,35801,35738,35986,35862,36280,36004,36032,35132,35852,36769,35954,36276,36333,36426,36500,36381,36296,36256,36266,36503,36592,36503,36284,36230,36312,36216,36020,36084,36657,36882,37071,36873,36746,36614,36988,36235,36508,36763,35145,36761,36757,36572,36157,35466,35563,35876,35536,35892,36017,35951,35807,34885,34388,34412,34859,34272
"26","18","A     Beverage and tobacco product manufacturing","KP3120",9702,9568,10135,9493,10007,9823,9888,10077,10047,10325,10609,9988,9830,10434,10305,9939,10123,10440,10016,10215,10057,10062,9541,9344,9306,9453,9752,9185,9269,9725,9276,9426,8943,9366,9418,8792,9358,8852,9575,8987,9739,9367,9175,9533,9000,9313,9515,9176,8898,9312,9356,8913,9868,9341,9314,10044,8913,9875,8787,9048,8948,8391,8934,8242,8698,8499,8345,8352,8233,8171,7941,7958,8090,7931,8500,8189,8244,8325,8250,8139,8056,8151,7937,8053,7797,7763
"27","19","A     Textile mills","KP3130",4760,4814,4781,4763,4676,4641,4701,4544,4706,4709,4680,4679,4864,4799,4821,4585,4611,4579,4648,4619,4467,4531,4575,4494,4637,4500,4338,4565,4571,4500,4431,4423,4516,4465,4513,4567,4355,4388,4474,4397,4326,4430,4392,4345,4292,4233,4205,4136,4111,4075,3937,3823,3887,3833,3794,3811,3750,3739,3553,3630,3590,3665,3657,3871,3750,3680,3853,3669,3607,3690,3684,3486,3681,3585,3553,3322,3226,3305,3314,3287,3363,3450,3404,3396,3483,3445
"28","20","A     Textile product mills","KP3140",2515,2588,2580,2625,2570,2590,2639,2650,2657,2679,2673,2709,2708,2685,2525,2623,2572,2589,2614,2559,2626,2620,2619,2651,2717,2682,2656,2723,2739,2726,2779,2771,2787,2848,2863,2763,2902,2868,2930,2862,2851,2824,2781,2810,2750,2709,2689,2579,2750,2710,2643,2556,2594,2611,2626,2635,2636,2608,2615,2629,2627,2787,2756,2853,2881,2840,2811,2810,2838,2853,2875,2872,2830,2781,2815,2793,2762,2767,2841,2848,2901,2951,3014,3242,3233,3121
"29","21","A     Apparel manufacturing","KP3150",5519,5698,5426,5815,5672,5658,5775,5760,5919,5864,5968,5675,5618,5609,5524,5509,5422,5525,5446,5447,5388,5235,5251,5292,5388,5324,5287,5318,5258,5226,5177,5105,5136,5130,5113,5053,5096,5108,5337,5047,5081,5035,4817,5073,4986,4995,4882,4879,4775,4859,4850,4710,4607,4513,4310,4481,4397,4467,4314,4496,4436,4458,4363,4613,4597,4487,4633,4505,4527,4435,4610,4503,4590,4400,4418,4268,4328,4419,4366,4326,4488,4530,4583,4696,4634,4613
"30","22","A     Leather and allied product manufacturing","KP3160",916,950,948,933,907,926,919,896,893,870,871,933,926,922,903,876,858,858,825,831,830,762,833,922,807,797,796,788,811,788,829,822,824,823,818,894,792,741,800,824,815,806,830,807,751,794,779,884,819,767,778,725,742,697,661,664,650,685,672,736,757,758,744,803,827,863,880,880,904,879,909,866,858,898,887,886,874,875,900,883,839,836,870,843,812,801
"31","23","A     Paper manufacturing","KP3220",13299,13624,13566,13878,13608,13563,13512,13633,13671,13819,13993,13972,13917,13733,13848,13842,13991,13836,13832,13818,13683,13727,13521,14120,14119,14382,13647,13703,13647,13740,13702,14370,14153,13959,14369,14398,14302,14079,14201,14130,13612,13669,13730,13278,13668,13279,13517,13692,13297,13824,13524,13254,12994,12772,12787,12825,12542,12824,12645,12293,12717,12171,12448,12658,12884,12633,12988,13507,13132,13188,12824,13258,13286,13056,13649,13487,13519,13589,13585,13300,13335,13496,13566,13857,14366,13637
"32","24","A     Printing and related support activities","KP3230",8414,8531,8279,8426,8537,8517,8465,8414,8649,8591,8488,8552,8536,8491,8556,8581,8546,8523,8639,8618,8647,8655,8803,8353,8707,8641,8698,8612,8553,8712,8674,8654,8648,8522,8763,8763,8626,8761,8610,8597,9088,9002,8806,8678,8655,8465,8497,8604,8581,8659,8566,8291,8539,8303,8254,8266,8012,8106,8000,7981,8080,7865,8077,8022,8072,8046,8035,8148,8141,8208,8093,8126,8039,7948,7994,8037,7981,7838,7658,7717,7737,7597,7678,7800,7695,7681
"33","25","A     Petroleum and coal product manufacturing","KP3240",19022,19088,18564,19088,20035,19821,20162,20309,19954,19609,19581,18911,19305,19459,19825,19471,19936,19912,19038,19714,19955,19441,18785,19888,19263,20439,20206,18665,19482,20168,19955,19694,19417,20437,20925,19582,20309,19769,18908,19239,20027,19748,19493,19673,19279,19938,19459,18911,19316,19395,18855,18950,19452,18638,20059,19859,18708,20734,20691,22161,22401,21853,20343,18471,19551,20198,19797,19534,19231,18176,18719,19114,18184,16111,16420,16906,20183,19675,19146,19207,19732,19173,20971,20466,19882,19745
"34","26","A     Chemical manufacturing","KP3250",35912,36613,36348,36806,36730,36703,36651,36775,36943,37126,37603,37054,37388,37382,36703,36364,36692,36824,36148,36304,36696,35846,36395,36689,36089,36821,36587,36712,36324,36922,36644,36815,36782,37036,37291,36661,37364,36873,36734,37602,37221,37488,37645,37525,37829,37211,37095,37780,36325,37896,36681,35811,36586,35314,36412,36765,35301,35891,35892,35503,35497,34878,34315,35162,35299,36299,34480,34501,35991,35626,35707,35839,36097,35896,36224,34857,34942,35164,38129,36830,37416,37897,37350,37506,37474,36824
"35","27","A     Plastics and rubber product manufacturing","KP3260",12991,13168,13092,13442,13196,13338,13500,13442,13713,13833,13974,14077,13846,13998,13754,13816,13817,13707,13891,14032,14085,14222,14138,14304,14287,14985,14527,14307,14433,14484,14327,14574,14664,14737,15009,15072,15105,14820,15038,15248,15076,15201,14715,14702,14789,14566,14401,14225,13947,14607,14199,13865,14031,13899,14342,14214,14022,14067,13953,14070,14298,14311,14248,14967,14898,14668,15058,14868,14752,15001,15038,15150,15076,14779,14892,14410,14592,14821,14989,14742,15108,15275,15148,15642,15601,15038
"36","28","A Merchant wholesale industries","KP42W0",184382,189081,187468,187104,188939,190426,191037,190233,193567,193260,193579,193712,197615,198507,200172,201631,201225,201574,203322,204523,205673,206592,207788,210037,208803,213111,214645,213993,218222,219494,220279,220325,221412,224260,225744,226094,227168,223533,225336,227919,227072,229784,229542,230309,230472,231267,229643,232711,231533,231459,229063,228423,227556,225520,228809,229605,227921,228140,229430,230110,230922,232528,229641,233281,233861,235053,234445,236137,234595,232849,238017,236089,236341,233615,235018,234228,235088,238341,239239,238247,240856,243976,243981,244988,244885,247446
"37","29","A   Durable goods merchant wholesale industries","KP42WD0",89098,92340,90956,92045,92739,93676,94585,93692,96429,96072,96585,96223,98517,99149,100400,101224,100619,101498,102091,102474,102047,102939,103251,104233,105383,108310,108893,109211,111246,111784,113017,113148,114071,115607,116450,118152,118360,116846,117720,118193,118613,119026,118372,119289,119506,120008,119418,118415,118486,118692,118235,116692,116681,114857,115466,116120,113994,112844,114258,114114,114555,116032,114417,116498,116945,116939,116913,117862,116583,115421,117232,115879,116911,115241,117493,117244,117057,118723,119004,118356,120701,122250,122782,124936,125186,126730
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KP42110",13732,13986,14012,13690,14190,14365,14097,13310,14210,14228,14040,13008,14108,14039,14617,14623,14599,14467,14656,14854,14891,14506,14798,14847,14860,16392,15844,15975,16224,16429,16687,16416,16737,17046,16797,17013,16815,16766,16619,16820,16425,16638,16419,16572,16520,16657,16690,16678,16931,16955,17202,17206,17479,17354,17286,17353,16584,17492,17417,17223,17444,17920,17646,17869,17835,17902,18187,19014,18273,17761,18637,18639,18597,17573,18376,18388,18393,18915,18671,18513,18832,18791,19265,19979,18593,19649
"39","31","D     Furniture and home furnishings wholesalers","KP42120",3264,3458,3239,3305,3208,3211,3255,3207,3499,3440,3364,3433,3496,3356,3435,3404,3381,3456,3412,3453,3422,3334,3486,3437,3438,3527,3482,3509,3580,3553,3740,3663,3631,3732,3664,3756,3796,3865,3831,3914,3955,3928,3909,3917,3977,3915,3871,3846,3812,3827,3822,3722,3647,3631,3613,3649,3575,3611,3592,3558,3600,3521,3569,3549,3549,3672,3532,3486,3481,3432,3510,3385,3500,3537,3511,3508,3573,3598,3700,3665,3680,3652,3682,3750,3801,3811
"40","32","D     Lumber and other construction materials wholesalers","KP42130",4912,5128,5032,5105,4915,5063,5051,5079,5122,5090,5033,5180,5219,5183,5134,5211,5273,5371,5511,5545,5564,5696,5767,5771,5576,5685,5708,5763,5874,5904,5854,5797,5983,6099,6260,6094,6114,5926,5949,5826,5872,5901,5785,5831,5897,5960,5959,6017,5961,6016,5996,6049,6099,5901,6123,6193,6174,6339,6513,6625,6686,6980,6749,6877,6626,6585,6376,6570,6679,6664,6713,6617,7075,6832,6889,6857,6907,7196,7409,7620,7842,7994,8128,8018,8291,8392
"41","33","D     Professional and commercial equipment wholesalers","KP42140",11911,12607,12417,12750,13145,13458,13430,13594,14183,14347,14898,15057,15464,15951,16133,16679,16429,17031,17285,17832,17763,18281,17934,18669,19102,19648,20172,20379,20897,21278,21714,21896,21948,22511,22775,22922,22346,22285,22689,22569,22269,22111,22031,22820,22788,22952,22666,21692,22651,23020,23025,23275,23386,23223,23321,23001,22745,22139,22844,23277,23298,23426,23358,23304,24030,24735,24450,25070,25395,25123,25855,25400,25434,25811,26179,26058,25704,25908,26002,25551,26193,26605,26968,27681,28454,28309
"42","34","D       Computers and software wholesalers","KP42430",5060,5346,5288,5611,5871,6074,6110,6354,6698,6708,7130,7172,7411,7761,8034,8530,8464,8975,8926,9048,8942,9222,9165,9444,10123,10649,11008,11147,11525,11496,12218,12361,12253,12923,12799,13022,12711,12617,13074,12892,12666,12232,12100,12751,12502,12703,12636,11594,12580,12509,12467,12201,12500,12565,12256,12185,12461,11972,12277,12684,12724,12773,12642,12565,13360,14095,14015,14559,14635,14414,14329,14578,14530,14822,15034,15305,14864,14992,15002,14368,15162,15822,16221,16914,17891,17937
"43","35","D       Other professional and commercial equipment wholesalers","KP424X0",7735,8227,8071,7919,8004,8081,7980,7761,7980,8206,8234,8388,8537,8613,8414,8346,8126,8124,8521,9022,9082,9312,8975,9463,9089,9049,9195,9259,9382,9827,9470,9504,9676,9534,9946,9867,9617,9662,9605,9674,9603,9886,9937,10078,10290,10261,10044,10082,10081,10487,10524,10982,10826,10620,10959,10729,10286,10133,10514,10581,10568,10639,10674,10679,10722,10792,10611,10750,10964,10886,11534,11004,11062,11179,11338,11077,11069,11150,11217,11244,11271,11201,11249,11395,11427,11292
"44","36","D     Metal and mineral (except petroleum) wholesalers","KP42150",7621,7843,7565,7869,7795,8006,7913,7903,8109,8025,7992,8065,7895,7854,8095,7877,7830,7927,7916,8054,8055,8046,7999,8032,8419,8338,8341,8192,8175,8035,8158,7930,7961,8242,8402,8560,8940,8572,8639,8530,8503,8520,8489,8458,8436,8422,8540,8604,8192,8266,8071,8244,8383,8226,8153,8274,8090,7883,7777,7507,7645,7559,7437,7938,7781,7921,7861,7681,7508,7557,7113,6891,7041,6888,7082,7129,7214,7146,7291,7146,7252,7272,7236,7406,7667,7634
"45","37","D     Electrical goods wholesalers","KP42160",13782,14019,14136,14200,14428,14532,14821,14925,14793,14531,14605,14813,14677,14892,15073,15158,15286,15063,15239,15135,15145,15524,15366,15293,15465,15950,16143,16312,16602,16852,17131,17391,17673,18016,18489,19189,19566,19154,19312,19604,19881,20480,20323,20625,20571,20298,20281,20382,20028,19368,19247,18567,18035,17090,17575,17489,17325,17527,18426,17521,17742,17830,17700,18193,18569,18047,18071,17876,17777,17712,18228,17710,17812,17887,18228,18223,18148,18674,18614,18458,18946,19629,19571,19524,19971,20299
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KP42170",4776,4805,4821,4977,4843,4838,4979,4874,4962,5020,4980,5009,5150,5119,4980,5043,5108,5201,5223,5149,5117,5108,5245,5303,5285,5295,5377,5316,5394,5362,5398,5405,5378,5333,5401,5434,5510,5503,5600,5570,5715,5676,5585,5573,5634,5661,5580,5600,5495,5463,5411,5067,5380,5164,5241,5291,5310,5448,5482,5499,5506,5607,5495,5517,5373,5331,5350,5439,5310,5277,5293,5220,5330,5246,5345,5305,5302,5362,5350,5375,5466,5448,5477,5467,5430,5406
"47","39","D     Machinery, equipment, and supplies wholesalers","KP42180",18074,19093,18491,18703,18880,19091,19504,19143,19453,19764,19574,19695,20678,20755,20510,20868,20867,20723,20401,20366,20467,20052,20362,20364,20182,20187,20605,20397,20657,20703,20810,20840,20633,20706,20629,20882,21120,20696,20740,20968,20834,21403,21307,21206,21223,21250,21177,20729,20679,21131,21011,20374,20235,19990,19997,20582,20274,18666,18920,18982,18229,18371,18274,18641,18797,18577,18450,18049,18455,18083,17623,18194,18285,17823,18008,18122,18357,18639,18984,19196,19132,19112,18864,19637,19699,20165
