"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89"
"13","30","A     Nonmetallic mineral product manufacturing","KS327W0",1296,1322,1319,1297,1341,1240,1258,1316,1335,1340,1323,1300,1333,1363,1343,1303,1298,1285,1316,1281,1263,1269,1265,1269,1287,1251,1236,1265,1267,1277,1289,1323,1322,1336,1323,1320,1298,1290,1297,1324,1305,1277,1267,1274,1260,1260,1278,1362,1354,1340,1336,1317,1302,1303,1293,1249,1283,1279,1269,1225,1210,1177,1181,1205,1219,1230,1239,1212,1219,1223,1237,1242,1223,1227,1248,1210,1200,1203,1200,1185,1185,1178,1173,1188,1193,1195
"14","31","A     Primary metal manufacturing","KS331W0",6741,6802,6940,6866,6885,6890,6980,6930,6851,6738,6786,6916,7093,7054,7080,7091,7030,6899,7098,7106,7064,7064,7155,7124,7356,7334,7338,7297,7482,7365,7477,7414,7311,7365,7484,7555,7703,7663,7548,7719,7682,7651,7699,7639,7520,7394,7304,7357,7226,7129,6967,6968,6853,6708,6772,6708,6676,6564,6510,6374,6370,6336,6147,6137,6081,6059,6119,6180,6085,6069,6161,6100,6255,6276,6252,6247,6163,5885,5828,5824,5569,5560,5554,5530,5621,5374
"15","32","A     Fabricated metal product manufacturing","KS332W0",8953,9025,9044,9123,9066,9269,9247,9248,9271,9305,9345,9449,9380,9267,9420,9529,9538,9660,9571,9632,9606,9522,9506,9526,9498,9405,9391,9379,9508,9338,9432,9427,9527,9658,9809,9731,9990,9962,9834,9917,10007,10070,10009,9962,9901,9900,9800,9727,9941,10018,9977,9953,9826,9813,9691,9675,9641,9571,9524,9293,9033,9017,8927,8942,8928,8846,8835,8790,8791,8702,8760,8769,8629,8585,8449,8522,8524,8536,8396,8529,8428,8546,8527,8546,8545,8548
"16","33","A     Machinery manufacturing","KS333W0",13158,12923,13057,13426,13219,13225,13126,13049,12905,12823,12801,12998,13036,13183,13016,12989,12968,13004,12870,13126,13161,13102,13095,12945,12809,12665,12751,12773,12938,12749,12891,12884,12712,12796,12588,12625,12996,13267,12895,12423,12831,13125,13075,12995,13134,13458,13649,14001,13672,13671,13772,13531,13431,13173,13109,12936,12787,12767,12442,11990,11921,11940,11747,11829,11784,11695,11558,11536,11470,11199,11219,11338,11132,11053,11023,11244,11132,11069,10961,11411,11555,11488,11526,11514,11675,11766
"17","34","A     Computer and electronic product manufacturing","KS334W0",17003,17034,17123,16982,17108,17287,17751,17806,18048,17802,18181,18799,18616,18878,19166,19241,19251,19242,19011,19150,18886,18884,18836,18702,18593,18718,18778,18945,19194,19036,19105,19112,19075,19081,18808,18827,18971,18900,18609,19581,20005,20378,20975,21084,19970,20808,21802,22316,22633,22931,22796,22802,21859,21772,21414,21239,20401,20167,20168,19229,19410,19487,19579,19065,19242,19144,19288,19107,19465,19274,19396,19450,19253,18957,18562,18819,18755,18549,18840,18845,18484,19033,19246,19524,19220,19174
"18","36","A     Electrical equipment, appliance, and component manufacturing","KS335W0",4768,4775,4808,4837,4873,4849,4888,4865,4846,4885,4878,4879,4887,4874,4821,4792,4760,4757,4808,4857,4880,4883,4898,4932,4887,4871,4931,4915,4929,4937,4838,4797,4936,4963,4950,4875,4883,4888,4780,4835,4883,4952,4953,4939,4905,4951,4986,5004,5015,5048,5030,5026,4975,4933,4910,4864,4847,4831,4775,4684,4664,4594,4624,4656,4648,4579,4509,4478,4416,4370,4357,4397,4410,4373,4339,4320,4292,4260,4254,4249,4250,4234,4249,4218,4233,4207
"19","37","A     Transportation equipment manufacturing","KS336W0",43056,43395,42588,42415,42150,41416,41731,41818,41147,41499,41261,41409,42141,42726,43186,44682,45829,46383,46929,47907,47787,49119,48612,49376,47306,47785,48823,47610,47448,47214,48640,47669,48273,48051,49056,48474,46981,47124,47498,46066,44456,43783,42281,41145,41521,40242,40089,39121,38849,38261,37656,38262,38287,37718,37822,37689,38013,38122,37507,37967,37938,37580,35155,34425,34217,34570,34149,34073,33621,33718,33175,35288,35387,35769,35708,36194,36517,35724,35595,35213,35536,35808,34954,35403,35646,35564
"20","38","D       Motor vehicle and parts manufacturing","KS3MVW0",7084,7176,7190,7324,7426,7190,7217,7354,8086,7367,7223,7269,7128,7118,7620,7105,6945,6514,6412,6229,6238,5943,6540,7095,6716,6408,7706,6738,6733,6964,7247,7161,7068,7277,7273,7221,7113,7221,6973,7074,7631,7368,7215,7218,7303,7342,7317,7274,7167,7163,7006,7256,7068,6920,6759,6668,6639,6485,6351,6255,6617,6396,6269,6473,6392,6769,6807,6821,6897,6992,6969,7033,6979,7372,7384,7410,7213,6975,7049,6953,6933,6963,7026,6944,7075,7122
"21","39","D       Other transportation equipment manufacturing","KS3OTW0",35963,36207,35382,35069,34698,34204,34491,34437,33009,34103,34013,34115,34993,35587,35528,37562,38879,39886,40538,41707,41574,43206,42085,42284,40591,41379,41119,40871,40715,40250,41393,40508,41206,40776,41785,41255,39868,39901,40525,38992,36825,36414,35066,33927,34219,32902,32774,31849,31684,31101,30653,31011,31223,30801,31063,31019,31370,31630,31147,31697,31323,31174,28893,27979,27847,27838,27384,27294,26774,26778,26260,28293,28442,28448,28375,28832,29338,28778,28580,28293,28631,28873,27967,28489,28606,28480
"22","40","A     Furniture and related product manufacturing","KS337W0",1389,1395,1361,1323,1349,1327,1371,1360,1355,1351,1342,1365,1368,1380,1430,1449,1462,1462,1503,1506,1497,1461,1458,1469,1513,1486,1468,1426,1434,1459,1453,1482,1422,1449,1502,1510,1523,1554,1561,1582,1568,1583,1580,1598,1588,1575,1588,1569,1594,1620,1596,1608,1592,1548,1533,1472,1457,1456,1449,1425,1482,1447,1435,1455,1476,1432,1434,1383,1399,1396,1381,1302,1349,1362,1393,1383,1309,1334,1358,1315,1305,1272,1256,1232,1281,1277
"23","41","A     Miscellaneous durable goods manufacturing","KS339W0",3869,3735,3706,3647,3645,3704,3653,3626,3648,3667,3737,3660,3662,3621,3713,3723,3646,3691,3745,3670,3622,3555,3609,3559,3570,3608,3609,3638,3679,3633,3609,3614,3734,3618,3609,3688,3632,3668,3674,3743,3752,3771,3815,3801,3913,3898,3915,3887,3918,3892,3845,3821,3799,3797,3931,3861,3819,3791,3776,3729,3712,3687,3615,3663,3653,3643,3569,3611,3601,3665,3657,3735,3871,4014,4216,4080,4169,3893,4288,4267,3557,3583,3845,3852,3756,3960
"24","42","A   Nondurable goods industries","KS30NW0",26418,26392,26394,26626,26969,26840,26951,27548,27838,28250,28526,28626,28155,28377,28212,28444,28557,28428,28451,28169,27974,27881,28363,28007,28260,28338,28570,29149,29484,29390,29095,28739,28729,29080,29437,29400,29017,28853,28967,29023,28908,29370,29741,29546,29364,30110,29843,29546,29263,29086,28952,28933,28888,28432,28329,28615,28958,28399,28257,28590,29006,29003,29238,29245,29476,29792,30230,30942,30996,30780,30485,29943,29972,30157,30491,29911,29629,30157,30536,30525,30283,30536,30962,29895,30350,30573
"25","43","A     Food manufacturing","KS311W0",4750,4816,4749,4781,4887,4843,4828,4910,4892,4940,4954,4894,4713,4678,4552,4616,4625,4573,4578,4622,4540,4531,4575,4595,4663,4684,4676,4646,4608,4649,4653,4607,4659,4666,4747,4732,4686,4697,4768,4797,4867,4847,4836,4818,4783,4628,4705,4839,4724,4729,4739,4706,4767,4648,4529,4607,4628,4571,4607,4619,4627,4668,4621,4592,4593,4638,4671,4689,4726,4835,4862,4859,4850,4854,4894,4938,4902,4885,4919,4939,4882,4868,4798,4836,4828,4824
"26","44","A     Beverage and tobacco product manufacturing","KS312W0",784,809,894,886,1004,998,1118,1313,1391,1436,1437,1524,1539,1583,1643,1683,1642,1651,1606,1367,1259,1300,1403,1516,1562,1623,1574,1585,1545,1553,1483,1443,1308,1461,1448,1437,1511,1511,1527,1646,1643,1721,1760,1728,1749,1779,1804,1913,1826,1885,1845,1903,1958,1997,2086,2154,2137,2113,2134,2118,2201,2217,2262,2209,2251,2197,2130,2207,2309,2263,2193,2245,2235,2226,2246,2286,2298,2331,2419,2429,2531,2543,2560,2608,2627,2638
"27","45","A     Textile mills","KS313W0",1738,1719,1676,1718,1716,1683,1678,1675,1672,1695,1682,1662,1651,1665,1653,1658,1616,1656,1671,1681,1681,1652,1646,1636,1633,1605,1610,1608,1598,1577,1594,1573,1582,1606,1632,1632,1622,1614,1595,1617,1631,1625,1539,1574,1555,1555,1515,1517,1498,1495,1504,1492,1466,1464,1437,1406,1396,1372,1369,1335,1299,1291,1261,1220,1214,1195,1187,1197,1103,1116,1105,1142,1166,1160,1146,1143,1201,1204,1202,1198,1199,1191,1184,1194,1189,1177
"28","46","A     Textile product mills","KS314W0",748,769,761,758,775,780,777,786,804,813,808,837,844,845,838,834,828,825,817,821,804,801,799,796,770,770,792,802,821,844,831,828,839,849,856,860,872,880,884,883,893,886,903,900,920,900,898,878,870,855,844,860,828,833,819,821,823,813,825,827,824,827,823,827,819,809,806,808,792,804,802,779,794,792,803,775,776,771,773,768,786,767,743,750,776,754
"29","47","A     Apparel manufacturing","KS315W0",1598,1629,1642,1654,1663,1701,1738,1712,1702,1726,1734,1795,1745,1691,1675,1670,1714,1679,1683,1697,1685,1662,1654,1636,1579,1589,1584,1653,1636,1703,1698,1751,1734,1821,1801,1813,1856,1859,1874,1815,1821,1833,1847,1827,1832,1780,1774,1731,1748,1699,1648,1614,1546,1460,1357,1339,1345,1340,1321,1284,1258,1244,1227,1222,1249,1257,1274,1295,1185,1178,1195,1203,1190,1163,1148,1131,1037,1073,1058,1051,1057,1054,1043,1023,1006,987
"30","48","A     Leather and allied product manufacturing","KS316W0",317,324,336,343,339,340,317,324,328,335,354,334,340,347,334,330,327,314,316,311,304,301,307,318,312,304,298,302,295,301,310,306,319,330,320,319,315,319,307,308,310,316,304,309,318,297,301,298,310,302,305,294,280,272,268,272,269,266,265,258,252,247,241,240,243,247,242,235,224,226,214,210,199,197,198,192,190,183,186,182,186,196,210,205,212,207
"31","49","A     Paper manufacturing","KS322W0",1557,1569,1588,1579,1586,1571,1558,1572,1609,1602,1595,1627,1633,1615,1589,1587,1568,1495,1514,1518,1464,1447,1453,1501,1501,1516,1550,1535,1544,1562,1562,1563,1608,1613,1670,1606,1620,1614,1588,1592,1578,1610,1611,1597,1600,1586,1565,1527,1515,1527,1457,1445,1471,1442,1425,1449,1468,1497,1501,1511,1523,1488,1527,1557,1553,1563,1588,1624,1536,1501,1498,1470,1445,1433,1481,1470,1448,1439,1430,1418,1438,1441,1437,1360,1396,1383
"32","50","A     Printing and related support activities","KS323W0",1402,1285,1181,1241,1258,1192,1247,1450,1415,1406,1475,1378,1276,1310,1225,1325,1389,1368,1385,1331,1376,1283,1234,1259,1303,1286,1380,1581,1456,1457,1473,1260,1329,1370,1415,1422,1444,1508,1389,1295,1324,1346,1255,1345,1344,1436,1396,1295,1288,1257,1264,1203,1219,1233,1207,1260,1219,1119,1054,1160,1161,1055,1140,1180,1175,1272,1307,1302,1190,1331,1291,1144,1129,1175,1207,1081,1049,1009,1034,1063,1021,1017,1078,1059,951,1027
"33","51","A     Petroleum and coal product manufacturing","KS324W0",3728,3682,3757,3847,3800,3848,3816,3971,4118,4209,4325,4213,4064,4326,4369,4287,4343,4313,4239,3916,4195,4262,4052,3927,3810,3443,3735,3746,3659,3551,3465,3645,3597,3518,3749,3773,3763,3611,3593,3685,3642,3791,3795,3709,3762,4195,3826,3747,3733,3821,3760,3750,3810,3766,3852,3767,4070,3843,3830,3997,4046,3918,4310,4416,4476,4568,4656,4746,4750,4697,4466,4755,4674,4620,4764,4360,3936,4314,4598,4564,4364,4793,4695,4402,4626,4662
"34","52","A     Chemical manufacturing","KS325W0",7761,7725,7791,7817,7849,7807,7800,7803,7859,8098,8190,8341,8334,8394,8426,8509,8583,8605,8666,8722,8620,8649,9120,8624,8782,9010,8979,9247,9843,9682,9509,9349,9341,9441,9474,9455,9101,9038,9175,9118,8963,9187,9689,9548,9339,9759,9975,9587,9468,9258,9359,9442,9374,9142,9185,9366,9492,9329,9218,9389,9755,9959,9676,9659,9773,9987,10289,10766,11070,10723,10769,10065,10216,10444,10494,10443,10670,10767,10822,10885,10714,10616,11148,10360,10635,10813
"35","53","A     Plastics and rubber product manufacturing","KS326W0",2113,2129,2106,2105,2167,2172,2157,2145,2199,2161,2171,2183,2155,2162,2184,2172,2170,2197,2189,2254,2268,2266,2273,2304,2392,2373,2390,2417,2417,2413,2412,2376,2377,2347,2309,2349,2224,2198,2259,2258,2225,2199,2194,2185,2155,2176,2079,2212,2282,2265,2233,2234,2183,2189,2192,2178,2160,2152,2147,2138,2103,2096,2247,2242,2245,2187,2217,2207,2216,2224,2200,2180,2185,2217,2226,2209,2215,2283,2200,2132,2203,2164,2169,2194,2181,2176
