"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31"
"19","11","A     Transportation equipment manufacturing","KS3360",69327,69109,69791,69798,73739,77314,78756,81590,81266,79867,80637,81363,79729,76762,74594,72238,70605,70030,69655,69468,67097,66873,65802,67238,67041,66777,65809,65733
"20","12","D       Motor vehicle and parts manufacturing","KS3MV0",22857,22916,23447,22823,23643,23464,23037,23981,24737,24637,24606,25635,25497,25792,25880,25455,24662,24474,23741,22909,22747,23321,23743,23648,23428,23165,22793,22900
"21","13","D       Other transportation equipment manufacturing","KS3OT0",46424,46143,46284,46934,50059,53852,55739,57619,56535,55234,56036,55731,54232,50968,48717,46786,45946,45561,45908,46530,44347,43580,42124,43622,43638,43627,43029,42853
"22","14","A     Furniture and related product manufacturing","KS3370",7101,7245,7192,7227,7297,7346,7356,7384,7500,7533,7523,7729,7864,8002,8085,7963,8082,7929,7776,7484,7322,7358,7326,7343,7309,7301,7059,6861
"23","15","A     Miscellaneous durable goods manufacturing","KS3390",14237,14179,14114,14519,14808,14913,15112,14995,15243,15466,15627,15773,15952,16198,16603,16626,16663,16528,16570,16693,16774,17287,17512,17645,17788,17604,17777,17995
"24","16","A   Nondurable goods manufacturing industries","KS30N0",163113,164779,166370,169003,169986,169843,169398,169352,170611,172725,174407,177841,178485,179770,179813,178466,177439,175377,174708,174940,175922,176281,178444,177024,177271,176936,176894,174835
"25","17","A     Food manufacturing","KS3110",30950,31313,31492,31937,32140,32040,31899,32049,32517,32717,33182,33679,34550,34207,34119,34159,33879,33878,33547,33903,34063,34786,34841,34444,34535,33921,33642,32762
"26","18","A     Beverage and tobacco product manufacturing","KS3120",11352,11586,11921,12154,12382,12005,11835,12074,11836,11846,11478,11908,12037,12062,12119,11798,11981,11986,12269,12344,12434,12393,12390,12076,11997,12138,12348,12046
"27","19","A     Textile mills","KS3130",6726,6722,6704,6684,6762,6757,6798,6813,6775,6824,6849,7001,6839,6772,6663,6578,6430,6329,6145,5883,5557,5350,5319,5275,5363,5426,5416,5281
"28","20","A     Textile product mills","KS3140",3562,3690,3762,3801,3788,3685,3640,3581,3654,3792,3823,3924,4033,4212,4293,4341,4346,4294,4318,4460,4367,4549,4665,4667,4775,4750,4811,4955
"29","21","A     Apparel manufacturing","KS3150",8082,8384,8522,8506,8491,8347,8397,8446,8439,8666,9000,9086,8925,8744,8687,8804,8585,8284,7639,7080,6611,6475,6593,6652,6842,6930,6948,6858
"30","22","A     Leather and allied product manufacturing","KS3160",1551,1628,1623,1662,1698,1717,1713,1686,1647,1666,1682,1696,1682,1655,1643,1594,1610,1480,1486,1422,1323,1353,1407,1466,1442,1442,1416,1484
"31","23","A     Paper manufacturing","KS3220",15999,15579,15794,16130,16132,16313,16177,15764,15966,16274,16810,16811,17112,17184,16941,16267,15799,15474,15550,16030,16245,16449,16522,16612,16737,16715,16468,16045
"32","24","A     Printing and related support activities","KS3230",6418,6550,6483,6708,6452,6431,6578,6210,6354,6591,6678,6911,7025,6847,6790,6552,6492,6229,6168,6261,6136,6528,6422,6576,6476,6208,6240,6156
"33","25","A     Petroleum and coal product manufacturing","KS3240",16148,16184,16468,16606,15831,15709,15386,15812,15426,14697,15239,15515,15351,15864,15489,15208,15480,15954,16263,16391,16824,16860,17440,17467,17208,17141,17504,16949
"34","26","A     Chemical manufacturing","KS3250",46439,47010,47568,48642,49808,50070,49970,49797,50491,51707,51553,52948,52781,53745,54733,54802,54596,53856,53794,53637,53649,53282,54290,53559,53475,53745,53807,53653
"35","27","A     Plastics and rubber product manufacturing","KS3260",16389,16596,16557,16698,16741,16971,17059,17422,17630,17767,18073,18357,18138,18455,18314,18358,18273,17725,17685,17700,19005,18546,18859,18568,18813,18908,18695,19085
"36","28","A Merchant wholesale industries","KS42W0",236476,243631,247480,254081,260527,263076,270179,274423,278872,280366,285756,291968,296511,302011,304819,307035,307034,306989,303182,296987,294202,293088,294192,295364,295293,294225,294255,295142
"37","29","A   Durable goods merchant wholesale industries","KS42WD0",144620,150667,152528,156023,161417,162675,167288,170846,173656,175442,178158,182814,185770,191088,191864,192822,192977,188593,183867,177932,174848,173423,175042,175795,176781,175705,174274,176426
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KS42110",21534,22653,23001,22507,23695,21917,22195,22951,23384,23953,24855,25271,26030,26667,25699,25995,25774,25150,25133,24238,23716,24294,24964,25820,26045,26447,25340,26881
"39","31","D     Furniture and home furnishings wholesalers","KS42120",4766,4962,5065,5124,5091,5245,5296,5271,5303,5350,5361,5549,5686,5949,5880,5972,5984,5673,5548,5378,5202,5193,5227,5235,5368,5393,5365,5581
"40","32","D     Lumber and other construction materials wholesalers","KS42130",5269,5500,5604,5597,5548,5571,5526,5545,5575,5666,5774,5932,6128,6262,6186,6380,6222,5883,6186,6374,6255,6239,6327,6481,6550,6434,6372,6808
"41","33","D     Professional and commercial equipment wholesalers","KS42140",15410,17173,18156,19029,20707,20754,21082,20970,21875,22342,22835,24404,24403,24576,25365,25293,25225,24821,23952,23277,23313,23894,24186,23943,24906,25029,25560,25530
"42","34","D       Computers and software wholesalers","KS42430",6871,8020,8725,9147,10326,10455,10504,10907,11227,11804,12018,13100,12319,12095,12817,12680,12867,12255,11801,11523,12020,12578,12612,12284,13047,13278,13103,13704
"43","35","D       Other professional and commercial equipment wholesalers","KS424X0",9381,9726,9826,10314,10597,10459,10793,10123,10742,10565,10845,11303,12114,12505,12565,12612,12382,12528,12111,11730,11402,11508,11739,11762,12062,12017,12551,12171
"44","36","D     Metal and mineral (except petroleum) wholesalers","KS42150",13038,13300,13271,13319,13666,13783,14331,14737,14379,14640,14487,15029,15679,16026,16007,15375,15096,14926,14562,14243,14132,14023,14526,14401,14234,13945,13816,14176
"45","37","D     Electrical goods wholesalers","KS42160",20528,20668,20644,20520,21220,21872,22223,22441,22559,22936,24037,25707,26044,26967,28034,29184,29365,28234,26337,24415,23760,23429,24203,24314,24123,23851,23821,23680
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KS42170",9378,9613,9667,9664,10066,10373,10388,10484,10556,10571,10548,10701,10919,11416,11428,11614,11402,11190,11261,11018,10825,10737,10804,10861,11221,10936,10828,10883
"47","39","D     Machinery, equipment, and supplies wholesalers","KS42180",40679,42606,42082,44402,45163,46386,48198,50068,51037,51218,51450,51167,51377,52486,52645,51914,52615,52318,50801,48984,47933,46337,45759,45592,45271,44633,43982,43471
"48","40","D     Miscellaneous durable goods wholesalers","KS42190",15238,14956,15444,16125,16220,16774,18152,18623,19155,18885,18876,19057,19509,20740,20620,21098,21288,20385,20033,19995,19769,19455,19271,19350,19403,19451,19722,19924
"49","41","A   Nondurable goods merchant wholesale industries","KS42WN0",92081,93053,95088,98242,99197,100513,102992,103620,105257,104922,107624,109154,110743,110922,112958,114213,114074,118281,119143,118842,119098,119378,118899,119312,118324,118301,119660,118520
"50","42","D     Paper and paper products wholesalers","KS42210",7726,7803,8233,8266,8353,8319,8285,8417,8548,8605,8678,8463,8798,8723,8824,8942,8853,8733,8613,8452,8311,8460,8320,8322,8360,8304,8325,8619
"51","43","D     Drugs and druggists' sundries wholesalers","KS42220",14148,14456,15267,15568,16349,16054,16052,16528,17387,18830,19303,19706,20810,21528,22663,23951,24670,27158,29449,30099,30237,29731,29761,30562,31639,31810,32365,31356
"52","44","D     Apparel, piece goods, and notions wholesalers","KS42230",11992,12384,12358,12860,12646,12769,12770,12873,12539,11848,11650,12084,12268,12222,12282,12049,12611,13216,12719,11819,11680,11627,12319,11892,11848,11817,11494,11327
"53","45","D     Grocery and related products wholesalers","KS42240",16852,17043,16970,17816,17709,18213,18109,17795,18465,18289,19174,19800,19710,19307,20080,20249,19704,19438,19283,19423,19435,20546,20568,20710,20596,19767,20157,20192
"54","46","D     Farm product raw material wholesalers","KS42250",9847,9839,10042,10736,10417,10762,12380,12645,12717,13005,14024,13588,13868,13724,14116,14209,13599,14103,13740,13826,14031,13809,12432,11737,11379,11594,11817,11801
"55","47","D     Chemical and allied products wholesalers","KS42260",4731,4913,4923,4915,4821,4948,5259,5331,5373,5318,5332,5487,5488,5404,5195,5088,5031,5206,5322,5311,5303,5176,5222,5137,4910,4937,4914,5015
"56","48","D     Petroleum and petroleum products wholesalers","KS42270",6291,6409,6391,6630,7001,7415,7928,7363,7461,6912,6540,5931,5581,5631,5420,5452,5386,5485,5701,6946,7010,6550,6561,6742,5636,6471,6526,6436
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",4790,5015,5117,5456,5794,5675,5798,5660,6285,6058,5981,6012,6100,6040,6085,6249,6040,6186,6108,6044,6275,6299,6379,6666,6692,6685,6709,6807
"58","50","D     Miscellaneous nondurable goods wholesalers","KS42290",16360,15884,16537,16599,16966,17261,17274,17561,17030,16393,17111,18066,18076,18307,18270,18007,18146,18695,18142,17085,16957,17187,17444,17703,17552,17136,17523,17151
"59","51","A Retail trade industries","KS440",325441,330810,335557,340561,350400,353173,355715,357859,366348,369513,373670,385517,387559,396651,402422,407133,406011,402301,401767,396018,396860,401660,408553,415212,421975,425808,428565,432097
"60","52","A   Motor vehicle and parts dealers","KS4410",100539,101653,103460,106600,110379,110304,109359,108868,114186,114292,116219,121928,122981,129069,133067,134232,131790,129805,129529,125360,126352,129597,133189,138288,143067,146928,147217,148260
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KS44230",19623,19936,20096,20291,20901,21150,21684,22218,22560,23239,23755,24336,24927,25720,25590,26437,26380,25804,25459,25964,26978,27665,28488,28656,28747,29626,30147,31110
"62","54","A   Building material and garden equipment and supplies dealers","KS4440",32690,33182,33800,34030,34795,34864,35642,36369,36896,37197,37591,38660,38880,39751,40309,40040,40094,40031,40062,40060,40985,40978,41395,42184,43017,43456,44972,45654
"63","55","A   Food and beverage stores","KS4450",28530,28540,29014,28819,29394,29889,29891,30065,30507,30727,31430,31910,31962,31537,31721,31757,32084,32225,32252,32333,31914,31958,32457,32367,32560,32342,32682,32035
"64","56","A   Clothing and clothing accessories stores","KS4480",25941,26806,27219,27573,28022,28507,29029,28723,29277,29703,28989,29996,30037,30606,31420,32527,32529,32305,32320,31537,30992,31533,32127,32477,33231,32960,32788,32796
"65","57","A   General merchandise stores","KS4520",58151,58954,58649,59047,59534,59652,60324,59921,60449,60683,61289,62618,62794,63295,63038,63682,65520,65461,64969,63619,62848,62771,63595,64769,64848,64733,64710,65777
"66","58","D     Department stores","KS45210",41861,42353,41991,42469,42527,42353,42559,41766,41923,41805,41805,42422,42098,42110,41552,41797,42393,41987,41479,39679,38486,37554,37163,36764,36387,35758,35441,34943
"67","59","D     Other general merchandise stores","KS45290",16262,16575,16634,16550,16984,17280,17750,18145,18519,18873,19482,20196,20698,21187,21488,21885,23124,23468,23482,23920,24332,25172,26372,27924,28372,28873,29160,30692
"68","60","A   Other retail stores","KS44X0",59954,61718,63334,64235,67428,68853,69778,71703,72480,73665,74393,76055,75956,76654,77256,78444,77602,76636,77130,77118,76818,77239,77426,76675,76784,76201,76468,76985
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2000 equals the current-dollar change in inventories for 2000 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","average of the 1999 and 2000 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","index and the 2000 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the formual for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
