"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"11","4","Equals: Gross national product","A001RC1",104.4,91.9,77,59.1,56.7,66.3,73.6,84,92.2,86.5,92.5,101.7,127.2,162.3,198.9,220.1,223.4,222.9,245.3,270.6,268.6,295.2,341.2,360.3,381.3,382.5,417.2,440.3,464.1,469.8,509.3,529.5,548.2,589.7,622.2,668.5,724.4,792.9,838,916.1,990.7,1044.9,1134.7,1246.8,1395.3,1515.5,1651.3,1842.1,2051.2,2316.3,2595.3,2823.7,3161.4,3291.5,3573.8,3969.5,4246.8,4480.6,4757.4,5127.4,5510.6,5837.9,6026.3,6367.4,6689.3,7098.4,7433.4,7851.9,8337.3,8768.3,9302.2,9855.9,10171.6,10500.2,11017.6,11758.7,12487.7,NA
"12","5","Less: Consumption of fixed capital","A262RC1",9.4,9.2,8.6,7.5,7.2,7.6,7.6,7.8,8.7,9,9,9.4,10.8,13.4,16.3,19.4,21.1,23.3,26.4,28.1,28.7,29.4,33.2,35.7,37.8,39.9,42.1,46.4,49.9,52,53,55.6,57.2,59.3,62.4,65,69.4,75.6,81.5,88.4,97.9,106.7,115,126.5,139.3,162.5,187.7,205.2,230,262.3,300.1,343,388.1,426.9,443.8,472.6,506.7,531.3,561.9,597.6,644.3,682.5,725.9,751.9,776.4,833.7,878.4,918.1,974.4,1030.2,1101.3,1187.8,1281.5,1292,1336.5,1436.2,1604.8,1576.2
"13","6","        Private","A024RC1",8.4,8.3,7.7,6.7,6.3,6.5,6.5,6.6,7.4,7.6,7.6,7.9,8.8,9.9,10,10.5,10.9,12.5,15.7,18.4,20,21.5,24.6,26.1,27.3,28.7,30.3,33.6,36.3,38.1,38.6,40.5,41.6,42.8,44.9,46.9,50.5,55.5,59.9,65.2,73.1,80,86.7,97.1,107.9,126.6,147.8,162.5,184.3,212.8,245.7,281.1,317.9,349.8,362.1,385.6,414,431.8,455.3,483.5,522.1,551.6,586.9,607.3,624.7,675.1,713.4,748.8,800.3,851.2,914.3,990.8,1075.5,1080.3,1118.3,1205.4,1352.6,1310.6
"14","7","          Domestic business","W276RC1",7.3,7.2,6.7,5.9,5.5,5.6,5.6,5.7,6.3,6.5,6.4,6.7,7.5,8.5,8.5,8.8,9.2,10.5,13.2,15.5,16.9,18.1,20.7,21.9,22.9,24.1,25.3,28.1,30.4,32.1,32.2,33.9,34.7,35.6,37.5,39,41.9,46.3,50,54.4,61.2,67.2,72.5,80.9,89.9,105.9,124.4,136.9,155.3,179.3,206.9,236.8,268.9,297.3,307.4,328,353,366.9,385.7,408.9,440.6,466.4,497.4,510.5,524.6,568,600.2,630.7,675.2,718.3,769.8,836.1,903.7,893.6,916.6,969.5,1059.1,1050.4
"15","8","            Capital consumption allowances","Y0000C1",6.2,6.2,6.2,5.7,5.3,5.2,5.2,5.3,5.4,5.5,5.6,5.8,6.4,7.5,8,8.9,9.3,7.9,9.9,11.8,13.5,14.9,17.1,18.8,21,23,25.7,27.9,30.3,31.6,33.5,35.3,36.7,41,43.5,46.2,49.5,53.5,57.9,62.6,68.9,73.9,79.5,88.9,97,107.6,118.5,128.6,146.2,165.5,190,217.1,269.3,309.4,347.8,393.4,445.4,458.4,475.1,501,523.1,521.1,530.1,544.9,569.3,615.1,651.8,696.7,756.5,809.6,883.6,943.9,1028.7,1109.3,1123.6,1155.9,953.1,966.4
"16","9","            Less: Capital consumption adjustment","Y0004C1",-1.2,-0.9,-0.5,-0.2,-0.2,-0.4,-0.4,-0.4,-0.9,-1,-0.9,-0.9,-1,-1,-0.5,0,0.1,-2.6,-3.4,-3.8,-3.4,-3.2,-3.6,-3.1,-1.9,-1.1,0.4,-0.2,-0.1,-0.4,1.4,1.4,2,5.4,6,7.2,7.6,7.2,7.8,8.2,7.7,6.7,6.9,8.1,7.1,1.7,-5.9,-8.3,-9.1,-13.7,-16.9,-19.8,0.4,12.1,40.4,65.4,92.4,91.5,89.4,92.1,82.5,54.7,32.7,34.4,44.7,47.1,51.6,66.1,81.3,91.4,113.7,107.8,124.9,215.7,207,186.4,-106.1,-84
"17","10","          Households and institutions","W279RC1",1.1,1.1,1,0.8,0.8,0.9,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2.5,2.9,3.1,3.3,3.8,4.2,4.4,4.7,5,5.5,5.8,6.1,6.4,6.7,6.9,7.2,7.5,7.9,8.5,9.2,9.9,10.8,12,12.9,14.2,16.2,18,20.7,23.4,25.6,29,33.6,38.8,44.3,49,52.5,54.7,57.6,61,64.9,69.5,74.6,81.5,85.1,89.5,96.8,100.1,107.1,113.2,118.2,125.1,132.9,144.5,154.8,171.7,186.8,201.7,235.9,293.5,260.1
"18","11","        Government","A264RC1",1,0.9,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.2,8.9,10.1,10.8,10.7,9.7,8.7,8,8.7,9.6,10.5,11.2,11.8,12.8,13.6,13.9,14.5,15,15.6,16.5,17.5,18.1,18.9,20.1,21.6,23.1,24.8,26.7,28.3,29.5,31.4,35.9,40,42.6,45.7,49.5,54.5,61.8,70.1,77.1,81.7,87,92.7,99.5,106.7,114.1,122.2,130.9,139.1,144.6,151.8,158.6,165,169.3,174.1,179,187,197,206,211.6,218.2,230.8,252.2,265.7
"19","12","          General government","A265RC1",0.8,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.8,3.2,5.9,8.6,9.8,10.5,10.3,9.2,8.2,7.5,8.1,8.9,9.8,10.4,11,11.9,12.7,12.9,13.5,13.9,14.4,15.3,16.2,16.7,17.4,18.5,19.8,21.1,22.6,24.2,25.5,26.4,27.8,31.6,34.9,37.1,39.7,42.8,46.9,53.1,60.2,66.3,70.2,74.8,79.8,85.7,92.1,98.4,105.3,113.1,120.2,124.8,130.6,135.9,141.4,144.6,148.2,151.9,158.4,166.4,172.7,178.3,183.2,192.7,207.2,221.5
"20","13","          Government enterprises","A266RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2,2.5,2.8,3.1,3.5,4.3,5.1,5.5,6,6.7,7.6,8.8,10,10.9,11.5,12.2,12.9,13.8,14.6,15.6,16.9,17.9,18.8,19.8,21.1,22.7,23.6,24.6,25.9,27.1,28.6,30.6,33.3,33.4,35,38,45.1,44.2
"21","14","Equals: Net national product","A027RC1",95,82.7,68.4,51.6,49.5,58.7,66.1,76.2,83.6,77.5,83.6,92.3,116.4,148.9,182.7,200.7,202.3,199.6,218.9,242.5,239.9,265.8,308,324.6,343.5,342.6,375.1,393.9,414.3,417.8,456.3,473.9,491,530.5,559.8,603.5,655,717.3,756.5,827.7,892.8,938.2,1019.7,1120.3,1256,1353,1463.6,1637,1821.2,2054,2295.1,2480.7,2773.3,2864.6,3130,3496.9,3740.1,3949.3,4195.4,4529.8,4866.3,5155.4,5300.4,5615.5,5912.9,6264.7,6555.1,6933.8,7362.8,7738.2,8200.9,8668.1,8890.2,9208.3,9681.1,10322.6,10882.9,NA
"22","15","Less: Statistical discrepancy","A030RC1",0.8,-0.4,0.8,0.3,0.6,0.4,-0.2,1.2,0,0.7,1.3,1.1,0.3,-0.9,-1.8,2.6,3.9,1.2,2.3,-0.5,1.8,1.4,3.6,2.8,4,3.2,2.5,-1.7,0,1,0.5,-0.9,-0.6,0.4,-0.8,0.8,1.6,6.3,4.6,4.6,3.2,7.3,11.6,9.1,8.6,10.9,17.7,25.1,22.3,26.6,46,41.4,30.9,0.3,45.7,14.6,16.7,47,21.7,-19.5,39.7,66.2,72.5,102.7,139.5,142.5,101.2,93.7,70.7,-14.6,-35.7,-127.2,-89.6,-21,48.8,66.7,71,NA
"23","16","Equals: National income","A032RC1",94.2,83.1,67.6,51.3,48.9,58.3,66.3,75,83.6,76.8,82.2,91.2,116,149.8,184.5,198.2,198.4,198.5,216.6,243,238,264.4,304.3,321.8,339.5,339.4,372.7,395.6,414.3,416.8,455.8,474.9,491.6,530.1,560.6,602.7,653.4,711,751.9,823.2,889.7,930.9,1008.1,1111.2,1247.4,1342.1,1445.9,1611.8,1798.9,2027.4,2249.1,2439.3,2742.4,2864.3,3084.2,3482.3,3723.4,3902.3,4173.7,4549.4,4826.6,5089.1,5227.9,5512.8,5773.4,6122.3,6453.9,6840.1,7292.2,7752.8,8236.7,8795.2,8979.8,9229.3,9632.3,10255.9,10811.8,NA
"24","17","Less: Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",10.8,7.5,2.9,-0.2,-0.1,2.5,4,6.2,7.1,5,6.6,9.8,15.5,20.6,24.9,24.9,20.3,17.8,23.7,31.2,29.1,36,41.2,39.3,39.7,38.8,49.5,48.5,48.4,43.5,55.7,53.8,54.9,63.3,69,76.5,87.5,93.2,91.3,98.8,95.4,83.6,98,112.1,125.5,115.8,134.8,163.3,192.4,216.6,223.2,201.1,226.1,209.7,264.2,318.6,330.3,319.5,368.8,432.6,426.6,437.8,451.2,479.3,541.9,600.3,696.7,786.2,868.5,801.6,851.3,817.9,767.3,886.3,993.1,1182.6,1330.7,NA
"25","18","      Taxes on production and imports less subsidies \1\","W254RC1",6.8,7,6.6,6.5,6.8,7.2,7.5,8.3,8.7,8.6,8.5,9.2,10.7,11.2,12,12.8,14.1,15.7,17.9,19.4,20.6,22.4,24,26.7,29,29,31.7,33.9,36,36.8,40,43.4,45,48.2,51.2,54.6,57.8,59.3,64.2,72.3,79.4,86.7,95.9,101.4,112.1,121.7,131,141.5,152.8,162.2,171.9,190.9,224.5,226.4,242.5,269.3,287.3,298.9,317.7,345.5,372.1,398.7,430.2,453.9,467,513.5,524.2,546.8,579.1,604.4,629.8,664.6,673.3,724.4,759.3,819.4,865.1,912.2
"26","19","      Contributions for government social insurance","A061RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.6,5.6,4.6,4.9,5.5,6.6,6.9,7.1,8.1,9.1,10,11.4,11.4,13.8,16.4,17,19.1,21.7,22.4,23.4,31.3,34.9,38.7,44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.7,508.2,532.8,555.2,587.2,624.2,661.4,702.7,731.1,750,778.6,826.4,880.6,944.5
"27","20","      Net interest and miscellaneous payments on assets","W255RC1",4.6,4.8,4.8,4.5,4,4,4.1,3.8,3.7,3.6,3.6,3.3,3.3,3.2,2.9,2.4,2.3,1.9,2.5,2.6,2.9,3.2,3.7,4.1,4.7,5.6,6.2,6.9,8,9.5,9.6,10.6,12.5,14.2,15.2,17.4,19.6,22.4,25.5,27.1,32.7,39.1,43.9,47.9,55.2,70.8,81.6,85.5,101.1,115,138.9,181.8,232.3,271.1,285.3,327.1,341.3,366.8,366.4,385.3,432.1,442.2,418.2,388.5,365.7,366.4,367.1,376.2,415.6,487.1,495.4,559,566.3,520.9,524.7,485.1,483.4,510.6
"28","21","      Business current transfer payments (net)","B029RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.9,1.2,1.3,1.2,1,1.4,1.7,1.9,1.8,1.8,1.9,2,2.2,2.7,3.1,3.6,3.5,3.8,4.3,4.9,4.5,4.3,4.9,6,7.1,9.4,9.5,8.4,10.6,13,14.4,17.6,20.1,22.5,30.1,34.8,36.6,33.8,34,39.2,39.4,39.9,42.4,40.7,43.3,46.9,53.1,49.9,64.7,67.4,87.1,92.8,84.3,83.8,85.5,74.2,93.1
"29","22","      Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.6,-1.9,-2.6,-4.8,-4.9,-4,-3.1,-1.9,0.8,1.3,1.2,2.5,4.9,1.6,5.7,7.6,7.2,8.6,11.4,12.7,12.6,10.3,10.1,5.3,-1.4,0.9,1.7,-5,-15.4,-9.9
"30","23","      Wage accruals less disbursements","A062RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0,0.1,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,-0.1,-0.5,0.1,0.1,0.1,0.3,-0.2,0,0.1,0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,-15.8,6.4,17.6,16.4,3.6,-2.9,-0.7,5.2,0,0,0,15,-15,0,12.5
"31","24","Plus: Personal income receipts on assets","W210RC1",12.5,11.7,10.3,8.4,7.4,8,8.3,9.8,10,8.4,9.1,9.3,9.8,9.5,9.7,9.9,10.6,12.3,13.9,15.1,16,18.6,19.1,19.9,21.6,23.2,25.7,28.2,30.6,31.9,34.6,37.9,40.1,44.1,47.9,53.8,59.4,64.1,69,75.2,84.1,93.5,101,109.6,124.7,146.4,162.2,178.4,205.3,234.8,274.7,338.7,421.9,488.4,529.6,607.9,654,695.5,717,769.3,878,924,932,910.9,901.8,950.8,1016.4,1089.2,1181.7,1283.2,1264.2,1387,1380,1333.2,1336.6,1427.9,1519.4,1657.6
"32","25","      Personal current transfer receipts","A577RC1",1.2,1.2,2.3,1.7,1.7,1.8,2,3.1,2,2.4,2.5,2.7,2.7,2.7,2.5,3.1,5.6,10.6,10.8,10.3,11.2,14,11.4,11.9,12.5,14.3,15.7,16.8,19.5,23.5,24.2,25.7,29.5,30.4,32.2,33.5,36.2,39.6,48,56.1,62.3,74.7,88.1,97.9,112.6,133.3,170,184,194.2,209.6,235.3,279.5,318.4,354.8,383.7,400.1,424.9,451,467.6,496.6,543.4,595.2,666.4,749.4,790.1,827.3,877.4,925,951.2,978.6,1022.1,1084,1193.9,1286.2,1351,1426.5,1526.6,1602.3
"33","26","Equals: Personal income","A065RC1",85.1,76.3,65.3,49.9,46.9,53.7,60.4,68.7,74.1,68.4,72.9,78.5,96.1,123.5,152.2,166,171.7,178.6,191,209.8,207.1,229,258,275.4,291.9,294.5,316.1,339.6,358.7,369,392.8,411.5,429,456.7,479.6,514.6,555.7,603.9,648.3,712,778.5,838.8,903.5,992.7,1110.7,1222.6,1335,1474.8,1633.2,1837.7,2062.2,2307.9,2591.3,2775.3,2960.7,3289.5,3526.7,3722.4,3947.4,4253.7,4587.8,4878.6,5051,5362,5558.5,5842.5,6152.3,6520.6,6915.1,7423,7802.4,8429.7,8724.1,8881.9,9163.6,9731.4,10239.2,10884
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Gross domestic income","A261RC1",102.8,91.6,75.7,58.4,55.9,65.6,73.5,82.6,91.9,85.4,90.9,100.3,126.4,162.8,200.4,217.2,219.2,221.1,241.9,269.7,265.4,292.4,335.7,355.6,375.3,377.2,412.3,439.2,461.1,466.2,506.1,527.3,545.3,585.3,618.5,662.8,717.5,781.5,828,905.4,981.4,1031.2,1115.5,1229.2,1374.1,1489.1,1620.6,1800.1,2008.7,2268.1,2517.3,2748.1,3097.5,3254.7,3490.9,3918.6,4203.6,4415.8,4717.8,5123.3,5444.7,5736.8,5923.4,6235,6517.9,6929.7,7296.5,7723.2,8233.7,8761.6,9304.1,9944.1,10217.6,10490.6,10912,11645.8,12384.8,NA
"36","28","  Gross national income","A023RC1",103.6,92.3,76.2,58.8,56.2,65.9,73.9,82.8,92.3,85.8,91.2,100.6,126.8,163.2,200.7,217.5,219.5,221.8,243,271.1,266.7,293.8,337.6,357.5,377.2,379.3,414.8,441.9,464.1,468.8,508.9,530.4,548.8,589.4,623,667.7,722.8,786.6,833.4,911.5,987.6,1037.6,1123.1,1237.7,1386.7,1504.6,1633.6,1817,2028.9,2289.7,2549.2,2782.3,3130.4,3291.2,3528,3954.9,4230.1,4433.6,4735.7,5147,5470.9,5771.6,5953.8,6264.7,6549.8,6955.9,7332.3,7758.2,8266.6,8783,9337.9,9983.1,10261.3,10521.2,10968.8,11692,12416.6,NA
"37","29","  Gross national factor income \2\","X023RC1",96.2,84.9,69.1,51.7,48.9,58.1,65.9,74,83,76.8,82.3,91,115.5,151.5,188.1,203.9,204.5,205.4,224.4,251,245.3,270.6,312.4,329.6,347,349.3,381.7,406.3,426.3,430.2,466.1,484.2,500.9,538.1,567.8,608.6,660.1,722.7,764.5,833.7,902.2,946.4,1023.1,1130.9,1269,1376.7,1496.5,1667.8,1870.4,2118.8,2366.9,2581.8,2893.3,3048.7,3266.2,3657.4,3907.2,4096.9,4383,4764.9,5054.6,5331.9,5478,5760.7,6034.9,6390.6,6749.7,7145.6,7625,8103.5,8630.6,9226.1,9496.5,9711.7,10124,10792.2,11492.7,NA
"38","30","  Net domestic product","A362RC1",94.2,82,67.9,51.2,49.2,58.4,65.7,75.9,83.2,77.2,83.2,92,115.9,148.5,182.4,200.4,202,199,217.8,241.1,238.6,264.4,306.1,322.6,341.6,340.5,372.7,391.1,411.2,415.2,453.5,470.8,487.5,526.4,555.3,598.6,649.7,712.2,751.1,821.6,886.7,931.8,1012.1,1111.8,1243.4,1337.5,1450.6,1620.1,1800.9,2032.4,2263.2,2446.6,2740.4,2828.1,3092.9,3460.6,3713.5,3931.5,4177.5,4506.2,4840.1,5120.6,5270,5585.8,5881,6238.5,6519.3,6898.8,7329.9,7716.8,8167.1,8629.1,8846.5,9177.6,9624.3,10276.3,10851,11668.3
"39","31","  Net domestic income","W256RC1",93.5,82.4,67.1,50.9,48.6,58,65.9,74.7,83.2,76.5,81.9,90.9,115.6,149.4,184.1,197.8,198.2,197.8,215.5,241.6,236.7,263,302.4,319.9,337.6,337.3,370.2,392.8,411.2,414.1,453.1,471.8,488.1,526,556.1,597.7,648.2,705.9,746.5,817.1,883.5,924.5,1000.5,1102.6,1234.8,1326.6,1432.9,1595,1778.7,2005.8,2217.1,2405.1,2709.4,2827.8,3047.1,3446,3696.9,3884.5,4155.9,4525.7,4800.4,5054.4,5197.5,5483.1,5741.4,6096.1,6418.1,6805.1,7259.3,7731.5,8202.9,8756.3,8936.2,9198.6,9575.5,10209.6,10780,NA
"40","32","  Net national factor income \3\","X032RC1",86.9,75.7,60.5,44.2,41.7,50.5,58.3,66.2,74.4,67.9,73.4,81.6,104.7,138.1,171.8,184.5,183.4,182.1,198,222.9,216.6,241.2,279.1,293.9,309.3,309.4,339.6,359.9,376.4,378.1,413.1,428.7,443.7,478.8,505.3,543.6,590.7,647.2,683,745.4,804.3,839.7,908.1,1004.4,1129.7,1214.2,1308.8,1462.7,1640.4,1856.5,2066.8,2238.9,2505.2,2621.8,2822.4,3184.8,3400.5,3565.6,3821.1,4167.3,4410.3,4649.4,4752.1,5008.8,5258.4,5556.9,5871.4,6227.6,6650.6,7073.3,7529.4,8038.3,8215,8419.8,8787.4,9356.1,9887.9,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
