"","Table 5#5#6U# Real Private Fixed Investment in Equipment and Sof","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"46","39","      Construction tractors","BA18RX0",1889,2138,3002,3192,2940,2882,2254,1837,1925,1931,2590,2970,2722,2289,1183
"47","40","      Other construction machinery","W214RX0",17411,19429,19922,22578,22961,23244,20871,19527,20471,23845,29487,33228,32019,27417,15489
"48","41","    Mining and oilfield machinery","C270RX0",3355,3475,4467,4443,6469,6392,7241,4700,5667,6485,8722,12885,16999,16908,13150
"49","42","    Service industry machinery","C570RX0",16298,16706,16408,18478,19955,20610,21319,20647,20506,20951,21884,21628,20627,20450,16897
"50","43","    Electrical equipment, n.e.c.","A670RX0",3433,3310,3737,4429,4255,4448,4790,5138,5447,6572,6319,6263,5166,5109,4041
"51","44","      Household appliances","BA19RX0",665,718,740,820,843,894,931,970,1038,1086,1109,1084,1012,912,795
"52","45","      Miscellaneous electrical","BA20RX0",2770,2598,3000,3610,3416,3558,3863,4170,4412,5486,5210,5179,4155,4196,3245
"53","46","    Other","C286RX0",28636,30090,32005,34503,36456,38894,40030,42883,45697,46833,48888,48854,49536,47023,40112
"54","47","  Less: Sale of equipment scrap, excluding autos","C287RX0",7134,7460,7207,7185,6496,6123,4972,5255,4740,5359,5231,5710,5933,5426,3916
"55","48","Residential equipment","B013RX0",5889,5861,5812,6239,6923,7411,7604,7908,8445,9365,9784,10150,10008,9654,8965
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. The quantity index for computers can be used to accurately measure the real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","growth rate of this component. However, because computers exhibit rapid changes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","in prices relative to other prices in the economy, the chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","should not be used to measure the component's relative importance or its contribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","to the growth rate of more aggregate series; accurate estimates of these contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","are shown in table 5.5.2 and real growth rates are shown in table 5.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Includes net purchases of used vehicles; additional detail is available in table 7.2.6U.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","NOTE. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
