"","Table 5#8#4A# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"17","10","        Buildings","B815RG3",3.915,3.543,2.995,2.668,2.479,2.903,3.147,3.148,3.415,3.171,3.047,3.396,3.741,4.325,4.621,4.482,4.584,5.248,6.873,7.473,7.528,7.149,8.215,8.426,8.474,8.27,8.413,8.945,9.715,10.214,9.736,9.7,9.664,9.533,9.673,9.955,10.215,10.843,11.116,11.575,12.437,13.22,14.543,14.842,16.763,17.883,19.135,19.914,22.596,23.902,31.317,33.158,35.103,39.267,40.587,45.006,44.743,41.511,43.92,48.31,55.022,56.935,58.119,56.865,59.463,61.811,64.409,65.902,67.935
"18","11","          Residential","B816RG3",5.186,4.694,3.968,3.533,3.591,3.978,4.315,4.317,4.663,4.345,4.189,4.294,4.406,5.244,5.559,5.633,5.728,5.877,8.637,8.641,8.322,8.599,9.664,9.886,9.544,10.083,11.613,8.967,9.878,9.988,9.936,10.005,10.012,10.043,9.983,10.046,10.188,10.539,10.052,10.498,11.581,11.871,12.533,12.969,14.885,15.321,16.289,17.177,19.968,21.156,30.482,30.998,31.597,36.432,38.279,45.273,44.221,38.202,40.779,45.998,54.567,56.217,57.186,54.839,58.436,61.45,63.986,65.193,67.043
"19","12","          Industrial","B817RG3",4.711,4.264,3.605,3.21,2.983,3.442,3.729,3.729,4.475,4.068,3.898,4.379,4.857,5.593,5.985,5.736,5.872,7.234,8.733,9.638,9.802,9.187,10.571,10.842,10.914,10.634,10.787,11.717,12.687,13.661,12.363,12.165,12.073,11.741,12.11,12.668,13.132,14.257,15.147,15.759,16.729,18.163,20.381,20.485,22.145,26.163,28.618,28.364,29.873,31.47,34.56,39.085,43.934,47.074,47.497,47.894,48.804,50.319,52.343,54.386,56.406,58.957,60.508,60.572,61.663,62.646,65.397,67.598,70.125
"20","13","        Military facilities \3\","B818RG3",3.52,3.226,2.941,2.473,2.64,2.95,2.925,3.133,3.311,3.31,3.305,3.404,3.661,4.376,4.775,4.617,4.698,5.501,6.64,7.088,7.06,6.822,8.121,8.398,8.274,8.003,8.033,8.687,9.009,9.148,9.389,9.308,9.354,9.55,9.738,9.826,9.976,10.076,10.665,11.426,12.279,13.35,14.64,16.348,20.492,23.782,26.414,27.886,30.05,31.129,35.228,38.504,40.783,40.729,40.778,42.479,44.944,47.4,49.475,49.896,51.929,53.369,55.423,58.472,62.445,64.523,67.362,69.272,71.453
"21","14","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","    Nondefense","B830RG3",6.403,6.122,5.576,4.675,5.105,5.757,5.638,6.11,6.437,6.535,6.426,6.37,6.55,6.377,6.518,6.36,6.951,8.145,9.389,10.244,10.412,9.952,10.824,11.445,11.689,11.516,11.41,12.29,13.093,12.964,12.999,12.958,13.09,13.32,13.486,13.747,14.091,14.564,15.115,15.827,16.884,18.251,19.739,21.069,22.466,25.24,29.097,30.684,32.384,34.383,37.516,41.918,46.404,49.781,50.728,51.411,52.482,53.677,54.919,56.52,58.534,60.67,62.143,62.723,64.047,66.101,68.715,70.67,71.859
"23","16","      New","B831RG3",6.164,5.893,5.367,4.5,4.914,5.542,5.426,5.892,6.169,6.243,6.146,6.108,6.307,6.172,6.438,6.24,6.612,7.748,9.35,10.245,10.36,9.914,10.776,11.397,11.64,11.471,11.354,12.231,13.074,12.923,12.986,12.942,13.075,13.302,13.491,13.741,14.079,14.561,15.102,15.815,16.887,18.25,19.729,21.058,22.455,25.227,29.083,30.669,32.366,34.294,37.425,41.821,46.374,49.755,50.694,51.355,52.429,53.589,54.873,56.608,58.592,60.75,62.227,62.791,64.166,66.224,68.826,70.791,72.087
"24","17","        Buildings","B832RG3",4.52,4.121,3.578,3.003,2.948,3.312,3.333,3.547,4.107,4.152,4.152,4.201,4.654,5.013,4.996,5.672,5.565,6.583,9.226,10.227,9.843,9.774,11.242,11.579,11.647,11.33,11.509,12.472,12.992,12.895,12.823,12.919,12.941,13.05,13.127,13.345,13.649,14.098,14.508,15.139,16.643,17.914,19.582,20.875,22.555,25.522,27.97,28.359,30.015,32.147,35.375,39.718,43.959,47.201,48.438,49.785,51.283,52.763,54.41,56.921,59.002,60.997,62.08,62.335,64.253,66.401,69.046,70.748,72.087
"25","18","          Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","19","          Industrial","B834RG3",6.85,6.2,5.241,4.668,4.744,5.398,5.759,5.804,6.211,5.651,5.543,5.648,6.273,7.097,7.417,7.469,7.601,8.682,10.666,11.546,10.972,11.403,12.689,12.345,12.168,12.203,12.244,12.63,13.002,13.176,12.998,12.889,12.963,13.067,12.875,13.619,13.969,14.618,15.034,15.723,17.269,18.919,20.353,21.276,23.095,27.279,29.723,29.484,31.044,32.664,35.895,40.618,45.525,48.877,49.357,49.747,50.678,52.292,54.418,56.523,58.609,61.228,62.881,62.984,64.083,65.18,67.93,70.279,72.087
"27","20","          Educational \4\","B835RG3",4.186,4.186,2.861,2.592,2.72,2.861,2.861,2.861,3.626,3.626,3.626,3.888,3.888,3.888,4.951,4.951,4.859,5.447,7.774,8.712,8.039,7.973,8.712,9.801,10.052,9.335,9.68,9.956,11.241,11.144,11.467,11.913,11.891,11.984,12.166,12.094,12.349,12.685,14.01,14.59,16.273,16.898,18.943,20.084,21.772,23.944,26.483,27.396,29.746,32.386,35.965,39.841,43.648,46.318,47.694,49.587,51.124,52.556,54.099,56.959,59.107,60.867,61.768,62.133,64.223,66.722,69.294,70.982,72.087
"28","21","          Hospital","B836RG3",5.62,4.493,3.742,3.206,3.339,3.7,3.7,4.152,4.985,5.273,4.809,4.295,5.539,4.994,5.62,6.072,6.072,6.809,9.35,10.348,10.006,9.942,11.413,11.709,11.754,11.549,11.754,12.58,13.114,12.982,11.785,11.977,12.053,12.112,12.389,12.684,13.053,13.482,13.722,14.402,15.847,17.315,19.26,20.841,22.245,25.09,27.568,27.819,28.654,30.241,33.194,37.034,40.829,44.426,46.935,49.334,51.541,53.004,54.678,56.708,58.616,60.635,62.142,62.262,63.977,66.343,69.226,70.791,72.087
"29","22","          Other \5\","B837RG3",4.403,4.027,3.53,2.951,2.88,3.247,3.27,3.476,4.006,4.041,4.063,4.134,4.552,4.971,4.843,5.602,5.474,6.638,9.28,10.041,9.564,9.49,10.95,11.208,11.263,10.945,11.086,12.143,12.542,12.462,12.649,12.744,12.74,12.858,12.936,13.098,13.385,13.81,14.186,14.783,16.245,17.286,18.862,20.172,21.808,24.175,26.58,27.494,29.545,32.454,35.789,39.934,43.529,46.372,47.815,49.646,51.269,52.68,54.155,56.956,59.095,60.898,61.751,62.066,64.269,66.701,69.245,70.818,72.087
"30","23","        Highways and streets \6\","B838RG3",7.447,6.984,6.171,4.737,6.01,6.759,6.558,7.012,6.427,5.985,5.898,5.763,6.811,9.431,10.429,10.429,9.252,9.609,10.765,12.201,12.536,10.898,13.817,13.689,13.193,12.424,12.184,13.583,14.4,14.042,13.981,13.46,13.49,13.925,14.272,14.436,14.881,15.733,15.94,16.85,17.943,19.884,21.362,22.075,23.789,30.646,34.046,33.02,33.507,33.746,36.567,42.309,49.992,54.411,53.529,51.594,51.915,54.505,57.737,58.822,59.138,61.493,62.489,62.531,63.232,64.873,68.336,71.332,72.087
"31","24","        Conservation and development","B839RG3",5.482,5.353,4.984,4.225,4.767,5.391,5.256,5.764,6.01,6.101,5.958,5.925,6.052,5.949,6.152,6.421,6.903,7.981,9.4,10.243,10.487,9.969,10.594,11.314,11.638,11.54,11.379,12.19,13.108,12.97,13.092,13.064,13.261,13.514,13.742,14.034,14.381,14.835,15.495,16.218,17.156,18.472,19.935,21.393,22.669,24.851,29.351,31.835,33.718,35.802,38.965,43.226,47.521,50.822,51.876,52.505,53.416,54.152,54.857,56.168,58.362,60.644,62.558,63.538,64.565,66.649,68.979,70.902,72.087
"32","25","        Other \7\","B840RG3",6.338,5.935,5.674,4.946,7.009,7.009,8.012,5.377,6.232,7.256,8.5,8.147,7.694,5.476,5.999,3.702,5.101,8.5,10.126,11.506,11.506,11.076,10.737,11.43,11.43,11.507,11.772,13.124,13.628,13.383,13.381,13.082,13.167,13.395,13.556,13.666,14.08,14.768,15.215,15.912,16.98,18.521,19.976,21.501,23.02,27.669,30.965,31.281,32.968,34.293,37.333,42.441,47.878,52.165,51.964,51.443,52.227,53.834,55.978,57.146,58.441,60.594,62.132,62.578,63.43,65.334,68.216,70.618,72.087
"33","26","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","27","  State and local","B842RG3",5.842,5.477,4.893,3.905,4.546,5.361,5.147,5.601,5.692,5.657,5.515,5.494,6.1,7.17,7.732,7.547,7.462,8.148,9.511,10.651,10.456,10.054,11.59,11.92,11.841,11.477,11.457,12.605,13.156,12.929,12.962,12.774,12.805,13.064,13.267,13.422,13.791,14.369,14.825,15.525,16.631,18.105,19.567,20.702,22.444,26.817,29.676,30.221,31.323,33.196,36.443,41.104,45.847,48.905,49.438,49.695,50.573,52.315,54.395,56.029,57.424,59.319,60.118,60.481,62.058,64.063,66.837,68.811,70.923
"35","28","    New","B843RG3",5.864,5.494,4.909,3.912,4.586,5.415,5.194,5.656,5.738,5.701,5.556,5.526,6.137,7.227,7.792,7.591,7.479,8.152,9.501,10.646,10.448,10.034,11.58,11.91,11.827,11.456,11.429,12.594,13.157,12.927,12.961,12.765,12.8,13.066,13.271,13.424,13.792,14.372,14.828,15.523,16.632,18.144,19.624,20.75,22.489,26.94,29.818,30.338,31.405,33.241,36.48,41.156,45.933,49.014,49.546,49.77,50.656,52.394,54.478,56.104,57.482,59.386,60.194,60.554,62.105,64.095,66.875,68.867,70.982
"36","29","      Buildings","B844RG3",4.688,4.341,3.763,3.127,3.068,3.534,3.475,3.65,4.227,4.345,4.278,4.422,4.822,5.126,5.51,5.759,6.116,7.004,8.739,9.666,9.461,9.443,10.613,10.892,10.948,10.72,10.904,11.788,12.233,11.916,12.51,12.605,12.603,12.739,12.779,12.934,13.242,13.679,14.048,14.658,15.977,17.109,18.52,19.748,21.435,23.924,26.253,27.128,28.971,31.785,35.329,39.28,42.923,45.519,46.667,48.252,49.643,51.319,53.187,55.216,57.185,59.103,59.976,60.294,62.296,64.568,67.144,68.787,70.982
"37","30","        Residential","B845RG3",5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.244,5.297,5.769,6.242,6.661,7.346,7.872,8.551,9.653,10.486,10.636,10.913,11.667,12.013,12.084,12.163,12.474,12.807,12.872,12.879,12.968,12.997,12.983,13.072,12.961,12.991,13.228,13.687,13.98,14.681,16.102,16.592,17.504,18.611,20.46,22.628,24.707,26.245,29.019,33.146,37.136,41.15,44.454,46.136,46.493,47.778,48.699,50.702,52.831,54.805,56.857,58.382,58.63,59.212,61.959,65.148,67.753,69.095,70.982
"38","31","        Industrial","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","        Educational \8\","B847RG3",4.303,3.984,3.454,2.87,2.816,3.243,3.189,3.352,3.881,3.99,3.936,4.092,4.465,4.676,4.995,5.151,5.47,6.427,8.475,9.422,9.169,9.105,10.343,10.606,10.658,10.387,10.557,11.46,11.925,11.583,12.222,12.322,12.322,12.462,12.519,12.681,12.988,13.419,13.782,14.371,15.658,16.838,18.277,19.504,21.14,23.575,25.914,26.784,28.604,31.401,34.854,38.779,42.278,44.947,46.32,48.17,49.753,51.491,53.328,55.349,57.284,59.122,59.939,60.269,62.297,64.772,67.283,68.811,70.982
"40","33","        Hospital","B848RG3",4.311,3.995,3.461,2.874,2.822,3.25,3.197,3.356,3.89,3.995,3.942,4.101,4.476,4.687,5.004,5.162,5.478,6.434,8.495,9.433,9.182,9.114,10.346,10.607,10.658,10.394,10.564,11.464,11.925,11.582,12.224,12.325,12.324,12.464,12.519,12.688,12.983,13.413,13.793,14.375,15.696,16.83,18.289,19.475,21.175,23.64,25.928,26.832,28.574,31.377,34.956,38.812,42.298,44.928,46.359,48.181,49.749,51.402,53.369,55.325,57.31,59.12,59.946,60.271,62.368,64.622,67.282,68.803,70.982
"41","34","        Other \5\","B849RG3",4.455,4.124,3.575,2.97,2.914,3.357,3.3,3.463,4.012,4.124,4.068,4.23,4.617,4.835,6.078,6.571,7.064,6.651,8.776,9.756,9.494,9.428,10.71,10.984,11.039,10.763,10.939,11.875,12.357,12.003,12.665,12.769,12.769,12.914,12.973,13.138,13.462,13.888,14.284,14.91,16.226,17.458,18.952,20.205,21.912,24.537,26.886,27.605,29.267,31.765,35.275,39.239,43.163,45.936,47.04,48.425,49.739,51.286,53.105,55.165,57.147,59.236,60.304,60.544,62.323,64.184,66.817,68.69,70.982
"42","35","      Highways and streets \9\","B851RG3",7.242,6.727,5.985,4.56,5.698,6.607,6.38,7.008,6.493,6.266,6.092,5.919,6.775,8.822,9.959,9.103,8.702,9.324,10.631,11.909,11.497,10.368,12.701,13.062,12.568,11.869,11.534,13.041,13.604,13.289,13.219,12.704,12.768,13.181,13.539,13.689,14.149,14.926,15.462,16.287,17.241,19.26,20.747,21.518,23.426,30.72,33.441,32.599,32.187,32.435,35.07,40.719,47.718,52.362,51.423,49.519,49.88,52.245,55.438,56.377,56.76,58.837,59.876,59.9,60.519,62.133,65.512,68.327,70.982
"43","36","      Conservation and development","B857RG3",5.477,5.317,4.892,4.146,4.947,5.637,5.637,5.797,6.222,6.222,6.222,6.167,6.272,6.487,6.912,7.393,7.818,8.138,9.268,10.405,10.723,10.109,10.73,11.41,11.723,11.549,11.329,12.197,13.102,13.064,12.809,12.731,12.892,13.057,13.27,13.448,13.783,14.225,14.768,15.412,16.282,17.356,18.737,20.176,21.44,24.099,28.739,30.778,32.708,34.674,38.035,41.882,45.982,49.344,50.322,50.938,51.816,52.529,53.177,54.489,56.717,58.768,60.598,61.606,62.633,64.635,66.815,68.799,70.982
"44","37","      Sewer systems","B858RG3",4.645,4.586,4.226,3.572,3.69,4.462,4.344,4.88,5.181,5.417,5.24,5.299,5.594,5.77,5.711,6.725,6.549,6.909,7.89,9.041,9.296,9.793,10.435,10.737,11.332,11.57,11.985,12.86,13.675,14.069,11.973,11.988,12.109,12.462,12.72,12.946,13.122,13.565,13.996,14.596,15.581,16.856,18.753,20.851,22.44,25.627,28.935,30.853,33.163,36.406,40.085,44.544,47.525,48.755,50.412,52.091,53.344,54.394,55.207,56.959,58.681,59.79,59.552,60.633,63.422,66.075,67.855,69.421,70.982
"45","38","      Water systems","B859RG3",4.806,4.743,4.372,3.693,3.815,4.615,4.493,5.05,5.357,5.601,5.415,5.479,5.786,5.972,5.908,6.952,6.766,7.137,8.146,9.334,9.601,10.115,10.786,11.103,11.723,11.97,12.401,13.303,14.148,14.557,14.259,14.391,14.469,14.377,14.335,14.194,14.601,14.965,15.2,15.842,16.482,17.466,18.948,20.428,21.911,25.436,30.346,31.957,33.155,36.438,40.174,44.495,47.523,48.763,50.411,52.179,53.342,54.39,55.229,56.953,58.647,59.789,59.547,60.558,63.476,66.073,67.849,69.43,70.982
"46","39","      Other \7\","B860RG3",6.088,5.798,5.568,4.99,5.572,8.181,6.731,7.426,8.062,8.062,7.772,7.597,8.12,8.643,7.713,7.365,7.83,9.048,10.368,11.67,11.625,10.675,12.227,12.815,12.704,12.272,11.952,13.198,13.943,13.776,13.805,13.654,13.542,13.719,13.929,14.253,14.582,15.209,15.885,16.53,17.688,19.494,20.903,21.972,23.519,29.139,33.206,33.917,34.746,35.967,39.466,44.044,48.92,52.054,52.827,52.91,53.379,54.41,55.827,58.32,60.118,62.78,64.16,64.633,65.467,66.598,69.501,70.72,70.982
"47","40","    Net purchases of used structures","B870RG3",4.736,4.546,4.018,3.368,3.25,3.669,3.671,3.848,4.328,4.385,4.342,4.535,4.976,5.529,5.985,6.126,6.488,7.409,9.191,9.988,9.973,10.075,11.067,11.369,11.474,11.433,11.653,12.281,12.497,12.355,12.355,12.371,12.295,12.356,12.518,12.727,13.08,13.599,14.031,14.806,15.765,16.291,17.282,18.527,20.255,22.402,24.582,25.972,28.265,31.665,35.351,39.333,42.624,44.705,45.267,46.716,47.323,49.16,51.104,53,54.931,56.51,57.025,57.478,59.862,62.366,64.895,66.187,68.11
"48","41","Equipment and software \2\","A871RG3",29.293,28.53,26.7,26.272,25.381,26.238,28.3,26.884,27.514,26.804,26.691,27.754,31.179,27.601,26.982,25.083,23.001,25.33,28.158,29.834,30.504,31.602,33.828,34.273,33.34,33.993,35.316,38.248,40.01,40.344,41.016,41.127,41.674,42.167,42.604,42.903,42.502,42.928,43.856,45.043,46.848,50.158,52.665,63.314,63.895,66.996,72.339,77.337,81.965,86.954,90.82,96.211,103.791,110.026,112.305,113.303,111.606,108.04,105.175,105.147,106.507,108.245,110.194,110.23,111.731,113.293,114.257,112.832,109.431
