"","Table 7#17# Chain-Type Quantity Indexes for Gross Domestic Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225"
"11","3","  Change in private inventories"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RA",17.63,17.84,17.7,18.02,18.36,18.58,18.64,18.68,18.31,18.02,18.33,17.89,18.81,19.34,20.32,20.71,20.9,21.23,21.63,21.73,21.79,21.52,21.71,22.83,23.54,23.82,23.43,22.63,22.22,22.17,22.21,23.07,23.49,24.51,24.77,24.81,24.5,24.56,24.45,24.77,25.02,24.77,25.13,24.4,23.25,23.37,24.09,24.73,25.34,26.23,25.99,26.09,26.82,26.47,26.53,25.5,25.37,26.2,26.84,27.38,28.05,28.25,28.64,28.51,28.98,29.08,29.64,29.69,30.48,30.97,31.6,31.52,32.85,33.09,33.91,34.99,36.33,36.64,36.6,37.26,37.44,36.99,37.01,37,38.16,38.98,39.15,39.12,40.08,39.94,40.18,39.81,39.51,39.9,40.05,38.64,40.48,40.37,40.71,40.31,41.47,43.27,43.97,44.79,46.64,47.47,46.95,48.01,47.1,47.23,46.37,46.15,44.85,45.47,46.54,47.18,48.59,49.36,49.62,49.46,50.26,51.17,52.6,52.54,52.27,55.18,55.58,56.79,57.02,56.69,57.44,57.37,57.74,56.59,55.83,57.14,59.84,58.7,60.45,58.69,56.69,57.73,57.06,56.01,56.53,58.9,60.18,62.21,64.31,65.81,66.27,66.7,66.5,66.93,68.04,68.25,68.95,69.26,70.17,70.48,70.67,71.74,72.4,74.74,74.99,76.22,76.4,78.05,80.1,80.84,80.94,80.63,82.12,82,81.43,80.3,79.88,80.15,80.49,81.06,81.42,82.58,83.44,85.29,85.11,86.27,85.86,88.14,89.71,91.43,91.65,94.29,94.88,94.36,95.21,96.91,97.56,99.7,100.85,101.89,103.87,106.23,107.73,108.55,111.84,110.97,112.64,116.19,116.6,117.03,119.36,122.78,123.22,125.3,125.16,124.31,122.9,121.1,120.64,121.92,124.38,124.5
"13","5","    Final sales","A325RA",18.27,18.51,18.53,18.36,18.39,18.33,18.31,18.59,18.79,19.02,18.94,18.95,19.06,19.47,20.36,19.7,20.49,20.36,21.24,21.85,21.83,22.17,21.7,22.82,23.66,23.95,23.73,23.36,22.9,22.96,22.95,23.67,23.66,24.54,24.87,24.74,24.54,24.75,24.72,25.08,25.47,25.14,25.41,25.18,24.07,24.16,24.47,24.89,25.56,26.02,26.47,26.19,26.31,26.74,26.63,26.54,26.15,26.55,26.73,27.4,27.74,28.28,28.59,28.74,28.83,29.17,29.66,29.89,30.66,31.18,31.73,31.64,32.38,32.93,33.65,34.95,35.74,36.13,36.19,36.42,36.65,37.07,36.91,36.99,38.16,38.4,39.18,39.31,39.82,39.85,40.01,40.04,40.12,40.18,40.35,39.69,40.2,40.2,40.62,41.08,41.91,43.06,43.66,45.09,46.58,46.85,46.91,47.25,47.02,46.97,46.87,45.59,46.35,47.22,47.43,48,48.53,48.79,49.18,49.72,50.22,50.91,51.43,52.22,51.72,54.72,55.06,56.16,56.63,56.15,57.82,57.99,58.3,57.18,58.3,58.4,59.07,59.17,59.51,58.54,58.45,58.75,57.68,58.56,58.82,60.06,61.25,62.21,62.3,63.97,64.37,65.77,66.81,67.03,68.28,67.87,68.67,69.57,71.35,71.84,70.46,72.09,73.39,73.27,75.3,76.44,76.6,78.23,79.26,80.47,81.56,80.98,82.57,81.7,81.57,81.56,81.31,81.67,81.39,80.9,82.37,82.73,83.69,85.51,84.78,86.37,86.55,88.53,89.18,89.67,90.84,92.76,93.78,94.18,95.78,97.23,98.33,99.71,100.18,101.79,103.22,104.26,107.06,107.37,109.17,110.57,111.26,114.64,115.07,117.1,118.79,120.78,122.65,123.28,124.11,123.4,124.87,124.07,123.71,126.21,126.43,125.39
"14","6","    Change in private inventories"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RA",10.49,10.42,10.45,10.2,10.85,10.32,10.39,10.56,10.19,9.95,10.82,9.89,10.6,11.73,13.5,13.78,13.3,13.87,14.19,14.13,14.3,13.77,13.21,15.23,16.02,16.24,16.08,14.47,13.7,13.93,13.78,14.5,15.51,16.64,16.65,16.52,16.05,15.91,15.71,16.15,16.34,16.27,16.4,15.17,13.55,13.35,14.16,14.98,15.96,16.7,15.97,15.92,17.48,16.4,16.54,15.13,14.45,15.43,16.61,17.15,18.06,17.91,18.51,18.12,18.52,18.95,19.41,19.55,20.4,20.68,21.35,21.07,23.14,23,23.76,23.95,26.3,26.34,26.75,27.44,26.57,26.34,26.38,26.72,27.13,27.64,27.96,28.58,29.27,28.52,29.24,29.03,27.7,28.02,28.88,25.65,28.31,27.77,28.74,28.1,30.03,31.24,32.27,34.23,36.63,37.75,37.65,37.94,36.68,37.03,37.22,37.2,33.6,34.48,35.24,35.59,37.4,38.4,38.97,39.56,40.49,41.33,42.12,42.48,43.06,46.38,45.9,48.59,49.41,48.21,48.09,47.98,48.36,44.6,44.14,46.94,48.16,47.57,47.79,44.86,42.91,44.4,43.59,41.28,41.42,46.59,48.63,52.13,53.91,54.98,55.1,57.28,55.32,56.87,57.65,57.9,58.31,58.94,60.41,60.38,61.05,63.24,64.09,66.76,67.21,69.22,70.09,72.38,73.61,74.14,74.79,74.23,76.09,75.65,74.63,71.83,69.28,71.07,72.83,71.89,71.97,75.05,75.72,77.78,78.8,80.72,80.31,83.93,85.06,86.56,87.24,90.23,92.49,91.91,93.98,96.11,96.43,99.86,102.11,101.6,105.19,110.53,112.48,113.29,119.25,118.01,120.34,126.2,126.35,126.89,131.83,135.07,137.07,140.38,139,137.33,133.29,129.56,127.83,128.92,131.84,132.1
"16","8","    Final sales","A326RA",10.24,10.3,10.19,10.33,10.63,10.24,10.29,10.42,10.28,10.66,10.73,10.68,10.8,11.19,13.15,12.18,12.62,12.42,13.03,13.88,14.02,14.17,13.19,14.75,15.52,15.85,15.71,15.06,14.38,14.66,14.26,14.68,15.18,16.04,16.34,15.92,15.46,15.69,15.78,15.96,16.31,16.01,16.11,15.62,14.56,14.26,14.41,14.85,15.47,15.71,16.15,15.57,16.01,16.39,16.34,15.97,15.45,15.73,16.05,16.72,17.22,17.58,17.79,18.01,18.14,18.5,18.93,19.4,19.85,20.18,20.64,20.6,21.73,22.12,22.66,23.56,24.82,24.9,25.17,25.72,25.57,26.09,25.8,25.85,26.77,26.81,27.62,27.72,28.45,28.02,28.26,28.13,28,28.13,28.17,26.57,27.44,27.5,28.06,28.71,29.78,30.63,31.33,32.95,35.15,35.98,35.89,36.31,35.91,36.69,36.37,34.84,34.92,35.65,36.34,36.97,37.21,37.29,37.83,38.51,40.02,40.95,41.15,41.78,41.3,45.04,45.22,46.69,47.76,46.74,48.29,48.07,48.71,45.31,46.15,46.88,47.8,47.29,47.54,45.53,45.15,44.9,44.28,44.97,44.42,46.97,48.23,50.74,51.21,52.53,52.63,55.04,55.88,57.02,58.7,57.84,57.84,59.27,62.39,62.37,59.7,62.4,65.35,64.18,67.54,69.09,68.7,70.69,71.74,73.87,75.78,73.75,77.13,75.08,74.45,73.66,72.65,74.06,73.63,73,74.28,75.47,76.88,79.1,78.1,80.88,80.58,83.75,84.44,84.74,86.22,88.23,90.28,90.83,93.62,95.22,97.04,99.88,100.67,102.41,104.73,107.69,112.58,112.73,115.69,117.83,118.68,123.91,124.44,127.55,130.71,132.21,136.01,137.12,138.18,135.6,138.08,136.41,134.86,138.44,135.27,134.22
"17","9","    Change in private inventories"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RA",25.89,26.43,26.06,27.02,26.93,28.04,28.06,27.92,27.58,27.25,26.81,27.03,28.16,27.89,27.79,28.3,29.31,29.31,29.77,30.08,29.99,30.09,31.26,31.14,31.72,32.08,31.42,31.7,31.77,31.34,31.61,32.57,32.17,32.96,33.51,33.75,33.67,33.97,33.99,34.09,34.39,33.91,34.55,34.59,34.2,34.74,35.28,35.6,35.63,36.73,37.21,37.43,36.97,37.66,37.6,37.13,37.76,38.35,38.2,38.67,38.92,39.6,39.7,39.92,40.41,40.06,40.75,40.64,41.25,42.02,42.54,42.76,42.93,43.7,44.58,46.73,46.62,47.32,46.7,47.3,48.75,48.06,48.07,47.62,49.64,50.79,50.78,49.94,51.19,51.8,51.43,50.89,51.87,52.31,51.6,52.45,53.21,53.62,53.2,53.09,53.29,55.71,55.98,55.46,56.66,57.17,56.22,58.1,57.54,57.44,55.49,55.07,56.21,56.54,57.93,58.89,59.83,60.32,60.23,59.24,59.85,60.83,62.94,62.4,61.18,63.58,64.92,64.51,64.11,64.72,66.4,66.36,66.72,68.43,67.36,67.02,71.26,69.56,72.94,72.53,70.54,71.03,70.53,70.94,71.86,71.03,71.44,71.79,74.19,76.14,76.96,75.47,77.2,76.39,77.83,78,79.01,78.96,79.24,79.92,79.58,79.5,79.95,81.91,81.96,82.41,81.9,82.93,85.75,86.69,86.28,86.2,87.34,87.52,87.38,87.8,89.34,88.21,87.25,89.18,89.8,89.21,90.25,91.91,90.65,91.12,90.71,91.78,93.75,95.66,95.48,97.8,96.94,96.47,96.27,97.58,98.53,99.56,99.78,102.13,102.75,102.64,103.76,104.59,105.73,105.17,106.3,108.01,108.62,108.96,109.29,112.83,112.11,113.26,114.04,113.81,114.35,113.95,114.38,115.79,117.9,117.93
"19","11","    Final sales","A334RA",27.64,28.08,28.24,27.65,27.29,27.62,27.51,27.94,28.57,28.61,28.32,28.4,28.5,28.91,28.3,28.1,29.28,29.26,30.4,30.65,30.43,31,31.26,31.71,32.61,32.83,32.51,32.55,32.39,32.14,32.62,33.66,32.97,33.78,34.1,34.36,34.52,34.66,34.45,35,35.4,35.07,35.53,35.7,34.66,35.27,35.77,36.13,36.72,37.51,37.94,38.04,37.72,38.16,37.99,38.25,38.05,38.64,38.62,39.19,39.25,40.01,40.44,40.43,40.47,40.74,41.3,41.14,42.23,42.99,43.63,43.5,43.56,44.32,45.26,46.98,47.05,47.85,47.64,47.43,48.11,48.39,48.4,48.54,49.93,50.4,51.09,51.25,51.46,52.06,52.11,52.34,52.67,52.64,52.96,53.49,53.53,53.46,53.68,53.88,54.38,55.83,56.28,57.43,58.05,57.68,57.92,58.17,58.12,57.18,57.33,56.32,57.82,58.82,58.51,58.99,59.83,60.28,60.5,60.87,60.2,60.59,61.44,62.41,61.89,63.97,64.49,65.14,64.95,65.07,66.85,67.44,67.38,68.77,70.18,69.6,69.97,70.74,71.16,71.37,71.62,72.52,70.98,72.04,73.2,72.94,74.02,73.23,72.91,74.93,75.63,75.88,77.12,76.34,77.1,77.18,78.82,79.14,79.46,80.46,80.46,80.95,80.56,81.5,82.17,82.92,83.61,84.87,85.88,86.18,86.48,87.31,87.2,87.44,87.76,88.48,88.92,88.32,88.18,87.82,89.45,89.05,89.6,91.08,90.57,91.1,91.71,92.63,93.26,93.91,94.81,96.63,96.76,97.03,97.62,98.92,99.41,99.57,99.76,101.26,101.95,101.41,102.51,102.93,103.81,104.61,105.18,107.1,107.46,108.66,109.21,111.58,112,112.27,112.93,113.59,114.32,114.16,114.63,116.34,118.96,117.94
"20","12","    Change in private inventories"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services","A341RA",18.58,18.55,18.51,18.2,18.36,18.51,18.61,18.85,18.88,19.17,18.95,18.76,19.05,19.36,19.65,20.22,20.78,21.59,22.4,22.38,22.86,23.27,23.38,23.44,23.36,23.46,23.75,23.82,23.93,23.95,24.35,24.16,25.04,24.47,25.1,25.57,25.71,26.06,26.17,26.93,26.95,27.28,27.48,27.77,27.55,27.89,28.14,28.32,28.53,28.97,29.37,29.78,30.15,30.5,30.58,30.91,31.35,31.82,31.96,32.52,32.94,33.3,33.52,33.93,34.17,34.69,35.28,35.76,36.2,36.63,36.94,37.35,37.63,38.16,38.75,39.48,39.88,40.33,41.08,41.53,42.23,42.54,43.08,43.56,44.01,44.59,45.06,45.44,45.72,46.23,46.53,47.06,47.36,47.47,47.86,48.1,48.65,48.89,49.12,49.65,50,50.45,50.77,51.43,51.9,52.45,52.74,52.84,53.43,53.78,54.01,54.45,54.73,55.4,55.81,56.21,56.69,57,57.55,58.16,58.52,58.82,59.65,60.01,60.75,61.39,61.78,62.12,62.78,63.06,62.91,63.51,63.89,63.93,64.55,64.87,64.7,65.18,65.52,65.53,65.92,65.91,66.39,67.19,67.86,68.41,68.86,69.5,69.98,70.47,71.11,71.76,72.83,73.49,74.69,75.59,76.07,76.64,77.35,78.03,79.12,79.72,80.34,80.99,82.15,82.74,83.54,84.24,84.61,85.17,85.73,86.64,87.11,88.02,88.56,88.71,88.74,89.54,89.78,90.05,90.9,91.43,92.17,92.7,92.83,92.93,93.81,94.28,94.76,95.4,96.15,96.44,96.71,97.63,98.32,98.42,98.95,99.91,100,101.14,101.52,102.53,103.21,103.87,104.35,105.58,106.16,106.82,107.8,108.57,109.73,110.79,111.34,112.69,113.14,114.17,114.43,114.76,115.27,116.18,117,118.01
"22","14","Structures","A755RA",24.19,23.85,26.03,28.97,29.1,30.79,30.9,29.98,29.08,29.31,30.91,32.61,34.86,37.48,39.27,38.71,37.88,36.5,35.63,35.54,36.48,36.89,36.9,38.42,39.33,39.41,38.86,39.39,40.31,41.14,42.4,43.36,45.53,46.21,45.73,45.01,45.09,45.74,45.59,45.32,45.41,44.83,44.67,44.82,44.68,44.11,45.49,48.2,50.56,51.7,51.23,49.6,51.06,49.83,49.74,50.54,51.55,50.27,51.64,53.28,53.51,54.86,55.19,55.03,55.54,58.08,59.64,60.06,62.48,62.16,62.38,62,62.9,65.18,66.38,67.05,68.43,65.59,65.23,62.6,62.65,63.86,64.85,66.63,67.39,68.39,68.71,69.37,70.3,69.99,70.23,66.84,66.38,64.29,66.39,68.32,69.47,72.3,73.45,74.75,77.29,77.31,77.33,79.53,81.78,80.04,79.06,77.28,74.73,73.76,70.63,66.12,64.54,62.76,65,67.03,71.37,70.55,69.27,72.56,74.08,79.32,78.99,78.28,77.94,84.63,87.26,88.25,85.4,86.29,87.96,87.78,86.23,77.66,77.56,81.32,81.6,80.16,77.85,78.45,75.11,72.87,70.51,72.3,74.2,76.06,80.32,81.97,85.64,88.8,89.98,90.41,92.43,93.16,93.37,94.31,95.91,94.79,94.35,93.63,92.98,93.67,94.48,95.12,93.38,94.99,94.33,94.61,94.21,92.63,93.54,93.15,95.58,93.13,90.78,87.02,83.81,83.31,82.7,83.78,86.39,87.25,86.61,88.44,88.23,88.64,89.8,92.52,91.35,94.72,95.05,94.92,94.72,93.49,94.1,95.04,96.91,100.38,100.54,102.17,103.81,104.4,106.3,106.95,108.2,110.93,112.83,114.41,116.01,115.58,115.02,116.77,119.79,118.71,118.34,118.83,120.61,120.23,118.02,116.33,118.06,115.51
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.73,39.06,38.24,38.77,45.35,47.81,46.27,48.21,48.35,44.97,49.13,45,39.59,43.19,41.44,26.66,49.82,46.81,47.99,50.26,53.5,53.32,49.18,59.48,66.9,62.7,60.93,58.81,53.36,51.04,57.35,51.4,41.81,45.52,52.49,52.03,59.76,62.57,61.16,63.1,70.61,69.88,71.08,70.8,67.69,74.48,72.26,76.91,78.27,68.73,63.77,58.89,54.76,44.26,47.34,56.26,55.67,57.75,55,50.16,46.64,53.67,54.3,47.83,55.87,59.22,68.8,77.52,79.09,75.21,76.65,85.53,82.15,86.15,91.12,88.77,85.38,87.15,88.42,86.65,86.19,84.43,83.98,87.31,86.37,92.04,88.14,93.13,95.32,91.98,87.63,85.5,84.25,85.8,85.26,73.83,66.93,73.29,78.02,74.89,75.87,81.28,82.44,88.63,86.72,87.35,86.19,95.5,101.7,96.18,98.82,100.74,101.65,98.6,97.39,101.89,91.94,104.91,104.27,98.88,102.29,102.08,108.59,113.85,114.22,111.29,109.61,126.46,122.8,122.18,128.13,128.78,128.27,125.65,120.14,114.29,108.38,113.29,116.2,120.66,123.54,125.97
"25","16","  Gross domestic product less motor vehicle output","A962RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4,42.27,42.63,42.94,43.53,44.2,44.6,44.71,45.43,45.71,45.8,45.76,45.94,45.88,46.38,46.53,46.81,47.22,47.55,47.57,48.41,49.57,50.26,50.74,51.79,52.51,52.37,52.9,52.69,52.93,52.08,52.01,51.7,52.02,52.68,53.38,54.39,54.75,55.08,55.48,55.88,56.97,58,58.08,58.37,60.46,61.16,61.83,61.94,62.36,63.02,63.42,63.8,62.87,62.65,63.45,64.75,64.2,65.1,64.49,63.52,63.54,63.2,63.49,63.94,65.38,66.22,67.31,68.78,70.15,70.72,70.95,71.69,72.13,73.07,73.79,74.61,74.87,75.55,76.03,76.63,77.55,78.24,79.53,80.11,80.89,81.46,82.38,83.34,83.93,84.5,84.88,86.02,86.17,86.03,85.7,85.51,85.77,85.83,86.41,87.21,87.86,88.52,89.5,89.54,90.08,90.53,91.61,92.2,93.73,94.17,95.3,95.64,95.94,96.75,97.39,98.48,99.69,100.23,101.61,102.61,104.15,105.04,105.6,107.22,107.94,109.14,110.39,111.39,111.97,113.24,115.24,116.02,117.55,117.9,118.43,118.44,117.79,117.61,118.28,119.7,120.01
