"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001; Quarterly data from 1987:I To 2002:II  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 27, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,"1987:I","1987:II","1987:III","1987:IV","1988:I","1988:II","1988:III","1988:IV","1989:I","1989:II","1989:III","1989:IV","1990:I","1990:II","1990:III","1990:IV","1991:I","1991:II","1991:III","1991:IV","1992:I","1992:II","1992:III","1992:IV","1993:I","1993:II","1993:III","1993:IV","1994:I","1994:II","1994:III","1994:IV","1995:I","1995:II","1995:III","1995:IV","1996:I","1996:II","1996:III","1996:IV","1997:I","1997:II","1997:III","1997:IV","1998:I","1998:II","1998:III","1998:IV","1999:I","1999:II","1999:III","1999:IV","2000:I","2000:II","2000:III","2000:IV","2001:I","2001:II","2001:III","2001:IV","2002:I","2002:II"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    National income without capital consumption adjustment","3,622.4","3,712.8","3,805.1","3,901.0","3,981.9","4,067.4","4,147.6","4,251.5","4,317.2","4,343.7","4,377.4","4,429.2","4,545.1","4,640.1","4,676.2","4,700.8","4,715.0","4,748.9","4,784.8","4,827.5","4,944.5","5,005.2","5,013.9","5,109.1","5,168.6","5,246.6","5,278.7","5,377.7","5,432.7","5,532.7","5,615.3","5,725.0","5,782.2","5,840.4","5,925.7","5,989.2","6,068.0","6,174.7","6,249.3","6,333.4","6,440.8","6,538.1","6,656.0","6,763.6","6,849.8","6,959.3","7,080.2","7,163.4","7,301.4","7,358.0","7,434.0","7,604.6","7,822.8","7,925.9","8,027.2","8,058.7","8,078.7","8,106.6","8,055.7","7,972.8","8,073.8","8,157.7"
"10","2","Domestic industries","3,611.1","3,698.3","3,791.3","3,885.8","3,961.0","4,048.8","4,131.6","4,233.3","4,299.1","4,326.3","4,357.5","4,403.2","4,520.4","4,614.3","4,655.0","4,656.6","4,682.2","4,727.3","4,766.7","4,801.5","4,919.4","4,980.7","4,992.4","5,086.5","5,138.2","5,222.7","5,249.1","5,364.1","5,412.0","5,516.0","5,600.2","5,710.0","5,760.8","5,815.1","5,914.5","5,965.8","6,041.2","6,157.0","6,237.8","6,317.1","6,433.1","6,526.1","6,649.3","6,761.8","6,843.1","6,956.3","7,094.6","7,172.5","7,281.4","7,333.8","7,416.9","7,575.0","7,801.8","7,900.2","8,009.5","8,029.5","8,068.8","8,075.5","8,044.2","7,937.6","8,071.9","8,177.7"
