"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"26","19","  Passenger fares","B533RG3",22.754,22.865,25.023,26.355,26.633,30.298,33.732,35.829,36.655,36.655,35.866,40.321,44.311,46.399,46.399,45.238,43.568,45.236,48.144,51.146,52.356,55.995,61.658,63.416,64.59,66.184,69.853,69.883,66.544,65.404,70.52,72.431,73.029,75.203,84.092,92.744,100,100.447,109.377,121.04,105.968,123.124
"27","20","  Other transportation","B683RG3",25.883,26.89,28.87,27.837,29.405,35.859,37.242,39.837,41.413,44.759,48.663,57.065,61.37,62.704,66.467,60.324,62.888,67.436,66.633,66.365,69.67,74.603,76.131,76.48,77.612,77.26,78.651,80.812,81.027,78.243,78.836,86.955,86.028,84.9,87.774,91.043,100,105.387,106.367,115.118,109.143,112.7
"28","21","  Royalties and license fees","B684RG3",20.276,21.338,22.563,23.526,25.013,27.498,29.962,31.884,34.281,36.963,40.401,44.638,48.866,51.672,53.944,56.278,58.332,60.031,62.178,64.584,67.45,70.592,73.246,75.347,77.214,78.945,80.882,82.662,84.133,84.822,86.114,88.293,90.111,91.441,93.555,96.464,100,103.386,106.357,109.708,109.566,110.881
"29","22","  Other private services","B720RG3",27.593,29.056,30.722,31.942,33.376,35.836,38.45,40.569,43.034,45.531,48.123,53.184,57.067,60.818,64.146,66.917,69.751,72.002,75.022,76.054,77.572,80.884,84.23,86.526,88.309,89.534,91.399,93.24,94.379,94.267,92.635,93.054,92.626,92.581,94.15,96.61,100,103.753,107.218,110.316,109.554,111.803
"30","23","  Other","B980RG3",24.325,25.302,26.2,27.113,27.835,31.999,34.011,33.703,35.068,38.463,42.632,48.142,52.331,56.294,55.393,56.853,57.146,61.351,62.696,65.198,63.877,65.858,69.946,76.495,72.415,72.959,73.684,74.672,79.352,82.367,83.653,87.6,87.93,91.029,94.092,96.257,100,101.858,105.322,112.727,112.687,115.859
"31","24","    Imports of goods and services","B021RG3",22.254,23.57,25.017,26.77,31.423,44.957,48.699,50.165,54.586,58.44,68.434,85.24,89.822,86.794,83.541,82.82,80.1,80.097,84.948,89.011,90.956,93.563,92.783,92.856,92.144,93.009,95.557,93.891,90.627,85.748,86.25,89.963,87.762,86.784,89.796,94.144,100,104.144,107.531,118.685,105.987,112.835
"32","25","Imports of goods \1\","B255RG3",22.665,24.205,25.445,27.395,32.29,48.319,52.366,53.766,58.692,62.607,73.825,93.155,98.341,94.369,90.424,89.802,86.268,84.336,90.35,94.654,97.303,99.09,97.216,96.685,95.604,96.301,98.868,96.362,92.381,86.801,86.874,91.128,88.482,86.93,89.476,93.872,100,104.207,107.489,119.603,104.908,112.382
"33","26","  Foods, feeds, and beverages","B647RG3",26.29,28.897,28.981,31.048,38.039,47.648,49.151,51.713,63.251,63.766,70.774,83.731,80.441,74.319,73.756,75.679,72.438,78.949,78.394,82.028,80.108,81.831,85.046,84.874,84.674,91.975,96.192,94.156,95,91.986,88.956,87.798,85.163,86.18,89.873,94.57,100,103.764,111.679,123.313,119.547,130.526
"34","27","  Industrial supplies and materials, except petroleum and products","B649RG3",19.979,20.753,21.133,22.659,27.037,39.076,40.465,40.159,43.812,47.05,56.072,67.567,68.42,65.807,62.379,61.669,57.997,58.084,62.056,71.199,74.863,73.169,72.133,71.477,70.913,73.038,79.472,78.343,78.256,74.392,73.987,81.103,80.256,75.121,81.372,90.758,100,105.043,110.93,128.383,104.555,116.331
"35","28","    Durable goods","B820RG3",19.414,20.139,20.534,22.09,26.474,38.362,39.751,39.299,42.912,46.158,55.06,66.492,67.352,64.792,61.337,60.68,57.552,59.177,64.085,76.031,80.35,76.945,74.706,74.798,74.863,77.519,83.513,82.325,83.809,79.865,80.01,84.553,81.55,78.58,80.571,94.803,100,109.641,118.058,130.449,109.987,126.422
"36","29","    Nondurable goods","B696RG3",20.787,21.639,21.99,23.454,27.777,39.968,41.346,41.255,44.953,48.159,57.316,68.846,69.69,67.005,63.6,62.829,58.55,56.958,59.958,66.372,69.419,69.253,69.247,67.982,66.9,68.541,75.337,74.269,72.74,68.962,68.018,77.633,78.83,71.663,82,86.541,100,99.981,103.131,125.518,98.862,106.377
"37","30","  Petroleum and products","B648RG3",4.947,5.06,5.517,5.756,7.332,24.082,24.863,26.385,28.535,28.552,40.085,65.31,73.468,67.52,60.668,60.524,57.053,30.784,36.924,30.808,36.599,44.311,36.936,35.23,32.1,29.944,33.325,39.902,37.802,25.083,33.145,55.707,46.603,47.679,57.473,73.094,100,122.383,134.192,189.493,116.302,154.857
"38","31","  Capital goods, except automotive","B650RG3",104.812,117.019,128.715,137.525,155.649,173.573,189.057,188.64,201.223,215.022,224.126,244.147,243.64,231.778,217.978,201.334,181.353,187.661,194.352,202.442,196.634,188.627,182.59,175.438,170.836,168.281,164.151,143.628,127.058,117.558,112.388,109.807,106.545,103.06,101.718,100.604,100,99.267,98.824,99.018,96.638,95.874
"39","32","    Civilian aircraft, engines, and parts","B932RG3",17.478,18.458,19.244,19.609,20.437,22.744,24.174,27.182,29.867,32.118,35.822,40.193,43.928,48.056,50.56,51.869,53.131,54.008,52.75,54.583,57.107,59.976,66.645,68.277,70.291,72.395,74.176,77.431,80.347,81.716,83.177,85.866,89.184,91.034,93.273,96.433,100,103.92,109.264,115.956,122.356,125.538
"40","33","    Computers, peripherals, and parts","B852RG3",8987.529,7851.177,6674.283,5773.807,5210.162,4099.575,3747.696,3255.099,2814.6,2379.415,2062.139,1649.674,1519.404,1403.124,1168.721,960.049,854.016,721.963,607.828,574.09,531.587,504.926,446.041,392.388,353.326,322.084,295.136,253.37,218.962,181.52,158.241,148.981,135.007,124.324,116.108,108.607,100,92.849,87.628,82.621,78.061,76.464
"41","34","    Other","B853RG3",65.342,74.064,82.887,89.895,103.65,117.508,129.198,129.015,138.942,150.323,157.725,174.356,172.918,162.208,153.062,142.864,127.429,137.233,149.621,159.633,155.677,148.108,144.594,141.64,140.882,142.122,141.258,122.838,108.127,103.637,102.224,100.733,99.425,97.277,97.677,98.216,100,101.182,102.023,103.623,101.339,100.678
"42","35","  Automotive vehicles, engines, and parts","B651RG3",15.629,17.173,18.722,20.56,23.731,25.926,31.774,33.299,36.262,43.34,47.668,51.056,57.86,59.822,61.342,62.69,64.248,71.378,75.9,80.39,81.974,82.614,85.842,87.383,88.727,91.595,94.299,94.905,95.098,95.223,95.878,96.549,96.478,96.768,97.294,98.946,100,100.384,101.393,103.969,104.762,105.546
"43","36","  Consumer goods, except automotive","B652RG3",26.207,27.818,29.95,32.529,36.803,45.613,54.044,54.421,57.228,62.776,66.312,72.147,73.783,72.981,72.258,73.972,73.583,79.441,86.136,92.145,94.628,97.577,98.385,101.334,102.189,102.926,104.457,104.79,103.509,102.087,101.371,100.65,99.864,98.802,98.576,99.104,100,100.382,101.731,104.277,103.89,103.939
"44","37","    Durable goods","B697RG3",32.956,34.26,36.415,40.465,44.369,53.425,59.254,61.608,64.046,70.821,75.405,78.918,80.509,79.044,78.388,79.058,78.252,86.039,92.5,98.615,100.952,104.098,105.415,107.986,109.23,109.936,111.303,111.264,108.828,105.925,104.64,103.779,102.607,100.863,100.05,99.794,100,100.634,101.695,103.758,102.723,101.598
"45","38","    Nondurable goods","B698RG3",18.759,20.558,22.562,23.631,28.17,36.678,48.157,46.484,49.686,53.808,56.132,64.942,66.675,66.69,65.878,68.82,68.918,72.579,79.565,85.47,88.114,90.86,91.168,94.467,94.945,95.709,97.393,98.085,97.933,97.968,97.833,97.261,96.88,96.528,96.919,98.301,100,100.08,101.779,104.917,105.286,106.723
"46","39","  Other","B653RG3",23.179,24.891,25.861,27.99,32.582,40.517,45.989,46.347,50.689,55.661,61.233,67.977,70.234,69.153,68.322,68.217,66.424,69.458,74.433,80.125,82.174,83.501,84.84,86.148,87.229,89.377,92.849,92.948,92.396,91.94,91.714,93.072,92.641,91.71,93.619,96.612,100,102.386,104.352,113.82,110.922,113.308
"47","40","Imports of services \1\","B656RG3",19.805,20.511,22.368,23.483,27.163,32.303,34.921,36.5,39.094,42.645,48.16,55.892,58.318,58.36,57.404,56.419,56.35,62.45,63.339,66.424,66.072,71.019,73.612,75.673,76.313,77.806,80.235,82.234,82.233,80.629,83.185,84.209,84.219,86.088,91.469,95.573,100,103.806,107.75,113.921,110.711,114.801
"48","41","  Direct defense expenditures","B752RG3",10.129,10.375,11.815,12.198,14.719,17.134,19.548,21.156,24.194,28.11,32.791,39.218,39.341,39.481,38.087,36.841,36.997,43.273,50.611,56.617,56.167,66.337,66.829,69.279,67.635,69.598,77.145,76.83,70.536,68.515,69.679,67.319,67.853,70.359,82.046,91.029,100,105.247,116.495,124.583,120.298,119.546
"49","42","  Travel","B768RG3",24.787,25.35,27.882,29.723,34.531,41.626,46.302,46.508,49.056,54.02,61.5,68.011,70.991,64.662,60.554,57.725,56.055,63.62,60.69,64.711,65.357,68.371,71.401,75.69,76.2,79.134,80.555,82.965,82.69,79.378,81.29,80.123,78.268,81.342,87.308,93.644,100,103.943,112.354,119.382,112.056,119.384
"50","43","  Passenger fares","B769RG3",24.674,24.73,26.733,27.95,27.495,33.1,35.599,37.176,39.63,37.626,40.229,46.626,50.457,52.145,52.268,51.012,49.255,51.092,51.906,54.162,53.846,59.027,65.811,67.605,66.672,67.013,70.532,71.449,75.753,76.717,78.761,83.294,91.054,95.647,97.62,96.001,100,105.509,113.146,130.012,120.29,136.6
"51","44","  Other transportation","B770RG3",14.999,16.263,16.641,17.577,21.56,26.885,27.005,28.641,29.929,32.875,38.258,47.014,49.714,52.729,53.018,53.921,55.796,62.137,57.914,59.06,60.482,63.328,64.269,63.851,64.437,64.517,67.156,69.074,67.593,66.327,74.239,81.145,79.916,76.873,86.222,93.552,100,99.424,96.315,104.513,96.231,102.673
"52","45","  Royalties and license fees","B908RG3",20.279,21.328,22.572,23.53,25.008,27.432,29.925,31.843,34.27,36.935,40.404,44.789,48.812,51.723,54,56.296,58.294,60.009,62.2,64.567,67.443,70.615,73.247,75.319,77.224,78.924,80.896,82.669,84.134,84.818,86.121,88.317,90.106,91.415,93.554,96.473,100,103.351,106.275,109.73,109.553,110.873
"53","46","  Other private services","B909RG3",37.304,39.375,41.587,43.183,44.361,46.81,49.784,52.252,55.291,57.941,59.623,65.22,68.321,70.729,73.744,74.427,76.028,78.59,86.124,85.887,79.537,85.686,88.712,89.518,92.286,93.091,94.278,97.051,98.383,97.119,96.93,94.975,94.44,97.597,99.339,99.536,100,105.643,108.468,111.907,112.839,114.538
"54","47","  Other","B910RG3",21.745,22.546,24.317,25.615,28.403,32.55,35.841,37.106,39.519,43.034,47.955,53.042,56.822,55.949,55.548,55.556,55.865,60.15,60.042,63.09,65.007,68.011,70.765,73.696,74.948,77.144,78.919,81.093,81.603,80.375,82.901,84.911,84.095,84.996,89.62,94.84,100,103.397,107.705,113.205,108.468,113.402
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","B332RG3",45.827,47.963,49.074,50.062,53.537,63.317,73.071,77.965,81.531,86.552,96.331,106.605,116.213,118.973,117.292,116.397,111.693,109.667,109.73,113.335,114.117,112.624,112.941,111.372,110.605,109.853,108.37,103.872,100.75,98.453,97.194,97.374,97.239,96.635,96.663,98.292,100,102.486,103.368,104.038,101.63,103.505
"57","49","  Exports of nondurable goods","B339RG3",25.482,26.569,27.426,28.423,36.941,50.976,53.898,52.287,53.51,56.301,65.292,70.598,73.652,69.311,69.472,71.712,67.112,63.309,67.792,76.057,77.906,77.717,77.048,75.479,75.254,78.993,87.535,88.257,86.317,81.792,80.527,83.874,82.331,81.733,86.993,93.983,100,105.231,114.629,129.937,111.733,123.046
"58","50","  Exports of agricultural goods \2\","B181RG3",31.89,33.095,35.202,37.216,55.428,75.356,73.712,69.197,70.312,72.968,82.884,87.29,91.622,81.053,84.552,88.204,77.956,70.949,73.4,86.579,89.278,85.708,85.448,83.777,85.129,88.945,96.95,106.795,99.376,90.393,83.844,82.446,83.118,84.689,93.347,101.976,100,103.559,122.352,146.874,129.901,138.183
"59","51","  Exports of nonagricultural goods","B182RG3",29.525,31.323,32.231,33.229,36.141,45.217,52.34,55.467,58.66,62.001,70.695,79.501,86.943,91.134,93.18,98.104,96.782,94.439,96.772,101.618,102.706,102.113,102.029,100.43,99.633,100.353,102.062,98.098,95.817,93.312,92.507,93.886,93.202,92.4,93.574,96.532,100,103.31,105.621,109.353,102.516,107.303
"60","52","  Imports of durable goods","B333RG3",36.626,39.112,41.491,45.141,51.968,63.846,70.856,72.003,77.489,86.266,95.145,105.204,109.362,107.348,104.86,102.942,99.278,106.258,112.585,120.591,121.541,120.041,119.764,119.116,118.681,119.693,120.788,113.942,107.914,103.318,101.348,101.075,99.197,97.25,97.112,99.081,100,101.336,102.761,105.644,102.241,103.504
"61","53","  Imports of nondurable goods","B340RG3",12.186,13.015,13.522,14.351,17.467,32.53,34.52,35.754,39.495,40.516,50.909,71.917,76.924,72.262,67.822,68.351,65.31,55.09,60.197,60.582,64.565,69.273,66.088,65.721,64.102,64.414,68.518,71.341,70.059,63.309,66.185,77.001,73.268,72.268,78.448,86.211,100,108.665,114.903,141.555,110.109,126.499
"62","54","  Imports of nonpetroleum goods","B187RG3",31.774,34.046,35.685,38.525,45.023,56.767,62.6,63.473,69.547,75.933,84.178,95.097,97.615,95.183,92.918,92.188,88.884,94.208,99.696,106.985,108.302,107.878,108.048,107.952,107.619,109.142,111.324,106.538,102.252,98.505,96.863,97.534,96.151,94.099,95.267,97.561,100,101.202,103.118,108.215,103.48,105.758
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
