"","Table 1#8# Real Gross Domestic Product by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"12","    Housing","5","B499RX",50.4,50.1,49.9,49.6,47.9,49.4,49.4,49.2,50,52.2,53,54.5,57.3,62,65.6,68.6,70.4,72.8,77,81.4,87.1,93.7,101.2,109.4,116.2,123.8,131.2,138.8,147.9,156.8,167.8,179.2,189.8,202.2,212.7,222.9,235.5,246.9,259.2,269.3,281.4,289.7,301.7,316.6,331.4,349.1,353.1,362.1,373.4,393.4,414.4,441.8,459.3,465.3,468.3,486.4,502.4,511.2,526.3,543.5,561.4,571.8,586.4,599.8,599.5,621.6,636.2,642.8,649,664.7,691.9,711,712.6,711.8
"13","  Farm","6","B359RX",29.3,27.7,32.7,31.8,30.6,24.6,30.2,26.2,31.6,30.7,34,30.2,33.6,36.3,35.4,35,34.8,35.1,31.8,36.4,35.1,36.9,35,36.8,38.6,39.9,40.8,40.8,39.3,40.5,40.2,42.2,42.5,41.7,42.9,41.5,43.8,42.4,45.2,43.7,44.9,46.3,48.4,48.3,48.1,47,55.5,53.3,56,54.1,58.3,56.5,72.6,75.7,50.5,67.4,80.7,77.5,78.8,70.2,79.5,84.2,85.6,95.7,85.8,100.3,85.5,92.2,103.6,100.3,108.1,120.5,114.3,114.7
"14","Households and institutions","7","A193RX",70.6,68.3,63.7,58.2,56.2,59.9,61.8,64.8,67.3,64.8,67.3,72.2,72.3,74.4,68.7,68.2,68.2,68.6,73.3,78.7,80.8,85.8,87.4,86.9,89.2,90,99.3,104.7,107.3,112.3,115.6,123.5,124.4,129,132.1,135.9,140.8,146,150.8,155.3,160.3,158.8,162.3,166.9,170.9,172.2,177.7,179.8,185,188.4,192.5,198.1,202.6,208.4,213,218.2,224.9,236,247.8,265.5,279.8,291.5,300.9,308.6,319.7,330.9,341.5,348.6,360.5,371.9,379.2,388.9,398.7,407.7
"15","  Private households","8","B701RX",30.4,28.4,25.2,21.6,20.6,23.3,24.4,25.9,27.4,25,26.8,28.1,26.6,27.1,22.4,21.4,21.2,19.5,20.9,20.5,20.4,22.3,21.9,20.1,19.8,18.6,22.1,23.1,22.6,23.2,22.6,22.8,22.1,21.9,21.6,21.4,20.7,19.9,20,19,18,16.9,16.1,15.6,15.2,13.1,12.3,12.7,12.9,13.3,11.8,10.4,9.7,9.3,9.2,10.4,10.1,10.4,10.2,10.6,11.1,11.4,10.5,11.3,11.7,11.8,12.2,12,11.7,13.3,11.7,12,10.1,8.8
"16","  Nonprofit institutions","9","B702RX",27.1,27.6,27.2,26.3,25.8,26.1,26.6,27.4,28,28.4,28.7,31.5,33.4,34.7,35.7,36.8,37.3,40.9,43.6,50.3,52.7,55,57.3,59.7,62.8,65.5,69.8,73.8,77.3,81.8,86.1,94.1,96.1,101,104.7,108.9,115,121.5,126.3,132.2,138.7,138.7,143.3,148.6,153.2,157.1,163.8,165.4,170.4,173.3,179.5,187,192.6,199,203.8,207.6,214.7,225.5,237.6,254.8,268.6,280.1,290.4,297.3,308,319.1,329.3,336.5,348.8,358.6,367.5,376.9,388.7,398.9
"17","General government \3\","10","A765RX",122.9,128.7,131,129.3,136.4,154,164.2,192.1,183.1,197.6,201.3,210.8,259.5,397.2,653.3,793.2,796.4,432.3,340.3,325.2,323.1,327,390.1,422.9,430.7,431.1,432.5,440.5,449.6,454,460.3,476.3,493.3,512.6,527.8,545.7,564,599.4,631.5,656.5,673.6,676.4,678,677.6,680.5,693.7,704.4,709.9,716.4,729.8,737.2,747.4,751.4,758.6,763.2,772.4,794.3,813.7,831.4,852.8,873,895.1,903.6,904.9,906.2,905.6,906.7,908.7,917.3,928.8,939,958.6,978.5,1000.9
"18","  Federal","11","A766RX",26.6,28.5,27.3,26.1,32.2,42.9,47.5,78.4,67.9,76.7,78.2,85.5,130.7,264.2,513.2,650.7,651.5,306,215.7,198.5,188.9,188.4,247.2,275.4,276.7,269.8,263.4,260.6,259.7,252.4,250.4,255.3,260.8,271.7,274.1,276.6,278.4,296.8,316.4,322.1,323.5,310,296.4,282.9,272.7,271.4,269.5,269.4,269.2,272.3,271.7,275.7,279.8,283.9,290.2,296.5,304.7,309.9,318,321.8,325.6,331.4,333.3,326.2,319.7,309.9,299.1,292,287.9,286.2,285.2,289.4,291.3,297.5
"19","  State and local","12","A767RX",91.5,95.2,98.4,98,98.7,104.7,109.7,103.9,107,111.4,113.5,114.9,115.8,114.3,111.4,108.9,111.1,116.9,124.5,127.8,136.2,140.9,144.6,149.4,156,162.9,170.5,181.1,191,202.7,211.1,222.3,233.7,242.3,254.9,270.2,286.6,303.7,316.4,335.4,350.7,366.2,381.2,394.5,408.1,422.9,435.8,441.5,448.3,458.7,466.9,473.2,473,476,474.1,476.9,490.6,504.8,514.5,532.1,548.5,564.7,571.2,579.4,587.1,596.1,607.7,616.7,629.3,642.5,653.7,669,687,703.1
"20","Residual","13","A961RX",56.6,39.7,35.4,21.8,16.2,13.5,21.4,17.7,33.4,20.6,31.5,35.2,38.5,-10.1,-136.5,-206.1,-211.8,-51,-22.9,-3.4,-9.6,2.2,-24.9,-34.6,-29.8,-31.4,-20.5,-23.5,-28,-35.3,-26.5,-32.6,-37,-36.7,-34.9,-33.2,-27.5,-31.2,-38.8,-40.4,-41.7,-41.3,-36.1,-29.6,-26.3,-36.2,-31.4,-26,-19.2,-17,-13.7,-26.4,-17.6,-26.4,-26,-10,-6.2,-5.5,-5.1,-5.3,-4.4,-5.2,-7.6,-6.3,-3.5,-3.5,-0.4,0.1,-0.8,0,-2.1,-6.5,-2.4,-3.7
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22"," 1. Equals gross domestic product less gross product of households and institutions and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23"," 2. Equals gross domestic business product less gross farm product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24"," 3. Equals compensation of general government employees plus general government consumption of fixed capital as shown in table ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3.8.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","  Note.  Chained (1996) dollar series are calculated as the product of the chain-type quantity index and the 1996 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","  Chain-type quantity indexes for the series in this table are shown in table 7.14.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
