"","Table 8#10# Farm Sector Output, Gross Product, and National Inco","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"19","        Intermediate goods and services, other than rent","12","B1012C",3.3,2.9,2.2,1.7,1.8,2.1,2.3,2.7,3.1,2.8,3.1,3.6,4,5.2,6.2,6.7,7.4,8.4,10.1,11.2,10.3,11.2,13.3,13.5,12.3,12.7,13.2,13.3,13.8,15.5,16.5,16.2,16.9,18.1,18.9,18.5,19.6,21.7,22.6,22.9,24.5,26,27.8,30.5,39.3,42.9,43.9,48.6,51.4,61.3,73.2,78.4,79.1,78.1,77.9,80.4,74.9,72.6,77.4,84.8,89.2,93.2,94.9,93.9,101.2,105.4,110.7,114.3,122.1,118.9,118.6,122.2,126.1
"20","        Rent paid to nonoperator landlords","13","B1013C",0.8,0.6,0.4,0.3,0.4,0.4,0.5,0.6,0.6,0.5,0.5,0.6,0.8,1,1.2,1.2,1.2,1.6,1.7,1.7,1.4,1.6,1.8,1.8,1.7,1.6,1.6,1.6,1.5,1.7,1.7,1.8,1.9,2.1,2.3,2.3,2.6,2.7,2.6,2.7,2.8,2.9,3,4,6,5.7,5.6,5.2,5.2,6.1,7.6,8.4,8.8,8.8,8,11.1,10.7,8.4,9.5,9.9,11.8,12.5,12.3,13.5,12.7,14.4,13.9,16.1,16,15.2,13.8,14.2,14.7
"21","Equals: Gross farm product","14","B359RC",9.7,7.6,6.3,4.5,4.6,4.7,7,6.4,8.2,6.5,6.3,6.4,8.9,13,15.3,15.3,16,18.8,20.2,23.3,18.7,19.9,22.9,22.1,20.1,19.5,18.6,18.4,18.3,20.5,18.9,19.8,20.1,20.2,20.4,19.3,21.9,22.9,22.2,22.7,25.2,26.2,28.1,32.6,49.8,47.4,48.8,46.4,47.2,54.7,64.5,56.1,69.9,65.1,49.2,68.5,67.1,63,65.1,63.8,76.2,79.6,73.2,80.5,73.6,83.6,73.2,92.2,88.3,80.6,75.2,77.8,80.6
"22","Less: Consumption of fixed capital","15","B366RC",0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1,1,1.2,1.5,1.8,2.1,2.4,2.7,2.9,3,3.1,3.1,3.3,3.4,3.5,3.6,3.7,3.7,3.8,3.9,4,4.2,4.5,4.8,5.1,5.5,5.8,6.3,6.7,7.4,8.6,10.2,11.3,12.6,14.1,16.1,18.6,20.4,21.6,21.5,21.4,21,20.8,20.6,20.7,21.4,22.1,22.6,23.4,23.5,23.7,24.6,25.4,26.3,27.3,28.9,28.7,29.4
"23","Equals: Net farm product","16","A365RC",8.9,6.9,5.6,3.8,4,4.1,6.4,5.8,7.6,5.8,5.6,5.7,8.1,12.1,14.4,14.3,14.9,17.7,18.7,21.4,16.6,17.5,20.2,19.2,17.1,16.5,15.5,15.1,14.9,16.9,15.3,16.1,16.3,16.4,16.5,15.2,17.7,18.4,17.4,17.6,19.7,20.4,21.8,25.9,42.3,38.7,38.6,35.1,34.6,40.7,48.3,37.5,49.5,43.5,27.7,47.2,46.1,42.2,44.5,43.1,54.8,57.5,50.6,57.1,50.1,59.8,48.6,66.8,61.9,53.3,46.3,49.2,51.2
"24","Less: Indirect business tax and nontax liability","17","B1017C",0.5,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.6,1.6,1.8,1.9,2,2,2.1,2.2,2.4,2.5,2.7,2.8,2.8,3,3,3.2,3,3.2,3.1,3.3,3.3,3.6,3.7,3.9,4.3,4.4,4.6,4.4,4.7,5,5,5.2,5.2,5.3,5.4,5.6
"25","Plus: Subsidies to operators","18","B1018C",0,0,0,0,0.1,0.4,0.5,0.2,0.3,0.4,0.7,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.5,0.9,1,0.6,0.6,1.3,1.5,1.5,1.9,2.1,2.9,2.7,3,3.3,3.3,2.8,3.5,2.3,0.5,0.7,0.7,1.7,2.5,1,1,1.5,2.2,7.5,7,6.3,9.5,13.5,11.7,9.3,7.5,6.8,7.7,11.3,6.6,6.1,6.2,6.3,10.4,18.4,19.5,17.7
"26","Equals: Farm national income","19","B370RC",8.3,6.3,5.1,3.4,3.8,4.1,6.5,5.7,7.5,5.8,5.9,6,8.2,12.3,14.5,14.6,15.1,17.8,18.3,21,16,16.9,19.6,18.6,16.3,15.8,14.7,14.6,14.7,16.8,14.7,15.5,16.3,16.6,16.6,15.7,18.3,19.7,18.5,18.8,21.1,21.6,22.5,27.3,42.5,36.9,36.8,33,33.4,40.4,46.3,35.5,47.7,42.7,32,51,49.1,48.4,54.4,51.1,60.2,60.8,53,60.2,56.9,61.8,49.7,68.1,63.1,58.5,59.3,63.3,63.2
"27","          Compensation of employees","20","A2006C",1.3,1.2,0.9,0.7,0.6,0.7,0.8,0.9,1,1,1,1,1.3,1.6,2,2.2,2.3,2.5,2.8,3,2.8,2.8,2.9,2.9,2.7,2.6,2.6,2.6,2.7,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.6,3.6,3.8,4,4.2,4.2,4.3,5.1,6,6.5,7.3,7.8,8.2,8.9,9.2,9,10,9.7,9.7,9.9,9.3,9.4,10.7,11.5,13.6,13.4,13.1,14.3,14.6,15.7,16.6,17.6,18.6,19.3,19.3,21.5
"28","            Wage and salary accruals","21","B1019C",1.3,1.2,0.9,0.7,0.6,0.7,0.8,0.9,1,1,1,1,1.2,1.6,2,2.2,2.3,2.5,2.8,3,2.8,2.8,2.9,2.8,2.7,2.6,2.6,2.6,2.7,2.8,2.8,3,3.1,3.2,3.2,3.3,3.4,3.4,3.4,3.5,3.8,3.9,3.9,4,4.7,5.5,5.8,6.5,6.9,7.2,7.9,8.2,8,9.1,8.8,8.8,8.9,8.3,8.4,9.5,10.1,11.8,11.4,11.2,12,12.3,13.3,14.2,15.1,16.2,16.5,16.6,18.4
"29","            Supplements to wages and salaries","22","B1020C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.9,0.9,1,1,1,0.9,0.9,1,1,0.9,1,1.1,1.4,1.8,2,2,2.3,2.2,2.4,2.4,2.4,2.5,2.9,2.7,3.1
"30","          Proprietors' income and corporate profits with inventory valuation and capital consumption adjustments","23","A1024C",6.2,4.4,3.4,2.1,2.6,2.9,5.3,4.4,6.1,4.4,4.4,4.5,6.5,10.2,12.1,12.1,12.5,15,15.3,17.6,12.8,13.7,16.2,15.1,13,12.6,11.5,11.3,11.3,13.1,10.9,11.4,12.1,12.1,12,10.8,13.2,14.3,12.9,12.9,14.8,14.9,15.5,20,33.9,26.6,25.4,19.7,18.6,23.8,26.7,12.7,22.2,14.5,4,23.3,23.6,25.4,32.5,28.7,37.5,36.5,30,38.5,34.5,38.4,24.7,42,35.8,29.9,29.6,33.2,30.9
"31","            Proprietors' income","24","B042RC",6.2,4.4,3.5,2.1,2.6,2.9,5.3,4.3,6,4.4,4.4,4.5,6.4,10.1,12,12,12.4,14.8,15.1,17.5,12.7,13.5,16,15.1,13,12.5,11.5,11.3,11.3,13.1,10.9,11.4,12.1,12.1,11.9,10.8,13.1,14.1,12.8,12.8,14.2,14.3,14.9,18.8,30.7,25.2,23.5,18.7,17.5,21.5,23.7,13.1,20.3,14.4,7.2,21.6,21.5,23,29,26,32.2,31.1,26.4,32.7,30.1,31.9,22.2,34.3,29.7,25.6,27.7,22.6,19
"32","            Corporate profits","25","B1023C",0,0,-0.1,-0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.1,0.1,0.6,0.5,0.6,1.2,3.2,1.4,1.9,1,1.1,2.2,2.9,-0.4,1.9,0.1,-3.1,1.7,2,2.3,3.5,2.7,5.4,5.3,3.7,5.9,4.3,6.4,2.5,7.7,6.1,4.3,1.9,10.6,11.8
"33","          Net interest","26","B1021C",0.8,0.8,0.7,0.7,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.4,1.6,1.8,2,2.2,2.3,2.6,2.8,3,3.5,4.3,5,6,7,8.4,10.8,13.6,16.5,18.2,18.3,18,15.6,13.8,12.5,11.7,11.2,10.7,9.6,8.6,8.2,8.9,9.3,9.5,9.7,10,10.3,10.9,10.8
