"","Table 6#2C# Compensation of Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"29","        Motor vehicles and equipment","22","B4022C0C",38382,42732,41787,40714,40010,45786,55253,63251,68308,58037,58375,65120,68743,70613,65296
"30","        Other transportation equipment","23","B4023C0C",47980,49216,52036,53981,53258,52087,47935,46292,44911,45627,49100,51999,51965,51649,52500
"31","        Instruments and related products","24","B4024C0C",36500,40202,41674,42309,43757,43979,43907,44183,44653,47211,48777,51454,53491,57079,56364
"32","        Miscellaneous manufacturing industries","25","B4025C0C",9263,10254,10682,10896,11094,11723,12175,13143,13626,13845,14159,14807,15465,16165,16093
"33","      Nondurable goods","26","A4026C0C",225980,239751,250375,262035,270157,284618,293960,304897,309376,314363,322441,333665,340467,355337,348341
"34","        Food and kindred products","27","B4027C0C",44928,46841,48539,51040,53655,55712,57507,59382,60400,61472,62478,64862,66468,70102,71808
"35","        Tobacco products","28","B4028C0C",2519,2598,2708,2672,2714,2810,2687,2667,2964,2900,2928,2787,2758,2946,3130
"36","        Textile mill products","29","B4029C0C",15513,16071,16635,16593,16809,18007,18664,19245,18783,18623,18878,18796,18269,18054,16411
"37","        Apparel and other textile products","30","B4030C0C",18174,18884,19537,19573,19898,20832,20914,21370,20858,20195,19855,19288,18462,17721,16594
"38","        Paper and allied products","31","B4031C0C",24124,25423,26657,27766,28372,29981,30951,31986,32415,32978,33383,33777,34474,35062,34378
"39","        Printing and publishing","32","B4032C0C",42374,46462,48428,51135,51959,54060,55814,58621,59987,61849,64088,67514,69716,73248,71895
"40","        Chemicals and allied products","33","B4033C0C",43525,47795,50377,53895,56594,60142,62168,63841,65750,67418,70667,74124,77224,83713,80990
"41","        Petroleum and coal products","34","B4034C0C",8889,8392,8603,9281,9746,10334,10558,10676,9851,9721,9772,10254,10040,9810,10149
"42","        Rubber and miscellaneous plastics products","35","B4035C0C",23252,24464,26003,27169,27540,29822,31719,34124,35528,36524,37755,39718,40582,42232,40731
"43","        Leather and leather products","36","B4036C0C",2682,2821,2888,2911,2870,2918,2978,2985,2840,2683,2637,2545,2474,2449,2255
"44","    Transportation and public utilities","37","A4037C0C",192050,200283,208526,221470,229428,239786,250188,267317,275111,285015,299385,321871,350019,375096,382099
"45","      Transportation","38","A4038C0C",102968,108112,113715,120496,124341,130457,135900,145034,150057,156530,163507,176899,187764,198545,203768
"46","        Railroad transportation","39","B4039C0C",16845,15457,15285,14948,15182,15845,15455,15395,15312,15652,15752,16946,17023,16749,16759
"47","        Local and interurban passenger transit","40","B4040C0C",5524,6023,6382,6870,7295,7705,8182,8817,9320,10053,10495,11245,11952,12684,13272
"48","        Trucking and warehousing \2\","41","B4041C0C",42910,41627,43182,44933,45648,48191,50314,54631,56608,58494,62099,66363,70671,74287,75765
"49","        Water transportation","42","B4042C0C",6425,6275,6391,6866,7338,7341,7584,7802,7761,7873,8349,8785,9068,9667,10043
"50","        Transportation by air \2\","43","B4043C0C",22787,29264,32254,35743,37240,38978,41161,43955,45674,48637,49875,55055,59591,64005,66426
"51","        Pipelines, except natural gas","44","B4044C0C",848,902,899,982,1061,1162,1155,1117,1034,971,969,993,1000,1018,1092
"52","        Transportation services","45","B4045C0C",7629,8564,9322,10154,10577,11235,12049,13317,14348,14850,15968,17512,18459,20135,20411
"53","      Communications","46","A4046C0C",49715,51571,52311,55907,57276,59013,61756,68958,71762,75252,82157,89306,103714,114010,113175
"54","        Telephone and telegraph","47","B4047C0C",39225,40765,41105,43387,44632,45625,47418,53246,54078,56822,62592,67147,78733,86828,84956
"55","        Radio and television","48","B4048C0C",10490,10806,11206,12520,12644,13388,14338,15712,17684,18430,19565,22159,24981,27182,28219
"56","      Electric, gas, and sanitary services","49","B4049C0C",39367,40600,42500,45067,47811,50316,52532,53325,53292,53233,53721,55666,58541,62541,65156
"57","    Wholesale trade","50","B4050C0C",181198,198924,213173,222670,227253,239150,244961,260735,275996,288768,307479,335828,359519,385755,379752
"58","    Retail trade","51","B4051C0C",262580,281177,295397,308450,315539,332526,343113,363366,382046,398276,426010,448698,478563,511114,531075
"59","    Finance, insurance, and real estate","52","A4052C0C",204635,221495,229281,243604,253477,275445,300522,311437,322831,351798,377552,427064,458091,501923,531995
"60","      Depository institutions","53","B4053C0C",57892,61900,64932,67720,68048,71175,74165,77344,78887,82740,87566,94748,98577,100040,106840
"61","      Nondepository institutions","54","B4054C0C",11869,12493,12835,13816,14691,17471,21644,21532,22087,25330,29516,38489,40714,41510,49161
"62","      Security and commodity brokers","55","B4055C0C",32575,33709,31483,32872,35583,44947,54370,54434,58857,72063,79430,93919,107093,135094,138866
"63","      Insurance carriers","56","B4056C0C",44336,47857,50921,55867,60359,63960,67118,70169,72391,75441,78125,86513,91260,94360,98832
"64","      Insurance agents, brokers, and service","57","B4057C0C",18967,21428,22604,24518,25476,26116,27259,29306,30585,32424,34456,36703,38697,41075,44766
"65","      Real estate","58","B4058C0C",29753,32984,34737,35770,35643,36859,38512,40920,41730,44526,47750,53850,57599,61891,66628
"66","      Holding and other investment offices","59","B4059C0C",9243,11124,11769,13041,13677,14917,17454,17732,18294,19274,20709,22842,24151,27953,26902
"67","    Services","60","A4060C0C",551153,613094,676692,751662,790673,860205,916601,971400,1050851,1122869,1211716,1321361,1431970,1578136,1644716
"68","      Hotels and other lodging places","61","B4061C0C",22807,25068,27239,29517,29948,31210,32471,34060,36465,38117,39609,42801,46437,49802,50191
"69","      Personal services","62","B4062C0C",15596,16857,17925,19289,19896,20810,21577,22134,23154,24167,25441,26861,28441,30078,32128
"70","      Business services","63","B4063C0C",85678,96918,108963,121570,123876,136892,152743,168902,193179,220399,256124,301202,351919,412930,405062
"71","      Auto repair, services, and parking","64","B4064C0C",17271,18943,20317,22148,21767,22660,24119,25889,27675,30089,32091,34235,36996,39809,41571
"72","      Miscellaneous repair services","65","B4065C0C",7712,8756,9725,10508,9454,10047,10694,10214,11251,12050,12458,13264,13499,13947,14652
"73","      Motion pictures","66","B4066C0C",8274,8597,9685,11323,11439,11819,13161,14444,16689,17976,20220,21776,22480,23933,24443
"74","      Amusement and recreation services","67","B4067C0C",16022,17577,19414,22465,23789,26638,29227,31417,34200,36934,40283,43513,47274,51547,52647
"75","      Health services","68","B4068C0C",177576,196187,215901,243084,266803,294021,308215,323920,342392,365617,378558,393083,408567,430446,464063
"76","      Legal services","69","B4069C0C",35985,41364,44907,48941,50971,54423,55250,56744,61842,55150,62903,67834,72180,79170,85255
"77","      Educational services","70","B4070C0C",29145,31938,34776,37452,40545,43607,46410,49156,52221,54500,57563,62390,66841,72643,78808
"78","      Social services and membership organizations","71","A4071C0C",45614,51604,57172,63304,68830,73844,80333,86480,90118,94666,99414,106341,114376,123692,131746
"79","        Social services","72","B4072C0C",20105,22586,25638,29091,32427,36056,39142,42370,45556,47894,50415,55337,59270,65086,71803
"80","        Membership organizations","73","B4073C0C",25509,29018,31534,34213,36403,37788,41191,44110,44562,46772,48999,51004,55106,58606,59943
"81","      Other services \3\","74","B4074C0C",81764,90971,101745,112682,114227,124103,131663,136945,149777,161195,175017,194081,210248,236574,252269
"82","      Private households","75","B701RC0C",7709,8314,8923,9379,9128,10131,10738,11095,11888,12009,12035,13980,12712,13565,11881
"83","  Government","76","A4076C0C",558764,596548,634462,682574,721770,752960,777509,802963,824180,849625,882629,915052,953259,1007280,1062099
"84","    Federal","77","B4077C0C",204493,215365,224556,236666,250602,258642,259362,259572,257688,263231,266816,270161,277699,293678,300286
"85","      General government","78","B568RC0C",170292,177973,185701,193865,205860,210697,211929,209935,206903,211001,213247,215262,221496,233437,240534
"86","        Civilian","79","B4079C0C",85397,91463,96989,103268,110426,115822,122196,123851,123674,124935,127331,129828,134369,142052,144305
"87","        Military \4\","80","B4080C0C",84895,86510,88712,90597,95434,94875,89733,86084,83229,86066,85916,85434,87127,91385,96229
"88","      Government enterprises","81","A4081C0C",34201,37392,38855,42801,44742,47945,47433,49637,50785,52230,53569,54899,56203,60241,59752
"89","    State and local","82","B4082C0C",354271,381183,409906,445908,471168,494318,518147,543391,566492,586394,615813,644891,675560,713602,761813
"90","      General government","83","B251RC0C",329614,354623,381571,415502,439244,461065,483892,507050,528907,548416,576759,604420,633337,669207,711554
"91","        Education","84","B4084C0C",173480,186343,200423,218022,230555,240884,253509,265530,278484,290650,307530,323707,340095,360574,382057
"92","        Other \1\","85","B4085C0C",156134,168280,181148,197480,208689,220181,230383,241520,250423,257766,269229,280713,293242,308633,329497
"93","      Government enterprises \1\","86","B4086C0C",24657,26560,28335,30406,31924,33253,34255,36341,37585,37978,39054,40471,42223,44395,50259
"94","Rest of the world","87","A4187C0C",-1356,-867,-1285,-2307,-2751,-3336,-3706,-4415,-4508,-4550,-4871,-4996,-5745,-5875,-6163
"95","  Receipts from the rest of the world","88","B4188C0C",994,995,1017,1172,1290,1425,1434,1543,1761,1756,1802,1934,2210,2341,2382
"96","  Less:  Payments to the rest of the world \5\","89","B4189C0C",2350,1862,2302,3479,4041,4761,5140,5958,6269,6306,6673,6930,7955,8216,8545
"97","Addenda:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Households and institutions","90","A193RC0C",173329,195107,214605,237948,257530,279543,297020,313286,330327,348558,363230,383786,403143,431088,459628
"99","Nonfarm business","91","A4091C0C",2074302,2236305,2358949,2492477,2541691,2683669,2810937,2975768,3125172,3275584,3485352,3772521,4037229,4376228,4447782
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101"," 1. Beginning with 2001, reflects the reclassification of employees of Indian tribal governments from the private sector in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","accordance with the Consolidated Appropriations Act of 2001.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103"," 2. Reflects the reclassification of air couriers from trucking and warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104"," 3. Consists of museums, botanical and zoological gardens; engineering and management services; and services, not elsewhere ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106"," 4. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107"," 5. Beginning with 1993, includes estimates of foreign professional workers and undocumented Mexican migratory workers employed ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
