"","Table 7#16B# Implicit Price Deflators for Private Inventories by","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31"
"1","[Index numbers, 1996=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1996 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 28, 2003 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2003 11:53:10 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","    Private inventories \1\","1","A371RD",NA,NA,NA,99.97,99.6,99.06,99.23,98.54,97.65,96.94,95.85,95.21,95.34,96.12,97.09,97.83,99.07,99.41,99.58,100.31,101.07,100.59,99.48,98.04,98.48,98.99,99.28,99.94
"10","Farm","2","A372RD",NA,NA,NA,99.66,104.14,103.48,103.04,100.39,99.35,94.43,87.53,85.78,91.52,91.93,91.51,92.9,99.49,97.09,92.86,98.56,104.39,102.66,96.33,95.07,97.32,96.53,93.35,99.23
"11","Construction, mining, and utilities","3","N238RD2",NA,NA,NA,107.83,97.28,98.63,102.88,98.88,92.52,92.6,90.38,89.67,88.12,92.04,96.45,98.02,98.21,103.99,109.92,119.05,126.9,113.99,102.19,98.19,97.69,104.47,104.34,110.56
"12","Manufacturing","4","N376RD2",NA,NA,NA,99.75,98.9,98.47,98.61,98.37,97.2,96.61,95.79,94.67,94.34,95.39,96.69,97.78,98.84,99.35,100.18,100.3,100.89,100.72,100.17,98.32,98.96,99.45,100.1,100.31
"13","  Durable goods industries","5","N377RD2",NA,NA,NA,99.39,99.1,98.86,98.82,98.77,97.87,97.36,96.48,95.32,94.91,95.57,96.29,96.99,97.4,97.38,98.04,98,98.62,98.73,99.16,98.34,98.41,98.81,98.65,98.62
"14","  Nondurable goods industries","6","N378RD2",NA,NA,NA,100.32,98.58,97.83,98.25,97.74,96.11,95.38,94.66,93.62,93.41,95.12,97.4,99.17,101.34,102.76,103.88,104.31,104.84,104.16,101.93,98.36,99.93,100.57,102.52,103.1
"15","Wholesale trade","7","N379RD2",NA,NA,NA,99.19,98.72,97.95,98.17,97.49,96.32,95.67,94.61,94.11,93.87,94.39,95.28,95.76,96.82,97.11,97.04,96.9,96.54,96.42,95.89,94.34,94.85,95.62,96.8,96.67
"16","  Durable goods industries","8","N380RD2",NA,NA,NA,99.74,99.33,98.9,98.56,97.99,96.91,95.92,94.89,94.14,93.71,93.6,93.72,94.17,94.22,94.08,93.66,93.13,92.46,92.21,91.83,91.33,91.26,91.66,91.68,91.68
"17","  Nondurable goods industries","9","N381RD2",NA,NA,NA,98.27,97.69,96.35,97.53,96.68,95.34,95.27,94.14,94.07,94.17,95.77,98.02,98.57,101.39,102.45,103.02,103.55,103.71,103.8,103,99.73,101.16,102.5,105.46,105.12
"18","Retail trade","10","N382RD2",NA,NA,NA,100.26,100.17,99.66,99.62,99.36,99.53,99.68,99.91,100.15,99.89,100.33,101.06,101.32,101.6,101.92,102.09,102.49,102.67,102.69,102.65,102,102,101.98,102.08,102.09
"19","  Motor vehicle dealers","11","N864RD2",NA,NA,NA,99.71,99.41,98.37,98,97.49,97.57,97.78,98.4,98.66,97.74,98.38,99.33,99.54,99.25,99.88,100.09,100.96,100.54,100.21,100.28,99.48,98.93,98.59,98.17,97.32
