"","Table 1#8# Real Gross Domestic Product by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227"
"11","  Nonfarm \2\","3","A358RX",1068.8,1093.9,1067.1,1120.6,1129,1130.3,1142.7,1142.7,1135,1124,1141.6,1128.4,1179.6,1221.6,1286.9,1299.2,1324.6,1333.7,1350,1353.1,1368.2,1368.6,1373,1435.1,1458.4,1467.1,1462.5,1434.9,1421.2,1423.8,1441.9,1472.8,1526.7,1550.3,1573.2,1585.4,1579.4,1588.7,1583.6,1609.5,1630,1623.2,1639.3,1613,1559.2,1567.3,1613.6,1661.4,1698.5,1752.5,1751.4,1751.6,1800.5,1780.6,1777.5,1742,1755.4,1799.5,1833.3,1873.8,1913.5,1932.4,1952.6,1957.3,1979.4,2010,2055,2071.8,2130,2155,2184.3,2184.9,2249.7,2284.9,2330.1,2393.1,2461.8,2471.1,2484.7,2495.7,2513.3,2510.1,2528.6,2550.7,2609.7,2657.8,2675.2,2687.8,2734.8,2738.8,2753,2734.4,2732.9,2740,2769.5,2729.5,2821.1,2840.4,2865.5,2873.1,2952.1,3028.5,3062.8,3119.5,3232.5,3267.4,3262.7,3263.2,3249,3252.1,3209.3,3185.3,3115.7,3139.2,3200,3253.6,3354.5,3389.3,3407.3,3437,3485.5,3563.6,3635.5,3626.1,3648.9,3818.7,3852.1,3922.1,3923.1,3925.2,3952.3,3962.5,3978.4,3876,3873,3956.5,4035.2,3989.7,4028.1,3968.6,3889.4,3908.5,3886.3,3885.4,3946.8,4081.2,4187.6,4286,4369.2,4446.1,4484.1,4516.9,4551.3,4585.2,4649.4,4696.1,4743.2,4766.1,4810.4,4835.4,4872.1,4930.9,4970.3,5060.8,5087.5,5166,5197.1,5284.7,5325.7,5355.1,5378,5391.2,5460.5,5469.6,5447.3,5386,5347,5384.4,5402.4,5432.6,5485,5542.3,5590.6,5683.3,5680.7,5717.8,5762.6,5852.4,5897.5,5996.9,6033.2,6127.2,6154.9,6167.5,6228.6,6290.1,6341.9,6450.6,6488.3,6574.2,6649.1,6755.9,6827.8,6882.7,7004.5,7046.4,7123.1,7256.8,7317.8,7353.6,7460.4,7605.8,7645.7,7742.6,7752.4,7776.1,7755,7710.8,7693.9,7739.2,7849.1,7876.8,7961,7985.1
"12","    Nonfarm less housing","4","A498RX",986.9,1011.2,984.1,1035.7,1043,1043.3,1054.5,1053.4,1044.6,1032.7,1048.7,1034.3,1083.4,1123.2,1185.9,1196.4,1219.8,1227.1,1241.5,1242.8,1255.8,1254.5,1257.1,1316.8,1338.5,1345.7,1339.6,1310.8,1295.4,1296.3,1312.5,1341.4,1392.9,1414.5,1435.5,1445.9,1438.5,1445.8,1439,1462.6,1480.6,1472,1485.8,1457.9,1403.2,1409.3,1452.8,1497.8,1532.1,1582.6,1578.5,1575.8,1621.9,1600.3,1594.8,1556.8,1567.8,1609.7,1640.8,1677.5,1714.7,1729.8,1747,1747.9,1768.5,1797,1839,1853.3,1909,1931.3,1957.7,1954.8,2016.3,2048.5,2090.1,2149.3,2215.1,2222.3,2232.3,2240.4,2255.3,2249.9,2265,2284.1,2340.3,2386.5,2401.4,2410.9,2454.5,2455.5,2467,2446.3,2444.1,2450,2476.9,2435.1,2522.9,2539.2,2560.5,2564,2638.6,2711,2742,2794.2,2902.4,2933.5,2925.5,2922.6,2903.4,2902.8,2858.5,2833.5,2766.9,2789.6,2847.8,2898.8,2995.6,3027.1,3042.1,3068.3,3112.3,3188.7,3257.5,3244.8,3258.9,3422.2,3452.5,3516.3,3510.8,3511.1,3533.7,3537.3,3545.9,3438.5,3434.6,3511.9,3584.1,3537.2,3573.4,3511.8,3433.1,3453.4,3429.9,3429.6,3491.3,3622.1,3722.4,3813.1,3892.4,3968.5,3998.4,4020.7,4055.1,4088.3,4147.4,4189.7,4235.7,4256.9,4299.1,4322.9,4353.1,4411.6,4440.5,4526.8,4552.2,4626.5,4653.1,4731,4769.1,4794.7,4810.9,4831.1,4894.8,4900.9,4874,4808.4,4767.9,4801.7,4815,4841.7,4900.5,4954.7,4962.5,5088.7,5077.6,5120.6,5165,5254.2,5276.1,5384.5,5410.3,5498.6,5521.2,5534.1,5594.6,5646.9,5702.9,5810.1,5844,5926.8,6000.7,6107.3,6179.4,6232.5,6352.5,6384.3,6452.3,6583.9,6636.3,6666.3,6764.8,6904.6,6940.4,7035.1,7040.2,7060.7,7044.4,6994,6980.8,7032.2,7140.4,7157,7252.6,7286.4
"13","    Housing","5","B499RX",75.8,76.4,77.3,78.3,79.5,80.7,82,83.4,84.8,86.3,87.9,89.5,91.1,92.8,94.5,96.4,98.2,100.2,102.2,104.3,106.5,108.5,110.4,112.1,113.6,115.3,117.1,118.9,120.9,122.8,124.7,126.6,128.5,130.3,132.2,134,135.7,137.7,139.8,142,144.5,146.8,149,151.3,153.3,155.6,157.9,160.3,163,166,169.6,172.8,175.3,177.5,180.3,183.8,186.2,188.1,190.6,194.4,196.6,200.7,203.7,207.9,209.3,211.2,213.9,216.5,218.5,221.1,224,228,230.7,233.6,237.1,240.4,242.5,244.8,248.6,251.8,254.7,257.3,260.9,264,266.1,267.4,270.1,273.5,276.5,280,283,285.9,286.7,288,290.5,293.6,296.2,299.3,303.3,308,311.6,314.7,318,322.2,325.5,329.3,333.3,337.4,343.8,348,351.3,353.3,351.8,352.1,353.4,355.2,357.2,360.3,363.6,367.2,371.4,371.3,373.2,377.6,388.1,391.2,394.1,400.1,408.1,410.5,415.5,423.5,432.5,442.4,443.6,448.9,454.9,458.1,459.8,464.4,466,463.8,466.1,465.4,463.2,464.4,469.2,476.5,479.4,478.8,487.8,499.5,498.8,499,503.8,508.1,508.8,510.3,512.3,513.3,520,519.8,530.8,534.7,535.9,539.7,544.3,554.1,556.9,560.8,567.8,560.3,565.8,569,573.8,578.6,580.4,584,588.8,592.4,585.5,588.3,630.4,595.1,604,597.8,597.9,598.2,622.1,612.4,623.1,628.7,633.9,633.6,634.1,643.4,639.1,640.5,644.3,647.4,648.5,648.7,648.5,650.3,652.3,662.3,670.9,673.5,682,687.7,696,701.9,706.2,708.6,713.2,716.2,711.6,717.1,713.5,708.3,710.9,721,711.7,703.5
"14","  Farm","6","B359RX",31.4,28.6,37.7,29.5,32.3,39,36.9,37.5,33.5,35.8,35.4,35.5,38.5,38.2,34.9,36,32.3,34.3,37.2,36.4,36.5,36.4,38.2,36.2,38.5,40.5,37.6,37.7,40,39.8,39.5,40.4,39.6,41.9,41.9,39.8,38.7,40.9,40.9,42.8,37.6,38.2,39,42.3,42,42.3,39.9,37.9,40.6,39.8,39.1,41.4,38.5,40.3,43.7,46.4,44.5,42.3,41.9,41.4,40.1,42.2,42.1,42.3,44.3,43.1,42.2,42,39.4,39.9,42.3,44.2,43.4,42.1,45,44.6,43.6,42.1,40.1,43.8,46.6,45.7,44.7,43.8,43.5,43.3,43.7,44.2,44.5,44.7,45.1,45.4,45.6,46.1,46.5,47.2,47.7,48.4,48.7,48.6,44.9,48.6,48.3,51.6,46.5,48.1,44.2,53.4,46.3,48.4,46.7,46.6,52.3,55.7,57.8,56.1,53.1,53.2,52.7,54.1,54.2,53.3,54.8,61.5,53.5,54,57.2,51.9,56.4,57.1,59.6,60.3,57.9,58.4,54.3,55.3,62.7,69.2,79.6,78.8,76.7,75.5,74.2,76.6,68.7,52.4,38.3,42.5,61.7,67.2,69.2,71.6,76,78.4,87,81.2,80.4,75.2,78.5,75.9,77.7,76.3,79.1,82.1,85,74,67.6,54.5,80.1,78.6,78.4,80.8,83.4,82.4,84,86.8,86.7,85,83.2,87.5,93,97.7,98.2,93.8,89.4,91.1,72.9,89.8,103.6,101.4,100.9,95.1,88.9,86.7,80.8,85.3,89.6,92.7,92.7,93.7,99.3,101.6,108,105.4,100,98.1,100.8,102.1,104,110.1,108,110.3,118.9,120.3,124.6,118.2,114.9,109.5,108.3,124.4,119.8,110.8,112.9,115.5
"15","Households and institutions","7","A193RX",72.2,72.4,73.9,74.7,79.1,78.9,78.9,77.9,79.4,80.6,80.4,83,84.9,85.8,85,87.5,88,87.7,86.1,87.9,89.8,86.2,85.1,86.4,90.2,90,89,87.6,87.6,88.4,89.9,94.2,93.6,98.4,101,104.2,102.8,103.7,105.3,106.8,107.3,107.1,107.1,107.4,111.7,113.4,112.3,111.9,113.3,115.5,116.1,117.7,120.9,124.1,123.7,125.3,125.5,123.1,123.1,126.1,126.9,127.6,130.5,130.9,130.9,131.2,132.8,133.6,134.4,137.4,135.6,136,138.9,139.9,141.7,142.8,144.9,143.6,147.1,148.2,149.3,150.5,151.5,151.9,150.6,154.9,157.5,158.2,158.4,159.7,161.3,161.9,160.2,158.7,157.2,159,161.6,161,162.4,164.1,164.9,166.5,168.4,167.9,168.7,170.7,171.9,172.3,172.2,172.2,172.7,171.6,173.7,177.3,180.2,179.6,180.4,178.9,180.1,180,183.6,183.7,185.3,187.6,187.5,188.3,188.6,189.1,190.1,191.5,194.1,194.1,195.8,196.6,199.4,200.5,201.9,201.7,202.3,204.3,205.9,207.9,209.6,210.3,211.2,212.4,213.7,214.8,215.8,217.5,218.4,221,221.6,223.4,225.7,228.9,231.8,235,237,240.2,242.1,244.8,250.3,254,259.1,263.1,267.6,272,275.4,278.7,281.1,283.9,286.4,289.8,293.7,296.2,297.7,299.7,301.9,304.1,306.3,306.9,309.1,312.1,315,318.1,321.6,324.2,326.1,329,332.7,335.8,338.3,340.8,342.7,344.3,345.1,347.2,349.7,352.3,355.2,358.8,362.6,365.6,368.7,370.7,373.2,375.1,376.2,377.9,379.7,382.8,386.1,387.6,389.5,392.2,394.9,398.6,400.4,401,403.4,406.4,409,411.8
"16","  Private households","8","B701RX",20.2,20.9,21.2,21.1,20.9,20.6,20.3,20.1,20.1,20.2,20.5,20.9,21.8,22.2,22.5,22.6,22.4,22.1,21.8,21.3,20.6,20.2,19.9,19.8,20.1,19.9,19.7,19.3,18.3,18.3,18.6,19.3,20.9,21.8,22.5,23,23.1,23.2,23.1,23,22.7,22.6,22.6,22.7,23.2,23.2,23.2,23,22.5,22.9,22.5,22.5,22.1,22.8,23,23.1,23.4,21.6,21.2,22.3,22.4,21.4,21.9,22,22.1,21.6,21.9,21,21.2,22.4,21.6,20.5,20.1,20.5,21,21.2,20.3,18.9,20.1,20.3,20.4,20.3,19.8,19.6,18.9,19.6,19.3,18.3,18.2,18.1,17.9,17.8,17.4,16.8,16.5,16.7,16.7,15.8,15.9,16,16,15.9,15.6,15.1,15.1,15,15.2,15.4,15.2,13.6,12.2,11.6,11.8,12.6,12.5,12.2,13.5,12.6,12.4,12.2,12.3,12.7,13.1,13.5,13.6,13.3,13.2,12.9,12.4,11.5,11.9,11.4,10.8,10.5,10.2,10.2,10.2,9.7,9.5,9.3,9.4,9.4,9.3,9.1,9.1,9,9.1,9.5,9.9,10.3,10.6,10.6,10.4,10.1,10,10,10.2,10.4,10.5,10.6,10.4,10.2,10.1,10.1,10.4,10.5,10.7,10.9,11,11.1,11.2,11.2,11.4,11.6,11.4,11.2,10.6,10.4,10.4,10.6,11,11.2,11.4,11.5,11.6,11.7,11.7,11.7,11.7,11.7,11.9,12,12.1,12.2,12.3,12.3,12.2,12.1,11.9,11.8,11.6,11.5,11.7,12.1,13,13.4,13.5,13.2,12.3,11.7,11.4,11.4,12.2,12.1,12,11.7,11.1,10.6,9.8,9,8.7,8.8,8.9,9
"17","  Nonprofit institutions","9","B702RX",43.6,42.5,43.8,44.7,50,50.3,50.8,50,51.7,52.8,52.1,54.2,54.9,55.1,53.8,56.3,57.2,57.2,56.1,58.8,61.9,58.8,58.1,59.8,63.3,63.3,62.6,61.7,63.4,64.3,65.4,68.8,65.6,69.2,70.9,73.5,72,72.7,74.5,76.2,77.4,77.3,77.3,77.4,81,82.7,81.8,81.9,83.9,85.4,86.8,88.4,92.4,94.7,93.9,95.5,95.2,95.5,96.1,97.7,98.2,100.5,102.6,102.9,102.8,103.8,105.1,107.2,107.7,109.1,108.4,110.4,113.9,114.3,115.5,116.3,119.8,120.5,122.4,123.2,124.3,125.5,127.3,128,127.6,130.9,134.2,136.2,136.4,137.9,140,140.6,139.4,138.7,137.6,139.1,141.8,142.5,143.6,145.2,146.1,147.9,150.1,150.2,151.1,153.3,154.1,154.2,154.6,156.5,158.8,158.6,160.3,162.9,166,165.8,164.8,164.5,166,166.2,169.7,169.3,170.4,172.2,171.9,173.2,173.5,174.5,176.2,178.9,181,181.7,184.2,185.4,188.6,189.7,191.2,191.7,192.5,194.8,196.3,198.3,200.3,201.2,202.1,203.5,204.5,205.3,205.8,206.9,207.6,210.1,211.1,213.2,215.5,218.8,221.5,224.5,226.4,229.5,231.7,234.5,240.2,243.8,248.7,252.6,256.8,261.1,264.3,267.6,269.9,272.7,275,278.2,282.3,285,287.1,289.3,291.5,293.5,295.2,295.6,297.8,300.6,303.3,306.4,309.9,312.5,314.4,317.3,320.9,323.8,326.2,328.5,330.3,332,332.8,335,337.8,340.5,343.6,347.3,350.9,353.4,355.7,357.3,359.7,361.8,363.9,366.2,368.3,371.4,373.9,375.5,377.6,380.6,383.9,388.1,390.6,392,394.8,397.7,400.3,402.9
"18","General government \3\","10","A765RX",355.8,340.8,335.9,328.7,327.5,322.2,324.4,326.6,325.7,325.1,323.6,318.1,313.8,318.7,325,350.4,359.9,386.2,405.1,409.1,416.9,422.9,426.1,425.6,428.8,430.9,432.5,430.7,430,430.1,431.5,432.7,432.1,430.1,432.9,435,435.8,437.9,442.7,445.5,446.9,449.3,452.6,449.5,448.2,451.3,456.9,459.4,457,458.7,461.2,464.3,469,476.7,478.2,481.2,486,488.8,494.8,503.5,507.7,511.6,514.9,516.2,520.2,525.6,531.5,534,538.3,543.7,548.2,552.6,553.5,559.6,567.2,575.8,583.2,592.7,604.9,616.6,623.9,627.3,635.2,639.4,648.4,655.9,660.9,660.9,666.4,671.7,676.9,679.4,675.8,675.9,676.7,677.4,678.4,677.2,677.9,678.6,675.7,675,677.7,681.8,679.8,679.2,679.6,683.4,689.8,692.4,694.4,698.2,702.8,703.8,705.2,705.7,707.3,708.1,710.7,713.4,713.7,714.3,717.7,719.8,724.5,726.2,732,736.4,737.2,735.4,735.2,740.9,744.8,749.1,749,746.9,747.6,748.9,753.5,755.6,757.1,759.1,758.8,759.6,762.2,763.2,764.4,763.2,765.4,769.7,775.5,779,784.6,790.3,799.4,802.9,806.7,810.8,815.2,822.1,825,828.5,831.8,840.5,847.5,849.6,853.9,860.4,864.8,869.8,876.4,881.1,888.9,893.3,898.3,899.9,905.6,904.6,902.3,901.8,903.9,904.6,906.2,904.9,906.8,907.3,906.1,904.7,905.3,905.8,906.4,905,907.6,908.8,908.5,901.8,899.8,912.5,911.2,911.1,913,916.2,919.6,920.1,922.9,926.9,931.3,934,935.7,936.3,940.3,943.6,952,960.9,959.5,962,968,974.3,982.9,988.9,994.3,998.1,1003.2,1008.2
"19","  Federal","11","A766RX",232,216.9,210.9,203,201.8,196.5,197.7,198.1,194.9,191.9,188,180.9,176.2,180.4,186.2,210.6,219.1,243.9,261.6,264.3,271.2,276.2,278.1,276,277.6,278,277.4,273.7,271.3,269.8,269.5,268.5,266.4,262.6,262.7,261.9,261,259.3,261,261.2,261,261.2,261.5,255.1,251.7,251.1,253.4,253.3,249.9,250.1,250.4,251.2,252.7,257.3,255.4,255.6,256.3,257.8,261.1,268,271.4,272.3,272.4,270.6,271.7,274.1,275.7,274.9,274.8,276.3,277.7,277.5,275.7,276.3,278.8,282.9,287.2,292.5,300.4,307.1,314.5,315.2,318.1,317.8,320.1,323.6,324.3,320.5,322,323.7,325.1,323.3,315.6,311.6,308.2,304.9,302.2,297.9,294.5,290.8,286.2,282,281.4,281.8,277.2,273.4,270.2,270.1,272.2,271.8,270.6,271,270.4,269.5,269.1,269,269.4,269.3,269.3,269.4,268.8,268.9,269.7,269.5,271.4,272.3,273.2,272.4,271.9,271.6,271.8,271.5,273.1,276.8,277.1,275.8,278,279.1,280.6,281.2,281.8,283,284.7,286.1,288.3,289.7,291.4,291.5,293.6,295.7,297.7,298.9,301.3,303.9,306.5,306.9,308.5,309.1,310.5,311.7,314.6,316.1,319.5,321.8,321.8,320.4,321.5,323.6,323.7,324.6,326.4,327.5,330.4,330.9,332.2,332,337.2,334.7,331.6,329.6,328.7,327,325.5,323.7,323.4,321.2,319,315.1,314.3,311.2,309,304.9,303.1,302.2,300.5,290.5,291.2,294.2,292.9,289.8,289.4,288.6,288.2,285.4,285.8,285.9,286.5,286.7,287,285.1,284.8,283.8,287.6,293.7,288.8,287.7,290.6,291.1,291.6,292,294.3,296,298.5,301.3
"20","  State and local","12","A767RX",121.9,123.8,125.5,126.8,126.7,126.8,127.9,129.7,132.3,135.1,137.7,139.7,140.2,140.6,141.1,141.7,142.7,143.9,145.3,146.6,147.6,148.6,150,151.6,153.2,154.9,157,158.8,160.4,161.9,163.6,165.7,167.1,168.8,171.6,174.4,176.1,179.8,182.9,185.5,187.1,189.3,192.3,195.5,197.6,201.3,204.6,207.3,208.3,209.8,212,214.4,217.5,220.7,224.1,226.8,230.9,232.2,235,236.9,237.8,240.7,243.8,246.8,249.8,252.7,257,260.2,264.6,268.5,271.5,276.2,278.8,284.3,289.5,293.9,297,301.3,305.6,310.7,310.8,313.6,318.5,322.8,329.4,333.4,337.5,341.1,345.1,348.7,352.3,356.6,360.3,364.2,368.3,372.1,375.7,378.8,382.9,387.3,389.1,392.7,396.2,399.9,402.7,406.1,409.8,413.8,418.1,421.2,424.5,427.9,433.3,435.3,437,437.7,438.8,439.8,442.4,445.1,446,446.5,449.2,451.5,454.3,455.2,460,465.4,466.8,465.3,464.8,470.9,473.2,473.8,473.3,472.5,470.9,471.1,474.2,475.8,476.7,477.4,475.3,474.7,475.1,474.5,474,472.8,472.8,475,478.7,481.1,484.2,487.4,493.9,497,499.3,502.8,505.8,511.4,511.5,513.5,513.4,519.8,526.8,530.3,533.5,537.9,542.1,546.2,551,554.6,559.6,563.3,567.1,568.8,569.5,570.9,571.6,573,576,578.3,581.4,581.9,584,586.7,587.6,590,591.4,594.9,597.6,600.3,604.7,606.7,608.1,611.2,608.6,618.3,618.4,621.4,623.7,627.6,631.4,634.6,637,641,644.7,647.2,648.6,651.1,655.3,659.7,664.3,667.1,670.6,674.2,677.2,683,691,696.5,699.7,701.7,704.4,706.6
"21","Residual","13","A961RX",-30.1,-30.9,-7.4,-22.7,-16.3,4.8,-1.7,-0.8,-12.5,-9.7,-7.7,-8.5,4.4,6.3,4.1,-6.1,-18.2,-25,-25.9,-31.2,-35.4,-37,-33.8,-32.1,-28.8,-25.4,-31.5,-33.1,-31.6,-32.2,-31.8,-29.8,-22.9,-18.1,-18.4,-22.4,-24.1,-21.7,-25.9,-22.9,-28.2,-29.7,-28.6,-26.2,-34.6,-35.8,-36.1,-35,-27.3,-24.2,-27.5,-27.4,-29.4,-34.4,-31.6,-35.1,-37.8,-36.4,-36.3,-37.8,-37.2,-36.1,-36.7,-37.1,-34.4,-35.1,-35.2,-35.7,-34.7,-34.8,-31.2,-32.1,-28.8,-29.7,-26.3,-25,-24.4,-29.2,-35.9,-35.5,-34.8,-37.8,-40.8,-41.8,-39.7,-39.9,-41.3,-40.6,-38.9,-41,-42.1,-44.5,-42.6,-41.5,-39.3,-42.2,-37.1,-35.7,-34.9,-36.1,-35.6,-29,-29.3,-24.5,-28.2,-25.4,-35.3,-15.8,-34.3,-31.9,-38.1,-40.5,-36.8,-32.5,-28.2,-27.6,-26.3,-25.3,-26.6,-25.1,-24.2,-20.9,-17.3,-14.5,-22.8,-15.7,-12,-17.5,-14.3,-14.6,-12.1,-14,-18.7,-28,-31.4,-27.7,-19.5,-18.8,-12.8,-19,-25.7,-25.3,-27.7,-27.1,-25.4,-25.8,-28.5,-24.4,-13.3,-8.6,-8.7,-9.4,-7.2,-6.5,-5.5,-5.7,-5.5,-5.9,-5.2,-5.8,-5.7,-4.8,-5.5,-4.7,-4.9,-4.2,-5.2,-7.9,-3.4,-4.2,-5,-4.7,-4.1,-4.6,-5.4,-6.6,-8,-7.5,-7.2,-7.4,-6.6,-6,-7.5,-4.7,-4.6,-4.3,-2,-2.8,-4.2,-3.2,-3.5,-2.3,-1.4,-0.7,0.7,0.3,0,0,-0.1,-0.1,-0.4,-0.7,-1.5,-0.8,0,0.6,0.1,-0.5,-0.9,-2.7,-1.7,-3,-6.1,-6.7,-8.3,-5.5,-3.8,-0.3,0.8,-5.6,-5.4,-0.6,-3.7,-5.7
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23"," 1. Equals gross domestic product less gross product of households and institutions and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24"," 2. Equals gross domestic business product less gross farm product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25"," 3. Equals compensation of general government employees plus general government consumption of fixed capital as shown in table ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
