"","Table 7#9# Chain-Type Quantity and Price Indexes for Exports and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"14","Income receipts","6","B645RA",4.63,4.38,3.55,2.76,2.34,2.15,2.48,2.72,3.33,3.01,3.25,2.85,3.24,2.98,2.92,3.13,2.96,3.39,4.42,5.26,5.09,5.63,6.78,7.01,6.83,7.23,8.1,8.82,9.3,8.31,8.89,10,10.76,11.78,12.75,13.92,14.8,14.65,15.25,16.89,18.67,19.25,19.84,22.09,30.1,35.28,30.04,33.01,35.66,41.39,56.61,60.34,64.17,64.64,62.3,72.19,64.34,61.53,65.81,78.42,87.83,89.27,76.71,67.22,67.03,78.14,96.29,100,112.71,113.74,123.97,146.19,118.9,NA
"15","Imports of goods and services","7","B021RA",4.81,4.18,3.65,3.03,3.15,3.22,4.22,4.17,4.7,3.65,3.83,3.93,4.83,4.38,5.53,5.78,6.15,5.1,4.84,5.65,5.45,6.44,6.69,7.28,7.97,7.57,8.49,9.17,9.56,10.01,11.07,11.21,11.14,12.4,12.74,13.41,14.84,17.05,18.29,21.02,22.21,23.16,24.4,27.13,28.39,27.75,24.66,29.49,32.7,35.54,36.13,33.73,34.61,34.18,38.49,47.86,50.95,55.23,58.58,60.81,63.21,65.64,65.31,69.64,75.98,85.08,92.05,100,113.67,127.03,140.88,159.48,154.91,160.64
"16","  Goods \1\","8","B255RA",4.65,3.92,3.42,2.77,3.11,3.18,4.37,4.21,4.7,3.58,3.9,4.09,4.83,3.35,3.88,4.02,4.01,4.63,4.45,5.09,4.89,5.98,5.86,5.98,6.32,5.84,6.52,7.1,7.31,7.51,8.82,8.67,8.66,9.94,10.34,11.03,12.59,14.57,15.34,18.51,19.52,20.29,21.99,24.98,26.74,26,22.72,27.86,31.25,34.05,34.64,32.06,32.72,31.9,36.24,45,47.8,52.7,55.15,57.38,59.8,61.6,61.56,67.26,74.03,83.86,91.43,100,114.2,127.59,143.19,162.51,157.18,163.3
"17","    Durable","9","B333RA",1.32,1.08,0.81,0.53,0.71,0.81,1.21,1.21,1.45,1.03,1.22,1.56,1.94,1.21,1.17,1.22,1.25,1.4,1.41,1.69,1.6,2.08,2.13,2.43,2.55,2.22,2.78,3.19,3.25,3.23,4.27,4.08,3.93,4.63,4.87,5.41,6.69,8.33,8.92,11.36,12.14,12.48,13.74,15.8,16.82,16.89,13.8,16.9,19.12,22.1,22.61,22.79,24.68,24.96,30.09,40.03,44.03,48.11,50.24,52.34,54.61,56.1,56.42,62.24,69.54,81.04,90.33,100,116.22,131.49,150.32,173.28,162.31,169.02
"18","    Nondurable","10","B340RA",12.13,10.64,10.08,8.4,8.81,8.73,11.79,11.13,11.93,9.46,9.93,9.4,10.38,7.83,10.3,10.92,10.49,12.1,11.43,12.93,12.63,15.08,14.56,14.18,15.13,14.72,15.68,16.81,17.61,18.63,20.06,20.28,20.96,23.59,24.19,25.1,26.88,28.8,29.6,33.52,34.78,36.66,38.94,43.49,46.91,43.98,40.8,50.06,55.75,57.56,58.23,50.13,48.63,45.8,48.77,55.54,56.2,62.83,65.99,68.52,71.24,73.7,72.9,78.34,83.92,89.96,93.72,100,110.33,120.1,129.49,142.38,146.27,151.04
"19","  Services \1\","11","B656RA",5.8,5.64,4.9,4.34,3.65,3.71,3.99,4.42,5.1,4.26,3.97,3.74,5.31,8.66,12.24,12.95,14.83,7.09,6.52,8.04,7.85,8.35,10.62,13.85,16.36,16.54,18.67,19.87,21.24,23.06,22.61,24.38,23.96,25.08,25.06,25.71,26.47,29.83,33.47,34.08,36.22,38.11,37.03,38.54,37.24,37.2,35.59,38.04,39.94,42.78,43.37,42.4,44.85,47.24,51.06,63.86,68.71,68.94,77.64,79.75,81.98,88.23,86.18,82.69,86.6,91.65,95.4,100,110.94,124.16,129.42,144.47,143.71,146.74
"20","Income payments","12","B655RA",1.69,1.58,1.32,0.96,0.85,0.9,0.99,1.64,1.71,1.24,1.42,1.35,1.23,1.08,1.25,1.42,1.72,1.27,1.37,1.55,1.78,1.96,2.14,2.11,2.28,2.31,2.53,2.65,2.73,2.78,3.32,3.86,3.88,3.93,4.38,4.87,5.33,5.95,6.35,7.36,9.72,10.45,9.82,11.32,15.29,18.26,17.2,17.45,17.95,24.32,33.09,37.42,44.72,45.36,43.57,56.12,54.33,57.51,63.29,74.63,84.4,82.16,70.82,61.14,61.17,77,95.05,100,117.79,122.98,122.89,146.65,118.35,NA
"21","Chain-type price indexes",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Exports of goods and services","13","B020RG",16.6,15.02,11.82,10.25,10.26,11.89,12.18,12.55,13.3,12.68,12.46,13.49,14.75,17.86,19.56,22.02,21.88,21.17,24.61,25.91,24.34,23.7,26.78,26.98,26.9,26.56,26.81,27.71,28.76,28.5,28.53,28.88,29.29,29.27,29.22,29.42,30.38,31.32,32.56,33.23,34.29,35.77,36.98,38.17,43.4,53.68,59.24,61.11,63.58,67.48,75.63,83.32,89.41,89.83,90.24,91.13,88.7,87.33,89.62,94.39,96.15,96.79,98.1,97.82,97.82,98.94,101.29,100,98.47,96.26,95.47,96.83,96.1,95.87
"23","  Goods \1\","14","B253RG",19.05,17.04,13.08,11.28,11.8,13.8,14.14,14.48,15.35,14.2,13.89,14.89,15.96,19.43,21.43,24.54,24.44,23.19,27.6,29.38,27.22,26.31,30.16,30.03,29.73,29.3,29.58,30.7,31.7,31.36,31.66,31.87,32.48,32.23,32.12,32.34,33.46,34.61,36.06,36.62,37.75,39.46,40.51,41.59,48.27,61.08,67.89,69.63,72.16,76.32,86.4,94.71,101.38,100.21,99.48,100.34,95.62,92.49,94.89,101,102.33,101.36,101.26,99.75,99.21,100.27,102.65,100,97.29,94.25,92.98,94.05,93.42,92.98
"24","    Durable","15","B332RG",25.38,22.77,17.5,14.72,15.4,17.88,18.06,18.21,19.14,17.99,17.61,18.61,19.74,23.94,26.43,30.27,31.35,30.84,34.3,37.58,34.94,33.65,38.71,37.97,36.99,36.72,37.41,39.16,40.48,39.95,40.52,41.21,41.91,41.38,41.47,41.75,43,44.45,40.54,42.17,44.01,46.06,47.13,48.08,51.42,60.81,70.18,74.88,78.3,83.13,92.52,102.38,111.58,114.21,112.6,111.74,107.19,105.24,105.32,108.78,109.57,108.17,108.47,107.15,106.43,105.72,104.29,100,97.03,94.86,93.65,93.72,93.56,93.19
"25","    Nondurable","16","B339RG",13.35,11.99,9.27,7.98,8.29,9.48,9.56,9.61,10.11,9.51,9.3,9.84,10.54,12.88,14.26,16.33,16.56,16.16,18.11,19.81,18.43,17.75,20.39,20.04,19.56,19.41,19.77,20.68,21.36,21.1,21.39,21.43,21.83,21.78,21.71,21.81,22.45,23.09,28.85,28.32,28.66,29.88,30.84,31.97,41.55,57.33,60.62,58.8,60.18,63.32,73.43,79.4,82.83,77.95,78.13,80.65,76.13,71.81,76.9,86.27,88.34,88.09,87.34,85.58,85.35,89.58,99.26,100,97.9,92.75,91.31,95,93.17,92.54
"26","  Services \1\","17","B646RG",9.79,9.77,9.05,8.15,6.23,6.75,6.89,7.39,7.86,9.01,9.07,10.43,12.71,15.09,16.17,17.32,17.03,17.89,18.24,17.98,18.3,18.47,19.4,20.71,21.36,21.23,21.42,21.73,23.09,23.05,22.3,23.11,22.98,23.59,23.71,23.87,24.46,24.93,25.68,26.69,27.62,28.64,30.31,31.88,33.47,37.57,40.22,42.44,44.77,48.12,51.91,58.4,63.32,67.31,70.12,71.06,73.43,75.66,77.7,79.67,82.37,86.47,90.85,93.26,94.47,95.72,97.99,100,101.42,101.37,101.82,103.94,102.94,103.25
"27","Income receipts","18","B645RG",10.03,9.68,8.8,7.8,7.63,8.31,8.57,8.53,8.92,8.65,8.55,8.73,9.2,9.67,9.76,9.86,10.39,13.14,14.72,15.72,15.54,15.82,16.57,16.73,17.07,17.24,17.8,18.35,18.93,19.29,19.9,20.24,20.43,20.92,21.21,21.58,22.17,22.95,23.65,24.79,26.04,27.43,28.98,30.28,32.26,34.92,38.17,40.53,43.24,46.65,50.68,55.21,60.7,64.49,66.98,69.34,71.6,73.5,76.03,78.83,82.15,85.9,89.02,91.52,93.82,96.04,98.22,100,101.64,102.46,104.09,106.8,108.55,NA
"28","Imports of goods and services","19","B021RG",12,10.23,8.27,6.63,6.35,7.21,7.33,7.85,8.76,8.09,8.49,9.06,9.57,10.96,11.8,12.39,12.74,14.21,17.02,18.5,17.63,18.73,22.63,21.81,20.88,21.16,21.05,21.42,21.66,20.76,20.95,21.15,21.15,20.9,21.3,21.75,22.06,22.57,22.66,23,23.6,25,26.53,28.4,33.34,47.7,51.67,53.22,57.92,62.01,72.62,90.45,95.32,92.1,88.65,87.89,85.02,85.01,90.02,94.46,96.87,99.43,98.93,99.09,98.18,99.12,101.83,100,96.44,91.27,91.34,95.49,92.7,92.98
"29","  Goods \1\","20","B255RG",11.88,9.8,7.67,6.01,6.01,6.87,6.98,7.49,8.37,7.5,7.64,8.15,8.74,10.13,10.98,11.73,12.02,13.54,16.62,18.36,17.38,18.8,23.6,22.43,21.47,21.93,21.87,22.3,22.5,21.33,21.48,21.71,21.5,20.99,21.18,21.76,21.86,22.36,22.39,22.69,23.33,24.91,26.19,28.2,33.23,49.73,53.9,55.34,60.42,64.45,76,95.9,101.25,97.16,93.1,92.46,88.84,86.85,93.04,97.47,100.23,102.02,100.62,100.21,99.06,99.83,102.51,100,95.88,90.17,90.31,94.63,91.87,90.32
"30","    Durable","21","B333RG",17.72,14.27,10.86,8.6,8.8,10.06,10.11,10.94,12.38,10.99,11.21,12.01,13.18,15.07,15.74,16.39,17.25,19.66,24.09,26.53,24.9,26.9,33.65,31.68,30.28,30.59,30.16,30.45,30.5,28.79,29.12,29.29,28.87,28.16,28.49,29.14,29.21,29.89,30.58,31.07,32.06,34.23,36.32,39.51,45.49,55.88,62.02,63.02,67.85,75.53,83.3,92.11,95.77,94,91.82,90.14,86.96,93.07,98.6,105.61,106.43,105.12,104.86,104.38,104.05,104.97,105.95,100,94.75,90.84,89.14,88.8,87.16,85.57
"31","    Nondurable","22","B340RG",9.63,7.79,5.97,4.76,4.85,5.54,5.59,6.02,6.78,6.04,6.16,6.58,7.2,8.24,8.7,9.14,9.5,10.82,13.22,14.54,13.69,14.69,18.37,17.25,16.49,16.62,16.37,16.51,16.53,15.58,15.73,15.87,15.63,15.29,15.51,15.92,16.01,16.48,16.23,16.4,16.79,17.93,18.63,19.77,24.06,44.81,47.55,49.25,54.42,55.82,70.14,99.09,105.99,99.56,93.45,94.18,90.01,75.93,82.96,83.49,89.08,95.44,92.38,92.08,89.64,90.16,95.93,100,98.13,88.69,92.85,107.89,102.59,101.23
"32","  Services \1\","23","B656RG",12.18,11.66,10.35,8.77,7.43,8.29,8.43,8.89,9.87,10.19,11.82,12.57,12.57,14.05,14.98,15.42,15.92,17.39,19.43,20.11,19.56,19.6,20.75,20.8,19.9,19.85,19.63,19.9,20.23,19.81,20.05,20.2,20.58,20.85,21.71,21.89,22.66,23.23,23.45,23.91,24.4,25.27,27.55,28.97,33.51,39.85,43.08,45.03,48.23,52.61,59.42,68.95,71.94,71.99,70.81,69.6,69.51,77.02,77.48,81.89,82.94,88.31,91.15,93.58,93.78,95.47,98.31,100,99.41,97.14,96.8,99.97,97.03,108.44
"33","Income payments","24","B655RG",9.87,9.37,8.51,7.58,7.23,7.77,7.94,7.93,8.27,8.02,7.94,8.09,8.53,8.98,9.24,9.51,10.07,12.4,13.83,14.8,14.76,15.09,15.88,16.16,16.59,16.71,17.31,17.99,18.59,18.91,19.65,20.08,20.2,20.66,20.95,21.37,21.97,22.8,23.46,24.65,26.15,27.57,28.84,30.05,31.98,35.02,38.14,39.64,42.11,45.74,49.88,54.67,59.9,63.89,66.19,68.6,71.02,73.05,75.82,78.56,81.67,85.26,88.77,91.78,93.46,95.6,98.01,100,102.34,103.51,105.21,107.92,109.57,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35"," 1. Exports and imports of certain goods, primarily military equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36"," purchased and sold by the Federal Government, are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37"," services.  Beginning with 1986, repairs and alterations of equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38"," are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
