"","Table 3#11# Real National Defense Consumption Expenditures and G","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"37","30","    Aircraft","B874RX",24.2,19.9,18,16.6,11.9,10.4,11.3,11.3,9.3,9.2,6.2,6.2,7.1,8.3,9.6,11.2
"38","31","    Missiles","B875RX",7.1,6.5,7.4,9.8,9.8,9.8,7.1,5.3,4.6,4.1,3,3.4,2.9,2.6,3.5,3.4
"39","32","    Ships","B876RX",11.7,11.1,12.3,13,11.7,11.3,9.5,8.6,8,6.8,6,6.4,6.8,6.5,7.1,8.5
"40","33","    Vehicles","B877RX",5.2,4.5,3.7,3.7,3.9,3.1,2,1.1,1.1,1.2,1.4,1.5,1.7,1.9,1.9,2.8
"41","34","    Electronics and software","B878RX",7.7,8.1,8.5,8.8,8.7,9.2,9.8,9.9,10.1,11.6,13,14.6,15.8,16.6,15.3,17.1
"42","35","    Other equipment","B879RX",13.1,13.2,14.5,14.4,16.9,15.8,13.1,13.1,13.8,15.2,14,13.8,14.7,14.6,15.5,16.5
"43","36","Residual","A975RX",-3.7,-1.7,-1.2,-0.1,0.7,1,0.3,0.1,-0.3,-0.1,0,-0.2,-0.7,-1,-0.7,-1.3
"44",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","  Compensation of general government employees \3\","B237RX",176.9,174.7,174.7,173.6,173,162.8,155.6,147.6,139.5,133.6,128.8,124.7,121.4,120.9,121.7,124.1
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","  Note.  Chained (1996) dollar series are calculated as the product of the chain-type quantity index and the 1996 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","The residual line is the difference between the first line and the sum of the most detailed lines, excluding the line in the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","addendum.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","  Chain-type indexes for the series in this table are shown in table 7.12.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","  See footnotes to table 3.10.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
