"","Table 1#7# Gross Domestic Product by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232"
"11","3","  Nonfarm \2\","A358RC",156.5,163.3,170.4,173.7,181.9,188.9,192.5,201.5,207,210.6,216.7,219.1,216.5,213.3,215.9,213,223.1,232.2,247.2,254.6,266.6,272,277,279.8,283.4,282.6,286.7,302.4,308.7,312.1,312,306.5,305.2,306.2,310,318.2,330.8,337.9,345.9,351.8,353.6,358,361,369.2,378.2,378.7,384.2,379,368.6,371,383.7,396.8,406.9,420.3,420.7,422.9,435.6,432.1,432.8,425.6,429.4,441.1,449.7,459.8,471.8,478.1,484,485.4,492.6,500.5,511.8,519,534.6,542.6,552.3,554.5,573.4,583,596.9,615,634.6,643.5,652.2,662.4,670.6,673.5,684.2,696.2,719.4,740.4,750.1,763.8,785.5,795.6,808.3,811.4,819.6,833.7,847.1,847.1,884.7,901.7,918.7,925.4,960.2,989.4,1007.2,1032.5,1077,1100.7,1112.7,1137.9,1156.1,1197.4,1216.4,1242.5,1254,1281.8,1327.2,1369.3,1427.3,1457.6,1487.5,1528.1,1573.6,1636.8,1693.4,1718.6,1750.7,1866.9,1919.6,1993,2027.8,2081.8,2141,2191.3,2257.9,2261.6,2296.3,2395.1,2516.4,2539.4,2620.7,2633,2613.8,2659.5,2678.5,2706.7,2763.3,2875.5,2972,3065,3144.7,3226.8,3281.4,3328.4,3388.7,3443.4,3517,3569.7,3620.8,3649.8,3696.7,3744.5,3798.6,3875,3937.3,4032.9,4078.8,4182.7,4250.3,4357.8,4432.8,4506.7,4558.3,4600.8,4704.7,4766.1,4793.8,4785.2,4805.3,4867.8,4917.7,4966.1,5046,5120,5179.7,5300.9,5339.4,5399.3,5462.2,5576.8,5641.7,5765.1,5845,5960.1,6028.7,6067.5,6147.6,6223.8,6301.6,6435.5,6498.2,6619.8,6744.5,6890,6988.5,7065.9,7206.1,7261.1,7365.1,7517.2,7608.9,7674.6,7813.7,7992.9,8090.8,8232.7,8274.6,8336.4,8382.3,8379.9,8402.7,8443.7,8567.6,8631.5,8731.3,8790.3,8863.7
"12","4","    Nonfarm less housing","A498RC",146.7,153.3,160.2,163.4,171.4,178.1,181.4,190.1,195.2,198.4,204.2,206.2,203.2,199.6,201.8,198.6,208.3,217,231.5,238.5,250,254.8,259.3,261.6,264.6,263.3,266.9,281.9,287.7,290.5,289.7,283.7,281.8,282.2,285.6,293.2,305.5,312.1,319.6,325.1,326.3,330.2,332.7,340.3,348.7,348.6,353.5,347.6,336.6,338.5,350.5,363.1,372.5,385.1,384.7,385.9,398.1,393.9,393.8,385.8,389,400.1,408,417.3,428.6,434,439,439.4,446.1,453.4,464.1,470.5,485.5,492.9,501.8,503,521.1,529.9,542.9,560.1,578.9,587.1,594.8,604,611.2,613.3,622.9,633.8,656.1,676.3,684.9,697.3,717.8,726.5,737.7,739.4,746.7,759.6,771.6,769.9,805.8,820.9,836,840.9,873.9,901.6,917.8,941.1,983.3,1004.9,1014.7,1037.6,1053.4,1092.8,1109.7,1133.2,1142.7,1168.7,1212,1251.5,1306.9,1334.6,1361.1,1398,1438.8,1499.3,1552.6,1574,1600.2,1713.2,1762.7,1830.8,1859.9,1910.2,1963,2004.5,2064,2059.5,2088.5,2178.4,2292,2308.3,2382.6,2385.9,2360.8,2404,2416.3,2439.9,2494.5,2602.1,2693,2779.3,2853.6,2931,2975.4,3011.2,3067.3,3116.2,3180.7,3225.4,3271,3292.7,3334.5,3377.5,3423,3494.4,3545.6,3632.6,3671.9,3769.8,3829.4,3924.8,3993.6,4060,4101,4143.3,4237.9,4290,4305.9,4290.6,4306.7,4363.9,4407.2,4447.4,4527.8,4596,4616.3,4764.9,4791,4853,4913.6,5024.3,5062.3,5190.7,5257.4,5362.6,5420.9,5455.3,5530.1,5591.3,5668.3,5797.3,5852,5966.2,6085.6,6226.3,6319.8,6390.5,6522.5,6561.5,6649.9,6793.2,6871.8,6928,7054.1,7221.7,7306.8,7441.3,7472,7523.4,7567.1,7549.3,7566.4,7601.5,7712.8,7757.5,7862,7925.2,7992.1
"13","5","    Housing","B499RC",9.8,10,10.1,10.3,10.5,10.8,11.1,11.4,11.8,12.2,12.6,12.9,13.3,13.7,14,14.4,14.8,15.2,15.6,16.1,16.6,17.1,17.6,18.2,18.7,19.3,19.9,20.4,21,21.7,22.3,22.9,23.4,24,24.5,24.9,25.4,25.8,26.3,26.7,27.2,27.8,28.3,28.9,29.5,30.1,30.7,31.3,31.9,32.6,33.2,33.8,34.4,35.2,36.1,36.9,37.6,38.2,38.9,39.8,40.4,41,41.7,42.5,43.2,44.2,45,46,46.5,47.1,47.7,48.5,49,49.7,50.5,51.5,52.3,53.1,54,54.9,55.6,56.4,57.3,58.5,59.4,60.2,61.3,62.4,63.3,64.1,65.2,66.5,67.7,69.1,70.6,72,73,74.1,75.5,77.2,78.9,80.7,82.7,84.5,86.3,87.8,89.5,91.4,93.7,95.8,98,100.3,102.7,104.6,106.8,109.3,111.3,113,115.1,117.8,120.4,123.1,126.4,130.1,134.7,137.5,140.7,144.6,150.5,153.6,156.9,162.2,167.9,171.6,178,186.8,193.9,202.1,207.8,216.7,224.4,231.1,238.2,247.1,253,255.6,262.2,266.8,268.8,273.4,279,285.7,291.1,295.9,306,317.3,321.4,327.2,336.2,344.2,349.8,357.1,362.1,367,375.6,380.7,391.6,400.3,406.8,412.9,420.9,433,439.2,446.7,457.3,457.5,466.8,476,487.9,494.6,498.5,503.9,510.5,518.7,518.2,524,563.5,536,548.4,546.3,548.6,552.5,579.4,574.5,587.6,597.4,607.8,612.2,617.6,632.5,633.2,638.2,646.2,653.7,658.9,663.7,668.7,675.4,683.6,699.6,715.3,724,737.1,746.6,759.5,771.2,784,791.4,802.6,813,815.2,830.6,836.3,842.1,854.8,874.1,869.2,865.1,871.6
"14","6","  Farm","B359RC",16.7,17.5,20.3,20.9,21.4,18.2,20,21.1,21.5,24.8,24.2,22.7,19.4,18.9,18.1,18.2,18.7,18.9,20.1,21.7,22.4,22.9,22.8,23.5,21.9,22.4,23.7,20.6,20.7,20.2,19.6,19.8,20.4,19.2,19.6,18.9,19.1,19,18.5,18,17.8,18.3,18.9,18.7,17.7,18.1,18.6,18.9,20.7,20.8,20.4,20,19.6,18.6,18.3,19.1,18.4,19.5,20.2,21.1,20.6,19.2,19.7,20.7,20.2,20,20.1,20.4,20.6,20.1,20.3,20.5,19,18.6,18.9,20.4,20.6,21.7,22.2,23.1,24.5,22.1,22.3,22.6,22.5,21.7,22.5,22.2,22.3,22,23,23.5,23.2,24.7,25.7,27,26.6,25.5,26.6,26,27.1,27.6,27.8,29.7,27.6,30.7,32.9,39.3,39.4,47.4,51,61.2,52.5,43.5,45.4,48,44.9,46.4,51.3,52.6,48.3,46.2,45.5,45.7,47.5,45.8,43.3,52.3,51.5,55.8,57.1,54.5,64.5,62.8,65.5,65,57,45.1,56.4,65.9,66.9,68.6,76.1,67.9,65.8,64.9,66.3,63.5,61.4,51,39.2,45,67.1,69.2,68,69.8,70.7,67.1,64.7,65.9,61.3,59.7,66.2,64.6,63.7,64,65.1,67.6,71.3,63.7,67.4,52.8,79.1,74.5,73.5,77.8,81.5,79.9,79.6,77.4,73.6,75.2,69.5,74.5,79.3,81.8,82.7,78.1,72.7,77.9,63.6,80.1,93.5,86.1,78.7,76,71.6,69.5,70.8,80.9,86.9,94.8,97.7,89.3,88.7,87.9,88.9,87.6,81.4,80.6,79.4,80.9,79.6,76.9,72.4,71.9,73.5,80.3,77.8,79.7,79.3,79.7,81.9,81.6,88.6,68.6,77.4,81.1,89
"15","7","Households and institutions","A193RC",4.5,4.3,4.4,4.7,4.6,5.1,5.4,5.4,5.3,5.5,5.8,5.7,5.8,5.9,5.8,6.2,6.3,6.3,6.5,6.7,6.9,6.9,6.9,7,7.1,7.1,7.4,7.4,7.6,7.8,8,7.8,7.8,7.9,8.1,8.7,8.6,8.9,9.3,9.7,9.6,9.6,10,10.2,10.3,10.5,10.7,10.8,11.1,11.7,11.6,11.7,11.9,12.2,12.5,13,13.3,13.9,14.1,14.3,14.4,14.3,14.3,14.8,15.2,15.4,15.8,16.1,16.3,16.5,16.8,17,17.4,17.9,18,18.2,18.4,19,19.6,20.3,20.4,20.7,21.7,22.2,22.7,23.2,23.6,24.1,24.8,25.7,26.5,27.3,28,28.9,29.9,31.2,31.4,32,32.7,33.5,34.7,35.1,35.7,36.9,37.7,38.6,39.2,40.2,41.3,42.5,43.5,44.7,45.5,46.7,47.7,48.7,49.8,51.2,52.8,54,55.8,56.4,57.4,58.6,59.8,61.1,63,65.5,67.3,68.7,70.8,72.1,74,75.8,78.7,80.6,83,85.6,88.5,91.2,94,96.2,98.7,101.4,104,106.6,109.9,112.5,114.8,117.3,120.7,123.9,126.5,130,132.8,135.4,137,139.1,142.3,145.4,147.7,152.8,159.3,155.1,168.1,167.3,172.1,185.8,188.2,192.5,197.4,202.4,207.5,212.1,216.8,222.1,228.6,235.5,242.9,244.8,249.2,255.8,259.8,265.3,270.2,278.6,282.3,287.1,291,295,299.3,302.8,306.7,310.4,315.5,320.6,324.1,328.4,332.1,336.7,341.9,346,350.5,355.8,357.8,360.8,364.9,369.4,375,381.3,387,391.8,395.8,402.8,401.9,412.1,420.9,426.2,435.4,441.8,449.2,457.7,465.1,466.6,472.5,481.4,490.5,499.9,508.7
"16","8","  Private households","B701RC",2.1,2.1,2.1,2.2,2.2,2.3,2.5,2.5,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.6,2.6,2.5,2.6,2.5,2.7,2.6,2.7,2.5,2.3,2.6,2.9,2.6,2.5,2.7,2.9,2.7,2.5,2.5,2.5,2.8,2.9,2.9,3.1,3.4,3.3,3.2,3.3,3.3,3.2,3.3,3.4,3.4,3.3,3.6,3.6,3.5,3.4,3.5,3.6,3.7,3.7,3.8,3.9,3.9,3.9,3.6,3.6,3.8,3.9,3.7,3.8,3.9,3.9,3.8,3.9,3.7,3.8,4.1,4,3.8,3.8,3.9,4.1,4.2,4,3.8,4.1,4.2,4.2,4.2,4.1,4.2,4.2,4.5,4.5,4.3,4.4,4.4,4.4,4.5,4.5,4.4,4.4,4.6,4.7,4.4,4.5,4.6,4.7,4.7,4.6,4.6,4.7,4.7,4.9,5,4.9,4.7,4.5,4.3,4.4,4.7,4.7,4.7,5.5,5.3,5.3,5.4,5.6,5.8,6,6.2,6.4,6.4,6.6,6.6,6.5,6.2,6.5,6.3,6.1,6.1,6,6.1,6.2,6.1,6.1,6.1,6.2,6.3,6.3,6.2,6.2,6.1,6.3,6.6,6.9,7.3,7.5,7.5,7.4,7.3,7.3,7.3,7.5,7.7,7.8,7.9,7.8,7.7,7.7,7.7,7.9,8.2,8.5,8.7,8.8,8.9,9,9,9.3,9.5,9.4,9.4,9.1,9,9.1,9.3,9.8,10,10.3,10.5,10.6,10.7,10.8,10.9,10.9,11,11.2,11.4,11.6,11.8,12,12.1,12.1,12,12,11.9,11.7,11.8,12.1,12.6,13.5,14.1,14.3,14.1,13.2,12.7,12.4,12.5,13.6,13.7,13.6,13.4,12.9,12.3,11.6,10.7,10.5,10.7,10.8,11,11.2
"17","9","  Nonprofit institutions","B702RC",2.4,2.2,2.3,2.5,2.4,2.9,2.9,2.9,3,3.2,3.4,3.4,3.5,3.6,3.5,3.7,3.7,3.8,3.8,4.2,4.2,4.2,4.2,4.5,4.8,4.5,4.5,4.7,5.1,5.1,5.1,5.1,5.3,5.4,5.6,5.9,5.7,6,6.2,6.4,6.3,6.4,6.7,7,7.1,7.2,7.3,7.5,7.8,8.1,8.1,8.1,8.5,8.7,8.9,9.3,9.7,10.1,10.2,10.5,10.5,10.6,10.8,11.1,11.3,11.7,12,12.2,12.4,12.7,12.9,13.3,13.6,13.8,14,14.4,14.6,15.1,15.6,16.1,16.4,16.9,17.6,18,18.5,18.9,19.5,19.9,20.6,21.2,22.1,23,23.6,24.4,25.5,26.6,26.9,27.6,28.3,28.9,30,30.7,31.2,32.3,33.1,34,34.6,35.6,36.6,37.8,38.7,39.7,40.6,42,43.2,44.4,45.4,46.5,48.1,49.3,50.3,51.1,52,53.2,54.2,55.3,57,59.3,60.8,62.2,64.2,65.4,67.5,69.7,72.2,74.2,76.9,79.5,82.5,85.1,87.8,90.1,92.6,95.3,97.8,100.3,103.6,106.3,108.6,111.2,114.5,117.4,119.6,122.7,125.3,127.8,129.5,131.8,135,138.1,140.2,145.1,151.5,147.2,160.3,159.7,164.4,178.1,180.2,184.3,188.9,193.7,198.7,203.2,207.8,213.1,219.3,226.1,233.4,235.5,240.2,246.7,250.7,256,260.5,268.5,272,276.6,280.4,284.3,288.5,291.9,295.9,299.4,304.3,309.2,312.5,316.6,320.1,324.6,329.8,334,338.6,343.8,346.1,349,352.8,356.8,361.5,367.2,372.8,377.7,382.5,390.1,389.5,399.6,407.4,412.5,421.8,428.4,436.2,445.3,453.5,455.9,462,470.8,479.7,488.9,497.5
"18","10","General government \3\","A765RC",32.9,33.3,33.2,32.6,29.5,28.5,27,26.7,27,26.8,27.5,28.1,28.7,28.5,28.3,28.1,27.6,27.7,28.7,30.9,33.3,35.2,37,37.9,39.2,40.2,41.1,41.4,41.9,42.4,42.2,42.4,42.6,43.4,43.8,44.3,44.6,45.6,46.3,46.9,47.8,48.8,49.9,50.5,51.4,52.3,53.2,53.4,54.2,55.4,56.7,57.3,57.7,58.2,58.7,59.2,60.5,61.6,62.9,63.6,64.5,65.4,66.5,68.2,69.6,70.3,71.1,72.5,73.9,75,76,77.8,79.3,80.6,82,83.2,84,85.3,87.6,90.4,92.8,95.3,98.7,101.3,103.5,105.6,108.3,111.8,114.9,117.7,121.4,123.2,125.2,127.8,133.2,135.7,140.4,143.2,145.5,147.7,153.4,156.1,158.5,161.1,166.9,168.7,172.6,177.7,180.7,183.7,186.9,191.5,195.8,200,205.3,212.5,218.5,223.8,228.6,234.5,238.8,242.9,246.7,252.9,258.2,262.9,267.8,276,280.9,285.2,291,298.4,304.6,308.9,316.3,326.9,335,344.6,352.4,366.6,375.3,381.9,387.9,400.8,410.1,417.9,424,432.9,439.1,445.8,451,454.8,475.1,483.3,492.5,499.8,513.4,520.5,529,538.3,545.5,552.9,561.2,573.3,582,589.4,595.8,605.3,618.7,627.7,636.4,645.3,659.7,668.4,679,687.3,706,718.5,728.7,739.8,758.2,763.2,768.8,774.8,788.1,796.3,801,803.8,818.6,824.5,830.4,835.8,845.9,854.1,856.8,861,873,877.1,882.3,887.9,899.3,906.4,912.5,916.5,933.1,941.1,948.7,955.7,965.2,974.3,984.9,994.7,1008.4,1017.4,1028.6,1039.5,1064.3,1081.5,1087,1095.7,1117.4,1132.6,1148,1161.1,1184.4,1195.3,1207.1,1217.4,1242.8
"19","11","  Federal","A766RC",25.9,26.2,25.7,24.6,21.2,19.8,18.1,17.4,17.3,16.9,17.1,17.3,17.8,17.5,17,16.8,16.2,16.1,16.8,18.6,20.7,22.2,23.6,24.1,25.3,26.1,26.5,26.5,26.6,27,26.6,26.5,26.4,26.6,26.6,26.8,26.9,27.7,27.9,28,28.3,28.7,29.1,29.2,29.7,30,30.3,30,30.4,30.9,31.7,31.9,31.8,31.9,32,32.2,32.5,33,33.6,33.8,33.9,34.2,34.6,35.5,36.3,36.4,36.7,37.4,37.9,38.3,38.6,39.6,40.2,40.5,41.3,41.5,41.4,41.7,42.7,44.5,45.5,46.5,48.4,49.3,50.3,51,51.9,53.9,54.9,56,58,58,58.4,59,62.2,62.3,64.4,64.7,64.8,64.9,67.8,68.4,68.6,69.6,72.8,72.3,73.4,75.9,75.7,75.6,76.1,78.1,79.4,80.2,81.8,85.2,87,88,89.3,92.4,93.4,94.4,95.5,99,101.1,102.5,103.2,107.5,108.7,109.8,111.1,114.5,115.5,116.9,118.4,123.8,126.1,129.9,131.9,140.7,143.7,146.1,147.9,155.6,159,161.7,163.7,168,169.7,172.5,174.5,175.3,190.1,192.9,195.7,197.2,204.1,205.4,205.9,209.6,211.4,213,214.7,216.6,221.7,223.2,225.4,227.5,232.5,234.8,237.1,239,245.4,247,249,248.7,255.4,258.7,260.1,264.7,275.7,275.4,275.9,276.2,282.5,284.2,283.9,280.4,287.2,286.6,287.9,286.2,289.2,289.9,286.1,284.6,287,286.5,287.3,286.4,292,292.5,292.6,290.9,296.2,295.9,295.4,294.2,296,297.1,299.6,301.5,307.3,307.1,308.3,307.6,321.3,328,323.1,321.1,330.5,332.7,333.7,334.3,350.1,354.1,357.7,360.5,379.3
"20","12","  State and local","A767RC",7,7.2,7.5,8,8.3,8.6,8.9,9.3,9.6,9.9,10.4,10.8,10.9,11,11.2,11.3,11.4,11.6,11.9,12.2,12.7,12.9,13.4,13.7,13.9,14.2,14.6,14.9,15.2,15.4,15.6,15.9,16.2,16.8,17.2,17.5,17.7,18,18.4,18.9,19.5,20.1,20.7,21.3,21.7,22.3,22.9,23.4,23.8,24.5,25,25.5,25.9,26.3,26.6,27.1,28,28.6,29.3,29.9,30.6,31.2,32,32.6,33.3,33.9,34.4,35.1,36,36.7,37.4,38.3,39.2,40,40.8,41.6,42.6,43.6,44.8,45.9,47.3,48.7,50.3,52,53.2,54.6,56.4,57.9,60,61.6,63.3,65.2,66.8,68.9,71.1,73.3,76,78.5,80.8,82.8,85.6,87.7,89.8,91.5,94.1,96.5,99.2,101.8,105.1,108.1,110.8,113.4,116.5,119.9,123.6,127.3,131.5,135.8,139.4,142.1,145.4,148.5,151.1,153.9,157.1,160.4,164.6,168.5,172.3,175.5,179.9,183.9,189.1,192,197.9,203.1,208.8,214.7,220.5,226,231.6,235.8,240.1,245.1,251.1,256.2,260.2,265,269.4,273.3,276.5,279.5,285,290.5,296.8,302.6,309.3,315.1,323.1,328.7,334.1,339.9,346.5,356.7,360.2,366.3,370.4,377.8,386.2,392.9,399.3,406.3,414.2,421.4,429.9,438.6,450.6,459.8,468.6,475.1,482.4,487.8,492.9,498.7,505.5,512.1,517.1,523.3,531.4,537.9,542.5,549.5,556.7,564.2,570.8,576.5,586.1,590.7,595,601.4,607.2,613.9,619.9,625.6,636.9,645.2,653.3,661.5,669.2,677.2,685.4,693.2,701.1,710.3,720.3,731.8,743,753.4,763.9,774.6,786.8,800,814.3,826.8,834.3,841.3,849.3,857,863.5
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22"," 1. Equals gross domestic product less gross product of households and institutions and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23"," 2. Equals gross domestic business product less gross farm product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24"," 3. Equals compensation of general government employees plus general government consumption of fixed capital as shown in table ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3.7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
