"","Table 5#13B# Real Private Inventories and Real Domestic Final Sa","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"1","[Billions of chained (1996) dollars]; Seasonally adjusted quarterly totals                                                                ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1996 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 29, 2003      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2003 2:14:58 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Private inventories \1\","A371RX",NA,NA,NA,1251.9,1264.2,1286.3,1299.1,1315.6,1343.9,1354.4,1372.3,1392.3,1412.3,1420.1,1432,1455.1,1466.4,1489.3,1505.1,1520.1,1513.3,1498.8,1483.3,1458.7,1451.5,1452.7,1457.4,1463.9,1467.2
"10","2","Farm","B372RX",NA,NA,NA,103.7,103.5,103.5,105.7,106.9,108.5,107.1,107.3,108.4,110.7,110.9,107.8,106.5,103,103.7,103.2,104,105.4,104.6,105.1,106,107.6,107.8,107.2,107.1,107.4
"11","3","Construction, mining, and utilities","N238RX",NA,NA,NA,28.9,30,30.9,31.5,31.6,32.9,34.4,35.5,37.1,38,37.8,36.9,36.2,36.7,35.7,35.5,33.6,34.9,37.5,38.9,40,40.4,40.2,39.6,39.3,37.7
"12","4","Manufacturing","N376RX",NA,NA,NA,422.1,426.3,431.9,434.2,436.8,446.3,453,458.3,464,467.6,467.9,471.5,478.3,482,488.3,491.8,495.8,491.1,480.7,469.7,459.6,451.7,448.1,447.5,448.2,447.1
"13","5","  Durable goods industries","N377RX",NA,NA,NA,262.3,265.4,269.7,270.9,271.7,278.8,284.3,288.4,292.8,295.4,294.5,296.6,300.5,303.3,308.3,311.2,316.8,313.6,305.8,295.5,286.7,280.3,276.5,273.9,275.3,273.5
"14","6","  Nondurable goods industries","N378RX",NA,NA,NA,159.8,160.8,162.2,163.3,165.1,167.4,168.6,169.8,171.1,172.1,173.4,174.8,177.7,178.7,180,180.5,179.1,177.6,175,174.1,172.8,171.3,171.5,173.3,172.7,173.4
"15","7","Wholesale trade","N379RX",NA,NA,NA,287.4,293.1,301.9,305.2,311.3,319.7,322.6,329.8,335.2,340.1,341.6,347,354.2,359.9,365.5,369.6,374.1,372.9,370.6,364.3,357.6,352.6,350.4,352.4,354.2,353.7
"16","8","  Durable goods industries","N380RX",NA,NA,NA,178.5,182.1,189.6,191.1,194.1,201.5,202.8,208,212.6,216,218.2,221,226.4,229.8,235.2,237,239.2,238.3,231.7,224.8,217.3,213.1,211.2,212.8,213.8,214.5
"17","9","  Nondurable goods industries","N381RX",NA,NA,NA,108.9,110.9,112.3,114.1,117.2,118.3,119.9,121.8,122.6,124.1,123.3,126,127.8,130.1,130.5,132.7,134.9,134.7,138.4,138.7,139.2,138.4,138.1,138.5,139.3,138.2
