"","Table 8#7# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"16","8","    Services","A797RC",250,235,212,179,161,162,169,179,191,189,194,200,214,232,253,270,286,324,354,381,395,420,451,482,520,548,577,612,642,674,717,753,785,826,863,919,975,1041,1113,1207,1314,1424,1541,1678,1821,1989,2205,2442,2724,3047,3365,3744,4148,4528,5010,5444,5956,6379,6878,7441,7937,8472,8882,9414,9869,10326,10821,11308,11901,12520,13117,13848,14430,15017
"17",NA,"Chained (1996) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","9","  Gross domestic product","A939RX",6746,6101,5667,4897,4800,5284,5718,6417,6713,6429,6896,7423,8612,10084,11582,12386,12101,10648,10374,10639,10396,11119,11764,12024,12371,12073,12703,12728,12751,12420,13092,13148,13236,13821,14212,14831,15583,16416,16646,17266,17616,17446,17804,18570,19456,19163,18911,19771,20481,21383,21821,21521,21830,21184,21902,23288,23970,24565,25174,25987,26646,26834,26363,26809,27163,27918,28325,28997,29922,30842,31746,32579,32352,32839
"19","10","  Gross national product","A791RX",6801,6152,5709,4931,4828,5308,5747,6440,6745,6463,6930,7452,8649,10120,11615,12419,12128,10687,10426,10700,10451,11179,11837,12100,12441,12147,12785,12817,12843,12497,13170,13232,13328,13924,14320,14946,15702,16526,16757,17384,17728,17556,17925,18701,19633,19366,19065,19953,20685,21584,22096,21791,22066,21418,22126,23494,24112,24649,25246,26080,26742,26962,26469,26909,27260,27981,28401,29064,29954,30840,31834,32667,32432,32817
"20","11","  Disposable personal income","A229RX",5516,5109,4896,4214,4063,4430,4827,5400,5556,5201,5589,5912,6739,7507,7737,7920,7729,7599,7183,7433,7343,7863,7953,8071,8319,8276,8675,8930,8988,8922,9167,9210,9361,9666,9886,10456,10965,11417,11776,12196,12451,12823,13218,13692,14496,14268,14393,14873,15256,15845,16120,16063,16265,16328,16673,17799,18229,18641,18870,19522,19833,20058,19873,20220,20235,20507,20798,21072,21470,22359,22678,23501,23692,24479
"21","12","  Personal consumption expenditures","A794RX",5134,4808,4626,4186,4065,4324,4558,4990,5145,5022,5259,5486,5822,5623,5698,5793,6088,6768,6775,6807,6872,7192,7176,7279,7503,7524,7928,8018,8068,7999,8303,8358,8388,8668,8896,9300,9764,10204,10396,10881,11171,11300,11581,12149,12626,12407,12551,13155,13583,14035,14230,14021,14069,14105,14741,15401,16020,16541,16938,17463,17760,17899,17637,17903,18264,18724,19058,19438,19891,20601,21373,22061,22390,22877
"22","13","    Durable goods","A795RX",321,262,222,166,161,185,225,274,287,233,274,313,360,217,187,169,189,355,414,434,461,554,496,475,525,513,616,581,576,521,574,574,543,597,646,696,774,830,834,917,940,899,977,1089,1190,1098,1087,1214,1314,1369,1349,1229,1232,1221,1389,1579,1719,1859,1874,1965,1987,1948,1796,1866,1993,2119,2191,2288,2411,2634,2912,3115,3272,3478
"23","14","    Nondurable goods","A796RX",2231,2104,2077,1895,1855,2002,2107,2339,2409,2423,2528,2619,2768,2786,2839,2917,3092,3228,3081,3038,3032,3075,3103,3172,3218,3202,3299,3352,3353,3329,3408,3390,3396,3449,3472,3592,3735,3895,3914,4052,4118,4169,4191,4329,4428,4299,4320,4487,4550,4670,4742,4680,4688,4688,4801,4948,5038,5171,5248,5367,5461,5479,5386,5415,5501,5642,5741,5842,5940,6113,6325,6500,6565,6712
"24","15","    Services","A797RX",2511,2423,2330,2166,2085,2149,2201,2298,2364,2319,2371,2435,2534,2613,2711,2768,2832,3067,3158,3224,3249,3356,3457,3549,3643,3727,3849,3976,4054,4140,4284,4381,4485,4634,4775,4997,5198,5398,5602,5832,6048,6220,6376,6656,6904,6989,7157,7423,7674,7954,8121,8161,8200,8261,8589,8873,9254,9478,9798,10109,10291,10466,10471,10637,10778,10966,11127,11308,11541,11865,12167,12493,12622,12787
"25","16","Population (mid-period, thousands)","B230RC",121878,123188,124149,124949,125690,126485,127362,128181,128961,129969,131028,132122,133402,134860,136739,138397,139928,141389,144126,146631,149188,151684,154287,156954,159565,162391,165275,168221,171274,174141,177130,180760,183742,186590,189300,191927,194347,196599,198752,200745,202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234332,236394,238506,240682,242842,245061,247387,249983,253253,256634,260011,263194,266327,269448,272687,275891,279062,282128,284822,287456
