"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"60","52","        Motorcycles","DMCYRA3",2.305,2.401,2.36,2.333,2.347,2.319,2.264,2.264,2.333,2.223,2.196,2.209,2.182,2.058,2.045,2.1,2.004,2.045,1.976,1.949,1.907,1.962,2.031,1.949,1.894,1.907,1.99,1.921,1.921,1.894,1.949,1.976,2.031,2.045,2.127,2.182,2.237,2.182,2.209,2.264,2.36,2.429,2.456,2.456,2.539,2.566,2.511,2.566,2.607,2.607,2.607,2.635,2.662,2.717,2.854,2.786,2.854,2.923,3.005,3.184,3.266,3.554,3.664,3.705,3.952,4.103,4.172,4.528,4.638,4.638,4.803,5.105,4.885,4.926,5.05,5.146,5.311,5.805,5.695,5.873,5.928,6.477,6.765,6.848,7.04,7.204,7.547,7.479,7.383,7.973,7.932,8.042,8.453,8.522,8.673,8.741,8.824,8.453,8.508,8.769,8.577,8.371,8.892,9.139,9.743,9.592,10.1,9.976,10.306,9.839,11.582,11.609,11.143,12.062,12.543,13.133,14.176,14.395,16.289,15.809,15.973,15.781,15.616,15.767,15.671,15.603,15.644,16.714,15.671,15.932,16.508,17.442,17.963,17.565,19.418,18.663,20.831,20.296,20.831,21.147,22.629,22.725,22.025,22.766,21.572,22.519,22.739,23.219,23.631,23.727,23.548,26.059,26.732,28.708,25.003,27.816,27.116,27.789,27.967,29.037,29.037,29.449,30.108,29.38,31.26,32.454,30.958,34.375,35.871,37.12,38.602,39.082,40.674,42.252,42.856,42.472,44.722,42.733,41.758,44.956,45.999,45.175,49.47,48.729,49.169,50.129,48.853,48.688,48.496,48.03,46.383,48.071,52.146,53.066,53.368,54.507,57.539,57.773,56.922,56.867,53.574,52.297,50.239,49.127,52.887,46.657,44.873,44.022,42.444,42.568,41.731,39.302,39.961,40.194,36.695,37.463
"61","53","        Bicycles and accessories","DBCYRA3",15.277,15.82,15.675,15.494,15.639,15.53,15.096,14.915,15.349,14.553,14.372,14.516,14.408,13.575,13.249,13.829,13.213,13.72,13.213,12.779,12.344,12.779,12.96,12.417,12.163,12.163,12.851,12.453,12.308,12.127,12.562,12.815,12.924,12.96,13.467,13.792,14.227,13.575,13.901,14.444,15.023,15.494,15.421,15.494,16.109,16.218,15.675,16.182,16.616,16.906,17.123,17.485,17.521,17.666,18.173,17.412,17.666,17.412,17.304,18.028,18.317,19.946,20.127,19.91,20.924,21.286,20.888,22.191,22.155,21.358,21.793,22.734,21.756,21.901,22.191,22.336,22.661,23.566,22.915,23.204,23.204,24.218,24.833,24.797,25.232,25.594,26.499,26.173,25.485,27.042,26.535,26.245,26.969,26.643,26.788,26.535,26.426,25.014,24.725,25.232,24.363,23.422,24.833,25.304,26.861,26.318,27.476,26.933,27.802,26.281,30.734,30.77,29.395,31.856,32.653,33.666,36.273,36.526,41.196,39.277,39.386,38.807,38.409,38.191,37.685,37.54,37.069,39.567,36.671,37.359,38.517,40.001,40.87,39.929,44.201,42.934,48.038,46.662,48.002,48.4,51.694,52.599,51.042,53.649,50.318,52.527,52.418,53.033,53.721,53.576,52.997,56.545,56.472,60.346,52.273,58.065,57.196,58.753,59.006,61.577,60.998,61.323,62.011,60.454,63.459,64.002,60.201,66.102,68.382,70.808,73.161,73.052,75.405,77.324,77.541,75.26,77.613,72.763,69.36,72.401,74.283,73.993,79.387,77.469,76.564,77.07,72.22,68.708,65.305,62.59,56.726,56.038,54.771,51.585,48.798,46.3,45.757,43.477,40.87,40.001,36.997,36.526,35.549,36.381,40.87,38.119,38.915,40.146,40.943,42.861,44.382,43.766,46.481,49.088,45.323,46.916
"62","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRA3",7.374,7.6,7.652,7.555,7.458,7.328,7.358,7.475,7.635,7.635,7.596,7.47,7.364,7.117,6.936,6.824,6.669,6.646,6.531,6.456,6.446,6.566,6.63,6.672,6.325,5.88,5.549,5.578,5.741,5.99,5.983,5.943,5.884,6.116,6.34,6.514,6.3,5.961,5.68,5.799,6.105,6.43,6.475,6.472,6.552,6.789,7.041,7.377,7.338,7.185,7.022,7.082,7.152,7.258,7.171,7.073,7.016,7.298,7.741,8.163,8.472,8.679,8.834,8.894,8.969,9.08,9.176,9.319,9.389,9.373,9.367,9.468,9.783,10.181,10.538,10.648,10.627,10.628,10.774,10.971,11.195,11.3,11.388,11.512,11.932,12.403,12.91,13.07,13.03,13.157,13.495,13.875,14.274,14.314,14.173,14.031,13.839,13.788,13.851,14.305,14.773,15.249,15.582,15.76,15.87,16.099,16.391,16.655,17.213,18.417,17.02,18.204,21.459,21.015,20.903,21.075,19.821,20.348,19.134,20.447,20.888,22.363,21.286,23.3,22.955,22.976,21.761,22.401,23.956,24.744,24.661,26.562,23.43,27.08,25.071,23.547,22.805,24.571,25.555,24.469,22.191,22.439,21.724,21.916,26.903,23.006,22.826,23.394,23.971,23.361,21.942,22.09,22.544,22.181,27.01,27.851,29.428,26.215,27.539,27.781,29.811,30.521,31.221,33.554,33.347,35.46,34.823,41.682,39.678,39.827,38.567,35.441,31.726,29.066,29.362,30.418,32.783,35.5,27.058,21.05,20.226,22.488,23.606,23.495,23.618,23.773,25.585,26.094,26.908,25.843,23.899,21.504,23.007,23.255,23.11,25.926,27.72,30.254,31.16,31.853,34.195,32.702,34.395,43.417,33.138,37.248,39.467,37.644,33.928,38.012,34.198,38.831,36.733,38.703,38.904,48.816
"63","55","          Pleasure boats","DBOARA3",12.706,13.033,13.105,12.922,12.738,12.443,12.387,12.467,12.65,12.65,12.65,12.57,12.594,12.347,12.131,11.868,11.429,11.174,10.807,10.575,10.471,10.655,10.791,10.886,10.391,9.713,9.202,9.099,9.21,9.402,9.298,9.162,9.075,9.386,9.761,10.112,10.008,9.745,9.482,9.609,9.913,10.16,10.208,10.176,10.304,10.511,10.719,11.126,11.126,11.046,10.95,10.998,11.078,11.23,11.405,11.589,11.788,12.091,12.475,12.746,12.898,12.993,13.097,13.241,13.544,13.919,14.191,14.542,14.797,15.045,15.236,15.412,15.212,14.997,14.749,14.733,14.837,15.06,15.284,15.491,15.787,16.202,16.649,17,17.287,17.495,17.862,18.189,18.437,18.963,19.658,20.296,20.935,21.07,20.983,21.022,21.246,21.661,22.044,22.283,22.244,22.267,22.738,23.185,23.584,23.776,23.912,23.792,22.475,26.035,22.914,23.265,28.652,27.423,26.905,26.833,23.6,24.901,21.876,23.201,21.07,24.662,24.694,28.166,28.908,29.347,29.866,27.567,29.866,31.286,31.438,30.352,29.012,35.045,26.649,26.354,25.452,27.735,27.16,25.843,22.643,20.687,22.1,22.906,27.487,24.662,25.316,24.335,24.861,22.834,20.815,21.062,21.709,21.525,26.825,23.544,29.858,25.444,28.381,28.636,31.613,30.951,34.247,38.238,38.645,39.467,37.208,41.75,38.856,38.102,39.406,37.787,33.53,30.946,32.221,34.7,35.936,40.364,29.904,27.466,29.262,30.565,30.067,28.014,25.528,25.505,25.708,25.745,28.129,26.451,25.043,23.206,24.916,25.29,23.868,27.044,29.351,30.017,32.443,34.072,36.814,33.331,34.889,31.837,29.959,35.774,38.178,37.339,32.95,34.874,31.407,35.407,33.725,35.561,36.451,42.164
"64","56","          Pleasure aircraft","DAIRRA3",16.87,17.427,17.666,17.348,16.95,16.95,16.393,16.552,16.552,16.552,16.552,16.472,16.234,15.756,15.438,14.801,14.165,13.687,13.369,13.13,13.13,13.369,13.846,14.085,13.687,12.971,12.255,12.493,12.732,13.05,13.05,12.891,12.653,13.21,13.687,14.165,14.165,13.608,13.369,13.21,13.528,14.244,13.687,13.608,13.608,13.528,13.687,14.085,14.085,13.767,13.448,13.289,13.21,13.13,12.971,12.891,12.891,12.891,12.891,12.812,12.812,12.493,12.334,12.255,12.255,12.493,12.255,12.255,11.936,11.936,11.857,11.857,11.618,11.3,11.061,11.141,11.141,11.379,11.141,11.061,11.3,11.539,11.539,11.777,12.016,12.414,12.414,12.653,12.732,13.448,13.21,13.448,13.687,13.687,13.369,13.05,12.732,12.334,12.096,11.857,11.539,11.539,11.936,12.414,13.05,13.448,14.085,14.722,14.483,18.064,16.711,17.507,22.679,21.963,22.52,22.918,20.372,21.724,19.178,19.974,17.984,19.974,19.417,21.645,21.804,21.883,22.6,20.69,22.918,24.509,24.907,24.907,24.828,30.955,24.35,24.987,24.748,27.056,27.295,26.499,23.316,21.486,22.918,23.555,28.25,25.624,26.101,24.907,25.067,22.679,20.451,20.212,20.292,19.576,23.634,20.133,24.43,19.655,20.849,19.974,21.486,20.451,22.361,24.987,25.544,26.578,25.783,30.159,29.921,30.876,33.661,33.979,31.671,31.035,33.82,38.117,41.38,48.303,37.003,34.854,37.799,40.266,40.425,38.435,35.411,36.207,36.764,37.242,41.22,39.151,37.162,34.616,37.242,37.878,35.809,40.743,44.244,45.438,49.178,51.804,56.022,50.849,53.316,48.621,45.995,55.146,59.046,57.772,51.168,54.032,48.78,55.067,52.361,55.067,56.42,65.491
"65","57","          Other recreational vehicles","DREVRA3",1.838,1.946,1.961,1.961,1.969,1.969,2.13,2.276,2.43,2.43,2.353,2.184,1.977,1.754,1.615,1.684,1.823,2.046,2.169,2.246,2.315,2.369,2.33,2.307,2.092,1.877,1.738,1.861,2.061,2.353,2.43,2.484,2.469,2.6,2.669,2.661,2.33,1.946,1.646,1.784,2.092,2.446,2.546,2.576,2.623,2.915,3.215,3.484,3.407,3.207,2.999,3.092,3.169,3.253,2.946,2.6,2.315,2.607,3.146,3.745,4.222,4.576,4.807,4.807,4.691,4.561,4.538,4.515,4.461,4.215,4.045,4.092,4.907,5.907,6.845,7.068,6.937,6.722,6.837,7.053,7.214,7.037,6.822,6.737,7.291,7.999,8.675,8.683,8.383,8.106,8.191,8.36,8.568,8.529,8.36,8.075,7.537,7.114,6.929,7.637,8.621,9.537,9.744,9.66,9.467,9.714,10.106,10.667,12.928,11.859,11.952,13.897,15.12,15.382,15.559,15.92,16.505,16.282,16.766,18.12,21.027,20.619,18.527,19.258,17.92,17.574,14.666,18.104,18.95,19.112,18.781,23.457,18.473,19.819,23.796,20.996,20.342,21.611,24.019,23.103,21.711,24.072,21.304,20.919,26.287,21.334,20.365,22.45,23.111,23.903,23.08,23.18,23.503,23.019,27.518,32.355,29.564,27.541,27.479,27.818,29.079,31.148,29.479,30.348,29.533,32.871,33.655,42.769,41.361,42.215,38.339,33.571,30.187,27.264,26.472,25.98,29.241,30.071,23.649,14.167,10.706,13.782,16.397,18.15,20.842,21.088,24.418,25.341,24.488,24.049,21.642,18.773,19.989,20.089,21.234,23.534,24.718,29.002,28.318,28.01,29.817,30.394,32.125,52.944,34.647,36.793,38.693,35.962,33.109,39.185,35.209,40.231,37.831,39.846,39.339,52.975
"66","58","      Recreational books (part of 90)","DRBKRA3",17.544,17.185,17.266,17.382,17.805,17.95,17.284,17.805,17.837,18.21,18.52,18.538,18.858,17.981,18.045,20.398,18.777,17.509,18.598,18.45,18.009,18.235,18.46,18.591,18.506,19.39,18.971,18.619,19.521,20.275,19.873,20.116,19.75,19.718,19.591,19.799,19.686,19.531,19.933,19.965,19.996,20.842,20.697,20.173,21.849,21.321,21.226,21.737,20.557,21.976,22.448,21.938,22.311,21.367,21.853,21.367,22.734,22.769,22.804,25.024,24.682,25.281,25.51,26.514,26.901,25.869,28.747,28.504,25.496,24.319,25.753,25.883,25.365,25.753,25.32,26.07,25.88,26.362,26.306,25.51,25.76,26.369,27.233,28.371,28.022,29.519,28.092,28.54,27.676,28.585,28.205,29.209,28.321,27.581,27.891,28.272,27.507,25.816,31.221,26.401,28.621,28.518,27.666,26.591,27.384,27.004,28.096,27.469,27.152,27.06,30.805,27.666,28.973,30.248,29.463,26.461,28.082,29.255,29.399,28.821,30.051,30.322,30.185,31.929,30.333,30.808,30.675,30.72,31.816,30.076,30.622,32.221,34.183,38.658,33.056,34.62,35.121,34.257,35.48,37.96,38.341,41.243,40.803,39.38,34.906,35.561,33.405,35.607,36.41,38.506,39.362,37.826,36.505,34.229,32.196,31.305,32.524,34.708,36.864,35.276,33.458,33.923,32.204,30.999,32.936,33.391,33.098,32.168,32.23,31.444,31.031,31.646,32.906,32.444,33.377,33.332,35.902,36.031,37.468,35.447,36.847,35.094,34.815,35.042,37.873,35.634,35.435,35.247,31.962,30.385,31.614,31.403,33.988,35.13,36.135,30.654,32.939,31.617,31.206,30.462,32.601,30.343,30.3,30.001,29.374,28.789,29.162,30.195,28.916,28.646,28.819,28.773,27.015,25.762,26.427,27.526
"67","59","      Musical instruments (part of 80)","DMSCRA3",9.422,9.553,9.366,9.441,9.646,9.852,9.628,9.703,9.684,9.628,9.516,9.553,9.646,9.777,9.366,9.946,9.703,9.684,9.441,9.385,9.534,9.665,9.497,9.273,9.478,9.366,9.908,9.927,10.039,10.17,10.301,10.357,10.394,10.413,10.619,10.562,10.506,10.413,10.562,10.525,10.843,10.525,10.805,10.936,11.273,11.142,11.497,11.329,10.619,11.722,11.946,11.983,12.17,12.021,12.619,12.226,11.871,12.208,11.965,12.469,12.208,12.825,13.18,13.535,13.554,13.722,13.741,13.628,13.759,13.965,14.357,15.255,14.488,14.694,14.993,15.853,15.367,15.068,15.274,15.629,17.087,17.162,17.199,17.367,17.573,17.779,17.984,18.059,18.19,18.975,18.975,19.798,20.078,19.966,20.115,20.695,20.246,20.246,19.966,20.003,19.966,19.947,18.732,20.153,20.508,20.676,21.293,21.536,21.013,21.162,21.667,20.601,20.059,19.985,21.424,21.518,20.415,20.003,20.041,19.555,20.022,19.985,19.854,19.517,19.91,20.134,19.798,19.386,20.041,19.91,19.386,20.358,21.162,20.358,20.284,20.452,20.097,19.685,19.76,19.667,19.555,19.928,19.181,19.181,18.863,19.461,19.816,19.499,19.199,19.629,18.713,19.76,19.592,19.592,19.947,20.415,20.62,20.676,20.676,20.751,21.218,20.62,22.041,22.06,21.349,22.508,22.882,22.34,23.48,23.368,23.48,23.574,23.294,23.387,23.462,24.415,24.06,23.462,24.34,23.705,24.079,24.079,24.471,24.359,24.621,24.135,24.303,24.808,24.228,23.424,23.05,22.639,22.994,23.275,23.537,24.266,25.107,25.144,24.453,25.238,24.826,24.808,25.462,26.004,26.191,25.668,25.929,26.191,25.873,26.135,26.696,26.21,25.705,26.098,26.266,26.416
"68","60","    Other durable goods","DODGRA3",9.215,9.226,9.255,9.22,9.402,9.6,9.416,9.478,9.445,9.686,9.509,9.625,9.578,9.488,9.28,9.925,9.381,9.53,9.466,9.377,9.532,9.649,9.41,9.28,9.405,9.456,9.405,9.315,9.641,9.637,9.642,9.656,9.871,9.983,10.062,10.121,10.116,10.144,10.41,10.742,10.758,10.217,10.465,10.562,10.866,10.732,10.871,11.054,10.767,10.694,10.849,10.882,10.884,11.015,11.047,11.159,11.114,11.004,11.064,11.002,10.971,11.481,11.876,11.303,11.833,11.989,12.161,12.333,12.167,12.231,12.108,12.378,12.544,12.881,12.628,12.315,12.696,12.694,13.093,12.984,13.216,13.744,14.132,14.589,15.357,15.265,15.26,14.889,14.866,15.302,15.157,15.167,15.117,14.914,14.882,15.009,14.812,14.755,15.171,15.323,15.476,15.198,15.282,15.004,15.289,15.235,15.576,15.658,15.732,15.529,16.343,16.65,16.771,16.948,17.006,17.108,17.004,17.081,17.381,17.082,17.458,17.643,17.341,17.665,17.46,17.247,17.307,17.308,17.09,17.183,17.093,17.665,17.634,17.99,17.766,17.503,17.939,17.928,18.294,18.579,18.626,18.906,18.643,18.772,18.62,18.569,18.515,18.772,18.667,19.316,19.13,19.328,19.389,19.38,19.402,19.499,19.255,19.323,19.667,19.738,19.827,20.038,20.024,20.113,20.445,20.728,20.933,20.963,21.68,22.045,22.253,22.413,22.639,22.603,22.887,22.739,23.381,23.689,23.822,23.657,24.024,23.695,23.843,24.395,24.589,24.132,24.378,24.479,23.668,23.635,23.523,22.953,24.031,24.285,24.244,23.998,24.878,25.21,25.407,25.839,26.466,26.099,26.359,27.161,27.461,27.293,27.153,27.692,27.524,28.216,28.289,28.372,27.962,28.256,27.947,28.555
"69","61","      Jewelry and watches (part of 119)","DJRYRA3",7.185,7.18,7.106,7.021,7.128,7.321,7.183,7.326,7.206,7.564,7.329,7.206,7.221,7.217,7.114,7.47,7.188,7.083,7.166,7.128,7.253,7.211,6.958,6.976,7.132,6.918,6.846,6.817,7.192,6.999,7.021,6.846,7.073,7.211,7.289,7.355,7.284,7.415,7.524,7.645,7.55,7.392,7.532,7.577,7.725,7.668,7.712,7.898,7.856,7.854,7.924,7.947,7.885,8.052,7.875,8.01,8.193,8.057,8.101,7.733,7.368,7.833,8.408,7.707,8.255,8.546,8.622,8.81,8.776,8.935,8.793,8.942,8.935,9.403,9.031,8.567,9.159,9.212,9.765,9.833,9.958,10.243,10.531,11.048,12.367,11.907,12.019,11.523,11.729,12.298,12.038,12.064,11.91,11.993,11.956,12.087,12.254,12.119,12.296,12.985,13.233,12.586,13.186,12.523,12.834,12.902,13.43,13.505,13.427,12.957,13.469,13.735,13.866,13.808,13.858,14.161,14.009,13.971,14.051,13.594,13.989,14.171,13.816,13.878,13.816,13.754,13.416,13.506,13.312,13.32,13.131,13.664,13.479,13.826,13.508,13.063,13.578,13.711,13.725,13.975,13.871,13.938,13.694,13.832,13.951,14.046,14.161,14.255,14.057,14.659,14.474,14.437,14.712,14.806,14.941,15.064,14.492,14.498,14.524,14.467,14.84,15.07,15.205,15.5,15.843,16.115,16.558,16.566,17.183,17.448,17.689,18.279,18.478,18.457,18.765,18.728,19.212,19.531,19.569,19.608,20.018,19.755,20.048,20.58,20.94,20.544,20.894,21.039,20.554,20.588,20.556,19.791,20.441,20.729,20.732,20.544,21.209,21.674,22.134,22.606,23.654,23.216,23.31,24.68,25.5,25.096,24.949,25.286,25.365,26.056,26.321,26.435,26.258,26.71,26.582,27.258
"70","62","        Jewelry","DJLYRA3",6.569,6.564,6.496,6.419,6.517,6.693,6.567,6.698,6.588,6.915,6.701,6.588,6.601,6.598,6.504,6.83,6.572,6.475,6.551,6.517,6.631,6.593,6.361,6.378,6.52,6.324,6.259,6.233,6.575,6.398,6.419,6.259,6.467,6.593,6.664,6.724,6.659,6.779,6.878,6.99,6.902,6.758,6.886,6.927,7.062,7.01,7.05,7.221,7.182,7.181,7.244,7.265,7.209,7.361,7.2,7.323,7.49,7.366,7.406,7.07,6.736,7.161,7.687,7.046,7.547,7.813,7.883,8.055,8.024,8.169,8.038,8.175,8.169,8.597,8.256,7.833,8.373,8.422,8.927,8.99,9.104,9.364,9.628,10.101,11.307,10.886,10.988,10.535,10.723,11.243,11.006,11.03,10.889,10.964,10.93,11.05,11.203,11.08,11.241,11.871,12.098,11.507,12.055,11.449,11.733,11.795,12.278,12.347,12.294,11.882,12.37,12.634,12.774,12.74,12.805,13.105,12.984,12.969,13.062,12.656,13.044,13.233,12.921,12.998,12.96,12.921,12.622,12.726,12.561,12.588,12.427,12.951,12.794,13.143,12.86,12.454,12.964,13.11,13.143,13.402,13.322,13.405,13.191,13.343,13.476,13.588,13.719,13.83,13.658,14.263,14.103,14.087,14.377,14.489,14.642,14.784,14.242,14.249,14.274,14.219,14.585,14.811,14.943,15.233,15.571,15.838,16.273,16.281,16.876,17.123,17.347,17.913,18.096,18.062,18.35,18.301,18.761,19.059,19.081,19.106,19.491,19.222,19.493,19.995,20.33,19.932,20.257,20.382,19.898,19.917,19.871,19.118,19.731,19.995,19.984,19.788,20.413,20.846,21.273,21.71,22.701,22.265,22.338,23.633,24.401,23.997,23.839,24.143,24.201,24.841,25.076,25.166,24.979,25.391,25.25,25.873
"71","63","        Watches","DWTCRA3",11.511,11.503,11.384,11.249,11.42,11.729,11.508,11.737,11.545,12.118,11.742,11.545,11.568,11.563,11.397,11.968,11.516,11.347,11.48,11.42,11.62,11.552,11.147,11.176,11.425,11.083,10.968,10.922,11.521,11.212,11.249,10.968,11.332,11.552,11.677,11.784,11.669,11.88,12.054,12.248,12.095,11.843,12.066,12.139,12.375,12.285,12.355,12.653,12.586,12.583,12.695,12.731,12.632,12.9,12.617,12.832,13.126,12.908,12.978,12.388,11.804,12.549,13.471,12.347,13.224,13.692,13.814,14.115,14.06,14.315,14.086,14.325,14.315,15.065,14.468,13.725,14.673,14.759,15.644,15.753,15.953,16.41,16.872,17.7,19.813,19.076,19.255,18.461,18.79,19.702,19.286,19.328,19.081,19.213,19.154,19.364,19.631,19.416,19.699,20.802,21.199,20.164,21.124,20.062,20.561,20.67,21.516,21.636,21.379,20.504,21.182,21.465,21.534,21.308,21.25,21.576,21.206,21.013,20.994,20.178,20.628,20.757,20.101,20.055,19.83,19.607,18.993,18.989,18.585,18.465,18.074,18.673,18.289,18.624,18.063,17.339,17.89,17.931,17.815,18.002,17.732,17.681,17.238,17.276,17.287,17.267,17.27,17.245,16.868,17.445,17.083,16.898,17.076,17.04,17.048,17.041,16.252,16.259,16.288,16.224,16.642,16.9,17.051,17.382,17.767,18.072,18.569,18.578,19.354,19.737,20.097,20.857,21.175,21.241,21.688,21.737,22.393,22.861,23.001,23.143,23.725,23.51,23.958,24.694,25.228,24.853,25.378,25.657,25.167,25.309,25.37,24.523,25.429,25.889,25.995,25.86,26.8,27.494,28.187,28.898,30.354,29.907,30.142,32.034,33.223,32.821,32.75,33.317,33.546,34.586,35.068,35.349,35.241,35.979,35.937,36.984
"72","64","      Therapeutic appliances and equipment (42)","DTAERA3",8.423,8.25,8.718,8.993,8.983,9.092,9.155,8.905,8.825,9.015,8.856,9.35,9.111,9.086,8.563,9.254,8.516,9.416,8.844,8.647,9.188,9.442,9.198,8.622,8.756,9.117,8.637,8.931,8.632,9.138,8.868,9.279,9.608,9.685,9.706,9.686,10.049,10.001,10.618,10.397,11.102,10.462,10.852,11.12,11.327,11.255,11.697,11.889,11.03,10.69,10.856,10.732,11.014,10.858,11.069,10.977,10.367,10.178,10.58,11.094,11.4,11.693,11.706,11.582,11.95,12.006,12.124,12.244,12.084,11.938,11.669,11.858,12.241,12.174,12.439,12.39,12.322,12.455,12.461,12.012,12.734,13.577,14.162,14.621,14.303,14.535,14.336,14.422,14.034,14.176,14.319,13.885,13.934,13.599,13.334,13.435,12.64,13.222,13.399,12.832,12.687,12.162,11.653,11.945,11.97,11.679,11.717,11.872,12.579,12.783,13.246,13.521,13.911,14.407,13.941,14.145,14.25,14.545,14.845,14.808,15.139,15.241,14.823,15.226,15.183,14.868,15.484,15.498,15.353,15.595,15.704,16.081,15.916,15.977,16.203,15.931,16.503,15.909,17.328,17.528,17.686,17.693,17.605,17.73,16.71,16.388,16.046,16.18,15.986,16.116,16.279,16.736,16.691,16.651,16.568,16.953,17.74,17.679,17.939,18.193,18.041,18.384,17.951,17.837,17.931,17.667,17.807,18.104,18.617,18.758,18.703,18.813,19.077,19.156,19.359,19.466,20.069,20.459,20.722,20.643,20.648,20.658,20.788,21.494,21.028,20.709,20.695,20.632,20.309,20.585,20.215,20.466,21.712,21.422,21.174,20.819,21.455,21.513,21.351,21.77,21.557,21.6,21.809,21.685,21.281,20.967,21.362,21.963,21.755,22.135,22.072,22.153,21.875,21.81,21.313,22.018
"73","65","        Therapeutic medical equipment","DTMERA3",6.495,6.352,6.612,6.773,6.814,6.905,6.915,6.837,6.835,6.951,6.845,7.174,7.165,7.14,6.895,7.362,6.966,7.513,7.268,7.146,7.481,7.744,7.59,7.285,7.343,7.574,7.299,7.55,7.312,7.642,7.536,7.768,7.981,8.059,8.143,8.253,8.439,8.48,8.916,8.854,9.29,8.873,9.083,9.182,9.294,9.117,9.389,9.425,8.763,8.428,8.389,8.149,8.207,8.1,8.122,8.081,7.678,7.572,7.852,8.211,8.451,8.722,8.845,8.874,9.26,9.306,9.481,9.616,9.559,9.494,9.261,9.414,9.659,9.59,9.707,9.667,9.656,9.699,9.781,9.507,10.007,10.626,10.946,11.25,11.14,11.379,11.326,11.513,11.216,11.365,11.48,11.133,11.156,10.922,10.723,10.759,10.119,10.421,10.503,10.106,9.91,9.603,9.194,9.355,9.411,9.195,9.295,9.432,9.949,10.152,10.514,10.751,11.093,11.501,11.258,11.448,11.531,11.729,11.94,11.941,12.152,12.218,11.915,12.229,12.304,12.077,12.576,12.628,12.562,12.774,12.962,13.147,13.253,13.287,13.527,13.333,13.739,13.365,14.348,14.541,14.777,14.784,14.804,14.896,14.282,14.076,13.796,13.884,13.803,13.862,13.998,14.401,14.339,14.338,14.236,14.498,15.113,15.033,15.233,15.496,15.318,15.572,15.259,15.208,15.295,15.118,15.301,15.515,15.925,16,16.002,16.13,16.466,16.643,16.837,17.008,17.56,18.008,18.293,18.286,18.445,18.685,18.951,19.651,19.542,19.437,19.424,19.396,19.216,19.451,19.15,19.252,20.144,19.883,19.648,19.362,19.998,19.986,19.805,20.102,19.881,19.841,20.019,19.874,19.554,19.303,19.652,20.041,19.807,20.139,20.063,20.088,19.882,19.876,19.552,20.225
