"","Table 1#1#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:18:07 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Gross domestic product","A191RL1",-8.5,-6.4,-12.9,-1.3,10.8,8.9,12.9,5.1,-3.3,8,8.8,17.7,18.9,17,8,-1,-11.6,-1.1,4.1,-0.5,8.7,8.1,4.1,4.7,-0.6,7.1,2.1,2.1,-0.7,6.9,2.6,2.6,6.1,4.4,5.8,6.5,6.6,2.7,4.9,3.1
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Personal consumption expenditures","DPCERY2",-3.96,-2.37,-7,-1.79,5.71,4.69,7.68,2.72,-1.15,4.11,3.72,4.9,-1.5,1.52,1.42,3.01,6.29,1.21,1.47,1.77,4.2,1,1.9,2.85,1.25,4.5,1.77,1.49,0.52,3.49,1.67,1.26,3,2.47,3.56,3.79,3.37,1.76,3.38,2.21
"12","3","  Goods","DGDSRY2",-3.29,-1.47,-4.72,-0.29,3.87,3.49,5.65,1.26,-0.9,2.85,2.52,3.16,-2.91,-0.31,0.21,1.86,5.29,1.11,0.8,1.17,3.06,-0.47,0.81,1.8,0.37,3.16,0.52,0.58,-0.34,2.1,0.58,0.21,1.63,1.25,1.85,2.18,1.95,0.6,1.85,0.92
"13","4","    Durable goods","DDURRY2",-1.61,-1.13,-1.83,-0.17,0.95,1.42,1.64,0.42,-1.38,1.29,1.11,1.25,-2.99,-0.48,-0.3,0.39,3.05,1.29,0.57,0.73,2.07,-0.9,-0.2,0.98,-0.04,1.82,-0.36,0.08,-0.67,0.97,0.17,-0.28,0.89,0.75,0.79,1.06,0.73,0.13,0.95,0.33
"14","5","    Nondurable goods","DNDGRY2",-1.68,-0.35,-2.89,-0.12,2.92,2.07,4.01,0.85,0.48,1.55,1.41,1.91,0.08,0.17,0.51,1.47,2.24,-0.18,0.23,0.44,0.99,0.43,1.01,0.82,0.41,1.34,0.87,0.5,0.33,1.13,0.41,0.49,0.73,0.5,1.06,1.12,1.22,0.47,0.91,0.58
"15","6","  Services","DSERRY2",-0.67,-0.9,-2.28,-1.5,1.84,1.2,2.02,1.45,-0.25,1.26,1.21,1.75,1.41,1.83,1.21,1.15,1,0.1,0.66,0.6,1.14,1.47,1.09,1.05,0.89,1.34,1.25,0.91,0.87,1.39,1.09,1.05,1.38,1.23,1.72,1.61,1.42,1.16,1.52,1.29
"16","7","Gross private domestic investment","A006RY2",-5.18,-4.28,-5.28,1.16,2.84,4.54,2.58,2.57,-4.13,2.39,3.99,3.13,-6.45,-2.63,0.72,1.2,7.36,-0.56,3.89,-4.15,5.68,0.05,-1.44,0.87,-0.61,3.44,-0.05,-0.64,-1.16,2.82,0.06,0.05,1.82,1.08,1.27,2.26,1.56,-0.62,0.99,0.93
"17","8","  Fixed investment","A007RY2",-3.33,-3.72,-3.8,-0.68,1.69,1.97,2.57,1.59,-2.12,1.74,2.02,1.79,-4.7,-1.27,0.77,1.49,4.6,2.3,1.44,-1.37,2.9,-0.69,-0.1,1.14,0.28,1.94,0.23,-0.11,-0.98,1.99,0.19,0.1,1.26,1.15,1.39,1.62,1,-0.15,1.08,0.93
"18","9","    Nonresidential","A008RY2",-1.84,-3.32,-2.78,-0.44,1.31,1.41,2.1,1.42,-2.13,0.71,1.6,1.58,-3.16,-0.72,0.88,1.4,2.3,1.28,0.48,-0.94,0.91,0.42,-0.01,0.95,-0.14,1.06,0.7,0.2,-1.04,0.81,0.56,0.08,0.81,0.59,1.08,1.75,1.4,-0.04,0.55,0.79
"19","10","      Structures","A009RY2",-0.75,-1.74,-1.3,-0.53,0.24,0.2,0.6,0.62,-0.59,0.13,0.32,0.47,-0.97,-0.37,0.27,0.37,1.39,-0.31,0.18,-0.11,0.24,0.26,-0.01,0.3,0.12,0.25,0.38,0,-0.21,0.09,0.27,0.05,0.16,0.04,0.34,0.55,0.26,-0.1,0.05,0.19
"20","11","      Equipment","Y033RY2",-1.09,-1.55,-1.46,0.06,0.96,1.12,1.41,0.75,-1.6,0.6,1.24,0.87,-2.15,-0.24,0.61,0.96,0.78,1.59,0.32,-0.8,0.6,0.17,-0.16,0.48,-0.31,0.73,0.15,0.16,-0.88,0.62,0.21,-0.11,0.58,0.41,0.67,1.02,0.94,-0.06,0.38,0.51
"21","12","      Intellectual property products","Y001RY2",0,-0.03,-0.02,0.03,0.11,0.08,0.09,0.04,0.06,-0.02,0.04,0.24,-0.04,-0.1,0,0.07,0.13,0,-0.02,-0.02,0.06,-0.01,0.17,0.17,0.05,0.08,0.17,0.04,0.05,0.11,0.08,0.14,0.07,0.14,0.07,0.18,0.2,0.12,0.12,0.09
"22","13","    Residential","A011RY2",-1.5,-0.4,-1.02,-0.24,0.38,0.56,0.47,0.17,0.01,1.03,0.42,0.21,-1.55,-0.55,-0.1,0.1,2.3,1.02,0.96,-0.43,1.99,-1.11,-0.09,0.19,0.42,0.88,-0.47,-0.31,0.05,1.18,-0.37,0.02,0.46,0.57,0.31,-0.13,-0.4,-0.11,0.53,0.14
"23","14","  Change in private inventories","A014RY2",-1.84,-0.56,-1.48,1.84,1.14,2.58,0.01,0.98,-2.01,0.65,1.97,1.34,-1.74,-1.36,-0.05,-0.3,2.76,-2.86,2.45,-2.79,2.78,0.74,-1.34,-0.27,-0.89,1.5,-0.28,-0.53,-0.17,0.83,-0.13,-0.05,0.55,-0.07,-0.12,0.64,0.56,-0.47,-0.09,0
"24","15","Net exports of goods and services","A019RY2",-0.3,-0.22,-0.19,-0.11,0.33,-0.83,0.24,0.45,0.88,0.07,0.52,-0.64,-1.19,-1.16,0.01,0.66,3.72,1.05,-2.13,0.08,-1.28,0.79,-0.57,-0.68,0.39,-0.04,0.36,0.24,-0.87,0,0.7,0.05,-0.21,0.23,0.35,-0.29,-0.28,-0.21,-0.29,-0.03
"25","16","  Exports","A020RY2",-0.96,-0.77,-0.8,0.02,0.41,0.21,0.19,0.93,-0.05,0.24,0.61,0.12,-1.51,-0.42,0.15,0.86,3.16,0.89,-1.59,-0.05,-0.65,0.96,-0.21,-0.3,0.19,0.43,0.69,0.41,-0.67,0.44,0.75,0.03,0.25,0.34,0.57,0.14,0.35,0.12,0.39,0.25
"26","17","    Goods","A253RY2",-0.88,-0.68,-0.71,-0.01,0.33,0.16,0.17,0.8,0.06,0.2,0.55,0.1,-1.43,-0.46,0.11,0.79,2.79,0.8,-1.46,-0.03,-0.6,0.77,-0.21,-0.24,0.18,0.35,0.59,0.31,-0.61,-0.02,0.74,0.02,0.16,0.28,0.51,0.04,0.28,0.02,0.3,0.2
"27","18","    Services","A646RY2",-0.08,-0.08,-0.09,0.03,0.08,0.05,0.02,0.14,-0.1,0.04,0.06,0.02,-0.09,0.03,0.04,0.07,0.37,0.09,-0.13,-0.02,-0.05,0.19,0,-0.05,0.01,0.08,0.1,0.1,-0.06,0.46,0.02,0.01,0.08,0.06,0.07,0.1,0.06,0.1,0.09,0.05
"28","19","  Imports","A021RY2",0.65,0.54,0.61,-0.13,-0.08,-1.04,0.05,-0.48,0.93,-0.17,-0.08,-0.76,0.32,-0.73,-0.15,-0.19,0.56,0.16,-0.54,0.13,-0.63,-0.16,-0.36,-0.38,0.2,-0.47,-0.33,-0.17,-0.19,-0.44,-0.06,0.03,-0.45,-0.11,-0.22,-0.44,-0.63,-0.33,-0.68,-0.28
"29","20","    Goods","A255RY2",0.62,0.4,0.5,-0.28,-0.06,-0.99,0.13,-0.37,0.78,-0.22,-0.13,-0.48,0.83,-0.26,-0.06,0.01,-0.26,0.09,-0.36,0.1,-0.58,0.07,-0.06,-0.17,0.22,-0.31,-0.24,-0.08,-0.08,-0.46,0.05,0,-0.39,-0.11,-0.18,-0.4,-0.47,-0.17,-0.66,-0.2
"30","21","    Services","A656RY2",0.03,0.14,0.11,0.15,-0.01,-0.05,-0.08,-0.12,0.14,0.06,0.05,-0.29,-0.51,-0.47,-0.08,-0.2,0.82,0.07,-0.18,0.02,-0.06,-0.23,-0.3,-0.21,-0.01,-0.17,-0.09,-0.09,-0.12,0.03,-0.1,0.02,-0.06,0,-0.03,-0.04,-0.16,-0.16,-0.03,-0.08
"31","22","Government consumption expenditures and gross investment","A822RY2",0.94,0.48,-0.42,-0.52,1.91,0.5,2.44,-0.64,1.09,1.41,0.57,10.31,28.03,19.31,5.84,-5.84,-28.95,-2.8,0.93,1.77,0.11,6.22,4.18,1.65,-1.6,-0.78,0.05,1.01,0.77,0.59,0.14,1.19,1.5,0.57,0.58,0.74,1.94,1.82,0.83,0.04
"32","23","  Federal","A823RY2",0.19,0.08,0.05,0.76,1.37,0.14,2.43,-0.65,0.6,0.49,0.87,10.83,28.64,19.75,5.98,-5.97,-29.34,-3.46,0.57,0.85,-0.47,6.16,4.07,1.32,-2.2,-1.31,-0.2,0.55,0.07,0.29,-0.24,0.65,1.23,0.03,-0.05,0.1,1.34,1.32,0.22,-0.33
"33","24","    National defense","A824RY2",0.07,0.01,0,-0.07,-0.17,0.3,0.28,0.02,0.07,0.18,1.27,11.28,29.34,20.14,5.97,-5.76,-29.81,-3.76,-0.05,0.31,-0.03,6.49,3.84,0.93,-2.09,-1.2,-0.06,0.55,0,-0.35,-0.09,0.56,0.76,-0.26,-0.34,-0.14,1.23,1.27,0.18,-0.44
