"","Table 1#1#4# Price Indexes for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"12","5","    Nondurable goods","DNDGRG3",24.109,25.194,25.905,26.736,28.891,33.261,35.831,36.998,39.118,41.618,46.103,51.76,55.757,57.022,58.001,59.207,60.315,59.545,61.57,63.527,66.679,70.501,72.559,73.614,74.212,74.607,75.387,77.094,77.899,77.326,79.248,82.651,83.529,83.538,85.264,88.214,91.592,94.438,97.214,102.653,100,103.085,109.188,111.84,112.031,112.688,109.053
"13","6","  Services","DSERRG3",16.109,17.003,17.932,18.693,19.6,21.261,23.091,24.691,26.553,28.617,31.008,34.216,37.704,40.638,43.169,45.417,47.677,49.619,51.073,53.501,55.966,58.473,60.698,62.831,65.006,66.763,68.594,70.462,72.428,73.922,75.404,77.502,79.88,81.969,84.533,87.058,89.933,92.976,95.981,98.947,100,101.661,103.524,105.84,108.292,110.818,112.905
"14","7","Gross private domestic investment","B006RG3",27.995,29.2,30.647,31.925,33.664,37.022,41.457,43.749,46.973,50.779,55.337,60.516,66.162,69.675,69.889,70.643,71.517,73.124,74.647,76.523,78.47,80.108,81.46,81.431,82.396,83.608,84.933,84.87,84.922,84.309,84.439,85.625,86.436,86.783,87.841,90.646,94.544,98.18,100.001,101.028,100,99.109,100.453,101.9,103.442,105.288,105.957
"15","8","  Fixed investment","B007RG3",27.156,28.342,29.759,31.029,32.756,35.996,40.366,42.694,45.97,49.815,54.292,59.357,64.808,68.456,68.717,69.386,70.397,72.12,73.587,75.639,77.587,79.28,80.662,80.678,81.647,82.886,84.242,84.298,84.448,83.995,84.186,85.45,86.268,86.614,87.734,90.546,94.507,98.167,99.988,100.996,100,99.18,100.524,102.062,103.652,105.663,106.254
"16","9","    Nonresidential","B008RG3",33.85,35.47,37.133,38.403,39.952,43.837,49.611,52.344,55.812,59.544,64.333,70.012,76.669,81.037,80.903,81.159,81.997,83.436,84.388,86.511,88.518,90.413,92.116,91.773,91.968,92.667,93.558,92.969,92.453,91.011,90.167,90.661,90.393,90.047,89.885,91.141,93.83,96.561,98.574,100.337,100,99.07,100.545,102.216,102.993,103.977,104.195
"17","10","      Structures","B009RG3",11.985,12.773,13.756,14.746,15.888,18.085,20.244,21.236,23.078,25.307,28.247,30.873,35.118,37.889,36.925,37.247,38.133,38.863,39.488,41.163,42.775,44.157,44.957,44.967,46.286,47.92,49.996,51.266,53.223,55.659,57.378,59.635,62.762,65.404,67.774,72.879,82.056,92.048,97.62,102.259,100,98.844,101.851,105.884,107.541,109.12,108.617
"18","11","      Equipment","Y033RG3",55.032,57.092,58.898,59.671,60.68,65.231,75.167,79.781,84.683,89.387,95.169,103.547,111.123,115.712,116.045,115.097,115.097,117.409,118.174,119.808,122.098,124.594,126.705,126.513,125.034,124.812,123.445,120.646,117.318,112.054,107.728,105.386,102.28,100.246,98.52,98.36,98.639,98.317,98.602,98.691,100,98.009,98.858,99.861,100.29,101.03,101.733
"19","12","      Intellectual property products","Y001RG3",35.531,37.225,38.587,39.738,41.705,45.598,49.258,51.435,53.693,56.488,60.243,64.895,69.739,73.699,76.451,78.594,79.901,80.523,81.965,84.52,85.586,86.456,88.505,87.461,88.068,88.422,90.901,91.212,91.725,91.32,93.074,96.128,96.408,95.408,95.193,95.11,95.987,97.509,99.181,100.827,100,100.541,101.883,102.967,103.671,104.618,104.576
"20","13","    Residential","B011RG3",15.743,16.249,17.19,18.236,19.856,21.907,23.933,25.483,28.084,31.533,35.094,38.88,42.026,44.28,45.328,46.671,47.953,50.068,52.234,54.052,55.819,57.105,57.848,58.561,60.945,63.15,65.408,66.812,68.424,70.229,72.86,76.093,79.705,81.679,85.549,91.546,98.103,103.821,105.176,103.647,100,99.645,100.395,101.324,106.458,112.903,115.121
"21","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","16","  Exports","B020RG3",31.391,32.623,33.811,35.297,39.938,49.205,54.232,56.012,58.294,61.846,69.291,76.319,81.972,82.349,82.675,83.444,80.966,79.596,81.381,85.55,86.97,87.461,88.436,88.004,88.139,89.159,91.153,89.937,88.349,86.258,85.578,87.159,86.649,86.092,87.786,90.845,94.717,97.979,101.107,105.809,100,104.263,110.96,111.97,112.147,112.25,106.785
"24","17","    Goods","B253RG3",35.778,37.396,38.397,39.422,45.62,57.426,63.736,65.464,67.894,71.805,81.112,88.878,95.193,94.393,93.829,94.669,89.955,86.838,88.821,94.299,95.509,94.667,94.624,93.145,92.675,93.728,95.954,93.514,90.918,88.051,86.859,88.365,87.85,87.205,88.991,92.248,95.469,98.828,102.186,107.204,100,105.033,113.048,113.526,112.923,112.125,104.5
"25","18","    Services","B646RG3",22.279,22.756,24.234,26.5,27.816,31.328,33.492,35.43,37.418,40.215,43.524,49.067,53.345,56.366,58.609,59.222,61.354,63.45,64.809,66.253,68.088,71.314,74.358,76.105,77.506,78.446,79.922,81.498,82.324,82.152,82.772,84.544,84.047,83.702,85.185,87.787,93.179,96.219,98.823,102.813,100,102.641,106.477,108.64,110.514,112.608,111.943
"26","19","  Imports","B021RG3",20.963,22.203,23.566,25.217,29.6,42.348,45.874,47.255,51.418,55.049,64.463,80.294,84.611,81.76,78.695,78.015,75.452,75.451,80.02,83.849,85.681,88.138,87.404,87.474,86.804,87.619,90.02,88.451,85.376,80.779,81.28,84.818,82.716,81.712,84.512,88.471,93.802,97.663,101.024,111.588,100,105.8,113.942,114.671,113.798,113.566,104.846
"27","20","    Goods","B255RG3",21.304,22.752,23.918,25.75,30.351,45.418,49.223,50.539,55.169,58.848,69.393,87.563,92.438,88.704,84.996,84.411,81.089,79.273,84.926,88.972,91.462,93.141,91.38,90.881,89.865,90.52,92.933,90.577,86.836,81.59,81.687,85.988,83.548,82.085,84.553,88.7,94.581,98.665,102.188,113.852,100,106.737,116.178,116.918,115.598,115.025,104.79
"28","21","    Services","B656RG3",19.115,19.797,21.589,22.664,26.217,31.176,33.706,35.227,37.731,41.158,46.481,53.944,56.29,56.335,55.409,54.457,54.39,60.283,61.139,64.121,63.782,68.561,71.069,73.064,73.684,75.13,77.475,79.408,79.406,77.853,80.428,80.012,79.636,80.973,85.548,88.576,91.089,93.826,96.417,101.809,100,101.816,104.105,104.789,105.929,107.247,105.459
"29","22","Government consumption expenditures and gross investment","B822RG3",16.157,17.439,18.823,20.241,21.583,23.635,25.809,27.21,28.873,30.724,33.206,36.641,40.215,42.822,44.478,46.272,47.71,48.536,49.868,51.468,53.45,55.673,57.672,59.473,60.893,62.51,64.324,65.656,66.932,68.068,70.403,73.431,75.559,77.426,80.341,83.947,88.235,92.086,96.14,100.282,100,102.673,105.717,107.378,109.086,111.057,111.35
"30","23","  Federal","B823RG3",19.221,20.726,22.415,24.368,25.995,28.042,30.478,32.352,34.256,36.425,39.045,42.862,46.949,50.184,51.828,53.779,54.92,55.227,55.653,57.361,58.929,60.807,63.068,64.642,66.04,67.79,69.945,71.129,72.224,73.059,74.867,77.341,78.748,81.31,84.773,87.736,91.449,94.448,97.319,100.286,100,102.614,105.422,106.512,107.562,109.274,110.011
"31","24","    National defense","B824RG3",18.687,20.077,21.744,23.987,25.631,27.692,29.955,31.85,33.854,36.154,38.84,42.887,47.111,50.518,52.252,54.314,55.228,55.327,55.787,57.389,58.897,60.88,62.888,64.661,65.636,67.261,69.266,70.451,71.435,72.23,74.034,76.467,77.874,80.529,84.475,87.371,91.395,94.633,97.572,100.809,100,102.365,105.274,106.466,107.13,108.585,108.838
"32","25","    Nondefense","B825RG3",20.251,22.099,23.799,24.926,26.484,28.468,31.26,33.066,34.741,36.623,39.088,42.416,46.19,49.025,50.452,52.123,53.836,54.69,55.026,57.029,58.756,60.347,63.228,64.333,66.638,68.639,71.086,72.267,73.566,74.471,76.285,78.829,80.237,82.645,85.297,88.377,91.529,94.101,96.849,99.321,100,103.064,105.691,106.6,108.308,110.444,111.946
"33","26","  State and local","B829RG3",14.18,15.323,16.505,17.56,18.716,20.767,22.768,23.868,25.372,27.017,29.399,32.582,35.822,38.01,39.698,41.405,43.095,44.339,46.407,47.955,50.275,52.781,54.621,56.599,58.046,59.591,61.209,62.624,63.998,65.287,67.877,71.162,73.628,75.143,77.761,81.719,86.333,90.677,95.426,100.279,100,102.714,105.923,107.985,110.143,112.287,112.296
