"","Table 1#1#4# Price Indexes for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:18:23 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","4","    Durable goods","DDURRG3",30.693,28.896,25.801,22.733,22.181,23.513,23.38,23.515,24.483,24.465,24.169,24.413,26.219,30.694,33.48,37.637,39.81,41.454,45.087,47.395,47.719,47.961,51.175,51.494,51.09,49.97,49.777,50.977,52.852,53.813,54.667,54.461,54.599,54.833,55.043,55.291,54.838,54.718,55.597,57.379,58.996
"12","5","    Nondurable goods","DNDGRG3",11.234,10.651,9.106,7.807,7.767,8.591,8.878,8.91,9.22,8.766,8.627,8.702,9.436,10.984,12.291,13.007,13.578,14.711,16.61,17.627,17.053,17.095,18.561,18.76,18.695,18.739,18.617,18.884,19.438,19.911,19.94,20.178,20.263,20.373,20.576,20.851,21.227,21.906,22.306,23.11,24.109
"13","6","  Services","DSERRG3",7.24,7.033,6.537,5.906,5.535,5.464,5.584,5.675,5.886,5.891,5.876,5.922,6.131,6.564,6.974,7.295,7.533,7.99,8.573,9.025,9.179,9.415,9.878,10.239,10.637,10.905,11.093,11.359,11.691,11.978,12.301,12.628,12.856,13.101,13.302,13.55,13.804,14.205,14.677,15.312,16.109
"14","7","Gross private domestic investment","B006RG3",13.804,13.214,12.094,10.226,9.37,9.394,9.28,9.387,10.083,9.787,9.722,9.958,10.68,11.822,12.397,12.884,13.234,14.441,17.101,18.491,18.721,19.107,20.809,21.182,21.232,21.381,21.709,22.95,23.713,23.794,24.019,24.158,24.111,24.137,24.071,24.228,24.601,25.104,25.748,26.715,27.995
"15","8","  Fixed investment","B007RG3",10.281,9.862,9.126,8.068,7.885,8.264,8.309,8.405,9.107,9.221,9.179,9.406,10.091,11.078,11.654,12.135,12.518,13.746,16.08,17.426,17.759,18.155,19.7,20.169,20.346,20.498,20.848,22.041,22.795,22.889,23.117,23.261,23.208,23.235,23.178,23.339,23.72,24.218,24.872,25.87,27.156
"16","9","    Nonresidential","B008RG3",13.151,12.538,11.678,10.575,10.315,10.65,10.768,10.78,11.638,11.714,11.61,11.868,12.638,13.986,14.601,15.044,15.433,16.98,19.653,21.295,21.769,22.222,24.298,24.828,25.066,25.299,25.677,27.59,28.937,29.142,29.536,29.712,29.592,29.619,29.626,29.819,30.151,30.615,31.363,32.481,33.85
"17","10","      Structures","B009RG3",3.838,3.633,3.324,2.885,2.915,2.924,3.06,3.055,3.471,3.405,3.368,3.422,3.662,4.086,4.441,4.539,4.74,5.309,6.436,7.16,7.135,7.224,8.056,8.27,8.432,8.33,8.497,9.223,9.619,9.465,9.516,9.505,9.447,9.522,9.603,9.74,10.023,10.384,10.707,11.245,11.985
"18","11","      Equipment","Y033RG3",23.083,22.158,21.002,19.809,19.032,20.105,19.927,19.896,21.035,21.541,21.314,21.885,23.277,25.6,25.734,26.229,26.671,29.197,33.076,35.462,36.873,37.802,41.013,41.84,41.93,42.934,43.353,46.578,49.2,50.159,51.078,51.509,51.229,50.987,50.722,50.694,50.76,50.924,52.089,53.519,55.032
"19","12","      Intellectual property products","Y001RG3",15.76,15.088,14.136,12.845,11.95,12.163,12.36,12.657,13.149,13.087,13.154,13.36,14.124,15.692,17.332,18.827,19.345,20.375,22.372,23.532,23.574,24.126,25.609,25.933,26.386,26.558,27.238,28.257,29.155,29.861,30.347,30.81,31.01,31.161,31.201,31.682,31.905,32.389,32.883,34.032,35.531
"20","13","    Residential","B011RG3",5.143,5.032,4.556,3.714,3.658,4.062,4.005,4.2,4.611,4.758,4.788,4.933,5.389,5.788,6.263,6.87,7.334,7.963,9.538,10.34,10.477,10.736,11.505,11.821,11.906,11.955,12.203,12.514,12.547,12.517,12.553,12.639,12.658,12.678,12.579,12.677,13.033,13.505,13.97,14.709,15.743
"21","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","16","  Exports","B020RG3",14.989,13.571,10.678,9.261,9.26,10.737,11.01,11.382,12.138,11.579,11.424,12.39,13.529,16.353,17.888,20.147,19.978,19.307,22.416,23.611,22.202,21.62,24.427,24.576,24.507,24.174,24.38,25.196,26.151,25.887,25.939,26.306,26.707,26.773,26.712,26.931,27.79,28.634,29.736,30.376,31.391
"24","17","    Goods","B253RG3",18.054,16.15,12.396,10.686,11.181,13.08,13.4,13.722,14.543,13.458,13.162,14.115,15.128,18.423,20.312,23.26,23.165,21.986,26.157,27.844,25.795,24.938,28.589,28.463,28.175,27.774,28.037,29.1,30.047,29.719,30.007,30.209,30.784,30.543,30.445,30.651,31.718,32.801,34.176,34.702,35.778
"25","18","    Services","B646RG3",7.385,7.386,6.878,6.173,4.681,5.105,5.268,5.781,6.401,7.272,7.528,8.675,10.401,12.225,13.075,14.082,13.755,14.305,14.537,14.379,14.696,14.841,15.621,16.513,17.006,16.822,16.899,17.121,18.195,18.072,17.648,18.275,18.338,18.97,18.982,19.222,19.66,20.027,20.59,21.409,22.279
"26","19","  Imports","B021RG3",10.654,9.085,7.342,5.885,5.64,6.408,6.514,6.97,7.778,7.188,7.544,8.047,8.499,9.735,10.479,11.007,11.316,12.617,15.116,16.428,15.657,16.631,20.101,19.373,18.541,18.793,18.693,19.023,19.239,18.44,18.606,18.784,18.784,18.562,18.923,19.322,19.59,20.047,20.125,20.43,20.963
