ProdLine,NAICS,PCEcode,SeasSource,NAICS_Desc,PCEcode_Desc
0360,442299,FLR,BEA,All Other Home Furnishings Stores,Carpets and other floor coverings
0360,444110,FLR,Census,Home Centers,Carpets and other floor coverings
0360,444190,FLR,Census,Other Building Material Dealers,Carpets and other floor coverings
0360,452910,FLR,Census,Warehouse Clubs & Superstores,Carpets and other floor coverings
0360,454390,FLR,BEA,Other Direct Selling Establishments,Carpets and other floor coverings
0281,442291,WCT,BEA,Window Treatment Stores,Window coverings
0281,442299,WCT,BEA,All Other Home Furnishings Stores,Window coverings
0281,444110,WCT,Census,Home Centers,Window coverings
0281,448140,WCT,BEA,Family Clothing Stores,Window coverings
0281,452110,WCT,Census,Department Stores (exc Discount) (2002),Window coverings
0281,452910,WCT,Census,Warehouse Clubs & Superstores,Window coverings
0281,452990,WCT,Census,All Other General Merchandise Stores,Window coverings
0281,454100,WCT,Census,Electronic Shopping & Mail-Order Houses,Window coverings
0281,454390,WCT,BEA,Other Direct Selling Establishments,Window coverings
0282,442210,WCT,BEA,Floor Covering Stores,Window coverings
0282,442291,WCT,BEA,Window Treatment Stores,Window coverings
0282,442299,WCT,BEA,All Other Home Furnishings Stores,Window coverings
0282,444110,WCT,Census,Home Centers,Window coverings
0282,448140,WCT,BEA,Family Clothing Stores,Window coverings
0282,452110,WCT,Census,Department Stores (exc Discount) (2002),Window coverings
0282,452910,WCT,Census,Warehouse Clubs & Superstores,Window coverings
0282,454100,WCT,Census,Electronic Shopping & Mail-Order Houses,Window coverings
0282,454390,WCT,BEA,Other Direct Selling Establishments,Window coverings
0300,442100,MHA,BEA,Furniture Stores,Major household appliances
0300,443111,MHA,BEA,Household Appliance Stores,Major household appliances
0300,443112,MHA,BEA,Radio & Television & Other Electronics Stores,Major household appliances
0300,444110,MHA,Census,Home Centers,Major household appliances
0300,452110,MHA,Census,Department Stores (exc Discount) (2002),Major household appliances
0300,452910,MHA,Census,Warehouse Clubs & Superstores,Major household appliances
0300,454100,MHA,Census,Electronic Shopping & Mail-Order Houses,Major household appliances
0310,442299,SEA,BEA,All Other Home Furnishings Stores,Small electric household appliances
0310,443112,SEA,BEA,Radio & Television & Other Electronics Stores,Small electric household appliances
0310,444110,SEA,Census,Home Centers,Small electric household appliances
0310,446110,SEA,Census,Pharmacies & Drug Stores,Small electric household appliances
0310,446120,SEA,Census,Cosmetics& Beauty Supplies & Perfume Stores,Small electric household appliances
0310,452110,SEA,Census,Department Stores (exc Discount) (2002),Small electric household appliances
0310,452910,SEA,Census,Warehouse Clubs & Superstores,Small electric household appliances
0310,452990,SEA,Census,All Other General Merchandise Stores,Small electric household appliances
0310,454100,SEA,Census,Electronic Shopping & Mail-Order Houses,Small electric household appliances
0382,442299,CHN,BEA,All Other Home Furnishings Stores,Dishes and flatware
0382,444110,CHN,Census,Home Centers,Dishes and flatware
0382,445110,CHN,BEA,Grocery (except Convenience) Stores,Dishes and flatware
0382,448140,CHN,BEA,Family Clothing Stores,Dishes and flatware
0382,451120,CHN,BEA,Hobby & Toy & Game Stores,Dishes and flatware
0382,452110,CHN,Census,Department Stores (exc Discount) (2002),Dishes and flatware
0382,452910,CHN,Census,Warehouse Clubs & Superstores,Dishes and flatware
0382,452990,CHN,Census,All Other General Merchandise Stores,Dishes and flatware
0382,454100,CHN,Census,Electronic Shopping & Mail-Order Houses,Dishes and flatware
0382,454390,CHN,BEA,Other Direct Selling Establishments,Dishes and flatware
0388,444110,CHN,Census,Home Centers,Dishes and flatware
0388,445110,CHN,BEA,Grocery (except Convenience) Stores,Dishes and flatware
0388,448140,CHN,BEA,Family Clothing Stores,Dishes and flatware
0388,448310,CHN,Census,Jewelry Stores,Dishes and flatware
0388,451120,CHN,BEA,Hobby & Toy & Game Stores,Dishes and flatware
0388,454100,CHN,Census,Electronic Shopping & Mail-Order Houses,Dishes and flatware
0388,454390,CHN,BEA,Other Direct Selling Establishments,Dishes and flatware
0381,442299,NEC,BEA,All Other Home Furnishings Stores,Nonelectric cookware and tableware
0381,444110,NEC,Census,Home Centers,Nonelectric cookware and tableware
0381,445110,NEC,BEA,Grocery (except Convenience) Stores,Nonelectric cookware and tableware
0381,448140,NEC,BEA,Family Clothing Stores,Nonelectric cookware and tableware
0381,451120,NEC,BEA,Hobby & Toy & Game Stores,Nonelectric cookware and tableware
0381,452110,NEC,Census,Department Stores (exc Discount) (2002),Nonelectric cookware and tableware
0381,452910,NEC,Census,Warehouse Clubs & Superstores,Nonelectric cookware and tableware
0381,452990,NEC,Census,All Other General Merchandise Stores,Nonelectric cookware and tableware
0381,454100,NEC,Census,Electronic Shopping & Mail-Order Houses,Nonelectric cookware and tableware
0381,454390,NEC,BEA,Other Direct Selling Establishments,Nonelectric cookware and tableware
0384,442299,NEC,BEA,All Other Home Furnishings Stores,Nonelectric cookware and tableware
0384,444110,NEC,Census,Home Centers,Nonelectric cookware and tableware
0384,445110,NEC,BEA,Grocery (except Convenience) Stores,Nonelectric cookware and tableware
