"Code","sumril2004q1","sumril2004q2","sumril2004q3","sumril2004q4","sumril2005q1","sumril2005q2","sumril2005q3","sumril2005q4","sumril2006q1","sumril2006q2","sumril2006q3","sumril2006q4","sumril2007q1","sumril2007q2","sumril2007q3","sumril2007q4","sumril2008q1","sumril2008q2","sumril2008q3","sumril2008q4","sumril2009q1","sumril2009q2","sumril2009q3","sumril2009q4","sumril2010q1","sumril2010q2","sumril2010q3","sumril2010q4","sumril2011q1","sumril2011q2","sumril2011q3","sumril2011q4","sumril2012q1","sumril2012q2","sumril2012q3","sumril2012q4","sumril2013q1","sumril2013q2","sumril2013q3","sumril2013q4","sumril2014q1","sumril2014q2","sumril2014q3","sumril2014q4","sumril2015q1","sumril2015q2","sumril2015q3","sumril2015q4"
"ISP",0,0,0,0,0,235,39,-93,-96,314,-9,0,6,-109,347,204,-577,-8,29,-370,-195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITC",0,0,0,-211,0,-834,487,-510,69,317,-41,151,138,108,-125,148,-536,-7,27,-322,-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JLY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-441,74,-545,665,-46,-12,-501,1804,195,-382,47,-1002,316,-294,570,604,-320,185,-918,884,-25,-555,123,346,1100,-685,544
"JNB",141,199,208,43,-11,147,-13,-17,34,-28,-83,14,102,17,-177,-232,701,228,127,-710,-700,-85,-208,51,-42,-47,-119,14,81,237,-146,-208,-166,-108,-336,9,41,-131,56,-299,-288,-43,274,316,556,-88,63,264
"JRY",-158,-91,115,390,-143,460,-334,85,138,324,-470,301,258,409,670,-336,1124,-61,-446,-626,1128,-566,60,-707,813,-64,-10,-601,2358,223,-464,51,-1190,380,-336,670,733,-363,258,-1087,1033,-22,-650,133,397,1305,-811,636
"LAU",0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDT",0,85,309,-144,0,-694,514,-626,2,427,97,-11,240,-200,-33,213,-740,-10,38,-451,-160,99,112,280,-141,-110,-379,374,-154,-11,-160,-96,-313,-254,-113,225,117,-409,234,-163,32,-664,235,-164,-367,58,-112,236
"LEG",0,0,0,-730,0,0,0,-7,0,0,0,-38,0,0,0,-50,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGR",0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,-76,58,-96,113,-96,43,3,-56,-35,-242,-359,-64,-72,-24,-26,-24,19,63,4,18,31,10
"LIF",152,-13,-63,-521,41,-272,17,39,28,178,-57,-85,62,-38,59,-1177,81,241,11,-335,-9,-33,19,-254,37,54,43,-241,35,33,25,319,-5,33,-21,-258,-15,16,-71,-502,6,-24,-80,99,-10,124,56,-150
"LIG",1,26,-17,-8,0,5,28,5,-43,-18,-188,128,-12,-20,3,-27,78,27,12,88,-2,0,0,0,0,19,92,998,-1043,442,-62,741,-1963,-844,-1035,-1071,169,-66,-62,-772,58,-313,447,-452,-951,930,-109,1223
"LIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,-15,75,31,-25,35,50,-146,76,-14,-16,-8,100,-40,2,104,-248,-5,-327,-160,-35,222,8,266,89,6,-177
"LIQ",2,43,82,-201,1,53,74,-62,-27,73,-47,-75,181,75,-13,-16,205,49,92,94,-157,-322,-26,47,25,-39,44,-147,-84,68,113,-181,28,-102,-186,115,81,114,68,-100,-228,107,-19,132,180,-95,-7,130
"LOC",-408,-132,-261,-608,0,1536,189,-1687,-393,1150,-307,1947,-1116,-132,-607,-58,-2690,-267,-76,-673,-1025,-408,7,460,-671,-302,-1041,1029,-423,-39,-498,-298,-971,-761,-337,672,347,-1043,598,-417,84,-1934,683,-482,-507,97,-299,676
