"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","  Taxes on production and imports","W056RC1",83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.6,808,863.9,934.5,991.9,1034.6,1041.9,1026.1,1057.1,1102.6,1132,1162.4,"1,203.2"
"12","5","  Taxes on corporate income","W025RC1",39.7,34.4,37.7,41.9,49.3,51.8,50.9,64.2,73,83.5,88,84.8,81.1,63.1,77.2,94,96.5,106.5,127.1,137.2,141.5,140.6,133.6,143.1,165.4,186.7,211,223.6,237.1,239.2,248.8,254.7,193.5,181.3,231.8,292,395.9,454.3,420.7,281.1,246,346.3,349.6,422.7,440.2,"....."
"13","6","  Taxes from the rest of the world","W008RC1",0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.7,1,1.1,1.6,1.5,1.4,1.2,1.3,1.9,1.7,2,2.4,2.7,3,2.6,2.6,2.7,3.1,3.9,5.2,5.1,5.7,5.9,7.3,7.7,7.6,9,10,12.1,14.6,15.3,18.8,14.8,15.7,16.7,18,19.2,"19.2"
"14","7","Contributions for government social insurance","W782RC1",44.3,46.6,51.5,59.6,76,85.8,89.9,102,113.9,132.1,153.7,167.2,196.9,210.1,227.2,258.8,282.8,304.9,324.6,363.2,386.9,412.1,432.2,457.1,479.6,510.7,535.5,557.9,590.3,627.8,664.6,709.4,736.9,755.2,783.2,833.6,878,927.2,966.1,993.1,969.4,989,922.2,955.8,1109.9,"1,165.1"
"15","8","Income receipts on assets","W058RC1",7.2,8.4,9.1,9.7,11.8,14.7,16.4,16.7,18.7,23.6,31.3,40.6,51.2,60.1,66.2,75.4,85.7,91.1,86.7,91.4,95.4,98.9,97.3,89.7,87.7,87.1,92.9,100.3,103.6,102.8,106.3,119.5,115.6,100.3,97.3,102.2,115.8,136.1,151.3,139.6,136.3,137.2,135.6,132.3,244.4,"159.0"
"16","9","  Interest and miscellaneous receipts","W059RC1",7.2,8.4,9.1,9.7,11.8,14.7,16.4,16.6,18.7,23.5,31.3,40.5,51.1,60,66,75.2,85.6,90.9,86.6,91.2,95.2,98.7,96.9,89.2,87.1,86.3,92,99,102.1,101.1,104.8,118.2,114.2,98.8,95.6,100.1,113.6,133.8,149,136.4,115.4,117.8,114.2,107.8,109.4,"114.5"
"17","10","    Interest receipts \1\","Y703RC1",6.1,7.1,7.7,8.2,10,12.5,14.1,14.2,16.1,20.7,27.3,34.4,43.3,51.4,57.4,65.4,75.7,81.4,78.2,84,88.2,91,88.6,81,78.8,78.2,84.5,90.2,92.8,92.3,95.7,105.6,99.3,85.7,81,83,94.2,113.5,126.3,110.5,97.2,98.6,92.5,85.3,87.6,"91.5"
"18","11","    Rents and royalties","Y704RC1",1.1,1.2,1.4,1.5,1.8,2.1,2.3,2.4,2.5,2.8,4,6.2,7.7,8.6,8.6,9.9,9.9,9.5,8.4,7.3,7.1,7.6,8.3,8.2,8.3,8.1,7.5,8.7,9.3,8.9,9.2,12.5,14.9,13.1,14.6,17.1,19.4,20.3,22.6,25.9,18.3,19.2,21.7,22.5,21.7,"23.0"
"19","12","  Dividends","W065RC1",NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,1,1.4,1.5,1.6,1.5,1.4,1.4,1.6,1.7,2,2.2,2.3,2.4,3.2,20.9,19.3,21.4,24.5,135,"44.5"
"20","13","Current transfer receipts","W060RC1",2.6,2.7,2.9,3.5,3.6,4.1,4.7,5.5,6.5,7.8,8.9,10.3,11.7,14,16,18.6,22.2,25,26.3,27,31.6,35.3,43.8,49.5,54.2,58.8,57.5,65.7,68,74.2,80.5,90.7,96.8,102.6,108.8,119.3,125,134.9,142.9,153.3,172,171.1,174.7,161.8,180.4,"194.9"
"21","14","  From business (net)","W061RC1",1.5,1.4,1.5,1.7,1.8,2.1,2.2,2.4,3,3.9,4.5,5.4,5.7,6.9,7.9,9.4,11.8,13,13.1,12.2,15.1,17,21.3,23.6,25.6,27.9,24.9,30.7,29.8,34.3,36.5,41.9,43.9,46.2,48.3,52.4,53.4,58.3,62,70.6,88.5,87.2,89.2,71.9,89,"100.2"
"22","15","  From persons","W062RC1",1.1,1.3,1.5,1.8,1.8,2.1,2.5,3,3.5,3.9,4.3,5,6,7.1,8.1,9.2,10.4,12,13.2,14.8,16.5,18.4,22.6,26,28.6,30.9,32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4,60.5,66.9,71.6,76.6,81,82.8,83.5,83.9,85.5,90,91.4,"94.8"
"23","16","Current surplus of government enterprises \2\","A108RC1",0,-1.2,-1.7,-1.2,-2.2,-2.7,-4.4,-2.7,-3.3,-2.8,-3.2,-5.1,-5.2,-3.8,-2.3,-1.4,1.3,2,2.2,5,6.7,3.2,7.8,9.9,10.8,11.8,15.6,16.9,17.5,16.3,16.2,10.7,5.2,7,3.9,-1.8,-6.4,-9.3,-16.4,-21.2,-20.6,-22.9,-24.5,-25.3,-29.6,"-35.0"
"24","17","    Current expenditures","W022RC1",283.5,317.5,352.4,385.9,416.6,468.3,543.5,582.1,630.1,691.8,764.9,879.5,999.7,1109.6,1204.9,1285.4,1391.4,1483.9,1556.6,1645.9,1779,1918.3,2032.3,2216.1,2299.1,2374.6,2490.6,2573.2,2648.8,2713.6,2827.5,2966.7,3169,3358.4,3567.1,3772.7,4034.9,4268.3,4540.8,4840.8,5209.7,5451,5537.6,5612.7,5662.9,"5,813.1"
"25","18","Consumption expenditures","A955RC1",180.9,194.4,210.8,227.6,240.7,267,298.5,316.2,342.6,371.8,405.4,454.9,507.4,553.1,594.6,632,688.6,736.4,776.1,819.8,881.5,948,1004.1,1049.3,1074.2,1109.6,1144.5,1176.5,1224.6,1272.1,1357.6,1444.2,1545.1,1651.4,1755.6,1868.9,1980,2089.8,2209.7,2368.6,2442.1,2522.2,2530.9,2549.7,2547.6,"2,585.3"
"26","19","Current transfer payments","A084RC1",64.1,77.3,92.2,103,115.2,135.9,171.3,184.3,195.9,210.9,236,281.7,318.1,354.7,382.5,395.3,420.4,446.6,464.4,493.6,538.1,592.4,628.9,756.3,804.6,839.9,882.4,929.2,954.6,978.1,1014.8,1070.9,1168.5,1278.6,1354.6,1440.8,1537.7,1634.5,1746.7,1904.7,2166.9,2300.2,2330.3,2374.5,2437.5,"2,534.4"
"27","20","  Government social benefits","W063RC1",59.6,72.5,86.2,95.8,109.8,129.9,165.1,179.8,191.7,205.9,230.1,274.4,311.5,346.5,373.6,384.1,406.7,432.4,451.7,480.4,524.6,578.9,654.5,735.7,782.9,820,867,908.8,937.6,960.1,996.1,1049.2,1150.8,1255.8,1326.7,1410.6,1497.5,1600.6,1705.5,1862.8,2117.5,2250.5,2274.8,2325.7,2391.1,"2,498.8"
"28","21","    To persons","A063RC1",59,71.7,85.4,94.8,108.6,128.6,163.1,177.3,189.1,203.2,227.1,270.8,307.2,342.4,369.9,380.4,402.6,428,447.4,475.9,519.4,572.7,648.2,729.5,776.7,813.1,860.2,901.2,929.8,951.9,987.6,1040.6,1141.3,1246.2,1316.6,1399.9,1486.3,1588.2,1692.2,1847.3,2101.5,2234,2257.7,2307.6,2372.2,"2,479.4"
"29","22","    To the rest of the world \3\","W016RC1",0.6,0.7,0.8,1,1.2,1.3,2,2.5,2.6,2.7,3,3.5,4.3,4.1,3.6,3.7,4,4.4,4.3,4.6,5.1,6.2,6.3,6.2,6.2,6.8,6.8,7.6,7.9,8.2,8.5,8.7,9.4,9.7,10.1,10.7,11.2,12.4,13.3,15.5,16,16.5,17.1,18.1,18.9,"19.4"
"30","23","  Other current transfer payments to the rest of the world (net) \3\","W017RC1",4.5,4.8,6,7.2,5.4,6,6.1,4.5,4.2,5,5.8,7.3,6.7,8.1,8.9,11.2,13.8,14.2,12.7,13.2,13.5,13.5,-25.6,20.6,21.7,19.9,15.4,20.4,17,18,18.6,21.6,17.7,22.8,27.9,30.2,40.2,33.9,41.2,41.9,49.4,49.7,55.6,48.8,46.4,"35.6"
"31","24","Interest payments \1\","A180RC1",34,41,44.6,48.7,55.5,62.2,69.2,76.4,84.5,100.1,114.9,133.1,162.7,186.9,206.5,237,261,276,285.8,303,332,350.9,371.9,380.5,383.7,392.6,428.9,432.3,435.8,427,410,405.8,396.7,387,407.8,416.6,456.2,492.4,529.8,515,542.4,572.7,616.4,630.4,617.7,"636.1"
"32","25","  To persons and business \1\","A204RC1",33.2,40.1,42.9,46.2,51.8,58.1,64.9,72.2,79.2,91.9,104.4,121.3,146.4,168.9,188.4,216.8,238.8,252.7,261.7,274.2,297.4,314.8,335.8,346.3,349.5,356.2,381.9,375.6,366.1,354.9,343.2,341.4,339.6,337.7,360.4,361.7,388.2,406.6,430.7,415,451,477.8,516.3,531.7,510.2,"....."
"33","26","  To the rest of the world","Y712RC1",0.8,0.9,1.8,2.6,3.7,4,4.3,4.3,5.2,8.2,10.6,11.9,16.3,18,18.1,20.2,22.2,23.3,24.1,28.8,34.5,36.1,36.1,34.3,34.2,36.4,47.1,56.8,69.7,72.1,66.7,64.4,57.1,49.3,47.4,54.8,68,85.9,99,100,91.4,94.9,100,98.7,107.5,"....."
"34","27","Subsidies \2\","A107RC1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.5,54.6,52.6,58.3,55.9,60.1,58,60.2,"57.3"
"35","28","    Net government saving","A922RC1",-1,-31.8,-50.2,-40.5,-28,-38.3,-102.5,-77.1,-63.5,-46.4,-36.3,-80.9,-81.7,-169.7,-203.7,-171.4,-175.4,-192.2,-151.1,-140.4,-149.2,-207.4,-271.3,-370.2,-349,-280.7,-272.4,-191,-89.5,18.1,75.9,166.4,-50.8,-391.4,-524.3,-507.6,-371.3,-266.4,-338.4,-799,-1520.8,-1566,-1460.1,-1311.7,-874.3,"....."
"36","29","Social insurance funds","A221RC1",5.9,1.1,-2.8,-0.4,6.2,3.6,-15.8,-15.4,-13.1,-3.2,1.7,-14.5,-13,-33.2,-36.6,-7.9,2.2,7.5,16.7,41.6,45,44.4,27,8.5,7,20,19.7,15.7,30.1,60,94.2,116.3,90.7,51.1,41.1,58.5,55.7,16.4,-1.4,-53.2,-251,-287.7,-266.5,-283.4,-282.9,"-264.5"
"37","30","Other","A391RC1",-6.9,-32.9,-47.5,-40.1,-34.2,-41.9,-86.7,-61.6,-50.4,-43.2,-38,-66.4,-68.7,-136.6,-167.1,-163.5,-177.5,-199.7,-167.7,-181.9,-194.2,-251.7,-298.3,-378.7,-356.1,-300.6,-292.1,-206.7,-119.6,-41.9,-18.4,50.2,-141.6,-442.5,-565.4,-566.1,-427,-282.8,-337,-745.9,-1269.8,-1278.3,-1193.5,-1028.3,-591.4,"....."
"38",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","31","  Total receipts","W066RC1",287.1,290.4,307.9,352.2,395.1,436.3,447.4,512.2,575.9,652.6,736.1,807.4,927.3,950,1009.4,1122.3,1224.9,1301.7,1416.1,1516.7,1642.2,1726.6,1776.6,1861.8,1967.7,2114.2,2238.3,2405.4,2586.3,2764.1,2940.1,3168.8,3155.6,2999.7,3070.8,3295.3,3695.9,4034.8,4233.9,4075.6,3713.9,3904.7,4091.9,4322.6,4814.8,"....."
"40","32","    Current receipts","W021RC1",282.5,285.7,302.1,345.4,388.5,430,440.9,505,566.7,645.4,728.6,798.7,918,939.9,1001.1,1113.9,1216,1291.7,1405.5,1505.5,1629.8,1710.9,1761,1846,1950.1,2094,2218.2,2382.3,2559.3,2731.7,2903.4,3133.1,3118.2,2967,3042.8,3265.1,3663.5,4001.8,4202.4,4041.8,3689,3885,4077.6,4301,4788.6,"....."
"41","33","    Capital transfer receipts","W067RC1",4.6,4.8,5.8,6.8,6.6,6.3,6.4,7.2,9.3,7.2,7.5,8.8,9.3,10.1,8.3,8.4,8.9,10,10.6,11.1,12.4,15.8,15.6,15.8,17.6,20.2,20,23.1,27,32.4,36.7,35.6,37.4,32.6,28,30.3,32.4,32.9,31.5,33.9,24.9,19.7,14.4,21.7,26.2,"26.1"
"42","34","  Total expenditures","W068RC1",308.8,339.7,371,404.3,434.3,487.9,570.9,608.6,656.4,725.8,804.1,923,1041,1151.5,1251.7,1346.4,1473,1572.2,1653.5,1734.5,1867.9,2023.1,2129,2302.9,2374.3,2445.1,2557.4,2649.6,2725.9,2801.5,2942.9,3087.6,3305.3,3523,3755.1,3970.9,4252.2,4464.6,4769,5130.6,5560.9,5723.7,5758.7,5775.1,5772.3,"5,900.7"
"43","35","    Current expenditures","W022RC1",283.5,317.5,352.4,385.9,416.6,468.3,543.5,582.1,630.1,691.8,764.9,879.5,999.7,1109.6,1204.9,1285.4,1391.4,1483.9,1556.6,1645.9,1779,1918.3,2032.3,2216.1,2299.1,2374.6,2490.6,2573.2,2648.8,2713.6,2827.5,2966.7,3169,3358.4,3567.1,3772.7,4034.9,4268.3,4540.8,4840.8,5209.7,5451,5537.6,5612.7,5662.9,"5,813.1"
"44","36","    Gross government investment","A782RC1",59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,136,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320,329.5,341.4,368.5,390.3,413.6,443.6,465.3,488.5,513.6,552.3,592.2,634.6,647,651.8,637.9,619.4,596.3,"589.2"
"45","37","    Capital transfer payments","W069RC1",0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.3,7.4,5.3,0.2,0.8,1.2,0.6,0.2,0.4,0.2,4.5,0.4,0.3,4.2,17.1,21.6,42.3,18.4,25.1,88.2,143.5,69.3,54.4,32.2,13,"12.8"
"46","38","    Net purchases of nonproduced assets","AD07RC1",1.1,0.8,1.2,0.9,-1.5,-3.8,1.5,-0.6,0.1,1.1,-0.9,-1.9,-3.3,-1.5,-2.7,-1.4,1.9,0.7,3.7,4.2,4.1,4.9,6,6,6,6.3,-1.4,1.2,-3,1.6,7.4,8,8.7,10.9,10.5,10.5,8,-3.4,10.3,-6.6,3.4,9.6,8.3,6.8,6.5,"5.5"
"47","39","    Less: Consumption of fixed capital","A264RC1",35.4,38.5,41.2,43.4,46.6,53,58.7,62.7,67.2,72.9,80.4,91,103.1,113.9,121.8,130.8,140.2,150.6,161.6,174.1,186,197.8,208.8,215.6,223.6,231.2,240.2,245,249.9,255.3,264.9,277.7,286.3,294.1,304.9,322.4,346.7,371,399.4,426.5,442.7,458.1,479.6,496,506.4,"519.9"
"48","40","  Net lending or net borrowing (-)","AD01RC1",-21.7,-49.3,-63.1,-52.1,-39.2,-51.6,-123.6,-96.4,-80.5,-73.2,-68,-115.5,-113.7,-201.5,-242.3,-224.1,-248.1,-270.5,-237.4,-217.9,-225.7,-296.5,-352.3,-441.2,-406.5,-330.9,-319.1,-244.3,-139.6,-37.4,-2.8,81.1,-149.7,-523.4,-684.4,-675.5,-556.3,-429.8,-535.1,-1055,-1847.1,-1819,-1666.7,-1452.4,-957.5,"....."
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Prior to 1960, interest payments to persons and business (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","and interest receipts on line 10 are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","included in interest payments (line 24), which is shown net of interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","receipts. Interest payments to persons and business includes interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","accrued on the actuarial liabilities of defined benefit pension plans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","for government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Prior to 1959, subsidies (line 27) and the current surplus of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","enterprises (line 16) are not shown separately; subsidies are presented net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","3. Prior to 1960, government social benefits to the rest of the world are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","included in line 23, ""Other current transfer payments to the rest of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
