"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"29","22","Entertainment, literary, and artistic originals","Y020RA3",26.456,23.189,22.878,24.625,23.566,23.885,23.116,29.371,32.768,32.223,36.969,33.501,40.458,40.777,42.998,47.935,47.705,52.68,51.811,52.336,54.707,56.649,57.246,60.014,63.252,66.604,72.116,77.346,79.616,83.357,85.886,90.975,88.214,92.608,99.564,101.055,109.5,110.661,107.957,102.97,100,111.553,112.25,116.877,119.751
"30","23","  Theatrical movies","Y021RA3",21.702,13.762,15.196,16.636,13.634,12.326,11.762,23.213,21.597,17.286,28.227,22.984,32.503,32.41,34.881,38.436,34.983,43.318,42.554,42.363,48.21,44.655,51.085,46.399,57.191,57.721,68.996,83.093,80.096,86.34,80.039,97.253,92.488,95.209,105.462,106.812,112.544,118.301,115.965,106.688,100,124.47,126.005,129.248,135.854
"31","24","  Long-lived television programs","Y022RA3",15.084,14.441,13.841,15.929,14.925,16.455,15.874,20.739,24.164,25.595,28.075,24.274,32.21,33.332,37.434,40.717,42.528,45.993,41.822,42.607,42.357,45.518,43.575,49.461,47.916,50.504,55.847,61.29,64.347,68.932,72.26,72.997,72.721,81.457,89.848,90.7,106.512,108.317,104.962,99.738,100,110.193,114.881,125.139,129.281
"32","25","  Books","Y023RA3",65.814,66.419,65.146,63.652,66.588,69.548,68.443,67.894,75.96,77.916,75.727,76.245,77.101,76.515,76.5,79.729,80.915,82.491,86.574,89.364,93.698,93.999,93.399,95.641,99.53,100.55,99.747,95.397,102.236,106.448,110.173,110.835,109.147,110.645,110.196,110.952,114.16,109.023,110.655,107.67,100,112.636,108.136,104.92,99.857
"33","26","  Music","Y024RA3",50.166,45.252,40.612,42.776,44.185,40.174,38.443,40.076,50.942,48.082,51.252,50.314,49.266,47.512,41.026,57.933,52.961,57.768,68.104,66.393,73.101,81.864,80.611,87.578,89.54,106.006,103.19,94.22,102.121,97.058,116.501,115.585,105.938,102.918,106.715,111.234,105.862,102.392,97.876,98.679,100,98.191,88.411,87.715,88.251
"34","27","  Other","Y025RA3",42.521,42.475,46.422,45.569,47.383,50.065,50,52.26,55.541,58.642,61.74,65.448,69.591,69.64,71.432,76.932,80.772,86.875,89.213,91.596,86.555,96.911,96.874,99.784,112.437,113.819,116.55,117.106,118.087,117.113,116.909,119.992,119.402,114.499,113.116,115.527,117.192,114.653,109.191,110.225,100,82.32,84.563,84.358,86.471
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Research and development (R&D) asset types are defined by the type of funder.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. R&D investment excludes expenditures for software development. Software development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","expenditures are included in software investment on line 2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4. Includes R&D investment by private universities and colleges. R&D investment by public universities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","and colleges is included in state and local government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
