"","Table 5#5#5U# Private Fixed Investment in Equipment by Type     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227"
"11","3","  Information processing equipment","Y034RC0",3752,3831,3949,4362,4517,4821,4668,4965,4675,5177,5187,5336,5667,5521,5328,5424,5722,6059,6288,6313,6648,6746,6690,7213,7269,7626,8070,8395,8958,9522,9884,10245,9953,10043,9904,10512,10625,10426,10690,10642,11515,12492,13342,13939,14437,14622,13993,14214,13928,14957,15143,15673,16428,16308,16658,17308,18588,19601,20064,21184,21566,21934,23884,24895,24283,23626,23474,23637,24605,26525,28327,30590,31373,33094,34183,36107,37968,41674,43845,45878,48091,48808,51005,53497,56260,57197,60617,61664,65432,67977,70884,74181,76487,73393,74168,72826,77282,81602,84286,91564,93322,99554,103279,108553,105850,107651,104832,108014,108243,110979,110464,114904,110316,110546,114029,113876,116924,120917,121948,123233,126429,131030,133141,132268,132111,129184,127621,129348,125627,127774,130474,132940,134508,140377,147276,146106,148843,149673,157049,157747,161978,164715,167594,173554,181281,189139,187941,195109,200461,202191,207719,208299,211934,218677,230482,230087,238571,240280,237573,243999,250787,262145,266149,259956,279455,293505,298379,303844,291336,269716,253728,248937,241778,237721,237823,229621,233149,234335,243857,252754,249164,253858,254001,255384,258594,259582,265900,266991,281181,279114,285225,283834,300355,300716,300708,311177,307754,305303,290829,261092,248759,246278,260956,268336,271851,273263,277085,284669,275038,279237,279260,277134,284920,280279,274337,283685,283561,286877,289593,285984,280340,297883,292477,302752
"12","4","    Computers and peripheral equipment","B935RC0",5,2,17,56,118,176,215,259,225,260,273,286,293,298,350,447,576,717,806,841,950,947,888,927,1020,1076,1219,1341,1439,1621,1766,1966,1860,1859,1818,1935,1871,1908,1979,1938,2096,2408,2564,2696,3113,2950,2429,2396,2272,2793,2912,3119,3717,3446,3498,3231,3430,3666,3398,3662,3455,3188,4426,4403,4084,3535,3273,3452,3677,4391,4512,5028,5210,5629,5753,6068,6271,7343,7955,8683,9301,9828,10409,11118,10947,11872,13477,13796,15397,15858,17247,20010,20802,18118,18343,18221,21312,23297,25166,25789,27681,30127,32938,35690,33313,35044,32405,34174,33662,34348,32340,33290,34971,35082,36333,36662,36618,37729,38578,38897,40999,43749,44275,43347,40949,38612,36552,38458,36366,36522,37561,40367,40147,44507,45933,45465,47722,46737,49235,48046,50057,51417,52338,55728,59089,65840,67047,72464,72466,71489,73526,73691,76542,80365,84922,83673,87722,88608,86447,88773,94516,99863,99497,95051,97560,104882,105786,104486,99654,89963,79827,80779,82500,79259,80483,76657,76682,75561,78545,82289,79577,80599,81800,83912,79122,78834,79571,82469,85097,85529,88419,86564,89468,85451,86126,89854,90432,89732,82177,72828,72204,73723,76726,84457,84767,83212,79505,77649,72052,77369,79276,76771,80438,78708,73586,80515,77806,75414,76408,80756,71377,75944,77854,77049
"13","5","    Communication equipment","C275RC0",1557,1644,1827,2032,2108,2237,2211,2452,2419,2688,2723,2902,3231,3190,2926,2793,2797,2880,2929,2866,2906,2939,2939,3196,3185,3389,3558,3672,3830,3915,4079,4071,4076,4152,4124,4504,4637,4517,4665,4616,5055,5440,5894,6279,6029,6524,6575,6915,6702,6692,6505,6667,6523,6546,6484,6905,7439,7812,8426,8739,9065,9261,8578,9025,9359,9341,9346,9092,9432,9874,10980,12188,12649,13428,14090,14795,15508,16594,17209,17984,19228,19300,20711,21928,23585,24141,24618,24579,25730,27184,28154,27694,28919,28994,29125,28389,28295,29042,27806,32888,31589,33708,34205,36580,36872,36588,37105,37409,37023,37988,40161,41066,38257,38357,40261,40121,42767,44029,43806,44355,43500,44200,42885,43969,45939,45033,45329,44574,43423,44280,44450,42485,44111,44313,48972,47432,46944,47580,49577,50665,54100,55348,57817,59938,63564,64602,62572,63082,67350,69918,72498,73245,74776,78214,83710,83302,85525,86745,85533,90423,93284,98832,102554,100286,117141,123126,124083,128942,121153,111001,105360,98895,88458,85600,82969,77913,79839,79069,83427,86529,84203,87880,85376,82292,86643,84476,88741,86208,99809,95104,95703,93239,106416,106696,105526,106040,101188,99116,96808,85226,75656,76538,82606,82697,82370,85681,90484,96540,91098,88990,87211,88671,91363,90297,97566,97087,97017,103185,102816,94863,95269,104214,92004,103107
"14","6","    Medical equipment and instruments","W176RC0",223,231,236,253,260,302,292,299,293,319,327,340,346,334,331,360,389,405,431,448,458,464,475,520,503,521,531,528,549,591,619,663,733,817,838,894,854,811,826,885,980,1018,1087,1158,1180,1241,1285,1267,1346,1454,1562,1581,1569,1619,1653,1720,1883,1959,1970,2054,2176,2368,2456,2605,2570,2733,2909,3014,3061,3214,3442,3539,3531,3550,3654,3826,4175,4356,4523,4623,4723,4755,4778,4932,5194,4943,5123,5527,5682,6070,6521,7002,7337,8158,8791,8737,8783,8951,9231,9539,9854,10029,10281,10235,10302,10407,10322,10626,10600,11144,10973,11743,11923,12191,12684,12800,13235,14163,13657,13045,14604,14217,14606,14508,15466,16225,16987,16964,16900,17368,18218,18751,18929,19638,20122,20872,21540,21624,22218,22869,21349,21468,21386,21270,21746,21618,21553,22197,22782,23496,24274,24522,25368,25879,26787,27726,29270,29615,30714,31603,31602,32128,32457,32707,33274,34094,36203,37275,38190,38082,38142,39440,41397,43565,44689,45490,46401,47524,49082,50823,51166,51362,52664,55227,58888,61026,62288,62649,62237,63160,64606,65808,67667,71467,73459,76657,75055,76182,73408,69156,68303,66303,69246,69313,71191,70544,72190,73391,74160,75256,74967,74104,75206,73623,70970,72606,73822,74058,75841,75974,76906,79431,82827,82387
"15","7","      Electro-medical equipment","W878RC0",42,44,49,54,58,68,67,70,68,74,76,81,84,84,84,93,102,109,116,120,125,125,127,134,120,121,123,123,136,154,168,179,205,197,177,166,159,161,159,165,187,205,220,233,231,251,273,287,271,283,319,338,420,441,459,483,482,480,501,565,643,723,747,781,794,924,984,1020,966,963,1033,1166,1067,1233,1458,1569,1570,1599,1625,1667,1737,1720,1723,1715,1747,1561,1589,1712,1721,1892,2159,2490,2926,3102,3126,3112,3163,3299,3458,3823,4210,4243,4363,4347,4254,4292,4373,4517,4612,4752,4439,4635,4617,4396,4695,4731,5076,5570,4965,4241,6006,5584,5448,5182,5594,6007,6529,6141,6321,6357,6608,6558,6721,6986,7018,7351,7190,7234,7522,7944,7095,7326,7506,7429,7649,7598,7555,7619,8084,8620,8960,9131,9912,10232,11028,11317,12166,12314,12683,13050,12497,12735,12906,13120,13367,13303,14918,15578,15909,15396,15109,15627,17772,19308,20527,20453,20344,21166,21722,22561,24198,24129,25697,26462,28467,30059,30800,30691,29169,29192,30285,31694,33140,36711,36957,38883,36233,35427,33335,30082,29364,27501,30189,29889,31344,30478,31489,32532,32199,32656,32564,32505,32953,31785,28984,29291,30037,29689,30292,30470,31152,32905,34876,34473
"16","8","      Medical instruments","W879RC0",182,187,187,199,202,234,225,229,225,245,251,259,263,250,248,268,287,295,315,328,333,339,349,386,383,401,409,405,413,438,451,483,528,620,661,728,695,650,667,721,793,813,868,924,949,990,1012,980,1075,1171,1243,1242,1149,1178,1194,1237,1401,1480,1469,1489,1534,1645,1709,1824,1776,1809,1925,1993,2095,2251,2409,2372,2464,2317,2196,2257,2605,2758,2899,2955,2985,3035,3055,3217,3447,3382,3535,3815,3962,4178,4362,4512,4411,5056,5665,5625,5620,5652,5773,5716,5644,5785,5918,5888,6048,6115,5949,6109,5988,6392,6534,7108,7306,7795,7989,8070,8159,8593,8692,8803,8598,8633,9158,9326,9872,10218,10458,10822,10579,11011,11610,12193,12208,12653,13104,13521,14351,14391,14696,14925,14254,14142,13879,13841,14097,14020,13998,14578,14698,14876,15314,15390,15456,15647,15759,16409,17105,17300,18031,18554,19104,19392,19551,19587,19907,20792,21285,21696,22281,22685,23033,23814,23625,24257,24162,25037,26057,26359,27360,28262,26967,27233,26967,28765,30421,30966,31488,31958,33068,33967,34321,34114,34527,34756,36502,37774,38822,40755,40073,39074,38939,38802,39057,39424,39847,40066,40701,40859,41961,42600,42403,41599,42252,41838,41986,43314,43785,44369,45549,45504,45754,46527,47951,47914
"17","9","    Nonmedical instruments","W177RC0",479,478,462,474,467,525,489,481,461,488,484,483,476,439,423,445,463,464,481,487,480,479,486,536,537,565,582,582,605,639,645,666,657,723,731,776,764,707,714,754,777,772,803,842,893,919,912,845,819,855,900,927,1004,1103,1175,1240,1262,1295,1271,1301,1490,1672,1794,1932,1784,1765,1819,1827,1823,1956,2168,2314,3072,3369,3592,3936,3986,4067,4123,4102,4306,4355,4380,4610,4915,4770,4887,5130,5164,5406,5723,6109,6219,6107,6231,5946,5917,6093,6490,6775,7075,7620,8120,8287,8297,8414,8168,8352,8325,8619,8576,9062,8815,8922,8938,8735,8616,9039,9403,9774,10565,11158,12384,12821,12809,12958,12930,12969,12730,13092,13619,14137,14127,14343,14358,14187,13912,14134,14721,15317,15020,15333,15485,15868,16561,16795,16996,17817,17964,17972,18072,17630,16744,16137,16641,16805,16796,17254,17118,16914,16982,17065,17015,17394,17132,17561,19023,19833,19860,19247,18743,19303,19600,19870,20215,19302,18389,18767,18897,19232,20799,20070,20681,20692,21075,21690,21826,22073,21537,22327,23275,24685,24763,26647,25801,27058,27616,27723,27190,23569,23043,20788,22555,22347,23693,23568,25551,27101,26942,27189,27096,27063,27238,27201,22031,22986,24046,23232,24098,24310,25973,27318,28799,29137
"18","10","    Photocopy and related equipment","C285RC0",236,243,244,265,290,302,293,299,277,308,311,340,352,356,405,455,515,570,658,745,825,914,976,1081,1067,1121,1161,1203,1396,1494,1446,1452,1317,1223,1196,1168,1319,1298,1303,1297,1356,1428,1534,1521,1673,1623,1740,1798,1848,2013,2080,2130,2205,2331,2513,2863,2988,2969,3036,3139,3141,3314,3623,3946,3792,3963,4051,4098,4278,4304,4454,4596,4089,4269,4319,4614,4718,5194,5467,5549,5449,5426,5535,5589,6384,5853,6415,6778,7171,7387,7261,7162,7587,7586,7314,6993,6941,6837,7221,8089,8649,9595,9158,8929,8992,8732,8815,8625,9121,9035,9346,9515,9136,9648,9895,9955,10063,10433,11004,11367,11063,11366,12575,11684,11537,11361,11117,11668,11709,12018,12054,12221,12030,12403,12776,13075,13444,14145,15297,15066,15447,15477,15051,15213,14642,14251,13985,13871,14055,13530,13452,13311,12720,12398,12538,12879,13682,12745,12701,11676,10594,10511,10892,10919,10954,10369,9182,8848,7516,6775,6747,5913,5036,4509,4372,4387,4889,5226,5479,5322,5495,5479,4898,4867,4607,4966,4935,4993,4233,4067,4101,4579,6553,6028,5799,7804,8937,7526,6386,5502,5284,5075,6153,6121,6202,6806,5933,6529,7372,7236,7574,7434,7646,7543,7484,7720,8000,8056,7621,7137,7774,7893,7934,8086
"19","11","    Office and accounting equipment","B936RC0",1252,1233,1163,1282,1274,1279,1168,1175,1000,1114,1069,985,969,904,893,924,982,1023,983,926,1029,1003,926,953,957,954,1019,1069,1139,1262,1329,1427,1310,1269,1197,1235,1180,1185,1203,1152,1251,1426,1460,1443,1549,1365,1052,993,941,1150,1184,1249,1410,1263,1335,1349,1586,1900,1963,2289,2239,2131,3007,2984,2694,2289,2076,2154,2334,2786,2771,2925,2822,2849,2775,2868,3310,4120,4568,4937,5084,5144,5192,5320,5235,5618,6097,5854,6288,6072,5978,6204,5623,4430,4364,4540,6034,7382,8372,8484,8474,8475,8577,8832,8074,8466,8017,8828,9512,9845,9068,10228,7214,6346,5918,5603,5625,5524,5500,5795,5698,6340,6416,5939,5411,4995,4706,4715,4499,4494,4572,4979,5164,5173,5115,5075,5281,5453,6001,5784,6005,5672,5517,5537,5679,6033,5788,5678,5844,5786,5897,5900,5784,5684,5884,5702,5576,5313,5060,4610,3809,3746,3734,3599,3394,3473,4102,4460,4963,4648,4909,4607,4787,4918,5095,5872,6949,8188,8427,8559,7924,8468,8582,8394,8259,8590,8539,8599,8268,8927,9121,8959,5488,4427,3997,3764,4526,5024,4860,4811,4269,3851,3670,3401,3628,3452,3422,3459,3414,3197,3136,3091,3029,2907,2700,2771,2870,2932,2809,2944,3041,3083,3059,2986
"20","12","  Industrial equipment","A680RC0",8403,8294,8407,8992,9234,9935,9339,8993,8397,8685,8735,9386,9404,9529,9182,8895,9385,9833,10288,10599,10828,10885,11502,12520,12732,13332,14161,14496,15061,16117,16519,16903,17266,17077,16410,16925,17332,17095,17058,17628,18349,18799,19511,19545,20296,20281,20523,20035,19235,19126,19401,20072,20009,21019,21930,22681,23671,25444,26661,28318,29323,30405,31232,31674,30544,30935,31726,32110,33291,33805,34262,35124,36848,37775,40415,42733,44284,46855,49293,50488,54135,54875,56195,59415,60259,59837,60107,62765,63986,65062,66247,66645,64590,63914,62375,59799,56892,57264,59828,61535,65361,67301,68943,70949,70446,72612,71896,74919,74659,74397,76304,76301,75889,75644,77336,77977,79058,83443,86210,88016,91709,92828,95235,93529,94326,90976,92417,90852,90594,88940,89238,88484,88758,91020,94282,97784,98896,99970,101685,108375,109448,110993,114864,119171,125276,129099,130964,130502,134310,137112,136303,138358,137861,140475,141406,141931,149316,148249,145543,146315,146403,148352,150518,151231,158626,163002,166242,163774,164713,153332,146776,142696,143609,139871,142039,141411,141157,147126,144069,141136,136799,141419,147090,151531,156762,156677,164116,172102,171661,183695,184618,186332,184775,198516,200797,192351,193936,195861,195663,186137,160856,152196,148511,146706,143678,152451,154589,160918,176504,180648,196623,208143,198934,201023,200916,204598,205714,205374,213577,214522,222711,237189,252592,244004
"21","13","    Fabricated metal products","C263RC0",1029,980,887,900,937,960,907,896,805,912,873,862,864,809,756,743,776,848,916,968,980,977,1024,1095,1129,1170,1239,1290,1364,1418,1449,1413,1412,1411,1364,1433,1591,1642,1741,1842,1939,2017,2150,2366,2494,2513,2643,2658,2543,2649,2911,2969,2883,2901,2919,3161,3466,3625,3707,3914,4170,4309,4630,4771,4725,5089,5614,5884,6092,6281,6052,5963,6180,6203,6137,6384,6453,6910,7196,7669,8068,8045,8371,10596,9083,8585,9080,9976,10071,10086,9950,9425,9416,9691,9707,9378,9226,9149,9067,9138,9109,8689,8434,8504,8552,8586,8788,8578,8287,8098,7874,7641,7379,7255,6891,7003,7461,7915,7964,8493,9058,8931,8921,8933,9015,9192,9272,9209,9044,9168,9588,9694,9503,9611,9624,9658,9467,9429,9101,9399,9745,9896,10096,10410,10621,10754,10815,11159,11837,12390,12363,11949,10786,10423,10541,10444,10592,11131,10856,11023,11104,11286,11649,11933,11873,12047,11964,11903,12028,11899,11970,11624,11100,10968,10424,10195,10929,11804,11998,12491,12363,12140,12683,13096,13460,13833,14985,15405,16441,17085,17620,17915,18644,19928,20496,20046,21358,22456,22548,21626,19020,17674,16825,16372,15826,15999,16289,17039,17833,18858,19902,20612,19930,19059,19862,20029,19474,19001,19280,19294,19189,19791,20668,20388
"22","14","    Engines and turbines","A668RC0",651,647,525,513,525,607,543,549,455,436,426,591,456,427,444,373,407,425,436,424,449,436,422,401,341,451,456,552,490,546,564,584,788,769,750,733,818,906,914,1116,1020,1104,1355,936,1102,1182,1358,1427,1502,1484,1349,1474,1690,1747,1703,1600,1421,1713,1840,1790,1709,1870,1671,2014,1697,1791,1820,1664,1954,1752,1515,1859,1738,1481,1714,2015,1888,1647,2009,1852,1900,2003,1956,1649,2049,1878,1812,1981,2505,2206,2197,2432,2189,2238,1805,1660,1741,1792,1650,1893,1384,1750,2037,2569,2397,2236,2100,1995,2099,1741,1695,1937,1972,2436,2840,2788,2367,2610,2896,3002,3223,3244,3229,3347,2999,3034,3271,3155,3519,4268,4182,3348,3889,3820,3469,3474,3337,3201,3717,3815,3509,4047,3567,4420,3618,3501,3345,2699,3561,3582,4211,4563,4715,2969,4363,2929,5042,4881,3945,3839,4622,5150,5963,6188,8779,6780,6258,6589,11477,10087,11552,10071,13467,11192,10768,10885,10090,11904,10742,8357,5731,4364,4509,5129,5132,4812,5994,7309,5751,6690,8463,8860,7942,11369,15119,11137,9330,12310,12703,14184,8797,11454,10412,9081,5654,7619,7114,7375,7587,7590,12235,14114,11089,10134,8348,6467,9662,9344,6552,6259,7420,9589,10589,10829
"23","15","      Steam engines","BA13RC0",512,494,394,384,403,490,445,414,365,330,324,493,355,322,335,264,289,304,291,288,317,300,275,244,182,290,290,386,294,343,366,373,591,583,548,522,612,697,713,894,809,878,1099,676,862,957,1158,1209,1306,1258,1123,1239,1436,1509,1444,1319,1093,1390,1573,1504,1383,1542,1333,1666,1398,1479,1468,1287,1578,1345,1116,1445,1273,1009,1225,1485,1242,992,1281,1125,1194,1324,1290,1000,1304,1125,1093,1130,1685,1369,1313,1573,1394,1550,1220,1096,1217,1210,1043,1230,615,989,1277,1823,1647,1484,1286,1187,1269,872,870,1109,1204,1735,2087,1982,1436,1591,1828,1999,2110,2210,2265,2434,1962,2139,2406,2161,2540,3182,3079,2293,2843,2746,2358,2389,2258,2104,2612,2607,2350,2781,2271,3128,2244,2153,1921,1242,2081,2104,2732,3072,3059,1254,2662,1194,3437,3338,2351,2134,2600,2946,3614,3953,6732,4687,4353,4522,9257,7819,9240,7704,11440,9045,8594,9094,7939,9618,8561,6127,3531,2141,2181,2810,2621,2232,3249,4360,2697,3556,5205,5417,4889,7879,11090,6932,4969,8415,9368,11342,6193,9343,8292,6848,3530,5380,4551,4358,4517,4082,8577,10598,7214,6515,4817,3002,6141,5892,2940,2636,3335,5222,6042,6089
"24","16","      Internal combustion engines","BA14RC0",139,153,131,129,122,117,98,135,90,106,102,98,101,105,109,109,118,121,145,136,132,136,147,157,159,161,166,166,196,203,198,211,197,186,202,211,206,209,201,222,211,226,256,260,240,225,200,218,196,226,226,235,254,238,259,281,328,323,267,286,326,328,338,348,299,312,352,377,376,407,399,414,465,472,489,530,646,655,728,727,706,679,666,649,745,753,719,851,820,837,884,859,795,688,585,564,524,582,607,663,769,761,760,746,750,752,814,808,830,869,825,828,768,701,753,806,931,1019,1068,1003,1113,1034,965,913,1037,896,865,994,979,1085,1103,1055,1046,1074,1111,1085,1079,1098,1104,1209,1159,1266,1296,1293,1374,1349,1425,1457,1480,1478,1478,1491,1656,1715,1701,1735,1605,1543,1595,1705,2022,2204,2350,2235,2047,2093,1905,2067,2220,2269,2311,2368,2026,2146,2174,1792,2152,2286,2182,2230,2200,2223,2328,2319,2511,2580,2745,2950,3054,3134,3258,3443,3053,3490,4029,4205,4361,3895,3335,2842,2604,2111,2120,2233,2124,2239,2564,3017,3070,3508,3658,3517,3875,3619,3531,3465,3521,3452,3613,3623,4086,4367,4547,4740
"25","17","    Metalworking machinery","C271RC0",1175,1270,1341,1440,1483,1579,1613,1520,1439,1368,1380,1410,1487,1559,1607,1651,1756,1864,1989,2016,1957,1976,2076,2123,2335,2533,2701,2931,3061,3185,3362,3552,3992,4260,4215,4426,4195,3904,3732,3827,3801,3868,4031,4179,4258,4114,3929,3619,3309,3250,3092,2926,3166,3521,3879,4302,4608,4823,4991,5255,5676,5978,6267,6352,6101,5992,5936,6205,6078,6334,6699,6649,6710,7044,7369,7875,8243,9229,9832,10086,10741,11248,11936,12365,13506,13141,12664,13763,13483,13679,14558,14697,13866,12955,11817,10027,9256,8922,9408,9711,10678,11303,11436,11820,11852,12225,12613,13134,13388,13467,13175,12383,12459,12376,12246,12789,13541,13093,14035,14842,15737,17223,16899,16914,15672,16018,16775,15372,15249,15980,16068,15410,16138,16478,17166,17677,18788,18273,18148,19493,20817,20964,23190,24069,25487,26473,26781,26802,26839,26874,27464,28675,29275,30584,29874,29166,30411,30076,29857,29669,28850,28502,29182,30000,29911,29960,30437,29260,28327,26214,24423,22777,22126,22645,23348,23771,22746,23177,22811,22239,22864,22310,24135,23567,24966,25157,26778,27446,28785,27379,27093,27068,27517,28866,28551,28907,28966,29479,29307,26985,23464,20040,19488,19739,20330,19985,20716,20209,21593,25367,27605,31082,31288,32433,32228,32709,33663,34386,35628,35905,36901,35707,36978,37671
"26","18","    Special industry machinery, n.e.c.","C272RC0",1615,1489,1668,1866,1939,2088,1875,1810,1727,1819,1809,2056,2082,2151,2020,1913,1937,1998,2150,2178,2317,2197,2363,2705,2873,3027,3300,3233,3294,3547,3487,3535,3479,3452,3216,3148,3279,3382,3545,3635,3831,3754,3691,3705,3925,3970,3872,3918,3825,3701,3745,3893,3621,3952,4505,4788,4753,4838,4800,4970,5312,5468,5447,5198,5133,5236,5201,5078,5329,5408,5331,6029,5747,5962,6151,6658,7504,7840,8640,8998,9231,9305,9388,9537,9673,10533,10944,10781,11972,10633,10923,11818,11706,11864,11703,12253,11399,12301,12875,12939,13693,14432,14487,15006,14773,16228,15465,16690,16045,16654,17708,18067,19324,18334,18321,18945,19036,20496,21244,22676,23609,23330,24893,22876,23856,22027,22064,22256,23185,20907,20206,20814,20845,20893,22002,23457,22797,22916,24622,26930,26276,25906,26050,27269,29779,30904,32237,31712,33991,34486,31473,31199,30241,32707,33632,34647,35956,34305,33235,33348,34862,35511,34398,34541,34104,39527,42802,42009,38985,35842,32683,33451,32752,29379,30737,30062,30220,32257,28942,25016,25558,28776,29969,30789,30743,30319,30188,32231,29288,36901,34978,33644,33003,37827,35527,34178,34275,32860,32951,32215,28800,26391,23261,22535,22716,26469,24304,25202,35355,33625,38515,37512,35030,37984,40194,43860,42293,40849,47526,46972,51997,63212,71540,62681
"27","19","    General industrial, including materials handling, equipment","C273RC0",2164,2168,2193,2421,2454,2659,2452,2328,2139,2236,2400,2541,2499,2616,2523,2401,2664,2849,2910,3076,3142,3246,3497,3884,3825,3851,4038,3993,4146,4577,4688,4872,4630,4244,4038,4170,4426,4354,4328,4281,4742,4988,5121,5261,5414,5215,5370,5026,4977,5008,5276,5539,5252,5506,5644,5552,5941,6668,7140,7672,7923,8139,8412,8649,8420,8363,8463,8558,8902,9217,9647,9710,10804,11078,12761,13310,13583,14938,15158,15346,17066,16856,17109,17719,17900,18087,17889,18005,17765,19544,19333,19228,18223,18003,18254,17834,16493,16037,17182,17536,19500,19572,20930,21242,21720,21654,21509,22587,23680,23559,24901,24570,22953,22985,24529,23892,24269,26806,27248,25730,26355,26479,27540,27687,28668,26623,27022,27211,26407,25313,25898,25651,24686,26713,28316,29805,31058,32094,31682,33828,33759,34699,36033,36917,38653,40181,40311,40352,40514,41660,42325,43381,43977,44447,43683,45105,47356,47924,47258,47917,46338,46421,46626,45778,49368,50300,49699,48171,49034,45504,44438,43236,43731,45071,46550,46651,47515,47940,49145,51238,48247,50963,52560,55508,58376,57952,60414,62548,63448,65889,65692,67135,65824,67644,68005,65150,67119,66131,65864,62279,54671,51569,52897,53072,53362,55681,57772,59120,63299,64805,67785,71343,71673,71281,70613,70656,71152,72317,74671,76044,76772,79150,82564,82168
"28","20","    Electrical transmission, distribution, and industrial apparatus","C276RC0",1769,1740,1793,1852,1896,2042,1949,1890,1832,1914,1847,1926,2016,1967,1832,1814,1845,1849,1887,1937,1983,2053,2120,2312,2229,2300,2427,2497,2706,2844,2969,2947,2965,2941,2827,3015,3023,2907,2798,2927,3016,3068,3163,3098,3103,3287,3351,3387,3079,3034,3028,3271,3397,3392,3280,3278,3482,3777,4183,4717,4533,4641,4805,4690,4468,4464,4692,4721,4936,4813,5018,4914,5669,6007,6283,6491,6613,6291,6458,6537,7129,7418,7435,7549,8048,7613,7718,8259,8190,8914,9286,9045,9190,9163,9089,8647,8777,9063,9646,10318,10997,11555,11619,11808,11152,11683,11421,11935,11160,10878,10951,11703,11802,12258,12509,12560,12384,12523,12823,13273,13727,13621,13753,13772,14116,14082,14013,13649,13190,13304,13296,13567,13697,13505,13705,13713,13449,14057,14415,14910,15342,15481,15928,16086,17118,17286,17475,17778,17568,18120,18467,18591,18867,19345,19313,19640,19959,19932,20392,20519,20627,21482,22700,22791,24591,24388,25082,25842,24862,23786,21710,21537,20433,20616,20212,19847,19657,20044,20431,21795,22036,22866,23234,23442,24085,24604,25757,27163,27948,29751,30772,31710,31845,32882,33099,32933,32888,32625,32290,28848,26104,25068,25628,25907,25790,26698,28394,31973,30837,30403,30581,33480,29924,30132,29671,30877,29470,29477,29920,30048,30432,29740,30253,30267
"29","21","  Transportation equipment","A681RC0",7563,8396,9094,8038,8992,8647,8688,7709,7413,7687,8025,8978,9291,9647,10117,10100,9486,8991,9313,9938,10173,10554,11321,10259,12870,12833,13342,13814,14720,14736,14248,14368,13340,13965,14660,15099,17211,16625,17711,18968,19393,19136,18969,18058,16758,16535,17081,14603,17653,18280,18169,19549,20961,21248,21023,24165,25197,26928,27079,27036,26758,26786,27409,24164,23963,23856,25849,27003,28346,29007,30168,32435,36855,38357,39283,42613,43087,48364,48262,49574,54114,52482,55354,52606,51703,45633,48128,48075,50469,49995,51999,49761,49515,46818,43885,47066,47193,49349,54767,62734,60397,64428,66083,66724,66421,68924,70504,69967,67352,70913,72222,71392,65569,71215,69966,65511,71850,72439,71507,75647,68937,68895,69437,64402,68716,65852,73212,72055,72990,70311,72862,69958,66806,78142,72759,81151,80893,92476,85913,98421,105236,102381,105123,118190,124631,112905,111593,115183,113499,118243,130353,130509,130799,134352,143068,133906,135148,140692,148530,164214,167660,173079,181472,175227,174617,177059,170879,160585,154051,154925,151077,156814,150103,142613,138178,135369,123081,132453,137747,143144,140610,154497,164875,176655,172643,179443,186223,179925,200043,191403,191115,194482,196836,187590,185380,185567,182296,162347,139008,100966,68573,69121,71032,73540,101455,121406,141616,145498,158224,158868,179281,199217,209798,212907,208472,214604,218031,222941,226473,245209,245340,247770,269025,264251
