"","Table 5#5#5U# Private Fixed Investment in Equipment and Software","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 23, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2004 10:21:13 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8","1","      Private fixed investment in equipment and software","A327RC0",28929,30335,29592,32817,35392,39853,47143,54726,55576,60716,67963,69846,72747,83199,100021,110109,114314,128568,156538,189713,219364,229598,256312,252591,267074,316951,336724,348806,355719,387055,420179,425531,420317,445475,495486,550869,609090,657113,724611,783878,858707,926248,861556,799893,841060
"9","2","Nonresidential equipment and software","B010RC0",28359,29806,29071,32277,34800,39225,46456,54034,54865,59850,66953,68725,71469,81663,98282,108228,112395,126446,154141,186979,216197,226222,252697,248902,262854,312236,331668,343307,349914,380994,414030,419523,414569,439554,489415,544642,602763,650783,718342,777313,851683,918889,854159,792360,833064
"10","3","  Information processing equipment and software","A679RC0",3988,4869,5261,5707,6527,7364,8517,10663,11277,11915,14611,16637,17335,19452,23080,26981,28536,32716,39166,48687,58485,68770,81464,88259,100068,121541,130349,136761,141189,154934,172587,177198,182924,199923,217603,235222,263002,290142,330278,363369,410985,467619,437025,400498,431158
"11","4","    Computers, software, and communication","W175RC0",1799,2571,3111,3603,4035,4463,5291,6683,7255,7852,9897,11554,11825,12865,14863,16762,17651,20225,24883,30732,38590,46589,56164,61768,69783,85992,94490,98084,104006,115873,128601,131494,135084,148076,160901,177448,204200,229020,268859,298589,347860,401669,370122,331722,350809
"12","5","      Computers and peripheral equipment","B935RC0",20,192,261,347,734,927,1163,1698,1869,1925,2440,2722,2774,3472,3539,3868,3586,4403,5666,7563,10163,12522,17128,18871,23891,31609,33734,33410,35762,37956,43093,38643,37704,44014,47935,52385,66110,72793,81375,87213,95974,101442,85377,81410,95310
"13","6","      Software \1\","B985RC0",14,127,167,221,433,541,677,1011,1172,1318,1790,2321,2410,2778,3220,3912,4780,5204,5476,6345,8135,9836,11845,14040,16384,20362,23762,25614,28995,34178,41869,47632,53720,57855,64274,68262,74635,85474,107483,124003,152564,176159,174653,161742,165849
"14","7","      Communication equipment","C275RC0",1765,2252,2683,3035,2868,2995,3451,3974,4214,4609,5667,6511,6641,6615,8104,8982,9285,10618,13741,16824,20292,24231,27191,28857,29508,34021,36994,39060,39249,43739,43639,45219,43660,46207,48692,56801,63455,70753,80001,87373,99322,124068,110092,88570,89650
"15","8","    Medical equipment and instruments","W176RC0",236,288,320,343,418,479,521,605,821,844,1061,1243,1486,1640,1967,2401,2807,3314,3640,4419,4797,5197,6319,8256,9126,10100,10414,11115,12400,13525,14484,16410,17809,19890,22063,21368,21779,23769,26440,30077,31726,34435,37352,39771,46582
"16","9","    Nonmedical instruments","W177RC0",473,490,479,446,474,495,567,639,722,735,798,892,875,1130,1282,1722,1799,2065,3492,4070,4413,4925,5601,6126,6319,7776,8308,8645,8853,9208,11732,12916,13395,14254,14521,15426,17042,17909,16582,16961,16915,17785,18127,17071,19636
"17","10","    Photocopy and related equipment","C285RC0",247,296,309,392,622,949,1138,1447,1226,1304,1460,1708,2018,2478,3033,3506,3976,4408,4323,5232,5500,6358,7245,7370,7272,9083,8791,9254,9659,10717,11672,11421,12000,12571,14488,15297,14187,13587,12634,12540,10437,9638,6695,6968,7326
