"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Gross private domestic investment","A006RC1",17.2,11.4,6.5,1.8,2.3,4.3,7.4,9.4,13,7.9,10.2,14.6,19.4,11.8,7.4,9.2,12.4,33.1,37.1,50.3,39.1,56.5,62.8,57.3,60.4,58.1,73.8,77.7,76.5,70.9,85.7,86.5,86.6,97,103.3,112.2,129.6,144.2,142.7,156.9,173.6
"12","5","Less: Consumption of fixed capital","A024RC1",9.4,9.2,8.6,7.5,7,7.3,7.3,7.5,8.4,8.6,8.6,9,10,11.2,11.5,12,12.5,14.2,17.7,20.8,22.6,24.3,27.7,29.5,31.3,33,35,38.8,42.3,44.9,46.8,48.2,49.8,51.8,54.2,57.3,61.6,67.2,73.3,80.6,89.4
"13","6","Equals: Net private domestic investment","A557RC1",7.8,2.2,-2,-5.6,-4.8,-3,0,1.9,4.6,-0.6,1.6,5.6,9.4,0.5,-4.1,-2.9,-0.1,18.9,19.4,29.5,16.5,32.2,35,27.7,29.1,25.1,38.8,38.9,34.2,26,38.8,38.3,36.8,45.2,49.1,54.9,68.1,77,69.4,76.3,84.1
"14","7","  Fixed investment","A007RC1",15.6,11.7,7.7,4.2,3.7,4.9,6.2,8.2,10.3,8.5,10,12.2,15,9.9,8.1,10.1,13.9,27.1,37.7,44.7,41.8,50.8,52.8,53.8,58.5,60,68.8,73.7,75.7,71.3,81.7,83.2,83.6,90.9,97.7,107.3,120.4,130.6,132.8,147.9,164.4
"15","8","  Less: Consumption of fixed capital","A024RC1",9.4,9.2,8.6,7.5,7,7.3,7.3,7.5,8.4,8.6,8.6,9,10,11.2,11.5,12,12.5,14.2,17.7,20.8,22.6,24.3,27.7,29.5,31.3,33,35,38.8,42.3,44.9,46.8,48.2,49.8,51.8,54.2,57.3,61.6,67.2,73.3,80.6,89.4
"16","9","  Equals: Net fixed investment","A560RC1",6.2,2.4,-0.9,-3.3,-3.4,-2.4,-1.1,0.7,2,-0.1,1.4,3.2,5.1,-1.4,-3.4,-1.9,1.4,12.9,19.9,23.9,19.2,26.4,25.1,24.2,27.1,27,33.8,34.9,33.5,26.4,34.9,35,33.8,39.1,43.5,50.1,58.8,63.4,59.5,67.3,75
"17","10","    Nonresidential","A008RC1",11.6,9.2,5.8,3.3,3,3.8,4.8,6.4,8.2,6.3,6.9,8.5,10.8,7.5,6.6,8.6,12.1,19.2,25.5,28.9,26.9,30,34.2,34.9,38.8,38.6,43.4,49.7,53.1,48.5,53.1,56.4,56.6,61.2,64.8,72.2,85.2,97.2,99.2,107.7,120
"18","11","    Less: Consumption of fixed capital","A753RC1",7.5,7.3,6.8,6.1,5.7,5.8,5.8,6,6.6,6.8,6.8,7.1,7.9,9,9.1,9.4,9.7,11.1,13.8,16.4,17.9,19.3,22.1,23.5,25,26.3,27.8,31.1,34.2,36.6,38,38.9,40.1,41.7,43.6,46.1,49.6,54.2,59.4,65.4,72.4
"19","12","    Equals: Net nonresidential","A593RC1",4.1,1.8,-1.1,-2.8,-2.7,-2,-1,0.4,1.5,-0.5,0.1,1.5,3,-1.5,-2.5,-0.8,2.3,8,11.7,12.5,9.1,10.7,12.1,11.4,13.8,12.3,15.5,18.6,18.9,11.9,15.1,17.5,16.5,19.5,21.2,26.1,35.7,43,39.8,42.3,47.6
"20","13","      Structures","B009RC1",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.3,2.2,1.8,2.4,3.3,7.4,8.1,9.5,9.2,10,12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7
"21","14","      Less: Consumption of fixed capital","B188RC1",2.6,2.5,2.3,2,2,2,2.1,2.1,2.4,2.4,2.3,2.4,2.6,2.9,3.1,3.1,3.2,3.7,4.5,5.2,5.2,5.4,6.2,6.5,6.9,7,7.4,8.3,9,9.1,9.4,9.7,9.9,10.2,10.5,11,11.7,12.6,13.4,14.6,16
"22","15","      Equals: Net structures","A594RC1",2.9,2,0.3,-0.6,-0.9,-0.8,-0.7,-0.2,0.3,-0.2,-0.1,0.2,0.7,-0.6,-1.3,-0.7,0.1,3.7,3.6,4.4,3.9,4.5,5.8,5.7,6.7,6.8,7.8,9.9,10,8.5,8.7,9.9,9.8,10.6,10.7,12.8,16.7,18.8,18.1,19,21.7
"23","16","      Equipment","Y033RC1",5.5,4.2,2.6,1.5,1.4,2.1,2.8,3.9,4.8,3.4,3.9,5.2,6.4,4.1,3.7,5,7.3,9.9,15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.3,29.7,28.9,32.1,34.4,38.7,45.8,53,53.7,58.5,65.2
"24","17","      Less: Consumption of fixed capital","Y080RC1",4.6,4.5,4.2,3.7,3.4,3.4,3.4,3.4,3.8,4,3.9,4.1,4.6,5.3,5.1,5.3,5.4,6.3,7.8,9.6,11,12.1,13.9,14.8,15.7,16.6,17.4,19.4,21.3,23,23.8,23.9,24.4,25.1,26.2,27.6,29.7,32.6,35.9,39.4,43.4
"25","18","      Equals: Net equipment","Y081RC1",0.9,-0.3,-1.5,-2.2,-1.9,-1.3,-0.6,0.4,1,-0.6,-0.1,1,1.8,-1.2,-1.4,-0.3,1.9,3.7,7.5,7.7,4.8,5.7,6,4.9,5.8,4.2,6.4,7,7.3,1.8,4.6,5.8,4.5,6.9,8.1,11,16,20.5,17.8,19.2,21.8
"26","19","      Intellectual property products","Y001RC1",0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.8,1.1,1.2,1.1,1.2,1.4,1.8,2,2.1,2,2.3,2.4,3,3.7,3.9,4.3,5.2,5.6,6,6.6,7.1,8,8.4,9.2,9.8,11.1,12.8,14,15.6,17.2
"27","20","      Less: Consumption of fixed capital","Y083RC1",0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.5,1.6,1.7,1.8,2,2.1,2.4,2.7,3,3.4,3.9,4.4,4.8,5.3,5.8,6.3,6.8,7.5,8.2,9.1,10.1,11.5,13
"28","21","      Equals: Net intellectual property products","Y084RC1",0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.5,0.4,0.2,0.2,0.3,0.6,0.6,0.5,0.4,0.5,0.4,0.8,1.3,1.2,1.3,1.8,1.7,1.6,1.8,1.8,2.2,2.1,2.4,2.3,3,3.7,3.9,4.1,4.2
"29","22","    Residential","A011RC1",4.1,2.5,1.9,0.9,0.7,1,1.4,1.8,2.2,2.2,3.2,3.6,4.2,2.4,1.6,1.5,1.8,8,12.2,15.8,14.8,20.7,18.7,18.9,19.7,21.4,25.4,24,22.6,22.8,28.6,26.9,27,29.6,32.9,35.1,35.2,33.4,33.6,40.2,44.4
"30","23","    Less: Consumption of fixed capital","A754RC1",1.9,1.9,1.7,1.4,1.3,1.5,1.5,1.6,1.7,1.8,1.8,1.9,2.1,2.3,2.4,2.6,2.8,3.1,3.9,4.5,4.7,5,5.7,6.1,6.4,6.7,7.2,7.7,8.1,8.4,8.8,9.3,9.7,10.1,10.5,11.2,12,13,13.9,15.2,17.1
"31","24","    Equals: Net residential","A748RC1",2.2,0.6,0.2,-0.5,-0.6,-0.5,-0.1,0.3,0.4,0.5,1.3,1.8,2.1,0.1,-0.9,-1.1,-1,4.8,8.3,11.4,10.1,15.7,13,12.8,13.3,14.7,18.2,16.3,14.6,14.5,19.8,17.6,17.3,19.5,22.3,23.9,23.2,20.4,19.7,25,27.3
"32","25","  Change in private inventories","A014RC1",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,4,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2
"33","26","Gross government investment \1\","A782RC1",2.9,3.3,3.1,2.3,2,2.7,2.9,4.2,3.9,4.3,4.6,4.4,10.8,29,39.9,38.1,25.3,4.7,5.7,8.5,11.3,11.5,19.6,24.6,26.7,25.4,24.4,27.1,30.2,32.6,35.9,36,39.9,42.6,44.4,46.4,47.9,53.6,57.7,59.2,59.5
"34","27","Less: Consumption of fixed capital","A264RC1",1,1,0.9,0.9,1,1.1,1.1,1.3,1.4,1.5,1.5,1.6,2.1,3.6,6.5,9.3,10.7,11.5,11.5,10.6,9.7,9.1,10,11.1,12.1,13,13.9,15.3,16.7,17.5,18.6,19.7,20.8,22.3,23.8,25.1,26.4,28.1,30.2,32.7,35.4
"35","28","Equals: Net government investment","A889RC1",1.9,2.3,2.1,1.4,1.1,1.6,1.7,3,2.5,2.8,3.1,2.8,8.7,25.3,33.4,28.8,14.6,-6.8,-5.8,-2.1,1.6,2.4,9.6,13.5,14.5,12.4,10.5,11.8,13.6,15.1,17.2,16.3,19.1,20.3,20.6,21.3,21.4,25.4,27.5,26.5,24.1
"36","29","    Federal","A890RC1",0,0.1,0.2,0.3,0.5,0.6,0.9,1,0.9,0.9,0.7,1.1,7.7,25.2,34,29.5,15.2,-6.9,-6.8,-4,-1.7,-1.4,5.1,8.9,9.4,6,3.5,4.1,4.9,5.5,7.5,6.8,8.6,9.4,8.4,7.9,6.7,9.1,9.5,7,4.9
"37","30","      National defense","B891RC1",-0.1,-0.1,0,0,0,0,0,0.1,0.2,0.1,0.1,0.6,6.9,24.5,33.5,29.4,15.2,-6.7,-6.9,-4.6,-2.7,-2.6,4,7.8,8.5,5.4,3.1,3.3,3.7,4,5.9,4.5,5.9,5.7,3.2,1.6,-0.4,1.2,2.9,0.5,-0.9
"38","31","      Nondefense","B892RC1",0.1,0.2,0.2,0.3,0.5,0.6,1,0.8,0.8,0.7,0.6,0.5,0.8,0.7,0.5,0.2,0,-0.2,0.1,0.6,1,1.2,1.1,1.2,0.9,0.6,0.3,0.8,1.2,1.6,1.6,2.3,2.7,3.6,5.1,6.3,7.1,7.9,6.6,6.5,5.8
"39","32","    State and local","A893RC1",1.9,2.2,1.9,1.1,0.6,0.9,0.8,2,1.6,2,2.4,1.7,1,0.1,-0.6,-0.7,-0.6,0.1,1,1.9,3.2,3.7,4.4,4.6,5.1,6.3,7,7.8,8.7,9.6,9.7,9.6,10.4,10.9,12.2,13.3,14.7,16.4,17.9,19.5,19.2
"40","33","  Structures","A760RC1",2.6,2.9,2.7,1.9,1.7,2.3,2.3,3.7,3.3,3.6,3.9,3.7,6.3,12.1,7,3.3,2.5,1.7,3,4.6,6.3,7,9.5,11.1,11.7,12.1,12,13.4,14.9,16.5,16.9,16.6,18,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29
"41","34","  Less: Consumption of fixed capital","A894RC1",0.7,0.7,0.7,0.6,0.7,0.8,0.8,0.9,1,1,1,1.1,1.3,1.7,2,2,2,2.3,2.7,3,3,2.9,3.5,3.7,3.8,3.9,4.1,4.6,5,5.2,5.4,5.5,5.7,6.1,6.4,6.8,7.2,7.8,8.4,9.2,10.2
"42","35","  Equals: Net structures","A895RC1",1.9,2.2,2.1,1.4,1,1.5,1.5,2.8,2.4,2.6,2.9,2.6,5,10.5,5,1.3,0.5,-0.6,0.3,1.6,3.3,4,6,7.4,7.8,8.2,7.9,8.8,9.9,11.3,11.5,11.1,12.3,12.6,13.5,14.3,15.7,17.3,18,19.4,18.8
"43","36","      Federal","A896RC1",0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.8,0.8,0.7,0.6,1,3.9,10.3,5.6,1.9,1.1,-0.7,-0.6,-0.1,0.3,0.4,1.8,3,2.9,2.1,1.2,1.3,1.6,2.1,2.1,2,2.3,2.1,1.9,1.7,1.7,1.8,1,0.7,0.6
"44","37","        National defense","B897RC1",0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0.5,3.4,10,5.3,1.9,1.1,-0.4,-0.7,-0.5,-0.5,-0.4,1,2.2,2.2,1.6,0.9,0.8,0.9,1.1,1.1,0.8,0.9,0.5,0.1,-0.3,-0.4,-0.3,-0.5,-0.5,-0.4
"45","38","        Nondefense","B898RC1",0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.7,0.6,0.6,0.5,0.4,0.5,0.3,0.3,0,0,-0.2,0.1,0.4,0.8,0.8,0.8,0.8,0.7,0.6,0.3,0.5,0.7,1,1,1.2,1.4,1.6,1.7,1.9,2.1,2.1,1.4,1.3,1
"46","39","      State and local","B899RC1",1.8,2.1,1.9,1.1,0.6,0.9,0.8,2,1.6,1.9,2.3,1.7,1.1,0.2,-0.5,-0.6,-0.5,0.1,0.9,1.8,3.1,3.6,4.2,4.4,4.9,6.1,6.8,7.5,8.3,9.2,9.4,9.1,10,10.5,11.6,12.6,14,15.5,17.1,18.6,18.2
"47","40","  Equipment","Y054RC1",0.3,0.2,0.3,0.2,0.2,0.3,0.5,0.4,0.5,0.5,0.6,0.6,4.2,16.4,32,33.3,21.2,1.6,1.3,2.3,3.2,2.6,7.9,11.1,12.3,10.2,8.8,8.9,9.5,9.7,12,11.6,13.1,14.1,12.8,12.4,11.2,13.1,15,13.6,12.9
"48","41","  Less: Consumption of fixed capital","Y085RC1",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.7,1.8,4.2,6.8,8,8.4,7.7,6.5,5.5,4.9,5,5.7,6.4,7.1,7.5,8,8.4,8.5,8.8,9.2,9.5,10.1,10.7,10.9,11.1,11.5,12.2,12.9,13.4
"49","42","  Equals: Net equipment","Y086RC1",0,0,0,0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.2,3.5,14.5,27.7,26.5,13.2,-6.8,-6.5,-4.2,-2.3,-2.2,3,5.5,5.9,3.1,1.2,0.9,1.1,1.2,3.2,2.4,3.5,4,2.1,1.5,0.1,1.6,2.9,0.8,-0.6
"50","43","      Federal","Y087RC1",-0.1,0,0,-0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,3.5,14.6,27.8,26.5,13.3,-6.8,-6.6,-4.4,-2.4,-2.4,2.8,5.3,5.7,2.9,1.1,0.6,0.7,0.9,2.9,2,3.2,3.6,1.6,0.9,-0.5,0.9,2.2,0.1,-1.3
"51","44","        National defense","Y088RC1",-0.1,-0.1,0,-0.1,0,0,0,0,0,0,0,0.1,3.3,14.3,27.7,26.5,13.4,-6.8,-6.5,-4.4,-2.5,-2.4,2.7,5.1,5.6,2.9,1.1,0.7,0.7,1,2.9,2,3.1,3.5,1.5,0.7,-0.7,0.7,2,0,-1.4
"52","45","        Nondefense","Y089RC1",0,0,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.1,0,-0.1,0,0,0,0,0,0.1,0.2,0.1,0,0,0,0,-0.1,0,0,0.1,0.1,0.1,0.3,0.2,0.3,0.2,0.1,0.1
"53","46","      State and local","Y090RC1",0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,-0.1,-0.1,-0.1,-0.1,0,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
"54","47","  Intellectual property products","Y055RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.6,1.5,1.4,1.4,1.6,1.7,1.9,2.1,2.4,2.7,3,3.6,4.8,5.9,6.4,7,7.8,8.8,9.9,11.7,12.9,13.8,15.4,16.2,17,17.7
"55","48","  Less: Consumption of fixed capital","Y091RC1",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.7,0.8,1,1.1,1.2,1.3,1.5,1.7,1.8,2,2.3,2.7,3.3,3.9,4.4,5,5.5,6.1,6.7,7.5,8.1,8.8,9.6,10.7,11.8
"56","49","  Equals: Net intellectual property products","Y092RC1",0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.2,0.3,0.6,1,0.8,0.6,0.4,0.5,0.5,0.6,0.6,0.7,0.8,1,1.3,2.1,2.6,2.6,2.6,2.9,3.3,3.8,5,5.5,5.7,6.6,6.5,6.4,5.9
"57","50","      Federal","Y093RC1",0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0.3,0.6,1,0.8,0.6,0.4,0.5,0.5,0.6,0.6,0.7,0.8,1,1.2,2.1,2.6,2.5,2.5,2.8,3.2,3.7,4.9,5.3,5.6,6.4,6.4,6.2,5.7
"58","51","        National defense","Y094RC1",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.5,0.9,0.8,0.5,0.4,0.4,0.3,0.2,0.3,0.5,0.7,0.9,1.1,1.8,2.1,1.9,1.9,1.8,1.9,1.7,1.6,1.2,0.7,0.9,1.5,1,0.9
"59","52","        Nondefense","Y095RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0.1,0.2,0.3,0.3,0.2,0.1,0.1,0.1,0.3,0.5,0.6,0.6,1,1.3,2,3.3,4.1,4.8,5.5,4.9,5.2,4.8
"60","53","      State and local","Y096RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","54","  Gross domestic fixed investment","W172RC1",18.5,14.9,10.7,6.4,5.7,7.5,9.1,12.5,14.2,12.8,14.6,16.6,25.8,38.8,48,48.3,39.2,31.8,43.4,53.2,53.1,62.2,72.4,78.4,85.1,85.4,93.1,100.9,106,103.9,117.6,119.2,123.5,133.5,142.1,153.7,168.3,184.1,190.5,207.1,223.9
"63","55","  Less: Consumption of fixed capital","A262RC1",10.4,10.2,9.5,8.3,8,8.4,8.5,8.8,9.7,10,10.1,10.6,12.1,14.9,18,21.4,23.2,25.8,29.2,31.4,32.3,33.4,37.8,40.6,43.5,46,48.9,54.1,58.9,62.4,65.4,67.9,70.6,74.1,78,82.4,88,95.3,103.5,113.3,124.9
"64","56","  Equals: Net domestic fixed investment","W173RC1",8.2,4.7,1.3,-1.9,-2.3,-0.9,0.6,3.7,4.5,2.8,4.5,6.1,13.8,23.9,30,26.9,16,6.1,14.2,21.8,20.8,28.8,34.7,37.8,41.6,39.4,44.2,46.7,47,41.5,52.2,51.4,52.9,59.4,64.1,71.3,80.3,88.8,87,93.8,99.1
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Gross government investment consists of general government and government enterprise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","expenditures for fixed assets; change in inventories is included in government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
