"","Table 5#8#9A# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"11","3","Nonfarm","A373RD3",26.839,26.979,27.249,27.545,27.863,28.08,28.291,28.493,28.784,29.013,29.113,29.189,29.456,29.681,29.904,30.185,31.075,32.042,32.664,33.709,35.333,37.397,39.566,40.647,40.906,41.153,41.744,42.028,42.484,43.121,43.784,44.258,45.162,45.599,45.922,46.623,47.583,48.749,49.659,50.815,52.586,54.425,56.317,58.216,61.028,62.114,63.956,65.468,67.284,68.226,68.835,68.939,69.613,69.82,70.007,70.206,70.072,70.468,71.417,71.762,72.635,73.182,73.285,73.333,73.246,73.086,72.757,73.146,72.015,71.709,71.71,71.866,72.223,73.021,73.653,74.372,75.022,76.066,76.879,77.591,78.731,79.026,78.946,79.302,79.434,79.344,80.808,81.203,80.347,79.851,79.804,79.928,79.801,80.289,80.512,80.443,80.647,80.891,80.856,81.119,81.3,81.853,82.507,83.26,84.502,85.155,85.107,85.249,85.232,85.21,85.235,85.307,84.919,84.157,83.783,83.503
"12","4","    Durable goods","A374RD3",31.334,31.333,31.634,32.032,32.325,32.648,32.889,33.224,33.534,33.832,34.099,34.202,34.526,34.75,34.902,34.946,35.656,36.314,36.582,37.42,38.926,41.65,43.724,44.965,45.717,45.988,46.442,47.061,47.7,48.349,49.254,49.885,50.609,51.243,52.01,52.652,53.774,55.112,56.364,57.696,59.645,61.313,62.873,64.92,67.529,68.436,70.114,71.856,73.239,74.351,75.506,76.232,77.389,77.571,77.991,78.404,78.762,79.262,80.21,80.824,81.952,82.795,83.284,83.689,83.943,83.821,83.63,83.943,84.001,84.283,84.759,84.634,84.322,84.874,85.704,86.684,87.619,88.505,89.433,90.309,91.176,91.187,91.356,91.286,91.192,91.304,91.783,92.052,92.077,91.555,91.266,91.505,91.427,91.586,91.72,91.702,92.072,92.44,92.702,93.029,93.354,93.948,94.594,95.322,96.266,96.51,96.208,95.936,95.29,95.21,95.207,94.948,94.358,93.464,92.718,98.506
"13","5","    Nondurable goods","A375RD3",22.538,22.815,23.057,23.253,23.596,23.711,23.893,23.967,24.241,24.405,24.346,24.397,24.61,24.835,25.123,25.626,26.687,27.956,28.941,30.208,31.971,33.378,35.665,36.589,36.332,36.557,37.302,37.242,37.516,38.144,38.566,38.881,39.98,40.216,40.088,40.855,41.658,42.656,43.219,44.203,45.808,47.864,50.159,51.926,55.02,56.321,58.37,59.661,61.976,62.748,62.776,62.215,62.393,62.63,62.577,62.556,61.921,62.216,63.172,63.248,63.872,64.124,63.834,63.512,63.072,62.871,62.399,62.871,60.541,59.654,59.196,59.637,60.647,61.689,62.132,62.597,62.971,64.175,64.879,65.434,66.862,67.45,67.114,67.905,68.27,67.974,70.46,70.989,69.242,68.772,68.968,68.986,68.811,69.611,69.917,69.799,69.848,69.977,69.668,69.87,69.916,70.429,71.09,71.868,73.398,74.448,74.646,75.196,75.799,75.835,75.889,76.295,75.973,75.371,75.368,84.238
"14","6","  Manufacturing","A376RD3",28.512,28.66,29.036,29.29,29.604,29.843,30.073,30.214,30.522,30.759,30.925,30.943,31.249,31.476,31.717,31.83,32.684,33.598,34.262,35.258,37.304,40.066,42.611,43.895,44.143,44.19,44.764,44.914,45.444,46.107,46.852,47.229,48.086,48.599,49.02,49.676,50.768,51.812,52.766,54.021,55.981,58.033,60.081,61.967,64.73,65.972,67.745,69.382,71.164,72.142,72.859,73.067,74.183,74.185,74.189,74.407,73.944,74.238,75.357,75.557,76.559,77.236,77.513,77.523,77.341,76.892,76.418,76.341,74.885,74.254,74.296,74.214,74.255,74.894,75.679,76.761,77.621,78.872,79.735,80.421,81.633,81.586,81.255,81.266,81.117,80.789,82.334,82.323,81.193,80.27,79.713,79.514,79.264,79.463,79.415,79.109,79.134,79.208,78.931,78.897,79.063,79.65,80.317,81.428,82.902,83.301,83.1,82.633,81.858,81.727,81.553,81.521,80.772,80.276,79.849,79.615
"15","7","    Durable goods","A377RD3",33.611,33.688,34.101,34.496,34.856,35.237,35.492,35.744,36.026,36.345,36.68,36.721,37.124,37.339,37.498,37.473,38.303,39.112,39.458,40.449,42.287,45.769,48.137,49.321,49.926,50.139,50.528,51.128,51.828,52.593,53.532,54.089,54.877,55.589,56.381,56.943,58.286,59.545,60.852,62.366,64.815,66.913,68.789,70.934,73.94,74.865,76.538,78.363,79.94,81.223,82.561,83.034,84.983,84.908,85.129,85.598,85.537,85.872,86.979,87.35,88.583,89.506,90.11,90.451,90.511,89.876,89.519,89.239,88.727,88.355,88.44,88.023,87.336,87.625,88.612,89.965,90.944,92.002,92.965,93.79,94.759,94.507,94.485,93.899,93.451,93.416,93.595,93.568,93.27,92.142,91.357,91.238,91.024,90.724,90.448,90.138,90.009,90.056,89.868,89.8,90.169,90.322,90.723,91.324,92.242,92.026,91.414,90.623,89.414,89.205,88.778,88.513,87.976,87.155,86.521,86.105
"16","8","    Nondurable goods","A378RD3",21.938,22.178,22.508,22.577,22.833,22.889,23.086,23.084,23.424,23.554,23.509,23.499,23.681,23.92,24.258,24.539,25.418,26.465,27.551,28.567,30.925,32.739,35.549,36.983,36.748,36.569,37.406,36.964,37.276,37.807,38.305,38.453,39.397,39.656,39.607,40.378,41.152,41.921,42.418,43.34,44.66,46.673,48.994,50.548,53.028,54.739,56.691,58.101,60.209,60.777,60.632,60.471,60.454,60.564,60.269,60.152,59.148,59.39,60.531,60.51,61.213,61.569,61.41,60.971,60.45,60.253,59.61,59.811,57.073,56.099,56.096,56.464,57.45,58.544,59.072,59.805,60.515,62.023,62.757,63.266,64.812,65.042,64.291,65.103,65.354,64.631,68.021,68.032,65.799,65.145,64.886,64.591,64.295,65.111,65.34,65.041,65.248,65.354,64.973,64.982,64.898,66.009,66.997,68.726,70.884,72.045,72.359,72.308,72.084,72.053,72.206,72.475,71.451,71.385,71.24,71.25
"17","9","  Wholesale trade","A379RD3",23.31,23.409,23.547,23.835,24.147,24.328,24.526,24.802,25.104,25.384,25.367,25.474,25.804,26.034,26.214,26.73,27.677,28.838,30.026,31.216,32.746,34.051,36.162,36.907,37.052,37.345,38.059,38.346,38.834,39.342,39.711,40.069,40.905,41.09,41.125,42.055,42.942,43.981,44.817,45.875,47.421,49.173,51.033,52.799,55.218,56.356,58.269,59.998,61.936,62.778,63.059,62.272,62.55,62.549,62.704,62.699,62.97,63.672,64.808,65.348,66.203,66.799,66.712,66.851,66.903,67.08,66.843,67.727,67.136,67.444,67.332,67.612,68.217,69.226,69.853,70.531,71.298,72.571,73.589,74.256,75.381,75.725,75.788,76.382,76.781,76.86,78.189,78.593,78.073,77.685,77.947,78.26,78.281,78.797,78.892,78.759,79.263,79.245,79.579,80.319,80.652,81.255,82.013,82.93,84.342,85.207,85.393,85.822,86.089,85.986,86.276,85.594,85.21,84.33,83.933,83.386
"18","10","    Durable goods","A380RD3",25.678,25.658,25.93,26.366,26.712,26.964,27.125,27.426,27.714,28.033,28.327,28.456,28.814,29.011,29.17,29.321,30.06,30.464,30.764,31.554,32.825,34.898,36.729,37.977,38.769,38.996,39.463,40.041,40.69,41.132,41.923,42.498,43.196,43.732,44.474,45.141,46.061,47.06,48.287,49.439,50.818,51.931,53.354,55.005,57.022,57.796,59.299,61.163,62.574,63.422,64.463,65.424,65.91,66.143,66.784,67.016,67.817,68.528,69.413,70.35,71.481,72.5,73.005,73.671,74.082,74.584,74.8,75.734,76.676,77.946,79.134,78.921,79.073,79.688,80.539,81.261,82.234,82.953,83.937,84.798,85.677,85.932,86.363,86.774,87.281,87.503,88.219,88.577,88.859,88.643,88.545,88.984,88.931,89.333,89.572,89.621,90.348,90.64,91.106,91.666,92.213,92.99,93.793,94.692,95.819,96.356,96.157,96.057,95.888,95.784,96.256,95.941,95.34,94.572,93.882,93.141
"19","11","    Nondurable goods","A381RD3",20.745,20.993,20.968,21.076,21.351,21.448,21.693,21.942,22.264,22.501,22.107,22.188,22.489,22.764,22.973,23.968,25.197,27.398,29.861,31.642,33.576,33.858,36.418,36.451,35.645,36.047,37.151,37.018,37.28,37.9,37.654,37.7,38.762,38.44,37.448,38.785,39.652,40.788,41.056,42.011,43.869,46.678,49.286,51.291,54.427,56.173,58.788,60.385,63.236,64.118,63.192,59.563,59.53,59.155,58.528,58.161,57.632,58.341,59.886,59.855,60.32,60.304,59.33,58.683,58.207,57.916,57.022,57.859,55.121,54.108,52.215,53.183,54.408,55.969,56.299,56.921,57.423,59.446,60.519,60.94,62.407,62.875,62.442,63.283,63.546,63.44,65.571,66.035,64.506,63.909,64.617,64.785,64.892,65.54,65.461,65.114,65.349,64.971,65.146,66.087,66.163,66.552,67.249,68.18,69.931,71.198,71.858,72.95,73.776,73.679,73.739,72.577,72.837,72.016,71.902,71.674
"20","12","      Merchant wholesalers","A802RD3",22.89,23.041,23.205,23.503,23.836,24.058,24.311,24.594,24.903,25.199,25.142,25.266,25.589,25.823,26.012,26.573,27.508,28.758,30.158,31.365,32.738,33.899,36.001,36.699,36.753,36.968,37.723,37.99,38.52,39.059,39.392,39.672,40.499,40.576,40.516,41.513,42.385,43.384,44.198,45.246,46.623,48.168,49.616,51.117,53.142,54.091,55.984,57.497,58.892,59.635,59.928,60.385,60.714,60.808,60.915,60.93,61.37,62.067,63.248,63.823,64.661,65.317,65.245,65.374,65.475,65.648,65.393,66.307,66.305,66.862,66.714,66.935,67.441,68.492,69.108,69.831,70.715,72.067,73.226,73.83,74.881,75.174,75.314,75.859,76.304,76.536,77.377,77.718,77.657,77.342,77.59,77.943,78.024,78.481,78.566,78.474,78.969,79.006,79.462,80.379,80.735,81.277,82,83.02,84.505,85.405,85.68,86.158,86.431,86.251,86.487,85.601,85.376,84.617,84.197,83.698
"21","13","        Durable goods","A803RD3",24.313,24.308,24.564,24.97,25.306,25.566,25.728,26.007,26.283,26.598,26.871,26.997,27.333,27.526,27.694,27.853,28.596,29.001,29.326,30.087,31.321,33.295,35.07,36.282,37.074,37.309,37.774,38.306,38.924,39.357,40.137,40.721,41.408,41.937,42.626,43.255,44.146,45.129,46.33,47.437,48.778,49.886,51.277,52.874,54.845,55.588,57.062,58.833,60.168,60.989,61.977,63.062,63.513,63.743,64.395,64.609,65.29,65.887,66.715,67.611,68.762,69.775,70.264,70.944,71.37,71.874,72.074,73.08,74.112,75.423,76.612,76.293,76.532,77.204,78.117,78.796,79.799,80.521,81.564,82.41,83.312,83.607,84.063,84.55,85.08,85.328,86.056,86.44,86.777,86.617,86.554,87.034,86.964,87.438,87.708,87.762,88.496,88.819,89.323,89.904,90.487,91.316,92.152,93.115,94.293,94.852,94.68,94.624,94.541,94.403,94.93,94.604,94.054,93.338,92.701,92.007
"22","14","        Nondurable goods","A804RD3",21.453,21.83,21.865,22.015,22.352,22.527,22.914,23.21,23.571,23.849,23.322,23.447,23.759,24.063,24.288,25.473,26.72,29.342,32.575,34.56,36.202,36.066,38.775,38.591,37.324,37.513,38.813,38.619,39.008,39.757,39.299,39.052,40.145,39.441,38.089,39.748,40.615,41.673,41.834,42.811,44.302,46.657,48.254,49.641,51.825,53.174,55.861,56.97,58.528,59.168,58.198,57.538,57.665,57.52,56.646,56.323,56.372,57.252,59.04,59.108,59.451,59.535,58.534,57.757,57.329,56.98,56.014,56.802,55.251,54.691,52.569,53.589,54.486,56.098,56.28,57.065,57.784,60.027,61.35,61.616,62.879,63.172,62.858,63.485,63.81,64.018,65.01,65.292,64.701,64.191,64.839,65.031,65.299,65.728,65.576,65.302,65.492,65.177,65.565,66.874,66.942,67.113,67.679,68.752,70.603,71.928,72.777,73.949,74.699,74.47,74.316,72.675,72.896,72.08,71.964,71.737
