"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"12","4","Equals: Gross domestic purchases","A712RX1",4806.1,4815.8,4848.9,4816.3,4805,4806.9,4849.9,4801.3,4926.2,4974.1,5007.8,5026.8,5127.3,5243.2,5281,5370,5494.5,5530.3,5488.7,5523.2,5456.8,5472,5435.5,5398.3,5284.8,5307.4,5434.8,5505.4,5659.2,5716.3,5750.9,5805,5903.1,6010.4,6104.7,6127.5,6173.2,6363.4,6426.8,6499.5,6510,6519.6,6537,6532.6,6537.9,6344.9,6289.5,6443.1,6591.7,6541.2,6622.1,6560.1,6459.1,6481.1,6509.8,6517.9,6607.7,6798.9,6969,7130.8,7311.3,7452.8,7531,7599.9,7656.2,7760.5,7878.8,7949.4,8003.6,8065.3,8153,8179.5,8229.7,8316.2,8380.1,8511.1,8517.6,8597.9,8653.3,8770.8,8839.8,8879.3,8935.3,8958.4,9049.9,9072.8,9065.2,8956.3,8899.5,8954,9001.7,9041.3,9138.4,9253.6,9339,9450.3,9486.5,9551.8,9613.4,9751.4,9860.8,10001.6,10054.5,10175.9,10215.9,10247.7,10292.6,10364.7,10457.8,10647.9,10776.4,10844.4,10958.7,11118.7,11279.6,11397.3,11554.3,11710.2,11885.3,12078.4,12224.1,12353.1,12526,12745.2,12828.1,13077.6,13121.5,13204.2,13158.3,13216.8,13204.1,13254.7,13395,13485.8,13565.8,13626.9,13676.9,13827.5,14040.6,14208.9,14306.3,14469.3,14607.3,14743.7,14896.9,14969.6,15093,15201.6,15369.1,15412.5,15446.7,15498.3,15519.1,15614.2,15662.1,15631.7,15533,15527.2,15427,15112.4,14827.8,14722.7,14785,14921.2,15013.6,15218.4,15347.9,15399.8,15351.6,15448.3,15479.5,15656.1,15757.6,15818.1,15830.2,15811.3,15883.9,15935.9,16043.9,16141.9,16160.3,16346.6,16498.9,16617.2,16720.8,16809
"13","5","Plus: Exports of goods and services, command basis \1\","C020RX1",212.1,256.7,250.5,261.8,260.2,273.2,269.1,269,273.8,270.3,277,253.2,283.8,275.7,290.6,306.2,333.4,358.4,373.7,404.5,427.5,451.2,437.9,459.1,465.2,443.6,427.6,447.2,445.7,450.5,460,465.5,455.2,466.5,460.7,440.3,451.8,501.5,506.4,533.6,539.4,549.2,568.2,600.7,619.1,624.5,626.6,627.3,638.5,633.4,611.2,605.2,575.1,572,535.5,502.7,509.8,510,515.4,527.9,534.1,546.2,548.7,550.8,540.7,534.1,518.6,529,539.9,542.4,548.5,569.7,567.6,594.8,617.5,646,684.3,711.2,727,740.9,762.1,787.8,786.4,789.9,814.7,819.6,824.4,833.7,835.8,857.7,866.6,882.8,892.6,888,901.3,898.6,897,904.7,897.9,921.7,930.6,960.5,994.9,1018.7,1043.4,1060.9,1100,1106,1111.7,1122.4,1118.5,1169.9,1183.8,1227.7,1249.9,1239,1232.8,1211.1,1192.4,1228.5,1218,1225.6,1256.9,1285,1301.8,1343.2,1373.9,1354.4,1323.9,1267.4,1198,1147.1,1163.3,1196.7,1208.2,1185,1179.1,1179,1207.3,1261.5,1302.4,1326.5,1331.7,1364.8,1400.2,1424.3,1419.6,1455.2,1510.1,1546.8,1553.8,1618.8,1639.3,1673.9,1729.4,1793.8,1827.4,1915.8,1901.2,1704.7,1524.9,1527,1595.8,1702.2,1735.3,1791,1840.3,1930.1,1975.3,2029.1,2052.6,2046,2060.9,2083.6,2085.7,2080.1,2084.7,2090.8,2106.8,2152.9,2123.3,2163.4,2159.3,2149.5,2073.5,2087.6
"14","6","Less: Imports of goods and services, command basis \1\","C021RX1",211.3,250.8,245.9,246.3,244.6,248.9,252,255.1,254.6,271.1,277.4,260.1,298.4,293.2,301.3,318.5,338.9,348.8,349,370.9,404.1,460.9,462,459,411,373.6,389.2,403.9,431.3,452,472.3,485.2,516.9,527.4,519.1,522.9,558,562.5,569.3,576.2,585.7,604.4,624.1,664.2,701.7,658.8,614.6,641.6,668.3,661.2,626.5,634.5,607.1,580.5,592.2,558.8,556.1,595,636.2,659.4,707.3,734.7,735.1,743.1,702,735.1,722.5,760.1,757,764.2,786.3,796.9,805.9,840.8,859,885.5,886.9,883.7,886.1,911.9,920.7,924.8,902.3,916.7,948.7,923,935.7,949.8,904.6,891.4,897,915.9,921.9,934.5,955.6,964.7,974.6,992.2,992.2,1022.5,1040.7,1083.6,1125.6,1155.6,1184,1206.3,1198.5,1197.9,1228.1,1244.8,1267.1,1284.9,1324.1,1337.3,1374.2,1388.7,1405.9,1418.6,1415,1455.6,1482.2,1534.8,1603.1,1654.5,1737.4,1785.2,1848.3,1842.9,1796.7,1699.2,1637.9,1575,1611.8,1690.9,1718.7,1753.1,1763.9,1762.9,1786.2,1851.2,1926.3,2014.5,2048.1,2126.1,2147.4,2179.2,2211.7,2300.1,2338.2,2372.9,2399.5,2372.8,2394.9,2429,2459.2,2505.7,2589.6,2673.5,2665.8,2305.6,1920.1,1869.7,2001.2,2140.3,2219,2307.6,2366.8,2423,2521.8,2593.9,2600.9,2617.6,2644.8,2633.8,2590.9,2579.7,2580.1,2584,2583.5,2582.9,2611.7,2650.8,2630,2648.2,2580.2,2565
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RX1",4802.2,4814.9,4845.7,4825.8,4816.1,4824.3,4860.2,4809.1,4939.2,4965.6,5000.4,5013,5101.5,5214.9,5262.2,5357.1,5482.1,5526.6,5502.2,5559.7,5475.4,5464.9,5406,5388.1,5329.5,5369.7,5465.4,5540.9,5663.4,5705.2,5729.7,5781.7,5838,5936.2,6023.6,6051.2,6062.5,6292.9,6350.1,6447.4,6451.2,6454,6476.8,6467,6448.1,6304,6295.2,6419.3,6546.2,6504.2,6592.9,6521.6,6421.7,6465.1,6447.4,6457.7,6554.5,6706.9,6841.2,6993,7133.5,7256.5,7335.7,7402.1,7486.8,7555.3,7665.8,7712.3,7780.8,7840.1,7906.7,7940.1,7990.3,8070.2,8137.5,8274.4,8318.7,8427.1,8493.5,8594.3,8682.4,8742.1,8818.3,8833.1,8916.6,8970.3,8954,8838.6,8829.6,8920.1,8972.2,9010.2,9108.5,9206.9,9285.4,9383.4,9404.9,9460.9,9524.4,9651.9,9748.8,9877.1,9926.3,10040,10073.2,10099.5,10196.2,10276.5,10348.1,10532.6,10616.8,10727.4,10830.3,11000,11153.4,11244.5,11380.1,11499.4,11660.8,11855.2,11966.9,12040.9,12177.8,12369.5,12389,12634.1,12646.8,12716,12684.8,12784.9,12764.8,12825.8,12949,12988.8,13053.1,13059.1,13091.4,13242.6,13462.1,13616.6,13681.1,13783.7,13887.8,13979.8,14147.5,14213.3,14300.8,14356.8,14543.3,14586.1,14600.6,14742.8,14762.9,14856.1,14931.4,14921.5,14772.2,14777.4,14670,14512.6,14434.6,14380.6,14378.2,14481.1,14530.6,14699.9,14819.4,14905,14803.7,14879.7,14930.8,15085.1,15173.7,15269.9,15319.5,15311.5,15392.9,15442.7,15563.5,15706,15669.6,15857,16027.5,16116.4,16212.2,16330.3
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1",53.5,54.9,56.6,57.7,58.8,59.4,58.2,54,57.7,60.3,59.1,61.9,62.8,64.7,67.9,70.3,80.5,87.4,96.6,98.6,108.7,108,105.3,96.9,88.6,86,89.6,95.9,97.4,99.1,98.7,99.2,104.8,106.5,108.2,105.9,116.6,114.7,122.4,139.5,146.8,159.4,178.1,185.1,192.7,179.3,164.8,167.9,179.2,184.3,193.9,192.1,192.9,208,194.3,183.8,176.7,184.9,195,202.1,209.4,222.7,228.5,218,199,200.8,191.9,196.8,200.7,193,186.9,182.8,189.6,203.2,209.1,219.9,237.7,237,245.9,258.9,269.3,279.2,275.8,277.3,278.1,277,274.3,297,272.4,243.9,233.1,225.5,221,222.8,209.9,206.5,211.8,213.9,217.1,217.7,226,239.3,257.8,276.2,295.4,307.7,304.1,311.6,315.3,312.5,319.8,336.7,348.3,364,367.1,359.5,371.1,374.9,359.7,358.3,374,391.8,414.5,434.8,448.8,474.6,463.5,487.7,436.2,406.2,372.2,349.5,358.2,372.9,390.6,375.5,389.5,402.3,414,446.4,480.6,494.8,515.5,543.4,594.6,607.1,633.6,670.9,705.3,760.5,781.7,807.9,832.9,895.3,934.3,933.5,912.5,897.4,866.1,743.8,638.2,624.3,654.6,678.2,689.5,703,709.1,734.9,743.3,761.5,777.2,767.3,769.2,744.9,759.8,756.3,753.9,771.6,775.2,778.4,775,780.8,795.6,784,750.5,NA
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1",22.9,25.6,28.7,29.8,30.1,29.5,28.8,27.3,25.5,26.1,28.4,29.4,29,31.3,31.6,34.1,38.2,42.1,43.5,44.8,46.2,49.6,52.5,52,51.1,48.2,48.1,45.8,48.5,48,46.8,45.9,44,46.7,48.9,53.5,55.9,64.2,67.1,75.6,81.4,86.2,90.5,98.6,105.1,98.6,89,106.7,113.6,122.7,127.8,117.3,122.3,128.6,127.2,119.2,112.5,116.1,124.8,129,141.8,154.8,161.4,158.7,153.6,152.2,152.7,152.5,162.5,166.3,155.8,162.4,165.4,172.8,179.6,187.5,196.9,200.1,213.6,222.9,234.1,245.6,238.3,230.1,233.5,229.5,234,222.9,214.8,202.5,196.8,177.8,174.2,177.3,168.7,164.1,158.8,170.3,166.1,188.2,187.4,207,227.9,247.7,254.5,263.3,278.1,270.4,265.3,273.4,285,294.9,317.4,323.6,336.5,337.6,337.5,345.1,346.4,341.7,346,357.3,383.7,391.8,410.7,433.1,427.8,422,387.3,346.5,340,241.5,297,334.2,335.2,300.5,331.1,327.9,339.9,342.1,356.2,399.9,409.3,466.5,481,506.6,522.8,592.2,624.9,686.2,721.8,737.1,761.8,801.9,782.5,735.4,731,713.4,666.3,623,509.3,499.3,475.2,507.6,488,500.3,512.5,524.3,521.7,539.1,532.4,507.5,530.6,525.7,536,539.6,546.9,540.7,529.7,529,536.2,544.8,546.8,541.9,541.5,NA
"18","10","Equals: Command-basis gross national product \1,3\","CB22RX1",4832.8,4844.2,4873.6,4853.7,4844.8,4854.3,4889.6,4835.8,4971.4,4999.8,5031.1,5045.5,5135.3,5248.2,5298.5,5393.4,5524.5,5571.9,5555.4,5613.5,5537.9,5523.3,5458.9,5432.9,5367,5407.5,5506.8,5591,5712.3,5756.3,5781.6,5835.1,5898.8,5996,6082.8,6103.6,6123.1,6343.4,6405.4,6511.3,6516.6,6527.2,6564.3,6553.4,6535.7,6384.6,6371,6480.4,6611.8,6565.8,6659,6596.4,6492.3,6544.5,6514.5,6522.3,6618.7,6775.7,6911.4,7066,7201.1,7324.3,7402.8,7461.4,7532.2,7603.8,7705.1,7756.6,7819,7866.7,7937.8,7960.5,8014.5,8100.6,8167,8306.8,8359.6,8464,8525.8,8630.3,8717.6,8775.7,8855.8,8880.3,8961.2,9017.7,8994.3,8912.6,8887.2,8961.6,9008.5,9057.9,9155.2,9252.3,9326.6,9425.9,9457.9,9504.5,9575.5,9681.4,9787.4,9909.4,9956.3,10068.5,10114.2,10143.9,10222.2,10317.7,10398.2,10571.7,10651.6,10769.2,10861.1,11040.5,11184,11266.4,11413.6,11529.2,11674,11871.8,11994.8,12075.4,12208.5,12412.5,12427,12675.7,12682.5,12781.7,12733.7,12844.7,12797,12933.9,13010.2,13027.5,13108.4,13134.1,13149.8,13317,13536.2,13720.9,13805.4,13878.6,13994,14056.7,14261.1,14313.8,14411.6,14435.4,14623.7,14660.5,14660.5,14813.6,14834.1,14949.4,15083.3,15119.5,14953.7,14961.5,14869.8,14633.3,14563.5,14505.7,14557.6,14651.8,14732.1,14902.7,15015.9,15115.6,15025.3,15102.1,15175.6,15344.9,15412.3,15489.1,15543.2,15528.2,15599.8,15673.7,15809.1,15955.5,15908.4,16093.1,16276.2,16358.6,16421.2,NA
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RX1",4376.1,4381.8,4406.4,4378.8,4362.1,4364.3,4395.4,4336.9,4466.4,4488.5,4519,4526.9,4612.6,4723.3,4764.5,4854.2,4974.3,5011.3,4977.6,5029,4934,4915.9,4848,4822.8,4756.3,4792.2,4885.9,4958.7,5080.4,5117.4,5136.1,5182.7,5233,5326.7,5408.5,5427.9,5430,5659.8,5708.6,5798.8,5790.9,5782.1,5794.5,5773.3,5742.9,5582.5,5563.5,5683.1,5806.2,5752.9,5835.4,5750.7,5635.6,5670.7,5642.9,5644.8,5737.6,5887.2,6017.2,6164.2,6298.8,6413.8,6482.1,6535.7,6606.9,6661.9,6760.9,6794.3,6851.1,6897.8,6952,6971.6,7008.4,7076.4,7131.7,7259.1,7291.7,7390.1,7445.2,7535.6,7612.8,7660.9,7725.9,7728.2,7801,7844,7816.1,7687.4,7668.5,7751.7,7795.8,7825.8,7917.8,8009.2,8079.8,8169.7,8181,8227.1,8280.6,8399.1,8486,8604.1,8640.9,8742.5,8761.5,8773.1,8856.1,8922.2,8979.2,9150,9218,9311.8,9397.3,9549.2,9683,9752.2,9864.8,9961.5,10101.6,10275.9,10367.1,10413.8,10517.2,10669.2,10691.3,10896.5,10874.7,10919.3,10867.4,10951.9,10916.3,10962.3,11068.5,11092.5,11140.8,11131.7,11150.6,11288.5,11493.9,11632,11677.9,11763.8,11849.5,11921.6,12068.7,12114.7,12181.6,12216.2,12381.7,12402.3,12395.4,12516.1,12515.2,12589.3,12646.7,12620,12455.7,12445.6,12323.2,12152,12067.1,12011.2,12009.4,12113.3,12158.8,12322.1,12434.8,12513.4,12404.9,12473.8,12516.3,12659.9,12737.6,12819.3,12855.9,12835.6,12904.1,12940.4,13047.5,13175.7,13125.8,13299.4,13454.4,13527.9,13609,13713.4
"21","12","  Net domestic product","A362RX1",4265.2,4273.6,4296.9,4268.7,4253.6,4256.1,4293.3,4237.3,4362.5,4385.8,4419.8,4429.5,4514.8,4628,4669.1,4749.3,4873.8,4928,4889.1,4933.2,4878.6,4886.2,4824.9,4796.2,4723.3,4759.8,4845.7,4916,5039.3,5077.1,5100.3,5137.2,5198.4,5308.4,5408.3,5399.6,5411.8,5646.3,5699.6,5776.9,5778.4,5774.8,5811.7,5818.1,5829.3,5680.6,5660.5,5774.4,5905.8,5845.5,5914.4,5822.5,5696.4,5723.1,5689.1,5687,5767.6,5915,6042.4,6178.8,6311.8,6429.3,6489.4,6534.8,6594.5,6649.3,6755.2,6799.8,6859.6,6882.2,6949.1,6976.6,7019,7097.2,7158.9,7284.1,7318.9,7419.2,7456.1,7558.6,7634.5,7691.5,7745.5,7751.6,7838.1,7861.5,7852.3,7763.2,7710.6,7771.7,7806.5,7837.7,7938.1,8031.8,8113.8,8198.9,8206.1,8252.3,8288.2,8406.4,8491,8614.2,8660.3,8761.1,8781.3,8802.1,8874.9,8933,8985.7,9152.7,9234,9329.6,9393.3,9538.7,9658.8,9723,9810.7,9897.9,10026,10195.8,10269.2,10340,10457.2,10627.7,10667.4,10860.1,10840,10886.2,10829.9,10881.4,10825.9,10845.8,10945.4,11000,11046.7,11039.7,11092.9,11200.6,11406.4,11546.1,11604.9,11688,11794.3,11894.3,12022.7,12076.8,12175.4,12236.2,12388.1,12409.4,12400.9,12494.5,12482.1,12575.2,12656.9,12693,12575.2,12633.3,12545.6,12217.4,12008.3,11986.3,12033.2,12173.5,12232.1,12366.9,12459.5,12545.8,12480.5,12581.3,12604.2,12762.7,12852.4,12909.4,12914.9,12905.7,12965.7,12995.6,13096.3,13229.2,13179.3,13341.9,13494,13561.3,13573,13651.9
"22","13","  Command-basis net national product \4\","C027RX1",4407.8,4412.2,4435.4,4407.7,4391.9,4395.3,4425.8,4364.6,4499.7,4523.9,4550.9,4560.5,4647.6,4757.8,4802.1,4891.8,5018.1,5058.2,5032.6,5084.7,4998.7,4976.4,4902.7,4869.3,4795.2,4831.5,4929.1,5010.8,5131.2,5170.6,5190.1,5238.2,5296.3,5388.9,5470.3,5482.4,5493.2,5712.4,5766.3,5865.4,5859.1,5858.4,5885.7,5863.4,5834.1,5666.4,5642.4,5746.8,5874.5,5817.1,5904.3,5828.6,5709.2,5753.6,5712.8,5712.1,5804.3,5958.6,6090,6240.1,6368.8,6484.1,6551.5,6597,6653.9,6712.1,6801.5,6840.1,6890.5,6925.3,6984.1,6992.6,7033.4,7107.7,7162.1,7292.6,7333.7,7428.1,7478.5,7572.6,7649,7695.4,7764.5,7776.6,7846.9,7892.7,7857.4,7763.3,7727.4,7794.1,7832.9,7874.6,7965.5,8055.6,8121.8,8212.9,8234.9,8271.5,8332.6,8429.1,8525.2,8637,8671.4,8771.5,8803.2,8818.3,8882.6,8964.2,9030.1,9189.7,9253.3,9354.2,9428.6,9590.3,9714.1,9774.4,9898.8,9991.7,10115,10292.6,10395.4,10448.7,10548.3,10712.6,10729.8,10938.5,10910.7,10985.5,10916.7,11012.1,10948.8,11071.3,11130.1,11131.4,11196.5,11207.2,11209.2,11363.2,11568.3,11736.7,11802.5,11859,11956,11998.7,12182.7,12215.6,12292.8,12295.2,12462.5,12477,12455.6,12587.3,12586.7,12683,12799.1,12818.6,12637.6,12629.9,12523.1,12273,12196.3,12136.3,12188.6,12283.7,12359.9,12524.2,12630.7,12723.3,12625.7,12695.2,12760,12918.5,12975.1,13037.5,13078.6,13051.1,13110,13170.3,13292.1,13424.2,13363.8,13534.6,13702.3,13769.3,13817.4,NA
"23","14","  Net national product","A027RX1",4304.8,4311.9,4333.9,4305.6,4291.3,4294.8,4331.6,4272.8,4403.6,4428.9,4459.4,4470.9,4557.9,4670.7,4714.9,4795,4925.6,4982.8,4951.8,4996.4,4951.6,4955.6,4888.5,4851.8,4770.8,4807.6,4897.1,4976.3,5098.1,5138.1,5161.8,5200.1,5269.5,5378.3,5477.7,5461.8,5483,5706.9,5765.1,5851.4,5854.6,5859.4,5911.7,5917.4,5930.3,5774.2,5749,5847.6,5983.6,5919,5992.2,5909.2,5778.6,5814.6,5767.6,5762.7,5842.7,5994.7,6123.6,6263,6390.3,6508.3,6567.8,6605.4,6651,6708.4,6805,6854.7,6908.6,6918.8,6989.5,7005.7,7051.2,7135.5,7196,7324.3,7367.9,7464.2,7496.2,7602.4,7677.2,7732.4,7790.2,7805.9,7889.7,7915.4,7898.3,7843.3,7772.9,7817.1,7846.4,7889.3,7988.9,8081.6,8159.4,8246,8263.8,8300.5,8344.2,8440.5,8534.7,8651.6,8695.1,8794.3,8826.8,8850.8,8904.7,8978.3,9039.9,9195.8,9272.7,9375.4,9428.1,9583.2,9693.3,9748.7,9848,9931.3,10042.5,10215.5,10300.1,10377.4,10490.9,10673.8,10708.7,10905.2,10879.3,10955.6,10882.2,10944.5,10861.2,10957,11009.7,11041.8,11105.2,11117.8,11154.3,11278,11483.5,11653.4,11732.2,11786.1,11903.7,11974.3,12139.3,12180.4,12289.3,12317.8,12471.6,12486.8,12463.9,12568.4,12556.2,12671.6,12812.1,12894.8,12760.3,12820.6,12748.5,12340,12137.5,12111.4,12212.5,12344.2,12417.3,12553.8,12640.3,12740.5,12685.6,12786.7,12832,13005.4,13073.8,13111.3,13121.5,13105.3,13155.6,13209.1,13324.2,13461.3,13401.3,13561.2,13726.1,13787.4,13767,NA
"24",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Trading gains index \5\","W368RG3",102.562,102.548,102.583,102.571,102.508,102.552,102.408,102.371,102.395,102.387,102.293,102.247,102.315,102.212,102.144,102.145,102.137,101.929,101.996,101.849,101.282,100.684,100.719,100.878,100.992,100.94,101.068,101.1,101.092,101.061,100.967,101.032,100.836,100.726,100.588,100.556,100.576,100.574,100.571,100.69,100.595,100.484,100.026,99.584,99.057,98.842,98.85,99.008,98.999,98.988,99.264,99.279,99.367,99.528,99.585,99.623,99.852,99.892,99.934,100.076,100.074,100.085,100.206,100.264,100.446,100.392,100.363,100.179,100.138,100.411,100.319,100.269,100.063,99.927,99.867,99.853,99.816,99.823,100.062,99.981,99.919,99.837,99.972,99.899,99.762,99.974,99.776,99.357,99.716,99.95,100.041,100.015,99.954,99.927,99.8,99.869,99.945,99.94,100.032,100.077,100.134,100.078,99.948,99.975,99.994,99.914,99.967,100.028,100.039,100.072,100.119,100.02,100.087,100.338,100.392,100.443,100.64,100.737,100.818,100.793,100.81,100.681,100.557,100.431,100.27,100.346,100.321,100.299,100.361,100.603,100.76,100.972,100.978,100.782,100.785,100.757,100.496,100.704,100.684,100.706,100.581,100.529,100.443,100.259,100.366,100.275,100.065,99.906,99.969,99.988,99.994,100.192,100.255,100.137,99.956,99.526,99.196,98.696,98.446,99.541,100.398,100.171,99.843,99.592,99.479,99.691,99.826,99.77,99.488,99.292,99.4,99.304,99.233,99.386,99.638,99.529,99.556,99.63,99.698,99.686,99.663,99.735,99.748,99.796,100.228,100.376
"26","16","    Terms of trade index \6\","W369RG3",148.773,148.38,149.328,148.908,147.224,148.4,144.552,143.641,144.189,144.043,141.642,140.427,142.172,139.674,137.984,138.051,137.906,133.573,134.883,131.819,121.711,112.94,113.483,115.576,116.976,116.332,118.626,119.167,118.952,118.438,117.031,117.913,115.217,113.772,111.73,111.129,111.438,111.514,111.486,113.158,112.112,110.909,105.627,100.888,95.864,93.779,93.8,95.307,95.242,95.09,97.789,97.898,98.776,100.464,100.943,101.13,103.738,104.113,104.495,106.192,106.008,106.097,106.92,107.087,108.519,107.623,106.843,104.541,103.8,106.547,105.212,104.741,102.495,101.342,100.62,100.717,100.458,100.758,103.115,102.097,101.447,100.496,101.635,100.789,99.352,101.327,99.375,95.51,98.767,100.986,101.823,101.535,100.894,100.6,99.326,99.949,100.674,100.6,101.431,101.8,102.317,101.763,100.554,100.803,101.045,100.398,100.779,101.221,101.237,101.441,101.717,100.721,101.218,103.306,103.73,104.09,105.65,106.377,106.886,106.53,106.521,105.343,104.292,103.3,102.075,102.724,102.493,102.226,102.478,104.037,105.107,106.55,106.409,104.779,104.909,104.57,102.618,104.253,103.99,104.231,103.384,103.198,102.516,101.319,102.396,101.771,100.263,99.174,99.593,99.929,100.191,101.383,101.708,101.102,100.024,97.614,95.858,93.613,92.459,97.344,102.746,101.108,98.927,97.468,96.886,98.459,99.31,99.333,97.954,97.059,97.679,96.857,96.481,97.343,98.724,98.057,98.208,98.477,98.83,98.686,98.611,98.951,98.917,98.887,101.161,101.994
"27","17","      Terms of trade, goods \7\","W370RG3",166.873,165.751,167.11,166.145,165.222,167.046,160.656,158.952,160.886,161.086,157.652,156.848,155.136,151.638,149.605,150.614,152.02,147.827,150.823,147.29,133.83,122.602,123.35,126.594,128.538,127.644,130.621,131.546,130.698,129.759,128.017,129.249,125.917,124.005,121.282,120.44,120.787,121.076,121.431,123.947,123.076,121.825,115.289,109.294,103.227,100.357,100.573,102.305,101.876,101.359,104.47,104.526,105.411,106.7,106.348,106.134,108.94,109.307,109.681,111.955,112.153,111.964,111.8,110.83,112.051,111.328,110.509,107.936,107.469,111.122,109.522,109.077,105.79,104.602,103.864,104.358,104.613,105.357,108.37,106.916,105.604,104.058,105.243,104.175,102.354,105.121,102.642,97.821,101.802,104.077,104.84,104.398,103.613,103.148,101.799,102.063,102.811,102.723,103.496,103.886,104.604,103.851,102.692,103.18,103.282,102.851,103.321,103.673,103.342,103.642,103.73,102.194,102.784,105.138,105.398,105.558,106.999,107.946,108.498,108.265,108.243,106.901,105.775,104.6,102.752,103.229,102.77,102.408,102.756,104.59,105.918,107.618,107.541,105.696,106.183,105.67,103.453,106.153,105.607,105.913,104.874,104.81,103.996,102.472,102.817,102.174,100.223,98.743,99.252,99.735,100.059,101.631,101.762,101.213,100.019,97.215,95.19,93.255,91.824,96.705,102.975,101.467,98.79,97.096,96.332,98.199,99.284,99.781,98.125,97.113,97.627,96.385,95.849,96.691,98.411,97.482,97.516,97.631,97.912,97.689,97.611,97.805,97.471,97.02,99.248,100.175
