"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 26, 2010    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2010 2:09:04 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Government consumption expenditures and gross investment","A822RC1",9.4,10,9.9,8.7,8.7,10.5,10.9,13.1,12.8,13.8,14.8,15,26.5,62.7,94.8,105.3,93,39.6,36.3,40.5,46.6,46.7,68.1,83.6,90.5,86.1,86.4,91.4,99.7,106,110,111.5,119.5,130.1,136.4,143.2,151.4,171.6,192.5,209.3,221.4,233.7,246.4,263.4,281.7,317.9,357.7,383,414.1,453.6,500.7,566.1,627.5,680.4,733.4,796.9,878.9,949.3,999.4,1038.9,1100.6,1181.7,1236.1,1273.5,1294.8,1329.8,1374,1421,1474.4,1526.1,1631.3,1731,1846.4,1983.3,2112.6,2232.8,2369.9,2518.4,2676.5,2883.2,2930.7
"9","2","      Consumption expenditures \1\","A955RC1",6.5,6.8,6.9,6.6,6.7,7.8,8.1,9,9,9.6,10.3,10.7,15.7,34.2,55.8,68.7,68.9,36.1,31.7,33.5,36.9,36.9,50.4,61.3,66.5,63.6,65.5,68.5,75.3,79.5,80.7,83.3,88.2,96.8,102.7,108.6,115.9,131.8,149.5,165.7,178.2,190.1,204.7,220.8,234.8,261.7,294.6,316.6,346.6,376.5,412.3,465.9,520.6,568.1,610.5,657.6,720.1,776.1,815.1,852.8,902.9,966,1015.8,1050.4,1075.4,1108.9,1141.4,1176.7,1222.1,1263.2,1343.9,1426.6,1524.4,1639.9,1756.8,1860.4,1977.9,2093.3,2214.9,2386.9,2416.9
"10","3","      Gross investment \2\","A782RC1",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,461.6,496.3,513.8
