"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"48","41","    Dormitories","B295RG3",4.764,4.633,4.275,3.413,3.301,3.788,3.788,3.903,4.296,4.446,4.555,4.718,5.031,5.575,5.596,6.615,6.826,7.431,9.029,9.706,9.91,10.014,10.89,11.193,11.318,11.306,11.605,11.913,11.972,11.913,11.911,12.001,12.005,12.066,11.953,12.048,12.443,12.993,13.426,14.177,15.078,15.46,16.314,17.504,19.208,21.235,23.082,24.339,27.459,31.003,34.871,38.758,41.807,43.49,43.77,44.931,45.829,47.725,49.784,51.598,53.471,54.961,55.313,55.773,58.532,61.209,63.815,64.987,66.872,68.627,71.746,75.06,78.845,81.024,85.523,92.59,100,106.2,107.2,103.1
"49","42","    Improvements","B946RG3",4.832,4.726,4.289,3.497,3.445,3.823,3.773,3.965,4.381,4.538,4.569,4.731,5.163,5.524,5.969,6.503,6.954,7.578,9.156,9.934,10.067,10.31,11.055,11.382,11.463,11.517,11.782,12.129,12.185,12.185,12.346,12.503,12.62,12.68,12.794,13.008,13.252,13.734,14.352,15.191,16.539,17.557,18.824,19.853,21.495,24.235,26.443,28.156,30.875,33.977,37.612,41.915,45.825,48.366,49.695,51.388,52.614,54.049,55.632,57.441,59.299,61.203,62.848,63.793,65.615,66.179,68.25,70.037,71.87,73.24,75.879,79.118,82.293,83.945,87.455,93.874,100,106.193,108.658,109.342
"50","43","    Brokers' commissions on sale of structures","B758RG3",4.531,4.446,4.042,3.307,3.224,3.594,3.55,3.713,4.124,4.289,4.284,4.446,4.859,5.185,5.591,6.121,6.531,7.102,8.573,9.309,9.473,9.673,10.366,10.657,10.737,10.816,11.022,11.345,11.386,11.387,11.386,11.458,11.459,11.507,11.424,11.451,11.64,12.022,12.335,12.936,14.21,14.628,15.459,16.435,17.988,19.89,21.617,23.232,26.153,29.551,33.344,36.678,39.163,41.32,42.889,44.852,47.402,51.126,55.164,57.306,59.592,60.592,61.309,62.165,64.951,68.168,69.953,71.454,71.865,73.498,75.48,79.13,84.01,86.027,89.859,93.579,100,103.205,102.946,98.405
"51","44","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RG3",4.998,4.788,4.364,3.702,3.709,3.858,3.944,4.029,4.511,4.532,4.528,4.638,5.022,5.495,5.97,6.255,6.568,7.249,8.726,9.56,9.631,9.832,10.692,10.986,11.123,11.094,11.329,11.905,12.156,12.051,12.095,12.139,12.119,12.174,12.165,12.298,12.662,13.129,13.57,14.277,15.236,15.983,17.064,18.198,19.741,22.113,24.478,25.858,28.291,31.452,35.033,38.58,42.998,45.974,45.657,46.461,47.558,48.928,50.265,52.188,54.033,55.571,56.459,56.822,58.857,60.892,63.362,64.845,66.984,69.4,71.949,74.987,78.61,81.175,84.798,91.488,100,108.957,113.516,114.919
"54","46","    Nonresidential structures","A771RG3",4.656,4.407,4.032,3.5,3.534,3.547,3.713,3.707,4.211,4.131,4.087,4.153,4.446,4.96,5.39,5.509,5.747,6.435,7.777,8.653,8.626,8.736,9.742,10,10.196,10.073,10.276,11.154,11.632,11.446,11.509,11.495,11.424,11.514,11.614,11.779,12.12,12.555,12.947,13.595,14.488,15.441,16.629,17.825,19.205,21.866,24.487,25.693,27.92,30.618,34.175,37.352,42.491,45.844,44.672,45.058,46.124,47.004,47.752,49.774,51.721,53.389,54.356,54.367,55.969,57.955,60.466,62.005,64.383,67.352,69.447,72.193,75.98,79.197,82.089,88.383,100,112.993,121.39,125.37
"55","47","    Residential structures","A756RG3",5.049,4.937,4.47,3.635,3.582,3.995,3.943,4.139,4.553,4.702,4.738,4.885,5.34,5.732,6.225,6.844,7.298,7.916,9.495,10.298,10.444,10.709,11.477,11.8,11.887,11.938,12.198,12.524,12.56,12.531,12.559,12.65,12.676,12.7,12.602,12.711,13.093,13.589,14.077,14.839,15.857,16.375,17.344,18.423,20.089,22.179,24.248,25.791,28.377,31.883,35.45,39.365,42.644,44.904,45.86,47.132,48.243,50.123,51.997,53.806,55.527,56.903,57.687,58.397,60.786,62.848,65.27,66.694,68.61,70.524,73.432,76.69,80.139,82.189,86.268,93.18,100,106.623,108.348,107.059
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
