"","Table 5#4#3# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","      Medical buildings","W035RA3",13.63,10.868,6.363,3.819,2.415,2.858,3.508,4.559,5.424,3.937,4.069,4.781,5.218,1.739,0.343,0.569,2.008,9.785,6.176,8.098,7.028,8.476,7.924,5.877,9.187,11.655,15.772,18.165,16.383,16.957,18.743,19.947,22.358,24.334,23.261,24.599,29.569,28.786,27.987,30.435,34.328,33.778,37.085,35.499,37.793,35.34,27.137,25.702,26.899,31.592,41.585,53.051,64.373,80.492,71.7,86.309,102.127,90.164,80.4,81.672,79.568,73.314,57.865,48.269,48.19,49.182,54.606,58.11,70.43,69.445,80.351,79.372,69.566,72.515,86.723,102.617,100,82.161,87.394,96.94
"17","10","    Multimerchandise shopping","W036RA3",20.289,16.177,9.472,5.685,3.595,4.254,5.222,6.786,8.074,5.861,6.058,7.117,7.768,2.589,0.51,0.846,2.989,14.565,9.194,12.054,10.461,12.618,11.795,8.749,13.675,17.349,23.477,27.04,24.387,24.619,27.157,29.022,32.649,35.47,33.704,35.719,43.129,41.996,40.839,44.593,50.517,49.791,54.787,67.512,72.45,67.885,49.436,48.83,54.72,64.895,76.731,75.93,71.975,59.948,62.462,87.026,106.36,104.051,106.187,107.895,108.079,104.256,74.574,72.884,78.339,79.229,75.048,82.951,73.728,77.584,86.801,82.67,88.346,82.195,79.124,90.822,100,119.491,134.142,118.986
"18","11","    Food and beverage establishments","W037RA3",31.894,25.43,14.89,8.936,5.652,6.688,8.209,10.667,12.691,9.213,9.522,11.187,12.211,4.069,0.802,1.331,4.698,22.895,14.452,18.949,16.444,19.834,18.542,13.753,21.497,27.272,36.905,42.506,38.336,38.7,42.706,45.624,51.342,55.779,53.001,56.144,67.847,66.03,64.245,70.137,79.44,78.291,86.164,106.167,113.932,106.752,77.741,76.788,86.049,102.05,120.664,119.403,113.184,94.271,98.224,136.853,167.257,163.625,166.984,169.67,169.96,163.948,117.271,114.613,123.192,115.679,130.828,135.495,151.213,155.317,137.241,141.752,137.63,121.491,125.129,115.86,100,88.826,90.647,88.015
"19","12","    Warehouses","W038RA3",15.985,12.746,7.463,4.479,2.833,3.352,4.115,5.346,6.361,4.618,4.773,5.607,6.12,2.04,0.402,0.667,2.355,11.475,7.243,9.497,8.242,9.941,9.293,6.893,10.774,13.668,18.496,21.304,19.214,19.396,21.404,22.867,25.732,27.956,26.564,28.152,34.007,33.106,32.188,35.166,39.815,39.237,43.185,53.211,57.103,53.504,38.964,38.486,43.128,51.148,60.477,59.845,56.728,47.249,49.23,68.59,83.829,82.009,83.693,85.039,85.184,82.171,58.776,57.444,61.744,71.224,101.785,124.524,133.182,129.931,136.473,143.648,148.001,109.81,110.878,101.885,100,105.102,115.767,110.261
"20","13","    Other commercial \2\","W039RA3",17.295,13.79,8.074,4.846,3.065,3.626,4.452,5.784,6.882,4.996,5.164,6.066,6.622,2.207,0.435,0.721,2.548,12.415,7.837,10.275,8.917,10.755,10.054,7.458,11.657,14.788,20.012,23.049,20.788,23.102,25.736,27.16,30.197,33.408,32.84,34.692,41.244,40.448,39.461,42.502,47.395,46.449,50.742,62.082,66.705,63.191,46.508,46.39,51.09,61.643,73.657,73.456,71.088,59.664,61.741,85.367,104.09,101.678,103.752,105.357,105.625,102.106,73.596,71.126,75.169,101.093,104.944,110.34,126.567,124.988,127.439,141.611,124.591,123.941,109.393,116.894,100,88.289,101.048,87.379
"21","14","  Manufacturing","B307RA3",72.371,45.172,21.678,8.032,18.847,17.493,14.144,22.589,37.17,17.763,20.201,32.782,53.801,20.108,8.359,11.59,33.951,73.651,62.695,46.218,33.058,36.331,63.86,68.22,65.233,61.026,66.811,87.779,93.132,64.177,57.235,77.577,75.887,76.651,76.948,92.487,127.884,158.948,139.815,134.642,141.575,136.697,112.89,98.579,122.181,139.234,133.464,123.281,126.599,168.817,207.44,173.514,197.025,190.195,137.602,142.337,159.242,133.778,130.408,137.584,164.851,186.735,171.973,157.917,124.016,146.782,173.076,181.977,173.81,179.662,149.857,154.557,150.266,87.734,81.286,85.282,100,110.254,135.026,169.306
"22","15","  Power and communication","W003RA3",42.618,42.464,29.198,16.514,8.448,9.182,11.172,16.062,20.555,19.805,22.372,24.21,25.728,20.616,12.083,16.038,18.442,29.326,44.354,53.093,55.855,55.58,55.752,56.276,61.895,56.551,53.842,62.907,65.314,62.826,60.242,60.793,56.951,57.283,61.13,66.561,73.649,83.979,91.859,102.105,102.107,111.702,112.593,117.436,124.954,116.962,107.614,117.3,115.513,121.018,125.569,126.772,130.021,122.77,105.592,107.884,106.661,113.85,101.27,95.511,99.174,92.268,109.611,116.204,108.606,98.448,100.474,86.45,83.332,97.826,115.396,133.07,137.262,133.941,123.34,102.346,100,107.837,144.524,171.103
"23","16","    Power","W028RA3",64.117,62.677,47.635,26.347,13.343,14.961,18.843,28,34.582,33.467,38.775,40.574,39.886,31.978,21.237,28.068,31.138,43.465,68.583,78.709,93.149,96.516,96.604,95.016,105.332,93.25,84.861,93.648,99.961,99.557,93.769,91.768,87.697,86.943,91.818,97.939,109.153,128.379,145.916,166.283,156.208,164.476,165.708,171.925,179.52,168.323,159.15,178.33,171.738,173.557,176.456,177.956,181.824,166.847,139.479,138.411,135.222,142.547,117.886,105.588,117.286,105.201,142.55,154.307,137.704,117.725,119.541,93.11,85.674,111.452,111.523,142.591,148.857,150.064,151.272,113.672,100,111.634,161.525,215.57
"24","17","      Electric","B571RA3",38.739,43.292,27.073,14.668,7.962,8.054,10.364,15.887,23.018,27.96,31.95,32.264,29.65,23.156,12.645,14.28,21.097,35.183,53.767,65.793,80.572,72.185,68.804,79.066,87.749,81.089,68.204,75.538,85.449,88.173,75.288,75.633,71.216,71.069,76.509,79.88,90.409,106.085,125.518,136.475,138.064,153.943,157.923,165.543,175.114,158.201,139.672,153.499,171.249,180.36,178.781,174.97,179.163,170.742,148.299,146.56,136.483,146.651,115.894,98.158,108.732,90.494,129.807,134.188,123.324,108.608,100.784,78.021,76.989,86.581,102.177,148.187,155.445,149.487,150.073,113.331,100,111.162,152.198,211.584
"25","18","      Other power","W029RA3",147.681,124.494,115.975,65.27,31.098,38.068,47.143,68.268,71.877,48.74,58.102,65.088,71.562,59.626,49.627,74.511,63.406,69.944,115.366,121.172,136.225,171.362,181.015,145.956,161.527,133.255,137.638,151.089,147.175,137.553,152.648,143.584,140.347,137.767,141.088,155.991,169.223,199.866,210.544,262.819,212.394,193.987,185.606,186.629,186.826,197.135,223.435,261.64,164.635,139.753,158.754,179.895,182.363,144.612,101.087,102.462,124.059,120.595,119.729,128.065,143.363,154.443,182.948,221.07,184.228,147.015,180.527,142.199,113.56,192.817,141.626,123.664,126.645,151.629,154.894,114.636,100,112.925,188.478,226.34
"26","19","    Communication","B314RA3",16.795,17.391,9.373,5.65,2.972,2.946,3.179,3.991,5.935,5.615,5.65,7.084,9.762,7.81,2.894,3.922,5.253,12.354,16.82,22.384,16.337,13.486,13.684,15.654,16.596,17.451,19.62,27.196,26.013,22.128,22.669,25.287,22.272,23.44,25.805,29.737,32.277,33.737,32.725,33.245,41.096,49.856,50.316,53.234,59.49,55.446,47.215,46.867,49.861,58.307,63.918,64.707,67.027,68.141,62.836,68.78,69.862,76.626,78.551,80.837,74.675,74.121,67.168,67.396,70.916,73.358,75.641,77.152,79.349,79.746,119.255,119.422,120.869,111.632,85.559,86.796,100,102.736,122.218,111.813
"27","20","  Mining exploration, shafts, and wells","E318RA3",20.423,15.713,8.813,11.065,9.146,12.968,15.764,18.778,24.337,21.088,19.816,22.297,23.088,15.724,14.32,19.558,21.575,24.902,27.787,34.111,34.531,40.982,43.081,47.933,52.374,57.921,62.306,60.289,56.908,53.209,54.627,51.277,52.22,54.774,51.409,55.084,54.412,51.562,49.291,49.586,51.68,48.619,44.984,48.255,51.536,61.251,71.515,77.194,87.177,99.418,105.887,148.772,172.962,159.863,132.369,150.48,134.07,78.556,76.796,84.24,76.194,88.037,86.059,71.238,82.789,80.465,68.307,72.794,85.626,74.891,63.375,79.1,93.265,68.217,77.862,90.648,100,114.541,125.994,146.293
"28","21","    Petroleum and natural gas","B319RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.363,29.213,36.317,36.988,43.816,46.021,51.623,56.381,62.919,67.832,65.691,62.068,57.168,58.49,54.505,55.305,57.993,54.021,58.149,57.394,54.202,51.668,51.25,53.061,49.05,44.601,48.154,51.125,59.74,69.906,73.846,83.082,97.652,105.284,149.812,173.034,161.468,134.634,153.528,136.351,79.619,79.456,87.487,78.124,90.478,87.514,71.53,84.054,79.358,68.845,72.987,87.524,77.319,65.312,81.385,97.141,67.547,78.993,90.902,100,113.62,125.229,146.21
"29","22","    Mining","B320RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.138,18.936,19.025,17.187,21.163,22.603,21.265,23.459,20.692,20.873,19.69,18.022,24.883,27.468,29.635,32.109,33.84,35.53,35.715,35.668,35.435,35.18,41.891,46.754,51.488,54.208,55.625,61.839,82.167,94.454,118.912,137.882,120.64,111.313,131.572,168.81,131.14,94.846,102.058,95.816,59.047,42.91,44.276,48.949,54.66,61.988,59.485,61.314,78.819,54.631,61.485,57.036,42.1,36.843,47.29,43.122,76.087,59.439,85.971,100,135.458,142.548,143.775
"30","23","  Other structures","W004RA3",51.064,47.645,33.979,19.624,15.379,16.909,18.442,22.641,25.17,22.13,23.556,23.287,26.496,21.56,21.686,26.702,30.382,60.281,47.504,47.51,48.102,47.492,46.453,46.691,48.416,51,51.104,50.585,50.605,52.945,58.454,64.915,63.437,64.747,68.498,75.12,84.464,87.648,85.776,75.829,75.222,70.68,66.3,67.02,72.246,66.052,58.254,61.155,64.522,73.267,80.546,78.199,75.716,71.43,75.363,88.338,97.172,91.342,96.783,90.216,92.084,97.766,84.833,78.602,84.837,82.971,92.872,109.219,123.887,130.504,130.686,134.572,128.249,108.154,104.427,105.839,100,109.197,126.844,140.948
"31","24","    Religious","C309RA3",43.177,42.981,31.709,19.579,9.973,8.748,11.468,13.061,14.531,16.835,15.781,19.015,18.648,8.356,1.495,2.597,6.004,14.948,18.476,33.056,48.739,55.699,54.277,46.705,54.988,70.965,81.943,87.358,90.47,92.559,102.453,109.727,108.992,110.909,105.514,102.448,120.072,110.339,99.335,96.052,82.215,73.142,59.153,57.198,51.162,52.192,45.017,48.054,49.559,56.809,65.521,64.553,62.484,56.467,63.927,73.721,81.294,88.089,90.917,93.214,97.504,90.234,82.262,73.455,79.269,76.015,81.724,83.769,103.403,114.517,123.355,129.404,130.204,127.661,127.219,114.234,100,92.401,85.752,79.616
"32","25","    Educational and vocational","W044RA3",19.502,20.76,20.165,12.721,3.749,3.207,3.843,8.472,7.673,7.281,7.105,8.932,9.622,3.573,0.826,1.435,3.925,13.344,14.088,18.398,20.109,22.107,22.875,22.686,27.403,34.955,30.293,33.633,30.214,33.992,31.361,33.852,36.54,40.312,39.461,42.825,43.444,52.517,54.075,56.378,49.51,39.784,39.955,38.947,33.337,22.499,18.156,19.256,18.662,20.173,22.514,29.458,29.096,31.027,33.068,33.782,38.821,45.262,63.52,49.214,53.85,58.573,59.351,61.388,61.533,61.3,66.94,80.102,99.768,106.111,97.449,113.965,120.18,119.671,117.824,105.71,100,98.179,107.518,110.537
"33","26","    Lodging","W045RA3",20.646,19.125,13.713,7.506,5.769,5.29,5.51,6.929,8.214,9.988,10.55,8.43,8.725,3.862,1.352,2.353,4.399,11.704,6.92,11.015,13.137,12.554,13.011,11.783,13.483,16.556,13.3,15.813,16.464,21.405,27.885,33.513,39.635,36.953,46.28,70.879,70.005,64.554,55.707,51.675,53.634,49.859,47.388,63.284,68.971,44.537,26.552,21.627,21.333,27.115,45.533,56.565,66.21,63.391,77.907,97.386,103.437,103.404,101.085,91.505,100.006,116.633,79.383,48.188,57.995,57.012,83.82,125.738,144.1,160.237,165.462,161.926,138.046,97.798,90.041,102.242,100,128.156,190.827,241.786
"34","27","    Amusement and recreation","W046RA3",58.668,53.876,39.741,23.361,19.979,17.089,16.595,19.298,22.744,26.849,27.948,23.322,23.682,10.779,3.76,6.507,11.986,31.049,19.815,29.007,34.679,34.922,33.415,31.3,36.69,44.098,37.585,42.086,46.094,57.692,67.544,82.205,78.459,81.148,88.559,86.267,112.584,114.946,110.823,56.672,67.084,69.417,66.178,65.227,68.739,61.084,54.37,60.574,63.128,72.54,79.366,81.54,80.966,90.858,100.489,124.428,148.259,136.867,143.862,151.648,133.194,137.712,128.215,126.769,136.394,137.204,141.33,150.492,160.848,156.633,167.022,146.856,125.519,117.73,118.882,121.417,100,114.405,119.417,118.935
"35","28","    Transportation","W047RA3",205.528,202.35,141.168,81.921,68.873,85.037,85.79,101.971,110.538,83.745,95.445,102.676,114.473,119.885,141.412,175.602,171.072,144.904,132.355,131.895,124.509,111.596,120.339,128.543,123.703,103.213,94.857,101.2,94.172,71.48,67.365,70.536,61.495,62.037,69.378,72.7,79.766,88.492,81.357,83.78,86.461,75.035,77.14,79.779,83.869,83.245,71.241,88.376,94.03,110.453,109.961,102.037,98.244,90.334,85.719,99.465,113.419,86.372,75.971,73.487,75.233,73.103,66.673,76.315,77.489,80.782,82.525,97.791,107.453,123.67,108.628,111.403,109.947,103.543,97.783,98.598,100,117.552,119.261,126.962
"36","29","      Air","W048RA3",58.624,54.026,39.396,22.517,18.507,16.24,16.202,19.442,22.969,27.452,28.752,23.561,24.116,10.85,3.791,6.575,12.186,31.923,19.739,29.918,35.73,35.201,34.836,32.163,37.322,45.263,37.642,43.211,46.34,58.922,69.307,83.807,80.307,82.788,90.311,87.444,114.793,116.496,112.754,52.723,62.244,62.749,59.639,60.033,64.385,55.948,48.704,55.289,56.655,65.761,71.171,74.689,73.583,83.688,92.293,113.904,131.646,124.85,129.78,143.884,121.45,122.615,112.904,106.117,119.821,124.858,126.08,153.926,156.982,175.151,194.631,271.002,287.061,188.15,139.515,123.669,100,90.057,96.597,84.4
"37","30","      Land \3\","W049RA3",221.584,218.547,152.294,88.411,74.367,92.473,93.311,110.891,120.001,89.796,102.626,111.238,124.268,131.841,156.614,194.24,188.47,156.713,144.523,142.492,133.44,119.166,128.927,138.414,132.34,108.59,100.297,106.621,98.457,71.857,66.105,67.928,58.39,58.698,65.914,69.934,74.428,83.923,76.439,86.823,88.589,75.731,78.508,81.416,85.414,85.835,73.355,91.624,97.744,114.91,113.699,104.436,100.347,90.266,84.089,96.769,110.135,80.844,68.554,63.951,68.789,66.244,60.277,72.01,71.575,74.623,76.42,89.985,100.405,116.261,96.84,89.884,86.096,92.018,91.976,95.044,100,121.681,122.633,133.438
"38","31","    Farm","B316RA3",53.318,28.89,14.403,5.535,8.98,12.143,27.167,34.34,40.807,35.272,40.468,32.166,39.565,35.329,42.953,42.417,38.887,154.446,146.341,136.829,132.965,134.467,126.665,133.994,120.114,115.949,109.403,113.037,104.844,119.228,159.449,171.958,166.044,182.082,184.056,181.696,183.294,189.031,210.234,188.033,184.843,193.053,181.811,156.562,204.994,237.441,248.337,255.299,266.787,286.423,286.778,231.924,192.268,144.16,122.04,116.675,78.311,71.755,84.278,74.633,76.239,81.824,79.277,68.642,93.943,86.075,77.325,91.774,92.743,100.403,113.787,128.97,105.87,113.582,100.253,101.753,100,91.521,94.533,94.65
"39","32","    Other \4\","W050RA3",42.288,36.27,27.751,20.196,21.408,15.649,12.812,11.339,13.879,14.026,13.824,14.226,13.428,7.006,2.45,4.195,7.101,16.466,15.829,15.694,18.928,25.664,16.001,18.148,24.212,26.412,30.435,25.617,34.625,35.991,40.42,53.788,48.714,51.929,56.776,59.348,73.072,79.721,73.285,72.763,87.901,101.112,98.729,89.594,86.79,81.175,77.996,80.572,90.99,104.85,122.521,112.395,112.111,116.56,133.809,175.287,242.18,199.741,220.713,182.725,199.251,227.138,219.183,257.311,238.717,208.925,233.542,193.163,167.051,167.172,145.998,171.022,125.797,89.413,100.516,114.977,100,118.604,122.62,121.71
"40","33","    Brokers' commissions on sale of structures","B321RA3",60.729,47.42,32.367,23.904,24.809,21.837,24.098,27.845,31.528,23.646,25.002,30.042,38.053,19.188,13.567,15.764,26.876,66.221,47.42,39.539,31.528,32.109,31.528,29.719,33.853,35.21,41.348,40.637,41.348,46.838,48.325,55.531,58.804,63.181,62.027,67.762,84.026,89.203,83.468,71.415,62.864,50.812,41.449,36.945,55.392,65.592,58.195,55.899,72.722,67.546,61.659,55.924,51.865,48.312,49.327,62.42,73.382,71.91,73.839,77.848,83.532,85.917,74.143,71.504,71.014,76.407,84.432,92.732,100.473,107.766,109.887,115.712,108.889,93.489,89.972,93.184,100,115.932,143.193,168.292
"41","34","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
