"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","3","  Personal income","A792RC0",698,619,526,399,373,425,474,536,575,527,556,594,720,915,1113,1199,1227,1263,1325,1431,1388,1510,1672,1754,1829,1813,1913,2019,2094,2119,2218,2277,2335,2448,2534,2681,2860,3072,3262,3547,3840,4090,4350,4729,5241,5716,6181,6762,7414,8255,9161,10134,11266,11951,12635,13915,14787,15466,16255,17358,18545,19500,19923,20870,21356,22176,23078,24176,25334,26880,27933,29847,30571,30813,31478,33108,34513
"12","4","  Disposable personal income","A229RC0",684,606,518,394,366,418,466,526,560,512,545,581,703,879,990,1072,1088,1141,1188,1300,1276,1385,1497,1550,1621,1627,1714,1801,1867,1898,1979,2022,2078,2171,2246,2410,2563,2734,2895,3114,3324,3587,3860,4140,4616,5010,5498,5972,6517,7224,7967,8822,9765,10426,11131,12319,13037,13649,14241,15297,16257,17131,17609,18494,18872,19555,20287,21091,21940,23161,23968,25472,26235,27164,28039,29536,30458
"13","5","  Personal consumption expenditures","A794RC0",635,569,489,390,366,407,439,485,518,494,513,540,608,660,731,785,857,1021,1124,1194,1196,1267,1352,1399,1461,1478,1566,1615,1675,1701,1793,1835,1862,1947,2022,2144,2283,2446,2555,2780,2985,3162,3379,3671,4022,4364,4789,5282,5804,6417,7073,7716,8439,8945,9775,10589,11406,12048,12766,13685,14546,15349,15722,16485,17204,18004,18665,19490,20323,21291,22491,23862,24722,25501,26463,27937,29468
"14","6","    Durable goods","A795RC0",76,58,44,29,28,33,40,49,54,44,51,59,72,51,48,48,57,111,142,156,168,203,194,187,205,196,235,227,233,215,241,240,227,251,273,295,325,347,354,402,424,414,467,526,583,572,618,728,823,906,952,940,1006,1034,1198,1381,1524,1674,1736,1851,1907,1895,1790,1882,2024,2210,2294,2419,2538,2717,2927,3057,3097,3205,3238,3355,3482
"15","7","    Nondurable goods","A796RC0",309,276,233,182,177,211,230,256,273,261,268,280,321,376,429,465,514,585,631,659,636,648,708,731,738,737,755,777,800,814,838,846,852,872,888,931,986,1062,1092,1174,1249,1326,1375,1467,1619,1798,1948,2102,2257,2472,2774,3057,3299,3392,3547,3742,3894,3982,4181,4421,4716,4996,5068,5179,5300,5455,5571,5767,5931,6096,6461,6895,7068,7215,7524,7979,8559
"16","8","    Services","A797RC0",250,235,211,179,161,162,169,179,191,190,194,201,214,233,254,272,287,324,352,379,393,417,450,481,517,545,576,611,641,672,714,750,782,823,861,918,972,1037,1108,1203,1313,1421,1538,1678,1820,1994,2223,2452,2725,3039,3347,3719,4134,4519,5030,5466,5988,6391,6849,7413,7923,8457,8864,9424,9881,10339,10800,11304,11854,12478,13103,13911,14557,15081,15701,16603,17426
"17",NA,"Chained (2000) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","9","  Gross domestic product","A939RX0",7099,6418,5960,5152,5056,5567,6021,6761,7065,6769,7256,7827,9079,10644,12220,13053,12766,11241,10925,11206,10957,11717,12412,12668,13032,12719,13389,13410,13435,13088,13782,13840,13932,14552,14971,15624,16420,17290,17533,18196,18573,18391,18771,19555,20484,20195,19961,20822,21565,22526,22982,22666,23007,22346,23146,24593,25382,26024,26664,27514,28221,28429,28007,28556,28940,29741,30128,30881,31886,32833,33904,34759,34659,34861,35385,36415,37241
"19","10","  Gross national product","A791RX0",7160,6477,6006,5189,5088,5596,6055,6789,7102,6807,7296,7860,9123,10688,12262,13097,12804,11288,10987,11280,11023,11789,12499,12756,13116,12805,13484,13512,13541,13178,13873,13938,14038,14668,15094,15754,16554,17415,17661,18332,18704,18520,18912,19703,20683,20419,20133,21025,21791,22748,23278,22956,23259,22607,23396,24828,25548,26137,26770,27647,28358,28600,28150,28693,29079,29850,30271,31015,32010,32912,34027,34897,34809,34966,35571,36562,37340
"20","11","  Disposable personal income","A229RX0",5848,5413,5183,4469,4315,4700,5121,5723,5882,5505,5914,6255,7127,7934,8190,8387,8185,8011,7565,7832,7747,8306,8408,8534,8802,8757,9177,9450,9508,9433,9685,9735,9901,10227,10455,11061,11594,12065,12457,12892,13163,13563,14001,14512,15345,15094,15291,15738,16128,16704,16931,16940,17217,17418,17828,19011,19476,19906,20072,20740,21120,21281,21109,21548,21493,21812,22153,22546,23065,24131,24564,25472,25697,26235,26553,27254,27318
"21","12","  Personal consumption expenditures","A794RX0",5427,5082,4888,4426,4305,4580,4827,5282,5444,5314,5565,5806,6161,5955,6042,6143,6451,7164,7158,7191,7263,7600,7591,7698,7932,7952,8383,8474,8528,8455,8776,8837,8873,9170,9412,9839,10331,10793,10994,11510,11820,11955,12256,12868,13371,13148,13320,13919,14364,14837,15030,14816,14879,14944,15656,16343,17040,17570,17994,18554,18898,19067,18848,19208,19593,20082,20382,20835,21365,22183,23050,23862,24215,24629,25060,25778,26430
"22","13","    Durable goods","A795RX0",294,240,203,152,148,170,206,251,263,213,251,287,329,199,171,155,173,325,381,399,424,509,456,436,482,472,566,534,529,479,527,527,499,549,594,640,712,763,767,843,864,826,898,1001,1094,1009,999,1116,1207,1258,1240,1129,1132,1120,1272,1445,1577,1714,1728,1816,1839,1813,1688,1763,1877,2009,2073,2209,2370,2608,2880,3057,3156,3347,3506,3694,3861
"23","14","    Nondurable goods","A796RX0",2413,2275,2246,2050,2007,2165,2279,2530,2605,2621,2734,2832,2994,3013,3070,3153,3343,3489,3329,3284,3277,3324,3354,3427,3477,3460,3564,3621,3622,3597,3682,3662,3669,3727,3751,3880,4035,4208,4228,4377,4449,4504,4528,4677,4784,4645,4668,4848,4915,5046,5123,5057,5066,5065,5187,5346,5443,5587,5670,5802,5907,5932,5840,5878,5956,6088,6147,6230,6321,6498,6718,6895,6962,7067,7224,7414,7674
"24","15","    Services","A797RX0",2707,2612,2510,2337,2255,2326,2382,2484,2553,2506,2561,2631,2738,2831,2946,3009,3074,3320,3394,3464,3492,3607,3728,3826,3923,4011,4148,4279,4365,4456,4612,4721,4838,5000,5153,5393,5610,5821,6039,6292,6529,6712,6886,7200,7466,7570,7775,8012,8274,8569,8734,8785,8844,8944,9349,9644,10098,10302,10652,10983,11205,11398,11438,11680,11855,12058,12228,12443,12705,13090,13454,13911,14098,14225,14355,14710,14954
"25","16","Population (midperiod, thousands)","B230RC0",121878,123188,124149,124949,125690,126485,127362,128181,128961,129969,131028,132122,133402,134860,136739,138397,139928,141389,144126,146631,149188,151684,154287,156954,159565,162391,165275,168221,171274,174141,177130,180760,183742,186590,189300,191927,194347,196599,198752,200745,202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234333,236394,238506,240683,242843,245061,247387,250181,253530,256922,260282,263455,266588,269714,272958,276154,279328,282429,285371,288253,291114,293933,296677
