"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175"
"38","29","  Gross national factor income \2\","X023RC1",878.5,894.6,913.3,923.1,929.3,942.2,957.1,958.2,993.8,1014.7,1031.9,1053.6,1088.2,1108.4,1139.8,1186.8,1223.7,1250.7,1280.1,1322.6,1337.5,1360.5,1394.3,1417.1,1431.2,1464.2,1524,1570.3,1621.4,1648.9,1684.1,1721.5,1771.2,1844.7,1905.6,1961.9,2001.5,2097,2153.4,2223,2282,2329.8,2391,2457.9,2509.9,2508.8,2576.9,2711.8,2793.4,2841.1,2945.7,2966.5,2984.7,3041.5,3063,3082.5,3143.5,3216.6,3295.3,3387,3517.2,3612.9,3682.5,3741.7,3806.8,3845.3,3905.1,3959.4,4011.5,4044.6,4093.9,4144.9,4222.5,4317.6,4418.7,4519.8,4614.9,4703.8,4792.9,4897,4974,5004.7,5058.1,5108.9,5205.8,5312.3,5347,5379.3,5404.1,5441.3,5485.8,5537,5655.1,5735.8,5775.8,5870.3,5925,6018.3,6067,6178.1,6280.4,6379.5,6484.3,6600.4,6684.1,6755,6854.4,6945.4,7056,7187.7,7279.2,7399.4,7545.8,7650.7,7795.2,7914.7,8018.3,8151.9,8293.2,8394.7,8570.9,8663.3,8768,8961.5,9214.5,9312.9,9439.5,9490.6,9644.7,9692,9657,9674.8,9795.8,9874.3,9909.3,10034.1,10117.7,10277.1,10411.6,10607,10797.8,10970.2,11183.8,11315.8,11571.8,11720.1,11948,12174.2,12459.8,12606.6,12747.4,12897,12935.2,13060.9,13117.1,13285.9,13422.6,13470.7,13508.5,13079.9,12912.5,12822.9,12920,13098.4,13350.1,13556.5,13693.3,13789.4,14000.4,14126.2,14238.7,NA
"39","30","  Net domestic product","A362RC1",865.2,878.1,896,901.6,911.5,925.3,941.1,942.2,984.2,1002,1019.9,1030.1,1066.7,1100,1121,1155.3,1200.5,1233,1248,1284.4,1293.4,1325.1,1346.4,1378.1,1387.4,1416.9,1469,1516,1570.5,1598.7,1627.5,1668.9,1716.4,1776.8,1831.2,1869,1899.9,2017.7,2069.8,2142,2180,2233,2295.7,2344.6,2398.1,2390.1,2435.2,2552.8,2676,2696.6,2777.5,2783.8,2762.9,2809.7,2836.2,2869.9,2935.8,3033.8,3134.1,3230.3,3343.4,3435.7,3498.4,3548.7,3623.9,3674.6,3748.8,3800.8,3856.5,3888.7,3948.6,3992.6,4052.7,4120.5,4189.4,4298.5,4353.2,4453.3,4526.7,4624.5,4723.9,4807.2,4876.5,4915.2,5031.3,5110.8,5154.5,5140.7,5166.4,5240.7,5305.4,5358.5,5452,5552,5643.4,5744.4,5782.5,5849.5,5904.7,6020.6,6114.1,6231.5,6307.6,6410.8,6456.3,6491.7,6576.9,6655.9,6742,6893.7,6975,7093.1,7193.4,7319.7,7439.6,7521.4,7603.3,7686.7,7819.3,7982.5,8085.4,8169.4,8300.9,8480.7,8557.9,8774.7,8821.6,8914.4,8931.6,9051.3,9040.8,9096.1,9210.4,9302.4,9391.2,9445.3,9554.2,9665.7,9894.7,10038,10193.2,10343.4,10491.9,10653.4,10866.2,10975.8,11172.6,11311.8,11543.4,11682.3,11757.5,11882.9,12024.6,12219.2,12348,12452.9,12456.5,12572.7,12525.4,12195.2,12008.6,11985.7,12066.4,12230.4,12419.3,12601,12727.3,12858.9,12953.5,13072.9,13213.2,13311.3
"40","31","  Net domestic income","W256RC1",858.6,874.8,893.7,902.4,906.4,917.8,933.2,935.1,969.2,988.4,1006.7,1027.8,1059.7,1080.4,1109.9,1157.1,1193,1217,1242.6,1281.3,1290.6,1312.3,1341.9,1359,1368.3,1399.5,1457.3,1498.9,1549,1574.8,1607.1,1640.8,1683.7,1753.5,1810.5,1860.9,1895.3,1993.9,2038.1,2098,2151.8,2187.3,2234,2292.3,2336.1,2331.8,2395.8,2531.4,2617.6,2660.7,2751.5,2757.8,2765.9,2810.3,2834.1,2849.3,2912.6,2989.7,3069,3163.9,3302.1,3399.3,3468.2,3530.4,3599.9,3640.5,3696.9,3741.5,3800.5,3825.4,3868.2,3921.3,3993,4082.2,4179.7,4274.7,4360.1,4453.2,4541.6,4640.8,4719.9,4748.8,4798.1,4831.6,4934.3,5028.5,5065.1,5072.6,5113.7,5163.1,5213.4,5261.8,5380.6,5461.7,5506.5,5603,5629.6,5724.9,5762.9,5896.8,5999.8,6104.9,6208.3,6315.8,6380,6434.1,6542.1,6614.4,6718.7,6857,6945.9,7078.6,7202.6,7302.6,7453.4,7571.5,7664.1,7792.7,7939.4,8036.9,8181.4,8256.1,8354.7,8528.5,8778.8,8861.6,8975.2,8989,9143.2,9160.3,9130.4,9099.3,9253.7,9347.7,9370.6,9465.7,9562.4,9691.8,9833.8,9998,10170.6,10358.9,10544.9,10697,10912.8,11060.3,11253.1,11480.5,11757.7,11890.3,12031.1,12156.2,12191.2,12281.4,12262.3,12357.7,12515.2,12543.6,12534.1,12166.7,11966.5,11895.4,11962.4,12157.1,12426.5,12607.6,12734.7,12834.4,13005.5,13082.9,13163.6,NA
"41","32","  Net national factor income \3\","X032RC1",782.9,796.6,813,820.2,823.7,834.4,847.7,847.8,880,898,912.7,932.2,964.7,982.8,1011.6,1055.5,1089.1,1112.3,1137.4,1175.2,1184.5,1200.8,1227.1,1242.3,1249.2,1276,1330.6,1372.4,1420,1443.4,1474,1505.9,1549.1,1616.3,1670.8,1720.1,1752.3,1839.9,1888,1949,1998.7,2036.4,2087,2143.1,2184,2170.9,2227,2349.3,2418,2453.4,2546.2,2555.6,2562.6,2610.2,2624.8,2639.8,2698.3,2768.2,2842.3,2929.1,3053.1,3142.3,3205,3256.5,3313.5,3344.2,3395.6,3441.4,3485.6,3510,3551.2,3594.2,3664.1,3751.4,3843.5,3935.2,4019.5,4097.9,4176.7,4270.5,4337.6,4358.3,4401.6,4442.3,4528.9,4625.7,4650.8,4674,4690.3,4720,4757.5,4803,4916.4,4992.6,5029.4,5121.2,5163,5245.1,5283.4,5384.9,5478.2,5566.8,5660,5763,5832.7,5890.9,5978.8,6058.7,6159.8,6281.4,6361.5,6469.5,6602.2,6693.6,6825,6930.4,7021,7140,7265.3,7349.7,7507.8,7580.1,7663.8,7834.5,8062.9,8138.5,8243.7,8275.1,8411.3,8442.1,8392.6,8397.8,8507.6,8574.9,8598.8,8712.4,8784.6,8931.2,9051.2,9230.2,9401.1,9550.7,9739.4,9845.3,10076.1,10196,10392,10584.6,10841.8,10958.4,11072.2,11195.7,11201.2,11303.2,11338.9,11485.7,11605.2,11628,11638.9,11193.4,11027.3,10954.5,11065.9,11241.3,11491.5,11689.7,11815.1,11893.3,12086.2,12186.4,12275.9,NA
"42","33","  Net domestic purchases","W367RC1",865.1,876.9,895,898.3,908.1,919.9,937.2,939,979.8,1002.2,1019.9,1031.7,1070.2,1104.2,1123.7,1158.3,1201.9,1230.6,1241.6,1275.4,1287,1327.8,1353.4,1378,1370.9,1395.3,1457,1502.2,1565.8,1599.2,1631.6,1675.5,1737.5,1798,1851.7,1898.6,1938.6,2040.3,2093.6,2158.4,2198.2,2255.2,2318.7,2371.4,2433.9,2405.3,2429.8,2559.5,2690.3,2710.1,2785.1,2798.5,2779.1,2814.1,2865.8,2899.5,2960.4,3079.3,3199.3,3301.7,3438.4,3540,3602.3,3656.5,3715.8,3790,3867.4,3935.7,3984,4018.5,4087.8,4126.2,4193.7,4267.9,4335.1,4444.2,4477.5,4560.5,4626.8,4733.2,4826.1,4896.8,4952.7,4998.8,5120.5,5179.2,5228.9,5219.2,5212,5262.3,5324.9,5379.6,5470.5,5583,5679.8,5789.8,5836.8,5911.5,5972.6,6094,6194.8,6322.8,6404.2,6513.1,6562.5,6602.3,6652.2,6726.4,6831.1,6987.4,7089.1,7181.4,7301.5,7404.3,7535.9,7637.9,7737.8,7848.5,7993.2,8159.7,8297.4,8420.3,8583.8,8783.2,8915.8,9139.1,9217.6,9324.3,9327,9415.1,9407.8,9453.8,9585.3,9720.5,9827,9925.1,10057.8,10170,10394.1,10547.2,10739.5,10949.5,11127.8,11339.9,11543.6,11666,11906.5,12101.1,12319.2,12463.7,12563.3,12597.2,12749.5,12948.9,13051.4,13147.2,13198.8,13318.8,13282.3,12788.9,12392.1,12324,12473.2,12667.9,12915.1,13132.2,13267.6,13359.1,13524.8,13670,13775.6,13893.4
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","subsidies are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Consists of compensation of employees, proprietors' income with inventory valuation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","adjustment (IVA) and capital consumption adjustment (CCAdj), rental income of persons with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","CCAdj, corporate profits with IVA and CCAdj, net interest and miscellaneous payments, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","3. Consists of gross national factor income less consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
