"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"11","3","  Foods, feeds, and beverages","B638RA3",14.645,23.712,21.586,24.909,24.229,24.7,26.906,26.55,25.215,23.708,26.81,23.956,25.874,28.401,30.305,33.08,38.196,39.218,35.528,39.393,36.184,35.382,32.31,32.64,37.427,31.116,35.488,40.383,39.368,41.307,41.199,41.999,40.192,40.609,41.007,41.924,43.913,55.98,52.095,50.297,45.909,51.109,56.319,61.244,56.048,60.48,64.931,60.441,63.51,58.873,60.657,63.931,58.501,63.858,56.177,53.501,56.963,54.184,57.218,53.446,53.281,51.686,53.938,56.919,49.668,45.518,44.623,46.964,48.643,44.254,49.472,50.318,46.209,48.536,60.46,51.038,57.996,56.663,55.734,56.234,58.588,60.116,57.365,59.677,63.303,62.084,60.804,57.004,60.151,58.717,64.199,64.789,67.346,67.398,73.827,72.363,72.074,72.371,66.516,68.551,65.63,65.45,71.853,79.494,78.879,79.108,80.768,73.229,77.982,75.311,74.96,78.761,76.528,75.539,75.9,80.963,80.197,75.45,71.378,78.754,73.844,77.974,82.424,80.473,80.535,81.234,87.197,81.512,85.342,85.948,83.155,84.893,85.127,84.595,82.458,80.197,84.484,82.8,85.56,85.261,79.635,73.175,78.476,86.193,83.627,85.145,81.025,84.868,88.18,90.57,91.521,90.923,92.715,93.385,101.621,104.974,108.713,107.284,104.262,98.859,94.801,99.248,98.568,107.384,110.86,103.5,109.967,117.027,113.049,110.504,107.496,108.881,102.873,111.861,118.257,102.437,107.057,100.616,110.152,126.868,121.932,116.516,115.817,126.582,119.579,123.942
"12","4","  Industrial supplies and materials","B639RA3",16.228,23.485,22.784,23.345,24.36,24.496,23.146,24.109,22.518,22.245,23.685,18.441,23.855,21.073,22.516,25.107,26.63,28.024,28.989,30.221,30.484,31.534,28.419,26.734,25.893,24.95,25.192,26.464,26.68,27.026,28.166,28.834,27.77,28.648,28.996,26.222,26.961,30.567,33.116,32.728,33.297,33.812,36.665,37.497,38.993,42.055,40.566,38.725,38.862,36.202,36.031,38.453,38.025,37.02,35.418,34.556,33.447,34.192,35.087,35.258,34.641,36.104,37.055,37.239,36.807,35.55,36.258,37.26,37.204,36.861,38.462,39.859,37.687,38.75,39.007,40.742,42.629,42.929,44.711,45.819,45.949,50.343,50.293,49.232,50.964,51.065,51.574,53.762,55.257,55.672,54.864,55.659,56.48,56.907,56.329,55.876,55.136,54.477,54.2,55.789,54.713,57.213,59.468,59.608,60.865,61.021,63.284,64.029,64.494,63.989,65.38,67.978,68.607,71.488,72.558,72.011,71.905,70.072,69.24,70.319,70.129,71.767,72.403,76.088,77.643,77.765,80.562,80.115,78.188,75.848,74.744,74.489,74.402,77.323,76.52,76.499,78.247,77.415,77.905,79.763,82.679,83.853,83.075,84.73,85.252,87.848,85.405,84.109,89.97,92.383,91.079,94.539,94.43,95.765,97.416,100.031,105.527,110.901,110.693,102.991,93.427,95.688,104.099,106.786,110.757,115.449,116.277,119.956,121.433,121.835,122.778,126.584,124.314,126.468,125.212,125.851,125.826,127.818,131.296,136.992,128.551,135.34,138.24,137.593,135.254,137.41
"13","5","    Durable goods","B686RA3",20.485,28.397,29.516,30.133,32.002,32.466,30.042,28.937,25.064,24.054,22.383,21.482,24.396,23.017,24.818,26.505,30.652,33.438,34.896,35.039,34.231,35.783,29.782,28.346,26.512,26.709,26.515,27.342,26.933,27.524,29.494,29.672,27.481,28.416,27.575,26.18,29.306,33.611,34.611,34.972,36.859,37.155,39.586,41.915,47.938,50.51,44.864,41.449,39.91,38.772,34.866,35.89,33.839,33.575,32.17,30.952,30.516,32.289,33.25,33.241,32.459,32.868,32.151,33.526,32.156,33.192,32.687,31.937,33.336,32.956,32.735,35.154,34.769,36.851,36.424,38.138,41.199,44.71,44.834,47.346,48.121,50.921,51.007,51.089,54.347,53.203,53.043,56.172,55.642,58.192,57.239,56.157,56.002,54.76,55.691,55.464,54.015,52.474,53.067,53.854,53.069,54.89,58.592,59.591,61.95,62.898,66.06,63.984,64.596,66.995,68.784,69.811,70.98,73.891,74.52,75.572,77.825,74.222,72.915,74.952,74.202,75.97,77.524,82.185,87.48,88.402,89.007,89.726,86.54,81.844,78.375,76.808,72.917,77.046,76.415,76.116,77.045,78.108,76.79,78.348,84.019,84.466,83.261,84.558,85.456,88.758,92.472,94.898,97.799,98.146,97.511,102.763,101.908,102.953,105.457,108.093,111.326,120.194,119.366,111.607,95.598,95.265,101.75,107.386,111.171,118.657,116.42,121.82,120.096,122.484,121.015,121.048,123.156,123.069,120.547,117.936,121.157,119.517,122.644,124.497,123.463,125.213,129.604,130.678,124.964,123.581
"14","6","    Nondurable goods","B687RA3",14.394,21.414,19.854,20.395,21.021,21.005,20.144,22.083,21.543,21.612,24.523,17.195,23.831,20.364,21.654,24.7,24.998,25.755,26.499,28.253,29.017,29.841,28.045,26.227,25.844,24.359,24.805,26.297,26.808,27.042,27.805,28.708,28.161,29.02,29.928,26.483,26.113,29.426,32.724,31.981,31.94,32.562,35.638,35.778,35.17,38.49,38.932,37.81,38.733,35.335,36.91,40.009,40.336,38.974,37.266,36.563,35.128,35.399,36.272,36.529,35.985,37.953,39.692,39.32,39.322,36.979,38.262,40.109,39.341,39.018,41.573,42.434,39.336,39.901,40.499,42.255,43.553,42.226,44.863,45.255,45.051,50.288,50.167,48.502,49.454,50.202,51.064,52.797,55.3,54.633,53.902,55.697,57.044,58.389,56.967,56.382,56.048,55.914,55.1,57.181,55.917,58.831,60.249,59.905,60.565,60.303,62.105,64.376,64.77,62.674,63.862,67.319,67.665,70.545,71.855,70.441,69.062,68.174,67.593,68.143,68.262,69.838,69.984,73.173,72.824,72.55,76.444,75.435,74.133,72.95,73.03,73.447,75.375,77.648,76.746,76.867,79.034,77.26,78.666,80.684,82.209,83.755,83.186,85.013,85.327,87.553,82.082,78.982,86.284,89.731,88.079,90.623,90.912,92.404,93.628,96.226,102.786,106.546,106.596,98.935,92.383,95.897,105.234,106.486,110.55,113.925,116.192,119.083,121.995,121.55,123.519,128.947,124.801,127.908,127.197,129.244,127.823,131.366,134.991,142.299,130.773,139.649,141.916,140.515,139.781,143.67
"15","7","      Petroleum and products","IB0000063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.978,19.119,23.515,31.431,29.445,27.645,23.657,27.557,25.967,25.217,23.141,26.876,26.16,25.508,23.191,26.948,31.795,33.45,31.454,29.99,32.007,31.025,33.366,42.942,49.134,37.659,34.018,39.814,42.201,42.641,40.255,40.802,40.775,42.202,35.97,40.393,35.673,35.069,34.33,38.267,39.174,40.339,36.341,41.607,43.162,33.67,40.013,43.713,41.217,42.587,44.838,42.702,42.358,40.398,41.008,35.524,53.834,57.4,49.986,53.215,48.595,47.823,45.583,48.509,42.242,42.221,44.525,49.243,48.647,47.733,50.08,53.048,55.309,54.056,51.745,54.968,55.948,59.494,60.041,63.642,62.508,66.819,55.151,52.617,62.24,63.674,66.494,68.528,67.904,65.267,69.408,77.935,87.671,91.263,93.816,92.018,90.208,95.684,108.5,105.608,103.295,115.351,119.255,122.504,122.962,126.439,136.222,145.151,134.64,140.143,140.518,150.507,138.546,150.323,162.148,180.786,152.904,172.067,181.112,175.249,175.385,185.392
"16","8","      Nondurable goods, excluding petroleum and products","IB0000053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.195,44.349,44.796,45.127,44.794,44.882,49.051,49.386,45.648,46.509,47.717,49.23,51.06,49.488,53.268,53.083,51.898,58.296,58.539,56.693,57.503,58.744,59.42,59.358,61.273,63.013,62.868,63.99,65.206,66.818,65.442,64.568,64.148,63.678,63.954,65.723,65.037,68.92,70.905,69.693,70.382,69.85,72.851,74.796,74.992,74.308,74.43,78.089,79.122,82.581,83.804,82.481,80.814,80.071,79.14,80.75,77.303,78.504,80.306,83.719,84.629,84.529,90.645,88.178,88.532,86.87,86.196,85.332,88.161,91.522,89.656,88.959,91.198,89.142,91.759,93.575,95.406,96.398,95.385,96.59,97.319,98.727,95.786,92.404,98.838,103.39,99.421,102.293,103.053,106.6,106.376,105.91,110.717,114.524,112.901,102.019,93.347,96.001,103.763,106.888,113.984,113.19,114.735,117.528,121.789,119.227,116.733,120.204,119.727,121.399,120.007,117.295,122.13,120.851,119.69,120.302,118.538,121.315,119.615,120.667,119.565,120.75
"17","9","  Capital goods, except automotive","B640RA3",3.474,4.051,4.077,4.065,4.163,4.361,4.427,4.585,4.501,4.523,4.879,4.406,4.888,4.839,5.032,5.285,5.848,6.188,6.571,6.848,7.295,7.974,7.932,8.579,8.33,8.147,7.891,7.905,7.889,8.014,7.972,7.962,7.811,7.971,7.882,7.657,7.969,8.682,9.226,9.873,10.361,10.267,10.603,11.7,12.205,12.795,12.387,12.716,12.612,13.122,12.242,12.323,11.677,11.597,10.976,10.228,10.514,10.582,10.524,11.267,11.183,11.655,11.946,12.724,12.886,13.243,12.718,13.359,13.67,14.264,14.202,14.824,14.732,15.611,17.05,18.384,19.712,20.628,20.867,22.424,22.453,24.286,25.327,24.934,27.735,27.948,28.418,28.118,28.615,30.509,31.424,32.264,33.148,32.599,33.949,34.81,34.833,35.282,35.58,37.635,39.159,40.143,42.643,43.434,45.284,48.1,50.636,53.045,54.485,55.909,56.534,61.468,65.261,69.606,72.749,72.357,72.749,70.993,72.596,75.534,74.324,74.36,78.343,80.993,82.117,88.605,92.6,91.05,90.007,82.058,75.088,72.031,71.196,73.578,74.633,72.066,71.465,71.64,74.622,80.648,82.239,83.168,84.084,84.558,86.853,90.954,90.822,95.889,99.554,102.058,101.722,104.683,106.068,107.858,112.315,114.929,116.883,120.357,120.506,109.857,100.782,96.902,98.146,104.171,107.725,112.595,115.753,118.726,119.74,124.311,125.54,128.217,131.803,131.112,132.831,131.579,130.117,134.105,132.97,134.233,133.997,135.626,137.466,138.005,133.115,134.281
"18","10","    Civilian aircraft, engines, and parts","B688RA3",14.15,9.627,11.108,13.453,14.074,16.268,12.087,12.944,17.15,16.959,15.772,16.648,15.744,13.588,13.817,13.964,16.818,19.162,20.198,19.454,24.065,25.641,20.716,28.955,25.587,22.342,22.693,17.48,17.16,21.909,20.581,19.008,12.9,18.026,14.137,16.639,27.282,33.516,40.024,49.26,48.836,45.634,52.35,50.624,54.595,59.215,56.266,64.489,53.646,62.394,47.73,47.859,42.114,37.986,30.731,29.37,43.146,41.47,27.791,35.071,31.337,33.563,29.195,36.777,40.824,44.373,39.123,45.794,46.026,46.609,48.469,50.055,50.157,44.778,55.769,56.221,60.57,71.293,59.6,68.415,70.338,78.387,93.801,72.946,91.441,90.424,93.567,82.34,81.973,91.897,98.686,102.967,106.926,85.706,91.837,90.669,81.713,80.42,73.317,81.854,81.748,70.686,75.541,67.833,56.835,64.357,60.073,56.224,58.211,66.805,65.364,78.771,83.864,89.119,90.295,86.278,101.105,99.875,117.514,128.35,116.334,102.115,107.159,106.444,87.82,101.294,93.698,91.062,105.288,101.121,92.911,87.663,89.302,90.774,95.715,85.138,80.595,75.889,78.606,88.374,79.545,74.83,77.265,76.477,83.655,96.283,85.631,92.327,97.309,98.622,96.606,104.243,102.425,101.98,111.774,113.603,108.437,109.75,110.293,87.049,105.043,100.74,94.852,99.365,93.186,92.835,94.741,94.157,93.551,99.239,102.865,108.353,116.699,108.171,117.04,119.497,116.821,128.615,131.819,126.816,124.742,133.498,133.7,134.125,134.144,136.574
"19","11","    Computers, peripherals, and parts","B850RA3",0.016,0.017,0.021,0.023,0.027,0.032,0.036,0.04,0.039,0.039,0.039,0.043,0.047,0.047,0.049,0.053,0.058,0.065,0.073,0.083,0.097,0.113,0.116,0.128,0.124,0.122,0.126,0.132,0.144,0.163,0.177,0.19,0.218,0.227,0.259,0.279,0.303,0.354,0.406,0.464,0.514,0.537,0.599,0.709,0.82,0.929,1.083,1.178,1.213,1.219,1.256,1.285,1.262,1.387,1.404,1.49,1.688,1.887,2.141,2.373,2.603,3.003,3.522,3.783,3.906,4.014,3.967,4.115,4.44,4.782,5.127,5.57,5.807,6.61,7.444,8.191,8.879,9.238,9.718,10.431,9.297,10.501,10.931,11.431,12.491,12.396,13.047,13.022,14.122,14.628,15.148,15.708,16.031,17.789,18.609,19.556,19.82,20.204,21.432,22.734,23.942,25.084,26.713,29.023,30.815,32.468,36.349,40.346,44.074,44.593,46.109,49.096,55.2,60.411,63.587,62.119,60.31,61.497,63.285,66.619,66.709,70.49,73.88,75.564,81.206,89.294,95.275,92.543,90.159,80.722,75.149,70.778,66.71,69.037,67.984,70.037,69.633,68.713,74.021,77.983,76.571,76.89,79.922,82.483,85.754,91.191,93.021,94.195,98.19,100.305,97.799,102.149,105.163,101.19,103.365,102.8,105.298,114.156,114.912,99.579,97.765,95.176,100.77,106.29,113.908,115.393,120.193,127.523,134.16,137.519,142.814,142.479,144.377,140.385,138.826,138.368,137.443,141.389,141.162,143.06,143.777,143.754,146.368,143.927,139.02,143.452
"20","12","    Other","B689RA3",5.96,7.47,7.329,7.073,7.137,7.284,7.605,7.804,7.352,7.414,8.243,7.124,8.1,8.158,8.504,8.948,9.813,10.221,10.808,11.286,11.684,12.744,12.983,13.572,13.353,13.224,12.688,12.979,12.889,12.711,12.631,12.639,12.596,12.514,12.446,11.775,11.549,12.234,12.587,12.931,13.666,13.633,13.586,15.336,15.636,16.072,15.225,15.057,15.542,15.828,15.245,15.319,14.652,14.588,14.023,12.725,11.897,11.848,12.431,12.799,12.66,12.79,13.025,13.41,13.239,13.419,13.071,13.377,13.546,14.122,13.571,14.031,13.703,14.891,15.529,16.963,18.098,18.315,19.339,20.417,20.995,22.236,22.139,23.141,24.915,25.378,25.417,26.11,26.321,27.833,28.203,28.694,29.379,30.084,30.994,31.977,32.945,33.599,34.38,35.831,37.573,39.9,42.298,43.558,46.987,49.491,52.395,55.065,55.682,56.36,57.013,61.125,63.941,67.797,71.176,71.661,70.318,67.764,66.694,68.202,68.46,70.007,73.908,77.326,80.854,85.762,91.38,90.296,86.768,78.467,71.464,69.097,68.433,70.99,71.699,69.819,69.971,71.349,73.929,79.572,83.951,86.195,86.368,86.724,87.779,89.759,91.62,97.004,100.312,103.159,103.584,105.255,107.144,110.387,113.903,117.182,120.792,123.985,123.942,117.206,100.02,96.102,98.686,105.193,110.818,117.554,120.84,124.236,124.996,129.404,129.462,131.703,134.128,136.089,136.145,133.726,132.552,134.272,131.767,134.786,134.981,134.676,136.906,137.827,131.468,131.871
"21","13","  Automotive vehicles, engines, and parts","B641RA3",22.747,25.038,24.781,25.421,22.529,26.738,24.633,21.824,26.596,27.997,28.288,25.627,28.083,29.609,31.246,32.836,34.795,36.497,34.708,36.983,38.379,38.713,40.696,41.686,37.993,42.06,43.109,44.754,43.253,44.38,43.972,43.954,43.994,46.627,42.753,43.478,41.913,46.892,43.607,49.149,46.607,45.124,43.698,47.273,41.265,37.237,35.504,39.863,37.171,40.464,39.532,34.938,31.681,33.986,31.941,27.036,28.566,31.599,32.142,36.649,36.926,36.252,39.973,39.015,39.08,41.338,43.613,41.571,39.691,42.546,39.74,40.88,41.324,42.824,42.394,49.001,51.073,51.487,52.406,53.385,57.462,50.963,51.103,54.654,54.977,55.075,53.25,51.183,53.441,55.79,61.55,59.243,61.772,64.802,67.889,70.701,71.105,71.712,69.184,77.092,74.992,78.495,81.332,84.742,87.3,81.664,84.396,83.457,84.163,85.225,91.406,88.457,94.256,97.729,102.032,101.312,103.268,96.438,90.371,99.871,98.107,99.956,101.482,102.688,110.962,105.957,104.402,103.485,96.885,100.955,100.541,98.628,98.419,106.275,105.538,103.135,103.785,106.696,101.729,107.047,109.119,113.271,118.645,119.665,121.539,122.034,125.782,132.597,135.147,133.321,133.864,138.142,143.561,152.672,154.278,153.576,152.169,155.924,159.92,130.67,83.521,83.336,108.175,124.968,129.827,135.446,137.042,143.375,154.535,155.027,162.921,164.581,174.453,173.857,169.321,169.972,175.499,180.056,178.595,180.174,176.728,185.642,193.327,187.181,171.747,176.067
"22","14","  Consumer goods, except food and automotive","B642RA3",5.322,6.293,6.063,5.759,6.2,5.777,6.152,6.715,6.001,6.068,7.121,5.729,7.397,6.759,7.506,7.473,8.23,8.981,9.058,9.25,10.996,11.728,10.981,10.492,9.682,9.407,10.55,11.087,11.012,11.33,11.428,12.157,11.82,12.033,13.322,12.51,13.082,14.999,14.294,14.991,14.408,14.681,14.755,16.468,21.194,17.812,16.693,17.393,17.837,18.273,17.394,16.559,15.503,16.492,16.186,14.885,14.551,14.288,14.128,14.713,14.178,14.378,14.27,14.559,14.124,13.945,13.45,14.175,14.32,15.139,15.546,16.594,16.325,18.075,18.464,19.598,20.739,22.951,23.578,25.301,27.666,30.378,29.564,31.077,32.97,35.461,35.542,35.273,36.654,35.36,35.782,36.482,37.5,38.453,39.672,39.786,39.719,40.373,41.597,41.585,41.677,43.742,46.013,46.963,46.375,46.839,47.929,47.953,49.16,49.828,50.377,52.308,53.974,56.015,55.982,56.476,56.121,57.529,58.044,57.487,57.061,57.56,58.704,60.994,63.166,63.943,65.93,64.667,67.053,66.383,61.605,60.638,60.102,61.473,62.167,61.719,62.991,63.618,65.875,67.665,70.265,73.744,74.499,77.395,79.136,80.909,82.258,84.471,87.466,89.094,90.208,94.545,97.664,98.845,101.114,102.394,106.424,110.341,112.036,103.941,97.296,97.236,99.981,105.487,108.279,106.117,108.708,114.01,111.251,114.791,114.632,116.295,114.945,116.501,117.174,117.808,118.17,126.025,122.695,123.925,127.716,131.568,131.322,132.842,135.662,131.389
"23","15","    Durable goods","B690RA3",5.739,6.662,6.663,6.381,6.147,5.174,6.213,7.107,5.46,5.739,6.447,5.985,7.655,7.184,7.584,7.874,8.367,9.194,9.467,9.986,12.071,13.37,11.866,10.906,9.98,9.802,10.815,11.339,11.766,11.572,12.663,13.053,12.476,12.508,13.433,12.625,14.637,17.058,15.149,16.127,15.261,15.599,15.105,17.617,24.516,17.848,16.537,17.233,16.858,17.393,16.6,15.588,14.031,14.766,14.899,12.269,11.926,12.146,11.515,12.216,12.098,12.075,11.723,12.067,11.536,11.885,10.989,11.717,11.536,12.794,13.099,14.964,14.088,16.222,15.948,17.688,19.041,21.768,21.849,24.124,28.556,31.472,29.816,32.346,34.205,36.182,37.299,35.278,35.862,35.114,36.095,36.856,37.632,38.223,39.321,39.128,39.552,40.98,42.313,41.649,41.462,43.675,44.955,46.163,46.582,46.832,46.902,47.092,47.82,49.018,50.275,52.36,53.184,56.543,56.891,56.501,56.283,57.719,58.621,58.112,55.958,58.294,59.899,63.696,66.062,64.938,67.353,65.551,69.502,68.624,63.126,60.643,61.451,62.495,63.402,61.379,61.376,63.103,65.92,69.382,70.387,74.903,77.466,80.201,82.939,84.725,88.028,89.622,93.476,97.137,97.861,103.326,107.364,110.839,113.695,118.942,123.399,127.599,125.563,108.157,96.449,94.767,101.54,107.244,110.248,115.761,119.59,124.387,125.322,129.295,129.305,130.734,130.061,128.105,128.001,128.707,130.834,143.196,135.144,142.648,143.91,148.805,147.051,147.966,146.424,140.739
"24","16","    Nondurable goods","B691RA3",4.927,5.928,5.538,5.228,6.13,6.151,6.006,6.328,6.347,6.235,7.55,5.409,7.045,6.286,7.308,7.005,7.987,8.659,8.547,8.44,9.862,10.1,10.009,9.944,9.245,8.891,10.123,10.656,10.149,10.909,10.174,11.164,11.04,11.4,12.953,12.152,11.483,12.931,13.302,13.749,13.458,13.67,14.268,15.128,17.435,17.73,16.798,17.491,18.876,19.212,18.249,17.621,17.134,18.411,17.587,17.895,17.572,16.718,17.126,17.57,16.553,17.013,17.184,17.411,17.081,16.306,16.26,16.983,17.504,17.822,18.345,18.463,18.885,20.207,21.339,21.797,22.703,24.347,25.587,26.691,26.752,29.24,29.365,29.734,31.677,34.762,33.679,35.355,37.622,35.721,35.53,36.167,37.456,38.807,40.159,40.602,40.007,39.84,40.952,41.627,42.015,43.932,47.26,47.94,46.29,46.979,49.142,48.992,50.702,50.818,50.628,52.403,54.958,55.619,55.186,56.61,56.11,57.492,57.604,56.995,58.365,56.957,57.623,58.353,60.325,63.088,64.63,63.925,64.677,64.224,60.192,60.825,58.862,60.587,61.058,62.276,64.9,64.365,66.036,66.067,70.351,72.757,71.63,74.701,75.408,77.172,76.488,79.355,81.464,80.992,82.509,85.684,87.858,86.702,88.375,85.676,89.278,92.902,98.312,99.669,98.188,99.765,98.382,103.664,106.216,96.575,97.953,103.731,97.413,100.534,100.214,102.098,100.086,105.06,106.489,107.045,105.696,109.189,110.405,105.564,111.813,114.617,115.857,117.97,125.14,122.281
"25","17","  Other \2\","B643RA3",23.655,23.548,22.66,25.705,26.873,26,27.988,26.482,28.566,29.151,28.052,28.087,30.869,31.639,32.158,33.692,34.025,38.597,36.619,46.519,39.901,44.909,38.458,42.862,44.553,40.123,38.417,45.667,43.353,36.418,44.982,47.058,49.796,50.854,53.358,49.339,44.02,44.119,38.329,43.942,43.646,36.121,34.647,35.742,47.613,38.108,45.428,44.288,47.203,56.427,55.8,50.224,48.601,47.677,48.75,52.092,56.031,48.098,50.317,49.772,55.651,55.576,58.592,57.122,66.539,64.948,61.015,61.501,57.756,62.41,64.299,74.561,85.904,88.349,84.475,81.952,85.937,88.924,87.806,84.395,84.015,84.753,84.5,90.018,76.617,76.955,82.219,84.791,83.702,80.751,77.611,86.784,85.752,82.17,82.412,78.769,76.848,84.611,82.202,80.623,75.743,84.855,85.906,85.283,87.97,81.096,86.888,87.452,83.974,89.371,94.245,103.353,97.661,107.367,107.932,105.238,110.474,106.108,110.2,120.988,118.12,122.245,112.142,116.482,111.008,108.927,112.972,116.564,107.473,113.592,107.06,104.37,111.049,113.92,120.43,114.463,105.104,103.253,106.088,102.277,104.721,109.824,103.667,102.609,110.554,111.538,119.339,117.514,122.928,113.668,121.451,123.346,121.918,115.667,114.313,120.429,114.478,113.991,95.373,105.211,102.519,97.873,91.741,107.867,100.075,104.639,105.394,92.989,91.458,82.782,84.085,80.747,84.187,83.505,85.42,95.134,89.08,82.728,90.424,98.323,92.928,103.693,103.62,113.71,107.02,124.467
"26","18","Exports of services \1\","B646RA3",11.293,12.592,12.347,12.755,12.565,13.772,13.532,13.525,14.38,14.358,13.884,14.675,14.435,13.708,14.715,14.199,14.518,14.629,14.916,13.991,14.767,15.486,14.993,15.968,16.685,17.605,14.924,15.613,15.818,16.228,16.902,16.574,16.516,17.04,17.404,17.516,18.445,18.518,19.19,19.995,20.271,20.308,20.232,20.751,20.383,21.229,21.748,21.613,23.135,23.361,23.396,23.396,22.866,22.522,22.27,21.555,21.665,22.452,22.527,22.389,24.382,25.391,24.852,24.89,25.327,25.654,25.244,26.084,29.17,28.59,29.598,29.641,30.26,30.967,31.734,32.888,33.882,34.769,35.897,36.273,38.366,38.943,39.576,40.828,42.164,42.99,43.082,44.509,42.593,45.9,47.061,48.164,48.351,48.492,48.405,48.358,49.303,49.787,50.297,50.7,52.383,53.458,53.487,54.73,54.91,55.803,58.353,59.505,59.153,60.73,59.149,63.871,63.11,63.784,64.49,64.3,64.38,66.55,65.324,66.521,63.468,63.462,65.855,66.361,66.636,68.415,67.912,68.245,67.055,66.078,63.984,60.483,65.27,65.826,66.403,67.079,65.258,64.977,67.617,70.665,74.64,75.215,74.984,77.801,78.32,77.458,78.043,80.212,81.847,84.264,83.388,89.953,92.075,94.14,97.373,102.262,100.459,103.291,100.141,100.437,97.133,99.24,99.984,103.643,102.212,104.01,108.538,112.322,112.503,115.027,116.782,115.373,116.732,117.934,118.366,120.519,121.178,121.006,121.717,122.505,122.424,123.847,121.585,124.192,126.407,127.188
"27","19","  Transport","Y800RA3",19.233,24.593,24.413,24.08,25.749,26.605,26.975,26.275,26.006,26.78,27.233,24.636,28.179,28.355,29.157,31.266,36.025,35.099,35.825,34.92,35.25,37.012,36.442,38.461,36.142,34.542,35.152,35.944,38.305,36.968,38.525,40.037,38.451,41.286,40.123,37.424,40.148,41.446,43.144,45.004,48.252,48.192,50.265,51.24,49.147,49.388,50.135,50.625,51.411,50.999,50.988,50.144,50.849,49.726,48.133,47.294,46.402,48.048,49.442,51.883,57.292,59.125,58.745,59.059,60.075,59.804,60.649,63.724,61.608,60.471,65.316,65.417,67.115,70.593,73.056,75.724,80.583,83.441,84.654,83.355,87.391,86.964,87.07,90.166,97.152,99.863,98.744,97.535,87.352,96.738,99.746,101.209,95.832,94.417,92.154,93.72,94.121,92.981,92.65,93.566,94.12,98.882,98.597,100.691,101.736,101.473,106.108,109.717,104.444,107.121,103.812,110.947,111.58,111.082,110.984,114.14,109.144,110.399,110.385,109.371,97.376,96.375,97.103,97.878,96.889,98.618,95.827,96.38,95.823,93.29,87.03,78.362,88.627,88.207,87.247,90.148,81.821,80.261,81.87,85.838,87.374,88.519,88.887,85.179,88.236,90.119,90.62,95.152,96.003,96.023,97.287,98.798,102.918,102.222,107.759,110.054,113.722,112.539,110.947,104.891,97.944,99.554,101.091,101.411,103.096,106.072,106.412,108.076,107.127,107.982,110.956,109.399,109.699,111.602,111.098,112.018,114.684,117.426,115.102,117.151,116.979,117.997,117.608,119.286,118.622,119.773
