"","Table 5#8#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"19","11","  Motor vehicle and parts dealers","N864RX1",NA,NA,NA,99.1,99.3,101,102.3,104.2,106.7,105.1,104.1,106,112.2,112.3,113,118.4,118.9,124.7,128.6,130.1,123.6,125.9,128,120.9,125.7,130.3,131,138.1,142.3,145.3,147.2,151,154.7,158.1,158.5,158.5,159.3,154.5,152.6,155.6,155.8,155.9,156,154.9,152.7,153.5,158.1,157.9,154.6,152.3,148.4,145.6,134.9,125.4,114.4,112.7,115.3,119.8,125.7,124.4,125,123.5,123.9,125.5,133.2,138.4,143.5,146,149.4,153.2,157.2,162.7,163.1,165.7,168.5,169.4,170.6,173.6
"20","12","  Food and beverage stores","N239RX1",NA,NA,NA,36.9,37,37.2,37.6,37.4,37.7,38.3,38.3,38.7,39.3,39.8,40.4,40.7,40.6,40,40.2,39.9,40.2,40.4,40.4,40.5,40.6,40.8,41.6,41.5,41.3,40.4,40.8,40.1,40.2,40.4,40.5,40.4,40.5,40.5,39.9,40.2,40.6,41,41.1,41.2,41,41.4,42,42.4,42.2,42.3,42.1,41.9,42.6,42.3,42.2,41.6,41.9,41.7,41.9,41.9,41.4,41.7,41.8,41.8,42.3,41.9,41.9,41.9,42,42.3,42.3,42.6,42.8,42.8,43.1,43.3,44,44
"21","13","  General merchandise stores","N240RX1",NA,NA,NA,67.2,67.1,68,67.7,67.4,67.4,67.3,68,67.8,68.7,69.3,69.9,70.9,71,71.7,71.5,72.1,73.5,73.7,73.7,72.2,71.9,72,73.2,74.6,74.8,75.1,75.7,76,77.7,78.6,78.9,80.9,82.6,82.9,83.5,84,83.3,82.9,84.2,85.1,85.2,85.4,84.6,84.8,83,82.4,82.2,80.8,80,79.3,77.9,77.9,78.1,78.8,79.9,80.1,81.2,80.9,80.7,81,80.5,81.1,80.5,82,82.1,81.9,82.1,82.1,82.5,81.4,81.9,81.6,81.7,83.8
"22","14","  Other retail stores","N865RX1",NA,NA,NA,153.9,155.4,158.9,161.9,163.7,168.6,170.6,173.6,176.8,179.1,181.9,182.5,186.2,187.8,190.8,192.4,194.7,194.3,193.2,193.8,192.9,193.5,195.7,198.5,198.7,201.7,201,202.5,204,206.7,209.9,212.4,216.2,217.8,219.9,220.2,221.8,224.5,226.6,228.4,230.4,230.7,232.7,232.5,233,228.3,225.7,224.7,219.7,215.9,211.6,207.7,206.1,206,207.8,208.9,210.3,210.4,209,208.2,207.2,207.6,210.1,210.9,211.5,213.6,215.6,218.7,221.7,223.1,223.7,224.5,226.7,230,232.5
"23","15","Other industries","N385RX1",NA,NA,NA,95.6,98,99.3,100.3,101.8,102.8,104.4,106,108.4,110.6,113.2,115.2,116.8,119.9,123.8,129.1,131.1,131.6,131.4,131.1,130.7,129.9,130.4,130.2,129.9,129.8,130.8,131.1,131.6,132.8,133.8,135.1,136.2,136.9,137.7,137.7,138.7,139.3,140.9,142.2,143,143.2,143.6,143.2,142.8,143,142.7,142.7,144.6,143.3,141.1,139.6,139.1,138.8,138.3,138.1,138,139.4,139.9,140,141.3,138.5,142.1,143.5,144.7,143.6,144.7,146.6,145.7,145.9,148,150.6,152.8,155.6,156.1
"24","16","Residual","N968RX1",NA,NA,NA,-16.4,-15.9,-15.6,-16,-15.7,-14.7,-15.2,-14.9,-14.3,-12.6,-11.9,-11.4,-9.3,-8.3,-6,-5,-4,-6.1,-6.9,-6.9,-9.9,-8.8,-7.6,-7,-5.6,-4.4,-4,-3.9,-3.5,-2.6,-2,-1.6,-1.7,-1.6,-1.9,-2.1,-1.9,-1.3,-0.2,0.3,0.7,1,0.9,0.8,0.7,0.9,1.3,1.3,0.3,0.7,0.5,0.4,0.2,0.2,0,0.1,-0.2,-0.9,-0.9,-2.2,-2.2,-4.1,-6.5,-7.9,-9.9,-10,-10.3,-10.5,-10.5,-11.3,-11.8,-12.7,-13.1,-13.5,-13.9
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Private inventories","A371RX1",NA,NA,NA,1517.3,1530.2,1558.4,1578.6,1602.2,1634.1,1646.5,1663.4,1681.1,1705.5,1716.8,1729.7,1756.6,1762.5,1789.7,1806.8,1822.8,1813.3,1810.1,1800.9,1776.6,1775.6,1782.2,1790.3,1799.1,1808.2,1808.1,1810,1821.7,1835.8,1856.2,1874,1893.1,1920.9,1929.2,1933.7,1957.4,1977.1,1998.2,2018.7,2029,2033.9,2046.3,2058.8,2064.6,2059.5,2052.9,2047.7,2030.9,1994.8,1947.2,1895.7,1883.3,1885.8,1898,1927,1941.5,1947.8,1962.2,1958.9,1979.1,1993.1,2012.3,2029.9,2033.8,2040.1,2050,2073.4,2095.2,2104.4,2123.7,2143.7,2163.2,2191.4,2221.7
"27","18","    Durable goods industries","N241RX1",NA,NA,NA,634.7,642.2,656.3,665,677.5,696.7,702.9,711.8,720.9,735.4,738.7,746.1,762.9,767.7,783.9,792.9,802.6,790.2,783.3,773.8,752.7,754.9,759.7,764,772.7,780.7,781.5,779.4,789.1,798.7,812.2,822.5,831.2,848.9,854.4,859.7,875.9,882.7,894.2,907.6,911.5,915.8,916.8,920.4,927.5,922.8,911.6,909.6,903.3,868.1,831.8,798.2,786.3,791.8,800.5,816.7,824,835.2,846.3,854.6,864.5,878.6,896.5,911.2,917.4,923.8,930.1,944.3,959.4,971.3,984.9,1001.1,1012,1026.4,1040.2
"28","19","    Nondurable goods industries","N242RX1",NA,NA,NA,888.6,893.5,907.1,918.7,929.2,940.9,946.9,954.5,962.8,971.8,980.2,985.3,994.4,995,1005.3,1013.2,1019.1,1023.1,1027.7,1028.7,1027.1,1023.5,1025.1,1028.9,1028.3,1029,1028,1032.3,1034,1038.3,1045,1052.2,1062.5,1072.4,1075,1074.2,1081.6,1094.5,1104.1,1111,1117.6,1118.1,1129.4,1138.3,1137,1136.6,1140.7,1137.7,1127.4,1126.4,1115.2,1097.3,1096.8,1093.8,1097.5,1110.5,1117.9,1113.6,1117.4,1106.9,1117.3,1118.2,1120.7,1124.6,1122.9,1123.3,1127.1,1136.9,1144.3,1142.5,1148.9,1153.6,1162.5,1176.5,1193.1
"29","20","  Nonfarm industries","A373RX1",NA,NA,NA,1345.9,1360.7,1386.7,1404.5,1426.3,1456.6,1469.4,1485.4,1502.7,1527.1,1538,1553.1,1580.4,1590.6,1616,1633.4,1647.5,1636.6,1634.2,1624.7,1601.7,1600.1,1609.1,1618,1627.1,1635.4,1635.6,1637.4,1649.6,1662.3,1678.7,1694.4,1712,1741,1749,1752.7,1775.9,1795.1,1817.8,1839.7,1851.3,1855.4,1868.7,1881.7,1887.8,1884,1876.8,1870.4,1852.8,1816.8,1769.5,1719.1,1706.8,1710.1,1723.7,1755.4,1772.7,1779,1793.7,1789.8,1809.3,1825.8,1848.8,1873.2,1882,1887.9,1896.2,1917.2,1936.3,1945.4,1964,1982.6,2001.3,2028,2057.6
"30","21","  Wholesale trade","N379RX1",NA,NA,NA,333.7,339.6,349.6,354.6,363.6,373,377.1,385.6,390.1,396.9,399.4,406,413.7,418.7,426.2,430.4,436.9,435.1,433.2,426.1,421.6,419.5,421.2,422.6,422,420.3,419,419.1,423.9,427.9,432.9,441.5,448.1,460.1,466.6,470,479,484.9,492.6,500.5,502.8,506.1,510,515.7,518.7,522.5,530.3,534.3,537,519.3,497.2,476.9,475.1,476.5,480.4,494.1,499.9,501.1,510.2,508.4,516.5,519.7,526.1,538.2,542.2,546.6,547.6,555.7,566.7,573.5,579,587,596.3,608.5,619.6
"31","22","    Merchant wholesale trade","N802RX1",NA,NA,NA,283.7,289.4,298.5,303.1,310.6,318.8,322.8,330.7,334.6,340.7,342.1,347.7,354.8,358.8,364.6,367.4,373,372,371.2,366.6,363.1,362.2,363.2,364.4,364.2,363.3,362.2,362.4,366.6,370.2,374.4,381.8,388.6,396.6,401.5,404.4,410.4,414.3,421.2,427.5,428.3,430,432.4,435.9,438.2,436,439.7,443.9,444.1,431.3,413.6,397.6,398,398,401.1,413.3,418.6,418.7,426.2,424,431.1,434,440.2,450,452.7,457.2,458.2,466.2,475.9,484.5,490.5,499.8,509.8,520.1,530.2
"32","23","      Durable goods industries","N803RX1",NA,NA,NA,160.7,164.5,171,173.1,177,183,185.4,190.9,193.7,197.8,200.2,202.8,207.8,210.3,215.6,217,219.7,218.6,213.2,208.6,204.3,202.2,202.1,203.7,201.8,203.5,203.3,202.2,204.8,209.1,214.2,220.8,225.1,230.8,235.5,237.1,242.4,245,251,255.8,257.5,259.5,258.4,258.1,260.1,262,262.7,267.9,266.7,252.5,238.9,227.6,222.2,224.1,224.9,230.4,235,237.6,244.2,248.3,252.2,256.7,262.9,267.7,272.2,276.2,276.5,281,286.5,291.2,297.4,304.1,307.6,314.3,318.4
"33","24","      Nondurable goods industries","N804RX1",NA,NA,NA,124.3,125.9,128.1,130.8,134.6,136.4,138,140.2,141,143,141.5,144.6,146.6,148,148.2,149.6,152.6,152.8,158.3,158.6,159.9,161.3,162.5,161.9,163.9,161.1,160.1,161.6,163.1,162.3,161.1,161.7,164,166.2,166.3,167.6,168.1,169.5,170.3,171.7,170.7,170.4,173.9,177.7,178,174.1,177,176,177.4,178.9,174.8,169.9,175.8,173.9,176.2,182.8,183.6,181.4,182.5,177,180.1,178.9,179.3,184.1,182.9,183.6,184.2,187.7,192,195.8,196,198.7,205,208.7,214.6
"34","25","    Nonmerchant wholesale trade","N805RX1",NA,NA,NA,50.5,50.8,51.7,52,53.6,54.7,54.8,55.4,56.1,56.7,57.9,58.9,59.5,60.5,62.2,63.6,64.5,63.7,62.5,60,59,57.8,58.5,58.7,58.3,57.5,57.2,57.1,57.8,58.1,58.9,60.1,60,64,65.5,66,69,70.9,71.8,73.4,74.9,76.3,77.9,80,80.7,86.4,90.4,90.4,92.9,88,83.5,79.3,77.1,78.5,79.3,80.8,81.3,82.3,84,84.4,85.3,85.6,85.9,88.2,89.4,89.4,89.4,89.6,90.9,89.3,88.8,87.7,87.1,88.9,89.9
"35","26","    Final sales of domestic business \2\","A809RX1",NA,NA,NA,583.1,588.3,592.6,604.7,608.1,613.2,625.2,633.3,646.4,650.9,660.9,669.9,678.9,688.5,695.9,699.5,703.2,705.5,706.2,702.9,708.7,708.2,709.5,712.2,711,716,725.2,742.5,749.8,754.1,758.3,767.2,775.5,782.7,793.7,801.6,802.2,815.5,818.2,818.4,830,833,838.3,844.6,850.3,843.3,848.9,838.2,814.5,803.3,801,804.1,801.5,802.7,810.5,813,827.6,829,834.1,842.8,849.7,859.4,864.2,865.9,872.1,879,882,888.3,901.9,902.1,912.7,925.4,933.1,930.9,941.7
"36","27","    Final sales of goods and structures of domestic business \2\","A810RX1",NA,NA,NA,327,330.6,333.1,341.9,343.2,346,353.1,359.1,368.9,370.7,377.4,382.2,387.2,392.7,396.4,398.5,399.6,400.5,401.8,398.8,403.7,400.8,399.4,400.8,398.2,402.3,408.6,423.1,427.4,427.6,430.2,435.9,440,445.8,453.9,458.5,456.8,468.2,466.8,464.9,470.9,470.5,473.9,477,480.3,473.9,478.4,470.9,448.1,439.7,438.5,441.9,438.3,438.7,443.2,442.3,452.4,450.6,454.3,461.6,468.4,476.7,481.1,482.6,487.4,493.4,495.1,499.6,508.3,506.1,514.2,523.8,525.4,520.1,528.9
"37",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","28","  Private inventories to final sales","A811RX2",NA,NA,NA,2.6,2.6,2.63,2.61,2.63,2.66,2.63,2.63,2.6,2.62,2.6,2.58,2.59,2.56,2.57,2.58,2.59,2.57,2.56,2.56,2.51,2.51,2.51,2.51,2.53,2.53,2.49,2.44,2.43,2.43,2.45,2.44,2.44,2.45,2.43,2.41,2.44,2.42,2.44,2.47,2.44,2.44,2.44,2.44,2.43,2.44,2.42,2.44,2.49,2.48,2.43,2.36,2.35,2.35,2.34,2.37,2.35,2.35,2.35,2.32,2.33,2.32,2.33,2.34,2.33,2.32,2.32,2.33,2.32,2.33,2.33,2.32,2.32,2.35,2.36
"39","29","  Nonfarm inventories to final sales","A812RX2",NA,NA,NA,2.31,2.31,2.34,2.32,2.35,2.38,2.35,2.35,2.32,2.35,2.33,2.32,2.33,2.31,2.32,2.34,2.34,2.32,2.31,2.31,2.26,2.26,2.27,2.27,2.29,2.28,2.26,2.21,2.2,2.2,2.21,2.21,2.21,2.22,2.2,2.19,2.21,2.2,2.22,2.25,2.23,2.23,2.23,2.23,2.22,2.23,2.21,2.23,2.27,2.26,2.21,2.14,2.13,2.13,2.13,2.16,2.14,2.15,2.15,2.12,2.13,2.12,2.14,2.16,2.16,2.15,2.15,2.16,2.15,2.16,2.15,2.14,2.14,2.18,2.19
"40","30","  Nonfarm inventories to final sales of goods and structures","A813RX2",NA,NA,NA,4.12,4.12,4.16,4.11,4.16,4.21,4.16,4.14,4.07,4.12,4.07,4.06,4.08,4.05,4.08,4.1,4.12,4.09,4.07,4.07,3.97,3.99,4.03,4.04,4.09,4.07,4,3.87,3.86,3.89,3.9,3.89,3.89,3.91,3.85,3.82,3.89,3.83,3.89,3.96,3.93,3.94,3.94,3.95,3.93,3.98,3.92,3.97,4.13,4.13,4.04,3.89,3.89,3.9,3.89,3.97,3.92,3.95,3.95,3.88,3.86,3.83,3.84,3.88,3.86,3.83,3.83,3.84,3.81,3.84,3.82,3.79,3.81,3.9,3.89
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Inventories are as of the end of the quarter.The quarter-to-quarter changes calculated from this",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","table are at quarterly rates, whereas the change in private inventories component of GDP is stated at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
