"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248"
"11","3","  Nonfarm \2\","A358RC1",175.4,182.2,185.4,194.2,199.9,202.8,208.5,210.6,207.8,204.4,206.6,203.8,213.2,221.9,236.6,244.1,255.6,260.4,265.3,267.8,271,269.5,273,288,293.7,296.8,296.1,290.7,288.3,288.5,292.2,300.5,312.8,319,326.7,332.5,333.3,337.5,340.3,347.8,356.4,356.4,361.5,356,344.3,346.2,358.8,371.9,381.2,393.9,393.5,394.8,407,403.1,403.3,395.7,398.7,409.9,418.3,427.8,438.7,444.8,450.2,450.7,457.3,464.9,476,482.6,497.6,504.7,514.4,516.2,533.7,542.8,556,573.5,591.5,599.8,608.1,617.8,625.2,627.3,637,648.1,671,691.5,700.4,713.2,734.3,743.5,755,757.1,764.6,777.4,789.5,788,823.6,839.3,854.8,860.3,893.8,922.4,938.9,962.2,1004.7,1027.4,1037.8,1060.7,1077.2,1116.7,1135.3,1161.2,1171,1197.1,1241.6,1281.6,1337.1,1364.9,1392,1428.7,1472.6,1532.8,1585.9,1608.4,1636.3,1749.3,1797.6,1867.3,1892.6,1948.7,2004.3,2045.4,2101.3,2099.1,2130.7,2227.7,2345.8,2362.5,2433,2436.6,2413,2456.3,2473.2,2498.7,2556.7,2654.2,2758.4,2839.8,2911,2993.6,3043.6,3082.4,3146.9,3193.6,3264,3305.1,3359.1,3384,3426,3468.4,3510.2,3574.8,3631.1,3717.3,3758.7,3856.7,3917.8,4015.7,4080,4151.3,4209.5,4237.9,4335,4390.8,4417,4401,4414.5,4474.4,4535.6,4573.4,4648.4,4716.2,4791.2,4890.9,4930.8,4982,5044.8,5144.8,5221.6,5326.3,5397.4,5504.2,5551.5,5582.1,5664.9,5729.6,5798.5,5926.7,6012.7,6126.2,6211.2,6344.3,6452.3,6527.3,6623.6,6673.9,6779.4,6915.6,7001.3,7093.1,7216.2,7388.1,7446.1,7615.2,7626.2,7693.2,7719.7,7795.6,7752.6,7804.3,7871.8,7937.7,8017.6,8051.6,8115.4,8210.1,8454.5,8512.9,8640.2,8811,8948.6,9091.4,9265,9399.7,9616.9,9727.9,9935.7,10086.6,10146.6,10219.8,10319,10479.8,10627.2,10673.3,10752.9
"12","4","  Farm","B359RC1",20.3,17,18.9,20,19.9,23.6,23.2,21.7,18.4,17.9,17.2,16.9,17.7,17.9,19.1,20.2,21.2,21.9,21.5,22,20.3,21.1,22.4,19.4,19.6,18.9,18.3,17.9,19.1,18.2,18.3,17.1,17.4,17.9,17.3,16.5,16.7,16.9,17.3,17.3,16.4,16.8,17.3,17.2,19.6,19.7,19,18.1,18,16.9,16.7,17.6,17,18,18.6,19.1,19,17.7,17.9,18.7,19,18.4,17.9,18.4,19,18.3,18.2,18.4,17.2,17.1,16.9,18.2,19.1,19.9,20.1,20.6,22.8,20.3,20.1,20.1,20.2,19.5,20.5,20.2,20.2,19.8,20.7,21.2,20.9,22.4,23.3,24.7,24.1,23,24.2,23.4,24.6,25,25.1,26.8,24.5,27.6,29.9,36.6,36.8,44.6,47.6,58.1,49.1,40.6,42.4,44.9,42.1,43.1,47.8,49.5,45,42.6,42,42.5,43.8,42,39.6,48.8,47.6,51.9,53.1,50.4,60.3,58.5,61.1,60.5,52.4,40,51.6,61.4,61.9,63.7,71.2,63,61.2,60.2,61.6,58.7,57,46.8,35.1,40.9,62.5,64.5,63.4,66.2,66.9,63.3,60.9,62.3,57.7,56.3,62.7,60.9,59.9,60.4,61.7,64.4,68.5,61.2,65.1,50.6,76.7,71.9,70.7,74.9,79.5,77.2,76.2,73.5,69.3,71.5,66.6,72.1,77.2,80.2,81.3,76.3,67.2,74.5,62.5,78.2,89.3,84.1,79.1,74.2,65.6,63.4,67.6,77.6,89.2,99.6,85.7,88.1,94.5,82.3,89.1,86.6,81.6,77.8,75.5,80.7,80.6,69.4,64.1,60.9,71.6,72.9,72.2,69.5,72,69.6,71.3,79.6,66.5,61.4,72.9,82.6,79.6,88.9,90.1,94.4,117.4,119.7,109.4,112.2,102.4,103.9,98.3,98.9,92,87.3,96.1,107.3,116.6,124.9,134.6,143.2,133.6
"13","5","Households and institutions","A193RC1",12,12.8,13.3,13.5,13.7,14.2,14.7,14.8,15.1,15.5,15.7,16.4,16.8,17.1,17.6,18.2,18.9,19.2,19.7,20.3,20.8,21.4,22.1,22.6,23.2,24,24.6,24.9,25.3,25.9,26.5,27.5,27.8,28.5,29.3,30.2,30.5,31,31.9,32.6,33.1,33.8,34.5,35.1,35.9,37,37.4,37.9,38.6,39.5,40.5,41.7,42.6,43.6,44.3,45.3,45.8,46.2,46.8,48,48.9,49.8,50.9,51.9,52.5,53.1,53.9,54.8,55.7,56.6,57.3,58.2,59,60.3,61.7,63.1,63.9,64.8,66.5,67.9,69.1,70.2,71.5,72.8,74.1,75.6,77.2,79.1,80.9,83,85.3,87.7,88.8,90.2,92.2,94.5,97.5,99.5,101.8,104.6,106.8,108.8,110.7,113.1,115.8,118.6,121.3,124.4,127.1,130.1,133.2,136.6,140.2,143.5,147.1,150.6,153.5,156.4,159.5,163,166.4,169.9,175,180,186.6,190.6,195.9,202.3,208.2,212.7,220,228.7,237.6,246.7,253.1,262.2,270.9,278.9,287.6,297.3,304.7,310.6,319.6,326.3,332.3,339.6,347.1,357.2,363.7,369.8,381.1,390.1,394.2,402.5,409.2,418.2,425.6,434.6,445.9,445.6,464,467.6,481,501,507.9,519.1,529.7,543.9,553.1,564.7,575,585.6,597.6,612.9,629.1,636,646.6,656.1,664.8,675.4,680.6,695.6,703.9,711.5,724.1,729.7,733.8,740.2,751.1,763.9,779.3,790.6,804.1,812.7,816.6,828.3,836.9,845.9,856.8,869.3,880.1,890.7,901,911.4,924.2,940.7,959.8,974,987,1005.7,1016.5,1040,1059.1,1069.4,1087.9,1106.5,1128.4,1146.6,1176.2,1190.3,1213.4,1233,1230.5,1232.3,1252,1256.5,1254.1,1314.2,1321.7,1338.1,1366.3,1373.8,1383.5,1396.6,1408.9,1429.9,1464.3,1490.2,1512.3,1534.5,1560,1588.9,1614.5,1643.8,1665
"14","6","  Households","B701RC1",9.1,9.3,9.8,10,10.1,10.3,10.6,10.8,11,11.2,11.5,12,12.4,12.6,13,13.3,13.9,14.2,14.7,15,15.2,16,16.7,16.9,17.2,17.9,18.5,18.8,19.1,19.5,19.9,20.6,21.1,21.4,22,22.7,23.1,23.4,23.9,24.3,24.7,25.3,25.8,26.3,26.6,27.5,27.9,28.3,28.7,29.4,30.1,30.9,31.4,31.9,32.6,33.2,33.7,33.9,34.4,35.2,35.8,36.3,37,37.8,38.1,38.5,39,39.5,39.9,40.7,41.1,41.6,42.1,42.9,43.7,44.5,45,45.3,46.2,47.2,47.8,48.4,49,49.8,50.4,51.2,51.9,52.8,53.9,55,56.1,57.3,57.9,58.6,59.8,61.3,62.9,64.2,65.9,67.4,68.7,69.7,70.8,72,73.6,75.1,76.7,78.6,80.2,81.5,83.2,85.1,87.4,89.3,91.1,93.3,95.1,97.1,99.1,101.2,103.4,105.6,108.8,111.3,115.9,118.3,121.4,126.1,129.8,131.7,136.1,142.3,148,154.1,157,162.9,168.5,173.6,179.4,185.7,190.1,193,198.2,201.7,205.1,209.2,212.9,219.4,222.7,225.1,233.4,239.6,242.2,248.1,251.3,256.9,261.5,265.2,269.7,273.1,277.9,282.2,291.4,298.7,305.2,308.1,314.5,323.2,328,334.7,340.1,345.1,351.1,359.5,368.2,372.8,378.2,380.7,385,389.7,389.8,396,400.2,402.7,411.3,413,413.4,416.9,425.1,434.9,445.7,452.3,457.7,462.2,462.9,470.4,475.2,480.8,487.7,495.2,501.8,507.2,512.3,517.1,524.2,533,544.1,550.6,561.3,570.6,580.6,593.2,604.3,609,618.7,630.6,639.5,651.4,674.8,682.4,688.7,696.5,684.3,681,693,691.5,683.2,731.7,734.4,739.2,751.3,754.6,763.4,769,773.1,787.9,811.2,829.1,844.6,851.9,864.8,883,897.7,917,924.2
"15","7","  Nonprofit institutions serving households \3\","B702RC1",3,3.4,3.5,3.5,3.6,3.8,4,4,4.2,4.3,4.2,4.4,4.4,4.5,4.6,4.9,5,5,5,5.4,5.6,5.4,5.4,5.7,6,6.1,6.1,6.1,6.3,6.4,6.6,6.9,6.8,7.1,7.3,7.5,7.4,7.6,7.9,8.2,8.4,8.5,8.7,8.8,9.2,9.5,9.5,9.6,9.9,10.1,10.4,10.8,11.2,11.6,11.8,12.1,12.1,12.3,12.5,12.8,13.1,13.5,13.8,14.1,14.3,14.7,14.9,15.3,15.7,15.9,16.2,16.6,16.9,17.4,18,18.6,18.9,19.5,20.3,20.8,21.3,21.8,22.4,23,23.7,24.4,25.4,26.4,27.1,28,29.2,30.5,30.8,31.6,32.4,33.1,34.5,35.3,35.9,37.1,38.1,39.1,39.9,41,42.2,43.5,44.6,45.8,46.9,48.6,50,51.5,52.9,54.2,56,57.4,58.4,59.3,60.4,61.8,63,64.3,66.2,68.7,70.6,72.3,74.5,76.1,78.5,81,83.9,86.4,89.5,92.6,96.1,99.2,102.4,105.3,108.3,111.5,114.6,117.6,121.4,124.6,127.2,130.3,134.2,137.8,141,144.7,147.7,150.5,151.9,154.4,157.9,161.3,164.1,169.4,176.3,172.5,186.1,185.4,189.6,202.2,202.7,211.1,215.1,220.7,225.1,230,234.9,240.4,246.5,253.4,261,263.3,268.4,275.4,279.8,285.7,290.8,299.6,303.7,308.8,312.8,316.7,320.4,323.3,326,329,333.6,338.4,346.4,350.5,353.8,357.9,361.7,365.1,369.1,374.2,378.3,383.4,388.7,394.3,400,407.7,415.7,423.3,425.7,435.1,435.9,446.8,454.8,460.4,469.2,475.8,489,495.2,501.4,508,524.6,536.4,546.2,551.3,558.9,565,570.8,582.4,587.3,598.9,615,619.2,620.2,627.6,635.8,642,653.1,661.1,667.7,682.5,695.2,705.9,716.8,726.8,740.8
"16","8","General government \4\","A765RC1",29.5,28.5,26.9,26.7,26.9,26.8,27.5,28,28.6,28.5,28.2,28.1,27.6,27.6,28.7,30.9,33.3,35.2,37,37.8,39.2,40.2,41.1,41.4,41.8,42.4,42.2,42.4,42.5,43.4,43.8,44.3,44.6,45.6,46.2,46.8,47.7,48.7,49.8,50.4,51.3,52.2,53.1,53.3,54.1,55.3,56.6,57.2,57.6,58.1,58.5,59.1,60.3,61.5,62.7,63.5,64.4,65.2,66.4,68,69.5,70.2,71,72.3,73.7,74.8,75.8,77.7,79.2,80.4,81.9,83,83.9,85.2,87.4,90.3,92.6,95.1,98.7,101.2,103.5,105.5,108.1,111.6,114.6,117.4,121,122.8,124.8,127.4,132.8,135.2,139.9,142.6,144.9,147,152.7,155.3,157.5,160.1,165.4,167.1,170.1,175.2,178.3,181.3,184.4,189.1,193.5,197.9,203.3,210.7,216.6,221.9,226.7,232.7,236.9,241,244.8,251.1,256.6,261.3,266.2,274.4,279.5,283.9,289.6,297,303.3,307.6,315.2,325.9,334,343.5,351.2,365.6,374.2,380.8,386.8,399.6,407.9,415.7,421.7,430.8,436.9,443.6,448.7,452.5,472.4,480.8,490.1,497.6,511.5,519,527.3,536.2,543.2,550.8,559.2,571.2,579.7,587.2,594,603.7,616.9,625.9,634.1,643.5,657.3,666.2,676.6,685.9,704.3,716.7,727.1,738.2,757.6,762.3,768.7,774.9,789.8,798.1,804.1,805.6,820.6,825.9,833.4,837,848.9,856.3,859.4,863.2,877.1,879.5,882.9,887,899.6,904.4,911.1,916.8,928,933.1,939.5,946,957.2,965.5,974.9,983.5,997.7,1005.9,1016.7,1030.5,1052.7,1065.4,1075.9,1084.4,1101.4,1117.1,1135.1,1152.1,1181.6,1194.5,1206.4,1224.7,1258.5,1276.4,1287.5,1298.1,1326.2,1341.5,1355,1371,1403,1417.2,1434.7,1448.8,1472.6,1490.9,1511.8,1530.7,1556.3,1575.2,1594.2,1613.9,1644
"17","9","  Federal","A766RC1",21.1,19.9,18,17.4,17.2,16.9,17.1,17.2,17.7,17.5,17,16.8,16.2,16,16.8,18.6,20.7,22.2,23.6,24.1,25.3,26,26.4,26.5,26.6,26.9,26.6,26.5,26.3,26.6,26.6,26.7,26.9,27.6,27.8,27.9,28.2,28.7,29.1,29.1,29.6,29.9,30.2,29.9,30.3,30.8,31.6,31.8,31.7,31.8,31.9,32,32.4,32.9,33.4,33.6,33.7,34,34.4,35.4,36.1,36.3,36.6,37.2,37.8,38.2,38.4,39.4,40,40.4,41.1,41.3,41.3,41.6,42.6,44.4,45.3,46.3,48.4,49.3,50.3,50.9,51.8,53.7,54.6,55.7,57.7,57.6,58,58.5,61.7,61.9,63.9,64.1,64.2,64.2,67.1,67.6,67.7,68.6,71.3,70.7,70.9,73.4,73.3,73.2,73.6,75.8,77.1,78.1,79.7,83.5,85.2,86.1,87.4,90.7,91.6,92.6,93.8,97.3,99.5,100.9,101.7,106,107.2,108.5,109.9,113.3,114.4,115.8,117.5,122.8,125.3,128.9,130.9,139.9,142.8,145.2,147,154.7,157.1,159.9,161.8,166.2,168,170.9,172.8,173.5,188,191,194,195.6,202.6,204.4,205,208.3,210,211.6,213.5,215.5,220.5,222,224.4,226.7,231.6,233.8,236.1,238.1,244.4,246,248.1,247.9,254.6,257.9,259.3,263.9,274.9,274.5,275.1,275.4,281.8,283.5,283.2,279.9,285.9,286.2,287.4,285.6,287.7,288.4,285,283.8,287.1,285.1,284.2,282.5,288.8,288.9,288.8,288,291.7,291.2,290.9,289.6,292.6,292.7,293.2,293.7,300.2,299.8,300.9,302.7,312.8,316.8,316.4,315.5,321.1,323.8,327.4,330.4,349.4,351.1,351.8,359.2,379.3,384.8,385.4,386.2,406.2,411.9,414.4,417.8,436.8,436.9,440.2,441.7,454.1,457.4,460.6,462.3,470.8,474.6,479.3,482.6,497
"18","10","  State and local","A767RC1",8.3,8.6,8.9,9.3,9.6,9.9,10.4,10.8,10.9,11,11.2,11.3,11.4,11.6,11.9,12.3,12.7,13,13.4,13.7,13.9,14.2,14.6,14.9,15.2,15.4,15.6,15.9,16.2,16.8,17.2,17.5,17.7,18,18.4,18.9,19.5,20.1,20.7,21.3,21.7,22.3,22.9,23.4,23.8,24.5,25,25.5,25.9,26.3,26.6,27.1,28,28.6,29.3,29.9,30.6,31.2,32,32.6,33.3,33.9,34.4,35.1,36,36.7,37.4,38.3,39.2,40,40.8,41.6,42.6,43.6,44.8,45.9,47.3,48.7,50.3,52,53.2,54.6,56.4,57.9,60,61.6,63.3,65.2,66.8,68.9,71.1,73.3,76,78.5,80.7,82.8,85.6,87.7,89.8,91.4,94.1,96.4,99.2,101.8,105,108.1,110.8,113.3,116.4,119.8,123.5,127.2,131.4,135.8,139.3,142.1,145.4,148.4,151.1,153.8,157.1,160.4,164.5,168.4,172.3,175.4,179.7,183.7,188.9,191.8,197.7,203.1,208.7,214.5,220.3,225.7,231.4,235.6,239.9,244.9,250.8,255.8,259.8,264.6,268.9,272.7,275.9,279,284.4,289.8,296.1,302,308.9,314.6,322.3,327.9,333.3,339.2,345.7,355.7,359.2,365.3,369.6,377,385.3,392.1,398,405.4,412.9,420.2,428.5,438.1,449.7,458.7,467.8,474.3,482.7,487.9,493.6,499.5,508,514.6,520.9,525.7,534.7,539.8,546,551.4,561.2,567.9,574.3,579.4,590,594.5,598.8,604.5,610.7,615.5,622.3,628.8,636.3,641.9,648.6,656.4,664.6,672.8,681.7,689.8,697.5,706,715.9,727.8,739.9,748.6,759.5,768.9,780.3,793.4,807.8,821.6,832.2,843.5,854.6,865.5,879.2,891.6,902,911.9,920,929.6,940.6,953.2,966.2,980.2,994.5,1007.1,1018.5,1033.5,1051.2,1068.5,1085.5,1100.5,1114.9,1131.4,1147
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009C1",11.5,11.9,12.3,12.7,13,13.4,13.7,14,14.4,14.7,15.1,15.4,15.8,16.2,16.7,17.2,17.7,18.2,18.8,19.3,19.9,20.5,21.1,21.7,22.3,22.9,23.5,24,24.6,25.1,25.6,26.1,26.5,26.9,27.4,27.8,28.3,28.8,29.3,29.9,30.5,31.1,31.8,32.4,33,33.6,34.3,34.9,35.7,36.5,37.4,38.2,38.9,39.4,40.2,41.1,41.7,42.4,43.1,44,44.7,45.6,46.4,47.3,47.8,48.5,49.2,50,50.5,51.2,51.9,52.8,53.6,54.4,55.3,56.2,57,57.7,58.6,59.7,60.7,61.5,62.6,63.6,64.5,65.2,66.3,67.7,69,70.5,72,73.5,74.6,75.7,77.3,79.1,81,82.9,85,86.9,88.7,90.1,91.8,93.6,95.5,97.3,99.2,101.3,103.5,105.4,107.8,110.6,113.7,115.9,118.3,121,122.7,124.9,127.7,130.9,135.6,138.6,141.8,145.4,150.8,153.4,155.9,160.5,165.4,168.4,174,182.2,188.9,196.6,201.8,210.3,217.5,224.1,231.3,240.7,247.3,250.9,258.7,264.6,268.6,274.2,280.2,286.7,290.2,294.4,304.2,315.4,320.7,328.2,337.1,345.4,350.7,357.9,362.6,366.9,375.1,379.4,389.7,397.7,406.4,410.1,417.9,427.8,433,440.9,447.4,454.1,462.3,473.3,484.7,492,499.8,504.5,511.4,518.4,521.4,529.5,534.9,538.4,546.3,548.2,548.6,553.3,564.2,575.9,589.5,598.3,606,612.1,613.1,621.9,627,633.2,641.6,650.3,658.4,665,670.8,676.5,684.2,694.3,707.5,714.9,728.8,740.7,753,768.6,780.4,786.1,798.1,812.6,822,836.2,865,876.1,882.5,889.2,871.5,863.8,875.2,870.1,855.1,912.3,915.5,921.9,937.5,941.4,952.3,958.9,963.7,981.8,1009.9,1031.4,1050.5,1060.9,1077.4,1099.3,1117.6,1141.2,1150
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
