"","Table 4#2#5U# Exports and Imports of Goods and Services by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"17","10","    Other","B689RC0",211604,253368,221551,201458,207025,238661,257000,291943,314454,339759,279025,332104,365388,383906,381459
"18","11","  Automotive vehicles, engines, and parts","B641RC0",75257,80356,75435,78943,80633,89212,98407,107263,121264,121452,81714,112008,133036,146150,152556
"19","12","  Consumer goods, except food and automotive","A642RC0",80868,89305,88284,84323,89878,103195,115228,129034,145864,161158,149287,164909,174718,180968,188359
"20","13","    Durable goods","B690RC0",41764,46669,46360,43911,46051,53890,62051,71060,82617,90576,75278,87376,96879,98672,104009
"21","14","    Nondurable goods","B691RC0",39104,42636,41924,40412,43827,49305,53177,57974,63247,70582,74009,77533,77839,82296,84350
"22","15","  Other","A643RC0",52650,51615,49515,52563,48937,51590,58754,64163,65726,63271,55170,58556,53401,57180,59114
"23","16","    Other durable goods n.e.c.","Y973RC0",26172,25728,24686,25983,24154,24996,28712,31332,32090,30903,27187,29073,26445,28307,29249
"24","17","    Other nondurable goods","Y974RC0",26478,25887,24829,26580,24783,26594,30042,32831,33636,32368,27983,29483,26956,28873,29865
"25","18","      Net exports of goods under merchanting","Y975RC0",306,159,143,598,629,1598,1330,1499,1547,1466,797,411,511,566,616
"26","19","      Other other nondurable goods n.e.c.","Y976RC0",26172,25728,24686,25983,24154,24996,28712,31332,32090,30903,27186,29073,26445,28307,29249
"27","20","Exports of services \1\","A646RC0",280257,299579,282878,289348,298859,347123,382318,426746,498204,543138,522624,572742,639509,667003,699399
"28","21","  Transport","Y800RC0",43217,45759,41715,41911,41445,47723,52622,57462,65825,74973,62190,71655,79830,83592,87267
"29","22","    Sea Transport","Y977RC0",10489,11554,10946,11187,10900,11801,12207,14616,16412,17779,13603,15905,16460,17055,17175
"30","23","      Freight","Y978RC0",3951,4301,3780,3733,4019,3800,3463,3407,4213,4867,3249,4229,4124,4178,3987
"31","24","      Port","Y979RC0",6538,7253,7166,7454,6881,8001,8744,11209,12199,12912,10354,11676,12336,12877,13188
"32","25","    Air Transport","Y980RC0",29786,31267,27752,27560,27379,32269,36632,38855,45330,52842,44574,51578,59015,61683,65522
"33","26","      Passenger","Y981RC0",19425,20197,17181,16291,15091,17932,20609,21638,25187,30957,26103,30986,36763,39364,41642
"34","27","      Freight","Y982RC0",5044,5776,5428,5787,6869,7726,9327,10076,11311,13483,10941,12280,13482,13871,14321
"35","28","      Port","Y983RC0",5317,5294,5143,5482,5419,6611,6696,7141,8832,8402,7530,8312,8770,8448,9559
"36","29","    Other modes of transport","Y984RC0",2942,2938,3017,3164,3166,3653,3783,3991,4083,4352,4013,4172,4355,4854,4570
"37","30","  Travel","Y801RC0",92338,100188,86733,81869,80332,92387,101469,105140,119037,133761,119902,137010,150867,161249,173131
"38","31","    Business","Y985RC0",39089,42664,35784,32572,30379,33949,38151,39333,42819,45941,36518,39523,40281,39272,39396
"39","32","      Expenditure of seasonal, border, and other short-term workers","Y986RC0",5921,5975,6329,6694,6762,7363,8435,8700,7984,8655,6843,6344,6367,6633,7018
"40","33","      Other business travel","Y987RC0",33168,36689,29455,25878,23617,26586,29716,30633,34835,37286,29675,33179,33914,32639,32378
"41","34","    Personal","Y988RC0",53249,57524,50949,49297,49954,58437,63319,65807,76218,87820,83384,97487,110586,121978,133736
"42","35","      Education related","Y989RC0",9616,10349,11476,12626,13312,13633,14021,14647,15956,17956,19689,20937,22823,24858,27241
"43","36","      Health-related","Y990RC0",1351,1501,1479,1460,1571,1689,2014,2221,2365,2531,2691,2876,3032,3176,3312
"44","37","      Other personal travel","Y991RC0",42282,45674,37994,35211,35071,43115,47284,48939,57897,67334,61004,73674,84731,93944,103182
"45","38","  Charges for the use of intellectual property n.e.c.","B684RC0",47731,51808,49487,53857,56814,67093,74449,83549,97803,102125,98406,107521,123333,125492,129178
"46","39","  Other business services","Y802RC0",79560,83145,87874,95128,102106,118405,128478,150803,183852,202307,210900,226672,249403,260250,273311
"47","40","    Maintenance and repair services","Y992RC0",3812,4686,5575,5769,5458,5342,7218,7673,9062,10019,12077,13860,14279,15115,16295
"48","41","    Insurance services","Y993RC0",3052,3631,3424,4415,5974,7314,7566,9445,10841,13403,14586,14397,15114,16534,16096
"49","42","    Financial services","Y994RC0",19433,22117,21899,24496,27840,36389,39878,47882,61376,63027,64437,72348,78271,76605,84066
"50","43","    Telecommunications, computer, and information services","Y995RC0",12287,12215,12829,12451,14061,14962,15515,17184,20192,23119,23816,25038,29171,32103,33409
"51","44","    Other other business services","Y996RC0",40976,40496,44147,47997,48774,54398,58302,68619,82382,92738,95984,101029,112568,119892,123447
"52","45","  Government goods and services n.e.c.","Y803RC0",7813,8520,7749,7244,8486,11338,14544,18615,20422,18035,19833,18523,22797,23095,23582
"53","46","  Other","B980RC0",9598,10159,9320,9339,9676,10177,10756,11177,11265,11937,11393,11361,13279,13325,12930
"54","47","    Imports of goods and services","B021RC0",1248611,1472630,1395396,1428973,1543934,1800677,2030086,2247263,2383167,2565009,1983178,2364992,2686366,2762459,2770405
"55","48","Imports of goods \1\","A255RC0",1051210,1251475,1176696,1199336,1296192,1511563,1719374,1899658,2003771,2149379,1590294,1949814,2244732,2306038,2302258
"56","49","  Foods, feeds, and beverages","B647RC0",44080,46488,47218,50318,56522,62999,69072,76081,82975,90439,82860,92493,108256,111130,116024
"57","50","  Industrial supplies and materials, except petroleum and products","A649RC0",149791,175148,167362,161372,177347,228167,267956,293538,297906,318729,196640,249445,292714,288885,291175
"58","51","    Durable goods","A820RC0",80064,90146,81983,83196,86083,121451,137097,164352,159943,161489,95502,125189,149594,150444,150868
"59","52","    Nondurable goods","B696RC0",69727,85002,85379,78176,91264,106716,130859,129186,137963,157240,101138,124256,143120,138441,140307
"60","53","  Petroleum and products","B648RC0",72118,126141,109424,109288,140407,189921,263175,316667,346689,476129,267710,353647,462149,434342,387643
"61","54","  Capital goods, except automotive","A650RC0",296096,347708,299150,284923,297643,346117,382833,422612,449116,458698,374056,450407,513430,551780,557839
"62","55","    Civilian aircraft, engines, and parts","B932RC0",23784,26403,31381,25484,24116,24340,25818,28465,34489,35501,30683,31295,35535,40134,46893
"63","56","    Computers, peripherals, and parts","B852RC0",81479,89813,74063,75226,76611,88775,93498,101608,105471,101222,94177,117258,119719,122254,121197
"64","57","    Other","B853RC0",190833,231492,193706,184213,196916,233002,263517,292539,309156,321975,249196,301854,358176,389392,389749
"65","58","  Automotive vehicles, engines, and parts","B651RC0",178241,194954,188745,202777,209172,227332,238715,255962,258498,233204,159188,225641,255226,298504,309572
"66","59","  Consumer goods, except food and automotive","A652RC0",243650,284634,287055,311332,338383,378111,412735,447648,479757,485680,429852,485121,515867,518829,533945
"67","60","    Durable goods","B697RC0",127826,151902,148922,163656,175062,202174,224606,244675,264275,266312,225038,259162,271901,276639,289206
"68","61","    Nondurable goods","B698RC0",115824,132732,138133,147676,163321,175937,188129,202973,215482,219368,204814,225959,243966,242190,244739
"69","62","  Other","A653RC0",67234,76402,77742,79326,76718,78916,84888,87150,88830,86500,79988,93060,97090,102568,106060
"70","63","Imports of services \1\","B656RC0",197401,221155,218700,229637,247742,289114,310712,347605,379396,415630,392884,415178,441634,456421,468147
"71","64","  Transport","Y804RC0",49620,57606,53840,51491,57863,69158,75643,77962,79326,83988,64133,74628,81377,85029,90754
"72","65","    Sea Transport","Y997RC0",17405,21787,20824,20100,25566,31710,35687,35996,34760,34463,23219,29496,31369,33206,36256
"73","66","      Freight","Y998RC0",15760,20100,19425,18651,24193,30373,34311,34274,32888,32496,21656,27872,29703,31401,34189
"74","67","      Port","Y999RC0",1645,1687,1399,1449,1373,1337,1376,1723,1872,1967,1563,1624,1666,1805,2067
"75","68","    Air Transport","Y810RC0",29350,32678,30136,28481,29199,34045,36103,37929,40520,45493,37410,41377,45834,47458,50232
"76","69","      Passenger","Y811RC0",18126,20397,18931,16439,17244,20213,21431,22642,23553,27292,21532,23426,26747,29565,32029
"77","70","      Freight","Y812RC0",4138,4738,3959,4880,5018,5978,6113,6266,6376,6179,4688,6435,6613,6177,6325
"78","71","      Port","Y813RC0",7086,7543,7246,7162,6937,7854,8559,9021,10591,12022,11190,11516,12474,11716,11878
"79","72","    Other modes of transport","Y814RC0",2865,3141,2880,2910,3098,3402,3853,4036,4047,4031,3503,3755,4174,4365,4266
"80","73","  Travel","Y805RC0",59591,65787,60729,59941,61883,74024,79988,84206,89235,92545,81421,86623,89700,100317,104677
"81","74","    Business","Y815RC0",21216,22640,20031,18681,18476,21811,22813,23047,23999,23204,19273,21274,20675,20104,21228
"82","75","      Expenditure of seasonal, border, and other short-term workers","Y816RC0",342,366,389,323,502,584,627,819,909,981,1013,1065,1116,1148,1195
"83","76","      Other business travel","Y817RC0",20874,22274,19642,18358,17974,21227,22186,22228,23090,22223,18260,20209,19559,18956,20033
"84","77","    Personal","Y818RC0",38376,43147,40698,41259,43407,52213,57175,61158,65236,69341,62148,65349,69024,80213,83449
"85","78","      Education related","Y819RC0",1807,2032,2299,2701,3147,3542,3992,4467,4725,5143,5144,5468,5782,6103,6490
"86","79","      Health-related","Y820RC0",140,155,156,152,168,421,510,585,660,757,879,1019,1139,1282,1443
"87","80","      Other personal travel","Y821RC0",36429,40960,38243,38406,40092,48250,52673,56107,59851,63441,56125,58862,62103,72828,75516
"88","81","  Charges for the use of intellectual property n.e.c.","B908RC0",13303,16607,16659,19492,19258,23692,25576,25038,26479,29623,31297,32551,36087,39502,39015
"89","82","  Other business services","Y806RC0",56167,61599,66909,74104,79596,89915,95786,126606,149275,174017,178491,183550,197304,197651,202344
"90","83","    Maintenance and repair services","Y822RC0",1278,2569,1999,2217,2246,2395,3015,4583,5209,5742,5938,6909,8236,7970,7620
"91","84","    Insurance services","Y823RC0",9389,11284,16706,21927,25233,29089,28710,39382,47517,58913,63801,61478,55654,53203,50454
"92","85","    Financial services","Y824RC0",8280,10936,10157,8963,8948,11156,12126,14733,19197,17218,14415,15502,17368,16975,18683
"93","86","    Telecommunications, computer, and information services","Y825RC0",13332,12397,12421,11721,13063,14210,15975,19776,22384,24655,25784,29015,32756,32156,32877
"94","87","    Other other business services","Y826RC0",23889,24414,25627,29276,30105,33065,35960,48130,54968,67488,68553,70646,83289,87347,92710
"95","88","  Government goods and services n.e.c.","Y827RC0",14212,14516,15322,19353,23619,26296,27454,27353,28260,28880,31460,31960,31293,27861,25343
"96","89","  Other","Y828RC0",4508,5040,5241,5256,5523,6029,6265,6440,6821,6577,6082,5866,5873,6061,6014
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
