"","Table 2#2B# Wages and Salaries by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"11","3","  Goods-producing industries","N231RC1",1069.8,1054.3,1033,1020.5,1013.2,1017,1009.3,1005.5,996.7,1001.6,1007.1,1036.5,1021.3,1047.3,1074.1,1069.4,1082.9,1090.9,1111.5,1118.3,1170.2,1167.4,1164.2,1182.7,1205.4,1211.1,1205.4,1213.3,1217.4,1210.8,1198.1,1181,1091.2,1056.8,1039.9,1043.9,1023.4,1050.7,1064.3,1074.9,1092.3,1095.4,1112.3,1103.3,1147.1,1152.9,1151.7,1170.3,1173,1186.7,1194.1,1206.5,1233.6,1250.4,1266.6,1292.9,1288,1303.2,1311.5,1322.6
"12","4","    Manufacturing","N552RC1",740.2,722.5,701.5,689.3,680.6,686.7,678.7,674.3,668.3,668.5,669.6,690.5,674.7,689.6,707.3,702.8,705.6,706.7,713.5,715.6,739.6,735.8,733.7,741.6,753.5,753.8,749.6,749.8,750.2,746.5,739.7,725.9,674.1,659.2,649.4,662.3,649.2,672.8,682.1,692.2,705.4,704.5,710.9,706,730.1,734.1,732.9,740,739.7,745,748.3,754.2,770.5,775.1,781.4,796.5,792.1,801.7,804.1,808.8
"13","5","  Services-producing industries","N233RC1",3108.5,3094,3075,3074.8,3077.7,3113.2,3123.7,3133.3,3129.5,3188,3244.1,3294.8,3318.2,3385.7,3462.4,3498.6,3514.5,3561.1,3631.3,3691.2,3787.1,3819.7,3855.9,3942.5,4066.3,4077.3,4096.1,4150.3,4194.1,4183,4194.8,4172,3972.5,4023.5,4021.4,4055.8,4028.8,4118,4171.7,4214,4299.7,4321.4,4378.9,4350.4,4494,4529.5,4558.9,4723.6,4615.1,4706.8,4744.7,4800.1,4892.9,4930,5004.1,5091.5,5138,5223.5,5284.2,5349.7
"14","6","    Trade, transportation, and utilities","N234RC1",853,849.2,844,840.5,842.1,847.5,849.4,848.1,851.5,855.5,864.9,880.7,880.2,899,918.2,922.9,927.8,936.4,949.4,959.2,982.8,988.4,995.3,1009.6,1031.8,1045.3,1040.4,1051.2,1053.3,1047.9,1044.2,1035.7,990.7,983.4,979,985.4,976.4,996.9,1007.7,1014.6,1034.3,1041.1,1052.3,1050.3,1084.6,1083.5,1091.2,1111.1,1102.7,1114.1,1122.4,1134.7,1153.8,1165.7,1179.2,1203.3,1210.9,1229.1,1243.5,1257
"15","7","    Other services-producing industries \1\","N235RC1",2255.5,2244.8,2231,2234.3,2235.6,2265.7,2274.3,2285.2,2277.9,2332.5,2379.3,2414.1,2438.1,2486.7,2544.2,2575.8,2586.7,2624.8,2682,2732,2804.3,2831.3,2860.6,2932.9,3034.5,3032,3055.7,3099.1,3140.8,3135,3150.6,3136.2,2981.8,3040.1,3042.4,3070.4,3052.3,3121,3164.1,3199.3,3265.4,3280.2,3326.6,3300,3409.5,3446,3467.7,3612.5,3512.4,3592.7,3622.3,3665.4,3739.2,3764.3,3825,3888.2,3927,3994.4,4040.8,4092.7
"16","8","Government","B202RC1",804.5,815.5,828.6,839.4,861.6,870.4,877.8,882.7,904.8,912.4,915.6,920.4,941.8,950.6,955.7,962.6,982.5,987.6,994.5,1001.4,1018.9,1028.1,1040.8,1052.1,1076.2,1082.5,1092.4,1104.4,1127.6,1137.9,1151,1160,1166.9,1176,1177.7,1180,1187.4,1196.8,1190.3,1189.8,1191.7,1198.8,1198.4,1190.2,1200,1196.1,1196.2,1200.7,1203.3,1205,1205.1,1217.2,1223.4,1234.2,1243.2,1248.2,1256.5,1265,1274.2,1279.3
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real estate and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","rental and leasing; professional, scientific, and technical services; management of companies and enterprises,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","administrative and support and waste management and remediation services; educational services; health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","care and social assistance; arts, entertainment, and recreation; accommodation and food services; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
