"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191"
"11","3","      Gross investment \2\","A782RA3",44.668,42.491,42.23,39.486,40.107,39.195,39.462,39.239,36.696,36.304,36.448,35.517,35.097,35.418,33.894,35.299,36.784,35.782,34.573,34.695,36.004,37.066,36.403,35.896,36.749,34.642,37.052,38.563,39.442,37.41,36.975,36.282,37.12,37.805,37.205,36.565,36.15,39.905,41.001,41.958,39.725,41.369,43.271,43.24,44.755,43.235,42.072,42.419,43.65,42.379,41.669,42.638,41.527,42.559,42.359,43.763,43.83,44.464,46.114,46.884,48.1,49.422,50.323,52.951,53.593,56.466,58.346,58.253,58.972,60.273,63.144,62.19,63.168,64.699,65.84,65.406,63.585,64.452,64.166,64.723,64.494,65.029,66.376,66.427,68.523,68.473,68.407,69.279,67.761,68.443,68.268,68.147,69.5,68.561,67.583,66.634,65.398,66.147,65.538,65.741,62.981,64.047,66.286,65.383,65.766,66.26,65.16,65.177,65.958,67.123,67.851,68.689,69.273,68.921,69.126,67.921,67.573,69.989,72.79,72.514,73.042,74.243,75.332,77.176,77.64,76.679,77.351,77.809,78.792,82.584,79.566,82.901,84.605,85.319,86.749,87.495,87.542,88.422,90.309,90.061,90.128,91.321,91.1,90.001,89.625,90.54,91.02,91.48,92.169,94.256,93.717,93.984,94.053,95.787,96.091,96.575,96.698,99.386,100.43,99.746,98.636,100.656,101.173,99.535,98.135,100.664,101.089,99.795,96.282,95.86,94.911,94.465,91.797,91.168,89.367,87.259,86.009,85.466,85.76,84.946,83.256,84.916,84.778,85.353,83.864,86.948,87.831,87.38
"12","4","        Structures","A760RA3",73.58,72.944,70.466,66.006,64.82,64.25,67.117,65.877,65.076,65.3,64.263,64.837,63.779,60.812,60.527,62.465,63.122,61.111,61.095,61.783,62.116,63.925,60.356,58.431,62.437,57.717,59.744,63.708,66.765,60.981,57.179,55.027,57.039,58.603,56.535,55.19,53.809,63.855,65.903,66.031,58.85,63.169,65.7,66.844,68.778,64.931,61.573,60.436,64.179,58.171,54.762,56.604,53.831,53.141,53.11,54.595,53.243,52.516,54.957,53.823,55.885,57.841,59.887,60.65,61.255,64.891,66.222,64.841,68.225,68.676,69.737,67.074,70.008,70.104,70.862,71.796,69.645,72.363,70.72,71.644,69.894,70.611,71.042,73.105,76.727,75.14,75.211,77.245,76.022,76.966,77.92,80.505,83.578,80.374,76.483,76.147,75.636,78.426,78.849,78.753,74.749,76.3,79.504,80.32,80.682,81.56,80.22,79.651,79.326,82.279,84.736,88.968,91.379,89.374,87.204,82.886,82.121,86.177,91.278,90.665,92.197,91.156,91.787,95.386,97.753,94.387,95.12,95.648,97.198,104.772,96.118,103.288,105.612,104.205,104.993,106.446,105.423,104.794,107.903,105.594,105.092,105.931,102.787,99.409,98.739,98.598,97.872,98.645,97.933,100.513,99.104,97.633,98.153,99.265,98.681,98.354,97.553,99.731,100.451,99.414,99.244,101.121,101.389,98.246,95.385,99.782,100.154,96.321,93.69,91.749,89.943,88.706,85.428,84.052,81.032,78.653,76.885,77.1,76.893,75.465,74.439,76.436,76.426,77.366,75.375,80.513,82.195,80.393
"13","5","        Equipment","Y054RA3",26.227,20.85,22.52,19.064,22.348,20.782,19.739,20.343,14.323,13.025,14.077,10.761,9.883,12.029,9.118,10.742,13.399,12.589,10.317,10.395,13.203,14.324,15.659,15.932,15.007,13.408,17.657,17.859,17.396,16.499,17.978,17.68,17.92,18.12,17.865,16.986,16.572,17.667,18.25,20.067,19.609,19.969,22.38,21.285,23.103,22.049,21.288,22.909,22.511,24.01,24.79,25.376,24.634,27.485,26.627,28.563,28.852,30.367,31.851,34.024,34.715,35.476,34.868,39.409,38.801,42.104,44.979,45.211,43.927,46.675,52.925,51.39,50.129,53.294,55.301,52.687,49.661,49.507,50.269,50.843,51.768,52.104,55.318,52.529,54.163,55.67,55.745,56.532,53.854,55.517,54.343,51.043,51.31,52.231,53.411,51.285,48.133,47.877,45.768,47.409,43.049,44.617,47.637,44.233,45.031,45.73,43.802,44.233,46.788,46.898,45.866,43.109,41.322,42.489,45.613,46.203,44.288,46.29,48.971,48.972,48.573,51.588,53.704,54.802,53.23,53.503,54.302,54.143,53.986,55.873,56.732,57.592,59.016,62.236,64.609,63.826,63.617,66.154,66.865,67.891,68.193,70.241,72.824,73.152,72.014,74.696,76.838,76.872,80.308,83.082,82.258,84.948,83.427,87.995,89.959,92.016,93.114,99.792,102.556,101.604,96.673,100.731,101.634,100.962,100.097,101.813,101.56,103.908,94.964,97.54,97.106,97.205,95.135,96.209,95.925,91.663,89.83,88.226,90.438,91.122,86.431,89.824,89.244,89.898,86.85,87.642,87.582,89.206
"14","6","        Intellectual property products","Y055RA3",38.239,38.114,37.773,37.192,36.411,35.735,35.231,34.888,34.609,34.56,34.674,35.039,35.483,35.886,36.075,36.179,36.16,35.981,35.719,35.342,34.876,34.534,34.29,34.195,34.245,34.386,34.692,35.145,35.694,36.062,36.469,36.794,37.122,37.448,37.835,38.228,38.795,39.357,39.911,40.416,40.98,41.471,41.876,42.289,42.437,42.805,43.306,43.836,44.457,44.859,45.347,45.559,45.829,46.205,46.715,47.212,48.197,49.195,50.066,50.922,51.594,52.839,54.313,56.251,58.161,59.708,60.7,61.418,61.651,62.195,63.078,64.333,65.907,67.06,67.762,67.848,67.501,67.278,67.252,67.104,66.957,67.098,67.605,68.177,68.637,68.731,68.459,68.212,67.348,66.839,66.338,66.376,66.712,66.33,66.093,65.48,65.283,64.837,64.72,63.994,64.103,64.082,64.224,63.819,63.337,63.12,63.037,63.094,63.201,63.442,63.781,64.17,64.782,64.527,64.475,65.075,66.474,67.131,67.362,66.941,66.798,68.74,69.347,69.308,69.701,70.502,70.889,71.863,73.209,73.94,74.654,75.159,76.105,77.379,78.777,79.957,81.65,83.02,84.286,85.638,86.243,87.116,88.58,89.358,90.072,91.025,91.804,92.042,92.389,93.256,94.227,95.277,95.921,96.282,96.689,97.226,98.128,98.438,98.644,98.811,99.173,99.771,100.418,100.639,101.351,101.275,102.334,102.513,101.87,101.659,101.812,102.308,100.284,99.647,98.849,98.982,99.152,98.095,97.789,96.941,96.433,96.081,96.061,95.906,96.575,97.595,97.725,98.164
"15","7","          Software","Y056RA3",2.566,2.811,3.096,3.379,3.669,3.873,4.039,4.094,4.091,4.191,4.264,4.433,4.523,4.726,4.894,5.046,5.366,5.564,5.826,6.132,6.371,6.549,6.825,7.077,7.535,7.755,7.904,8.086,8.069,8.213,8.384,8.542,8.44,8.499,8.622,8.865,9.344,9.798,10.28,10.754,11.294,11.802,12.262,12.739,13.15,13.664,14.274,14.832,15.282,15.76,16.309,16.892,17.209,17.521,17.706,17.829,18.858,19.681,20.857,21.726,22.423,23.277,24.526,25.743,26.564,27.498,28.047,28.834,29.549,30.277,30.746,31.333,32.092,32.955,33.777,34.749,35.819,37.009,38.468,39.772,41.617,43.707,46.107,48.163,48.865,49.265,49.272,49.623,50.267,51.654,52.439,53.688,55.767,56.15,57.126,57.322,57.138,56.775,56.637,55.782,55.969,55.924,56.998,56.072,56.43,55.359,56.078,55.064,56.573,57.734,58.908,59.728,63.375,63.067,63.101,64.664,70.336,73.434,73.963,72.565,70.326,78.916,79.584,79.252,79.389,81.24,80.738,82.587,85.047,83.813,82.057,79.149,78.313,78.084,78.462,76.217,76.65,77.815,79.682,82.419,81.369,81.434,84.298,85.48,85.121,87.586,88.808,88.922,89.268,90.179,91.647,94.262,95.751,95.806,96.188,96.286,100.456,101.133,101.432,99.754,98.448,99.036,100.262,102.253,103.957,102.967,105.319,106.508,107.665,109.002,110.682,112.538,111.837,113.188,112.364,113.735,115.341,112.794,114.228,114.419,115.717,116.615,119.168,119.498,121.414,123.039,121.865,121.564
"16","8","          Research and development","Y057RA3",51.573,51.268,50.642,49.685,48.447,47.4,46.614,46.111,45.727,45.606,45.726,46.144,46.71,47.164,47.34,47.408,47.221,46.875,46.382,45.712,44.952,44.396,43.927,43.675,43.525,43.615,43.965,44.502,45.265,45.702,46.183,46.556,47.053,47.474,47.947,48.375,48.937,49.503,50.049,50.533,51.071,51.522,51.878,52.239,52.267,52.553,52.982,53.473,54.133,54.484,54.925,54.979,55.221,55.607,56.223,56.847,57.776,58.805,59.529,60.353,60.997,62.352,63.868,66.022,68.284,70.017,71.146,71.822,71.876,72.343,73.356,74.825,76.658,77.892,78.536,78.306,77.467,76.754,76.212,75.565,74.74,74.223,74.092,74.171,74.55,74.546,74.187,73.75,72.402,71.281,70.371,70.025,69.813,69.197,68.592,67.736,67.536,67.067,66.956,66.27,66.355,66.341,66.209,65.956,65.233,65.263,64.949,65.313,65.016,64.996,65.1,65.369,65.141,64.901,64.825,65.161,65.412,65.417,65.567,65.405,65.816,66.001,66.591,66.63,67.089,67.612,68.235,68.976,70.026,71.277,72.644,74.05,75.466,77.133,78.793,80.86,82.872,84.29,85.4,86.404,87.423,88.499,89.617,90.296,91.271,91.856,92.527,92.795,93.142,93.999,94.85,95.523,95.965,96.4,96.814,97.455,97.584,97.807,97.99,98.589,99.342,99.941,100.454,100.264,100.75,100.884,101.65,101.6,100.553,99.997,99.809,100.004,97.69,96.617,95.825,95.687,95.541,94.812,94.125,93.05,92.15,91.528,90.953,90.694,91.097,91.986,92.392,92.987
"17","9","Federal","B823RA3",56.832,56.115,56.229,54.96,54.031,52.615,51.977,51.776,50.108,49.523,49.323,48.027,48.351,49.021,46.674,46.733,47.292,46.729,44.959,44.969,46.123,46.099,46.3,46.714,46.242,45.969,46.891,47.113,46.703,46.65,46.51,46.714,47.079,47.762,48.054,47.735,47.849,48.938,49.116,49.533,49.593,50.164,50.109,50.145,51.584,52.791,52.04,52.325,53.322,54.838,54.566,55.386,55.433,55.975,56.706,58.119,59.036,60.367,61.832,59.735,60.381,62.303,62.266,64.034,64.766,66.62,68.708,68.631,68.493,70.65,73.257,72.142,72.686,73.867,73.954,74.749,72.853,72.392,72.12,74.024,72.643,74.277,74.796,74.496,75.702,75.931,75.212,75.693,76.372,76.586,75.41,74.114,74.229,74.155,75.004,74.709,72.464,71.874,71.729,71.632,69.132,68.992,70.664,68.725,68.278,68.372,67.812,65.755,66.302,67.529,66.766,66.434,65.306,66.686,66.536,66.361,64.481,66.064,65.66,66.42,65.796,66.127,67.292,68.621,66.077,68.394,67.251,66.894,68.35,69.695,70.286,70.836,72.593,74.3,75.472,76.84,76.861,80.71,80.242,81.797,82.365,83.19,84.643,83.916,84.39,84.573,86.115,84.848,86.96,86.862,86.886,87.787,86.601,87.969,89.644,90.13,91.582,93.265,96.006,97.672,96.915,100.097,101.468,101.52,102.472,104.577,105.531,104.819,101.93,102.325,101.279,100.618,100.514,99.766,99.88,98.468,96.09,94.708,93.312,91.724,91.798,91.529,92.36,91.018,91.265,91.265,91.32,91.836
"18","10","    Consumption expenditures","A957RA3",63.974,64.728,64.553,64.121,62.036,60.51,60.041,59.548,59.022,58.48,57.608,56.764,57.473,57.512,55.379,54.834,54.437,54.087,52.458,52.631,53.515,52.896,53.087,53.466,53.1,53.31,52.953,52.979,52.424,52.608,51.812,52.082,52.352,53.094,53.471,53.356,53.504,54.243,54.016,54.063,54.504,55.162,54.021,54.646,55.822,57.898,56.775,56.769,58.114,59.681,59.138,59.89,60.357,60.211,61.488,62.748,63.677,64.958,66.358,62.529,63.169,65.393,65.319,65.95,66.778,67.963,69.698,69.52,69.624,71.89,73.511,72.113,72.716,73.051,72.557,74.386,73.215,72.655,72.358,75.226,73.375,75.754,75.65,75.953,76.981,76.981,76.067,76.965,78.797,78.582,77.416,76.128,76.117,75.959,77.16,77.117,74.79,74.254,74.614,74.482,72.541,72.098,73.584,71.651,70.898,71.195,70.893,68.114,68.033,69.605,68.91,69.366,68.24,70.114,69.254,69.328,66.716,68.458,67.352,68.887,68.189,67.782,68.979,70.576,67.725,70.971,69.199,68.79,70.646,71.81,72.248,72.661,74.437,75.825,76.622,78.272,78.008,82.289,81.422,83.322,83.852,84.388,85.605,84.728,85.444,85.238,86.701,85.223,87.334,86.685,86.946,87.529,86.163,87.103,89.104,89.673,91.302,92.14,95.096,96.945,96.727,100.159,101.469,101.645,102.77,104.72,105.728,104.565,102.105,102.483,101.495,100.755,101.451,100.694,101.227,100.001,97.529,96.307,94.315,92.482,93.335,92.626,93.866,92.107,92.837,92.535,92.726,93.006
"19","11","    Gross investment","B787RA3",40.481,37.02,37.675,34.851,36.19,35.046,34.101,34.471,30.631,29.977,31.128,28.967,28.513,30.403,27.736,28.981,31.412,30.446,28.459,28.145,29.798,30.955,31.17,31.641,30.972,29.739,33.194,33.805,33.696,33.164,34.345,34.409,34.957,35.502,35.613,34.889,34.931,36.692,37.686,38.845,38.126,38.509,40.662,39.49,41.44,40.816,40.856,41.748,41.984,43.358,43.662,44.61,43.764,45.745,45.31,47.013,47.88,49.284,50.854,52.461,53.113,54.353,54.397,58.568,59.076,62.35,65.166,65.309,64.629,66.502,71.275,70.822,71.223,74.318,75.747,74.133,70.594,70.379,70.171,69.794,69.534,69.393,71.354,69.649,71.25,72.013,71.768,71.252,69.16,70.403,69.228,67.935,68.354,68.489,68.462,67.556,65.548,64.834,63.456,63.447,59.614,60.221,62.321,60.399,60.709,60.302,59.122,58.88,60.983,61.335,60.414,58.109,56.988,57.092,58.74,57.931,57.955,59.11,60.521,59.272,58.843,61.088,62.154,62.768,61.063,60.895,61.439,61.224,61.585,63.411,64.408,65.33,67.023,69.629,71.87,72.427,73.295,75.852,76.576,77.094,77.769,79.465,81.635,81.368,81.095,82.495,84.286,83.677,85.79,87.465,86.725,88.65,88.048,90.816,91.425,91.637,92.503,96.982,99.004,100.063,97.537,99.895,101.462,101.106,101.485,104.105,104.875,105.664,101.347,101.801,100.561,100.165,97.373,96.657,95.364,93.324,91.262,89.338,89.95,89.192,86.629,87.855,87.298,87.373,85.984,87.01,86.599,87.925
"20","12","      Structures","B801RA3",94.007,94.989,93.65,86.906,81.645,84.219,87.164,89.035,93.054,96.916,105.872,102.91,100.025,98.659,96.467,94.245,101.231,97.692,102.319,102.66,95.936,103.001,90.39,94.405,96.584,94.014,97.919,100.37,100.576,97.979,94.385,96.358,97.881,101.46,102.584,97.394,99.659,113.297,118.689,111.727,99.907,99.556,104.553,98.83,106.586,106.181,110.169,102.485,105.605,106.36,98.71,104.734,98.598,93.93,94.457,96.59,99.606,99.859,104.253,100.019,98.338,102.823,101.161,103.363,103.526,111.574,118.64,114.623,120.568,119.76,122.864,118.942,127.519,133.974,132.469,132.107,110.239,113.729,107.731,101.385,95.304,93.665,96.541,97.095,102.134,101.243,100.866,89.376,86.046,94.511,91.519,103.697,104.946,105.629,97.018,109.309,108.756,105.164,110.436,106.977,96.147,95.527,100.165,110.184,111.384,104.685,106.799,100.015,105.378,109.435,103.71,94.115,94.954,93.208,98.109,82.604,93.341,93.459,96.331,87.794,90.844,87.401,84.911,83.984,77.065,71.258,70.849,65.596,64.285,67.543,67.786,68.838,76.191,77.166,79.425,80.702,81.59,85.967,84.884,77.48,78.076,77.216,75.571,66.387,66.202,61.844,64.55,57.218,61.008,64.295,62.975,71.863,69.819,80.056,78.814,74.731,72.808,82.99,89.666,95.65,95.325,95.518,102.959,106.198,105.058,116.792,116.148,112.381,113.815,107.238,97.019,85.639,80.715,75.104,68.026,70.268,60.02,58.444,58.159,54.136,54.455,53.16,52.678,55.033,51.629,52.163,51.564,54.005
"21","13","      Equipment","Y058RA3",28.21,21.882,23.625,19.618,23.417,21.839,20.374,21.225,14.077,12.627,13.937,9.908,8.926,11.575,7.656,9.641,12.901,11.837,8.601,8.39,11.944,13.539,15.179,15.761,14.465,12.487,17.791,18.198,17.497,16.539,18.489,18.171,18.669,18.993,18.756,17.685,17.129,18.427,19.183,21.356,20.747,21.037,23.917,22.117,24.645,23.282,22.528,24.421,23.956,25.949,26.835,27.762,26.715,30.346,29.049,31.362,31.731,33.336,34.974,37.517,38.248,38.877,37.768,43.312,42.401,46.11,49.621,49.679,47.598,50.818,58.753,57,55.063,59.226,61.601,58.403,54.508,54.097,54.714,55.212,56.034,56.155,59.624,55.595,57.837,59.606,59.605,60.571,57.915,60.225,58.928,54.714,55.225,56.15,57.774,55.149,51.187,50.693,47.21,48.598,41.953,43.391,47.01,41.996,42.979,43.372,40.711,41.244,45.002,45.033,43.586,39.691,36.753,37.882,41.281,41.499,38.219,40.149,42.827,42.15,40.922,44.28,46.626,48.487,45.423,45.195,46.081,45.538,44.934,47.667,48.998,50.101,51.557,56.233,59.548,58.616,58.218,61.756,62.403,63.462,64.143,67.325,71.206,71.564,69.769,73.204,76.222,76.304,80.836,83.469,80.733,82.242,80.486,84.604,86.056,87.11,89.108,98.32,101.881,102.845,95.573,101.255,102.595,100.577,100.723,104.794,105.495,108.578,97.157,100.578,99.862,101.328,98.594,99.533,99.416,93.096,90.336,86.959,89.555,90.219,83.946,88.635,87.459,87.358,83.748,85.054,83.948,86.39
"22","14","      Intellectual property products","Y059RA3",45.398,45.199,44.718,43.944,42.931,42.056,41.425,41.009,40.657,40.566,40.673,41.081,41.61,42.078,42.284,42.397,42.329,42.072,41.718,41.229,40.663,40.241,39.898,39.717,39.697,39.854,40.232,40.778,41.418,41.8,42.242,42.584,42.991,43.371,43.827,44.272,44.871,45.47,46.054,46.569,47.212,47.75,48.197,48.641,48.784,49.195,49.749,50.331,51.053,51.507,52.044,52.226,52.442,52.857,53.472,54.086,55.187,56.279,57.187,58.13,58.902,60.333,61.998,64.197,66.398,68.15,69.282,69.997,70.117,70.608,71.6,73.049,74.912,76.207,76.933,76.905,76.325,75.856,75.587,75.145,74.599,74.404,74.637,75.01,75.429,75.381,74.933,74.453,73.215,72.404,71.662,71.478,71.678,70.979,70.504,69.56,69.349,68.856,68.697,67.83,67.856,67.804,67.964,67.512,67.035,66.742,66.583,66.535,66.519,66.667,66.931,67.172,67.437,66.855,66.441,66.804,68.211,68.814,68.903,68.229,67.98,70.037,70.519,70.317,70.527,71.236,71.644,72.429,73.789,74.68,75.523,76.278,77.289,78.564,79.985,81.557,83.379,84.917,85.977,87.319,88.004,89.007,90.534,91.272,92.099,92.992,93.744,93.828,93.926,94.632,95.435,96.35,96.829,97.211,97.578,98.025,98.645,98.776,98.843,99.005,99.307,99.806,100.396,100.491,101.311,101.235,102.313,102.413,101.783,101.562,101.661,102.108,99.69,98.809,97.846,97.811,97.791,96.756,96.243,95.192,94.497,93.959,93.789,93.526,93.973,94.913,94.986,95.374
"23","15","        Software","Y060RA3",3.021,3.331,3.663,4.007,4.398,4.67,4.976,5.158,5.186,5.306,5.358,5.532,5.658,5.937,6.176,6.438,6.874,7.117,7.456,7.856,8.253,8.54,8.855,9.077,9.584,9.956,10.286,10.618,10.538,10.575,10.704,10.82,10.774,10.904,11.17,11.575,12.15,12.684,13.212,13.656,14.414,15.055,15.664,16.249,16.808,17.547,18.364,19.073,19.745,20.435,21.149,21.813,21.877,22.271,22.64,22.992,24.346,25.232,26.528,27.555,28.534,29.644,31.222,32.646,33.633,34.85,35.794,36.796,37.736,38.57,39.339,40.239,41.459,42.577,43.552,44.745,45.967,47.191,48.642,49.7,51.08,52.866,55.077,57.053,57.806,57.91,57.597,57.505,57.81,59.253,59.972,60.877,63.217,62.536,63.087,62.247,62.145,61.89,61.711,60.54,60.485,60.425,62.193,60.916,62.024,60.16,61.161,59.155,61.17,62.69,64.281,64.834,68.451,66.789,65.124,65.84,73.622,77.838,77.976,75.166,71.706,84.376,84.562,83.669,82.914,84.924,84.381,85.496,88.41,87.196,85.043,82.154,80.898,79.67,79.244,77.186,76.901,78.385,78.672,81.492,79.894,80.052,83.422,84.296,83.902,86.768,88.492,88.617,88.675,89.454,90.764,93.786,95.142,95.902,96.723,96.665,101.029,101.516,101.84,100.189,98.581,98.986,100.242,102.19,105.692,104.988,108.208,109.507,110.483,111.568,112.993,114.881,113.829,115.215,113.941,114.97,116.065,113.619,114.673,114.377,115.514,115.853,118.518,118.276,119.812,121.513,119.842,119.045
"24","16","        Research and development","Y061RA3",56.599,56.227,55.489,54.372,52.936,51.719,50.8,50.203,49.746,49.587,49.703,50.159,50.784,51.278,51.455,51.506,51.266,50.855,50.288,49.53,48.678,48.047,47.507,47.204,47.008,47.084,47.453,48.034,48.869,49.34,49.855,50.25,50.778,51.215,51.705,52.138,52.714,53.303,53.878,54.391,54.972,55.456,55.836,56.221,56.238,56.539,56.998,57.525,58.238,58.612,59.084,59.128,59.381,59.792,60.457,61.126,62.133,63.255,64.042,64.944,65.65,67.139,68.797,71.158,73.631,75.491,76.655,77.288,77.206,77.607,78.641,80.208,82.207,83.53,84.188,83.865,82.859,81.992,81.317,80.526,79.536,78.888,78.669,78.682,79.027,78.947,78.471,77.909,76.333,75.026,73.968,73.55,73.295,72.595,71.907,70.944,70.711,70.169,70.014,69.211,69.253,69.202,69.036,68.751,67.96,67.979,67.591,67.93,67.51,67.388,67.396,67.579,67.202,66.828,66.65,66.944,67.156,67.085,67.163,66.885,67.231,67.323,67.86,67.786,68.173,68.641,69.225,69.947,71.017,72.299,73.7,75.132,76.564,78.302,80.06,82.296,84.501,86.046,87.244,88.322,89.413,90.566,91.766,92.481,93.521,94.069,94.651,94.728,94.833,95.526,96.242,96.791,97.12,97.437,97.727,98.259,98.243,98.313,98.337,98.805,99.429,99.943,100.422,100.206,100.58,100.608,101.336,101.241,100.351,99.92,99.807,100.023,97.389,96.149,95.236,95.033,94.836,94.026,93.264,92.095,91.113,90.438,89.827,89.561,89.84,90.661,91.002,91.571
"25","17","  National defense","B824RA3",70.619,69.276,69.29,67.983,66.291,63.489,62.608,62.161,59.587,57.562,56.482,55.044,54.399,55.15,51.582,51.764,52.422,51.647,48.819,49.132,49.966,50.725,49.631,49.779,49.3,48.672,50.089,50.088,49.479,49.415,49.185,49.138,49.575,50.208,50.248,49.093,49.28,50.34,50.451,50.667,50.85,51.788,51.6,51.905,53.223,53.392,53.341,54.156,55.237,56.84,57.062,58.331,58.883,60.554,61.528,62.901,63.44,65.26,65.749,67.12,67.495,68.486,68.414,70.894,71.511,73.962,76.825,77.194,76.795,79.835,83.033,80.596,81.985,84.179,85.361,84.973,83.962,83.751,83.161,84.785,82.215,84.053,84.745,83.826,84.489,84.374,82.815,84.022,84.747,84.754,82.833,80.064,79.238,79.149,80.231,78.988,75.995,75.33,75.145,75.095,71.213,71.595,73.905,70.208,69.55,69.899,68.893,67.149,67.338,68.81,67.837,67.23,64.77,66.549,66.076,66.452,62.653,64.888,65.635,65.147,63.884,64.552,66.293,67.588,63.549,66.321,65.028,65.037,65.916,67.028,67.763,68.231,69.755,71.401,72.612,74.102,74.045,79.327,78.305,80.616,81.298,82.205,84.79,82.888,83.613,84.314,86.146,83.636,85.324,86.006,85.534,87.593,85.834,87.659,89.675,89.813,91.303,93.066,96.983,98.247,96.096,100.021,102.107,101.775,101.308,102.882,104.772,103.85,100.015,101.65,102.133,99.619,98.686,97.58,97.777,95.745,93.168,91.798,90,88.654,87.611,87.507,88.465,86.084,86.301,86.364,86.058,86.657
"26","18","    Consumption expenditures","A997RA3",82.217,83.022,82.199,82.391,78.664,75.615,74.925,73.995,73.141,70.78,68.487,68,67.713,67.448,64.129,63.431,62.802,62.284,59.499,60.061,59.98,60.685,58.577,58.782,58.513,58.524,58.086,57.968,57.156,57.824,56.637,56.577,56.839,57.628,58.094,57.006,57.533,58.153,58.171,57.423,58.135,59.276,57.524,58.412,59.359,60.105,60.212,60.462,61.942,63.104,62.919,64.127,65.052,65.834,67.307,67.898,68.364,69.865,69.626,70.283,70.61,71.334,71.169,72.02,72.87,73.976,76.499,76.892,76.905,79.798,81.129,78.429,80.252,81.769,82.489,83.13,83.513,83.414,82.907,85.36,82.171,85.135,84.958,85.028,85.591,85.061,83.033,84.94,87.624,87.339,85.608,83.23,82.025,81.721,83.261,82.561,79.984,79.317,79.813,79.393,75.975,75.924,78.044,74.578,73.644,74.076,73.518,71.204,70.655,72.635,71.886,72.14,69.661,72.045,70.441,70.949,66.858,69.422,69.52,69.601,68.519,68.6,70.369,72.552,67.206,70.94,68.941,68.967,70.152,70.826,71.334,71.63,73.358,74.288,74.938,76.76,76.315,82.384,80.66,83.253,83.799,84.386,86.609,84.322,85.346,85.543,87.439,84.555,86.325,86.145,86.022,87.817,85.774,86.988,89.477,89.616,91.162,91.657,95.979,97.34,95.787,99.808,102.169,102.235,101.966,103.324,105.511,104.018,101.202,102.839,103.811,100.595,100.61,99.483,100.15,98.435,95.604,94.461,91.786,90.241,90.029,89.282,90.749,87.939,88.818,88.604,88.485,88.76
"27","19","    Gross investment","B788RA3",42.947,37.468,39.134,34.898,37.399,35.257,34.036,34.576,28.643,27.415,28.902,25.561,24.218,26.939,23.166,25.067,28.225,26.995,24.265,24.05,26.679,27.494,28.52,28.544,27.659,25.749,30.928,31.166,30.999,29.421,31.163,31.145,31.922,32.201,31.369,30.135,29.612,31.515,31.81,34.013,33.08,33.552,36.628,35.692,37.76,36.684,36.299,38.32,38.469,40.983,42.089,43.449,43.153,46.736,46.573,49.63,50.308,52.768,54.849,57.747,58.221,59.783,59.926,66,66.068,71.521,75.064,75.352,73.979,77.263,84.805,83.095,83.397,87.19,89.488,86.55,82.09,81.61,80.834,80.316,79.399,78.323,81.181,77.79,78.674,79.622,79.324,78.694,74.324,75.1,72.759,69.064,69.258,69.737,69.564,66.931,62.951,62.315,60.357,61.279,56.32,57.821,60.543,56.372,56.451,56.573,54.443,54.25,56.351,56.459,54.935,52.064,49.725,49.829,52.381,52.396,49.5,50.781,53.267,51.258,49.532,51.782,53.395,52.226,51.896,51.921,52.631,52.589,52.576,54.919,56.287,57.242,58.138,61.918,64.811,65.285,66.462,69.228,70.441,71.844,72.947,74.88,78.632,77.988,77.733,80.124,81.735,80.482,81.885,85.531,83.858,86.824,86.057,90.013,90.379,90.504,91.79,98.052,100.516,101.433,97.182,100.77,101.89,100.158,98.987,101.326,102.156,103.26,95.801,97.43,96.154,96.157,91.829,90.801,89.319,86.145,84.477,82.29,83.636,83.009,78.973,81.187,80.309,79.478,77.31,78.372,77.39,79.165
