"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"11","3","  Goods","DGDSRX1",2393.6,2449.8,2478.8,2521.3,2559.1,2572.6,2599.4,2621.9,2628,2635.1,2653.9,2749.5,2742.6,2753.6,2788.3,2796.2,2811.7,2872.2,2953.5,2980.4,3012.8,3029.5,3066,3099.4,3136.5,3177.8,3195.5,3198.8,3262.2,3267.8,3294.5,3345.6,3363.5,3376.3,3392.3,3394.9,3348.7,3360.4,3296.6,3185.5,3188.8,3166.9,3222.9,3215.2,3247,3288,3319.1,3380.5,3404.9,3398.2,3405.5,3438.5,3480.1,3489.8,3513.5,3533.6,3586,3596.8,3620.2,3648.1,3658.3,3718,3755.2,3793.2,3803.7,3855,3902,3917.9
"12","4","    Durable goods","DDURRX1",664,695.8,712.5,721,761.2,747.2,759.8,765.1,777.7,777,785.9,851.4,841,849.2,874.1,862,864.7,904.4,944.7,956.8,972.7,982.2,1001.3,1015.5,1026.3,1055.4,1067.3,1038.8,1081.3,1080.2,1095.1,1109.6,1122,1138.3,1150.9,1155.5,1122.5,1119,1084.7,1006.8,1008.6,1002.6,1050.6,1031.5,1045.2,1076.3,1093.8,1127.4,1141.8,1134.2,1148.6,1181.5,1213.8,1222.1,1242.2,1266.7,1293.6,1300.8,1311.2,1324.6,1333.2,1377.2,1402.5,1423.5,1430.4,1458.3,1481.7,1495.5
"13","5","      Motor vehicles and parts","DMOTRX1",320.7,343.5,344.5,334.3,362.7,336.7,342.7,343.7,353.2,347.3,351.5,404.6,375.8,377.9,401.7,377.9,377.4,393.8,406.6,400.5,402.4,402,407.3,410.3,401.2,414.4,416.6,367.8,382.1,381.9,388.5,388,390.5,396.2,393.3,391.2,371.9,355.2,337.4,298.8,307.6,308.9,342.2,309.5,306.2,319.7,325.7,342,342.7,324.2,325.2,343,353,354.9,360.3,368.3,376.8,375.8,374.2,376.3,380.1,395.9,403.2,407.7,404.1,413.6,416.7,410.6
"14","6","      Furnishings and durable household equipment","DFDHRX1",164.2,168.1,173.6,179.1,183.6,187.1,189.6,190.7,193.6,195.3,197.2,203.1,209.6,211.4,211.1,214.7,214,223.4,232.6,237.3,241.9,245.8,251.3,254.3,257.8,261.9,266.8,272.9,280.3,277,278.3,277.7,281.3,279.6,280.7,280.2,273.3,276.6,267.2,253.6,245.2,240.9,243.6,247.6,254,261.4,262.7,267.9,270.7,274.6,277.6,283.4,289.1,286.1,288,291.8,297.4,300.6,307.8,311.2,312.7,322.9,327.6,332.5,336.7,340.5,347.7,352.3
"15","7","      Recreational goods and vehicles","DREQRX1",105.3,110.3,115.7,121,128.5,130.2,133.4,136.1,138.2,141.9,144.9,151.9,157.1,159.4,161.4,164.7,167.5,175.9,187.6,195.3,200.8,206.2,212.6,217.7,227.7,236.2,240.1,246.5,261.2,263.6,269.4,281,286.1,293.5,304.7,311.6,308.2,318.1,312.8,295.9,298.6,294.7,305.8,316,324.1,333.8,341,348.3,357.9,364.9,373.7,384.1,399.2,408,418.1,427.8,440.6,446.9,453.5,458,460.5,475.4,490.1,500.4,508.2,518.6,531.4,548
"16","8","      Other durable goods","DODGRX1",102,103.4,106.5,112,112.6,116.2,116.8,116.1,114.5,111.7,111,114.4,117.4,119.4,120.2,122.5,122.7,128.6,134.5,138.7,142.1,141.3,142.6,145.1,149.5,152.4,153,158.4,163.8,163.2,164,166.8,167.7,172.1,174.6,174.4,170.6,169.7,167.6,158,156.9,157.8,158.9,159.1,162.2,162.5,165.4,169.4,171.3,173.8,176.2,174.5,177,178.4,181.7,184.8,185.8,185.7,185.6,189.3,189.8,192.9,193.3,195.7,196.8,200.9,203.3,206.9
"17","9","    Nondurable goods","DNDGRX1",1780.2,1796.8,1805.1,1841.8,1825.7,1862,1874.3,1892.3,1881,1889.8,1898.6,1914.7,1921.7,1922.7,1927.4,1952.6,1966,1980.3,2017,2030.9,2046.3,2052.6,2068.5,2087.2,2114,2123.2,2127.9,2164.2,2182.1,2189.3,2200.3,2237,2241.6,2237.1,2240.2,2238.4,2226.2,2241.8,2212.2,2178.6,2180.2,2164.4,2172.5,2183.5,2201.6,2212.1,2226,2254.5,2265.1,2265.6,2259.7,2262.4,2273.9,2275.9,2281.1,2279.4,2306.3,2310.4,2323.8,2338.9,2341.3,2361,2375.2,2393.7,2397.8,2423,2447.9,2451.5
"18","10","      Food and beverages purchased for off-premises consumption","DFXARX1",657.4,664.2,670.1,680.8,674.4,684.7,686,693,690.9,695.8,693.8,695.4,693,694.4,697.3,703.4,708.9,707.9,718.7,717.4,724.5,725.1,730.8,738.6,750,752.8,759.3,768.3,771.6,779.1,780.8,791.7,793.2,789.1,789.8,793.1,789.3,792.7,782.2,763.3,761.4,767.2,771.9,779.3,786.1,780.6,783.8,795.4,797.5,797.1,793.9,792,794.6,795.2,795.9,797,802.8,799.4,803.8,807.8,808.8,808.5,807.1,805.7,804.1,809.5,810.1,809.4
"19","11","      Clothing and footwear","DCLORX1",240.7,242.7,244.4,245,249,254.4,257.2,259.3,255.2,256.8,256.5,261,263.9,264,262.4,270.6,269.7,276.9,283,283.7,290.8,287.4,290.3,296.1,300.2,306.5,305.7,314.8,316.6,314.4,317.7,321,323.1,322.9,325.4,324.2,321.6,331.1,324.2,312.3,308.5,302.7,305.9,308.8,315.9,321,321.8,332,334.8,338,332.9,335.4,341,335.6,341,337.9,342.6,344.8,342.7,343.8,341.3,347.2,349.5,355.8,354.8,360.5,361.7,361.7
"20","12","      Gasoline and other energy goods","DGOERX1",299.5,305.8,301.6,302.5,291,296,296.6,294.2,295,290.6,295.4,295.6,293.9,296.4,297.5,297.9,294.8,294,297.4,300.8,299.8,300.3,298.4,298.7,304.2,296.8,292.3,298.7,296.3,294.1,296.1,303.3,301.6,297.7,295.5,292.6,290.2,285.8,275.9,281.8,291.9,284.7,282.3,279.1,279.3,282.5,284.2,282.8,280.2,273.1,272.7,271.5,267.1,272.9,272.4,267.8,272.2,274.3,275.7,276.6,276.3,274.9,275.1,280.8,284.8,284.5,288.1,286.3
"21","13","      Other nondurable goods","DONGRX1",596,599.2,601.9,626.1,618.9,634.1,640.7,650.8,646.5,651.5,658.9,667.3,673.8,671.7,674.6,682.8,693.8,700.7,716.1,727.6,728.4,737.7,746.1,750.2,756.3,762.7,766.8,777.9,793.8,799,802.7,817.8,820.8,825.1,827.5,827.2,823.7,833.3,834.3,821.9,819,809.4,811.9,816.4,821,828.4,836.6,845.8,855.1,862.9,865.5,869.4,880.1,878.5,878.6,885.5,897.1,899.7,909.4,918.9,923.3,940.6,954.4,961.7,964.1,978.6,998.3,1004.3
"22","14","  Services","DSERRX1",5245.4,5297.5,5356.2,5427.4,5510.8,5577.3,5629.2,5679.9,5709.6,5723.7,5733.7,5756.8,5791.9,5825.2,5848.2,5887.4,5909.4,5942.3,5986.9,6029,6084,6126.8,6177.1,6238.4,6271.5,6331.8,6388.4,6421.9,6464.4,6511.3,6541.2,6589.5,6623.8,6644.9,6673.4,6683.6,6710.5,6715.5,6708.1,6700.3,6662.5,6639.5,6642.7,6649.4,6670.6,6710.3,6744,6785.6,6812,6839.2,6876.6,6877.7,6898,6906,6909.7,6918.8,6931.4,6956.8,6978.1,7041.7,7065.7,7108.5,7163.8,7240.4,7277.4,7325.3,7363.4,7415
"23","15","    Household consumption expenditures (for services)","DHCERX1",5108.1,5159,5216.8,5286.2,5363.8,5430,5474.6,5519.4,5548.1,5557.6,5563.6,5581.9,5613,5639.6,5653.1,5686.5,5708.4,5738,5781.8,5823.7,5875.1,5919,5970.3,6032.1,6073.2,6127.9,6183.4,6204.8,6237.8,6276,6301.6,6351.8,6385.1,6409.5,6434.1,6432.1,6451.7,6446.2,6430.1,6412.3,6383.4,6366.6,6369.5,6370.5,6391.5,6428.7,6466.5,6510.7,6539.3,6565.8,6596.5,6602.1,6616.9,6611.7,6614.7,6614,6633.8,6661.3,6679.3,6737.3,6762.6,6804.2,6856.2,6934.9,6977.6,7024.3,7052.4,7096.3
"24","16","      Housing and utilities","DHUTRX1",1531.2,1546.1,1562.2,1562.3,1570.5,1592.1,1606.7,1632.8,1641.3,1639.6,1646.3,1644.9,1644.7,1651.6,1654.4,1664.5,1668,1673,1675.3,1687.6,1698.3,1710.6,1720.3,1742.4,1760.9,1782.3,1802.1,1808.2,1803.8,1824.5,1836,1828.5,1837.5,1840.1,1845.4,1840,1854.6,1860.2,1854.7,1870.8,1874,1878,1881.4,1890.6,1897.2,1896.5,1906.5,1916.8,1918.3,1924.4,1937.4,1931.9,1916,1933.6,1939.5,1927.5,1938.5,1938.8,1933,1945,1966.5,1960,1954.8,1963.5,1980.5,1976.7,1980.7,1973.1
"25","17","      Health care","DHLCRX1",1167.3,1171.9,1181.4,1192.6,1199.6,1215.4,1223.7,1236.6,1254.4,1268.6,1287.3,1307.9,1333.9,1353.3,1363.9,1371.3,1379.6,1386.7,1397.2,1406.6,1416.2,1432.8,1453,1467,1473.8,1483.3,1501.6,1503.1,1512,1519.8,1528,1541.3,1549.5,1556.3,1570.4,1576.8,1593.7,1596.8,1600.1,1604.8,1616,1628.6,1634.9,1630,1626,1640.9,1657.1,1672.8,1680,1688.2,1687.2,1706,1728.3,1723.4,1728.2,1727.9,1723,1739.8,1749,1763.7,1754,1778.5,1801,1832.9,1853.8,1867.5,1884,1896.2
"26","18","      Transportation services","DTRSRX1",310.5,314.4,320.7,324.3,328.6,332.3,334.5,335.7,336.2,334.7,328.5,322.8,323.3,320.3,319.8,319.9,321.7,320.6,323.8,325.8,329,331.8,331.8,333.5,333.9,335,335.9,334,333.2,335.2,335.1,338.6,340.3,340.3,338.9,336.4,332.1,326.5,319.6,306.9,296.5,291.1,287,284.2,284.6,286.2,288,289.6,290.2,293.5,296,296.9,293.9,300.1,302,300.8,304.5,308,311.2,311.1,317.4,320.6,326.2,331.3,334,339.8,342.9,348.8
"27","19","      Recreation services","DRCARX1",308.9,313.8,320.5,324.1,323.8,326.6,327.1,326.3,328.9,325.5,323.7,323.5,325.6,326.1,326.9,330.6,330.5,335.6,341.1,346.2,351.6,355.2,357.8,358.6,362.4,364.5,364.5,367.3,372.2,374.4,377.1,386.1,388.8,390.5,394.6,394.4,393.2,392.5,387.7,382.5,379,375.3,373.6,376.1,379.1,377,382.4,385.3,384,389.8,392.1,392.5,392.8,397.4,398.2,401.2,402.8,399.7,405.9,409.7,412.9,411.9,417,422.8,420.7,423.1,423.2,437.5
"28","20","      Food services and accommodations","DFSARX1",505.1,508.1,510.1,522.1,530.7,535.3,537.2,535.4,539.3,534,531,530.2,538,542,543,543.8,547.8,558,567.4,573.2,579.4,580.2,585.5,591.6,595,603.6,607.8,614,623.1,619.6,623.3,632.7,629.8,631.3,631.9,637.4,629,632.4,626.3,616.7,605.8,599.9,598.2,597.5,603.1,607.7,611.3,616.3,622.1,623.3,626.4,629.2,636.3,639.5,642.7,647.3,652,646.6,648.4,658.8,657.1,667.9,674.6,684.8,689.3,701.4,704.6,712.2
"29","21","      Financial services and insurance","DIFSRX1",576.2,590.8,603.8,623.8,655.2,656.5,660.8,664.4,654.4,647.6,638.5,643.4,640.2,639.9,643.6,643,637.2,640.2,645,650,659.8,661.9,669,684.2,691.7,703.2,710.5,710.9,718.5,718.4,717.4,726,735.4,743.2,747,744.6,742.3,738.3,738.9,730.2,723.8,719,719.2,713.8,721.5,736.1,735.4,742.7,748,746.6,752.6,741.4,732.6,707.5,693.3,692.2,705.7,714.1,713.9,722.1,718.5,719.9,725.6,727.4,727.4,731.4,729.5,735
"30","22","      Other services","DOTSRX1",711.4,714.9,717.8,734.6,749.8,767.3,780.7,784.6,791.6,807,809,810,808.7,808.1,802.9,815.2,826.4,826.7,834.7,837.2,843,849,855,856.2,856.5,856.5,861.3,867.8,875.2,884.5,885.6,899.4,903.9,907.4,905.3,902,906.7,899.4,902.7,900.2,888.3,874.8,875.2,878.4,880.3,884.1,885.7,887,896.3,899.8,904.5,904,916.5,911.3,912.7,918.9,908.6,915,918.7,927.3,937.4,946.7,958.2,974.1,974.4,986.8,990.7,996.7
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1",148.1,149.3,150.5,152.5,157.7,158.5,164.7,169.7,170.7,174.5,177.6,181.5,185,190.4,198.2,203.2,203.5,206.5,207.5,207.8,211.2,210.5,209.9,209.7,202.7,207.9,209.1,220.1,228.9,236.9,241.1,239.5,240.5,237.4,241.1,252.6,259.5,269.5,277.8,287.6,278.9,272.9,273.2,279,279.2,281.7,277.4,274.8,272.4,273.2,280,275.2,281,294.9,295.6,306,298.3,296.1,299.6,305.4,303.8,305,308.4,306,300,301.2,311.5,319.4
"32","24","      Gross output of nonprofit institutions \2\","DNPERX1",769.7,773.8,779.6,787.8,794.5,802.1,811,821.3,830.4,839.3,850.7,863,878,892.7,904.4,909,910.3,912.8,915.9,918.7,925.6,932.3,943.2,952.4,947.5,956.2,967,976,986.7,996.1,1004.1,1009.5,1016.8,1017.2,1022.8,1032.1,1043.4,1050.4,1059.4,1067.7,1069,1071.2,1074.8,1075.3,1072.6,1084,1090.6,1097,1093.2,1096,1094.6,1104.4,1121.2,1124.3,1134.6,1136.3,1130.4,1140.7,1144.1,1156,1139,1152.9,1163.8,1179.3,1181.2,1183.2,1187.6,1195.8
"33","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1",632.6,635.3,640,646.2,646.5,653.6,654.8,659.1,667.6,672,680.1,688.1,699.6,708.1,710.3,708.8,709.8,708.7,710.9,713.4,716.6,724.5,736.5,746.3,749.4,752.3,762.1,758.8,760,760.6,764.2,771.6,778,781.7,783.4,780.5,784.5,781,781.3,779.4,789.9,798.3,801.6,796.4,793.5,802.4,813,821.9,820.5,822.5,814.6,828.8,839.8,830,839.3,831.5,832.8,844.9,845.1,851.4,836.1,848.6,856.1,873.7,881.4,882.1,876.7,877.1
"34","26","Gross private domestic investment","A006RX1",2186.1,2188,2242.8,2308.6,2287.8,2424.5,2394.1,2395.6,2285.3,2277.1,2236.6,2126.9,2202.8,2224.9,2224.6,2220.7,2239.5,2251.3,2330.9,2413.1,2414.5,2500.9,2539.4,2590.6,2664.4,2630.5,2657.9,2737.6,2773.8,2755.7,2727.6,2663,2638.5,2674.7,2658.1,2605.2,2517.5,2472.6,2403.8,2190,1937.7,1820.5,1804.7,1949.6,2012.9,2116.9,2185.7,2166.1,2125.9,2208,2214,2373.7,2429.6,2489.1,2482,2462.2,2505.1,2537.2,2619.7,2647.1,2630.5,2709.5,2758.1,2772.5,2830.2,2864.8,2859.7,2852.7
"35","27","  Fixed investment","A007RX1",2101.6,2151.2,2200.4,2210.5,2272,2322.9,2332.4,2337.5,2325.4,2294.7,2276.1,2223.8,2210.7,2205.2,2197.8,2190.9,2206.8,2254.4,2325.9,2370.9,2362.5,2422.8,2472,2518.2,2558.8,2599.2,2640.4,2645.5,2700.7,2676.8,2649.6,2622.8,2618.2,2624.9,2609,2586.3,2539.1,2503.4,2424.1,2263.8,2089.3,2011,2008.4,1994.1,1997.9,2062.8,2060.8,2103.1,2098.4,2140.2,2227.5,2280.6,2360.4,2399.8,2400.4,2441,2470.6,2486.3,2509.5,2541,2578.3,2613.4,2663.5,2679.7,2701.4,2735.5,2760.7,2763.2
"36","28","    Nonresidential","A008RX1",1459,1497.3,1539.3,1544.9,1599.9,1650.5,1667.9,1672.3,1658.8,1621.2,1600,1553.6,1522.1,1501.9,1493,1475.1,1478.6,1514.3,1544.7,1566.8,1549.4,1583.8,1626.9,1661.4,1681.9,1706.1,1737.4,1744.3,1808.7,1831.3,1853.1,1865.2,1897.2,1934.4,1964.4,1997.6,1998.1,1986.6,1933,1820.1,1688.3,1634,1613.1,1598.4,1615,1659.3,1692.8,1728.1,1724.1,1761,1840.8,1883.1,1938.1,1973.7,1963.4,1981.4,2000.7,2005.7,2023.1,2065.5,2106.9,2129.8,2176.3,2180,2188.6,2210.6,2224.9,2213
"37","29","      Structures","B009RX1",497.6,492.4,492.2,497.3,507.8,529,547.6,549.5,534,536.9,541.2,489.4,463.4,438,417.3,411.4,408.5,419.3,417.5,418,409.3,411.6,417.9,417.7,423.1,420.9,418.6,422.3,437.8,450.9,458.9,458.4,474.8,500.6,524,536.8,539,547.7,543.7,530.3,490.5,453.3,422.6,386.5,359.7,369.8,364.4,371.2,343,366.7,388.2,400.9,419.5,429.9,425.5,417.5,411,422.6,440.4,444.7,464.6,464.4,462.3,467.1,458.2,465.2,456.6,450.7
"38","30","      Equipment","Y033RX1",635.4,658,680.3,675.9,706.4,732.5,735.1,733.7,728.1,697.8,679.7,677,665.5,657.9,659.4,649.2,649.5,671.3,691,704.3,692.8,719.9,744.6,767.4,774.2,791,817.9,823.4,866.5,869.6,871.9,875.2,886.1,896.2,900.9,910,899.4,876.6,831.6,736.8,653.9,631.6,639.9,651.9,697.7,735.2,766.2,787.8,810.6,819.3,871,890.8,924.4,944,936,952.6,967.4,965.3,956,989.3,997.9,1013.7,1053.1,1040,1046,1046.9,1072,1066.4
"39","31","        Information processing equipment","Y034RX1",138.8,149.3,155.3,154.4,167.9,179,184.2,190.3,189.2,178.9,172.1,172.6,169.6,168.9,172,169.1,175.4,178.9,189.1,199.7,198.7,204.2,206.1,209.2,214.3,218,226.2,230.3,246.3,247.6,255.1,254.7,270.6,272.7,279.5,296.7,294.6,294.1,281.2,254.1,245.6,246.4,261.4,270.9,276,277.8,282.5,289.5,279.8,286.6,288.9,288.2,304.6,302.2,297.3,308.2,315.3,312.8,317,312.5,316.2,329,322.8,337.6,334.2,330.5,351,352.9
"40","32","          Computers and peripheral equipment \4\","B935RX1",26.3,29.4,30.7,30.3,32,35.5,36.7,37.3,38.8,36.4,33.9,36,37.9,37.1,38.9,38.2,39.6,39.9,42.3,45.2,44.3,45.6,47.4,49.9,48.8,50.4,52.7,56.6,60.3,62.8,67,67.2,71.1,69.8,72.6,77.5,81.1,81.9,76.3,68.9,69.9,73.2,77.5,86.5,87.6,86.4,83,81.6,76.9,83.5,86.7,84.7,91,89,83.1,90.7,93.2,89.3,91.6,93.7,87.2,89.3,90.1,89.3,84.3,89.6,93.7,85.6
"41","33","          Other","A937RX1",120.4,126.4,131.3,131,144.9,151.2,155,161.6,156.9,149,145.8,142.2,134.9,135.5,135.9,133.7,138.7,142.4,150.3,157.8,158.1,162.3,161.5,161.1,168.6,170.5,176.2,175.2,187.8,185.9,188.4,187.9,200,203.8,207.7,220,213.8,212.4,205.2,185.4,175.8,173.1,183.9,184.5,188.5,191.5,199.5,207.7,202.5,203,202.2,203.4,213.6,213.1,213.8,217.4,222.1,223.2,225.2,218.8,228.5,239,232.2,247.5,248.8,240.3,256.6,265.7
"42","34","        Industrial equipment","A680RX1",179.5,182.1,184.5,184.9,193.7,198.8,202.4,199.3,199.7,185.5,177.7,172.6,174.1,169.7,171.7,170.7,170.1,177,172.8,169,162.5,166.5,171.9,175.4,179.4,177.4,185,192.6,190.8,202.6,201.2,201.7,197.7,210.6,211.7,201.2,201,199.4,195.6,186,161,152.5,148.5,146.3,143,151.1,152.8,158.3,171.8,174.1,188.2,198.9,197,203,197.5,201.7,198.5,193.9,194.7,192,202.2,209.2,213.5,210.8,210,220.9,219,224.9
"43","35","        Transportation equipment","A681RX1",199.3,205.9,217.9,210.4,208.8,211,203.5,193.2,186,186.3,180.9,186.5,178.4,169,164,157.6,144.7,155.9,159,159.6,156.1,170.2,183.2,196.4,189.7,196.7,206.9,198.4,219.6,209.9,209,211.8,212.8,201.8,199.2,200.5,198.5,175.8,147.7,105.5,68.6,67.2,70,76.5,109.7,130.9,152,155.1,168.1,167.1,188.5,208.5,213.9,220.7,217.6,223.5,228.5,244,239.6,260.4,258.5,261.7,286.5,280.4,288.1,285.1,297.8,290
"44","36","        Other equipment","A862RX1",161.4,159,160.8,164.3,168.9,172.9,170.1,170,172.4,167.7,170.7,165.8,163.8,169.5,169.2,169.1,173.1,174.9,183.2,186.1,184.6,189.1,195.9,200.2,203.7,212.2,213,214.9,221.9,221.5,217.2,217.7,213.2,219.5,217.9,217.4,211.1,211.8,210.6,192.7,178.8,165.5,159.9,158.2,170.7,177.8,182.2,188.3,194.4,194.9,209,199,213.4,222.2,227.4,223.8,230.1,220.3,210.7,230,226.3,219.8,235.4,217.9,220,216.1,211.7,206.1
"45","37","      Intellectual property products","Y001RX1",371.3,385.3,400.3,407.6,419.4,425.3,427.5,432,435.1,430.2,426.6,420.1,419.8,425.8,430.1,427.9,433,436.6,446.2,452.9,454.7,457.8,468.6,478.4,487,495,499.9,498,503.8,511,522.9,532.1,537,538.9,541.1,552.4,561.2,563.3,558.2,552.5,543.6,549.4,550.9,559.8,557.6,554.7,563,570,571.9,576.3,583.5,593.3,596.1,601.7,603.7,613.8,625.3,620.3,628.3,633.7,645.7,653.4,663.8,675,687.1,701,699.6,699.4
"46","38","        Software \5\","B985RX1",141.3,151.6,160,165.1,170.8,175.5,175.9,181.2,182.6,178.5,176.4,171,172.6,177.1,181.2,176.6,180.7,182.5,192.7,199.9,202.4,203.7,209.8,215.7,216.6,221.8,223.1,223.3,225.7,228.1,231.7,235.9,241.5,242.2,244.7,248.3,256,257,257.7,254.2,252.8,255.2,257.7,261.4,256,250.9,253.3,256.7,262.2,268.4,275.2,281.2,282.3,286.4,286.4,291.5,296.7,290.5,296.2,299.9,305.8,311.6,319.1,323.4,330.6,335.4,334.6,335.8
"47","39","        Research and development \6\","Y006RX1",178.5,182,187.1,188,192.6,192.2,194.2,193.2,196.3,196.7,195.3,194.1,190.2,190.8,189.4,191.5,190.5,190,188.3,187.5,187.4,189.5,192.8,194.5,200.6,202.1,204.9,201.6,205.2,210.6,219.6,224.7,224.7,226.2,225.9,234.7,236.6,238.6,234.2,232.7,226.2,229.1,228.4,232.3,232.7,231.5,235.6,237.8,236.5,235.7,235.9,238.6,239.6,241.1,243.1,247.7,253.5,254,256.4,257.4,262.8,264.5,267.1,272.8,277.4,285.7,284.4,283.1
