"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191"
"45","37","      Intellectual property products","Y001RA3",8.582,8.749,8.812,8.906,8.862,8.802,8.742,8.6,8.608,8.705,8.819,9.013,9.212,9.368,9.446,9.569,9.68,9.821,9.929,10.056,10.077,10.119,10.218,10.216,10.154,10.095,10.243,10.5,10.942,11.234,11.522,11.74,11.871,12.067,12.191,12.304,12.402,12.777,13.121,13.573,14.054,14.366,14.666,14.847,15.058,15.047,15.16,15.547,16.313,16.688,17.007,17.427,17.701,17.874,18.005,18.016,18.349,18.946,19.603,20.354,20.993,21.656,22.242,22.916,23.251,23.729,24.046,24.683,25.108,25.502,25.753,26.016,26.185,26.394,26.7,27.122,27.526,28.02,28.644,29.783,30.546,31.364,32.257,33.184,33.846,34.444,34.557,35.239,35.805,36.617,36.758,37.77,38.268,38.784,39.041,39.703,40.177,40.562,40.804,40.796,41.297,41.847,42.602,43.162,43.743,44.778,45.723,46.943,48.35,49.633,51.077,52.576,54.935,56.125,57.643,59.234,60.714,62.172,64.06,65.615,67.395,69.937,72.669,73.983,76.124,77.201,77.601,78.412,78.98,78.079,77.434,76.249,76.195,77.297,78.067,77.677,78.602,79.248,80.986,82.207,82.532,83.104,85.056,86.843,88.404,89.847,90.747,90.397,91.438,92.757,94.921,96.589,97.481,97.817,98.216,100.266,101.871,102.25,101.315,100.286,98.669,99.724,99.994,101.613,101.213,100.692,102.189,103.455,103.803,104.612,105.921,107.689,108.208,109.214,109.584,111.404,113.507,112.598,114.042,115.019,117.211,118.599,120.498,122.525,124.718,127.235,126.992,126.944
"46","38","        Software \4\","B985RA3",0.468,0.519,0.58,0.636,0.683,0.717,0.716,0.695,0.689,0.724,0.762,0.814,0.845,0.871,0.898,0.894,0.931,0.971,1.017,1.071,1.097,1.114,1.183,1.272,1.377,1.383,1.359,1.351,1.377,1.456,1.521,1.588,1.539,1.546,1.541,1.566,1.651,1.766,1.889,2.032,2.119,2.232,2.337,2.45,2.528,2.618,2.748,2.887,2.974,3.055,3.17,3.333,3.557,3.646,3.648,3.619,3.827,4.09,4.44,4.701,4.934,5.18,5.535,5.916,6.132,6.378,6.44,6.665,6.847,7.119,7.257,7.432,7.677,7.995,8.33,8.664,9.016,9.438,9.958,10.529,11.278,12.098,13.002,13.803,14.289,14.766,14.632,15.455,15.956,16.473,16.887,17.669,18.441,19.286,20.035,20.936,21.342,21.728,22.254,22.672,23.354,23.904,24.477,24.909,25.271,26.029,26.969,28.035,29.166,30.386,31.68,33.49,37.009,38.984,41.463,44.041,45.696,47.312,49.633,52.495,55.047,59.03,62.304,64.291,66.521,68.35,68.493,70.58,71.119,69.506,68.686,66.602,67.21,68.989,70.548,68.79,70.354,71.072,75.057,77.861,78.835,79.317,81.721,84.01,84.337,86.387,86.878,86.959,87.896,88.84,90.225,91.856,94.065,94.33,95.3,96.686,99.715,100.074,100.342,99.011,98.459,99.38,100.368,101.792,99.708,97.721,98.648,99.966,102.128,104.535,107.182,109.497,109.949,111.531,111.548,113.504,115.544,113.132,115.368,116.8,119.111,121.345,124.265,125.965,128.743,130.626,130.296,130.767
"47","39","        Research and development \5\","Y006RA3",20.876,21.243,21.545,21.726,21.663,21.484,21.44,21.131,21.288,21.391,21.403,21.52,21.994,22.229,22.427,22.96,23.533,23.872,24.042,24.165,23.993,24.031,24.12,23.859,23.37,23.255,23.648,24.172,24.834,24.973,25.216,25.39,25.724,26.309,26.678,27.072,27.484,28.379,28.829,29.368,29.856,30.239,30.843,31.566,32.146,32.297,32.668,33.583,34.15,34.409,35.153,35.395,36.009,36.479,36.939,36.944,37.307,38.196,38.931,40.152,40.926,42.177,43.086,44.213,45.065,45.859,46.556,47.524,47.949,47.95,48.205,48.541,48.671,48.786,49.156,49.72,49.713,50.57,51.512,52.607,53.464,54,54.665,55.526,56.397,57.231,57.702,57.86,58.788,60.24,59.609,60.88,60.565,60.288,59.621,59.706,59.986,60.178,59.738,58.827,58.9,59.228,60.048,60.505,61.038,62.202,63.002,64.675,66.083,67.404,68.973,70.518,71.893,71.809,72.231,72.268,74.202,75.229,76.671,76.621,77.93,79.449,81.688,82.107,84.104,83.906,84.795,84.354,85.701,85.895,85.257,84.75,83.037,83.325,82.689,83.615,83.176,82.984,82.242,81.862,81.839,82.728,84.168,84.917,87.613,88.229,89.47,88.009,89.602,91.938,95.877,98.095,98.121,98.782,98.619,102.483,103.312,104.195,102.258,101.588,98.766,100.045,99.738,101.451,101.598,101.077,102.88,103.85,103.251,102.924,102.992,104.177,104.638,105.283,106.13,108.144,110.696,110.919,111.941,112.404,114.76,115.473,116.636,119.133,121.138,124.759,124.185,123.601
"48","40","        Entertainment, literary, and artistic originals","Y020RA3",27.41,27.233,25.856,25.325,24.122,23.341,22.81,22.481,22.212,22.387,22.984,23.927,24.263,24.877,24.748,24.611,23.585,23.511,23.48,23.69,24.045,24.142,23.948,23.407,22.662,22.265,23.072,24.466,27.016,28.767,30.344,31.357,32.473,32.771,33.07,32.756,31.444,31.368,32.246,33.834,36.598,37.53,37.704,36.044,35.589,33.883,32.397,32.136,38.064,40.628,40.453,42.688,41.204,40.562,40.455,40.887,41.199,42.165,43.487,45.143,47.439,48.134,48.097,48.072,46.797,47.078,47.632,49.311,50.883,52.782,53.439,53.616,52.888,52.019,51.245,51.091,52.536,51.483,50.751,54.574,53.887,54.427,54.804,55.711,56.179,56.214,56.718,57.485,56.771,56.695,57.383,58.134,59.125,59.883,60.109,60.938,62.176,62.974,63.67,64.187,64.867,65.909,67.144,68.497,70.163,71.891,73.08,73.33,75.785,76.992,78.493,78.116,77.784,79.237,79.72,81.723,80.9,82.979,84.298,85.251,85.088,84.515,86.355,87.586,89.749,91.684,91.608,90.859,88.993,87.684,87.803,88.377,90.796,91.567,93.436,94.634,97.135,100.113,100.516,100.49,99.386,99.325,101.159,104.35,107.047,108.828,110.206,111.917,111.517,110.884,110.148,110.096,108.717,108.199,108.281,106.63,105.317,103.993,101.83,100.739,99.148,99.961,99.415,101.476,105.762,111.029,113.648,115.77,112.422,111.14,111.814,113.624,114.671,114.811,114.744,115.278,115.887,116.562,116.482,117.648,118.727,119.428,120.202,121.639,122.303,122.901,124.271,124.352
"49","41","    Residential","A011RA3",73.919,73.227,72.646,67.652,67.691,63.548,67.214,73.987,77.827,85.295,89.216,92.651,98.697,100.568,101.012,104.582,108.074,102.473,98.079,93.633,87.544,84.01,81.196,70.625,66.639,68.517,73.033,76.161,83.382,85.439,84.104,94.285,97.091,107.745,107.425,106.153,107.143,112.269,113.565,113.35,110.598,108.647,107.322,103.031,95.103,77.468,79.848,87.295,85.16,82.448,76.048,68.108,64.178,62.105,62.044,66.959,78.47,87.608,96.162,100.223,103.224,105.028,103.8,103.903,104.149,105.031,106.987,109.32,113.76,120.294,121.939,122.27,122.06,122.48,121.467,121.667,119.5,120.979,121.051,121.834,120.655,116.873,116.333,113.861,114.869,110.34,104.407,98.382,93.199,96.067,99.315,101.279,107.073,110.736,110.783,115.013,115.092,116.627,120.992,127.196,129.095,133.271,131.308,129.288,126.35,122.456,126.99,129.458,132.825,138.616,138.326,136.754,137.453,139.376,140.726,142.212,145.159,150.19,154.582,158.211,158.82,161.293,162.505,163.691,164.505,163.661,161.116,161.282,161.975,164.484,165.508,164.446,169.837,174.054,174.568,177.711,180.959,183.814,194.356,200.131,202.472,208.922,210.396,213.302,218.336,222.386,224.83,224.316,222.224,211.05,199.276,189.972,181.305,174.048,162.957,149.424,137.673,131.637,125.151,113.085,102.224,96.102,100.801,100.873,97.635,102.871,93.845,95.635,95.449,96.708,98.605,101.364,107.706,108.69,111.479,117.228,119.803,122.454,123.915,121.332,120.487,123.5,124.538,127.53,130.642,133.591,136.24,139.563
"50","42","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","  Exports","B020RA3",9.148,11.199,10.931,11.307,11.395,11.896,11.861,11.97,12.015,11.994,12.491,11.445,12.685,12.316,13.06,13.614,14.611,15.316,15.367,16.121,16.327,17.122,16.198,16.622,16.739,16.252,15.978,16.881,16.764,16.933,17.425,17.602,17.32,17.786,17.924,17.349,17.758,19.608,19.823,20.61,20.627,20.682,21.426,22.774,23.41,23.851,23.801,23.657,24.104,24.235,23.72,23.83,22.797,22.934,21.917,20.914,21.252,21.316,21.637,22.073,22.534,23.094,23.604,24.083,24.146,24.094,23.743,24.454,25.223,25.496,26.08,27.052,27.071,28.183,29.405,30.501,32.196,33.099,33.752,34.782,35.82,37.387,37.769,38.34,40.006,40.503,40.81,41.169,41.421,42.931,43.947,44.937,45.749,45.771,46.742,46.978,47.085,47.649,47.522,49.055,49.537,51.209,53.126,54.352,55.398,56.175,58.606,59.444,60.161,61.139,61.634,65.477,66.722,69.389,70.997,70.898,71.229,70.443,70.116,72.712,70.946,71.669,73.774,75.635,76.786,79.027,80.965,80.259,79.011,76.401,72.687,70.414,71.854,73.822,74.348,73.341,72.906,72.822,74.762,78.05,80.405,81.441,81.912,83.897,85.193,86.767,86.866,89.317,92.645,94.38,94.192,98.385,99.996,101.758,104.901,108.122,109.46,112.74,111.235,105.132,96.7,96.954,100.353,105.994,107.584,110.098,113.212,116.684,117.293,119.08,120.334,121.536,122.35,123.72,124.331,124.185,124.493,125.998,127.292,130.639,128.399,131.435,132.011,133.77,131.719,133.368,133.59,132.911
"55","47","    Goods","B253RA3",8.52,10.778,10.503,10.868,11.032,11.338,11.358,11.501,11.319,11.299,12.072,10.492,12.172,11.908,12.569,13.447,14.646,15.52,15.503,16.706,16.759,17.569,16.533,16.821,16.796,15.976,16.276,17.234,17.039,17.151,17.6,17.902,17.563,18.018,18.099,17.348,17.624,19.932,20.031,20.816,20.769,20.829,21.775,23.331,24.219,24.561,24.367,24.219,24.397,24.504,23.848,23.986,22.821,23.085,21.861,20.776,21.18,21.039,21.429,22.024,22.056,22.49,23.296,23.907,23.864,23.7,23.368,24.041,24.064,24.617,25.062,26.35,26.171,27.423,28.802,29.884,31.814,32.725,33.23,34.471,35.18,37.072,37.375,37.727,39.512,39.903,40.284,40.277,41.29,42.177,43.147,44.1,45.141,45.117,46.486,46.829,46.624,47.224,46.856,48.831,48.859,50.771,53.419,54.648,56.029,56.768,59.174,59.898,61.029,61.782,63.095,66.609,68.672,72.169,74.157,74.098,74.542,72.516,72.564,75.764,74.531,75.587,77.554,80.049,81.614,84.077,87.165,85.971,84.693,81.313,76.835,75.137,75.002,77.637,78.14,76.343,76.556,76.565,78.179,81.583,83.182,84.436,85.234,86.83,88.491,91.228,91.092,93.677,97.817,99.224,99.364,102.43,103.797,105.415,108.516,110.944,113.767,117.268,116.536,107.413,96.48,95.835,100.539,107.146,110.196,113.047,115.475,118.801,119.615,121.069,122.097,124.51,125.074,126.524,127.218,125.985,126.12,128.42,129.993,134.578,131.295,135.116,137.087,138.421,134.193,136.319,136.024,134.154
"56","48","    Services","B646RA3",11.293,12.592,12.347,12.755,12.565,13.772,13.532,13.525,14.38,14.358,13.884,14.675,14.435,13.708,14.715,14.199,14.518,14.629,14.916,13.991,14.767,15.486,14.993,15.968,16.685,17.605,14.924,15.613,15.818,16.228,16.902,16.574,16.516,17.04,17.404,17.516,18.445,18.518,19.19,19.995,20.271,20.308,20.232,20.751,20.383,21.229,21.748,21.613,23.135,23.361,23.396,23.396,22.866,22.522,22.27,21.555,21.665,22.452,22.527,22.389,24.382,25.391,24.852,24.89,25.327,25.654,25.244,26.084,29.17,28.59,29.598,29.641,30.26,30.967,31.734,32.888,33.882,34.769,35.897,36.273,38.366,38.943,39.576,40.828,42.164,42.99,43.082,44.509,42.593,45.9,47.061,48.164,48.351,48.492,48.405,48.358,49.303,49.787,50.297,50.7,52.383,53.458,53.487,54.73,54.91,55.803,58.353,59.505,59.153,60.73,59.149,63.871,63.11,63.784,64.49,64.3,64.38,66.55,65.324,66.521,63.468,63.462,65.855,66.361,66.636,68.415,67.912,68.245,67.055,66.078,63.984,60.483,65.27,65.826,66.403,67.079,65.258,64.977,67.617,70.665,74.64,75.215,74.984,77.801,78.32,77.458,78.043,80.212,81.847,84.264,83.388,89.953,92.075,94.14,97.373,102.262,100.459,103.291,100.141,100.437,97.133,99.24,99.984,103.643,102.212,104.01,108.538,112.322,112.503,115.027,116.782,115.373,116.732,117.934,118.366,120.519,121.178,121.006,121.717,122.505,122.424,123.847,121.585,124.192,126.407,127.129,128.338,129.9
"57","49","  Imports","B021RA3",10.786,12.914,12.747,12.607,12.565,12.814,12.784,12.983,12.83,13.797,14.102,13.147,15.068,14.533,14.835,15.503,16.22,15.752,15.317,15.431,14.908,15.698,15.423,15.27,13.738,12.639,13.689,14.42,15.324,15.987,16.64,17.19,18.004,18.17,17.917,18.171,19.39,19.451,19.705,19.976,19.921,20.029,19.723,20.154,20.169,18.705,17.36,18.292,19.076,19.104,18.887,19.428,18.874,18.566,19.427,18.665,19.092,20.56,22.161,23.248,25.118,26.17,26.847,27.634,27.024,28.352,28.078,29.179,29.152,30.393,31.235,31.476,31.288,32.068,32.692,33.443,33.287,32.904,33.68,34.707,34.868,35.033,34.985,35.618,36.748,36.686,36.538,35.558,35.153,35.778,36.784,37.597,37.87,38.493,39.1,40.036,40.902,41.747,42.297,43.996,45.021,46.699,48.012,49.363,50.446,50.925,51.1,51.753,53.436,54.632,56.403,57.515,59.972,61.985,64.27,65.658,68.122,69.683,70.62,72.901,73.966,76.091,78.926,80.869,84.115,86.71,89.706,89.658,88.165,85.56,83.845,82.685,85.061,87.728,89.028,90.91,89.648,91.062,92.231,95.534,98.466,102.514,103.55,105.991,107.242,108.471,108.759,112.043,114.46,115.855,116.743,117.054,118.935,119.474,119.44,117.956,119.083,118.013,115.624,110.909,100.176,96.094,99.688,104.043,106.745,111.829,115.771,116.517,117.412,118.292,119.249,120.582,121.285,121.877,122.069,120.906,121.147,122.766,123.507,123.828,124.682,127.579,127.327,130.473,132.742,133.73,134.489,134.239
"58","50","    Goods","B255RA3",9.217,11.672,11.433,11.144,11.163,11.253,11.219,11.533,11.476,12.583,13.027,11.87,13.951,13.293,13.86,14.51,15.263,14.876,14.646,14.754,14.056,14.868,14.612,14.35,12.678,11.594,12.8,13.519,14.487,15.211,15.883,16.45,17.344,17.472,17.263,17.51,18.728,18.806,19.026,19.271,19.234,19.355,19.028,19.514,19.54,17.974,16.479,17.412,18.151,18.161,17.989,18.575,17.879,17.379,18.38,17.407,17.928,19.42,21.084,22.263,23.896,24.874,25.395,26.053,25.238,26.725,26.63,27.896,27.679,29.432,30.048,30.245,29.763,30.359,31.088,31.637,31.538,31.224,31.999,33.06,33.16,33.298,33.091,33.777,34.781,34.652,34.402,33.373,33.168,33.718,35.052,35.892,36.405,37.305,38.064,39.049,40.106,41.016,41.537,43.258,44.323,46.285,47.888,49.576,50.532,51.229,51.338,51.916,53.763,55.115,56.984,58.37,60.884,63.199,65.497,66.966,69.434,71.064,71.888,74.556,76.87,79.543,82.636,84.645,87.99,90.511,93.615,93.956,92.253,88.694,87.008,86.297,87.914,91.654,93.303,94.631,93.54,96.005,96.252,99.792,102.561,106.785,108.306,110.983,112.402,113.549,113.815,117.48,119.479,121.019,122.298,121.479,123.569,123.921,123.775,121.945,122.624,121.511,118.458,112.253,100.241,95.302,99.674,104.783,108.121,114.077,118.241,119.036,120.587,120.814,121.477,123.106,123.872,124.388,124.582,123.211,123.541,125.157,125.968,126.192,127.64,130.693,130.422,133.545,135.894,136.979,137.459,137.002
"59","51","    Services","B656RA3",18.682,19.326,19.49,20.067,19.725,20.755,20.752,20.378,19.755,20.085,19.745,19.701,20.932,20.978,19.983,20.756,21.314,20.441,18.983,19.124,19.559,20.164,19.761,20.29,19.748,18.597,18.602,19.364,19.844,20.103,20.604,21.029,21.303,21.698,21.18,21.466,22.639,22.596,23.047,23.471,23.312,23.33,23.172,23.204,23.125,22.459,22.253,23.102,24.146,24.314,23.795,24.01,24.474,25.491,25.357,26.06,25.822,27.041,28.143,28.57,31.911,33.406,35.077,36.658,37.435,37.617,36.196,36.235,37.378,35.678,37.792,38.283,39.796,41.666,41.647,43.603,43.102,42.313,43.079,43.871,44.39,44.716,45.656,45.953,47.827,48.171,48.606,47.913,46.344,47.375,46.561,47.226,46.19,45.319,45.123,45.813,45.683,46.202,46.91,48.518,49.34,49.558,49.379,49.007,50.779,50.127,50.64,51.683,52.546,52.966,54.273,54.066,56.27,56.875,59.128,60.167,62.662,63.912,65.328,65.827,61.356,61.157,62.867,64.506,67.33,70.254,72.791,71.035,70.453,71.961,70.112,67.073,72.541,70.772,70.635,74.783,72.854,70.006,74.823,77.157,80.709,84.014,83.067,84.523,85.061,86.615,86.981,88.628,92.825,93.601,92.823,97.938,98.939,100.275,100.709,100.701,103.794,102.88,103.535,105.429,99.934,99.277,99.76,101.029,101.097,102.511,105.522,106.029,104.015,107.781,110.057,110.051,110.494,111.455,111.648,111.405,111.244,112.887,113.319,114.067,112.327,114.558,114.385,117.644,119.575,120.167,122.048,122.622
"60","52","Government consumption expenditures and gross investment","B822RA3",48.387,48.235,48.346,47.714,47.488,46.944,47.149,47.174,46.489,46.383,46.369,46.053,46.271,46.549,45.622,45.971,46.344,46.115,45.528,45.831,46.692,46.992,47.053,47.259,47.784,47.465,48.219,48.667,48.769,48.278,48.038,48.054,48.471,48.947,49.056,48.95,49.007,50.308,50.708,51.167,50.724,51.244,51.313,51.648,52.449,52.634,51.857,51.855,52.532,52.698,52.496,53.087,53.032,53.378,53.714,54.572,55.095,55.65,56.563,55.616,56.267,57.528,58.003,59.111,59.822,61.214,62.653,62.859,63.383,64.674,66.149,65.763,66.179,66.78,66.935,67.748,67.29,67.53,67.578,68.848,68.536,69.658,70.241,70.619,71.73,71.904,71.862,72.521,72.876,73.134,72.864,72.587,73.15,73.056,73.433,73.274,72.443,72.524,72.678,72.835,71.935,72.356,73.572,72.908,73.058,73.44,73.24,72.581,72.733,73.898,73.976,74.517,74.499,75.273,75.395,75.507,75.069,76.594,77.29,77.997,78.28,78.717,79.643,80.824,80.16,81.137,80.969,81.22,82.428,84.051,83.992,85.215,86.474,87.303,87.979,88.607,88.32,89.71,89.71,90.199,90.445,90.963,91.31,90.908,91.098,91.255,91.968,91.635,92.373,92.717,92.921,93.525,93.32,94.106,94.787,95.167,95.562,96.306,97.639,98.278,98.428,100.224,100.774,100.574,99.844,100.554,100.468,99.431,97.511,97.407,96.792,96.413,95.941,95.477,95.201,94.276,93.194,92.716,92.198,91.563,91.56,91.823,92.235,91.904,91.889,92.483,92.898,92.928
"61","53","  Federal","B823RA3",56.832,56.115,56.229,54.96,54.031,52.615,51.977,51.776,50.108,49.523,49.323,48.027,48.351,49.021,46.674,46.733,47.292,46.729,44.959,44.969,46.123,46.099,46.3,46.714,46.242,45.969,46.891,47.113,46.703,46.65,46.51,46.714,47.079,47.762,48.054,47.735,47.849,48.938,49.116,49.533,49.593,50.164,50.109,50.145,51.584,52.791,52.04,52.325,53.322,54.838,54.566,55.386,55.433,55.975,56.706,58.119,59.036,60.367,61.832,59.735,60.381,62.303,62.266,64.034,64.766,66.62,68.708,68.631,68.493,70.65,73.257,72.142,72.686,73.867,73.954,74.749,72.853,72.392,72.12,74.024,72.643,74.277,74.796,74.496,75.702,75.931,75.212,75.693,76.372,76.586,75.41,74.114,74.229,74.155,75.004,74.709,72.464,71.874,71.729,71.632,69.132,68.992,70.664,68.725,68.278,68.372,67.812,65.755,66.302,67.529,66.766,66.434,65.306,66.686,66.536,66.361,64.481,66.064,65.66,66.42,65.796,66.127,67.292,68.621,66.077,68.394,67.251,66.894,68.35,69.695,70.286,70.836,72.593,74.3,75.472,76.84,76.861,80.71,80.242,81.797,82.365,83.19,84.643,83.916,84.39,84.573,86.115,84.848,86.96,86.862,86.886,87.787,86.601,87.969,89.644,90.13,91.582,93.265,96.006,97.672,96.915,100.097,101.468,101.52,102.472,104.577,105.531,104.819,101.93,102.325,101.279,100.618,100.514,99.766,99.88,98.468,96.09,94.708,93.312,91.724,91.798,91.529,92.36,91.018,91.265,91.265,91.32,91.836
"62","54","    National defense","B824RA3",70.619,69.276,69.29,67.983,66.291,63.489,62.608,62.161,59.587,57.562,56.482,55.044,54.399,55.15,51.582,51.764,52.422,51.647,48.819,49.132,49.966,50.725,49.631,49.779,49.3,48.672,50.089,50.088,49.479,49.415,49.185,49.138,49.575,50.208,50.248,49.093,49.28,50.34,50.451,50.667,50.85,51.788,51.6,51.905,53.223,53.392,53.341,54.156,55.237,56.84,57.062,58.331,58.883,60.554,61.528,62.901,63.44,65.26,65.749,67.12,67.495,68.486,68.414,70.894,71.511,73.962,76.825,77.194,76.795,79.835,83.033,80.596,81.985,84.179,85.361,84.973,83.962,83.751,83.161,84.785,82.215,84.053,84.745,83.826,84.489,84.374,82.815,84.022,84.747,84.754,82.833,80.064,79.238,79.149,80.231,78.988,75.995,75.33,75.145,75.095,71.213,71.595,73.905,70.208,69.55,69.899,68.893,67.149,67.338,68.81,67.837,67.23,64.77,66.549,66.076,66.452,62.653,64.888,65.635,65.147,63.884,64.552,66.293,67.588,63.549,66.321,65.028,65.037,65.916,67.028,67.763,68.231,69.755,71.401,72.612,74.102,74.045,79.327,78.305,80.616,81.298,82.205,84.79,82.888,83.613,84.314,86.146,83.636,85.324,86.006,85.534,87.593,85.834,87.659,89.675,89.813,91.303,93.066,96.983,98.247,96.096,100.021,102.107,101.775,101.308,102.882,104.772,103.85,100.015,101.65,102.133,99.619,98.686,97.58,97.777,95.745,93.168,91.798,90,88.654,87.611,87.507,88.465,86.084,86.301,86.364,86.058,86.657
