"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","    Durable goods","DDURRG3",54.912,56.096,58.033,58.673,59.542,63.451,69.129,72.91,76.177,80.441,85.773,93.216,99.45,103.329,105.421,106.98,108.112,109.301,112.446,114.301,116.384,117.54,119.263,120.087,121.269,123.642,124.544,123.287,120.593,117.181,114.005,111.953,109.733,106.92,103.113,101.124,100,98.361,96.43,94.628,92.83,91.611,90.799,89.576
"12","5","      Motor vehicles and parts","DMOTRG3",34.27,35.304,37.011,37.104,37.273,39.569,43.479,46.803,49.538,52.971,56.965,61.187,65.921,69.046,71.193,73.227,74.923,76.989,80.512,81.777,84.193,84.464,86.84,88.479,91.964,96.233,100.045,102.051,102.436,101.321,101.625,102.001,102.401,101.863,99.078,98.401,100,100.108,99.622,97.822,97.948,104.027,107.528,108.994
"13","6","      Furnishings and durable household equipment","DFDHRG3",50.873,51.98,52.92,53.672,54.938,59.415,65.322,68.132,70.645,74.219,78.849,85.255,91.556,96.275,98.518,99.712,100.805,101.867,103.477,104.952,105.265,106.33,106.936,108.203,108.777,110.457,110.284,110.597,110.433,110.341,108.906,108.118,106.266,104.082,101.164,99.914,100,99.6,98.887,98.141,97.811,93.728,92.359,92.179
"14","7","      Recreational goods and vehicles","DREQRG3",169.99,170.219,176.274,178.829,181.567,189.612,202.162,209.123,215.139,222.858,232.778,245.713,256.731,262.659,259.515,255.842,251.345,243.369,240.293,238.753,238.118,236.186,233.188,226.024,217.915,213.375,204.407,189.919,174.023,159.335,145.426,136.287,126.989,118.777,111.283,105.762,100,93.79,87.159,82.654,77.352,71.721,66.873,62.771
"15","8","      Other durable goods","DODGRG3",35.56,36.484,37.485,38.698,39.961,43.035,46.307,48.563,50.693,53.507,57.921,69.768,73.606,74.316,76.713,78.351,79.206,81.077,86.597,92.252,96.541,102.626,106.424,109.234,110.075,111.833,113.694,113.016,111.43,109.393,106.639,105.228,105.563,103.61,101.907,101.544,100,101.801,105.531,109.088,110.352,110.881,114.252,114.98
"16","9","    Nondurable goods","DNDGRG3",26.245,27.425,28.199,29.103,31.45,36.206,39.004,40.274,42.582,45.304,50.186,56.344,60.695,62.072,63.138,64.45,65.657,64.818,67.023,69.154,72.584,76.745,78.986,80.133,80.784,81.215,82.064,83.922,84.798,84.169,86.268,90.016,90.961,90.888,92.797,96.114,100,103.23,106.49,112.567,109.177,112.622,119.43,122.427
"17","10","      Food and beverages purchased for off-premises consumption","DFXARG3",23.936,25.271,25.847,27.079,30.506,35.145,37.787,38.49,40.757,44.657,49.043,53.166,56.954,58.452,59.124,60.9,61.563,63.012,65,66.938,70.469,73.911,76.232,76.817,77.891,79.195,80.912,83.38,84.969,86.037,87.446,89.499,92.13,93.542,95.296,98.255,100,101.688,105.647,112.066,113.366,113.724,118.23,120.887
"18","11","      Clothing and footwear","DCLORG3",66.021,68.477,70.911,72.199,74.595,80.129,83.723,86.408,90.096,91.799,93.595,97.027,100.231,101.699,103.091,103.626,105.85,105.414,108.451,111.94,113.578,117.281,119.512,120.402,119.759,117.744,114.993,113.609,113.644,111.576,110.099,108.788,106.632,103.824,101.246,100.905,100,99.592,98.619,97.875,98.765,98.076,99.778,103.382
"19","12","      Gasoline and other energy goods","DGOERG3",13.009,13.192,13.407,13.566,14.981,20.834,22.297,23.365,25.033,26.185,35.271,49.045,55.319,52.75,50.711,50.186,50.294,39.485,40.944,41.25,44.906,51.424,50.563,50.178,49.685,49.808,50.475,53.913,53.911,47.001,50.888,65.775,63.487,59.385,69.378,81.545,100,112.928,123.9,146.278,106.008,125.273,157.728,163.843
"20","13","      Other nondurable goods","DONGRG3",22.855,23.921,24.837,25.456,26.15,28.723,32.021,33.678,35.629,37.567,40.024,43.679,47.382,51.049,54.565,56.587,58.777,61.117,63.579,66.424,70.094,73.641,77.564,80.484,81.841,82.414,83.874,85.461,86.354,87.979,91.415,93.42,95.588,97.166,97.347,98.505,100,102.184,103.608,106.135,110.777,112.772,114.571,116.471
"21","14","  Services","DSERRG3",17.324,18.285,19.284,20.102,21.077,22.866,24.834,26.556,28.558,30.777,33.35,36.802,40.555,43.709,46.429,48.846,51.049,53.375,55.409,58.123,60.84,63.808,66.581,69.236,71.294,73.2,75.365,77.473,79.812,81.689,83.509,85.818,88.422,90.801,93.686,96.688,100,103.414,106.981,110.584,112.157,114.418,116.435,118.779
"22","15","    Household consumption expenditures (for services)","DHCERG3",16.603,17.531,18.488,19.273,20.198,21.871,23.749,25.409,27.33,29.465,31.914,35.226,38.879,42.082,44.905,47.388,49.631,52.021,54.101,56.857,59.733,62.925,65.925,68.863,71.11,73.081,75.317,77.45,79.758,81.522,83.299,85.516,88.057,90.498,93.565,96.708,100,103.469,107.123,110.854,112.655,115.078,117.164,119.646
"23","16","      Housing and utilities","DHUTRG3",18.185,18.977,19.949,20.705,21.634,22.831,24.626,26.409,28.748,30.777,33.266,36.749,40.804,44.566,47.45,49.864,52.49,54.988,56.964,59.22,61.606,64.282,66.415,68.268,70.242,72.055,74.004,76.193,78.269,80.114,82.02,84.79,88.725,91.304,94.172,96.667,100,104.288,107.967,111.798,113.071,113.379,115.037,117.175
"24","17","      Health care","DHLCRG3",10.913,11.737,12.342,12.866,13.474,14.753,16.413,17.994,19.494,21.139,23.2,26.009,29.185,32.47,35.441,38.093,40.403,42.806,45.559,49.111,53.429,57.989,62.469,66.861,70.434,73.297,75.97,77.758,79.315,80.811,82.585,84.91,87.759,90.056,93.473,96.927,100,103.053,106.866,109.749,112.724,115.566,117.675,119.866
"25","18","      Transportation services","DTRSRG3",20.263,21.829,23.362,24.251,25.324,27.494,30.534,32.811,35.088,37.41,40.737,47.285,53.036,55.974,58.098,60.391,61.583,62.2,64.836,67.866,70.85,73.558,75.577,77.725,80.428,81.409,83.206,84.255,86.122,87.639,88.947,91.616,92.634,93.063,95.06,96.456,100,104.217,106.643,112.467,115.663,118.125,121.355,123.834
"26","19","      Recreation services","DRCARG3",22.473,23.51,24.544,25.173,26.067,27.874,29.93,31.411,32.914,34.882,37.186,39.997,42.547,44.866,46.814,48.837,50.945,52.914,54.965,57.074,59.911,63.182,66.467,68.53,70.725,72.235,73.827,76.287,78.753,80.703,83.298,86.522,89.358,91.929,94.755,97.266,100,103.384,106.274,109.555,111,112.181,114.064,117.248
"27","20","      Food services and accommodations","DFSARG3",18.122,19.461,20.499,21.258,22.711,25.337,27.62,29.447,31.58,34.341,38.048,41.734,45.461,48.061,50.136,52.397,54.65,56.89,59.204,61.75,64.546,67.501,70.196,71.686,73.092,74.375,76.13,78.181,80.499,82.656,84.792,87.162,89.647,91.821,93.775,96.894,100,103.365,107.41,111.62,114.211,115.765,118.699,122.112
"28","21","      Financial services and insurance","DIFSRG3",17.749,18.66,19.779,20.991,21.487,23.208,24.926,25.932,27.924,31.609,33.331,35.909,38.623,40.852,44.791,47.623,49.655,52.432,53.824,57.095,59.093,62.045,64.777,69.662,70.439,71.599,74.446,77.453,82.042,83.994,84.833,85.582,85.099,87.439,91.399,96.478,100,102.262,106.822,110.197,108.99,116.468,118.374,120.969
"29","22","      Other services","DOTSRG3",18.372,19.258,20.394,21.438,22.699,25.153,26.957,28.641,30.113,31.693,33.993,37.081,40.878,44.059,46.546,48.915,50.697,53.356,54.645,56.932,59.079,61.487,64.425,67.157,69.488,72.091,74.478,76.638,78.785,80.393,82.356,83.94,86.537,89.91,93.232,96.358,100,103.42,106.437,110.877,113.516,116.377,118.613,121.291
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",58.741,61.288,64.65,67.295,71.619,81.958,89.546,94.29,100.753,107.406,117.967,129.175,136.036,129.745,120.737,115.96,113.669,110.277,108.474,107.58,101.124,93.224,86.71,79.295,75.345,75.277,75.342,76.694,79.886,85.133,88.159,93.017,97.315,98.099,96.591,96.201,100,102.059,103.546,104.295,101.118,100.042,100.644,100.239
"31","24","      Gross output of nonprofit institutions \2\","DNPERG3",15.062,16.045,16.815,17.608,18.735,20.988,23.099,24.893,26.752,28.785,31.674,35.46,39.333,42.395,44.679,46.837,48.715,50.416,52.627,55.728,58.789,61.572,64.43,66.768,68.823,70.802,72.81,74.808,76.723,79.02,81.18,84.378,87.612,90.204,93.109,96.179,100,103.621,106.839,109.591,111.062,113.078,115.204,117.254
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",9.822,10.551,11.029,11.577,12.317,13.686,15.103,16.411,17.671,19.074,21.001,23.685,26.723,29.951,32.814,35.353,37.464,39.565,42.07,45.461,49.7,54.116,58.674,63.094,66.605,69.109,71.65,73.825,75.369,76.843,78.741,81.424,84.313,87.495,91.91,96.172,100,104.144,107.976,111.484,114.802,118.042,120.77,123.815
"33","26","Gross private domestic investment","B006RG3",30.883,32.19,33.794,35.206,37.107,40.797,45.833,48.366,51.994,56.235,61.323,67.08,73.422,77.18,76.987,77.538,78.332,80.029,81.561,83.424,85.418,87.064,88.302,87.993,88.997,90.157,91.173,90.786,90.449,89.435,89.315,90.283,91.08,91.451,92.483,95.633,100,104.302,106.313,107.501,106.274,104.854,106.439,107.747
"34","27","  Fixed investment","B007RG3",29.877,31.162,32.731,34.135,36.02,39.568,44.525,47.106,50.803,55.094,60.088,65.71,71.816,75.747,75.628,76.07,77.028,78.87,80.332,82.415,84.41,86.125,87.404,87.152,88.163,89.352,90.393,90.149,89.921,89.085,89.029,90.083,90.888,91.261,92.374,95.543,100,104.347,106.36,107.587,106.318,105.023,106.68,108.175
"35","28","    Nonresidential","B008RG3",38.74,40.571,42.479,43.914,45.605,50.008,56.893,60.048,64.157,68.453,74.013,80.541,88.316,93.181,92.35,92.127,92.85,94.427,95.275,97.392,99.435,101.339,102.906,102.048,102.1,102.592,102.811,101.612,100.326,98.125,96.704,96.75,96.317,95.889,95.471,96.837,100,103.425,105.645,107.717,107.102,105.514,107.359,108.993
"36","29","      Structures","B009RG3",14.518,15.473,16.664,17.863,19.247,21.91,24.534,25.741,27.973,30.675,34.238,37.421,42.567,45.927,44.757,45.147,46.219,47.106,47.863,49.895,51.848,53.522,54.491,54.502,56.103,58.089,60.601,62.141,64.516,67.48,69.559,72.298,76.087,79.292,82.174,88.441,100,112.922,119.78,125.706,122.527,121.158,126.85,131.222
"37","30","      Equipment and software","B010RG3",58.411,60.56,62.36,63.112,64.184,68.917,79.1,83.754,88.73,93.412,99.335,107.819,115.524,120.03,120.284,119.234,119.09,120.976,121.637,123.155,124.695,126.31,128.112,126.605,125.322,124.604,123.163,120.199,116.639,111.454,108.195,106.893,104.364,102.24,100.45,99.9,100,100.049,100.525,101,101.477,99.806,100.445,101.236
"38","31","        Information processing equipment and software","A679RG3",263.102,265.601,259.471,253.757,255.646,260.442,276.422,278.822,275.327,265.032,263.123,264.954,271.235,273.857,266.667,255.317,245.987,238.604,231.944,228.82,223.8,218.12,214.297,202.948,195.183,187.345,178.511,164.375,151.765,137.04,127.465,123.838,117.687,112.282,106.743,102.766,100,97.85,96.133,94.156,91.902,90.551,89.903,89.12
"39","32","          Computers and peripheral equipment","B935RG3",40849.551,36692.755,27938.206,22534.927,21365.392,17444.067,16136.6,13477.144,11728.211,7933.086,6573.387,5130.361,4508.726,4034.679,3363.776,2721.382,2313.526,1992.948,1697.542,1576.791,1472.397,1335.949,1200.159,1024.233,870.349,765.419,640.569,488.486,376.572,279.774,217.847,190.64,157.838,137.092,122.55,113.617,100,87.395,78.581,71.062,65.33,62.764,60.104,58.668
"40","33","          Software \4\","B985RG3",129.05,131.191,128.067,125.794,128.221,133.221,138.818,139.13,140.482,137.376,141.433,144.926,150.144,154.135,152.592,149.999,147.368,142,141.008,139.435,132.55,127.943,127.403,116.787,116.037,112.209,111.535,108.87,105.729,102.572,103.851,106.967,107.432,105.534,103.069,100.519,100,101.17,101.724,102.573,101.596,100.61,100.546,100.118
"41","34","          Other","A937RG3",65.375,67.757,70.177,71.92,73.337,77.999,85.314,89.276,89.995,93.682,96.405,103.499,110.696,115.925,119.154,121.743,123.553,126.671,129.75,131.506,133.184,134.788,136.476,137.883,137.569,136.826,135.653,133.561,131.886,126.094,120.761,117.689,113.606,110.001,104.451,100.812,100,98.84,98.168,95.955,94.152,93.052,92.868,92.068
"42","35","        Industrial equipment","A680RG3",21.708,22.786,23.804,24.29,24.973,27.322,32.928,35.686,38.924,42.334,46.49,52.54,57.558,60.299,61.537,62.224,63.257,66.138,68.991,72.092,74.712,78.292,81.083,82.881,84.014,85.726,88.652,90.491,91.108,91.622,92.154,92.669,93.272,93.308,94.013,96.367,100,103.192,107.317,112.502,113.919,115.326,118.784,120.95
"43","36","        Transportation equipment","A681RG3",27.241,28.547,29.963,30.606,30.938,33.817,37.594,40.291,43.42,47.333,51.394,56.79,61.021,63.782,64.739,65.413,67.388,71.606,72.735,73.851,76.448,79.17,83.181,85.373,86.192,88.64,88.251,90.013,91.441,90.818,91.624,91.723,90.951,91.803,94.635,99.243,100,100.872,102.376,102.954,109.94,103.025,105.059,107.289
"44","37","        Other equipment","A862RG3",22.127,22.927,24.029,24.709,25.237,27.473,33.4,35.862,39.016,42.242,45.905,51.511,57.285,61.363,62.736,63.927,65.223,67.28,68.988,71.026,73.94,76.876,79.397,81.123,82.544,83.929,85.659,87.957,89.059,90.376,91.549,92.139,93.447,94.228,95.109,96.047,100,102.32,104.636,108.106,113.41,110.669,112.253,115.849
"45","38","    Residential","B011RG3",16.144,16.666,17.632,18.703,20.359,22.46,24.547,26.124,28.759,32.281,35.902,39.789,43.036,45.34,46.38,47.713,48.944,50.994,53.079,54.913,56.68,58.011,58.771,59.486,61.89,64.069,66.403,67.828,69.557,71.412,74.151,77.415,80.994,83.002,86.953,93.297,100,106.081,107.612,106.296,102.713,102.52,103.406,104.288
"46","39","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","  Exports","B020RG3",32.796,34.053,35.31,36.956,41.816,51.517,56.781,58.645,61.033,64.752,72.545,79.903,85.81,86.204,86.544,87.347,84.674,83.406,85.516,89.945,91.443,92.063,93.283,92.904,92.879,93.914,96.07,94.799,93.174,91.042,90.477,92.069,91.696,91.322,93.282,96.539,100,103.44,106.9,111.975,105.924,110.738,117.86,118.871
"51","44","    Goods","B253RG3",37.494,39.185,40.232,41.301,47.937,60.665,67.426,69.151,71.668,75.8,85.807,94.058,100.697,99.545,98.819,99.677,94.691,91.588,93.956,100.006,101.308,100.348,100.242,98.634,98.077,99.124,101.478,98.857,96.127,93.094,91.834,92.999,92.422,91.819,93.616,96.958,100,103.319,106.793,112.143,104.528,109.828,118.182,118.642
"52","45","    Services","B646RG3",23.708,24.164,25.751,28.36,29.681,33.11,35.334,37.468,39.579,42.446,45.749,51.381,55.845,59.233,61.553,62.231,63.928,66.007,67.587,68.937,70.783,74.414,78.131,80.13,81.142,82.14,83.872,85.491,86.335,86.285,87.314,89.92,90.042,90.202,92.533,95.598,100,103.718,107.146,111.574,109.002,112.74,116.972,119.298
"53","46","  Imports","B021RG3",22.27,23.587,25.035,26.789,31.446,44.989,48.734,50.201,54.624,58.482,68.483,85.301,89.886,86.855,83.601,82.879,80.157,80.154,85.008,89.074,91.021,93.63,92.848,92.922,92.21,93.075,95.625,93.958,90.691,85.809,86.311,90.027,87.824,86.846,89.851,94.164,100,104.131,107.785,119.237,106.598,112.989,121.851,122.618
"54","47","    Goods","B255RG3",22.684,24.225,25.467,27.418,32.317,48.36,52.411,53.812,58.742,62.66,73.888,93.234,98.425,94.449,90.501,89.878,86.342,84.408,90.427,94.735,97.386,99.174,97.299,96.767,95.686,96.383,98.952,96.444,92.46,86.875,86.948,91.205,88.557,87.004,89.541,93.895,100,104.192,107.791,120.254,105.379,112.52,122.482,123.356
"55","48","    Services","B656RG3",19.805,20.511,22.368,23.483,27.163,32.303,34.921,36.5,39.094,42.645,48.16,55.892,58.318,58.36,57.404,56.419,56.35,62.45,63.339,66.424,66.072,71.019,73.612,75.673,76.313,77.806,80.235,82.234,82.233,80.629,83.185,84.209,84.219,86.088,91.469,95.573,100,103.806,107.75,114.006,111.769,114.714,118.126,118.376
"56","49","Government consumption expenditures and gross investment","B822RG3",17.517,18.945,20.421,21.989,23.594,25.977,28.586,30.469,32.583,34.67,37.575,41.669,45.768,48.775,50.717,53.319,54.974,55.977,57.541,59.074,60.924,63.405,65.606,67.276,68.949,70.819,72.753,74.488,75.854,76.879,79.337,82.513,84.764,87.003,90.65,94.531,100,104.842,109.863,115.245,114.592,117.334,121.233,123.443
"57","50","  Federal","B823RG3",18.226,19.699,21.383,23.471,25.08,27.315,30.158,32.302,34.742,36.888,39.727,43.9,48.165,51.434,53.218,56.358,57.635,57.938,58.642,59.884,61.504,63.548,66.07,68.101,69.83,71.725,73.717,75.763,77.047,77.931,79.886,82.524,84.201,87.318,91.024,95.335,100,104.107,107.753,111.225,110.959,113.583,116.721,118.565
"58","51","    National defense","B824RG3",17.757,19.116,20.81,23.209,24.911,27.223,29.88,32.057,34.486,36.908,39.853,44.179,48.542,51.953,53.775,57.603,58.696,58.642,59.236,60.326,61.882,63.917,66.222,68.522,69.712,71.438,73.161,75.431,76.517,77.328,79.225,81.821,83.484,86.624,90.659,94.895,100,104.421,108.249,112.187,111.347,113.951,117.411,119.483
"59","52","      Consumption expenditures","B997RG3",15.764,16.979,18.535,20.357,21.928,24.113,26.591,28.52,30.696,32.855,35.642,39.812,43.864,46.969,48.694,52.712,54.173,54.706,55.839,57.134,58.713,60.804,63.185,65.704,66.723,68.314,69.956,72.437,73.868,74.848,76.786,79.69,81.716,85.382,89.898,94.474,100,104.779,108.974,113.16,112.227,115.161,118.894,121.213
"60","53","      Gross investment","B788RG3",32.506,34.86,37.085,49.4,51.249,53.203,56.45,60.768,65.158,69.704,73.283,77.747,84.061,89.758,92.18,93.848,92.067,87.935,85.002,84.75,86.191,87.933,89.786,90.595,93.058,95.841,98.204,98.76,96.927,96.254,97.774,97.832,96.578,95.645,96.098,97.853,100,102.014,103.486,105.935,105.623,106.355,108.212,108.803
"61","54","    Nondefense","B825RG3",19.284,21.143,22.746,23.892,25.231,27.245,30.505,32.549,34.993,36.514,39.1,42.906,46.917,49.825,51.501,52.779,54.574,55.915,56.953,58.679,60.497,62.568,65.672,67.034,70.002,72.267,74.83,76.406,78.095,79.12,81.188,83.907,85.612,88.689,91.774,96.234,100,103.468,106.743,109.24,110.177,112.843,115.337,116.725
"62","55","      Consumption expenditures","B542RG3",17.217,18.88,20.347,21.396,22.614,24.335,27.231,29.167,31.506,32.921,35.242,38.745,42.416,45.098,46.859,48.208,50.085,51.458,52.493,54.173,55.947,58.009,61.306,62.944,66.195,68.627,71.299,73.207,75.322,76.664,79.036,81.985,83.922,87.54,91.075,96.008,100,103.747,107.398,110.153,111.3,114.415,117.1,118.533
"63","56","      Gross investment","B798RG3",35.549,38.933,41.454,43.249,45.446,50.089,56.276,58.73,61.435,63.662,68.274,74.17,80.605,85.053,85.435,85.86,86.695,87.584,88.571,90.548,92.592,94.578,96.045,95.352,96.318,97.278,98.913,98.156,96.933,95.888,96.188,97.525,97.628,96.877,96.777,97.837,100,101.587,102.41,103.253,102.821,102.631,103.961,105.041
"64","57","  State and local","B829RG3",17.013,18.411,19.72,20.896,22.495,24.97,27.41,29.114,31.005,33.042,35.976,40.002,43.975,46.786,48.857,51.034,53.002,54.577,56.849,58.621,60.654,63.474,65.443,66.856,68.494,70.351,72.252,73.806,75.219,76.32,79.036,82.482,85.019,86.81,90.425,94.062,100,105.276,111.112,117.666,116.763,119.579,124.001,126.462
"65","58","    Consumption expenditures","B991RG3",16.346,17.679,18.909,20.068,21.596,23.565,25.791,27.652,29.617,31.596,34.359,38.137,41.83,44.508,46.786,49.268,51.419,52.951,55.247,57.026,59.15,62.152,64.322,65.975,67.65,69.518,71.333,72.936,74.391,75.516,78.471,82.087,84.786,86.635,90.807,94.343,100,105.047,110.408,117.149,115.471,118.853,123.474,125.587
"66","59","    Gross investment","B799RG3",20.612,22.345,24.049,25.339,27.31,32.304,35.854,36.705,38.131,40.445,44.265,49.575,55.017,58.508,59.192,59.503,60.423,62.202,64.31,66.018,67.569,69.47,70.464,70.715,72.158,73.945,76.258,77.571,78.783,79.771,81.416,84.124,85.974,87.521,88.819,92.875,100,106.257,114.121,119.88,122.349,122.606,126.079,130.23
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
