"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"11","3","  Private industries","J736RC1",216.6,225.1,228.7,229.6,222,217.3,217.4,213.3,223,234.7,251.2,261.1,270.5,274.2,276.6,281.7,282.4,283.1,288,298.8,304.8,306.7,305.7,296.7,297.9,298.4,300.9,308.6,319.8,328.7,334.1,340.5,343.4,348.8,352.7,361.2,366.4,367.4,370,364.5,358.1,359.3,368.8,381.4,391.5,405.1,401.4,405.6,417.6,416.6,416.2,413.5,414.3,423.1,431.2,443.4,450.1,455.6,460.9,466.2,471.4,479.3,486.6,494.2,504.6,513.5,523.1,529.9,546.7,556,565.2,581.9,598.9,606.4,614.8,624.3,628.8,633.5,645.7,658,675.3,693.4,708.2,723.1,737.7,751.5,764.8,771.8
"12","4","    Agriculture, forestry, and fishing","J424RC1",19.6,23.2,22.8,21.3,17.9,17.3,16.6,16.2,17,17.2,18.4,19.4,20.4,21.1,20.7,21.2,19.5,20.2,21.5,18.5,18.7,17.9,17.3,16.9,18.2,17.2,17.3,16.1,16.4,16.8,16.2,15.4,15.7,15.9,16.3,16.3,15.4,15.8,16.2,16.1,18.6,18.6,17.9,16.9,17,15.8,15.7,16.5,16,16.9,17.6,18.1,18,16.6,17,17.8,18.1,17.6,17.2,17.6,18.2,17.4,17.3,17.4,16.2,16.2,16.2,17.4,18.3,19,19.2,19.7,21.9,19.4,19.2,19.1,19.2,18.5,19.5,19.2,19.3,19,19.9,20.3,19.8,21.1,21.9,23.1
"13","5","    Mining","J734RC1",5.6,5.6,6.2,6.1,5.7,5.3,4.7,4.5,4.8,5.8,6.3,6.5,6.3,6.4,6.5,6.5,6.6,5.9,6.1,6.4,6.3,6.3,6.4,6.2,6.1,6.1,6,6.3,6.5,6.7,6.8,7.2,7.5,7.7,7.5,7.7,7.6,7.7,7.7,7.3,7.1,6.7,6.8,6.9,6.8,6.8,6.3,6.4,6.6,6.9,6.9,6.9,6.8,6.8,7,7.1,6.9,6.8,6.7,6.8,6.9,7.3,7.4,7.3,7.4,7.6,7.4,7.6,7.6,7.6,7.6,7.7,7.9,7.8,8.1,8,8.1,8.1,8.2,8.2,8.6,9.1,9.2,8.9,9,9.1,9.3,9.5
"14","6","    Construction","J735RC1",10.2,11,11.6,11.6,11.3,10.9,10.8,10.9,11.3,12.1,13,13.7,14.3,14.8,15,15.3,15.8,15.8,16.2,16.5,16.7,16.4,16.4,16.8,16.7,16.8,16.5,16.8,17.3,17.9,18.2,18.1,18.9,19.8,20.4,20.6,20.7,20.9,20.8,20.8,20.1,20,20.3,20.9,21.6,22.2,22.3,22.4,22.4,22.6,22.8,22.7,23.1,23.3,23.7,24.4,24.6,25.2,25.7,26,26.2,26.8,27.5,27.9,28.6,29.4,30,30.8,31.5,32.1,32.6,34,34.7,35.6,35.9,35.9,36.4,36.6,37.6,38.2,39,40.3,41,42.5,44,45.7,46.5,46
"15","7","    Manufacturing","J426RC1",72.7,73.8,75.3,76.6,73.5,70.1,71.8,68.4,72.8,79.3,87.4,93.4,95.6,97.9,98.1,98.8,99.4,97.7,98.7,107.4,111.7,112.1,110.6,102.5,102.6,102.3,101.4,106.1,112,116.4,118.6,122.4,121.6,122.1,121.4,126.8,129.3,127.9,127.1,122.4,114.9,113.6,118.9,125.4,131.6,138.7,132.9,132.2,140.9,136.2,133.9,129.5,127.5,133.5,137.1,142.3,144.6,146.3,147.7,150.1,150.8,154.8,157,159.5,163,165.4,168.9,169.9,179.6,181.8,184.8,190.8,198.7,201.9,203.6,206.7,204.9,204,206.2,211.9,217.3,224.2,226.7,232.9,235.4,235.9,238.8,237.2
"16","8","      Durable goods","J428RC1",36.3,36.2,37.5,38.8,37.6,35.3,36.4,33.4,37.1,41.9,47.9,51.8,52.7,54.1,53.6,54.9,55.9,54.2,54.4,61.6,64.9,65,63.9,57.5,57.2,57,56.1,59.2,63.7,66.5,68,69.7,68.7,69.1,68.4,73.1,75.6,74.3,73.5,69.4,63.1,61.8,64.9,70.1,74.9,81.1,74.9,74.5,82,77.7,75.2,72.1,69.9,74.3,77,81.2,83.2,84.1,85.5,86.9,87.5,90.6,91.4,93.3,95.6,96.9,99.5,99.3,106.9,108.3,110.3,114.1,119.5,120.7,122.2,124,122.2,122.1,122.8,125.9,129.6,133.8,134.3,139.8,141.8,140.7,142,140.7
"17","9","      Nondurable goods","J427RC1",36.5,37.6,37.9,37.9,35.9,34.8,35.3,35,35.7,37.3,39.5,41.5,42.8,43.8,44.5,43.9,43.6,43.5,44.4,45.8,46.8,47.1,46.7,45.1,45.4,45.3,45.3,46.9,48.3,49.9,50.6,52.6,52.9,53,53,53.7,53.7,53.6,53.6,52.9,51.8,51.8,54,55.3,56.7,57.6,58.1,57.7,58.9,58.5,58.7,57.5,57.6,59.2,60.1,61.1,61.4,62.2,62.2,63.2,63.3,64.2,65.7,66.2,67.4,68.5,69.4,70.7,72.7,73.5,74.5,76.8,79.2,81.2,81.4,82.7,82.7,81.9,83.4,86,87.7,90.4,92.4,93.2,93.5,95.2,96.8,96.5
"18","10","    Transportation and public utilities","J737RC1",20.8,21.3,21.4,21.7,21.4,21.6,21.6,21.1,22.1,23.2,24.9,25.6,26.3,26.8,27,27.9,28.7,28,28.5,29.8,30.1,30.7,30.7,30.1,29.5,29.6,29.8,30.1,31,31.9,32.5,33.1,33.9,34.5,34.5,35.2,36,36.2,36.6,36.2,35.5,35.7,36.4,37.5,38.4,39.4,38.9,39.7,40.8,41.2,41.2,41.4,41.2,41.9,42.7,43.9,44.2,44.5,45.1,45.1,45.8,46.8,47.4,48.1,49.2,49.8,50.3,50.9,51.9,52.9,53.7,55,55.9,57.2,57.9,58.8,58.8,59.3,60.2,61.2,62.6,63.7,65.5,66.9,68.1,70,70.6,71.4
"19","11","      Transportation","J429RC1",13.6,13.9,13.9,13.9,13.4,13.3,13.1,12.7,13.4,14.1,15.5,16,16.1,16.5,16.4,16.9,17.4,16.7,16.9,17.6,17.7,18,17.8,17.2,16.5,16.3,16.3,16.6,17.2,17.7,18.1,18.3,18.8,19.1,18.8,19.3,19.6,19.7,19.8,19.2,18.2,18.1,18.5,19.2,19.5,19.9,18.9,19.4,20,19.9,19.6,19.6,19.3,19.7,20.2,20.8,20.8,20.8,20.9,21,21,21.8,21.9,22.3,22.8,22.9,23.2,23.3,23.9,24.7,25.3,25.8,26.3,26.9,26.9,27.5,27.1,27,27.5,27.8,28.6,29.3,29.7,30.2,30.4,31.6,31.7,32.2
"20","12","      Communication","J430RC1",3.7,3.8,3.8,3.9,3.9,4.1,4.1,4.2,4.3,4.4,4.8,4.7,5,5.1,5.3,5.4,5.6,5.6,5.8,6,6.3,6.4,6.5,6.5,6.4,6.4,6.5,6.6,6.7,7,7.1,7.3,7.5,7.6,7.8,7.9,8.2,8.3,8.3,8.5,8.5,8.7,8.9,9.1,9.5,9.7,9.9,10.1,10.2,10.4,10.6,10.7,10.8,10.9,11.1,11.3,11.6,11.7,12,12,12.3,12.5,12.8,12.9,13.2,13.5,13.5,13.8,14.2,14.2,14.5,15,15.1,15.5,15.9,16.1,16.5,16.8,17.1,17.3,17.7,17.7,18.6,19.2,19.9,20.4,20.6,21
"21","13","      Electric, gas, and sanitary services","J431RC1",3.5,3.7,3.7,3.9,4.1,4.2,4.4,4.3,4.4,4.6,4.7,4.8,5.1,5.2,5.4,5.6,5.7,5.7,5.8,6.1,6.2,6.2,6.4,6.5,6.7,6.9,7,7,7.1,7.3,7.2,7.5,7.6,7.8,7.9,7.9,8.2,8.3,8.4,8.5,8.7,8.9,9,9.2,9.5,9.7,10.1,10.3,10.6,10.8,10.9,11.1,11.1,11.4,11.5,11.8,11.8,12,12.2,12,12.5,12.5,12.7,12.8,13.2,13.4,13.6,13.8,13.8,14,13.9,14.3,14.5,14.8,15.1,15.2,15.3,15.5,15.6,16.1,16.3,16.8,17.2,17.4,17.8,18,18.4,18.2
"22","14","    Wholesale trade","J433RC1",16.6,17.1,17.3,17.3,17,16.6,16.5,16.2,16.9,17.5,19.1,19.4,20.5,20.6,20.8,21.2,21.1,21.2,21.4,21.6,21.8,22.1,22,21.6,21.7,21.8,22.1,23.1,23.7,24.4,25.2,25.7,25.9,26.7,27.6,27.9,28.3,28.4,28.6,28.3,27.8,28.1,29.6,31.2,32.1,33.6,34.4,34.5,35.3,35.1,35.5,35.6,35.5,35.9,36.8,37.8,38.3,38.6,39.3,39.3,39.7,40.3,41,41.6,42.6,43.3,44,44.3,45.7,46.7,46.7,48.2,49.9,50.6,51,52,52.7,53.2,54.1,55.1,56.3,58.4,60.4,61.3,62.2,63.5,64.7,66.3
"23","15","    Retail trade","J434RC1",28,29,29.2,29.5,29.4,29.1,28.7,28.2,29.2,29.8,30.6,30.5,33,31.7,32.4,33.1,32.7,34.4,34.3,36,35.4,35.5,35.3,34.6,34.7,35.2,36.9,37.3,38.4,38,38.5,38.7,38.8,39.7,40.8,40.9,41.6,41.8,42.7,42.1,41.2,41.9,43,44.9,45.7,46.7,46.7,47.2,47.3,48.2,47.8,47.4,48.1,48.6,49,50,51.5,52.3,52.7,53.1,53.9,54.4,55,56.1,57.9,59.5,61.3,62,63,63.5,64.8,66.6,67.5,68.5,69.5,70.7,72,73.5,75.5,76.7,79.7,81.7,83.9,84.9,86.9,89.2,90.9,91.6
"24","16","    Finance, insurance, and real estate","J435RC1",22.3,23,23.5,24,24.4,24.8,25.2,25.7,26.4,27.1,28,28.7,29.5,30,30.7,31.8,32.3,33.2,34.1,35.1,36,36.7,37.7,38.3,39.1,40,40.8,41.8,42.7,43.5,43.8,44.7,45.5,46.2,47.2,48.1,48.8,49.4,50.4,51.2,52.2,53.2,53.9,55,54.5,56.8,58,59.2,60.4,61.1,61.6,62.1,63.4,65,65.6,66.6,67.5,68.7,70,70.9,71.4,72.3,73.7,75.1,76.5,77.5,79,79.9,81.4,82.8,84.2,86.2,87.6,88.7,90.1,91.4,93.4,95.3,97.5,99,101.7,103.9,106.2,107.8,112,113.6,115.6,117.4
"25","17","    Services","J437RC1",20.7,21.1,21.4,21.4,21.4,21.5,21.6,22.1,22.5,22.8,23.4,24,24.6,24.9,25.4,25.9,26.4,26.7,27.1,27.6,28.2,28.9,29.3,29.6,29.3,29.5,30.1,31.1,31.9,33,34.2,35.1,35.5,36.3,37,37.8,38.7,39.3,39.9,40.1,40.7,41.5,41.9,42.7,43.9,45.2,46.2,47.5,47.8,48.5,48.9,49.7,50.8,51.4,52.3,53.5,54.5,55.7,56.6,57.2,58.4,59.2,60.2,61.2,63.1,64.8,66,67.1,67.6,69.6,71.5,73.6,75,76.8,79.5,81.6,83.4,85.2,87,88.5,90.9,93.2,95.4,97.6,100.4,103.2,106.4,109.3
"26","18","  Government","B436RC1",19.2,19.4,20.9,21.6,22,22.3,22.6,23.2,22.8,22.7,23.6,25.1,27.6,29.2,31.7,32.3,33.7,34.6,35.3,35.5,35.5,36.2,35.8,36.3,36.7,36.2,37,37.5,37.8,38.7,39.4,39.9,40.4,41,41.8,42.1,42.9,43.7,45,45.1,46.4,47.1,48.2,48.7,50,50.5,50.9,51.5,52.8,53.8,55,55.7,56.4,57.2,58.3,60,61.2,61.9,62.4,63.7,65.3,66.3,67.4,69.4,70.7,71.9,73.2,74.9,75.4,76.7,78.6,81.4,83.8,85.8,88.9,91.3,93.1,95.4,97.7,101.3,104.6,107,110.7,112.1,113.8,116.3,121.9,124.2
"27","19","Rest of the world","A192RC1",1.4,1.5,1.5,1.5,1.4,1.3,1.3,1.1,1.2,1.3,1.6,1.6,1.5,1.9,2,2.2,2,2,2,1.9,1.9,2.1,1.8,1.8,2,2,2,2.3,2.4,2.4,2.4,2.5,2.9,2.8,2.9,2.6,3.1,3.4,3.2,2.5,2.6,2.7,2.6,2.6,2.6,2.6,2.8,3,2.9,3,3.2,3.4,3.6,3.4,3.5,3.6,3.6,4,4.1,4.7,4.5,4.3,4.4,4.6,5.1,4.9,5,4.7,5.4,5.6,5.3,4.8,5,5.1,5,5.3,5.2,5.1,5.7,5.6,5.8,6,6.3,6.3,6.3,6.2,5.9,6
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
