"","Table 1#7#4# Price Indexes for Gross Domestic Product, Gross Nat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","Equals: Gross national product","A001RG3",23.112,24.331,25.549,26.652,28.134,30.674,33.584,35.518,37.78,40.432,43.795,47.794,52.306,55.493,57.687,59.856,61.672,63.039,64.803,67.032,69.572,72.272,74.821,76.59,78.289,79.937,81.608,83.161,84.629,85.578,86.837,88.722,90.729,92.187,94.13,96.78,100,103.239,106.235,108.571,109.532,110.986,113.363,115.387
"12","5","Less: Consumption of fixed capital","A262RG3",29.751,31.212,32.854,34.198,35.957,39.984,44.955,47.631,51.02,55.035,59.858,65.852,72.374,76.616,77.152,77.876,78.646,79.931,81.002,83.169,85.08,86.831,88.264,88.249,89.245,90.424,91.873,91.791,91.671,91.082,91.244,92.353,92.997,93.227,93.95,96.27,100,103.894,106.42,108.423,107.467,107.082,109.032,110.905
"13","6","        Private","A024RG3",30.854,32.22,33.795,35.071,36.715,40.57,45.912,48.782,52.491,56.801,61.926,68.076,74.773,79.02,79.345,79.968,80.796,82.215,83.297,85.689,87.67,89.369,90.745,90.572,91.312,92.244,93.491,93.195,92.905,92.089,91.989,92.863,93.434,93.596,94.308,96.505,100,103.757,105.778,107.363,106.039,105.52,107.3,108.993
"14","7","        Government","A264RG3",25.579,27.214,28.965,30.448,32.492,36.946,40.56,42.515,44.723,47.609,51.247,56.567,62.344,66.52,67.875,68.98,69.516,70.275,71.291,72.592,74.215,76.127,77.742,78.296,80.2,82.269,84.467,85.227,85.809,86.205,87.551,89.768,90.769,91.337,92.117,95.07,100,104.604,109.772,113.974,114.938,115.237,118.042,120.823
"15","8","          General government","A265RG3",26.374,28.047,29.813,31.294,33.392,37.891,41.393,43.392,45.642,48.527,52.09,57.431,63.415,67.878,69.27,70.389,70.825,71.48,72.435,73.623,75.159,77.063,78.788,79.319,81.218,83.3,85.528,86.219,86.693,86.976,88.313,90.433,91.343,91.737,92.45,95.154,100,104.566,109.684,113.653,114.709,114.796,117.439,119.976
"16","9","          Government enterprises","A266RG3",20.962,22.409,24.141,25.703,27.446,31.714,36.053,37.775,39.758,42.662,46.736,51.956,56.615,59.257,60.411,61.441,62.519,63.855,65.218,67.173,69.309,71.283,72.267,72.966,74.912,76.911,78.956,80.098,81.268,82.265,83.664,86.39,87.863,89.321,90.449,94.65,100,104.795,110.218,115.604,116.098,117.492,121.129,125.157
"17","10","Equals: Net national product","A027RG3",22.315,23.502,24.672,25.743,27.186,29.573,32.271,34.121,36.261,38.768,41.97,45.753,50.043,53.109,55.47,57.778,59.693,61.064,62.896,65.125,67.724,70.52,73.189,75.156,76.932,78.631,80.326,82.068,83.722,84.856,86.251,88.232,90.419,92.044,94.155,96.851,100,103.149,106.21,108.596,109.845,111.583,114.024,116.072
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Net domestic product","A362RG3",22.331,23.517,24.687,25.758,27.198,29.59,32.287,34.132,36.27,38.775,41.977,45.765,50.05,53.117,55.476,57.787,59.699,61.074,62.903,65.132,67.723,70.514,73.187,75.164,76.926,78.623,80.314,82.055,83.715,84.855,86.25,88.232,90.42,92.049,94.16,96.855,100,103.145,106.206,108.588,109.85,111.609,114.04,116.082
"20","12","  Net domestic purchases","W367RG3",21.763,22.946,24.122,25.205,26.682,29.392,32.019,33.844,36.114,38.64,42.046,46.501,50.737,53.597,55.701,57.866,59.653,61.054,63.118,65.355,67.966,70.912,73.393,75.406,77.09,78.763,80.505,82.162,83.569,84.271,85.755,88.043,89.833,91.272,93.536,96.434,100,103.283,106.402,110.06,109.928,112.059,114.971,116.928
