"","Table 6#17C# Corporate Profits Before Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"30","      Instruments and related products","23","B3023C0C",1412,2800,2263,3455,3943,3672,2692,3589,4578,6927,6059,4419,2966,NA,NA
"31","      Miscellaneous manufacturing industries","24","B3024C0C",1543,2052,2030,2331,2456,2648,3191,3630,3802,3490,4438,3885,4974,NA,NA
"32","    Nondurable goods","25","E564RC0C",48119,69759,60433,71311,57998,56627,56918,72165,95220,94605,100261,78608,90614,103763,72084
"33","      Food and kindred products","26","B3026C0C",11660,13486,10783,14251,17806,17843,16818,19682,27953,22178,23800,21012,27513,NA,NA
"34","      Tobacco products","27","B3027C0C",1099,2042,2042,3128,2251,2391,1722,1562,1749,1791,1701,875,2873,NA,NA
"35","      Textile mill products","28","B3028C0C",2203,1621,1266,1205,1440,3170,2767,2488,1920,2150,2279,2376,1966,NA,NA
"36","      Apparel and other textile products","29","B3029C0C",1858,1805,2066,1885,2256,3050,2929,3063,2491,2420,2449,2208,1787,NA,NA
"37","      Paper and allied products","30","B3030C0C",6336,9469,8865,6860,4404,3339,3705,5982,13494,8457,5794,5124,6797,NA,NA
"38","      Printing and publishing","31","B3031C0C",8564,8102,7502,6946,7864,10103,9402,11884,9163,11891,11805,13028,16410,NA,NA
"39","      Chemicals and allied products","32","B3032C0C",14705,19651,18049,16954,15270,15649,15376,23093,28057,25838,31433,24897,24379,NA,NA
"40","      Petroleum and coal products","33","B3033C0C",-1174,10900,7055,17629,4006,-2103,666,237,5916,14531,14964,2828,3012,NA,NA
"41","      Rubber and miscellaneous plastics products","34","B3034C0C",2311,2082,2245,1827,1980,2540,3135,4093,4018,5068,5588,5870,5597,NA,NA
"42","      Leather and leather products","35","B3035C0C",557,601,560,626,721,645,398,81,459,281,448,390,280,NA,NA
"43","  Transportation and public utilities","36","E567RC0C",43499,47824,44641,45931,51911,58488,69300,82954,85894,92023,83991,78867,57813,37387,26210
"44","    Transportation","37","C512RC0C",4475,7213,2209,954,909,2219,6368,10316,11613,16157,18639,21013,15628,13102,652
"45","      Railroad transportation","38","B3038C0C",1230,1774,-251,829,860,1037,1161,2964,3184,3025,1287,342,6,NA,NA
"46","      Local and interurban passenger transit","39","B3039C0C",35,64,201,-20,319,319,228,326,423,584,490,685,415,NA,NA
"47","      Trucking and warehousing","40","B3040C0C",1821,2122,1999,2513,3334,4539,5224,5207,3595,4445,5483,8851,8072,NA,NA
"48","      Water transportation","41","B3041C0C",4,434,538,543,597,301,453,391,444,662,932,832,358,NA,NA
"49","      Transportation by air","42","B3042C0C",242,1778,-1402,-3969,-5596,-5305,-2280,-38,2166,5168,8334,7547,5032,NA,NA
"50","      Pipelines, except natural gas","43","B3043C0C",889,802,756,734,696,664,711,677,788,772,683,1109,499,NA,NA
"51","      Transportation services","44","B3044C0C",254,239,368,324,699,664,871,789,1013,1501,1430,1647,1246,NA,NA
"52","    Communications","45","C513RC0C",19846,19519,18268,20049,23430,27604,33202,36837,33604,35012,25570,22684,6008,-5591,-6046
"53","      Telephone and telegraph","46","B3046C0C",19825,19575,19011,20520,22877,25730,29700,32564,30543,34562,25012,22068,12211,NA,NA
"54","      Radio and television","47","B3047C0C",21,-56,-743,-471,553,1874,3502,4273,3061,450,558,616,-6203,NA,NA
"55","    Electric, gas, and sanitary services","48","C514RC0C",19178,21092,24164,24928,27572,28665,29730,35801,40677,40854,39782,35170,36177,29876,31604
"56","  Wholesale trade","49","C510RC0C",21498,25953,24854,21201,22266,26481,30614,36883,35546,41588,46315,49044,55101,64549,41164
"57","  Retail trade","50","C511RC0C",25885,24707,25193,24896,29584,36265,41831,49187,47471,54806,62648,74172,77637,75773,78962
"58","  Finance, insurance, and real estate","51","A3051C0C",59076,68513,75244,88334,115431,123398,129104,117726,160062,171827,195658,174415,197925,222617,211099
"59","    Depository institutions","52","B3091C0C",52192,55112,63734,75027,88314,95692,86732,81639,99679,99677,106853,99015,114753,NA,NA
"60","      Federal Reserve banks","53","B3053C0C",15698,17612,20169,21395,20273,17828,16127,17784,22202,21784,23383,24575,25790,NA,NA
"61","      Commercial and mutual depository institutions","54","B3092C0C",36494,37500,43565,53632,68041,77864,70605,63855,77477,77893,83470,74440,88963,NA,NA
"62","    Nondepository institutions","55","B3093C0C",3576,4842,7277,8513,10699,14635,16557,17343,19594,22356,22144,22572,28215,NA,NA
"63","    Security and commodity brokers","56","B3056C0C",1158,-1351,-2710,419,-1471,1843,3986,5995,1806,5121,11349,14185,9679,NA,NA
"64","    Insurance carriers","57","B3057C0C",91,10592,12975,8393,19196,9616,16132,19298,24444,28529,23593,15107,4681,NA,NA
"65","    Insurance agents, brokers, and service","58","B3058C0C",2970,2446,2507,2831,2904,3024,3130,3917,4129,4453,4628,6100,5751,NA,NA
"66","    Real estate","59","B3059C0C",-1096,-855,-3018,-4970,-6880,-4049,-1785,-483,1674,3369,5691,8037,8535,NA,NA
"67","    Holding and other investment offices","60","B3060C0C",185,-2273,-5521,-1879,2669,2637,4352,-9983,8736,8322,21400,9399,26311,NA,NA
"68","  Services","61","A3061C0C",14776,15745,16111,19836,24288,33150,41506,46326,51327,56453,61055,51650,52748,13076,17559
"69","    Hotels and other lodging places","62","B3062C0C",-640,-588,-1066,-1478,-1102,-324,708,1318,2072,2544,2727,1782,3203,NA,NA
"70","    Personal services","63","B3063C0C",878,1058,1642,1637,1537,1697,1783,2207,2510,2327,2866,3815,3299,NA,NA
"71","    Business services","64","B3064C0C",4686,6001,6416,6925,7282,12450,16380,17101,18917,20679,24726,14771,7252,NA,NA
"72","    Auto repair, services, and parking","65","B3065C0C",68,39,-403,-210,4,-190,338,255,170,368,1292,2053,1752,NA,NA
"73","    Miscellaneous repair services","66","B3066C0C",504,692,760,792,798,822,881,911,996,1236,1208,1238,1361,NA,NA
"74","    Motion pictures","67","B3067C0C",-691,-169,-731,-936,-1332,-52,-113,-646,-395,-155,-1329,-2383,-881,NA,NA
"75","    Amusement and recreation services","68","B3068C0C",-526,240,651,414,659,1593,1517,1571,1315,2439,3370,911,755,NA,NA
"76","    Other services","69","A3069C0C",10497,8472,8842,12692,16442,17154,20012,23609,25742,27015,26195,29463,36007,NA,NA
"77","      Health services","70","B3070C0C",6384,5033,4800,7503,11267,11133,13209,15401,15198,15477,13433,13804,18631,NA,NA
"78","      Legal services","71","B3071C0C",1714,1151,1233,1448,1331,1937,1801,2193,2892,3044,3637,3989,4543,NA,NA
"79","      Educational services","72","B3072C0C",334,339,310,473,659,590,474,684,823,677,557,1270,952,NA,NA
"80","      Other \1\","73","B3073C0C",2065,1949,2499,3268,3185,3494,4528,5331,6829,7817,8568,10400,11881,NA,NA
"81","Rest of the world \2\","74","B394RC0C",48032,56683,64240,72722,74315,68716,76741,77238,92012,100853,110690,102259,120235,143336,150760
"82","  Receipts from the rest of the world","75","B3075C0C",59320,71701,75248,79909,73652,74891,89733,104463,128354,140623,159424,145347,175539,203847,172397
"83","  Less: Payments to the rest of the world","76","B3076C0C",11288,15018,11008,7187,-663,6175,12992,27225,36342,39770,48734,43088,55304,60511,21637
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85"," 1. Consists of social services; membership organizations;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","engineering and management services, except for commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","research and testing services and for management and public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","relations; and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89"," 2. Consists of receipts by all U.S. residents, including both",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","corporations and persons, of dividends from their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","foreign affiliates, their share of reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","incorporated foreign affiliates, and earnings of unincorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","foreign affiliates (line 75), net of corresponding payments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","(line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
