"","Table S#2# Summary of Contributions to Percent Change in Real Gr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"22","  Net exports of goods and services","13","A019RY",-0.31,-0.22,-0.2,-0.12,0.34,-0.84,0.24,0.45,0.89,0.08,0.51,-0.65,-1.21,-1.2,0.01,0.68,3.82,1.09,-2.17,0.08,-1.31,0.81,-0.6,-0.69,0.4,-0.05,0.37,0.24,-0.89,-0.41,0.79,0.11,-0.21,0.24,0.41,-0.35,-0.32,-0.23,-0.35,-0.02,0.32,-0.25,-0.2,0.92,0.85,0.89,-0.96,-0.71,0.04,0.63,1.67,-0.16,-0.55,-1.34,-1.57,-0.44,-0.31,0.18,0.84,0.6,0.39,0.67,-0.07,-0.61,-0.41,0.11,-0.15,-0.29,-1.2,-1.01,-0.75,-0.18,-0.67
"23","    Exports","14","A020RY",-0.97,-0.77,-0.82,0.02,0.41,0.21,0.19,0.94,-0.05,0.26,0.6,0.13,-1.54,-0.45,0.15,0.88,3.25,0.92,-1.62,-0.05,-0.66,0.97,-0.23,-0.3,0.19,0.44,0.7,0.42,-0.7,0.04,0.85,0.08,0.25,0.35,0.63,0.1,0.33,0.11,0.36,0.27,0.54,0.04,0.43,1.21,0.67,-0.06,0.49,0.2,0.81,0.79,0.96,0.11,-0.67,-0.21,0.65,0.2,0.52,0.81,1.25,1.02,0.8,0.62,0.61,0.33,0.88,1.06,0.89,1.35,0.24,0.37,1.04,-0.59,-0.17
"24","      Goods","15","A253RY",-0.89,-0.69,-0.72,-0.01,0.33,0.17,0.17,0.81,0.06,0.22,0.56,0.1,-1.45,-0.47,0.11,0.8,2.87,0.82,-1.49,-0.03,-0.61,0.78,-0.21,-0.25,0.18,0.36,0.6,0.32,-0.63,-0.02,0.76,0.02,0.17,0.29,0.51,0.02,0.27,0.02,0.3,0.2,0.44,-0.02,0.43,1.01,0.46,-0.16,0.31,0.08,0.68,0.77,0.86,-0.09,-0.67,-0.19,0.46,0.19,0.26,0.56,1.04,0.8,0.55,0.48,0.48,0.21,0.67,0.86,0.68,1.12,0.17,0.29,0.85,-0.47,-0.26
"25","      Services","16","A646RY",-0.08,-0.08,-0.09,0.03,0.08,0.05,0.02,0.14,-0.1,0.04,0.04,0.02,-0.09,0.02,0.04,0.08,0.38,0.1,-0.13,-0.02,-0.06,0.19,-0.02,-0.05,0.01,0.08,0.1,0.1,-0.06,0.06,0.09,0.06,0.08,0.06,0.12,0.08,0.06,0.09,0.06,0.07,0.1,0.06,0,0.21,0.22,0.1,0.17,0.12,0.14,0.03,0.1,0.2,0,-0.02,0.19,0.02,0.26,0.25,0.21,0.23,0.25,0.14,0.13,0.12,0.22,0.2,0.22,0.23,0.07,0.08,0.19,-0.13,0.09
"26","    Imports","17","A021RY",0.66,0.55,0.62,-0.14,-0.08,-1.05,0.05,-0.49,0.94,-0.19,-0.08,-0.78,0.33,-0.75,-0.15,-0.2,0.57,0.17,-0.55,0.13,-0.65,-0.16,-0.37,-0.39,0.21,-0.48,-0.33,-0.18,-0.2,-0.45,-0.06,0.03,-0.47,-0.12,-0.23,-0.45,-0.65,-0.34,-0.7,-0.29,-0.22,-0.29,-0.63,-0.29,0.18,0.94,-1.45,-0.91,-0.78,-0.16,0.71,-0.27,0.12,-1.13,-2.22,-0.65,-0.83,-0.62,-0.41,-0.43,-0.41,0.05,-0.68,-0.94,-1.29,-0.95,-1.04,-1.64,-1.44,-1.38,-1.79,0.42,-0.5
"27","      Goods","18","A255RY",0.63,0.4,0.5,-0.28,-0.06,-1,0.13,-0.37,0.79,-0.24,-0.13,-0.48,0.85,-0.27,-0.07,0.01,-0.27,0.1,-0.36,0.11,-0.59,0.07,-0.06,-0.17,0.22,-0.31,-0.25,-0.08,-0.08,-0.48,0.05,0,-0.4,-0.12,-0.19,-0.41,-0.49,-0.17,-0.68,-0.2,-0.15,-0.33,-0.57,-0.34,0.17,0.87,-1.35,-0.84,-0.67,-0.14,0.67,-0.18,0.2,-1,-1.83,-0.51,-0.82,-0.39,-0.36,-0.37,-0.26,0,-0.76,-0.85,-1.18,-0.87,-0.94,-1.43,-1.2,-1.29,-1.54,0.4,-0.43
"28","      Services","19","A656RY",0.03,0.15,0.12,0.15,-0.01,-0.05,-0.08,-0.12,0.15,0.05,0.05,-0.29,-0.52,-0.48,-0.08,-0.2,0.84,0.07,-0.19,0.02,-0.06,-0.23,-0.31,-0.22,-0.01,-0.17,-0.09,-0.1,-0.12,0.03,-0.11,0.02,-0.07,0,-0.03,-0.04,-0.16,-0.16,-0.03,-0.09,-0.07,0.04,-0.06,0.05,0,0.07,-0.1,-0.07,-0.11,-0.02,0.04,-0.09,-0.08,-0.13,-0.39,-0.13,-0.01,-0.23,-0.05,-0.05,-0.15,0.05,0.08,-0.09,-0.11,-0.08,-0.09,-0.21,-0.24,-0.09,-0.24,0.01,-0.07
"29","  Government consumption expenditures and gross investment","20","A822RY",0.93,0.49,-0.44,-0.55,1.98,0.47,2.41,-0.56,1.06,1.1,0.24,9.81,27.67,18.71,6,-6.17,-28.66,-2.57,1.05,1.79,0.01,5.78,4.25,1.64,-1.66,-0.86,0.02,0.94,0.7,1.27,0,1.04,1.35,0.53,0.44,0.69,1.93,1.67,0.75,-0.1,-0.52,-0.43,0.03,-0.16,0.38,0.41,0.02,0.21,0.63,0.38,0.39,0.18,0.31,0.7,0.72,1.31,1.13,0.63,0.24,0.56,0.65,0.24,0.1,-0.16,0.02,0.09,0.21,0.43,0.34,0.68,0.49,0.65,0.81
"30","    Federal","21","A823RY",0.18,0.07,0.05,0.71,1.39,0.1,2.45,-0.59,0.57,0.1,0.53,10.33,28.28,19.19,6.14,-6.27,-29.06,-3.26,0.68,0.85,-0.59,5.72,4.13,1.3,-2.26,-1.42,-0.23,0.47,-0.01,0.95,-0.39,0.48,1.06,-0.04,-0.22,0.02,1.29,1.16,0.12,-0.42,-0.84,-0.81,-0.23,-0.5,-0.04,0,-0.11,0.16,0.23,0.2,0.4,0.41,0.33,0.6,0.31,0.73,0.54,0.36,-0.18,0.12,0.18,-0.03,-0.14,-0.33,-0.29,-0.2,-0.06,-0.03,-0.05,0.14,0.08,0.29,0.47
"31","      National defense","22","A824RY",0.06,0.01,0,-0.05,-0.17,0.27,0.27,0.01,0.06,0.16,1.14,10.74,28.88,19.62,6,-6.02,-29.5,-3.63,0.04,0.31,-0.13,6.05,3.92,0.9,-2.15,-1.3,-0.08,0.48,-0.06,0.29,-0.21,0.43,0.63,-0.27,-0.44,-0.17,1.25,1.19,0.18,-0.48,-0.8,-0.9,-0.4,-0.49,-0.17,-0.08,-0.14,0.05,0.05,0.16,0.24,0.37,0.47,0.47,0.35,0.6,0.46,0.35,-0.06,-0.05,0,-0.07,-0.31,-0.32,-0.26,-0.19,-0.06,-0.12,-0.07,0.09,0,0.19,0.37
"32","      Nondefense","23","A825RY",0.12,0.07,0.04,0.76,1.56,-0.16,2.18,-0.6,0.51,-0.06,-0.62,-0.41,-0.6,-0.43,0.15,-0.26,0.44,0.37,0.64,0.54,-0.46,-0.33,0.21,0.4,-0.11,-0.12,-0.15,-0.02,0.05,0.65,-0.18,0.06,0.43,0.23,0.23,0.19,0.04,-0.03,-0.07,0.06,-0.04,0.1,0.17,-0.01,0.13,0.08,0.03,0.11,0.18,0.04,0.16,0.04,-0.15,0.13,-0.04,0.13,0.07,0.01,-0.12,0.17,0.18,0.04,0.17,-0.01,-0.02,-0.01,0,0.09,0.02,0.06,0.08,0.1,0.1
"33","    State and local","24","A829RY",0.75,0.42,-0.48,-1.26,0.59,0.37,-0.04,0.03,0.49,1,-0.29,-0.52,-0.61,-0.48,-0.15,0.1,0.4,0.69,0.37,0.94,0.59,0.06,0.11,0.34,0.61,0.56,0.24,0.47,0.71,0.33,0.39,0.56,0.29,0.57,0.66,0.66,0.64,0.51,0.63,0.32,0.32,0.38,0.26,0.34,0.42,0.41,0.13,0.05,0.4,0.18,-0.01,-0.23,-0.02,0.1,0.42,0.59,0.6,0.27,0.42,0.44,0.48,0.26,0.24,0.17,0.31,0.28,0.27,0.45,0.39,0.54,0.41,0.36,0.34
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","  Note.  More detailed contributions to percent change in real gross domestic product are shown in table 8.2.  Contributions to ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","percent change in major components of real gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","are shown in tables 8.3 through 8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
