"","Table 2#8#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"11","3","  Durable goods","DDURRX1",500.7,492.2,502.6,491.1,502.1,517.5,508.4,519.5,525.4,514.8,526.2,539.3,520.9,535.6,540.9,550.2,553.1,544.9,547.8,555.1,557,561.4,565.8,565.1,578,576.2,583.9,576.8,572.4,583.4,596.1,611.8,601.9,605.9,622.1,628,618.3,625.8,627.5,642,664.1,660.9,658.9,674.6,690.4,707.4,707.9,728.6,703.5,720,725.7,737.1,751.3,764.2,762.6,769.9,775,769.1,773.8,793.2,810.4,832.6,824.6,805.7,811.3,806.1,806.9,818.5,839.7,831.8,825.2,826.1,829.5,852.7,843,828.9,839.3,855.7,847.1,867.5,840,957.2,924.3,887.7,903,919.6,914.9,940.4,904,921.8,950.3,969.5,927.4,919.3,928.7,961.7,948.4,923.7,940.3,964.2,972.6,985.5,997.6,1032.7,1009.4,1008.7,1028.1,1022.5,1020.8,1030.4,1042,1031.8,1061.9,1021.1,1051.9,1048.3,1075.9,1067,1067.2,1094,1076.3,1082,1091.6,1128,1080.4,1132.4,1175.9,1118,1086.2,1077.6,1099.1,1118.5,1149.5,1133.6,1143.7,1144.5,1129.1,1144.6,1158.1,1138,1160.2,1160.2,1164.3,1179.3,1179.5,1179.1,1184.9,1185.5,1207.5,1190.4,1191.3,1203.2,1222.5,1220,1213.2,1205.5,1191.1,1175.3,1169.5,1172.1,1174.8,1163.1,1136.2,1150.8,1112.5,1072.7,1067.8,1051.2,1085.1,1082,1062.7,1055.7,1071,1078,1100.6,1176.5,1077.9,1101.1,1119,1125.2,1116.5,1131,1169.2,1158.3,1158.2,1162.5
"12","4","  Nondurable goods","DNDGRX1",1435.4,1420.5,1428.5,1425.7,1436.4,1443.4,1440.4,1433.8,1446.6,1434.2,1449.7,1459.2,1449,1456.7,1465.5,1472.3,1471.5,1483.6,1483.8,1488.6,1486.5,1497.3,1496.2,1501.5,1496.4,1508.1,1517.9,1504.6,1502.8,1517.4,1529.2,1532.9,1535.4,1536.4,1549.2,1544.3,1550.7,1553.3,1560.1,1571,1569.2,1581.6,1585.2,1581.7,1589.8,1595.2,1608.1,1618.4,1627.7,1638.5,1644.6,1646.6,1656.1,1654.2,1648.2,1661.3,1670.9,1672.9,1681.6,1727.9,1662.6,1675.1,1700.8,1708.5,1715.9,1714.8,1713.6,1723.7,1736.9,1737.8,1734.8,1752.1,1742.1,1731.3,1720.9,1739.2,1749,1730.8,1750.8,1755.3,1738.1,1758.8,1762.9,1767.9,1769.6,1771.1,1770.5,1765.1,1767.9,1785,1781.1,1775.9,1776.1,1791.3,1802.8,1806.5,1816.2,1815.7,1826.7,1821,1818.4,1844.6,1850.7,1872.3,1868.5,1862.3,1879.9,1871.7,1890.3,1872.9,1903.6,1889.4,1901.3,1891.1,1897.3,1907.8,1918.4,1926.3,1924.5,1931.9,1947.6,1959.9,1941.3,1960.3,1957.4,1966.9,1965.2,1980.7,1969.5,1998,1986,1988.1,2000.8,2009.5,2000.8,2013.8,2012.8,2008.1,2022.7,2020.5,2030.4,2049.9,2044.9,2069.3,2063.2,2056.7,2060.8,2058.5,2058.8,2059.7,2073.5,2061.6,2068.1,2066,2068.4,2076.7,2060,2037.2,2066.3,2064.3,2063.9,2065.7,2051.2,2044,2011.7,2020,2018.7,1991.6,2011.4,2017.3,2007.3,2006.1,2011.6,2007.1,2005.7,2019.1,2025.7,2029.8,2036.9,2030.3,2038.7,2057.7,2064,2063.5,2060,2061.5
"13","5","Services","DSERRX1",4146.2,4162.1,4168.9,4179.2,4195.9,4215,4215.1,4236.2,4228.5,4233.8,4253.5,4264.1,4274.1,4293.2,4308.9,4313.8,4319.8,4328.3,4336.8,4343,4351.4,4354.2,4366.4,4387.3,4404.6,4407.8,4402.1,4425.9,4438.4,4439.9,4473.3,4488.3,4500.7,4528,4518,4553.4,4555,4587,4608.6,4612.6,4633.5,4672.3,4676.8,4692.5,4718.2,4717.2,4724.8,4743.6,4758.9,4761.9,4784.6,4811.8,4818.2,4837,4862.1,4880,4898.7,4918,4939.3,4963,4983.1,5016.2,5045.1,5050.5,5072.1,5096.6,5103.4,5117.8,5139.1,5145.5,5163.3,5186.3,5190.1,5181.6,5196.3,5202.5,5215.2,5216.4,5223.9,5240.4,5211.9,5240.6,5238.8,5266.5,5274.2,5285.6,5288.2,5302.8,5312.9,5315.9,5332.2,5324.4,5331,5348.4,5345.8,5356.1,5375.9,5369,5370.5,5387.6,5402.2,5406.2,5427.1,5438,5441.9,5453.1,5463.8,5485.6,5511.9,5525.9,5517.1,5539.7,5551.6,5563.7,5574.9,5583.2,5610.7,5632,5648.9,5671.5,5668.8,5682.6,5707.7,5713.7,5726.4,5743.6,5755.2,5769.1,5777,5776.3,5801.7,5818.7,5811.8,5844.5,5866.8,5869.2,5891.7,5891.6,5909.4,5911.5,5922,5949.2,5957.7,5971.4,5985.1,5999.6,5998.6,6018.3,6012.5,6024,6025.1,6051.8,6039,6043.9,6066.2,6075.1,6089.7,6097.2,6085,6094.3,6087.5,6088.7,6074.6,6058.9,6076.4,6081.7,6082.4,6071.3,6068.3,6050.6,6041.8,6038.1,6023.1,6022,6016.9,6020,6025.2,6031.3,6016.4,6038.4,6027.4,6034.6,6026.7,6027.3,6045.1,6050.6
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","  PCE excluding food and energy","DPCCRX1",5055.4,5040.6,5080.9,5063.7,5097.4,5144.5,5125.5,5150.4,5176.7,5159.3,5194.2,5228,5199.7,5243.4,5269,5297.3,5305.1,5312.9,5334.2,5349.4,5367.2,5377.1,5390.6,5417.2,5442.3,5455,5472.5,5462,5473.3,5506.7,5555.3,5602.7,5598.1,5617.2,5651.2,5683.3,5693,5723.3,5744,5782.6,5820.7,5854.6,5864.8,5896,5944.4,5981.7,6003.5,6046.2,6033.2,6071,6095.6,6133.1,6164.4,6192.1,6201.9,6244.1,6275.3,6289.2,6336.9,6392.7,6405.5,6472,6515.4,6491.6,6519.4,6528.1,6542.9,6573.8,6631.1,6629.9,6631,6642.4,6664.5,6679.1,6668.4,6682.2,6715.2,6730.6,6734,6785.2,6703.5,6885,6860.8,6839.9,6876,6902.3,6893.3,6936.7,6891.9,6933.7,6974.7,6985.6,6948.2,6959.2,6974.6,7026.9,7030,6994.5,7036.8,7061.8,7093,7143,7171.8,7229.7,7209.2,7213.9,7255.4,7264.9,7289,7300.1,7343.7,7333.7,7383.4,7349.9,7403.6,7418.2,7471.5,7485.8,7498.3,7553.6,7538.1,7578.4,7580.8,7653.7,7606.2,7682,7731.5,7696.2,7671.6,7683.3,7726.8,7756.9,7832.9,7827.1,7853.3,7866.1,7858.9,7879.1,7900.2,7898.5,7944.1,7967.5,7994.6,8046.2,8039.4,8041.6,8080,8068.7,8111.8,8104.9,8111.8,8133.4,8144,8159,8170,8168.3,8165.5,8148.8,8141.7,8163,8166.5,8159.2,8128.2,8125.2,8087.8,8047.3,8036.9,8000.4,8031.5,8029.3,7984.9,7976,7973.9,7971.1,7989.6,8056.8,7975.1,7999.8,8021.2,8025.3,8015.5,8049.6,8100.4,8098.8,8100.9,8107.5
"16","7","  Food \1\","DFXARX1",554.6,546.8,548.3,544.3,548.8,548.6,547,547.2,547.7,546.5,548.1,554.4,552.5,551.3,552.7,555,554.3,555,554.6,553.4,553.1,554.7,555.1,556.7,558.3,558.2,561.7,558.4,555.2,555.8,560.3,559,560,559.9,561.5,557.9,557.6,559.4,560.8,561.8,563.2,566.3,567.1,566.4,569.4,568.2,570.3,576.1,575.7,578.8,580.3,583.5,585.2,583.4,585.7,588.5,593,588.6,591.7,614.2,584.9,591.9,599.8,600.4,597.9,604.5,601.2,600.7,603.2,607.5,606.6,608.7,609.3,604.6,602.3,609.4,611.4,607.4,606.1,606.4,609.4,607.2,606.4,611.4,605.1,605.3,607,602.5,608.3,609.5,611.4,609,607,611.2,615.9,616,622,622.7,623.2,620.2,613.7,617.6,625,627.6,626.8,623.3,625.3,621.4,635,631.6,637,634.8,636.7,635.4,635.5,637.4,644.5,646.4,647.7,648.7,653.4,657.9,658.5,657.6,656.6,661.7,662.3,670.3,677.2,681.1,672.6,670.9,672.8,680.4,676.8,682.6,686.4,683.5,685.5,688.9,685.4,696.7,693.9,702.1,700.7,696.8,694.3,693,693.7,693.7,697.9,694.1,697.1,699.5,701.2,707.5,702.1,696.9,701.8,698.8,698.7,701.8,696.7,692.8,684.2,679.7,679,666.7,676,673.9,675.7,678.6,682.3,682.6,683.6,686.1,693.6,694.8,698.6,695.6,698.1,707,703.1,698.5,698.1,697.7
"17","8","  Energy goods and services \2\","DNRGRX1",415.2,428.3,411.1,425.7,431.2,431.5,437.2,442.9,424.9,418.6,437.7,434.9,438.3,443.5,448.6,440.3,442.6,441.7,429.3,439,426,437,440.5,433.8,436.9,436,428.3,445.7,439.1,434.6,444.2,434.3,439.9,457.6,443.3,453.9,432,447,457.2,448.1,460.1,470.3,461.1,463.4,464.8,449.8,443.5,452.6,459.1,448.4,461.5,463.5,464,473.1,478.3,468.7,465.4,469.8,446,465.7,454.9,451.2,440.1,456.8,469,469.4,462.4,472.1,471.2,464.1,471.3,504.7,473.6,472.6,479.1,462,461,450.5,468.6,458.7,461.7,468.9,453.1,459.7,454.9,462,467.5,466.1,479.8,474.7,476.3,477.4,475.7,485.7,484.3,481.3,487.5,488,473.3,492.3,487.3,473,477.2,488.4,484.1,487.8,493.3,495.9,501,500,481.2,493.1,496.7,490.2,484.6,482.7,488.8,492.9,494.4,495.5,501.6,487.2,501.7,490.5,501.4,498.9,501.8,500.7,484.6,488.5,488,497.4,458.9,481.2,482,480,489.1,482.4,502.5,484.2,484,496,479.6,472.8,488.2,497.4,472.3,500.2,474.6,477.7,481.8,489.3,487.1,472.3,477.5,482.2,476,469.1,480.4,473.9,467.2,464.7,451.9,449.1,446.3,465.2,471.2,468.2,473.7,462.7,469.8,464.4,466,469.1,462.5,474.2,475.7,479.9,462.9,481.6,478.9,475.2,460.8,458,469.8,474.1
"18","9","  Market-based PCE \3\","DPCMRX1",5250.2,5234.9,5260.8,5255.2,5295.8,5330.6,5327,5354.2,5369.4,5342.5,5390.2,5430.8,5395.4,5430.9,5465.1,5486.7,5500.2,5500.5,5502.8,5526.5,5531.5,5565.7,5584.4,5604.8,5625.8,5637.2,5654.8,5650.4,5652.5,5683,5739.5,5772.8,5773.4,5805.2,5824.8,5855.6,5847.3,5884,5904.9,5940.7,5984.6,6022,6018.6,6048.5,6094.6,6115.3,6131.5,6188.8,6181.2,6215.7,6244.4,6278.5,6310,6338.6,6349.5,6384.6,6416.5,6427.5,6454.4,6538.6,6506,6566.2,6597,6599.4,6625.4,6639.9,6638.2,6671.4,6729.7,6723.8,6731.3,6777.3,6772,6783.4,6772.9,6764,6794.3,6802,6816.7,6858.1,6780.3,6961.4,6922.6,6907.8,6933.5,6964.8,6966.1,7002.2,6975.2,7016.9,7058.8,7073.3,7024.4,7048.1,7068.6,7110.4,7111.8,7089.3,7121.8,7157.4,7177.4,7213.2,7242.9,7312.9,7293.1,7290.7,7337.5,7342.5,7378.2,7377,7407.6,7402.5,7448.3,7407.3,7458.4,7469.6,7524.8,7547.6,7560.3,7616.2,7607.9,7647.8,7655.9,7720.3,7693.4,7762.7,7817.9,7784.2,7752.4,7768.2,7791.3,7829,7856.2,7875.3,7890.9,7906.6,7910.4,7913.5,7953.4,7924.4,7967.9,8006.7,8007.8,8060.8,8072.2,8079.3,8089.4,8102.9,8115.5,8109,8122.7,8153,8158.4,8154.5,8172.9,8180.7,8161.9,8123.9,8147.1,8153.8,8156.4,8148.6,8099.4,8083.4,8023.9,7999.6,7988.1,7951.9,8000.3,7995.5,7963.8,7966.5,7979.1,7980.2,7992.4,8070.8,8005.7,8034.6,8040.1,8066.9,8059.7,8092,8124.4,8116.9,8127.7,8139.1
"19","10","  Market-based PCE excluding food and energy \3\","DPCXRX1",4305.6,4288.9,4324.7,4312.8,4344.4,4378.2,4372.4,4394.7,4421.2,4400.4,4432.4,4467.8,4432.9,4464.9,4493.5,4518.1,4530.3,4530.6,4541.8,4559.4,4573.6,4597.7,4613.1,4636.3,4653.1,4664.9,4684.4,4670.9,4680.6,4712.9,4757,4797.6,4793.4,4812.2,4839.8,4866,4872.9,4896.9,4909.3,4949.1,4982.8,5009.7,5011.5,5039.8,5080.8,5111.3,5129,5173.4,5162.4,5199.3,5217.7,5246.5,5275.3,5298.8,5303.8,5341.6,5370.7,5382.9,5422.5,5469.5,5473.5,5528.4,5559.5,5548.8,5567.7,5575.2,5582,5607.6,5663.2,5658.9,5661.4,5678.2,5696.9,5713.3,5700,5697.7,5726.5,5746.6,5747.8,5795.6,5713.9,5888.6,5862.5,5838.5,5872.9,5898.6,5894.5,5935.3,5893.2,5936.5,5974.5,5990.3,5945.5,5957.4,5973.8,6016.7,6007.4,5984,6027.8,6050.5,6080.5,6122.5,6141.3,6199.1,6183.6,6181.8,6221.6,6228.2,6245.8,6248.7,6289.3,6276.6,6317,6283.2,6338.6,6349.4,6391.7,6408.8,6418.8,6472.5,6454,6502.4,6496.6,6572.1,6536.1,6602.1,6653.6,6612.9,6591.7,6599,6631.2,6660.9,6728,6715.2,6733.7,6745.9,6735.8,6749,6764.4,6752.8,6800.3,6815.5,6836.1,6888.3,6884.9,6886.2,6926.2,6910.1,6951.2,6940.9,6945.8,6971.7,6976.7,6987.5,6998.2,6993.7,6987.7,6962.7,6966.8,6985.2,6996.5,6988.3,6960.9,6952.5,6904.7,6859.9,6842.6,6822.6,6856,6864,6823.6,6828.3,6835.5,6833.4,6851.3,6915.4,6840.5,6863.9,6883.7,6893.5,6886.5,6914.1,6966.9,6966.9,6965.3,6972.6
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2005 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
