"","Table 5#4#5AU# Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159"
"14","6","      Commercial\2\","B347RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8007,8375,8562,8672,9214,9815,10011,9944,10025,10556,10042,10077,9106,7760,7882,7884,8563,8319,8270,8332,8908,9576,10586,10846,11205,13069,13522,14235,13971,16542,18265,19671,20271,18821,18001,18277,19573,19533,19780,19326,18293,17641,16623,16653,17233,17200,19376,20468,23195,26763,27871,29372,32418,33435,33399,35864,35922,33150,33687,33961,33614,35845,37294,37921,36880,38846,38816,37880,39283,37072,40287,41562,41809,40582,39478,35645,31545,30440,27631,24900,25866,27152,29706,29663,29916,30348,30402,33722,31265,36214,37831,38306,40098,40078,40603,42085,44175,45056,46000,48436,50438,48821,49989,47908
"15","7","    Hospitals and special care","C311RC0",583,573,560,564,583,576,596,665,716,767,795,806,819,886,1067,1168,1068,1054,1015,983,1063,1239,1434,1428,1519,1410,1295,1352,1446,1409,1393,1444,1313,1302,1340,1373,1581,1557,1492,1686,1825,2073,2328,2474,2568,2582,2703,2687,2819,3128,3148,3165,3312,3489,3463,3652,3519,3501,3544,3636,3712,3723,3655,3674,3860,3682,3828,3790,3839,3957,4229,4259,4136,4011,4024,4077,4148,4316,4239,4326,4449,4564,4674,4768,5148,5104,5431,5923,6036,6377,6869,7246,7902,8890,9561,10435,10557,9929,10444,10561,10531,10560,9983,9537,9268,9496,9428,8877,8746,9304,9125,9353,9532,9288,9921,10968,11896,11425,11397,11787,11638,11672,12648,11270,12155,12723,13618,13452,13051,12490,11487,11782,12509,12813,12897,12993,13005,13451,14517,14719,13599,14537,13706,12851,12815,12313,12299,12717,12033,12835,13404,14244,15483,15009,15220,14676
"16","8","  Manufacturing","C307RC0",1884,1985,2212,2343,2682,2762,2918,3042,2985,2808,2676,2651,2684,3041,2669,2974,2591,2800,3011,3222,3142,3348,3731,4039,4491,5056,5031,5790,6170,6682,6877,6535,6434,5696,6026,5668,6000,5851,5762,6471,6741,6636,6931,6920,6696,7188,7158,6902,6850,6437,5809,5944,5800,5923,5947,5986,6975,7425,8440,8836,9380,9815,9711,11194,10530,10636,10591,10447,10883,10216,9691,9570,10131,10846,11239,12040,12707,14452,17988,19473,21114,21685,22258,23079,21847,21118,19394,19729,22854,24468,27427,26903,27219,27193,25367,24549,21298,19745,19829,16944,19529,20514,21736,21825,23859,24093,24202,24401,22440,20510,19894,21092,19177,20288,22780,22595,21784,23162,23199,24668,25890,28423,30441,30390,33650,34328,34292,32274,33365,32255,29674,30403,30335,28963,28260,28558,23649,22430,23900,24269,25060,28617,29825,32286,33464,36425,36365,35738,37803,37196,36831,40833,37252,36180,38982,38082
"17","9","  Power and communication","W003RC0",4340,4281,4303,4304,4399,4455,4286,4344,4125,4104,4107,4004,4115,4034,4027,4088,4118,4419,4358,4525,4628,4718,4786,4884,5092,5272,5438,5738,6031,6257,6485,6391,6617,6995,7199,7561,7888,8073,8493,8670,8483,8512,8640,9045,9373,10026,10724,10737,10886,11144,11013,10917,11868,11875,12116,12433,12850,13573,14279,14566,14900,15000,15359,15053,15250,15342,15732,16336,16209,17993,19109,19309,18618,19536,19466,19476,19910,21147,21944,22768,23421,24212,25138,25717,26825,27196,27375,27784,29096,29652,30185,30883,30795,30228,29572,27813,26665,25653,24573,26232,25555,26520,26982,26927,26624,26422,26371,26688,28757,29241,28286,26868,26020,25449,25091,25083,24581,24281,25468,25789,27525,27686,27097,27608,25473,25772,26482,27605,29824,31293,32205,32917,33003,33627,34031,34855,34463,33220,32507,32502,31283,30648,31094,31631,33352,33804,33418,31822,30418,29099,28179,29197,27517,28194,29319,30082
"18","10","    Power","W028RC0",3465,3347,3318,3298,3341,3336,3202,3261,3115,3153,3130,3034,3134,3030,3036,3092,3077,3319,3242,3290,3344,3405,3498,3537,3725,3812,3963,4212,4467,4662,4839,4792,4988,5349,5585,5934,6223,6527,6749,6853,6499,6429,6379,6621,6807,7111,7542,7628,7818,8013,8196,8053,8708,8711,8852,8957,9293,9753,10150,10372,10645,10660,11108,10955,11070,11636,12146,12724,12506,14193,15128,15169,14357,15084,14886,14793,14912,15568,16189,16716,17159,17623,17993,18181,18760,19271,19818,20431,21123,21699,22095,22263,21970,21676,20988,19958,18932,18146,17819,17926,18266,18621,18680,18537,18170,17971,18143,18785,19957,20080,19305,17934,17167,16448,15845,15408,15110,15171,15516,16098,17629,18032,18059,17740,15949,15926,16519,17727,20564,22131,23398,24298,24330,24742,25085,25387,24716,23940,23152,22408,21281,20926,20874,21091,22464,22467,22005,21087,18992,17775,16782,16102,15618,15805,16472,17553
"19","11","      Electric","C571RC0",2108,1971,1951,1958,2030,2055,1938,2001,1862,1898,1878,1794,1921,1853,1826,1848,1942,2008,2053,2081,2085,2130,2200,2233,2442,2483,2545,2670,2799,2922,3101,3122,3298,3628,3786,3964,4053,4202,4345,4480,4309,4429,4467,4731,4876,5169,5618,5669,5815,5995,6181,6013,6661,6595,6681,6731,7082,7513,7875,8090,8157,8141,8099,8075,8105,8207,8397,8679,9052,9507,10023,10570,11109,11589,11988,12306,12582,12845,13157,13509,13920,14249,14462,14553,14860,15136,15494,15902,16451,16946,17280,17431,17522,17386,16997,16359,15703,15233,15063,15172,15619,15712,15489,15108,14560,14257,14407,15100,16352,16573,15885,14566,13745,12945,12246,11704,11297,11226,11416,11825,13126,13364,13249,12809,10973,10807,11218,12198,14731,15995,16942,17504,17217,17234,17137,16955,16751,16448,16103,15737,15230,14945,14745,14616,14929,14635,14123,13410,12047,11361,10906,10709,11071,11207,11397,11625
"20","12","      Other power","W029RC0",1357,1376,1367,1340,1311,1281,1264,1260,1253,1255,1252,1240,1213,1177,1210,1244,1135,1311,1189,1209,1259,1275,1298,1304,1283,1329,1418,1542,1668,1740,1738,1670,1690,1721,1799,1970,2170,2325,2404,2373,2190,2000,1912,1890,1931,1942,1924,1959,2003,2018,2015,2040,2047,2116,2171,2226,2211,2240,2275,2282,2488,2519,3009,2880,2965,3429,3749,4045,3454,4686,5105,4599,3248,3495,2898,2487,2330,2723,3032,3207,3239,3374,3531,3628,3900,4135,4324,4529,4672,4753,4815,4832,4448,4290,3991,3599,3229,2913,2756,2754,2647,2909,3191,3429,3610,3714,3736,3685,3605,3507,3420,3368,3423,3503,3599,3704,3813,3945,4100,4273,4503,4668,4810,4931,4976,5118,5301,5529,5834,6136,6456,6794,7112,7508,7948,8431,7964,7492,7049,6671,6050,5981,6129,6475,7536,7832,7882,7678,6945,6414,5876,5392,4547,4598,5075,5928
"21","13","    Communication","C314RC0",875,934,985,1006,1058,1119,1084,1083,1010,951,977,970,981,1004,991,996,1041,1100,1116,1235,1284,1313,1288,1347,1367,1460,1475,1526,1564,1595,1646,1599,1629,1646,1614,1627,1665,1546,1744,1817,1984,2083,2261,2424,2566,2915,3182,3109,3068,3131,2817,2864,3160,3164,3264,3476,3557,3820,4129,4194,4255,4340,4251,4098,4180,3706,3586,3612,3703,3800,3981,4140,4261,4452,4580,4683,4998,5579,5755,6052,6262,6589,7145,7536,8065,7925,7557,7353,7973,7953,8090,8620,8825,8552,8584,7855,7733,7507,6754,8306,7289,7899,8302,8390,8454,8451,8228,7903,8800,9161,8981,8934,8853,9001,9247,9675,9471,9110,9952,9691,9896,9654,9038,9868,9524,9846,9964,9878,9260,9162,8807,8619,8674,8885,8945,9468,9747,9280,9354,10095,10002,9722,10220,10540,10888,11337,11413,10734,11426,11323,11396,13095,11899,12388,12848,12529
"22","14","  Mining exploration, shafts, and wells","E318RC0",2452,2537,2541,2554,2431,2350,2311,2264,2250,2274,2345,2427,2533,2567,2493,2347,2308,2284,2254,2158,2266,2432,2426,2536,2403,2610,2379,2348,2458,2396,2543,2415,2385,2479,2428,2428,2537,2465,2571,2667,2591,2761,2926,2902,2796,2827,2686,2835,2712,2507,2666,2759,2936,3037,3054,3249,3221,3322,3592,3797,4075,5109,5546,5922,6620,7059,7649,8120,8402,8152,8684,9222,10206,11173,11954,12515,11811,14714,16353,18798,18923,16748,19300,21165,22376,23425,29319,34388,31467,38529,41242,58594,54091,48088,40107,36718,34186,28207,28354,29245,30500,30626,32309,31701,32339,28084,25892,25377,23430,14554,12170,12574,11843,11139,13758,15484,15301,16449,15785,15348,13561,14912,15645,15518,17028,17818,17969,18865,21272,20758,16417,15729,13827,13320,14126,15515,15996,15748,16403,18211,16059,15694,16370,17450,15541,14214,14875,15563,15414,16432,17357,17905,21069,22437,22408,23633
"23","15","    Petroleum and natural gas","C319RC0",2341,2423,2423,2433,2309,2227,2185,2135,2119,2141,2209,2287,2392,2425,2348,2199,2157,2131,2099,2001,2109,2275,2268,2376,2242,2448,2215,2183,2292,2229,2374,2245,2218,2313,2256,2245,2341,2256,2349,2434,2348,2508,2663,2629,2511,2531,2378,2516,2382,2166,2316,2400,2568,2660,2667,2849,2810,2890,3121,3271,3483,4453,4834,5166,5828,6229,6774,7189,7404,7077,7527,7984,8892,9800,10542,11082,10419,13379,15060,17518,17624,15417,17928,19739,20862,21767,27456,32279,29114,36004,38655,56063,51715,45919,38154,34960,32577,26687,26858,27714,28894,28933,30540,29889,30528,26333,24258,23905,22143,13440,11196,11697,11020,10341,12968,14691,14488,15609,14914,14446,12632,13950,14647,14483,15965,16712,16817,17666,19999,19455,15103,14420,12560,12068,12880,14260,14756,14474,15047,16734,14299,13863,14551,15723,14144,12930,13648,14327,14002,14961,15846,16379,19571,20979,21012,22318
"24","16","    Mining","C320RC0",111,114,118,121,122,123,126,129,131,133,136,140,141,142,145,148,151,153,155,157,157,157,158,160,161,162,164,165,166,167,169,170,167,166,172,183,196,209,222,233,243,253,263,273,285,296,308,319,330,341,350,359,368,377,387,400,411,432,471,526,592,656,712,756,792,830,875,931,998,1075,1157,1238,1314,1373,1412,1433,1392,1335,1293,1280,1299,1331,1372,1426,1514,1658,1863,2109,2353,2525,2587,2531,2376,2169,1953,1758,1609,1520,1496,1531,1606,1693,1769,1812,1811,1751,1634,1472,1287,1114,974,877,823,798,790,793,813,841,871,903,929,963,998,1034,1063,1106,1152,1199,1273,1303,1315,1310,1267,1252,1246,1255,1240,1275,1356,1477,1760,1831,1819,1727,1398,1283,1227,1236,1411,1471,1512,1526,1498,1458,1396,1316
"25","17","  Other structures","W004RC0",4447,4603,4844,4742,5086,5182,5183,5233,5163,5060,4993,4920,5155,5289,5197,5155,5167,5469,5663,6065,6366,6283,6232,6099,6425,7241,7556,7734,7917,7851,7663,7697,7859,7665,7864,7996,7606,7377,7020,7165,7389,7619,8110,7926,7772,7718,7659,7895,7917,7861,7836,7902,8285,8392,8589,8986,9308,9926,10191,10359,10128,10259,10280,10645,10016,10274,10134,10016,10686,10810,11119,11405,11769,12199,12657,13283,13461,15095,15998,16390,16593,18051,19407,19975,20512,20134,19426,19961,21045,21024,21864,20937,21136,21067,21051,22121,21651,23111,22895,25445,26618,28030,29063,28777,30439,32401,31651,32688,31872,29749,29946,31301,32461,33804,33955,34573,32838,32847,31717,32652,34034,33211,34434,35415,37551,38122,38354,36224,35521,33399,32501,31202,30150,31363,31793,30611,31547,34786,36060,35461,34604,35453,34898,34515,37199,38878,42211,44002,46755,47449,49546,52092,53606,56236,57635,61523
"26","18","    Religious","C309RC0",921,940,974,953,1017,1018,1006,1011,979,990,1014,1029,1038,1044,1035,1015,1016,1012,1004,972,973,953,1001,1041,1042,1280,1211,1271,1131,1132,1130,1187,1108,1030,1066,1048,1118,1108,1029,1061,1014,1014,1000,944,957,962,933,904,852,836,785,823,887,840,842,879,846,807,834,845,919,961,981,915,892,932,823,929,962,924,1065,1001,1031,1104,1109,1108,1097,1372,1454,1540,1560,1770,1765,1898,1925,1951,1910,1886,2019,2098,2065,1916,1916,1727,1819,2319,2141,2044,2444,2453,2615,2815,2644,2804,2645,3018,3376,3344,3343,3299,3409,3833,3593,3626,3853,3787,3976,4260,3771,3788,4433,4264,4033,4378,4005,3979,4449,3900,3848,3807,3779,3671,3523,3358,3360,3328,3650,3801,3883,3798,3637,3835,3867,3724,3837,4393,4468,4145,4067,4413,4401,4771,5163,5596,5577,6156
"27","19","    Educational","C310RC0",576,531,490,503,559,569,561,575,569,595,633,639,649,657,693,721,584,680,696,752,722,759,764,759,724,734,869,821,998,1007,984,959,1022,1051,1100,1019,1259,1158,1050,1121,1111,1055,1126,1040,980,964,843,913,957,1001,1041,1033,1064,1043,1074,1071,994,1028,995,915,788,737,684,739,633,680,660,639,749,745,725,649,738,728,750,752,719,877,948,969,903,1039,1147,1264,1489,1497,1591,1764,1782,1781,1638,1628,1750,1936,2041,2016,2106,2135,2146,2120,2262,2191,2376,2200,2241,2597,2940,2932,3116,3172,3164,3468,4593,4823,4465,4920,4099,3657,3577,3770,4191,4026,4548,4347,4648,4613,4882,5057,5138,5063,4581,4956,5441,5463,5125,4507,4427,5182,6045,5620,5968,5485,5142,5404,5938,6320,6693,6034,6827,6919,8074,8752,8666,9570,10315,10749
