"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36"
"23","15","A     Miscellaneous durable goods manufacturing","KS3390",14237,14179,14114,14519,14808,14913,15112,14995,15243,15466,15627,15773,15952,16198,16603,16626,16666,16522,16575,16672,16767,17263,17496,17575,17680,17526,17681,17856,17864,17687,17769,17711,17373
"24","16","A   Nondurable goods manufacturing industries","KS30N0",163113,164779,166370,169003,169986,169843,169398,169352,170611,172725,174407,177841,178485,179770,179813,178466,177444,175546,175076,175332,176456,176715,178846,177327,177321,176922,176199,173463,174701,175522,175367,175602,177553
"25","17","A     Food manufacturing","KS3110",30950,31313,31492,31937,32140,32040,31899,32049,32517,32717,33182,33679,34550,34207,34119,34159,33871,33847,33517,33848,34030,34758,34776,34325,34447,33870,33635,32744,32779,32544,32478,32243,32122
"26","18","A     Beverage and tobacco product manufacturing","KS3120",11352,11586,11921,12154,12382,12005,11835,12074,11836,11846,11478,11908,12037,12062,12119,11798,11984,11997,12287,12364,12454,12409,12403,12083,11987,12052,12275,11916,12011,12020,12334,11862,11984
"27","19","A     Textile mills","KS3130",6726,6722,6704,6684,6762,6757,6798,6813,6775,6824,6849,7001,6839,6772,6663,6578,6432,6382,6222,5961,5625,5408,5370,5323,5431,5497,5495,5372,5277,5204,5133,5049,4909
"28","20","A     Textile product mills","KS3140",3562,3690,3762,3801,3788,3685,3640,3581,3654,3792,3823,3924,4033,4212,4293,4341,4350,4315,4362,4509,4415,4591,4707,4707,4836,4837,4913,5098,5025,5051,5083,5121,5213
"29","21","A     Apparel manufacturing","KS3150",8082,8384,8522,8506,8491,8347,8397,8446,8439,8666,9000,9086,8925,8744,8687,8804,8569,8320,7738,7183,6733,6594,6694,6753,6938,7100,7068,6958,6734,6768,7057,7042,7197
"30","22","A     Leather and allied product manufacturing","KS3160",1551,1628,1623,1662,1698,1717,1713,1686,1647,1666,1682,1696,1682,1655,1643,1594,1588,1461,1476,1427,1365,1396,1448,1524,1518,1525,1492,1562,1473,1429,1401,1481,1495
"31","23","A     Paper manufacturing","KS3220",15999,15579,15794,16130,16132,16313,16177,15764,15966,16274,16810,16811,17112,17184,16941,16267,15810,15484,15580,16079,16281,16468,16559,16638,16783,16763,16515,16028,15691,15520,15701,15825,16105
"32","24","A     Printing and related support activities","KS3230",6418,6550,6483,6708,6452,6431,6578,6210,6354,6591,6678,6911,7025,6847,6790,6552,6483,6236,6190,6286,6152,6550,6437,6600,6501,6250,6305,6209,6136,6255,6482,6523,6404
"33","25","A     Petroleum and coal product manufacturing","KS3240",16148,16184,16468,16606,15831,15709,15386,15812,15426,14697,15239,15515,15351,15864,15489,15208,15488,15995,16298,16411,16844,16881,17455,17468,16968,16722,16651,15706,16375,16746,16720,16577,18042
"34","26","A     Chemical manufacturing","KS3250",46439,47010,47568,48642,49808,50070,49970,49797,50491,51707,51553,52948,52781,53745,54733,54802,54638,53884,53816,53646,53667,53250,54267,53504,53324,53543,53448,53212,54412,55040,53494,53905,53534
"35","27","A     Plastics and rubber product manufacturing","KS3260",16389,16596,16557,16698,16741,16971,17059,17422,17630,17767,18073,18357,18138,18455,18314,18358,18261,17745,17745,17766,19145,18655,18992,18707,18978,19181,18818,19124,19106,19242,19968,20492,20788
"36","28","A Merchant wholesale industries","KS42W0",236476,243631,247480,254081,260527,263076,270179,274423,278872,280366,285756,291968,296511,302011,304819,307035,307179,308021,304936,298639,295555,295827,297612,297884,298467,297522,298621,299705,301549,305466,312892,318424,322950
"37","29","A   Durable goods merchant wholesale industries","KS42WD0",144620,150667,152528,156023,161417,162675,167288,170846,173656,175442,178158,182814,185770,191088,191864,192822,192772,188597,184458,178533,175049,174201,176673,176939,178089,176885,175685,178073,180657,184400,190329,194110,197354
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KS42110",21534,22653,23001,22507,23695,21917,22195,22951,23384,23953,24855,25271,26030,26667,25699,25995,25700,25001,25166,24311,23847,24521,25646,26296,26596,26858,25857,27457,28337,28482,29295,28666,28463
"39","31","D     Furniture and home furnishings wholesalers","KS42120",4766,4962,5065,5124,5091,5245,5296,5271,5303,5350,5361,5549,5686,5949,5880,5972,5993,5704,5644,5477,5299,5309,5423,5464,5608,5683,5638,5853,5973,5927,5969,5971,5978
"40","32","D     Lumber and other construction materials wholesalers","KS42130",5269,5500,5604,5597,5548,5571,5526,5545,5575,5666,5774,5932,6128,6262,6186,6380,6240,5946,6293,6424,6350,6411,6586,6717,6839,6845,6800,7270,7769,8265,8714,9304,9864
"41","33","D     Professional and commercial equipment wholesalers","KS42140",15410,17173,18156,19029,20707,20754,21082,20970,21875,22342,22835,24404,24403,24576,25365,25293,25247,24916,23986,23375,23336,24064,24294,24180,25072,25040,25585,25594,25821,26731,27655,28904,29053
"42","34","D       Computers and software wholesalers","KS42430",6871,8020,8725,9147,10326,10455,10504,10907,11227,11804,12018,13100,12319,12095,12817,12680,12898,12293,11885,11574,12005,12543,12634,12223,13019,13131,13141,13795,13913,14708,15495,16808,17435
"43","35","D       Other professional and commercial equipment wholesalers","KS424X0",9381,9726,9826,10314,10597,10459,10793,10123,10742,10565,10845,11303,12114,12505,12565,12612,12377,12583,12075,11776,11437,11687,11826,12009,12233,12138,12564,12192,12303,12569,12855,13119,12920
"44","36","D     Metal and mineral (except petroleum) wholesalers","KS42150",13038,13300,13271,13319,13666,13783,14331,14737,14379,14640,14487,15029,15679,16026,16007,15375,15095,15055,14860,14484,14218,14254,14847,14462,14268,14160,14018,14321,15308,15523,16359,17243,17560
"45","37","D     Electrical goods wholesalers","KS42160",20528,20668,20644,20520,21220,21872,22223,22441,22559,22936,24037,25707,26044,26967,28034,29184,29308,28332,26427,24492,23509,23086,23681,23596,23391,23109,23091,22993,24120,24874,25198,25530,25928
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KS42170",9378,9613,9667,9664,10066,10373,10388,10484,10556,10571,10548,10701,10919,11416,11428,11614,11391,11190,11273,11022,10822,10784,10884,10868,11232,10917,10794,10839,10835,11042,11434,11734,11726
"47","39","D     Machinery, equipment, and supplies wholesalers","KS42180",40679,42606,42082,44402,45163,46386,48198,50068,51037,51218,51450,51167,51377,52486,52645,51914,52464,52176,50753,48993,47885,46544,46304,46317,45944,45270,44602,44103,43933,44858,45656,47167,48072
"48","40","D     Miscellaneous durable goods wholesalers","KS42190",15238,14956,15444,16125,16220,16774,18152,18623,19155,18885,18876,19057,19509,20740,20620,21098,21335,20274,20009,19950,19841,19407,19200,19225,19457,19366,19791,20115,19086,19324,20508,19982,20884
"49","41","A   Nondurable goods merchant wholesale industries","KS42WN0",92081,93053,95088,98242,99197,100513,102992,103620,105257,104922,107624,109154,110743,110922,112958,114213,114417,119291,120291,119882,120228,121306,120673,120674,120160,120369,122531,121364,120750,121040,122636,124411,125726
"50","42","D     Paper and paper products wholesalers","KS42210",7726,7803,8233,8266,8353,8319,8285,8417,8548,8605,8678,8463,8798,8723,8824,8942,8853,8786,8692,8520,8364,8592,8505,8474,8505,8508,8549,8823,8795,8931,9186,9258,9272
"51","43","D     Drugs and druggists' sundries wholesalers","KS42220",14148,14456,15267,15568,16349,16054,16052,16528,17387,18830,19303,19706,20810,21528,22663,23951,24425,26974,29154,30373,30106,29780,29801,31385,32424,32421,32882,31772,32157,32001,32090,31475,30530
"52","44","D     Apparel, piece goods, and notions wholesalers","KS42230",11992,12384,12358,12860,12646,12769,12770,12873,12539,11848,11650,12084,12268,12222,12282,12049,12616,13143,12799,11938,11733,11603,12383,11959,11879,11810,11481,11282,11351,10983,11816,11976,12506
"53","45","D     Grocery and related products wholesalers","KS42240",16852,17043,16970,17816,17709,18213,18109,17795,18465,18289,19174,19800,19710,19307,20080,20249,19618,19442,19052,19048,19116,20461,20279,20331,20270,19474,19936,19989,19926,19937,19947,20255,20301
"54","46","D     Farm product raw material wholesalers","KS42250",9847,9839,10042,10736,10417,10762,12380,12645,12717,13005,14024,13588,13868,13724,14116,14209,13969,14791,14825,14558,15299,15421,14377,13117,12971,13507,13994,14074,14626,13796,13494,13624,14637
"55","47","D     Chemical and allied products wholesalers","KS42260",4731,4913,4923,4915,4821,4948,5259,5331,5373,5318,5332,5487,5488,5404,5195,5088,5048,5195,5305,5283,5264,5194,5282,5251,5048,5044,5040,5116,4752,4714,4734,4733,4938
"56","48","D     Petroleum and petroleum products wholesalers","KS42270",6291,6409,6391,6630,7001,7415,7928,7363,7461,6912,6540,5931,5581,5631,5420,5452,5533,5694,5817,6797,7046,6631,6496,6436,5534,6360,6554,6429,5993,6097,6449,6625,7031
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",4790,5015,5117,5456,5794,5675,5798,5660,6285,6058,5981,6012,6100,6040,6085,6249,6050,6185,6118,6044,6258,6252,6323,6579,6606,6624,6686,6766,6492,6861,6809,7119,7140
"58","50","D     Miscellaneous nondurable goods wholesalers","KS42290",16360,15884,16537,16599,16966,17261,17274,17561,17030,16393,17111,18066,18076,18307,18270,18007,18272,19028,18484,17455,17184,17353,17250,17255,17109,16690,17390,17070,16533,17754,18212,19388,19276
"59","51","A Retail trade industries","KS440",325441,330810,335557,340561,350400,353173,355715,357859,366348,369513,373670,385517,387559,396651,402422,407133,402859,404331,405660,396311,401299,409280,413922,422575,429582,429862,433288,435627,442028,449493,444475,448311,451205
"60","52","A   Motor vehicle and parts dealers","KS4410",100539,101653,103460,106600,110379,110304,109359,108868,114186,114292,116219,121928,122981,129069,133067,134232,128961,131338,133080,125404,130340,135501,136846,144330,149537,149716,150783,150556,155238,159502,153736,151930,152163
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KS44230",19623,19936,20096,20291,20901,21150,21684,22218,22560,23239,23755,24336,24927,25720,25590,26437,26428,25804,25464,25844,26781,27143,27782,27540,27705,28634,29132,30181,30475,31032,31106,32025,31864
"62","54","A   Building material and garden equipment and supplies dealers","KS4440",32690,33182,33800,34030,34795,34864,35642,36369,36896,37197,37591,38660,38880,39751,40309,40040,40084,40174,40102,40016,41005,41228,41552,42367,43204,43614,45157,45819,46975,48122,48500,50432,50974
"63","55","A   Food and beverage stores","KS4450",28530,28540,29014,28819,29394,29889,29891,30065,30507,30727,31430,31910,31962,31537,31721,31757,32143,32317,32201,32485,32218,32463,32883,33153,33228,33077,33272,32739,32818,33227,33204,33373,33268
"64","56","A   Clothing and clothing accessories stores","KS4480",25941,26806,27219,27573,28022,28507,29029,28723,29277,29703,28989,29996,30037,30606,31420,32527,32398,32227,32262,31460,30905,31728,32493,32984,33834,33399,33206,33183,33386,33575,33292,33478,34387
"65","57","A   General merchandise stores","KS4520",58151,58954,58649,59047,59534,59652,60324,59921,60449,60683,61289,62618,62794,63295,63038,63682,65236,65315,64851,63551,62796,62996,63912,65107,64846,64848,64990,65803,66548,67235,67313,69104,70365
"66","58","D     Department stores","KS45210",41861,42353,41991,42469,42527,42353,42559,41766,41923,41805,41805,42422,42098,42110,41552,41797,42183,41838,41485,39701,38477,37979,37998,38166,37560,37106,36721,36279,36302,36005,35756,36131,36745
"67","59","D     Other general merchandise stores","KS45290",16262,16575,16634,16550,16984,17280,17750,18145,18519,18873,19482,20196,20698,21187,21488,21885,23050,23471,23360,23830,24289,24975,25863,26879,27216,27662,28177,29408,30117,31074,31391,32782,33424
"68","60","A   Other retail stores","KS44X0",59954,61718,63334,64235,67428,68853,69778,71703,72480,73665,74393,76055,75956,76654,77256,78444,77608,77128,77664,77518,77291,78302,78552,77289,77528,76965,77163,77825,77257,77604,77816,78266,78432
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2000 equals the current-dollar change in inventories for 2000 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","average of the 1999 and 2000 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","index and the 2000 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the formual for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
