"","Table 6#3D# Wage and Salary Accruals by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2012 3:54:22 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Wage and salary accruals","A034RC0",4180916,4465176,4827698,4952202,4997306,5154598,5410691,5705982,6070143,6415473,6545859,6275331,6404563,6661292
"9","2","Domestic industries","A4102C0",4185479,4470389,4832388,4957417,5002880,5160302,5416839,5712389,6076756,6422567,6556618,6283172,6411727,6669306
"10","3","  Private industries","A4103C0",3484241,3736700,4052677,4135533,4129767,4246977,4464031,4720900,5041605,5333540,5412513,5107946,5220441,5473980
"11","4","    Agriculture, forestry, fishing, and hunting","N4104C0",24232,24820,25910,26622,26796,26754,28639,29659,32609,34802,35982,35424,34971,35821
"12","5","      Farms \1\","N4105C0",15883,16169,16974,17926,17919,17586,19109,19597,20005,22155,22930,22722,21408,21267
"13","6","      Forestry, fishing, and related activities","N4106C0",8349,8651,8937,8697,8876,9168,9530,10062,12604,12647,13052,12702,13563,14554
"14","7","    Mining","N4107C0",29233,28583,29602,32010,30718,31260,34856,40228,48049,53800,62775,54928,58889,69364
"15","8","      Oil and gas extraction","N4108C0",10151,10115,10850,11502,11306,11505,13078,14548,17407,19046,23348,21689,23223,26124
"16","9","      Mining, except oil and gas","N4109C0",11091,10961,10583,10779,10397,10248,10964,11974,13048,13461,14384,13296,13899,15307
"17","10","      Support activities for mining","N4110C0",7992,7507,8169,9729,9015,9507,10814,13707,17594,21293,25042,19943,21767,27933
"18","11","    Utilities","N4111C0",34761,35914,38359,39739,39868,39378,40998,41920,43603,46169,48060,48810,48911,50983
"19","12","    Construction","N4112C0",211424,233394,256775,272368,274383,282328,294818,323143,356631,372625,368083,311428,289484,296777
"20","13","    Manufacturing","N4113C0",679708,705954,744582,712816,679631,673720,693088,710377,738674,752198,740888,661497,674132,706606
"21","14","      Durable goods","N4114C0",447448,467616,498775,472964,444026,438195,454442,468568,493143,501895,491658,427640,437512,466773
"22","15","        Wood products","N4115C0",16929,17865,18270,17442,17406,17399,18745,19773,19921,18817,16672,13127,12759,12852
"23","16","        Nonmetallic mineral products","N4116C0",19215,20159,21412,21185,20902,20752,21525,22596,23699,23818,22236,18487,18073,18283
"24","17","        Primary metals","N4117C0",27084,27399,27914,25752,23474,22944,24028,24508,25762,25996,26187,20214,21525,23842
"25","18","        Fabricated metal products","N4118C0",61278,62441,65507,63437,60368,59447,62477,65466,69769,72927,74447,62744,64256,69030
"26","19","        Machinery","N4119C0",62917,63273,66465,62384,57305,56072,58551,61260,64931,67751,68977,59554,61133,67943
"27","20","        Computer and electronic products","N4120C0",98471,106999,125221,114292,98802,95042,97688,101706,107969,109977,106103,97958,103572,108636
"28","21","        Electrical equipment, appliance, and components","N4121C0",21239,22255,23456,22621,20833,20385,20840,20920,21961,22488,23010,20492,20830,22269
"29","22","        Motor vehicles, bodies and trailers, and parts","N4122C0",57443,61879,63557,58544,58878,60047,60504,59163,59698,57172,49978,38194,39134,43136
