"","Table 5#2#3# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"33","26","          Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","27","            National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","28","            Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","29","          State and local","B893RA3",20.204,24.328,24.355,18.094,8.758,11.155,9.813,22.231,17.64,21.722,26.416,19.328,11.019,1.845,-4.127,-5.163,-4.099,1.197,7.42,11.997,19.668,23.363,24.079,24.437,27.133,34.354,37.754,38.245,41.242,46.013,46.809,46.666,50.77,52.204,57.477,61.912,66.51,71.075,75.49,78.516,72.314
"37","30","  Structures","A760RA3",19.118,23.207,24.138,21.154,16.361,18.676,19.541,29.24,25.467,27.948,30.606,29.207,44.942,74.758,40.057,19.35,14.73,8.735,13.185,18.274,25.277,29.112,34.573,38.975,41.052,43.911,43.534,44.34,47.058,52.746,53.735,53.554,58.016,58.84,62.034,64.709,68.442,72.153,73.71,75.902,71.754
"38","31","  Less: Consumption of fixed capital","B894RA3",10.902,11.509,12.196,12.81,13.28,13.683,14.146,14.824,15.572,16.342,17.127,17.975,19.057,21.228,23.252,24.051,24.342,24.329,24.105,24.145,24.51,25.013,25.759,26.698,27.745,28.899,30.047,31.148,32.306,33.578,35.042,36.42,37.799,39.324,40.864,42.469,44.084,45.889,47.678,49.518,51.314
"39","32","  Equals: Net structures","A895RA3",27.645,35.346,36.53,29.813,19.559,23.856,25.14,44.2,35.736,39.992,44.592,40.863,71.803,130.305,57.496,14.472,4.757,-7.446,1.853,12.183,26.073,33.364,43.72,51.714,54.86,59.489,57.528,58.029,62.366,72.637,73.132,71.335,78.995,79.09,84,87.788,93.718,99.407,100.724,103.28,92.965
"40","33","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","34","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","36","            State and local","B899RA3",24.336,30.336,30.093,22.024,10.147,13.41,11.611,27.841,21.234,26.392,32.189,23.532,13.26,1.649,-5.875,-7.32,-6.021,0.168,7.539,12.993,22.986,27.914,28.83,29.133,32.545,41.672,46.43,46.573,49.499,55.98,56.79,56.028,61.428,63.036,69.057,74.049,79.771,85.087,90.833,94.671,86.146
"44","37","  Equipment and software","A871RA3",0.603,0.566,0.659,0.586,0.604,1.045,1.182,1.056,1.154,1.397,1.519,1.599,10.014,40.898,81.688,91.412,64.443,4.888,3.875,5.485,7.554,6.057,16.408,22.465,25.417,21.024,17.444,17.094,16.323,16.999,20.848,19.492,21.953,23.878,22.112,21.733,20.544,23.531,25.887,23.018,20.985
"45","38","  Less: Consumption of fixed capital","B900RA3",0.899,0.937,0.971,1.005,1.019,1.07,1.168,1.273,1.332,1.43,1.541,1.679,2.64,6.902,16.237,27.478,34.223,32.436,26.445,21.482,18.146,15.88,15.566,17.433,19.548,21.029,21.497,21.704,21.903,22.022,22.557,23.323,23.95,24.909,25.839,26.603,27.129,27.845,28.979,29.936,30.33
"46","39","  Equals: Net equipment and software","A901RA3",-1.203,-1.697,-1.244,-1.97,-1.932,0.894,1.273,-0.269,0.068,1.198,1.384,1.112,55.013,248.363,481.115,481.578,248.866,-163.227,-133.859,-92.136,-57.084,-53.885,21.543,53.17,61.232,20.993,-7.292,-11.042,-17.727,-13.654,10.416,-3.889,9.768,17.581,-0.631,-7.984,-19.64,-2.797,7.022,-19.196,-36.048
"47","40","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            State and local","B907RA3",7.002,2.975,4.086,1.954,-1.621,-2.462,-2.342,-2.662,1.058,1.798,3.486,-1.017,-5.162,-7.605,-8.911,-7.815,-6.976,-1.845,3.153,6.308,5.84,4.599,4.109,4.555,4.609,5.991,3.384,5.491,10.846,8.034,8.272,10.864,9.2,9.573,13.919,17.563,17.347,19.647,17.192,15.558,17.303
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","  Gross domestic fixed investment","W172RA3",5.282,4.401,3.398,2.268,1.929,2.429,2.929,3.965,4.261,3.76,4.372,4.917,7.142,10.355,12.665,13.154,11.08,7.877,9.421,10.694,10.479,12.177,13.025,13.647,14.693,14.6,15.601,15.654,15.595,15.128,17.054,17.018,17.449,18.793,19.816,21.303,22.987,24.47,24.445,25.542,26.314
"53","45","  Less: Consumption of fixed capital","A262RA3",5.494,5.618,5.61,5.47,5.324,5.219,5.232,5.316,5.481,5.569,5.634,5.772,6.112,6.84,7.993,9.331,10.162,10.263,10.05,9.971,10.022,10.177,10.542,11.048,11.635,12.168,12.633,13.088,13.523,14.028,14.327,14.607,15.016,15.524,16.136,16.805,17.644,18.651,19.666,20.642,21.645
"54","46","  Equals: Net domestic fixed investment","W173RA3",6.761,3.794,0.732,-2.434,-3.195,-1.487,0.08,3.067,3.84,2.031,3.822,5.339,11.154,18.376,22.995,22.132,14.29,3.105,7.485,11.149,10.966,15.038,17.422,18.617,20.465,19.17,20.617,20.04,19.254,17.54,22.072,21.411,22.12,24.76,26.307,28.998,31.918,34.296,32.79,33.896,34.038
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Note. Chain-type quantity indexes for net investment are computed from chained (2005) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","estimates of net investment by scaling the chained-dollar estimates to 100 in the reference year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","(2005). Chained (2005) dollar estimates of net investment beginning with 1967 appear in table 5.2.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
