"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","3","S1 PN441ZZZMG   Motor vehicle and parts dealers","T070033",84.704,85.564,85.962,86.459,87.131,88.285,89.326,90.345,90.786,91.7,92.763,94.22,95.29,95.791,95.733,96.195,97.269,97.383,97.499,97.778,98.184,97.862,97.778,97.832,97.489,97.056,97.533,97.885,97.943,98.026,98.778,98.915,98.911,99.441,99.207,99.752,100.267,100.256,100.144,100.421,100.101,100.117,100.368,100.302,99.221,98.78,98.168,97.149,97.788,98.512,98.134,98.993,99.67,100.103,99.717,100.51,100.85,100.945,101.145,100.897,100.772,100.841,101.07,101.527,101.146,100.609,100.482,99.415,99.321,100.423,101.387,103.641,104.652,105.238,105.88,105.912,106.601,108.57,109.637,109.52,109.618
"12","4","S4 PN4411ZZMG     Automobile dealers","T070043",83.847,84.774,85.247,85.832,86.621,87.997,89.239,90.41,90.836,91.837,93.074,94.713,95.85,96.4,96.336,96.847,98.004,98.108,98.306,98.645,99.079,98.736,98.597,98.697,98.301,97.874,98.373,98.717,98.784,98.904,99.72,99.836,99.75,100.35,100.074,100.579,101.017,100.999,100.83,101.119,100.743,100.713,100.92,100.822,99.508,99.029,98.314,97.136,97.774,98.551,98.145,99.131,99.776,100.216,99.609,100.399,100.67,100.57,100.59,100.269,100.107,100.143,100.344,100.736,100.159,99.416,99.033,97.583,97.409,98.584,99.739,102.274,103.337,103.958,104.589,104.564,105.163,107.223,108.309,108.11,108.109
"13","5","S4 PN4412ZZMG     Other motor vehicle dealers","T070053",86.325,87.813,87.461,87.704,87.83,88.393,88.783,89.314,89.902,90.843,91.235,92.469,93.472,93.62,93.651,93.716,94.905,95.239,94.705,94.165,94.706,94.516,94.665,94.496,94.632,94.306,94.769,95.245,95.714,95.966,96.647,96.51,97.062,97.858,97.706,98.283,98.776,98.848,98.946,98.913,98.474,98.456,98.297,98.766,98.601,98.291,98.146,97.632,98.675,99.419,98.469,98.16,99.012,99.562,100.307,101.119,101.556,102.249,103.42,102.998,102.422,102.305,102.208,102.289,102.25,102.412,102.637,102.307,101.843,102.843,103.289,104.467,104.967,105.329,105.908,106.142,107.064,108.4,109.222,109.295,109.554
"14","6","S2 PN4413ZZMG     Automotive parts, accessories and tire stores","T070063",91.219,91.178,91.212,91.01,90.876,90.269,89.791,89.629,90.136,90.22,90.003,89.908,90.412,90.638,90.583,90.796,91.057,91.148,90.842,90.991,91.08,90.882,91.178,90.935,90.815,90.279,90.558,90.916,90.638,90.284,90.462,90.965,91.415,91.073,91.196,92.119,93.439,93.442,93.77,94.153,94.529,95.05,96.08,95.933,96.637,96.495,96.605,96.861,97.125,97.276,97.724,98.254,99.123,99.376,100.343,101.158,102.113,103.706,104.949,105.639,106.344,106.949,107.791,109.315,110.706,111.652,113.707,115.441,116.29,116.884,116.548,117.082,117.979,118.393,119.183,119.598,121.014,122.533,123.591,124.129,125.117
"15","7","S1 PN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T070073",148.204,148.977,148.734,148.911,148.637,149.031,149.253,149.88,150.082,150.736,151.158,149.808,150.074,149.846,149.592,148.763,148.456,147.612,147.355,146.656,145.595,144.432,142.928,141.738,140.503,139.745,138.049,135.902,134.438,133.025,131.307,129.329,128.681,128.019,127.108,125.823,123.988,122.04,120.202,118.588,116.939,115.979,114.445,112.748,111.004,109.13,107.364,106.239,105.551,104.672,103.24,102.244,101.32,100.759,99.417,98.503,97.714,96.349,95.13,93.862,92.599,91.369,89.803,88.356,87.61,86.176,85.952,85.243,84.536,84.039,82.105,80.672,79.32,78.01,76.782,75.929,74.462,73.722,72.657,71.529,70.781
"16","8","S1 PN442ZZZMG     Furniture and home furnishings stores","T070083",99.499,100.503,100.118,100.504,100.403,101.106,101.542,102.296,102.76,103.843,104.31,102.958,103.622,103.865,104.927,104.75,105.106,104.977,105.481,105.348,105.41,106.188,105.415,105.044,105.24,106.155,106.344,105.84,105.791,105.833,105.495,104.565,105.188,105.199,105.54,105.747,105.333,104.801,104.191,103.568,102.981,103.244,102.911,102.256,101.52,100.866,100.449,99.889,100.228,100.193,99.618,99.905,99.898,100.325,99.792,99.986,100.071,99.998,100.038,99.689,99.396,99.055,98.359,97.417,97.864,96.939,97.711,97.474,97.517,97.945,96.919,95.932,94.994,93.839,92.579,91.893,91.809,92.475,92.341,91.973,91.769
"17","9","S4 PN4421ZZMG       Furniture Stores","T070093",99.971,101.259,100.724,101.583,101.669,102.159,102.443,103.655,104.267,105.794,105.975,104.575,105.412,105.745,106.946,106.926,107.226,107.521,108.015,107.672,107.01,108.515,107.564,107.165,106.841,107.685,107.893,107.192,107.35,107.456,107.173,106.291,107.084,106.227,106.55,106.841,106.078,105.647,104.672,103.772,103.062,103.342,103.007,102.475,102.085,101.704,101.345,100.542,101.355,101.253,100.576,100.392,100.084,100.363,99.518,100.052,100.341,100.853,100.64,100.119,100.192,100.086,99.164,97.817,98.213,97.717,98.344,97.943,97.828,98.837,97.278,96.249,95.301,93.554,92.192,91.564,91.213,92.013,91.608,91.773,91.988
"18","10","S4 PN4422ZZMG       Home furnishings stores","T070103",99.25,99.825,99.665,99.335,98.952,99.974,100.643,100.724,100.981,101.443,102.308,101.015,101.435,101.553,102.428,102.04,102.477,101.782,102.308,102.456,103.479,103.305,102.763,102.423,103.305,104.312,104.475,104.226,103.921,103.886,103.478,102.487,102.895,103.972,104.336,104.445,104.469,103.816,103.653,103.369,102.918,103.152,102.819,102.026,100.902,99.953,99.477,99.178,98.996,99.03,98.564,99.371,99.696,100.287,100.104,99.913,99.772,99.065,99.376,99.211,98.519,97.923,97.473,96.97,97.476,96.085,97.018,96.96,97.178,96.976,96.533,95.596,94.673,94.184,93.042,92.291,92.512,93.026,93.196,92.235,91.569
"19","11","S1 PN443ZZZMG     Electronics and appliance stores","T070113",227.327,227.139,227.373,226.914,226.26,225.712,225.334,225.496,225.037,224.546,224.761,223.667,222.993,221.788,218.843,216.799,215.211,213.062,211.334,209.614,206.458,201.594,198.852,196.209,192.354,188.532,183.578,178.693,174.851,171.027,167.076,163.439,160.703,158.962,156.03,152.403,148.402,144.303,140.637,137.588,134.422,131.727,128.545,125.445,122.364,118.881,115.376,113.55,111.594,109.702,107.265,104.788,102.843,101.212,99.008,96.937,95.262,92.63,90.22,88.127,86.023,84.038,81.76,79.933,78.295,76.517,75.598,74.58,73.394,72.31,69.851,68.195,66.65,65.305,64.149,63.233,61.022,59.517,57.986,56.5,55.482
"20","12","S1 PN444ZZZMG   Building material and garden equipment and supplies dealers","T070123",83.389,84.837,84.388,85.309,89.743,92.239,91.097,93.059,94.585,93.722,93.573,93.867,93.945,94.045,94.096,93.882,93.823,94.712,95.696,96.223,97.393,98.057,97.567,96.31,95.997,94.82,94.094,92.68,93.347,94.372,95.669,94.139,94.857,94.278,93.214,93.117,93.105,94.006,93.741,91.998,92.286,92.746,92.65,91.977,92.22,92.322,93.713,95.132,97.114,99.92,99.909,98.475,99.689,100.073,100.024,100.214,101.083,100.993,99.775,99.303,100.883,101.288,101.217,100.798,100.776,101.328,101.933,101.469,100.322,100.525,100.214,99.618,100.328,101.405,100.07,99.798,100.976,101.388,101.855,101.915,102.805
"21","13","S2 PN4441ZZMG     Building material and supplies dealers","T070133",82.629,84.253,83.796,84.927,90.084,93.057,91.557,93.666,95.35,94.295,94.045,94.418,94.499,94.488,94.378,93.7,93.247,93.996,95.098,95.861,97.226,97.887,97.553,96.332,96.292,95.315,94.564,93.21,94.131,95.29,96.816,94.94,95.589,94.697,93.461,93.115,92.744,94.019,93.798,92.021,92.515,92.905,92.549,91.765,91.837,91.877,93.389,94.707,96.659,99.461,99.649,98.222,99.647,100.147,99.992,100.214,101.148,101.086,99.817,99.123,100.319,100.518,100.39,99.54,99.357,99.942,100.505,100.129,98.855,99.054,98.627,98.068,98.938,100.367,98.923,98.624,99.805,100.22,100.87,100.93,101.909
"22","14","S3 PN4442ZZMG     Lawn and garden equipment and supplies stores","T070143",87.436,87.91,87.54,87.252,87.47,87.227,88.152,89.266,89.877,90.098,90.563,90.364,90.449,91.237,92.242,94.8,97.18,98.932,99.19,98.293,98.315,99,97.587,96.104,94.246,91.941,91.348,89.586,88.798,89.032,88.955,89.471,90.574,91.946,92.014,93.507,95.788,94.361,93.794,92.259,91.059,91.98,93.734,93.881,95.403,95.983,96.482,98.718,100.945,103.79,102.117,100.62,100.048,99.434,100.304,100.215,100.495,100.16,99.422,100.905,105.844,108.083,108.503,111.636,112.869,113.108,114.035,112.921,112.707,112.965,113.54,112.657,112.278,111.299,110.495,110.34,111.561,111.98,111.577,111.643,112.157
"23","15","S1 PN445ZZZMG   Food and beverage stores","T070153",74.528,74.8,75.313,75.567,75.836,76.318,76.312,76.677,76.898,77.195,77.649,77.721,78.067,78.711,79.048,79.526,80.278,81.086,81.937,82.741,82.953,83.066,83.274,83.585,83.925,84.288,84.753,85.335,86.064,86.385,86.916,87.482,88,88.786,89.649,90.067,90.873,91.628,92.354,92.576,93.076,93.411,93.45,93.571,94.18,94.488,95.383,96.342,96.896,97.865,98.33,99.172,98.986,99.865,100.309,100.84,101.27,101.454,102.184,102.527,103.788,105.074,106.005,107.205,108.75,110.986,113.539,113.85,113.623,113.556,113.505,113.65,114.3,114.632,114.889,115.519,117.374,119.005,120.287,121.305,121.846
"24","16","S1 PN4451ZZMG     Grocery stores","T070163",74.195,74.464,74.988,75.239,75.507,76.019,76.021,76.408,76.633,76.95,77.427,77.508,77.869,78.521,78.868,79.361,80.119,80.936,81.793,82.606,82.801,82.897,83.097,83.412,83.772,84.137,84.614,85.188,85.911,86.23,86.752,87.311,87.807,88.599,89.481,89.902,90.727,91.496,92.224,92.436,92.942,93.275,93.291,93.404,94.037,94.34,95.262,96.243,96.818,97.806,98.282,99.136,98.935,99.863,100.331,100.871,101.284,101.465,102.245,102.585,103.873,105.183,106.145,107.391,108.933,111.265,113.944,114.16,113.832,113.732,113.645,113.782,114.515,114.854,115.079,115.783,117.76,119.48,120.869,121.937,122.455
"25","17","S3 PN4452ZZMG     Specialty food stores","T070173",74.51,74.639,75.158,75.349,75.493,76.14,76.325,76.911,77.142,77.471,77.984,77.979,78.405,79.154,79.429,79.898,80.669,81.586,82.655,83.599,83.726,83.757,84.026,84.312,84.73,85.002,85.439,85.934,86.315,86.452,86.726,87.211,87.532,88.208,89.089,89.498,90.436,91.151,91.914,92.324,92.949,92.996,92.852,92.965,93.635,94.232,95.249,96.484,96.935,98.07,98.534,99.396,98.965,100.063,100.172,100.8,101.222,101.147,102.013,102.487,103.856,105.376,106.449,107.74,109.276,111.782,114.747,115.762,115.273,114.079,113.203,113.073,113.822,114.427,114.385,114.963,117.056,119.111,120.738,121.798,122.169
"26","18","S2 PN4453ZZMG     Beer, wine, liquor stores","T070183",79.561,79.976,80.3,80.646,80.991,80.892,80.647,80.539,80.692,80.657,80.692,80.658,80.717,81.176,81.37,81.628,82.272,82.89,83.521,84.114,84.615,85.037,85.331,85.585,85.585,85.981,86.269,87.026,88,88.458,89.221,89.942,90.85,91.611,92.196,92.581,93.07,93.652,94.323,94.595,94.955,95.463,95.908,96.128,96.375,96.592,97.053,97.569,97.896,98.532,98.846,99.524,99.661,99.78,100.081,100.457,101.103,101.45,101.503,101.812,102.674,103.553,104.048,104.646,106.229,107.187,108.048,109.187,110.255,111.1,111.852,112.217,111.836,111.96,112.706,112.498,112.843,113.269,113.196,113.633,114.499
"27","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",119.748,119.764,120.139,120.469,119.942,119.387,119.364,119.275,118.283,118.67,118.287,117.483,116.415,115.656,115.751,115.575,115.474,114.766,113.221,113.422,113.546,114.492,113.303,112.671,111.599,111.056,111.395,110.801,109.336,109.966,109.652,109.538,108.95,108.189,107.64,107.879,108.376,106.923,106.042,105.17,104.639,104.399,103.722,103.055,101.826,100.928,101.399,100.959,100.726,101.294,100.791,100.7,100.568,100.054,99.784,99.594,99.299,100.381,100.392,100.402,101.13,100.256,99.617,100.531,100.767,100.569,101.464,100.709,101.149,101.641,102.176,102.122,101.798,101.282,101.545,101.195,101.754,102.607,105.245,105.655,106.336
"28","20","S2 PN4481ZZMG     Clothing stores","T070203",120.752,120.774,120.896,121.383,120.915,119.995,120.099,119.91,118.459,118.946,118.433,117.772,116.216,115.347,115.339,115.262,115.393,114.716,112.976,113.441,113.797,115.397,113.774,113.069,111.884,111.54,112.173,111.641,110.161,110.921,110.797,111.048,110.377,109.522,109.294,109.238,109.544,108.059,106.828,105.844,105.468,105.066,104.526,103.69,102.414,101.538,101.954,101.693,101.285,101.668,101.221,101.075,100.805,100.337,99.518,99.341,98.915,99.985,99.855,99.568,100.082,98.942,97.904,98.833,98.542,97.699,98.598,97.619,98.097,98.585,99.139,98.734,98.483,97.629,97.909,97.157,97.355,98.052,101.053,101.364,102.086
"29","21","S2 PN4482ZZMG     Shoe stores","T070213",109.342,109.92,110.739,110.958,110.543,110.658,110.036,110.583,109.927,110.485,109.302,107.933,108.249,107.814,107.911,107.442,107.565,107.632,106.5,106.552,106.552,106.909,106.914,107.269,106.023,105.646,106.425,105.156,104.099,103.716,103.079,102.236,102.039,102.283,101.094,101.62,101.912,100.756,101.081,100.002,99.128,100.217,99.437,99.182,98.628,97.139,98.093,97.672,96.932,97.565,97.647,98.315,99.426,99.661,100.729,100.166,101.017,101.094,100.054,100.321,102.336,101.972,102.788,104.275,104.843,105.734,105.866,105.76,106.26,107.276,108.154,108.845,108.694,108.2,108.48,108.093,108.172,108.533,110.042,109.66,109.862
"30","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",124.649,123.885,125.072,124.668,123.684,124.261,124.309,123.978,124.936,124.605,125.833,124.996,124.72,124.12,124.683,124.365,122.934,121.238,120.138,119.282,118.463,116.99,116.551,115.191,114.847,113.213,111.758,111.585,109.803,110.848,110.001,109.005,108.401,107.127,105.777,107.032,108.561,106.983,106.581,106.45,105.514,104.787,103.569,103.322,101.717,101.248,101.553,100.279,101.28,102.652,101.384,100.905,100.376,99.018,100.268,100.338,99.725,101.69,103.272,104.537,105.242,105.308,105.524,105.9,108.613,110.959,112.51,112.511,112.682,112.731,112.83,114.271,113.305,114.923,115.042,117.337,120.708,122.99,124.361,126.174,127.04
"31","23","S1 PN452ZZZMG   General merchandise stores","T070233",99.982,100.275,100.517,100.701,100.597,100.707,100.809,101.144,100.865,101.292,101.398,101.287,101.036,100.913,101.272,101.519,101.941,102.023,101.821,102.118,102.349,102.752,102.237,102.051,101.904,101.934,102.075,101.979,101.814,102.018,102.106,102.151,102.082,102.225,102.354,102.361,102.685,102.368,102.302,102.05,101.819,101.69,101.256,100.776,100.275,99.891,100.038,99.946,99.985,100.238,99.914,100.061,99.883,100.053,99.988,100.077,100.078,100.179,100.141,99.954,100.04,99.892,99.519,99.855,100.111,100.467,101.314,100.314,99.735,99.583,99.055,98.098,97.629,96.864,96.304,95.81,96.117,96.311,96.592,96.214,96.174
"32","24","S1 PN4521ZZMG     Department stores","T070243",108.233,108.528,108.723,108.911,108.689,108.675,108.861,109.186,108.727,109.208,109.206,108.999,108.506,108.135,108.456,108.623,108.954,108.841,108.298,108.517,108.769,109.294,108.529,108.19,107.855,107.755,107.845,107.525,106.943,107.207,107.178,107.133,106.843,106.721,106.602,106.496,106.732,105.967,105.579,105.149,104.696,104.411,103.801,103.173,102.243,101.622,101.658,101.24,101.059,101.156,100.566,100.531,100.382,100.288,99.745,99.584,99.473,99.687,99.439,99.109,99.03,98.522,97.894,98.115,97.884,97.467,97.772,97.228,97.201,97.108,96.517,95.432,94.783,93.902,93.346,92.427,92.288,92.392,93.122,92.735,92.851
"33","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",89.363,89.671,90.026,90.214,90.344,90.714,90.652,91.026,91.089,91.434,91.757,91.825,92.025,92.364,92.816,93.225,93.835,94.276,94.677,95.127,95.331,95.532,95.434,95.503,95.668,95.905,96.128,96.365,96.811,96.931,97.187,97.359,97.585,98.078,98.521,98.67,99.104,99.286,99.566,99.493,99.479,99.497,99.223,98.879,98.753,98.572,98.813,98.982,99.193,99.565,99.444,99.729,99.532,99.893,100.159,100.416,100.488,100.513,100.607,100.509,100.7,100.769,100.548,100.952,101.482,102.257,103.392,102.15,101.287,101.102,100.601,99.704,99.322,98.609,98.047,97.748,98.262,98.497,98.578,98.202,98.095
"34","26","S1 PN44EZZZMG   Other retail stores","T070263",73.762,74.444,75.165,75.679,75.893,75.346,74.742,75.42,75.31,75.254,76.762,77.136,77.015,77.126,77.1,76.913,78.432,79.999,79.382,80.541,81.084,79.622,79.744,79.867,78.047,77.316,77.355,77.037,76.732,79.379,81.238,82.634,85.624,86.636,87.493,87.998,87.515,88.622,87.027,83.55,82.583,85.432,86.093,87.159,90.811,86.903,88.765,89.154,91.639,92.581,93.544,96.594,96.383,96.749,102.986,103.881,103.398,105.121,106.559,102.42,104.498,108.291,109.219,113.23,116.511,119.64,123.526,106.422,101.046,103.701,109.135,111.203,113.026,110.54,111.304,114.677,119.997,122.169,122.743,122.375,124.061
"35","27","S1 PN446ZZZMG     Health and personal care stores","T070273",71.723,72.624,73.038,73.655,74.2,74.333,74.932,75.208,75.586,76.171,76.55,76.958,76.879,76.797,77.264,77.809,78.327,78.678,79.101,79.387,79.724,80.134,80.073,80.295,80.803,81.599,82.17,82.783,83.456,84.427,85.393,86.21,86.762,87.321,87.969,88.603,89.641,90.551,91.403,92.091,92.801,93.554,94.08,94.622,95.035,95.186,95.838,96.181,96.787,97.573,97.948,98.501,98.826,99.461,100.315,101.398,102.222,103.046,103.671,103.507,103.693,104.014,104.81,105.61,106.353,106.443,106.589,107.349,108.279,109.295,109.938,110.583,111.263,111.768,112.247,112.811,113.653,114.571,115.004,115.843,116.647
"36","28","S1 PN447ZZZMG     Gasoline stations","T070283",53.705,54.277,55.214,55.839,56.013,54.651,53.184,54.188,53.615,53.033,55.657,56.256,55.854,55.964,55.39,54.704,56.832,59.549,58.216,59.839,60.851,57.774,58.41,58.741,54.714,52.796,52.763,52.096,51.268,56.423,60.135,62.815,68.389,70.647,72.166,72.531,71.27,73.956,69.797,61.936,60.125,66.394,67.952,70.516,78.647,70.074,75.062,76.108,81.464,83.059,85.266,92.084,91.682,91.856,107.527,108.934,107.46,111.756,115.778,105.051,109.723,119.064,120.373,128.862,136.014,143.507,154.159,106.941,92.593,99.12,114.675,120.125,125.063,118.139,121.196,131.001,145.861,151.381,153.288,152.099,156.622
"37","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",107.18,107.672,107.752,108.186,108.021,107.866,108.141,108.81,108.58,109.087,109.435,109.189,109.343,109.172,109.153,109.165,109.853,110.022,109.667,109.8,109.755,109.041,109.181,108.998,108.666,108.392,107.954,107.449,106.932,106.763,105.83,105.008,105.047,105.242,105.114,105.076,104.693,104.761,104.79,104.295,103.86,103.548,103.045,102.71,102.445,101.795,101.906,101.703,101.662,101.631,100.993,100.984,100.426,100.198,99.828,99.547,99.267,99.331,98.867,98.581,98.315,97.678,96.986,96.891,96.925,96.711,96.898,96.624,96.496,96.659,96.541,95.982,95.737,95.362,94.922,94.424,94.71,94.844,95.354,94.835,95.002
"38","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",117.306,117.783,117.704,118.19,117.848,117.474,117.696,118.574,118.152,118.88,119.176,118.866,118.946,118.524,118.629,118.259,118.891,119.16,118.435,118.456,118.281,117.732,117.54,117.175,116.549,115.622,114.894,113.97,113.114,112.702,111.836,110.638,110.199,110.227,109.732,109.495,108.738,108.419,108.059,107.29,106.649,105.963,104.982,104.172,103.742,102.973,103.083,102.793,102.64,102.284,101.474,101.305,100.645,100.229,99.745,99.381,99.071,99.151,98.587,98.096,97.573,96.591,95.508,95.232,95.185,94.883,94.912,94.42,94.272,94.553,94.291,93.656,93.484,93.069,92.699,92.185,92.466,92.816,93.581,92.967,93.222
"39","31","S4 PN4512ZZMG       Book, periodical, and music Stores","T070313",88.305,88.818,89.171,89.517,89.652,89.861,90.225,90.523,90.63,90.75,91.18,91.046,91.32,91.56,91.344,91.973,92.74,92.744,92.989,93.306,93.474,92.507,93.188,93.301,93.445,94.261,94.318,94.522,94.593,94.85,93.815,93.66,94.548,95.044,95.601,95.94,96.267,97.073,97.849,97.896,97.87,98.308,98.776,99.438,99.532,99.139,99.254,99.242,99.442,100.119,99.863,100.218,99.901,100.118,100.028,99.953,99.755,99.78,99.569,99.827,100.258,100.615,101.088,101.539,101.835,101.91,102.613,103.061,103.004,102.77,103.14,102.861,102.362,102.148,101.457,101.034,101.331,100.607,100.092,99.98,99.75
