"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107"
"11","3","A   Durable goods manufacturing industries","KS30D0",249555,250871,250837,252990,254263,254940,256782,258125,258712,260327,259991,261952,264324,267053,269251,271112,272582,274129,274555,276197,277299,279138,279764,279874,277965,279451,282041,281427,282541,282027,283764,283106,284333,284120,286162,288423,286881,287813,287107,288915,288425,290818,291194,292325,291655,293341,295369,295680,298046,297862,294589,294535,292901,290528,288620,286701,283797,282746,280569,277476,276236,275343,273084,272220,271197,270208,269707,269462,269182,268984,268309,270654,270210,270200,268913,269064,268665,266795,265973,264738,263660,264570,263571,265075,265097,265612,265870,266231,266443,267371,269281,270036,269420,269874,270852,270089,273026,273768,274645,274278,274755,273911,276451,276022
"12","4","A     Wood product manufacturing","KS3210",8273,8316,8296,8308,8281,8343,8426,8581,8725,8829,8832,8805,8677,8692,8674,8738,8841,8754,8791,8865,8982,9138,9294,9276,9432,9484,9504,9443,9504,9536,9686,9557,9396,9442,9561,9810,9945,9889,9859,9939,9771,9855,9910,9887,9848,10005,10043,10099,10022,9980,9885,9864,9937,10092,10042,10034,10055,9988,9903,9725,9953,9896,10079,10009,10146,10044,9966,9974,10032,10027,10081,10054,10031,10138,10075,10133,10000,9910,9814,9716,9700,9805,9924,9909,9983,10057,10083,10128,10114,10008,9970,10007,10019,9859,9849,9788,10146,10139,10215,10177,10206,10251,10241,10257
"13","5","A     Nonmetallic mineral product manufacturing","KS3270",9634,9679,9684,9765,9821,9881,9816,9783,9776,9667,9716,9736,9727,9755,9806,9766,9800,9785,9765,9730,9765,9768,9845,9787,9827,9800,9742,9681,9792,9719,9766,9981,9979,10094,10045,10121,10182,10176,10016,10142,10081,10078,10097,10081,10102,10050,10118,10271,10244,10172,10239,10205,10126,10142,10112,9963,10002,9957,9913,9801,9736,9694,9675,9624,9573,9658,9645,9747,9743,9796,9802,9866,9897,9970,10080,10096,10223,10245,10278,10167,10118,10018,9649,9614,9590,9597,9548,9518,9544,9460,9499,9521,9489,9627,9578,9529,9597,9676,9652,9629,9610,9618,9697,9618
"14","6","A     Primary metal manufacturing","KS3310",19068,19243,19527,19418,19475,19498,19580,19762,19712,19828,19927,20205,20401,20360,20412,20632,20779,20944,21216,21469,21646,21621,21711,21812,21886,21931,21746,21777,22029,21915,22012,21990,21836,21922,22111,22273,22503,22448,22392,22610,22673,22606,22759,22502,22305,22168,22019,21863,21894,21816,21576,21554,21259,20896,20733,20520,20464,20345,20210,20047,19849,19711,19443,19390,19223,19271,19239,19396,19404,19482,19633,19686,19843,19922,19824,19746,19614,18905,18697,18486,17976,17650,17607,17434,17488,17492,17598,17608,17670,17858,17945,18051,18161,18534,18577,18676,19138,19390,19844,19933,20111,20139,20127,19960
"15","7","A     Fabricated metal product manufacturing","KS3320",29505,29548,29668,29791,29819,30151,30088,30139,30231,30340,30471,30825,30742,31020,31020,31339,31349,31941,31745,31907,32016,32005,32125,32087,32214,32018,32079,32245,32363,32163,32377,32377,32529,32765,32920,33039,33128,33112,32864,33113,33470,33833,33776,33885,33773,33793,33840,33675,33897,33859,33734,33881,33879,33642,33465,33458,33385,33384,33076,32570,32550,32443,32385,32448,32232,32142,32179,32302,32368,32308,32338,32286,32208,32197,32080,31963,32085,31959,31690,31660,31495,31635,31532,31486,31345,31483,31376,31367,31458,31449,31670,31846,31819,31803,31825,32011,32236,32453,32610,32728,32635,32361,32270,32088
"16","8","A     Machinery manufacturing","KS3330",35898,35609,35618,36238,36349,36531,36557,36478,36359,36631,36523,36794,36908,37600,37751,37584,37570,37640,37920,38187,38406,38174,38324,37962,38177,37915,38168,38259,38224,37941,37974,37720,37773,38138,38253,38416,38498,38607,38160,39072,38594,39086,39407,39799,39766,40338,40342,41063,41292,41090,41150,40852,40266,39919,39268,38856,38421,37958,37321,36873,36567,36496,36510,36098,35902,35495,35441,35264,35102,34922,34814,35212,34812,34659,34278,34490,34417,34054,34023,33713,33691,33850,33622,34055,34371,34585,34757,34627,34917,35151,35408,35572,35548,35360,35676,35756,36300,36382,36328,36499,36753,36594,37387,37645
"17","9","A     Computer and electronic product manufacturing","KS3340",44487,44869,45170,45906,46648,47066,48561,49074,49423,49870,50278,50593,50999,51512,52111,52331,52369,52137,51784,51752,51794,52065,51807,51323,50873,51756,53143,53423,53683,54039,54093,54688,55126,54650,54908,56091,55529,56099,56550,57696,59011,60383,61453,62605,62263,64080,66061,67266,69077,69837,67976,67424,67099,66728,66284,65426,62824,62129,62217,60066,60166,59672,59273,59121,58651,57645,57882,57597,57632,57575,57628,57005,56638,56486,55996,55719,55388,55447,55567,55415,55885,56649,57033,58218,57299,57614,58040,58601,58667,59298,59756,60079,60164,60761,60622,60290,60846,60435,60157,59801,59968,59719,60659,60827
"18","10","A     Electrical equipment, appliance, and component manufacturing","KS3350",12593,12700,12722,12974,13138,13235,13397,13375,13374,13348,13366,13305,13412,13454,13530,13415,13343,13340,13423,13524,13529,13660,13750,13806,13702,13659,13695,13818,13865,13866,13830,13754,13912,13938,13938,13796,13887,13863,13680,13779,13891,13951,14043,14282,14256,14378,14324,14604,14601,14688,14665,14628,14478,14295,13963,14007,13881,13921,13783,13661,13586,13572,13528,13616,13611,13591,13595,13549,13511,13456,13505,13357,13402,13282,13231,13201,13171,13038,12919,12866,12773,12763,12817,12779,12856,12598,12587,12486,12541,12597,12695,12841,12779,12649,12529,12494,12570,12508,12567,12636,12594,12574,12591,12607
"19","11","A     Transportation equipment manufacturing","KS3360",69395,70171,69327,69854,69869,69109,69327,69647,69791,70332,69172,69798,71570,72662,73739,74953,76147,77314,77421,78397,78756,80414,80514,81590,79536,80371,81266,79870,80073,79867,81063,80086,80637,79984,81151,81363,79502,79859,79729,78544,76789,76762,75427,74627,74594,73766,73821,72238,72247,71505,70600,71465,71279,70288,70269,70063,70291,70667,69811,70419,69694,69698,68119,67787,67608,67867,67199,67086,66831,67026,66145,68557,68563,68747,68299,68652,68643,68076,67592,67265,66888,67077,66397,66620,66983,66948,66789,67067,66508,66451,67153,66824,66153,65915,66722,66004,66593,67140,67675,67086,67308,66894,67636,67142
"20","12","D       Motor vehicle and parts manufacturing","KS3MV0",22466,22824,22857,23210,23588,22916,23082,23063,23447,23058,22795,22823,23024,23191,23643,23262,23226,23464,22912,22720,23037,23137,23810,23981,23811,23780,24737,24185,24319,24637,24736,24814,24606,24903,25522,25635,25676,25889,25497,25666,25814,25792,25788,25884,25880,25928,25814,25455,25324,25096,24656,25025,24720,24534,24256,24076,23808,23654,23196,22983,22753,22644,22856,23209,23363,23549,23773,23642,24005,23997,23894,24003,24310,24531,24055,24189,24166,24070,24113,24327,24015,24111,24181,24386,24952,25051,25112,25073,24931,25125,24962,25001,25153,25010,24908,24574,24920,24960,25152,25241,25200,25187,25083,25237
"21","13","D       Other transportation equipment manufacturing","KS3OT0",46897,47311,46424,46593,46219,46143,46192,46534,46284,47231,46330,46934,48515,49441,50059,51678,52919,53852,54530,55708,55739,57302,56716,57619,55730,56598,56535,55690,55760,55234,56333,55274,56036,55085,55631,55731,53826,53968,54232,52877,50973,50968,49639,48745,48717,47842,48011,46786,46926,46411,45944,46440,46558,45753,46011,45984,46479,47006,46606,47421,46920,47022,45257,44590,44261,44332,43451,43460,42854,43049,42272,44556,44261,44228,44246,44465,44475,44007,43486,42955,42883,42976,42234,42255,42066,41933,41714,42028,41612,41364,42225,41857,41037,40938,41846,41459,41701,42209,42552,41869,42134,41733,42580,41934
"22","14","A     Furniture and related product manufacturing","KS3370",7119,7121,7101,7084,7256,7245,7291,7191,7192,7162,7174,7227,7218,7274,7297,7371,7425,7346,7360,7349,7356,7389,7397,7384,7442,7478,7500,7470,7489,7533,7574,7591,7523,7647,7629,7729,7792,7841,7864,7876,7937,8002,7981,8087,8085,8043,8101,7963,8065,8088,8093,8073,8023,7975,7914,7813,7846,7767,7758,7557,7587,7555,7500,7499,7571,7643,7695,7715,7743,7715,7847,7873,7938,7878,7946,7993,7992,8019,8044,7957,7827,7789,7747,7659,7739,7719,7678,7802,7854,7945,7994,8069,8059,8155,8171,8251,8254,8230,8193,8175,8207,8224,8221,8257
"23","15","A     Miscellaneous durable goods manufacturing","KS3390",14242,14234,14237,14120,13970,14179,13822,14115,14114,14273,14390,14519,14552,14625,14808,14886,14892,14913,15154,15072,15112,14979,15100,14995,15034,15157,15243,15477,15562,15466,15412,15366,15627,15558,15667,15773,15892,15889,15952,16085,16151,16198,16280,16508,16603,16671,16668,16626,16713,16846,16666,16571,16538,16522,16536,16523,16575,16571,16529,16672,16483,16528,16530,16599,16646,16772,16817,16774,16774,16628,16505,16630,16727,16747,16903,16831,16851,16896,17127,17291,17192,17310,17327,17534,17547,17668,17615,17299,17442,17487,17545,17593,17609,17595,17646,17537,17529,17418,17216,17321,17068,17227,17473,17583
"24","16","A   Nondurable goods manufacturing industries","KS30N0",162298,162227,163113,163824,164416,164779,164365,165430,166370,167598,168413,169003,168940,169620,169986,169757,169831,169843,170406,169781,169398,169647,170752,169352,170031,169934,170611,171503,172679,172725,173066,173620,174407,175423,176756,177841,178265,178573,178485,178921,179036,179770,180385,179690,179813,179726,179444,178466,178553,177709,177444,177138,176632,175546,175391,175022,175076,174987,174867,175332,174875,174355,176037,176059,175618,176049,176707,177158,177899,177748,177171,176279,176321,177269,176860,176941,176460,177119,176653,177133,176841,176025,175774,174262,174630,175525,175688,175480,175580,176093,176581,176792,175731,176003,176590,175474,177270,177052,177249,176727,175359,175946,175759,175189
"25","17","A     Food manufacturing","KS3110",30597,30775,30950,30971,31000,31313,31290,31429,31492,31674,31788,31937,32151,32348,32140,32105,32039,32040,31997,31802,31899,31896,31902,32049,32366,32392,32517,32696,32731,32717,32836,32729,33182,33388,33641,33679,34000,34242,34550,34285,34260,34207,34210,34179,34119,33846,33974,34159,34053,33935,33871,33890,33902,33847,33892,33691,33517,33272,33615,33848,34042,34065,33951,34301,34392,34579,34584,34627,34577,34553,34563,34204,34159,34221,34415,34093,34241,34114,33923,33932,33975,33887,33801,33275,33305,33277,33374,32991,32815,32858,32824,32783,32769,32686,32569,32582,32488,32517,32476,32785,32624,32683,32614,32571
"26","18","A     Beverage and tobacco product manufacturing","KS3120",11533,11400,11352,11566,11605,11586,11740,11825,11921,12083,12218,12154,12445,12270,12382,12162,12105,12005,12055,11779,11835,12156,12200,12074,11962,12102,11836,11925,12003,11846,11665,11682,11478,11661,11613,11908,12006,12112,12037,12019,11976,12062,12003,11986,12119,12028,12058,11798,11762,11788,11984,12006,12070,11997,12271,12292,12287,12205,12214,12364,12429,12341,12535,12344,12449,12596,12374,12452,12668,12510,12338,12400,12344,12360,12283,12492,12376,12327,12343,12391,12516,12450,12417,12080,12176,12331,12181,12173,11922,12139,11978,12483,12482,12303,12182,11942,12195,12063,12098,12091,12043,11924,12104,12052
"27","19","A     Textile mills","KS3130",6744,6715,6726,6763,6724,6722,6711,6753,6704,6707,6662,6684,6696,6754,6762,6740,6784,6757,6809,6754,6798,6795,6792,6813,6815,6802,6775,6771,6767,6824,6813,6801,6849,6800,6881,7001,6871,6823,6839,6820,6783,6772,6732,6712,6663,6685,6663,6578,6548,6511,6432,6452,6436,6382,6314,6262,6222,6126,6061,5961,5775,5767,5706,5590,5600,5577,5603,5665,5631,5654,5598,5683,5710,5738,5780,5783,5800,5831,5758,5723,5807,5714,5701,5664,5614,5602,5588,5561,5551,5522,5487,5469,5462,5412,5394,5399,5356,5299,5254,5190,5158,5122,5058,4966
"28","20","A     Textile product mills","KS3140",3491,3529,3562,3602,3640,3690,3711,3729,3762,3756,3785,3801,3812,3827,3788,3758,3736,3685,3662,3665,3640,3598,3578,3581,3501,3551,3654,3702,3729,3792,3798,3812,3823,3904,3898,3924,3953,3977,4033,4068,4155,4212,4248,4245,4293,4285,4337,4341,4339,4354,4350,4354,4305,4315,4290,4336,4362,4411,4454,4509,4348,4216,4089,4055,4007,3940,3903,3812,3738,3628,3497,3425,3486,3518,3510,3498,3490,3472,3462,3490,3495,3505,3561,3630,3523,3510,3513,3541,3523,3558,3588,3585,3601,3630,3624,3643,3718,3750,3739,3678,3667,3651,3621,3633
"29","21","A     Apparel manufacturing","KS3150",8107,8093,8082,8188,8281,8384,8459,8539,8522,8585,8511,8506,8450,8441,8491,8452,8356,8347,8338,8338,8397,8436,8443,8446,8285,8352,8439,8459,8582,8666,8760,8894,9000,8935,8892,9086,9084,8965,8925,8838,8795,8744,8791,8730,8687,8710,8819,8804,8855,8737,8569,8475,8404,8320,8102,7938,7738,7558,7401,7183,7047,6937,6828,6787,6724,6775,6833,6876,6976,7030,7055,7139,7214,7248,7298,7335,7351,7429,7527,7429,7355,7295,7250,7193,7079,6873,6929,6921,6901,6956,6999,7109,7246,7278,7280,7221,7281,7364,7365,7406,7379,7347,7311,7383
"30","22","A     Leather and allied product manufacturing","KS3160",1574,1573,1551,1597,1617,1628,1624,1620,1623,1642,1630,1662,1685,1694,1698,1728,1735,1717,1720,1726,1713,1713,1733,1686,1657,1647,1647,1625,1626,1666,1659,1660,1682,1688,1695,1696,1685,1691,1682,1683,1667,1655,1653,1649,1643,1647,1636,1594,1597,1581,1588,1549,1505,1461,1454,1466,1476,1480,1472,1427,1384,1371,1322,1278,1297,1309,1335,1344,1317,1380,1366,1353,1357,1322,1320,1300,1310,1309,1243,1217,1246,1252,1264,1292,1261,1254,1232,1228,1206,1192,1187,1176,1184,1218,1239,1255,1353,1285,1286,1280,1280,1279,1269,1262
"31","23","A     Paper manufacturing","KS3220",15650,15720,15999,15847,15849,15579,15553,15616,15794,15820,15908,16130,16210,16162,16132,16176,16210,16313,16332,16382,16177,16117,16060,15764,15857,15821,15966,15969,16132,16274,16268,16550,16810,16803,16826,16811,17022,17126,17112,17235,17253,17184,17311,17192,16941,16778,16523,16267,16140,16097,15810,15668,15555,15484,15434,15389,15580,15742,15965,16079,16195,16375,16503,16549,16647,16930,16923,17016,17204,17281,17406,17479,17532,17507,17615,17638,17625,17587,17464,17367,17273,17114,16986,16762,16721,16604,16395,16274,16336,16255,16482,16527,16407,16593,16579,16500,16713,16772,16780,16798,16786,16807,16758,16481
"32","24","A     Printing and related support activities","KS3230",6558,6445,6418,6580,6677,6550,6253,6502,6483,6536,6571,6708,6464,6463,6452,6436,6524,6431,6641,6487,6578,6345,6236,6210,6297,6277,6354,6565,6492,6591,6550,6533,6678,6643,6835,6911,6915,7070,7025,6824,6838,6847,6709,6811,6790,6842,6729,6552,6542,6497,6483,6351,6330,6236,6246,6367,6190,6258,6235,6286,6472,6232,6182,6380,6402,6620,6716,6664,6529,6731,6727,6732,6706,6723,6675,6607,6616,6469,6556,6566,6537,6450,6516,6471,6345,6487,6419,6419,6654,6604,6637,6660,6780,6862,6788,6821,6613,6692,6705,6668,6627,6603,6556,6425
"33","25","A     Petroleum and coal product manufacturing","KS3240",16072,15771,16148,16045,16257,16184,15837,16433,16468,16468,16627,16606,15373,15469,15831,15935,15882,15709,15796,15511,15386,15752,16647,15812,15626,14645,15426,15118,14812,14697,14804,15182,15239,15429,15664,15515,15580,15406,15351,15629,15710,15864,15610,15315,15489,15678,15592,15208,15278,15451,15488,15812,16031,15995,15916,16223,16298,15961,15944,16411,15674,15683,16253,16325,15946,15946,16248,16024,16123,15979,15438,15805,16024,16113,16134,16553,15866,16329,16215,16832,16877,16830,16296,16285,16939,17116,16928,16841,17074,16951,17410,17023,16681,17178,17499,16513,17581,17585,17821,17867,17293,17517,18026,17971
"34","26","A     Chemical manufacturing","KS3250",46137,46275,46439,46680,46748,47010,47022,46958,47568,48200,48584,48642,49039,49560,49808,49851,49893,50070,50291,50362,49970,49991,50469,49797,50309,50548,50491,50944,51862,51707,51933,51788,51553,52031,52648,52948,52793,52806,52781,52992,53086,53745,54592,54470,54733,54865,54952,54802,55033,54419,54638,54496,54362,53884,53884,53520,53816,54289,53765,53646,53911,53982,53785,53825,53629,53478,54037,54604,54603,54608,54906,53953,53575,54219,53623,53419,53576,53935,54217,54328,53917,53825,54276,53609,53740,54492,54998,55366,55349,55630,55262,55109,54161,53636,54035,54463,54342,54091,54039,53363,53068,53566,52857,52775
"35","27","A     Plastics and rubber product manufacturing","KS3260",16306,16360,16389,16444,16516,16596,16542,16543,16557,16639,16690,16698,16725,16744,16741,16706,16834,16971,16978,17090,17059,17087,17344,17422,17588,17591,17630,17710,17806,17767,17838,17942,18073,18127,18183,18357,18349,18351,18138,18513,18496,18455,18502,18380,18314,18332,18138,18358,18407,18355,18261,18163,17846,17745,17686,17681,17745,17768,17796,17766,17541,17341,19006,18750,18592,18364,18240,18125,18580,18458,18331,18189,18309,18378,18304,18312,18277,18386,18002,17910,17888,17723,17718,18062,17878,17864,17995,18032,18118,18302,18569,18804,19018,19178,19242,19187,19494,19512,19499,19420,19412,19310,19221,19282
"36","28","A Merchant wholesale industries","KS42W0",234576,235036,236476,237090,238588,243631,243586,245057,247480,248959,251362,254081,255126,258524,260527,260575,262932,263076,264091,267554,270179,271445,273222,274423,275115,277695,278872,279139,279792,280366,283327,284147,285756,288337,291457,291968,294144,295183,296511,298393,299886,302011,302913,304248,304819,306161,307681,307035,306825,306853,307179,308323,309925,308021,305903,305827,304936,303170,300554,298639,298187,295382,295519,294228,294715,295938,297816,298123,298506,297214,297679,300485,299473,300038,300889,301331,299775,299126,299025,298467,299764,301431,301193,301975,300716,303815,304546,303753,305950,308654,312876,316268,316483,319327,322482,323129,325676,326941,327547,329405,329821,331491,331427,332943
"37","29","A   Durable goods merchant wholesale industries","KS42WD0",142658,143150,144620,145467,146881,150667,149647,150338,152528,152675,153683,156023,157284,159546,161417,161899,163125,162675,163260,165819,167288,168730,169089,170846,171527,172820,173656,172958,174504,175442,176806,176689,178158,179752,182277,182814,183634,184822,185770,187557,188981,191088,191331,192028,191864,192521,193398,192822,193750,193258,192772,192230,191894,188597,187035,185777,184458,184146,180640,178533,177476,175376,174956,174398,174204,174576,175857,176944,177325,176871,177528,178554,177716,179416,179850,180275,179065,178590,177593,176824,176951,177903,177983,180188,180574,182568,183450,183391,185792,188191,190763,193887,194420,196675,198596,199052,200902,201865,201963,202671,203602,205409,206476,206983
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KS42110",21558,21133,21534,21184,21707,22653,22599,22815,23001,22599,22408,22507,22783,23129,23695,22702,22283,21917,21641,22070,22195,22638,22220,22951,22862,23019,23384,23399,23853,23953,24355,24524,24855,24798,25263,25271,25473,25570,26030,26286,26438,26667,26282,26131,25699,25636,25728,25995,25794,25861,25700,25621,25294,25001,25100,25108,25166,25527,24933,24311,24224,23840,23793,23474,24278,24689,25151,25028,26010,26553,27394,27160,27000,27264,27419,27733,27350,27747,27116,26775,26406,27627,27424,28686,28540,29029,29422,29227,29479,29547,30271,30857,30450,29997,30250,29703,30359,30235,29486,30084,30396,31423,31486,31090
"39","31","D     Furniture and home furnishings wholesalers","KS42120",4961,4850,4766,5001,5070,4962,4899,5013,5065,5020,5104,5124,5184,5156,5091,5213,5246,5245,5277,5292,5296,5383,5285,5271,5245,5303,5303,5227,5252,5350,5382,5340,5361,5540,5411,5549,5572,5616,5686,5772,5847,5949,6019,6094,5880,5974,6036,5972,6049,5974,5993,5901,5849,5704,5658,5574,5644,5597,5587,5477,5439,5462,5335,5399,5396,5436,5531,5569,5629,5618,5632,5737,5716,5796,5874,5951,5974,5973,5840,5903,5882,5936,5997,6093,6309,6219,6268,6246,6182,6241,6297,6332,6305,6294,6328,6320,6328,6328,6329,6363,6310,6191,6243,6317
