"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37"
"11","3","A   Durable goods manufacturing industries","KP30D0",168103,173492,178350,179713,183127,181961,181948,189876,191829,193478,194910,195575,198626,200339,197422,193823,188907,184001,179139,177535,178490,180983,181767,179094,178059,177585,183169,187278,191162,193016,195444,196839,198614,199279
"12","4","A     Wood product manufacturing","KP3210",7081,7157,7420,7423,7715,7603,7502,7818,7861,7931,7736,7926,8317,7844,7597,7473,7268,7432,7462,7410,7469,7532,7434,7554,7402,7553,7751,7892,7859,8179,8207,8150,8143,8068
"13","5","A     Nonmetallic mineral product manufacturing","KP3270",7438,7607,7695,7660,7888,8053,7976,8132,8149,8008,8103,8288,8191,8132,8119,7971,7822,7936,7824,7734,7541,7206,7147,7059,7033,7013,7218,7169,7085,7189,7073,7285,7381,7517
"14","6","A     Primary metal manufacturing","KP3310",13089,13218,13332,13621,14062,13777,13566,13372,13440,13431,13576,13686,13552,13196,12870,12483,12107,11995,11910,11618,11552,11931,11800,11469,11251,10901,10878,11039,11390,11364,11653,11453,11423,11226
"15","7","A     Fabricated metal product manufacturing","KP3320",20113,20785,20946,21139,21420,21413,21488,21554,21521,21533,21589,21976,22385,22626,22371,21907,21408,20995,20747,20579,20433,20910,21006,20722,20242,19853,20073,20220,20545,21034,21084,20865,20919,20993
"16","8","A     Machinery manufacturing","KP3330",22480,23059,23582,23885,24400,24151,23447,23108,22774,23024,23348,23766,24466,24434,24531,23824,24011,22324,21582,20603,21468,21271,21150,20716,20408,20327,20705,21240,22289,22864,23901,24485,24614,24045
"17","9","A     Computer and electronic product manufacturing","KP3340",29495,30694,32320,32191,32841,33143,33663,34983,35864,37382,38654,38097,40347,42537,43459,43459,41796,37450,34661,34565,34809,34797,35458,35760,36541,38179,40357,42554,43930,45104,46663,48224,50393,51115
"18","10","A     Electrical equipment, appliance, and component manufacturing","KP3350",9056,9351,9462,9698,9779,9639,9760,9831,9791,9951,10120,10023,10509,10471,10386,10448,10294,9919,9132,8763,8597,8829,8640,8707,8454,8375,8506,8636,8471,8527,8751,8600,8658,8600
"19","11","A     Transportation equipment manufacturing","KP3360",45878,48001,49858,50116,50499,49719,49868,56307,57243,57105,56711,56546,55629,55147,52010,50159,48332,50400,50242,51113,51237,52750,53359,51207,51072,49868,51719,52256,53556,52647,52219,51829,51178,51734
"20","12","D       Motor vehicle and parts manufacturing","KP3MV0",33727,34395,36261,36531,36243,35441,35131,40125,41625,41804,41500,41815,41844,40280,38070,36570,34601,36169,35688,36602,36648,38886,39509,37430,37445,36158,37843,38350,39102,38206,37959,38169,36904,36337
"21","13","D       Other transportation equipment manufacturing","KP3OT0",12130,13627,13602,13588,14277,14304,14772,16209,15625,15303,15214,14728,13779,14870,13942,13589,13720,14221,14536,14499,14574,13894,13889,13789,13648,13705,13896,13934,14467,14433,14257,13703,14235,15249
"22","14","A     Furniture and related product manufacturing","KP3370",5593,5521,5530,5680,5983,5861,6009,6074,6203,6169,6153,6112,6073,6329,6306,6277,6201,5946,5891,5742,5752,5785,5672,5632,5502,5540,5737,5767,5794,5959,6003,6085,6204,6383
"23","15","A     Miscellaneous durable goods manufacturing","KP3390",8343,8518,8481,8633,8873,8884,8897,8937,9181,9051,8983,9221,9155,9614,9771,9834,9700,9578,9597,9324,9520,9834,9980,10194,10158,10162,10532,11003,10849,10870,10805,11123,11362,11465
"24","16","A   Nondurable goods manufacturing industries","KP30N0",147374,149466,150577,151946,153054,151731,151190,150801,152328,151546,151928,153599,152666,153770,152697,151479,150759,147715,147870,148618,148344,147824,146894,147174,145130,145296,148011,148803,150210,153037,153533,152835,153903,153608
"25","17","A     Food manufacturing","KP3110",33691,34032,34192,34508,35925,35529,35356,35549,35841,35940,35842,36049,35672,36333,36420,36311,36456,36348,36174,36534,36904,36630,36138,36663,35745,35807,35913,34556,34496,34682,35808,36312,36506,36647
"26","18","A     Beverage and tobacco product manufacturing","KP3120",9802,9774,10004,10308,10190,10167,10096,9649,9504,9393,9215,9192,9262,9364,9236,9335,9188,9376,9421,9237,8762,8480,8301,8024,8191,8262,8147,8020,8018,8300,8358,8273,8000,8405
"27","19","A     Textile mills","KP3130",4785,4693,4650,4689,4828,4592,4578,4533,4492,4546,4457,4515,4406,4385,4343,4191,4041,3848,3785,3641,3637,3767,3710,3620,3606,3284,3320,3418,3464,3443,3512,3444,3461,3405
"28","20","A     Textile product mills","KP3140",2561,2595,2649,2687,2640,2595,2600,2630,2685,2729,2779,2825,2900,2846,2780,2659,2701,2587,2632,2617,2723,2858,2820,2866,2808,2773,2861,3050,3156,3010,3002,2986,3066,2999
"29","21","A     Apparel manufacturing","KP3150",5548,5715,5818,5836,5584,5485,5427,5259,5333,5267,5139,5099,5180,5054,4958,4918,4828,4610,4396,4425,4419,4566,4555,4515,4469,4339,4388,4608,4699,4856,4788,4700,4420,4283
"30","22","A     Leather and allied product manufacturing","KP3160",938,922,903,891,917,864,829,839,800,796,825,845,778,815,796,819,788,721,658,698,753,831,888,885,881,878,872,849,824,841,843,771,877,868
"31","23","A     Paper manufacturing","KP3220",13496,13683,13605,13928,13832,13890,13777,13789,14049,13697,14075,14242,14194,13803,13559,13496,13541,13016,12720,12584,12438,12727,13218,13090,13322,13536,13411,13643,14098,14377,14257,14086,14353,14339
"32","24","A     Printing and related support activities","KP3230",8408,8493,8509,8544,8528,8550,8635,8604,8682,8625,8659,8683,8666,8896,8713,8522,8601,8378,8178,8028,8006,8048,8108,8140,7993,7954,7706,7689,7731,7846,7712,7645,7696,7662
"33","25","A     Petroleum and coal product manufacturing","KP3240",18892,19648,20142,19367,19529,19773,19569,19371,19969,19438,19688,20315,19662,19672,19481,19436,19320,18893,19518,21293,21810,19399,19321,18588,17231,18915,19076,20165,20762,21309,21202,20678,22097,22170
"34","26","A     Chemical manufacturing","KP3250",36291,36746,36790,37261,37157,36627,36383,36310,36499,36653,36747,36996,36990,37437,37666,37362,36986,35918,36140,35745,34942,35601,34945,35703,36107,34972,37390,37544,37499,38392,37793,37753,36983,36525
"35","27","A     Plastics and rubber product manufacturing","KP3260",13084,13325,13552,13961,13866,13780,14003,14221,14600,14408,14522,14939,14988,15175,14735,14398,14255,13934,14188,14028,14294,14850,14880,15061,14925,14613,14937,15350,15537,16001,16156,16072,15914,15724
"36","28","A Merchant wholesale industries","KP42W0",186977,188823,191612,193517,198764,201477,204506,208139,212186,217236,220672,225366,225346,228259,230107,231207,230705,227276,228570,228171,229678,233320,234440,234049,231786,232940,237189,241175,245687,251526,254153,257460,258704,261122
"37","29","A   Durable goods merchant wholesale industries","KP42WD0",90798,92820,94902,96293,99355,101114,102204,103474,107529,110747,113412,116736,117642,118611,119055,119280,118873,116358,115476,113251,114488,116635,117459,115852,115475,116619,119160,122967,127260,133063,133644,136895,137636,139512
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KP42110",13910,14081,13873,13759,14255,14563,14800,14717,15698,16209,16614,16952,16734,16628,16504,16675,17074,17423,17227,17550,17879,18286,19152,18920,18630,18821,19079,19839,19852,20590,20469,20461,20939,20924
"39","31","D     Furniture and home furnishings wholesalers","KP42120",3321,3241,3320,3412,3429,3414,3429,3419,3482,3547,3678,3717,3831,3932,3934,3877,3868,3720,3660,3638,3649,3730,3633,3594,3676,3702,3804,3849,3970,4058,4130,4091,4083,4132
"40","32","D     Lumber and other construction materials wholesalers","KP42130",5024,5028,5084,5101,5179,5285,5540,5745,5656,5847,5878,6151,5996,5866,5838,5979,6003,6069,6074,6318,6610,6425,6253,6381,6597,6531,7183,7762,8167,8605,8618,8866,8979,8601
"41","33","D     Professional and commercial equipment wholesalers","KP42140",12312,13118,13736,14768,15849,16713,17626,18295,19641,20851,21853,22736,22440,22316,22546,22437,23093,23413,23132,22770,23671,24511,25530,25910,26111,26289,26554,27277,28326,28462,29150,29818,29664,30427
"42","34","D       Computers and software wholesalers","KP42430",5232,5852,6387,7003,7735,8656,8972,9277,10593,11389,12277,12915,12801,12597,12451,12311,12642,12471,12381,12267,12553,13198,14481,14292,14261,14472,14613,15773,17200,17806,18546,19476,19884,20467
"43","35","D       Other professional and commercial equipment wholesalers","KP424X0",8011,8002,7907,8276,8521,8198,8875,9250,9111,9489,9550,9783,9628,9721,10102,10129,10440,10874,10690,10456,11007,11253,11212,11648,11832,11843,11965,11845,11834,11597,11706,11702,11379,11637
"44","36","D     Metal and mineral (except petroleum) wholesalers","KP42150",7676,7890,7975,8027,7948,7878,8008,8026,8366,8134,8016,8401,8717,8518,8461,8522,8259,8355,8273,7764,7361,7720,7567,7127,6794,7016,7142,7250,7837,8294,8137,8063,8050,8352
"45","37","D     Electrical goods wholesalers","KP42160",13979,14387,14846,14650,14881,15169,15173,15394,15853,16589,17398,18564,19344,19988,20506,20320,19658,17909,17414,17533,17411,17658,17415,17334,17412,17517,18137,19128,19823,21523,21476,21828,21951,22280
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KP42170",4801,4886,4938,5003,5083,5118,5163,5219,5319,5357,5393,5389,5538,5654,5597,5613,5463,5209,5278,5429,5528,5407,5363,5235,5328,5311,5396,5489,5553,5720,5709,5776,5790,5743
"47","39","D     Machinery, equipment, and supplies wholesalers","KP42180",18553,18892,19367,19678,20648,20819,20411,20259,20325,20586,20761,20739,20852,21069,21245,21052,21001,20159,20121,18776,18278,18867,18360,17903,17735,18226,18772,18788,20012,20968,21606,22575,22313,23176
"48","40","D     Miscellaneous durable goods wholesalers","KP42190",12714,12555,12893,12717,12732,12631,12340,12600,13306,13651,13790,14041,14177,14638,14428,14816,14475,14177,14361,13508,14228,14212,14530,13917,13727,13720,13549,14070,14178,15058,14740,15758,16151,16204
"49","41","A   Nondurable goods merchant wholesale industries","KP42WN0",96841,96539,97164,97622,99751,100643,102637,105073,104800,106564,107267,108593,107671,109644,111067,111949,111849,110907,113029,114816,115096,116593,116892,118012,116174,116230,117966,118314,118752,119125,121085,121335,121851,122485
"50","42","D     Paper and paper products wholesalers","KP42210",6328,6212,6204,6184,6189,6332,6440,6702,6787,6906,6940,6909,6918,6590,6607,6585,6516,6473,6356,6397,6421,6516,6537,6512,6553,6433,6457,6647,6691,6805,6670,6792,6724,6777
"51","43","D     Drugs and druggists' sundries wholesalers","KP42220",9476,9851,10199,10284,10923,10424,10762,11237,11798,12399,12557,12921,13121,13885,14356,14877,15517,15856,16929,18008,18638,19018,18875,19403,19694,20462,21100,21377,21391,22099,22843,23207,23664,24072
"52","44","D     Apparel, piece goods, and notions wholesalers","KP42230",6893,6946,7128,7032,7251,6901,6790,6887,7055,7181,7143,7217,7285,7500,7354,7483,7388,7551,7452,7728,7845,8170,8315,8055,7880,7769,7998,8209,8236,8221,8267,8494,8456,8919
"53","45","D     Grocery and related products wholesalers","KP42240",27938,27985,27766,27589,28539,28923,29261,29346,29272,29783,30277,31199,31335,31646,31947,32375,31584,31406,31324,31489,31578,32126,32897,33175,33092,33135,33095,31916,32626,31824,32374,32071,32462,32632
"54","46","D     Farm product raw material wholesalers","KP42250",7764,7483,7732,8337,7609,7520,8277,8487,8176,8592,9007,8952,8321,8810,9682,8970,9179,8916,8758,8566,8632,8975,8257,8904,8587,8329,8683,9158,8698,8476,9152,9886,9022,8894
"55","47","D     Chemical and allied products wholesalers","KP42260",4682,4855,4952,4843,4857,4780,4789,4876,4754,4883,4898,4945,4910,5050,5080,5151,5052,4978,5089,5110,5211,5348,5298,5132,5024,5047,5039,5063,4951,4919,4957,4957,4994,5078
"56","48","D     Petroleum and petroleum products wholesalers","KP42270",16014,15678,15979,15796,16832,17739,18480,19381,19507,17873,17120,16184,15062,15336,15798,15949,16346,15834,16510,17699,16976,16888,16778,16958,15524,15884,15908,15977,16367,16388,16022,15196,15299,14915
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",4923,4920,5113,5219,5171,5259,5438,5489,5583,5704,5799,5956,5922,5934,5947,6040,6026,5992,5967,6099,6324,6398,6389,6369,6431,6426,6635,6597,6320,6601,6641,6804,6918,7081
"58","50","D     Miscellaneous nondurable goods wholesalers","KP42290",13197,13077,12534,12499,13018,13738,13412,13915,13179,13709,13728,14267,14741,14876,14334,14551,14232,13893,14658,13952,13576,13234,13640,13501,13442,12787,13031,13284,13439,13796,14120,14138,14470,14525
"59","51","A Retail trade industries","KP440",216417,216696,222024,223917,227166,233493,234224,241751,247953,251111,255238,260276,265545,263910,266709,267268,269089,271851,271139,283916,281483,282943,286245,287486,288685,294526,303409,306995,311682,313578,319169,324387,327554,333389
"60","52","A   Motor vehicle and parts dealers","KP4410",56547,55560,58024,58371,58572,61784,59728,63261,65168,66892,68799,69202,72373,69667,70111,68503,69608,70895,69604,78038,72579,72665,75582,74062,74293,76844,79240,80015,81096,81383,82623,83816,82892,85411
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KP44230",9855,10229,10655,11009,11419,11611,12180,12666,13071,13613,14272,14756,15415,15690,15886,15755,16214,16416,16855,17690,18478,18761,18821,19351,19362,20486,21695,22406,22760,23188,23978,24339,25145,25639
"62","54","A   Building material and garden equipment and supplies dealers","KP4440",19223,19412,19779,20076,20372,20885,21292,22190,22550,22425,22594,23729,24472,23700,24053,24489,25146,25760,25174,25546,26109,26929,26706,26758,26948,27985,28913,29280,29690,30683,30945,31637,31871,32699
"63","55","A   Food and beverage stores","KP4450",37640,37495,37647,37635,37569,37816,38178,38298,38363,38731,38914,39340,38808,39538,39432,39629,39650,39845,39905,40137,39664,39253,39165,39381,39633,39584,39947,39721,40070,40206,40443,40864,41253,41439
"64","56","A   Clothing and clothing accessories stores","KP4480",11527,11454,11878,12104,12449,12703,12691,13072,13563,13860,13965,14062,14351,14676,15006,14993,14861,14869,14772,15106,15486,15603,15488,16082,16044,16482,16997,17252,17772,17507,17724,18204,18584,19039
"65","57","A   General merchandise stores","KP4520",28698,28804,29491,29714,30394,30924,31172,31947,33130,33442,34086,34688,35010,35514,36351,36820,37020,37562,38187,39290,39721,40126,40119,41002,41639,42258,43845,44185,45365,45523,46280,47220,47931,48641
"66","58","D     Department stores","KP45210",18716,18748,19138,19265,19324,19432,19402,19765,20314,20257,20449,20416,20523,20616,20735,20903,20628,20454,20584,20704,20566,20453,20054,20182,20029,20207,20728,20494,20702,20459,20679,20945,20902,20913
"67","59","D     Other general merchandise stores","KP45290",9907,9985,10282,10379,11021,11453,11740,12157,12797,13173,13629,14272,14487,14899,15617,15916,16388,17096,17586,18555,19110,19616,19989,20729,21491,21923,22967,23512,24453,24828,25350,26006,26722,27388
"68","60","A   Other retail stores","KP44X0",53537,54270,54963,55333,56658,58038,59241,60484,62249,62205,62606,64510,65103,65126,65877,67087,66617,66528,66698,68113,69701,69896,70626,71199,71093,71411,73492,75023,75912,76091,78307,79462,81158,81936
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","and the 2000 current-dollar value of the corresponding series, divided by 100.  Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","estimates are usually not additive.  The residual line is the difference between the first line and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
