"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"11","3","       Change in private inventories","A014RC1",11.5,9.2,10.2,5.8,1.8,5.1,5.1,-4,12.3,10.9,10.2,-0.3,3.2,12,13.7,7.5,10.6,18.2,9.8,25,12.5,17.4,5.6,20.4,-10,-14,-1.4,0.3,14.7,22.4,20.8,10.5,14.8,19.5,30.9,24.1,25.5,24.3,25,28.5,23.9,27.4,12.1,8.6,9.9,7.8,-33.9,-9.1,38.8,11.7,44,24.8,-21.5,-4.2,5.8,-39.8,-35.1,-7.7,-4.2,23.9,73,69.3,71.3,48,16.2,21.6,16.3,33.1,30.4,15.7,-7,-12.8,28,16.5,1,63.1,17,19.6,18.2,19.1,48.1,36.3,9.8,16.6,14,33.7,21.9,-11.3,-15.5,-18,0.8,31.1,0.2,23.2,20.5,21.3,35.9,24.1,6.6,16.6,45.4,81.4,53.2,75.1,61.2,33.8,11.3,18.4,6.9,30.5,51.1,34.7,49.8,88.4,67.9,77.7,105.1,37.3,52.4,60,83.4,35.1,40.5,84.2,16.2,90.4,57.2,54.3,-30.6,-11.6,-30.1,-80.8,-0.2,19.1,25.3,29.8,31,-0.4,8.1,38.4,48.9,76.2,62.3,68,99.5,30.6,17.9,90.2,74.4,77.3,77.1,39.1,20.2,47.1,48.6,21.9,-20.1,-23.9,-18.8,-65.1,-145.6,-187.9,-205.9,-50.8,12.1,50.1,121.5,62.4,21.5,45.8,-13.5,91.9,102.9,66.8,81.6,13,63.4,77.2,144.8,146.3
"12","4","Goods","A353RC1",424.6,425.4,433.1,433.7,436.2,443.9,447.3,435,462.1,464.5,470.3,465.8,480,504.3,515.3,531.9,561.2,582.7,585.8,611.7,612,624.7,632.1,649.3,640.1,653.1,689.9,708.5,736.3,751.8,765.2,774.1,792.3,816.7,846.4,862.5,864.9,930.9,951.4,993.4,1017.2,1036.4,1066,1075.4,1104,1096.5,1104.4,1156.9,1243.2,1231,1297.5,1271.1,1235.4,1267.5,1264.1,1241.1,1255.9,1319.1,1352.5,1433.1,1492,1525.2,1545.2,1560.5,1567.5,1582.7,1610.4,1621.1,1632.5,1630.1,1653.2,1660.3,1678.1,1711.4,1740,1799.2,1815.3,1861.6,1888.7,1932,1987.6,2033.7,2058.9,2051.6,2101.2,2124.9,2133.8,2098,2105.8,2131.4,2161.4,2172.3,2176.5,2223.4,2252.3,2284.9,2298.2,2322.5,2315.4,2381,2435.1,2486.4,2504.9,2579.2,2587.9,2578.7,2606.8,2653.6,2676.1,2749.8,2793.3,2820.3,2873.7,2942.9,3000.1,3018.5,3057.2,3027.8,3087.8,3179.8,3226.7,3250.3,3294.5,3373.9,3350,3475.5,3462.9,3463.6,3388.5,3421.6,3376.7,3393,3422.2,3422.8,3453.9,3410,3425.9,3443.2,3579,3640,3652,3690.9,3723.8,3777.9,3854.8,3865.4,3910.9,3934.1,4050.5,4085.6,4123.2,4176.7,4200.5,4291.6,4331.1,4354.1,4266.8,4295.7,4263.7,4042.4,4016.6,4015.2,4034.1,4173.7,4263,4320.9,4448.9,4546.2,4536,4617.8,4651.6,4805.8,4882.3,4912.3,5013.1,4998.8,5072.4,5103.7,5257.3,5350.7
"13","5","    Final sales","A325RC1",413.1,416.2,422.9,427.9,434.3,438.8,442.2,439,449.8,453.6,460.1,466.1,476.8,492.3,501.5,524.4,550.7,564.5,576,586.7,599.5,607.3,626.6,628.9,650.1,667.1,691.3,708.2,721.6,729.4,744.4,763.6,777.4,797.2,815.6,838.4,839.5,906.7,926.4,964.9,993.3,1009,1053.8,1066.9,1094.1,1088.7,1138.3,1166,1204.4,1219.3,1253.5,1246.3,1256.8,1271.7,1258.3,1280.9,1290.9,1326.8,1356.7,1409.1,1419,1455.8,1473.8,1512.6,1551.2,1561,1594.1,1588,1602.1,1614.4,1660.2,1673.1,1650.1,1694.9,1739,1736.2,1798.3,1842,1870.5,1912.8,1939.5,1997.4,2049.1,2035,2087.2,2091.2,2111.9,2109.4,2121.3,2149.5,2160.5,2141.2,2176.3,2200.2,2231.8,2263.6,2262.2,2298.4,2308.8,2364.3,2389.7,2405,2451.7,2504,2526.7,2545,2595.5,2635.2,2669.2,2719.2,2742.3,2785.6,2824,2854.5,2932.2,2940.9,2952.1,2990.4,3035.4,3119.8,3143.3,3215.2,3254,3289.6,3333.8,3385,3405.7,3409.3,3419.1,3433.2,3406.8,3473.8,3422.4,3403.7,3428.6,3380.2,3394.9,3443.5,3570.9,3601.6,3603.1,3614.6,3661.5,3709.9,3755.3,3834.7,3892.9,3843.9,3976.1,4008.3,4046.1,4137.6,4180.4,4244.5,4282.4,4332.2,4286.9,4319.6,4282.5,4107.5,4162.3,4203.1,4240,4224.5,4250.9,4270.8,4327.4,4483.8,4514.6,4572,4665.1,4713.8,4779.3,4845.5,4931.5,4985.8,5009,5026.4,5112.5,5204.4
"14","6","    Change in private inventories","A014RC1",11.5,9.2,10.2,5.8,1.8,5.1,5.1,-4,12.3,10.9,10.2,-0.3,3.2,12,13.7,7.5,10.6,18.2,9.8,25,12.5,17.4,5.6,20.4,-10,-14,-1.4,0.3,14.7,22.4,20.8,10.5,14.8,19.5,30.9,24.1,25.5,24.3,25,28.5,23.9,27.4,12.1,8.6,9.9,7.8,-33.9,-9.1,38.8,11.7,44,24.8,-21.5,-4.2,5.8,-39.8,-35.1,-7.7,-4.2,23.9,73,69.3,71.3,48,16.2,21.6,16.3,33.1,30.4,15.7,-7,-12.8,28,16.5,1,63.1,17,19.6,18.2,19.1,48.1,36.3,9.8,16.6,14,33.7,21.9,-11.3,-15.5,-18,0.8,31.1,0.2,23.2,20.5,21.3,35.9,24.1,6.6,16.6,45.4,81.4,53.2,75.1,61.2,33.8,11.3,18.4,6.9,30.5,51.1,34.7,49.8,88.4,67.9,77.7,105.1,37.3,52.4,60,83.4,35.1,40.5,84.2,16.2,90.4,57.2,54.3,-30.6,-11.6,-30.1,-80.8,-0.2,19.1,25.3,29.8,31,-0.4,8.1,38.4,48.9,76.2,62.3,68,99.5,30.6,17.9,90.2,74.4,77.3,77.1,39.1,20.2,47.1,48.6,21.9,-20.1,-23.9,-18.8,-65.1,-145.6,-187.9,-205.9,-50.8,12.1,50.1,121.5,62.4,21.5,45.8,-13.5,91.9,102.9,66.8,81.6,13,63.4,77.2,144.8,146.3
"15","7","  Durable goods","A354RC1",212.7,209,215.8,215.7,209.6,213,218.6,199.7,220.9,219.8,227.1,222.6,235.7,246.3,252.6,268,286.7,295.8,297.7,299.3,300.5,306.1,321.2,331.2,309.3,322.4,339.3,349.4,372.9,386.6,397.9,410.4,422.5,432.3,447.8,457.5,465.9,503.7,507.3,545.4,561.5,562.4,572,577.3,594.8,568.9,575.7,621.4,648.7,655.7,673.3,644.5,627.5,654.5,651.5,625.5,627.3,695.9,728.7,780.2,806.9,826.8,839,870.7,851.6,875,884.2,888.7,892.2,899.2,920.5,925.1,934.6,960.5,972.8,1010.9,1016.4,1044.9,1066.6,1099.1,1120.3,1128.9,1158.6,1155.3,1184.3,1179.7,1181.6,1143.6,1117.6,1145.1,1184,1166,1166,1209.8,1223,1243.5,1267.8,1288.7,1289.3,1334.9,1359.2,1381.5,1401.7,1442.6,1469.7,1462.1,1488,1527.2,1530.8,1571.4,1614.5,1617.9,1668.3,1713.7,1757.7,1773.8,1810.5,1791.5,1833.8,1896.2,1916.4,1929.4,1984.1,2025.1,2047.7,2101.5,2089.5,2093.4,2032.5,2022.8,1974.2,1990.8,2015.4,2014,2038.9,2005,1998.7,2027.9,2088.9,2137.8,2136.1,2157.2,2183.9,2209.7,2277.9,2298.9,2340.2,2351.3,2394.8,2422.9,2450.4,2454.7,2486.2,2521.8,2546.9,2613.3,2530.2,2498.3,2498.8,2340.9,2193,2184.4,2212.2,2277.7,2381.9,2422.2,2473.8,2505.3,2550.9,2595.1,2630,2678.6,2735.2,2754.9,2783.1,2781.5,2788.9,2818.8,2866.3,2907.9
"16","8","    Final sales","A326RC1",206.6,205,208.7,209,210.8,212.9,213,205,214.2,217.1,221.6,225.8,233.1,241,245,258,275.3,282.1,283.9,286.1,292.7,301,311.8,310,317.1,329.2,345.6,358.2,368.3,374,384.6,397.8,414.8,425.2,435.2,447.1,445.4,486.5,496,521.6,539.6,541.8,568.3,572.4,592.6,570.9,592.4,614.3,637.9,645.6,663.2,646.2,649.1,654.1,653.5,666.4,659.2,693.4,715.8,753.9,763,785.6,797.4,831.7,849.5,867,887.6,877.9,875.9,893,935.3,940.2,906.2,938.2,977.3,965.3,1007.9,1029.9,1035.1,1063.1,1081.3,1110.7,1156.8,1134.2,1182.9,1157.2,1164.5,1153.8,1149.1,1171.1,1180.3,1166.6,1183,1200.8,1224,1246.4,1243.3,1275.2,1277.5,1316.1,1334,1339.7,1370.6,1397.8,1421.7,1429.6,1464.7,1496.9,1520.6,1552.5,1575.8,1609.3,1639.8,1660.7,1725.4,1727.6,1740.6,1768.8,1802.1,1863.4,1864.9,1917.9,1957.8,1964.9,2030.5,2043.6,2057.1,2058.6,2077,2047.7,2008,2065.3,2006.8,1996.7,2023.6,1973.5,1970.4,2024.6,2095.8,2103.8,2101.8,2108.2,2145.9,2177.5,2211.5,2278.4,2320.5,2290.3,2368.8,2378.2,2397.9,2439.4,2469.7,2518,2532.8,2585.4,2548.8,2545.4,2507.8,2365.7,2333,2328.7,2347,2326.6,2359,2386.3,2407.1,2474.7,2502.1,2546.1,2590.3,2631.4,2665,2683.8,2705.3,2742.2,2766.9,2788.2,2802.6,2830.4
"17","9","    Change in private inventories \1\","A355RC1",6,4,7.1,6.7,-1.2,0.1,5.6,-5.4,6.7,2.7,5.5,-3.2,2.6,5.2,7.6,10,11.4,13.6,13.8,13.2,7.8,5.1,9.4,21.2,-7.8,-6.8,-6.4,-8.9,4.6,12.7,13.3,12.7,7.7,7.1,12.6,10.5,20.6,17.2,11.3,23.8,22,20.7,3.7,4.9,2.2,-2.1,-16.7,7.1,10.9,10.1,10.1,-1.7,-21.6,0.4,-2,-40.9,-31.9,2.6,12.9,26.3,43.9,41.2,41.6,39.1,2.2,8,-3.5,10.9,16.3,6.2,-14.8,-15.1,28.4,22.3,-4.5,45.6,8.5,14.9,31.5,35.9,39,18.2,1.8,21.1,1.4,22.5,17.1,-10.2,-31.5,-26,3.7,-0.6,-17,9,-0.9,-2.9,24.4,13.5,11.8,18.8,25.1,41.8,31.1,44.8,48,32.5,23.3,30.4,10.2,18.8,38.7,8.6,28.5,53,32.3,46.2,69.9,22.7,31.8,32.8,51.5,11.5,26.3,60.3,17.2,57.9,32.3,34.8,-44.5,-24.9,-33.8,-74.6,8.5,17.3,15.3,31.5,28.3,3.2,-6.9,34,34.3,49,38,32.2,66.4,20.6,19.7,61,26,44.7,52.5,15.3,16.6,3.9,14.1,27.9,-18.6,-47.1,-9.1,-24.8,-140,-144.3,-134.8,-48.9,22.9,35.9,66.7,30.6,48.8,49,39.8,47.2,70.2,71.1,77.8,39.3,22,30.7,63.7,77.5
"18","10","  Nondurable goods","A356RC1",212,216.4,217.3,218,226.6,230.9,228.7,235.3,241.2,244.7,243.1,243.3,244.2,258,262.7,263.9,274.5,287,288.1,312.3,311.5,318.6,310.9,318.2,330.8,330.7,350.7,359.2,363.4,365.2,367.3,363.7,369.8,384.4,398.6,405,399,427.2,444.1,448,455.6,474,494,498.1,509.2,527.6,528.7,535.4,594.4,575.3,624.2,626.6,607.9,613.1,612.6,615.6,628.6,623.2,623.8,652.9,685.1,698.4,706.2,689.8,715.8,707.7,726.3,732.4,740.3,730.9,732.7,735.2,743.6,750.9,767.2,788.3,798.9,816.8,822.1,832.9,867.3,904.8,900.3,896.3,916.9,945.2,952.2,954.4,988.1,986.4,977.4,1006.3,1010.5,1013.6,1029.3,1041.4,1030.4,1033.9,1026.1,1046,1075.9,1104.9,1103.2,1136.6,1118.2,1116.6,1118.8,1126.3,1145.3,1178.4,1178.9,1202.4,1205.4,1229.1,1242.4,1244.7,1246.6,1236.2,1253.9,1283.7,1310.3,1320.8,1310.4,1348.7,1302.3,1374,1373.5,1370.2,1356,1398.8,1402.5,1402.2,1406.8,1408.8,1415,1405.1,1427.1,1415.3,1490.1,1502.2,1515.8,1533.7,1539.8,1568.3,1576.9,1566.4,1570.7,1582.8,1655.7,1662.7,1672.8,1722.1,1714.3,1769.7,1784.1,1740.9,1736.6,1797.3,1765,1701.4,1823.7,1830.8,1821.9,1896,1881.1,1898.7,1975.1,2040.9,1985.1,2022.7,2021.6,2127.1,2147.1,2157.4,2230,2217.3,2283.6,2284.8,2391.1,2442.7
"19","11","    Final sales","A334RC1",206.5,211.2,214.2,218.9,223.5,225.9,229.2,234,235.6,236.5,238.5,240.3,243.7,251.3,256.5,266.4,275.4,282.4,292.2,300.5,306.8,306.3,314.7,318.9,333,337.9,345.7,350,353.3,355.4,359.8,365.8,362.7,372,380.3,391.3,394.1,420.1,430.4,443.3,453.7,467.3,485.6,494.5,501.5,517.8,545.9,551.7,566.6,573.7,590.3,600.1,607.7,617.6,604.8,614.5,631.7,633.4,640.9,655.2,656.1,670.2,676.5,680.9,701.8,694,706.5,710.2,726.2,721.4,724.9,732.9,744,756.7,761.7,770.8,790.4,812.1,835.5,849.7,858.2,886.7,892.3,900.9,904.3,934,947.5,955.6,972.2,978.4,980.2,974.6,993.2,999.4,1007.8,1017.2,1018.9,1023.2,1031.3,1048.2,1055.7,1065.2,1081.1,1106.2,1105,1115.4,1130.7,1138.3,1148.6,1166.7,1166.5,1176.3,1184.2,1193.7,1206.8,1213.2,1211.5,1221.6,1233.3,1256.4,1278.4,1297.2,1296.2,1324.7,1303.3,1341.5,1348.6,1350.7,1342.1,1385.5,1398.8,1408.5,1415.6,1407,1405,1406.8,1424.5,1418.9,1475.1,1497.9,1501.3,1506.4,1515.6,1532.4,1543.8,1556.4,1572.4,1553.6,1607.3,1630.1,1648.2,1698.3,1710.7,1726.5,1749.6,1746.8,1738.2,1774.2,1774.6,1741.8,1829.2,1874.4,1893.1,1897.9,1892,1884.5,1920.2,2009.1,2012.4,2025.9,2074.8,2082.4,2114.3,2161.7,2226.2,2243.7,2242.2,2238.2,2310,2374
"20","12","    Change in private inventories \1\","A357RC1",5.4,5.2,3.1,-0.9,3,5,-0.5,1.4,5.6,8.2,4.7,2.9,0.6,6.8,6.2,-2.5,-0.9,4.6,-4,11.8,4.7,12.3,-3.8,-0.7,-2.2,-7.1,5,9.2,10.1,9.8,7.5,-2.1,7.1,12.4,18.3,13.7,4.9,7,13.7,4.7,1.9,6.7,8.4,3.6,7.7,9.8,-17.1,-16.3,27.9,1.6,33.9,26.5,0.2,-4.6,7.8,1.1,-3.2,-10.2,-17.1,-2.3,29.1,28.2,29.8,8.9,14,13.7,19.8,22.3,14.1,9.5,7.8,2.3,-0.4,-5.8,5.5,17.5,8.4,4.7,-13.4,-16.8,9.2,18,8,-4.6,12.6,11.2,4.7,-1.2,15.9,8,-2.8,31.7,17.3,14.2,21.5,24.2,11.5,10.6,-5.2,-2.2,20.2,39.7,22.1,30.3,13.1,1.2,-11.9,-11.9,-3.3,11.7,12.4,26.1,21.3,35.4,35.7,31.5,35.2,14.6,20.6,27.2,31.9,23.6,14.2,24,-1,32.5,24.9,19.5,13.9,13.3,3.7,-6.3,-8.8,1.8,10,-1.7,2.7,-3.6,15.1,4.4,14.5,27.3,24.3,35.9,33.1,10.1,-1.7,29.2,48.4,32.6,24.6,23.8,3.6,43.2,34.6,-6,-1.6,23.1,-9.7,-40.4,-5.6,-43.6,-71.2,-1.9,-10.9,14.2,54.9,31.8,-27.3,-3.3,-53.2,44.7,32.8,-4.3,3.8,-26.3,41.4,46.6,81.1,68.8
"21","13","Services \2\","A341RC1",461.8,475.4,487,498.4,508.6,517.3,529,539.3,553.9,565.6,576.4,589.4,608.5,619.2,629.4,642.7,655,670.2,683.7,700.1,715.6,737.9,759.6,787.4,813.1,838.7,852,877.4,896.2,911.7,933,960.2,986.7,1010.3,1037.8,1064.4,1096.4,1129,1154.6,1184.4,1213.2,1245.8,1274.9,1318.9,1356,1392.4,1436,1493.4,1533.9,1578,1608.4,1646.5,1681.8,1713,1760.4,1817.8,1866.1,1900.1,1953,1965,2004.4,2056,2099.3,2137.9,2208.6,2251.5,2311.9,2350.7,2390.6,2432.6,2471,2510.9,2556.9,2602.2,2642.5,2695.7,2756.6,2812.1,2877.1,2939.4,2996.7,3054.7,3103.2,3162.1,3223.5,3293.4,3349.5,3397.1,3436.1,3494.6,3541.2,3589.3,3672.4,3729.6,3796,3857.4,3892.5,3939.3,4005.4,4044.6,4094.8,4153.2,4211,4254.1,4307.6,4375.7,4434.5,4472.2,4528.5,4595.6,4635.9,4718.3,4766.2,4842.4,4908.3,4981.2,5034.4,5127.6,5190.6,5261.8,5328.5,5405.4,5506.9,5619.6,5721,5829.3,5908,6006.4,6109.2,6167.7,6212.4,6269,6365.8,6463.9,6538.6,6625.9,6710.2,6816.5,6890.1,6987.9,7125.2,7226.1,7345.1,7454.5,7586.5,7694.5,7832.5,7947.6,8068.4,8187.4,8286,8408.1,8551.7,8647.8,8771.8,8899.6,9011,9130.5,9207.8,9186.2,9138.9,9180.3,9232.9,9315.9,9379.6,9483.1,9561.5,9638.3,9697,9806.1,9891.2,9915.6,10040.1,10110.7,10186.6,10223.1,10279.9,10327,10380.2,10455.4
"22","14","Structures","A755RC1",109,110.5,111.9,108.6,108.7,108.9,112.2,117.2,121.8,129.3,133.6,138.4,145.4,146.6,149.2,157.4,164.4,164.6,167.3,167.3,167.1,171.6,171.6,166.3,166.4,164.6,171.8,180,192,193.4,192.3,204.1,213.6,233.2,238.2,241.8,247.4,276.6,293,304.4,301.2,313.7,329.5,336.4,336.5,311.1,319.6,343.2,354.7,358.2,355.3,365.9,356.6,350.7,342.6,348.9,358.3,364.6,386.8,398.1,416.4,433.8,442.9,449.1,460.9,468.1,472.3,481.3,493.2,492.5,495.4,498.1,501.2,507.8,518.1,527.7,518.8,533.9,533.7,541.4,543,540,549.5,549.8,566.2,556.3,546.1,528.2,512.9,517.5,515.9,517.6,531.9,539.3,538.2,555.2,557.5,567.8,583.4,607.2,606.3,630.3,636.3,643.4,649.7,650.4,665.2,673.7,688.5,716.1,729.7,748.4,762.1,766.6,783.3,788.6,798.2,839.4,868.2,884,895.1,905.8,917.3,938.8,965.2,979,992.9,1005.4,1014.8,1052.3,1055.2,1040.6,1049.3,1051.3,1047.3,1069.8,1094.7,1111.7,1159.2,1190.6,1214.2,1266.6,1300.5,1331.4,1374.8,1415.8,1463.2,1501.6,1531,1529.9,1501.3,1483.5,1482.7,1485.1,1469,1436.2,1395.1,1391,1372.8,1318.2,1225.7,1146.6,1117.4,1074.6,1030,1075.2,1039.4,1047.2,1009.8,1038.1,1069.1,1097.4,1119.2,1137.5,1156.4,1198.4,1183,1230.4,1275.4,1274.6
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RC1",45.6,42.8,47.1,43.2,38.3,42,41.1,27.4,51.7,49,47.7,50.8,54.6,54.9,50.6,59.9,68,63.9,62.3,60.1,55.7,55.1,63.7,60.2,48.2,53.8,63.1,64.2,74.4,78.8,78.6,83.4,94,94.4,97.6,99.5,96.9,108.3,106.1,114.8,120,108,101.5,95.2,91.7,75.9,82.9,97.8,98.8,106.2,102.8,93.9,87.2,102.1,104.1,92.8,108.2,116.2,136.1,154.6,159.3,152.7,156.3,174.9,171.1,179.4,191.6,187,179.7,186.3,193.2,190.2,186.7,186.1,187.7,195,190.8,204.1,198.1,210.8,221.2,211.5,207.7,201.2,199.3,201.7,202.4,176.4,165.1,177.9,193.8,185.8,188.5,204,207.7,222.1,223.6,229.5,225.6,251.7,269.9,264,274.1,283.3,281.1,275.2,272.1,291,265.8,302.2,305,293.6,306.8,304.7,325.6,340,330.5,327.7,330.5,374.5,365.3,367.5,379.2,387.7,391.8,378.9,359.4,345.9,329.4,353.5,348.8,364.7,380.4,385,396.6,385.4,368.8,383.4,384.1,388.8,392.4,388.3,401.9,404.4,409.5,417.3,432.6,402.8,418,407.7,409.8,397.5,408,413.4,410.7,391.7,369.3,344,318.9,249.4,203.2,220.4,273,290.7,316.2,331.1,350.5,339.3,364.6,364.8,379.4,401.8,429.5,438.8,439.2,437,447.8,463.7,450.6,471.2
"25","16","  Gross domestic product excluding motor vehicle output","A962RC1",949.8,968.5,985,997.5,1015.2,1028.1,1047.4,1064.1,1086.2,1110.4,1132.6,1142.8,1179.2,1215.3,1243.3,1272.2,1312.7,1353.7,1374.5,1418.9,1439,1479.1,1499.7,1542.8,1571.4,1602.7,1650.7,1701.7,1750.1,1778.1,1811.9,1855.1,1898.5,1965.7,2024.8,2069.2,2111.8,2228.3,2292.7,2367.4,2411.5,2487.9,2568.9,2635.5,2704.9,2724,2777.1,2895.7,3033,3061,3158.4,3189.6,3186.6,3229.1,3263,3315,3372.1,3467.7,3556.2,3641.5,3753.4,3862.3,3931,3972.7,4065.9,4122.9,4202.9,4266.1,4336.6,4369,4426.4,4479.2,4549.5,4635.3,4712.8,4827.7,4899.8,5003.6,5101.4,5201.9,5306.1,5416.9,5503.8,5562.2,5691.5,5773,5827.1,5846.9,5889.7,5965.7,6024.6,6093.5,6192.3,6288.3,6378.8,6475.4,6524.5,6600,6678.6,6781.1,6866.3,7005.9,7078.2,7193.3,7264.2,7329.7,7434.4,7508.5,7627.3,7759.3,7854.1,7993.4,8095.2,8247.3,8366.1,8448.3,8559.2,8667,8816,8951.1,9085.1,9193.9,9339.5,9544.6,9644.3,9904.8,10004.4,10129.5,10183.1,10288.1,10295.5,10338,10456.9,10553,10643.2,10720.3,10862,10988,11244.3,11429.7,11599,11795.2,11967.5,12159.5,12406.7,12558.4,12773.9,12980.5,13231.8,13395.2,13500.6,13670.8,13826.9,14011.1,14161.1,14298.2,14303.6,14473.1,14525.4,14297.3,14178,14121.7,14111.4,14273.4,14356.3,14548.1,14699.3,14892.4,14878.3,15097.1,15232.5,15416.9,15612.1,15721.7,15916.9,15983.3,16087.5,16197.3,16462.4,16609.5
"26","17","  Final sales of computers \3\","BB01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,11.3,12.4,13.5,14.5,14.9,16,17.4,17.9,19.3,21.4,22.1,23.9,24.3,25.9,28.8,29.6,27.7,27.7,28,30.8,33,35.5,35.9,37.9,40.7,44.5,47.6,45.7,47.4,43.8,45.1,44.7,46,45,46.8,47.3,47.6,49.2,50.1,52.2,53.2,54.4,56.2,54.3,58.3,58,55,54,51.7,51.2,52.5,51.4,51.8,51.9,55.3,54,56,55.9,55.1,57,54.6,56.7,57,58.8,59,60.6,63.1,68.9,74,75.2,81.4,84.2,83.2,85.7,85.9,88.6,93,98.2,96.6,96.3,97.4,96.1,97.1,99.1,103.9,105.4,98.9,105.5,111.5,110.1,112.3,110.1,101.7,91.8,91.6,85.8,82.5,83.1,81.3,81,78.3,85.3,87.7,80.9,80.6,79.4,80.7,78,79.3,78.9,80.3,83.2,83.1,82.5,83.6,81.3,79.2,82.2,85.9,83.2,83.8,79.9,77.4,80.2,76.1,68.2,65.5,68.1,62.1,59.4,63.2,64.5,63.8,60.9,65.5,70.6,65.3,63.6,68.3,69.5,70.5,66.8,65.1
"27","18","  Gross domestic product excluding final sales of computers","BB00RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2198.9,2325.3,2386.4,2468.7,2517.1,2581,2654.4,2713.3,2778.7,2780.7,2838.6,2971.4,3107.9,3143,3235.3,3254.7,3244.2,3303.6,3339.4,3379.8,3449.6,3550.8,3656.8,3760.2,3874.8,3974.3,4042.9,4100,4191.3,4254.9,4350.7,4408,4471.6,4509.2,4574.7,4622.6,4689,4773.8,4851.3,4972.6,5038.4,5154.5,5245.1,5356.5,5473.1,5570.1,5653.5,5708.4,5836.8,5923,5978.3,5970.8,6003.4,6091.8,6166.5,6224,6326.7,6436.3,6530.7,6642.4,6691.1,6775,6847.5,6975.8,7077.4,7210.8,7291.6,7413.6,7476.3,7530.9,7631.3,7718.1,7808.9,7978.3,8073.3,8201.2,8313.4,8458.9,8593.5,8691.6,8793.4,8897.3,9050.4,9228.5,9351.2,9457.6,9613.3,9833.4,9930.7,10172.2,10253.7,10363,10402.4,10539.9,10552.5,10611,10751.5,10855.5,10956.8,11024.4,11149.8,11293.1,11543,11730.7,11910.5,12102.9,12290,12483.1,12738.2,12896.4,13127.6,13303,13566.6,13719.8,13828,13984.7,14153.7,14345.3,14489.6,14604,14589.7,14733.3,14764.4,14469.3,14301,14266,14316.2,14498.7,14604.4,14817,14990.4,15168.5,15178.4,15398.2,15551,15753.2,15971,16095.1,16292.4,16352.1,16465.8,16590.6,16846.2,17015.6
