"","Table 9#4U# Software Investment and Prices                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"17","9","Federal government \1\","SWIFTC1",16.4,17.6,18,16.6,16.5,17.1,18.3,19.3,20.7,22.1,21.8,23.3,24.4,24.9
"18","10","  Prepackaged","SWIFPC1",2.9,3,2.9,3.1,3.2,3.3,3.4,3.3,3.4,3.5,3.4,3,3.2,3.4
"19","11","  Custom","SWIFCC1",9.5,11.2,10.8,8.8,8.7,8.9,9.9,10.9,12.3,13.3,13,14.1,15.1,16
"20","12","  Own account","SWIFOC1",4,3.4,4.3,4.7,4.6,4.8,5,5.1,5,5.3,5.4,6.2,6.2,5.5
"21","13","State and local government \1\","SWISTC1",8.7,9.5,9.8,9.4,9.7,10.2,10.6,11.2,11.7,12.3,12.2,12.2,12.8,13.4
"22","14","  Prepackaged","SWISPC1",3.5,3.7,3.6,3.8,3.9,4.1,4.1,4.1,4,4.2,4.1,3.6,3.8,4.1
"23","15","  Custom","SWISCC1",2.5,3,2.9,2.4,2.3,2.4,2.7,3,3.3,3.6,3.5,3.8,4.1,4.3
"24","16","  Own account","SWISOC1",2.6,2.8,3.3,3.3,3.5,3.7,3.8,4.1,4.3,4.5,4.6,4.9,4.9,4.9
"25",NA,"[Chain-type price indexes (2009=100)]:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","Prepackaged","SWITPG3",141.511,141.666,138.306,132.575,122.172,113.361,108.688,107.591,105.084,103.226,100,96.695,94.123,91.72
"27","18","Custom","SWITCG3",87.731,91.504,93.015,92.404,92.902,92.905,94.145,96.252,98.069,100.014,100,99.976,100.944,100.953
"28","19","Business own account","SWIBOG3",87.731,91.504,93.015,92.404,92.902,92.905,94.144,96.247,98.065,100.019,100,99.975,100.943,100.954
"29","20","Federal government own account","SWIFOG3",75.935,78.089,78.962,81.656,84.754,88.803,92.254,93.65,96.025,98.361,100,100.639,102.032,102.602
"30","21","State and local government own account","SWISOG3",76.654,79.573,82.18,83.434,85.141,87.71,90.333,93.012,95.738,99.312,100,101.697,103.618,104.6
"31",NA,"[Chain-type quantity indexes (2009=100)]:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","22","Prepackaged","SWITPA3",49.231,54.15,56.68,63.767,72.664,82.88,89.283,90.06,93.88,99.001,100,89.95,99.704,110.243
"33","23","Custom","SWITCA3",70.656,80.77,78.853,70.683,69.784,72.824,80.385,87.42,96.329,102.297,100,108.34,114.665,121.231
"34","24","Business own account","SWIBOA3",62.238,72.688,73.052,72.463,77.913,86.526,88.555,91.367,94.919,98.165,100,97.278,100.622,103.759
"35","25","Federal government own account","SWIFOA3",97.103,81.321,101.197,106.939,100.82,99.689,99.878,100.447,96.94,99.82,100,114.708,111.942,99.506
"36","26","State and local government own account","SWISOA3",73.311,76.314,87.079,84.653,88.097,91.595,90.352,96.65,97.226,98.864,100,103.405,101.981,102.074
"37",NA,"[Billions of chained (2009) dollars]:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","27","Business (private)","B985RX1",154.5,175.9,177.1,176.9,189,207.9,221.2,230.3,244.2,256.2,256.8,254.2,269.8,285.9
"39","28","  Prepackaged","SWIBPX1",35.1,38.6,40.4,45.5,51.8,59.1,63.6,64.2,66.9,70.6,71.3,64.1,71.1,78.6
"40","29","  Custom","SWIBCX1",61.1,69.9,68.2,61.1,60.4,63,69.5,75.6,83.3,88.5,86.5,93.7,99.2,104.9
"41","30","  Own account","SWIBOX1",61.6,72,72.3,71.7,77.1,85.7,87.7,90.5,94,97.2,99,96.3,99.6,102.7
"42","31","Federal government \1\","SWIFTX1",17.7,18.4,18.7,17.3,17.2,17.9,19,19.8,21,22.1,21.8,23.4,24.4,24.9
"43","32","  Prepackaged","SWIFPX1",2,2.1,2.1,2.3,2.6,3,3.1,3.1,3.2,3.4,3.4,3.1,3.4,3.7
"44","33","  Custom","SWIFCX1",10.7,12,11.4,9.4,9.2,9.6,10.5,11.3,12.6,13.3,13,14.1,14.9,15.8
"45","34","  Own account","SWIFOX1",5.2,4.4,5.5,5.8,5.4,5.4,5.4,5.4,5.2,5.4,5.4,6.2,6,5.4
"46","35","State and local government \1\","SWISTX1",8.6,9.2,9.4,9.2,9.7,10.4,10.9,11.3,11.7,12.2,12.2,12.3,12.8,13.5
"47","36","  Prepackaged","SWISPX1",2.5,2.6,2.6,2.9,3.2,3.6,3.8,3.8,3.8,4.1,4.1,3.7,4.1,4.5
"48","37","  Custom","SWISCX1",2.9,3.2,3.1,2.5,2.5,2.6,2.8,3.1,3.4,3.6,3.5,3.8,4,4.3
"49","38","  Own account","SWISOX1",3.4,3.5,4,3.9,4.1,4.2,4.2,4.5,4.5,4.6,4.6,4.8,4.7,4.7
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Excludes services of software, measured by consumption of fixed capital, for general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
