"","Table 1#1#4# Price Indexes for Gross Domestic Product           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"11","3","  Goods","DGDSRG3",32.356,32.744,33.112,33.421,33.743,34.018,34.255,34.637,34.82,35.151,35.344,35.445,35.804,35.918,36.195,36.447,37.029,37.882,38.602,39.461,41.016,42.38,43.697,44.974,45.634,45.984,46.858,47.493,47.725,47.884,48.474,49.163,49.941,50.647,51.174,51.801,52.507,53.619,54.495,55.433,56.772,58.407,59.923,61.384,63.583,65.125,66.453,67.807,69.483,70.348,71.039,71.635,72.042,72.196,72.938,73.028,73.034,73.758,74.268,74.387,74.984,75.165,75.328,75.559,76.041,76.413,76.472,76.939,76.687,75.594,75.945,76.208,77.533,78.3,78.98,79.414,79.531,80.202,81.089,81.687,82.556,83.991,84.01,84.36,85.909,86.235,87.453,89.037,88.983,89.159,89.322,89.691,89.795,90.176,90.637,90.858,91.022,91.101,90.998,91.485,91.388,91.706,92.551,92.668,92.778,92.968,92.993,93.015,93.635,94.048,93.87,94.287,94.397,93.887,93.622,93.497,92.77,92.402,92.376,92.212,92.118,92.78,93.241,93.561,94.289,94.726,94.978,95.082,95.075,95.229,94.75,93.735,93.325,93.983,93.972,93.942,94.475,93.171,93.616,93.549,94.315,94.85,94.925,96.031,95.86,96.217,97.814,97.912,97.845,98.604,99.178,97.481,98.173,99.253,99.479,100.708,101.735,102.949,104.684,100.081,98.386,99.422,100.687,101.505,101.786,101.147,101.307,102.308,103.804,105.395,106.068,106.112,106.681,106.366,106.718,106.9,106.641,105.74,106.326
"12","4","    Durable goods","DDURRG3",58.436,58.874,59.155,59.52,59.622,59.857,60.297,61.3,62.168,62.61,62.471,62.15,62.686,63.007,63.329,63.126,63.387,63.886,64.202,64.407,65.12,66.769,69.313,71.48,72.6,73.905,74.715,75.864,76.889,77.743,78.684,80.015,80.838,81.249,82.094,83.192,84.385,85.672,87.059,88.583,90.021,91.605,92.657,94.326,97.091,99.383,101.195,102.929,104.237,106.202,107.772,109.175,110.092,110.949,111.346,111.67,112.47,112.89,113.508,114.214,114.247,114.956,115.184,115.395,115.983,116.253,116.055,116.356,116.382,116.918,117.894,118.562,119.561,120.498,121.36,121.854,121.642,122.315,123.186,124.102,124.731,124.832,125.113,125.523,126.19,126.203,126.259,126.514,127.596,127.917,128.391,128.667,128.661,129.012,129.118,129.32,129.255,129.936,130.569,131.431,131.735,132.521,133.455,133.682,134.217,134.071,133.639,133.342,133.442,132.563,132.217,131.645,131.137,129.873,129.003,128.283,127.341,126.391,125.425,124.492,123.445,122.831,122.264,121.538,120.973,120.717,119.978,119.689,119.152,118.306,117.525,116.946,115.926,115.36,114.801,114.051,112.601,111.388,110.274,109.278,109.19,109.104,108.28,108.432,108.211,108.074,107.312,107.078,106.653,106.186,105.737,105.086,104.56,104.09,103.408,102.999,102.678,101.892,101.61,100.853,100.346,100.216,99.539,99.899,99.506,98.902,98.275,97.803,97.606,97.947,97.797,97.248,97.087,96.791,96.246,95.746,95.487,95.016,94.456
"13","5","    Nondurable goods","DNDGRG3",23.63,23.96,24.295,24.553,24.869,25.114,25.283,25.509,25.55,25.817,26.043,26.209,26.495,26.557,26.791,27.1,27.678,28.513,29.238,30.136,31.69,32.848,33.773,34.731,35.226,35.353,36.14,36.605,36.651,36.649,37.105,37.586,38.274,38.976,39.38,39.841,40.372,41.341,42.021,42.739,43.932,45.422,46.894,48.165,50.018,51.24,52.325,53.457,55.037,55.582,56.02,56.39,56.651,56.648,57.379,57.411,57.252,57.969,58.406,58.379,59.059,59.095,59.229,59.444,59.859,60.227,60.348,60.825,60.519,59.075,59.228,59.357,60.681,61.348,61.932,62.319,62.521,63.15,63.984,64.454,65.337,67.06,67.003,67.315,69.016,69.411,70.87,72.706,72.345,72.465,72.531,72.897,73.023,73.387,73.915,74.129,74.35,74.255,73.947,74.295,74.084,74.244,75.012,75.09,75.067,75.347,75.508,75.627,76.374,77.172,77.058,77.773,78.081,77.844,77.794,77.877,77.254,77.102,77.413,77.536,77.8,78.926,79.773,80.493,81.725,82.438,83.087,83.354,83.574,84.142,83.796,82.603,82.457,83.644,83.878,84.174,85.585,84.256,85.423,85.79,86.954,87.777,88.282,89.844,89.694,90.291,93.062,93.321,93.427,94.792,95.873,93.66,94.963,96.824,97.506,99.564,101.258,103.455,106.172,99.727,97.471,99.042,101.224,102.262,102.868,102.216,102.763,104.492,106.833,109.05,110.138,110.491,111.448,111.127,111.964,112.522,112.264,111.126,112.362
"14","6","  Services","DSERRG3",15.785,16,16.213,16.438,16.661,16.893,17.103,17.355,17.59,17.822,18.072,18.243,18.443,18.596,18.779,18.954,19.114,19.412,19.75,20.121,20.535,21.02,21.508,21.982,22.484,22.857,23.281,23.74,24.134,24.446,24.879,25.306,25.807,26.318,26.826,27.259,27.785,28.344,28.874,29.462,29.876,30.65,31.376,32.128,32.927,33.738,34.609,35.587,36.546,37.284,38.096,38.887,39.588,40.196,41,41.765,42.395,42.766,43.53,43.982,44.543,45.219,45.756,46.147,46.888,47.403,48.029,48.385,49.093,49.488,49.755,50.139,50.332,50.796,51.297,51.862,52.488,53.16,53.86,54.493,55.124,55.709,56.227,56.8,57.457,58.167,58.839,59.427,59.931,60.375,60.967,61.517,62.079,62.579,63.024,63.639,64.171,64.825,65.316,65.706,66.117,66.565,66.959,67.409,67.873,68.397,68.818,69.285,69.632,70.18,70.729,71.302,71.747,72.247,72.652,73.061,73.373,73.74,74.101,74.47,74.817,75.14,75.549,76.106,76.766,77.111,77.744,78.367,79.186,79.702,80.019,80.579,81.002,81.657,82.302,82.896,83.546,84.287,84.864,85.427,86.055,86.724,87.465,87.979,88.769,89.498,90.206,91.247,91.929,92.633,93.359,93.974,94.959,95.559,96.271,97.119,97.871,98.823,99.496,99.582,99.564,99.726,100.045,100.665,101.038,101.521,101.89,102.204,102.596,103.217,103.768,104.271,104.872,105.45,105.939,106.493,107.06,107.477,107.946
"15","7","Gross private domestic investment","B006RG3",27.562,27.854,28.097,28.468,28.696,29.293,29.233,29.578,30.094,30.521,30.854,31.118,31.483,31.7,32.03,32.485,32.777,33.361,34.057,34.463,35.177,36.228,37.644,39.04,40.376,41.302,41.793,42.359,42.732,43.457,44.068,44.739,45.647,46.491,47.4,48.353,49.273,50.272,51.263,52.309,53.374,54.716,56.054,57.205,58.543,59.914,61.159,62.447,64.232,65.654,66.738,68.024,68.785,69.616,70.073,70.227,70.049,69.788,69.754,69.966,70.179,70.568,70.833,70.99,71.186,71.285,71.575,72.022,72.353,72.826,73.395,73.922,74.24,74.436,74.641,75.272,75.838,76.296,76.603,77.355,77.797,78.29,78.693,79.101,79.571,79.849,80.342,80.669,81.385,81.483,81.617,81.355,81.166,81.303,81.491,81.764,82.02,82.326,82.522,82.715,83.197,83.429,83.729,84.076,84.604,84.913,85.144,85.071,84.882,84.727,84.976,84.896,84.913,84.925,84.981,84.869,84.489,84.285,84.212,84.251,84.371,84.426,84.341,84.618,85.142,85.473,85.857,86.029,86.111,86.375,86.592,86.665,86.601,86.637,86.725,87.171,87.533,87.545,87.834,88.453,89.281,90.238,91.1,91.963,92.943,93.899,95.061,96.273,97.216,97.851,98.413,99.241,99.855,100.008,100.024,100.116,100.282,100.475,100.983,102.371,101.684,100.262,99.058,98.996,98.798,98.932,99.1,99.608,99.869,100.3,100.559,100.727,101.085,101.482,101.82,102.196,102.726,103.206,103.641
"16","8","  Fixed investment","B007RG3",26.728,27.016,27.263,27.618,27.84,28.438,28.379,28.711,29.21,29.621,29.966,30.24,30.613,30.819,31.122,31.562,31.881,32.444,33.128,33.571,34.231,35.215,36.556,37.984,39.282,40.208,40.686,41.287,41.686,42.41,43.005,43.677,44.592,45.424,46.433,47.432,48.335,49.333,50.295,51.3,52.367,53.701,54.994,56.108,57.415,58.736,60.001,61.275,62.877,64.27,65.364,66.719,67.543,68.4,68.844,69.035,68.823,68.622,68.637,68.785,68.936,69.276,69.555,69.778,70.023,70.155,70.481,70.931,71.297,71.839,72.439,72.905,73.181,73.347,73.561,74.26,74.909,75.389,75.772,76.487,76.914,77.41,77.798,78.227,78.7,79.009,79.491,79.919,80.585,80.726,80.8,80.538,80.406,80.551,80.74,81.016,81.299,81.577,81.734,81.979,82.428,82.694,83.047,83.374,83.885,84.199,84.45,84.435,84.308,84.155,84.381,84.347,84.373,84.425,84.544,84.45,84.141,83.964,83.918,83.956,84.089,84.171,84.098,84.384,84.94,85.299,85.689,85.873,85.926,86.221,86.435,86.49,86.404,86.453,86.567,87.031,87.425,87.433,87.725,88.354,89.176,90.138,91.005,91.866,92.868,93.854,95.051,96.255,97.202,97.854,98.394,99.218,99.844,100.002,100.024,100.084,100.293,100.518,101.227,101.944,101.367,100.158,99.22,99.255,98.987,99.024,99.138,99.571,99.922,100.463,100.73,100.911,101.298,101.679,102.045,102.386,102.967,103.478,103.982
"17","9","    Nonresidential","B008RG3",33.324,33.639,34.01,34.429,34.811,35.381,35.609,36.079,36.59,37.018,37.345,37.579,38.005,38.296,38.541,38.772,39.109,39.663,40.279,40.759,41.521,42.808,44.543,46.475,48.196,49.431,50.067,50.751,51.311,51.971,52.663,53.433,54.473,55.294,56.253,57.229,58.078,59.044,60.011,61.045,62.328,63.699,65.042,66.263,67.743,69.298,70.77,72.236,74.201,75.998,77.397,79.08,80.015,80.983,81.479,81.67,81.24,80.873,80.75,80.748,80.819,81.122,81.3,81.396,81.649,81.791,82.096,82.452,82.663,83.203,83.746,84.13,84.194,84.169,84.198,84.989,85.78,86.239,86.608,87.417,87.871,88.257,88.752,89.19,89.691,90.041,90.66,91.259,92.154,92.233,92.177,91.899,91.808,91.719,91.779,91.785,91.869,91.943,91.897,92.163,92.411,92.6,92.789,92.867,93.256,93.563,93.809,93.605,93.291,92.917,92.929,92.738,92.633,92.562,92.488,92.13,91.596,91.133,90.766,90.548,90.458,90.25,89.894,90.066,90.352,90.564,90.864,90.863,90.518,90.529,90.318,90.207,90.135,89.998,90,90.055,89.801,89.747,89.895,90.096,90.388,90.949,91.331,91.898,92.795,93.512,94.046,94.966,95.623,96.169,96.796,97.656,98.304,98.621,98.649,98.722,99.139,99.559,100.697,101.952,101.425,100.236,99.237,99.102,98.735,98.953,99.095,99.496,99.875,100.456,100.774,100.99,101.506,101.897,102.157,102.35,102.692,103.008,103.303
"18","10","      Structures","B009RG3",11.701,11.894,12.058,12.288,12.411,12.799,12.835,13.048,13.317,13.62,13.922,14.166,14.444,14.624,14.815,15.103,15.327,15.655,16.089,16.482,16.926,17.663,18.486,19.263,19.826,20.184,20.363,20.603,20.728,21.1,21.409,21.707,22.395,22.799,23.314,23.805,24.316,24.995,25.609,26.307,27.041,27.87,28.733,29.344,29.85,30.456,31.106,32.079,33.455,34.618,35.598,36.802,37.6,37.973,38.077,37.908,37.258,36.884,36.806,36.75,36.794,37.164,37.404,37.626,37.913,38,38.198,38.419,38.578,38.776,38.949,39.151,39.162,39.328,39.54,39.924,40.549,40.952,41.354,41.796,42.153,42.65,42.983,43.315,43.678,43.984,44.347,44.617,45.014,45.091,45.079,44.642,44.642,44.819,45.035,45.373,45.702,46.095,46.469,46.878,47.241,47.532,48.115,48.793,49.378,49.701,50.242,50.661,50.709,50.899,51.55,51.905,52.408,52.886,53.479,54.119,54.879,55.465,55.918,56.374,56.775,57.145,57.546,58.046,58.741,59.279,59.905,60.614,61.47,62.4,63.395,63.783,64.385,65.091,65.681,66.459,67.262,67.305,67.803,68.723,70.144,71.736,73.702,75.931,78.184,80.271,83.199,86.57,88.871,91.144,92.849,95.327,96.536,97.007,97.868,99.067,100.183,101.062,102.859,104.931,103.757,100.651,97.895,97.696,98.05,98.554,99.077,99.693,100.347,101.375,102.293,102.975,103.206,103.703,103.856,104.164,105.189,106.521,107.347
"19","11","      Equipment","Y033RG3",54.456,54.738,55.226,55.707,56.31,56.845,57.272,57.942,58.578,58.95,59.034,59.031,59.442,59.719,59.831,59.693,59.942,60.546,61.036,61.197,61.954,63.507,66.107,69.356,72.557,74.871,76.028,77.211,78.396,79.151,80.166,81.41,82.733,83.952,85.303,86.744,87.767,88.826,89.935,91.02,92.71,94.4,95.943,97.62,100.149,102.692,104.91,106.436,108.477,110.56,111.962,113.494,113.987,115.555,116.391,116.915,116.744,116.241,115.674,115.521,115.323,115.243,114.999,114.823,114.708,114.826,115.136,115.717,115.915,116.984,118.073,118.663,118.631,118.051,117.491,118.521,119.13,119.437,119.64,121.025,121.491,121.634,122.312,122.957,123.638,123.898,124.79,126.05,127.065,126.772,126.409,126.575,127.112,126.672,126.499,125.769,125.608,125.206,124.796,124.527,124.977,125.208,124.936,124.125,123.615,123.834,123.478,122.854,121.856,120.734,120.272,119.72,118.665,117.749,116.973,115.883,114.111,112.62,111.364,110.121,109.347,108.185,107.004,106.376,106.064,105.641,105.292,104.547,103.261,102.627,101.887,101.344,100.902,100.427,99.915,99.738,98.859,98.421,98.354,98.446,98.241,98.579,98.3,98.322,98.806,98.938,98.444,98.368,98.24,98.024,98.327,98.675,98.975,99.111,98.515,97.805,97.645,97.645,98.793,100.682,100.739,100.433,99.897,98.931,97.875,97.817,98.049,98.293,98.464,98.874,99.058,99.317,99.837,99.94,100.3,100.673,100.601,100.5,100.578
"20","12","      Intellectual property products","Y001RG3",34.929,35.293,35.756,36.148,36.672,37.008,37.403,37.816,38.237,38.487,38.725,38.901,39.259,39.579,39.903,40.214,40.706,41.277,41.986,42.852,43.938,45.049,46.164,47.24,48.166,49.065,49.638,50.162,50.413,51.137,51.765,52.425,52.83,53.372,53.978,54.59,55.339,56.015,56.838,57.758,58.65,59.712,60.758,61.849,63.077,64.283,65.514,66.707,67.962,69.144,70.219,71.629,72.448,73.31,74.098,74.939,75.631,76.067,76.801,77.306,77.951,78.4,78.989,79.036,79.58,79.796,80.117,80.112,80.303,80.423,80.583,80.784,81.127,81.58,82.141,83.013,83.941,84.472,84.759,84.909,85.269,85.513,85.757,85.803,85.993,86.356,86.747,86.727,88.028,88.608,88.931,88.455,87.359,87.294,87.365,87.826,87.81,88.02,87.837,88.606,88.263,88.156,88.37,88.898,90.402,90.748,91.456,90.997,91.337,91.419,91.238,90.853,91.413,91.928,92.053,91.507,91.264,91.114,91.138,91.762,92.203,92.904,93.046,94.142,94.901,95.77,96.738,97.101,96.875,96.814,95.973,95.968,95.741,95.25,95.464,95.178,94.873,95.313,95.449,95.138,95.15,95.11,95.109,95.07,95.439,95.902,96.066,96.54,97.09,97.409,97.619,97.916,98.646,99.11,99.365,99.601,100.225,100.838,101.317,100.927,100.315,99.74,99.564,100.382,100.295,100.636,100.381,100.851,101.354,101.904,102.029,101.868,102.56,103.304,103.486,103.325,103.816,104.071,104.322
"21","13","    Residential","B011RG3",15.485,15.707,15.772,16.008,15.994,16.586,16.142,16.274,16.708,17.051,17.366,17.634,17.883,17.966,18.267,18.828,19.074,19.555,20.221,20.572,21.039,21.536,22.226,22.826,23.408,23.815,24.036,24.471,24.622,25.341,25.748,26.219,26.862,27.587,28.501,29.385,30.23,31.131,31.964,32.806,33.469,34.611,35.712,36.584,37.551,38.437,39.314,40.219,41.14,41.766,42.259,42.941,43.557,44.217,44.569,44.776,45.017,45.134,45.388,45.775,46.051,46.436,46.877,47.318,47.544,47.655,48.007,48.605,49.217,49.73,50.38,50.944,51.526,51.972,52.462,52.975,53.362,53.85,54.235,54.76,55.121,55.789,55.981,56.385,56.804,57.033,57.252,57.332,57.524,57.801,58.147,57.921,57.72,58.298,58.726,59.499,60.141,60.793,61.323,61.524,62.33,62.729,63.373,64.169,64.93,65.262,65.533,65.909,66.172,66.474,67.15,67.453,67.769,68.101,68.659,69.167,69.366,69.845,70.538,71.166,71.829,72.604,73.211,73.794,75.041,75.795,76.433,77.103,78.183,79.209,80.483,80.944,80.818,81.28,81.633,82.984,84.753,84.899,85.511,87.034,88.936,90.709,92.541,93.999,95.218,96.756,99.302,101.137,102.748,103.684,104.054,104.798,105.339,105.061,105.104,105.201,104.797,104.365,103.439,101.985,101.153,99.837,99.141,99.868,100.027,99.328,99.325,99.898,100.108,100.461,100.489,100.509,100.315,100.664,101.505,102.5,104.088,105.396,106.739
"22","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Exports","B020RG3",30.414,30.466,30.882,31.589,31.562,32.178,32.111,32.229,33.166,33.248,33.094,33.299,34.285,34.554,34.686,35.472,36.477,38.112,40.319,42.367,45.322,46.878,49.52,52.046,53.506,53.35,53.19,53.516,54.292,54.884,55.205,56.191,56.832,57.673,57.388,57.662,58.791,60.256,61.243,63.252,65.115,67.765,69.351,70.624,72.704,73.701,75.784,78.341,80.294,80.647,80.772,81.032,81.515,81.453,80.865,80.394,80.733,81.025,81.477,82.272,82.375,82.902,82.062,81.186,80.304,79.986,79.336,79.142,78.726,78.307,77.862,78.476,78.776,79.932,80.173,81.501,82.443,84.158,85.174,85.017,85.826,85.956,85.443,85.172,85.255,85.417,86.203,87.45,87.665,87.166,86.569,86.727,86.588,86.674,86.666,86.506,86.606,86.842,86.785,86.754,87.152,87.499,87.913,88.466,89.413,90.117,89.892,89.474,89.297,89.012,88.351,87.448,87.208,87.154,86.936,86.549,85.68,85.219,84.518,84.191,83.948,84.072,84.281,84.691,85.277,85.955,86.341,86.453,86.382,86.007,85.628,84.779,84.516,85.031,85.716,85.861,86.733,86.912,87.16,87.8,88.907,90.189,90.7,91.661,93.336,94.019,94.754,95.406,96.094,97.454,98.734,98.755,99.543,100.654,101.347,102.932,104.51,107.358,108.934,102.457,99.035,98.998,100.194,101.773,102.749,103.94,104.261,106.71,109.444,111.659,112.293,111.165,111.955,112.127,112.114,112.543,112.944,112.034,112.303
"25","17","    Goods","B253RG3",35.042,34.942,35.43,36.414,36.628,37.405,37.081,37.109,38.229,38.177,37.768,38.01,38.536,38.817,38.894,39.98,41.585,43.707,46.626,49.408,53.196,55.209,58.765,62.303,64.319,63.809,63.313,63.606,64.424,65.125,65.399,66.623,67.408,68.34,67.648,67.699,69.069,70.9,72.008,74.747,77.359,80.799,82.597,83.822,86.134,87.057,89.658,92.939,95.273,95.354,95.136,95.137,95.51,94.9,93.564,92.568,92.642,92.975,93.48,94.701,95.121,95.604,94.047,92.271,90.84,90.227,88.855,88.261,87.28,86.62,85.84,86.703,87.07,88.656,88.861,90.814,92.09,94.549,96.048,95.6,96.509,96.419,95.469,94.815,94.402,94.524,94.918,95.735,95.837,95.232,94.059,94.052,93.666,93.516,93.142,92.767,92.795,92.901,92.739,92.547,93.099,93.439,93.843,94.563,95.814,96.47,96.117,95.446,94.791,94.368,93.178,91.597,91.392,91.154,90.842,90.218,89.163,88.475,87.509,86.989,86.66,86.623,86.841,87.335,87.699,88.376,88.636,88.772,88.639,88.248,87.754,86.78,86.456,86.874,87.696,87.814,88.653,88.867,88.839,89.622,90.68,92.211,92.612,93.503,94.482,95.21,95.767,96.429,96.962,98.483,99.887,99.987,100.556,101.752,102.374,104.066,105.756,109.406,110.955,102.693,98.561,99.094,100.363,101.981,103.032,104.401,104.767,107.936,111.208,113.761,114.294,112.786,113.462,113.423,113.414,113.731,114.06,112.771,112.921
"26","18","    Services","B646RG3",21.599,21.907,22.193,22.399,21.946,22.269,22.651,22.925,23.512,23.807,24.108,24.26,25.96,26.226,26.479,26.72,26.541,27.212,27.993,28.547,29.784,30.396,31.176,31.678,32.081,32.604,33.107,33.507,34.193,34.564,34.977,35.494,35.855,36.514,37.007,37.695,38.359,39.109,39.852,40.406,40.772,41.836,42.993,44.398,46.032,47.242,48.275,49.377,50.605,51.521,52.312,53.078,53.765,54.733,55.557,56.049,56.846,57.06,57.411,57.408,56.938,57.525,57.988,58.794,58.938,59.154,59.836,60.371,60.947,60.942,61.07,61.235,61.407,61.81,62.107,62.303,62.628,62.954,63.072,63.45,64.047,64.572,64.883,65.324,66.324,66.554,68.036,70.024,70.442,70.159,70.64,71.1,71.42,71.946,72.622,72.879,73.109,73.58,73.719,73.993,74.096,74.452,74.88,75.098,75.425,76.221,76.256,76.35,77.142,77.146,77.59,78.108,77.812,78.168,78.164,78.313,77.854,77.888,77.77,77.876,77.834,78.334,78.523,78.742,79.852,80.534,81.233,81.286,81.367,81.03,80.92,80.365,80.242,80.98,81.353,81.561,82.507,82.605,83.487,83.8,85.014,85.741,86.498,87.622,90.864,91.449,92.606,93.238,94.293,95.273,96.262,96.094,97.388,98.308,99.172,100.539,101.893,102.897,104.519,102.011,100.022,98.808,99.838,101.332,102.163,102.97,103.197,104.053,105.586,107.051,107.9,107.618,108.667,109.313,109.293,109.974,110.531,110.451,110.981
"27","19","  Imports","B021RG3",20.443,20.532,20.681,21.214,21.438,21.683,22.214,22.437,23.002,23.082,23.365,23.713,24.115,24.739,25.138,25.695,26.45,28.533,29.892,32.14,37.237,41.506,43.636,45.032,45.741,45.86,44.839,44.908,45.642,46.34,47.172,47.655,49.326,50.692,51.363,51.887,52.756,54.035,54.934,55.897,58.08,61.099,65.657,70.003,75.841,78.59,80.793,82.199,84.305,84.811,82.598,82.771,82.525,81.076,80.11,79.495,77.824,77.824,77.972,77.475,77.706,78.138,76.751,75.813,73.999,74.32,74.255,75.704,75.844,73.495,74.005,74.924,76.858,78.873,79.68,80.921,82.067,83.525,82.6,83.27,84.602,85.532,84.068,84.505,85.812,84.298,86.745,91.561,88.759,86.314,85.02,85.416,85.82,86.158,87.254,86.55,86.026,86.324,85.56,85.22,85.178,85.983,87.428,87.761,88.488,89.759,89.197,88.395,88.206,87.748,86.86,86.822,86.158,84.365,83.81,83.148,81.098,80.11,79.074,79.031,78.809,79.808,80.812,81.985,83.543,83.675,84.24,84.571,84.293,82.669,81.467,79.567,79.425,81.152,81.706,82.109,84.52,83.366,83.816,84.236,85.997,87.395,88.474,90.468,91.153,92.382,94.505,96.201,96.486,97.523,98.546,97.408,97.872,99.557,101.323,105.448,109.026,114.682,117.819,105.253,96.389,97.913,101.281,104.417,106.052,105.567,104.985,107.426,111.811,115.233,115.132,114.915,116.117,115.038,113.57,114.725,114.873,113.411,113.48
"28","20","    Goods","B255RG3",20.999,21.081,21.201,21.917,22.169,22.392,23.081,23.346,23.761,23.7,23.957,24.233,24.84,25.599,25.998,26.544,27.355,29.567,30.915,33.545,39.749,45.031,47.641,49.215,50.039,49.989,48.471,48.352,49.292,50.19,51.086,51.546,53.534,55.111,55.778,56.21,57.183,58.558,59.299,60.306,62.855,66.324,71.643,76.694,83.441,86.747,89.147,90.846,93.518,94.076,91.065,91.017,90.608,88.941,87.979,87.218,85.039,85.059,85.23,84.588,84.813,85.389,84.121,83.255,81.07,81.046,80.405,81.771,81.214,77.95,78.377,79.488,82.305,84.756,85.555,87.021,88.029,89.742,88.629,89.416,91.387,92.659,90.712,91.015,92.231,89.919,92.474,97.867,94.141,91.501,89.716,90.089,90.4,90.662,91.496,90.892,90.258,90.438,89.607,89.085,89.001,89.974,91.384,91.648,92.769,93.796,93.028,92.064,91.726,91.053,89.827,89.631,88.917,86.7,86.19,85.467,83.331,81.963,80.655,80.348,80.061,81.031,82.099,83.494,85.35,85.612,86.246,86.685,86.262,84.376,82.852,80.638,80.394,82.192,82.589,83.102,85.693,83.716,84.122,84.619,86.465,87.979,89.053,91.248,91.893,93.184,95.554,97.657,97.692,98.744,99.829,98.382,98.815,100.533,102.354,107.047,111.1,117.319,120.834,106.192,95.714,97.662,101.593,105.031,106.955,106.315,105.523,108.173,113.301,117.215,117.137,117.059,118.429,117.084,115.316,116.592,116.779,115.028,115.14
