"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Equals: Gross domestic purchases","B712RA3",7.271,6.671,6.258,5.463,5.4,5.965,6.549,7.378,7.72,7.396,7.986,8.654,10.266,12.346,14.591,15.743,15.489,13.132,12.841,13.684,13.597,14.98,16.069,16.822,17.729,17.56,18.82,19.154,19.513,19.539,20.888,21.278,21.815,23.206,24.17,25.488,27.237,29.125,29.99,31.555,32.558
"12","5","Plus: Exports of goods and services, command basis \1\","C020RA3",3.878,3.027,2.193,1.687,1.747,2.148,2.278,2.441,3.156,3.037,3.196,3.913,4.117,3.039,2.676,3.165,4.286,7.898,9.408,7.38,6.868,5.782,7.481,7.058,6.494,6.64,7.312,8.517,9.296,7.787,8.491,9.969,10.07,10.481,11.07,12.279,12.802,13.721,14.186,15.001,15.501
"13","6","Less: Imports of goods and services, command basis \1\","C021RA3",2.908,2.25,1.757,1.323,1.359,1.505,1.966,2.052,2.481,1.817,2.024,2.194,2.678,2.576,3.339,3.589,3.824,3.119,3.192,3.828,3.515,4.358,5.115,5.257,5.444,5.187,5.702,6.069,6.187,6.078,6.687,6.748,6.635,7.215,7.462,7.899,8.709,9.96,10.441,11.685,12.082
"14","7","Equals: Command-basis gross domestic product \1,2\","C191RA3",7.501,6.895,6.418,5.587,5.52,6.157,6.71,7.566,7.986,7.65,8.269,9.036,10.671,12.667,14.8,15.999,15.843,13.961,13.784,14.331,14.211,15.44,16.691,17.324,18.157,18.018,19.364,19.786,20.19,20.056,21.444,21.999,22.576,23.969,24.989,26.415,28.155,30.022,30.895,32.42,33.447
"15","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RA3",1.832,1.744,1.424,1.11,0.947,0.904,1.057,1.138,1.4,1.255,1.353,1.199,1.351,1.21,1.141,1.21,1.176,1.499,1.973,2.372,2.268,2.518,2.967,3.015,2.967,3.135,3.569,3.872,4.065,3.606,3.925,4.433,4.764,5.27,5.724,6.245,6.683,6.659,6.972,7.783,8.653
"16","9","Less: Income payments to the rest of the world, command basis \1\","C655RA3",0.779,0.721,0.607,0.447,0.387,0.425,0.475,0.797,0.895,0.663,0.796,0.841,0.755,0.658,0.779,0.898,0.99,0.783,0.78,0.871,1.004,1.114,1.206,1.193,1.277,1.263,1.396,1.452,1.498,1.499,1.798,2.087,2.081,2.124,2.333,2.594,2.86,3.21,3.424,4.012,5.394
"17","10","Equals: Command-basis gross national product \1,3\","CB22RA3",7.479,6.878,6.395,5.564,5.493,6.12,6.673,7.513,7.937,7.606,8.218,8.969,10.597,12.571,14.674,15.86,15.702,13.86,13.705,14.261,14.133,15.357,16.612,17.241,18.061,17.931,19.278,19.708,20.115,19.961,21.339,21.901,22.488,23.888,24.91,26.335,28.069,29.903,30.774,32.299,33.308
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Command-basis net domestic product \4\","C362RA3",8.203,7.447,6.865,5.872,5.813,6.61,7.284,8.316,8.801,8.369,9.118,10.039,11.996,14.325,16.745,17.968,17.609,15.262,15.07,15.744,15.573,17.058,18.532,19.206,20.106,19.8,21.356,21.757,22.131,21.815,23.443,24.032,24.621,26.206,27.303,28.893,30.842,32.911,33.738,35.378,36.399
"20","12","  Net domestic product","A362RA3",7.992,7.216,6.695,5.731,5.669,6.396,7.042,8.055,8.483,8.151,8.871,9.72,11.572,13.844,16.214,17.378,17.032,14.815,14.655,15.341,15.223,16.687,18.121,18.836,19.694,19.439,20.891,21.272,21.651,21.326,22.912,23.481,24.038,25.571,26.671,28.244,30.12,32.129,32.877,34.465,35.447
"21","13","  Command-basis net national product \4\","C027RA3",8.17,7.421,6.834,5.843,5.778,6.561,7.233,8.244,8.733,8.308,9.048,9.948,11.893,14.191,16.572,17.78,17.419,15.126,14.963,15.647,15.467,16.943,18.42,19.089,19.972,19.679,21.235,21.646,22.024,21.687,23.3,23.897,24.497,26.089,27.188,28.777,30.715,32.743,33.568,35.208,36.205
"22","14","  Net national product","A027RA3",7.981,7.209,6.681,5.716,5.648,6.362,7.008,8.003,8.44,8.113,8.828,9.659,11.505,13.754,16.096,17.251,16.9,14.722,14.587,15.283,15.158,16.616,18.059,18.771,19.614,19.37,20.823,21.215,21.599,21.251,22.825,23.403,23.972,25.513,26.617,28.191,30.058,32.03,32.778,34.367,35.331
"23",NA,"  Percent change from preceding period (seasonally adjusted at annual rates):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","    Real gross domestic product","A191RL1",NA,-8.5,-6.4,-12.9,-1.3,10.8,8.9,12.9,5.1,-3.3,8,8.8,17.7,18.9,17,8,-1,-11.6,-1.1,4.1,-0.5,8.7,8.1,4.1,4.7,-0.6,7.1,2.1,2.1,-0.7,6.9,2.6,2.6,6.1,4.4,5.8,6.5,6.6,2.7,4.9,3.1
"25","16","    Command-basis gross domestic product","C191RL1",NA,-8.1,-6.9,-12.9,-1.2,11.5,9,12.8,5.6,-4.2,8.1,9.3,18.1,18.7,16.8,8.1,-1,-11.9,-1.3,4,-0.8,8.6,8.1,3.8,4.8,-0.8,7.5,2.2,2,-0.7,6.9,2.6,2.6,6.2,4.3,5.7,6.6,6.6,2.9,4.9,3.2
"26","17","    Real gross national product","A001RL1",NA,-8.5,-6.5,-12.9,-1.4,10.6,9,12.8,5.2,-3.3,8,8.7,17.8,18.8,17,8,-1,-11.5,-1,4.2,-0.6,8.7,8.1,4.1,4.6,-0.5,7.2,2.2,2.1,-0.8,6.9,2.6,2.6,6.2,4.4,5.8,6.5,6.5,2.7,4.9,3.1
"27","18","    Command-basis gross national product","CB22RL1",NA,-8,-7,-13,-1.3,11.4,9,12.6,5.6,-4.2,8,9.1,18.2,18.6,16.7,8.1,-1,-11.7,-1.1,4.1,-0.9,8.7,8.2,3.8,4.8,-0.7,7.5,2.2,2.1,-0.8,6.9,2.6,2.7,6.2,4.3,5.7,6.6,6.5,2.9,5,3.1
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Deflator is the gross domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","4. Deflator is the net domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
