"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Motor vehicle output","A953RC1",44.7,37.2,49.8,55,63.6,58.7,57.3,78.8,96.4,106.5,106.2,87.1,100.4,96.6,128.8,160.8,182.3,187.3,188.9,200.9,210.4,195,180.7,205.6,232.6,272.8,279.8,291.6,319.2,340.8,374.9,369,349.1,386.8,381.3,396.8,415.5,408.3,406,320.4,246.8,334.3,377.7,436.1
"24","16","  Gross domestic product excluding motor vehicle output","A962RC1",975.2,1038.7,1118,1227.5,1365,1490.1,1631.6,1798.8,1989.6,2250,2526,2775.4,3110.5,3248.4,3509.4,3879.9,4164.4,4402.8,4681.3,5051.7,5447.3,5784.6,5993.4,6333.7,6646.1,7035.9,7384.2,7808.5,8289.2,8748.4,9290.8,9920.8,10276.2,10593.3,11131,11880.3,12679.9,13449.6,14074.3,14399.8,14171.1,14624,15156.2,15808.5
"25","17","  Final sales of computers \3\","BB01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,15.7,20.2,25.7,28.2,33.8,42.7,45.5,45.6,48.5,54,56.4,52.3,52.6,55.3,56.3,60.4,74.9,84.8,94.1,96.7,101.8,109.9,98.8,83.1,83.1,80.4,79.1,83.1,82.2,81.1,72.5,63.2,63.7,66.9
"26","18","  Gross domestic product excluding final sales of computers","BB00RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2344.8,2616.4,2842.3,3185.2,3316.8,3604.3,3998,4301.2,4544.5,4821.7,5198.6,5601.3,5927.2,6121.4,6484,6822.4,7248.4,7589.1,8015.4,8514.4,8992.4,9563.9,10179.9,10526.4,10897,11429.2,12196.6,13016.3,13774.8,14398.2,14639.2,14345.5,14895.1,15470.2,16177.6
"27","19","  Research and development","Y694RC1",28.2,28.3,29.1,31.3,33.8,36.4,39,43.1,47.5,53.5,60.9,69.8,79.9,89,98.4,111.4,125.1,132,140.2,148.2,155.9,164.2,170,171.9,172,175,187.5,199.8,212,222.4,237.2,255.6,263.2,265.7,277.6,291.2,313.1,334.6,360,380.5,374.8,392.1,408.5,417.7
"28","20","  Gross domestic product excluding research and development","Y695RC1",991.7,1047.6,1138.6,1251.2,1394.8,1512.4,1649.9,1834.4,2038.4,2303.1,2571.2,2792.7,3131,3256,3539.7,3929.2,4221.7,4458.1,4730,5104.4,5501.8,5815.3,6004,6367.4,6706.6,7133.7,7476.5,7900.3,8396.4,8866.8,9428.5,10034.2,10362.1,10714.5,11234.7,11985.8,12782.3,13523.3,14120.4,14339.8,14043.1,14566.2,15125.4,15826.9
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
